Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Amenities,Appliances,Links
House,Stone,100 sq.m.,1,3,1,Available,Not available,Major Renovation,400 sq.m.,4,Yes,No,Not included,2 months,"409 Դիվիզիայի փողոց, Ստեփանավան","300,000 ֏ monthly",AMD,Զանգեք վատսափին։տրվում է միայն երկարաժամկետ. Звоните на WhatsApp. Дом сдается на длительный срок. Обязательно за 3 месяца в перёд...Translated from Armenian,Nov-24-2022_23-03,,,https://list.am/en/item/18240399
Country House,Wooden,35 sq.m.,2,2,1,,,Designer Renovation,300 sq.m.,,,,,,"Hakob Meghapart street, Stepanavan","20,000 ֏ daily",AMD,"A two-storey wooden house is for daily rent in Stepanavan city for 4-5 people, permanent hot-cold water, gas, light, wifi, small garden swing besedka barbecue fireplace. You can call the mentioned phone numbersTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17768123
House,Stone,300 sq.m.,2,8+,2,,,Major Renovation,1300 sq.m.,,,,,,Lorri › Vanadzor,"7,000 ֏ daily",AMD,"Беспрецедентные временные скидки в наших гостевых домах:1 человек1 отдельная уютная комната1 ночь /Постель без завтрака/7.000 драмовВ наших объявлениях мы стремились предложить всевозможные доступные и удобные варианты проживания для каждого гостя!Капитальный каменный дом полностью оборудованный бытовой техникой и мебелью - со всеми удобствами в тихом и спокойном месте в городе Ванадзор.Доступное предложение:*За ежемесячную плату, то есть намного доступными средствами, чем посуточные цены, но те же самыми условиями можете прожить в гостевых домах ""Винтаж"" & ""Мансард"" бронируя только отдельную комнату, ту, которую предпочтете:*Двухместная комната- 95.000 драмов ежемесячно.*3-4 местный - 115.000 др.* 5-6 местный - 145.000 др.*** Для размещения больших групп по требованию гостей мы готовыпредложить добавочные спальные места в нашей уютной и просторной гостиной, по 30.000 драмов ежемесячно.****Ежемесячной платой вы можете бронировать дом целиком, которая в зависимости от числа гостей будет стоить примерно 250.000 - 350.000 драмов.Каменный капитальный дом, прекрасная природа, просторные комнаты, элегантный винтажный дизайн интерьера, замечательный вид из балкона, большой гараж, просторный садовой участок с деревьями, туалет и ванная отдельны друг от друга, центральное отопление в доме.Мы пытаемся организовать для вас домашнюю атмосферу теплоты и уюта, позаботиться о вашем комфорте.*Посуточные условия։1 день- 50.0002 д. - 60.0003 д. - 80.0004 д. - 100.0005 д. - 120.0006 д. - 140.0007 д. - 160.000При более длительном сроке проживания условия и цены рассмотриваются.Наше следующее предложение, это проживание в нашем гостевом доме в качестве типа ""Постель и завтрак"" со следующими скидками:* 1 человек - 9.000 драмов* 2 ч. - 15.000 д.Гостевые дома ""Винтаж & Мансард"" приветсвуют вас на северном уголке Армении в прекрасной на все времена года области Лори. Окружённый горами и глубокими ущельями Лори поражает своей красотой.Из окон почти каждого дома в нашем городе можно любоваться неповторимым горным пейзажом- зрелище которое наполняет душу каким то неповторимым ощущением тишины и покоя...""Vintage & Mansard"" հյուրատները սիրով ողջունում են Ձեզ և հոգ տանում յուրաքանչյուրիդ հարմարավետության և յուրահատուկ ընդունելության համար։ Վարում ենք ճկուն և բազմազան գնային քաղաքականություն.5 և ավել հյուրերի դեպքում կգործեն աննախադեպ զեղչեր.*Գիշերակաց և նախաճաշ1 անձ 9.000 դրամ2 անձ 15.000 դրամ*Տունը վարձակալելու դեպքում օրավարձի արժեքն է 40.000 դրամ, որն իր մեջ ներառում է'*3 ընդարձակ ննջասենյակ' 8 մահճակալով (ըստ անհրաժեշտության մահճակալների թիվը կարող ենք ավելացնել)* մեծ հյուրասենյակ*հարմարավետ խոհանոց' հագեցած սպասքով* ընդարձակ բաց պատշգամբ* առանձին լոգասենյակ* ընդարձակ բակ* այգի* ավտոտնակԱպահովված կլինեն.* բարձրորակ ճերմակ անկողնային պարագաներ*լվացքի մեքենա*արդուկ*հիգիենայի պարագաներ *վարսահարդարիչ*սպասք* թեյնիկ* թեյ* սուրճ և այլն։Օրավարձի համար գործում է գնային ճկուն համակարգ.1օրը 50.000դրամ2 օրը 60.000 դրամ3 օրը 80.000 դրամ4 օրը 100.000 դրամ5 օրը 120.000 դրամ6 օրը 140.000 դրամ7 օրը 160.000 դրամ1 շաբաթից ավել վարձակալելու դեպքում գները և պայմանները կփոփոխվեն' նաև կախված անձանց քանակից։ՇԱՀԱՎԵՏ ԱՌԱՋԱՐԿ.Ամսավարձով, այսինքն առավել մատչելի տարբերակով կարող եք վարձակալել առանձին սենյակ հյուրատանը և օգտվել հյուրատան վերը նշված բոլոր հարմարություններից և առաջարկվող պայմաններից.Սենյակների արժեքները.**Երկտեղանոց-ամսական 95.000 դրամ*** 3-4 տեղանոց- ամսական 115.000 դրամ****5-6 տեղանոց- ամսական 145.000 դրամ*Եթե հյուրերը մեկ խումբ են և նրանց թիվը գերազանցում է նշված 10-12 անձը, առաջարկում ենք մեր ընդարձակ հյուրասենյակը ևս հագեցնել անհրաժեշտ քանակությամբ մահճակալներով, յուրաքանչյուր ավելացրած մահճակալի համար վճարելով ամսական ընդամենը 30.000 դրամ։* Ամսավարձով ամբողջ տունը վարձակալելու դեպքում արժեքը կլինի մոտ 250.000-350.000 դրամի սահմաններում' կախված հյուրերի քանակից։Նկարագրությունը.Քարե երկհարկանի առանձնատուն Լոռվա հրաշք բնության գրկում' Գուգարք համայնքում' Վանաձորի կենտրոնից ընդամենը 5 րոպեի հեռավորության վրա։Հիանալի փայտե մանրահատակով, առանձին լոգասենյակով և սանհանգույցով, ննջասենյակներն ընդարձակ են, միայն մեկ հարկը նախատեսված է 10 և ավելի անձանց համար։ Կահավորված է նրբաճաշակ վինտաժային ոճով։ Ջեռուցվում է անհատական ջեռուցման համակարգով։ Բարձրադիր դիրքի շնորհիվ պատշգամբից ունի գեղեցիկ տեսարան։ Ունի ավտոտնակ' նախատեսված երկու ավտոմեքենայի համար, ունի ընդարձակ բակ և այգի։Գինը և պայմանները փոփոխական են (Սնունդով կամ առանց սննդի)**Նախաճաշ, ճաշ, ընթրիք, աղանդեր։Պայմանները և արժեքները' կախված անձանց քանակից։Զանգահարեք, սիրով կպատասխանենք։",Nov-24-2022_23-03,,,https://list.am/en/item/17039240
House,Stone,186 sq.m.,2,4,2,Available,1 spot,Major Renovation,300 sq.m.,7,Yes,Yes,Not included,By Agreement,"Сottage 4th street 4, Vanadzor","200,000 ֏ monthly",AMD,"Տրվում է վարձով երկարաժամկետ (օրավարձով) ։Մանրամասների համար զանգեք։ (Նաև վաճառվում է)Сдаётся на аренду 2 этажный дом в городе Ванадзор.От центральной площади расстояние 3 километров.Отопление-газовый печь (Экономичная) Рядом есть супермаркет, общественный транспорт, пикарня. Дом комфортный с мебелью. Могут жить до 7 человек. Потробности звоните по номеру.",Nov-24-2022_23-03,,,https://list.am/en/item/17547193
Country House,Stone,72 sq.m.,1,3,1,Available,Not available,Major Renovation,1000 sq.m.,8+,Yes,Yes,Included,2 weeks,Lorri › Stepanavan,"5,000 ֏ daily",AMD,"The private house is located in Gargar village, Stepanavan region, Luri region, on the river bank, near Dendropark. It is newly built, all the communal and household amenities are available.Hot առը cold watergas stoverefrigeratorվայֆայ:Bathroom, 2 bedrooms with double beds, children's bed, dining room furniture opening (for 4 people to sleep) The house has a big yard. There is a pavilion in the yard (besetka) with its barbecue, big swinging deer. The price varies depending on the number of people: Days#Holiday in Lori#Dendropark# Stepanavan#Pine# Dusting# River # riverbank#Dendropark_dustingDendropark ###Dendropark ###Gargar ###Gyulagarak ###Pushkino ###Stepanavan ###Lori berd ###1 person - 5000 dailyMinimum daily housekeeping - 20000 AMDTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17325633
Country House,Stone,75 sq.m.,1,3,1,Available,Not available,Cosmetic Renovation,120 sq.m.,4,Yes,No,By Agreement,By Agreement,Lorri › Stepanavan,"30,000 ֏ daily",AMD,"READ CAREFULLY NEW CALL!In the city of Stepanavan (long-term until spring, beginning of May) a 3-room private house is for daily rent (two to three) Suitable for (seasonal) recreation, provided with all utilities(cylinder gas)A beautiful view of the colorful forests and mountains of Lorva. A very suitable place for nature lovers, to get away from the noise of the city, to organize a complete rest.It has a very convenient yard for parking 3 cars at once, a barbecue grill.Daily wage, 20,000 AMD. (the price is negotiable depending on the number of persons and days)Hot and cold waterrefrigeratordishes2 bedrooms with double bedsdining room furniture#HangistLori# Arboretum#Stepanavan#Pine#Pollination#Arboretum_pollinationDendropark###Arboretum###vayber:Translated from Armenian",Nov-24-2022_23-03,"TElevision, barbecue oven","FRidge, stove, microwave, coffee maker, washing machine, water heater, iron",https://list.am/en/item/16866821
House,Stone,78 sq.m.,1,3,1,Available,Not available,Cosmetic Renovation,140 sq.m.,5,Yes,No,By Agreement,By Agreement,"Գերմանական թաղամաս 3, Ստեփանավան","30,000 ֏ daily",AMD,"In the city of Stepanavan (long-term until the beginning of May) a 3-room private house is for daily rent (two with three units) Suitable for (seasonal) recreation, provided with all utilities(cylinder gas)A beautiful view of the colorful forests and mountains of Lorva. A very suitable place for nature lovers, to get away from the noise of the city, to organize a complete rest.It has a very convenient yard for parking 3 cars at once, a barbecue grill.Daily wage, 20,000 AMD. (the price is negotiable depending on the number of persons and days)Hot and cold waterrefrigeratordishes2 bedrooms with double bedsdining room furniture#HangistLori# Arboretum#Stepanavan#Pine#Pollination#Arboretum_pollinationDendropark###Arboretum###Translated from Armenian",Nov-24-2022_23-03,"TElevision, barbecue oven","FRidge, microwave, coffee maker, washing machine, water heater, iron",https://list.am/en/item/17869892
House,Bricks,140 sq.m.,2,4,1,,,Designer Renovation,100 sq.m.,,,,,,"Տպագրիչների փողոց 7, Վանաձոր","7,000 ֏ daily",AMD,"Гостевые дома ""Винтаж и Мансард"" приветствуют своих уважаемых гостей в тихом горном уголке Армении в Лори в Ванадзоре.Беспрецедентные временные скидки:1 человек1 отдельная уютная комната1 ночь / Постель без завтрака/7.000 драмовЕщё в наших объявлениях мы стремились предложить всевозможные доступные и удобные варианты проживания для каждого гостя.Доступное предложение!Красивый кирпичный дизайнерский дом в центре города с деревянным мансардом, капитально отремонтированный.Вы можете за ежемесячную плату, то есть намного ниже по цене по сравнению с посуточными арендами бронировать только отдельную комнату в гостевом доме ""Мансард"" или дом целиком по доступной цене и пользоваться всеми предлогаемыми удобствами:** Двухместная комната - 95.000 драмов ежемесячно.*** 3-4 местная - 115.000 др.**** 3 - 4 местная комната на мансарде... 115.000 др.Здесь вы можете любоваться тишиной, а с времени от времени насладиться звонами церковных колоколов из соседней улицы.*Ежемесячная плата целого дома будет составлять примерно 250.000 - 350.000, зависимо от числа гостей!Мы также предлогаем в гостевых домах "" Винтаж & Мансард"" услугу типа как ""Постель и завтрак"" со следующими скидками:1 чел. - 9.000 драмов2 чел. - 15.000 драмовЕсли количество гостей в группе превышает число 5, у нас беспрецедентные скидки.Мы также сдаём гостевой дом посуточно:1 день - 50.000драмов2 дня - 60.0003 дня - 80.0004 дня - 100.0005 дней - 120.0006 дней - 140.0007 дней - 160.000Если на более длительное время то цены рассматриваются!Տունը գտնվում է Վանաձորի կենտրոնական հատվածում։Օրերի քանակին զուգահեռ սակարկվում է արժեքը։Ամսավարձի արժեքն է.*Սենյակ վարձակալելու դեպքում 95.000- 115.000 դրամ' ամսական։*Ամբողջ տունը վարձակալելու դեպքում' 250.000 - 350.000 դրամ' ամսական, կախված հյուրերի քանակից. Շատ ազատ կապրեն 8-10 մարդ։Այն իր մեջ ներառում է 3 ընդարձակ և 1 փոքր ննջասենյակներ, որոնցից երկուսը մանսարդային հարկում, մեծ և հարմարավետ խոհանոց-ճաշասենյակ' հագեցած անհրաժեշտ պարագաներով, հարդարված բակ, երկու բաց պատշգամբ, որոնցից մեկը փոքր, մյուսն ընդարձակ։Ապահովված կլինեն հետեւյալ պայմանները' բարձրորակ սպիտակ անկողին, լվացքի մեքենա, արդուկ, վարսահարդարիչ, միանգամյա օգտագործման հիգիենայի պարագաներ, թեյնիկ, թեյ, սուրճ։Օրավարձի համար գործում է գնային ճկուն համակարգ.1օր 50.000 դրամ2 օր 60.000 դրամ3 օր 80.000 դրամ4 օր 100.000 դրամ5 օր 120.000 դրամ6 օր 140.000 դրամ7 օր 160.000 դրամԱվելի երկար ժամանակով վարձակալելու դեպքում արժեքը և պայմանները ենթակա են փոփոխման։Սիրով հրավիրում ենք լինել մեր նորաբաց հյուրատան առաջին այցելուներից։Նկարագրությունը.Աղյուսե առանձնատուն' փայտե մանսարդով։ Այս տարի կատարվել է դիզայներական ոճով կապիտալ վերանորոգում։ Ունի բաց պատշգամբ, ննջասենյակները նախատեսված են' յոթ և ավելի անձանց համար։ Առկա է փոքրիկ հարդարված բակ, ավտոկայանատեղի: Տունը գտնվում է քաղաքի կենտրոնում, բայց միևնույն ժամանակ իր գողտրիկ տեղանքով լիովին առանձնացած է քաղաքի աղմուկից։ Մոտակայքում են գտնվում Սուրբ Գրիգոր Լուսավորիչ եկեղեցին, Սայաթ-Նովայի այգին, Ստեփան Զորյանի տուն-թանգարանը, հարևանությամբ է գտնվում քանդակագործ Գասոյի արվեստանոցը:Արժեքը և պայմանները փոփոխական են' սնունդով կամ առանց սննդի** Նախաճաշ, ճաշ, ընթրիք, աղանդեր**կախված անձանց քանակից։Զանգահարեք սիրով կպատասխանենք։",Nov-24-2022_23-03,,,https://list.am/en/item/16311455
Country House,Wooden,50 sq.m.,1,4,1,,,Major Renovation,40 sq.m.,,,,,,"Ավետիք Իսահակյան փողոցի 2-րդ նրբանցք 14, Ստեփանավան","10,000 ֏ daily",AMD,"A fully renovated wooden summer house is for daily rent in Stepanavan. It has 2 bedrooms, a living room with a kitchen. Permanent hot and cold water, Wi-Fi is available. It is intended for 1-6 people, it also has a pavilion (bisetka) The house is bought near the forest (Aleia) There are supermarkets and fast food outlets nearby.The price is from 10,000 to 15,000 AMDTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17773082
House,Stone,80 sq.m.,1,2,1,,,Euro Renovation,200 sq.m.,7,Yes,Yes,By Agreement,2 weeks,"5-я улица 12Г, Куртан","5,000 ֏ daily",AMD,Всё можно обсудить. Очень красивый вид из дома всё рядом. Д КУРТАН,Nov-24-2022_23-03,,,https://list.am/en/item/17987047
Country House,Wooden,35 sq.m.,2,3,1,,,Designer Renovation,,,,,,,"Hakob Meghapart street 15a, Stepanavan","25,000 ֏ daily",AMD,"Коттедж в Степанаване, для семейного отдыха, до 4-5 человека стоимость одного дня 25.000 драмов. Для подробной информации можете писать в ЛС. Либо набрать Ануш. Telegram, WhatsApp, viber",Nov-24-2022_23-03,,,https://list.am/en/item/17910892
House,Stone,80 sq.m.,2,2,1,Available,Not available,Cosmetic Renovation,250 sq.m.,3,Yes,Yes,Included,By Agreement,"Կոմիտասի փողոց 13, Ստեփանավան","15,000 ֏ daily",AMD,"All utilities are availableinternet, constant hot and cold waterA stall with a forkAlley park, forest very closeFor three peopleNot less than three daysTranslated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17596347
Country House,Stone,90 sq.m.,2,3,1,Available,3 or more spots,Major Renovation,,6,Yes,No,Included,1 month,Lorri › Vanadzor,"40,000 ֏ daily",AMD,"2-3 rooms of a private house are for daily / monthly rent.Fully renovated, has a swimming pool, recreation area, free parking, fireplace. In Vanadzor ecologically clean district. Located near the sanatorium. There is free wifi, dishes, hygiene items.A great place to get away from everyday worries and enjoy the rest to the fullest.Flexible monthly discounts apply.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17727429
Country House,Stone,120 sq.m.,1,4,1,Available,1 spot,Cosmetic Renovation,1000 sq.m.,5,Yes,Yes,Not included,By Agreement,Lorri › Shirakamut,"100,000 ֏ monthly",AMD,"A house is for rent in Shirakamut (Nalband) village. It is provided with all the communal possibilities. It has gas, water, hot water. 3 bedrooms 1 living room, kitchen and bathroom.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/17569077
House,Monolith,600 sq.m.,2,5,3+,,,Designer Renovation,"30,000 sq.m.",,,,,,Lorri › Tashir,"$5,000 monthly",USD,Сдаеться 2 этажный дом в городе Ташир. Рядом с домом собственный пруд. Можно ловить рыбу. Дизайнерский ремонт. Красивый двор с деревьями.,Nov-24-2022_23-03,,,https://list.am/en/item/17964746
Country House,Stone,80 sq.m.,1,4,1,,,Cosmetic Renovation,500 sq.m.,,,,,,"Հակոբյան փողոց 2/6, Վանաձոր","25,000 ֏ daily",AMD,"The summer house is equipped with all the necessary communal facilities, it is located in the lap of wonderful nature, where there are many pine trees. It has a small swimming pool, car parking, toaster, grill, etc.For details, call from 07:00 to 20:00Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/18119621
House,Wooden,65 sq.m.,2,3,1,Available,Not available,Designer Renovation,300 sq.m.,6,Yes,Yes,Not included,By Agreement,"Իսահակյան փողոց 12, Ստեփանավան","17,000 ֏ daily",AMD,"Wooden House. A two-story wooden private house is for daily rent at 2 Isahakyan Street in Stepanavan. The apartment has 3 rooms, a bathroom, and a kitchen. It is fenced.: It is located in a forest, pine trees /alley/in the neighborhood On the 1st floor there is a living room, a kitchen with necessary utensils, a bathroom and a toilet; on the 2nd floor: 2 bedrooms; Call in advance to reserve.Translated from Armenian",Nov-24-2022_23-03,,,https://list.am/en/item/16487757
House,Stone,160 sq.m.,2,5,2,,,Euro Renovation,400 sq.m.,7,Yes,Yes,Not included,By Agreement,Lorri › Vanadzor,"500,000 ֏ monthly",AMD,"Сдается новый двухэтажный каменный дом.3-й этаж недостроен.На первом этаже большая гостиная/конференц-зал, кухня, отремонтированная и оборудованная ванная комната с двойным джакузи, туалет.На втором этаже 3 спальни, гостиная, два балкона, один из которых выходит во фруктовый сад. В саду растут яблони, вишни, черешни, груши, кусты малины.Двор огорожен, цветник, мангал. Есть парковочное место на 3-4 машины.Огорожена, ворота железные.Парадная входная дверь из массивного железа, балконы из жестяных евродверей.Кухня, санузел, коридор, 2 этажа веранды и лестницы выложены плиткой.Пол дома: Ламинат.Окна и двери евро, межкомнатные новые.Дом яркийЕсть интернет, телефонная линия, газ, электричество, горячая и холодная вода.Оба этажа отапливаемые.Лестница внутри.Вместе с имуществом и техникой (стиральная машина, сушилка, посудомоечная машина, холодильник, телевизор и т. Д.)Дом находится в тихом и безопасном районе, в Шаумяне, недалеко от леса и реки, не на берегу реки.Улица благоустроена и освещена, есть собственная канализация.Дом также можно использовать как гостевой дом (б/у), он находится недалеко от горы Маймех, Тежлера, Ванадзора.Автобус ходит каждые 20 минут, до остановки идти 4-5 минут.Есть камеры слежения. Продажа тоже возможна",Nov-24-2022_23-03,,,https://list.am/en/item/18371132
House,Wooden,75 sq.m.,1,3,1,,,Euro Renovation,1000 sq.m.,,,,,,Lorri › Stepanavan,"20,000 ֏ daily",AMD,In the neighborhood of the Arboretum in the village of GargarTranslated from Armenian,Nov-24-2022_23-03,,,https://list.am/en/item/17899746
