Construction Type,New Construction,Elevator,Floors in the Building,The House Has,Parking,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Amenities,Appliances,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Window Views,Links
Stone,No,Not available,5,,,65 sq.m.,2,1,from 3 m,4,Not available,Available,Major Renovation,,,4,Yes,No,Not included,By Agreement,Aragatsotn › Ashtarak,"150,000 ֏ monthly",AMD,"An apartment for rent in the city of Targary, fully renovated, uninhabited. A brand new buck system comes with the property and appliances. For more information call:Translated from Armenian",Dec-15-2022_21-12,,https://list.am/en/item/18447169
Stone,No,Not available,5,,,38 sq.m.,1,1,from 2.8 m,2,Not available,Available,Major Renovation,Television,"Fridge, stove, washing machine",2,Yes,No,Not included,1 month,"Պռոշյան փողոց, Աշտարակ","140,000 ֏ monthly",AMD,"1-room apartment for rent in In the tower.The apartment is completely renovated, it is located in the area of the square.Area: 38 square metersFloor: 2/5It is equipped with all amenities, heated by an electric stove.Rent: 140,000 AMD.Translated from Armenian",Dec-15-2022_21-12,Yard view,https://list.am/en/item/18651306
Stone,Yes,Not available,2,Concierge,Outdoor parking,3000 sq.m.,8+,3+,from 3 m,2,Open balcony,Available,Designer Renovation,"Television, internet, parking space","Fridge, stove, microwave, coffee maker, dishwasher, washing machine, drying machine, water Heater, iron, hair dryer",8+,Yes,Negotiable,Included,By Agreement,Aragatsotn › Ashtarak,"40,000 ֏ daily",AMD,"A mansion in a tower in Oshakan, a very beautiful house with a unique design style, everything to organize your vacation, a large swimming pool, a sauna, a city, 19 cl, a televt.Translated from Armenian",Dec-15-2022_21-12,"Yard view, street view, park view",https://list.am/en/item/18635754
Stone,No,Not available,1,Playground,Outdoor parking,65 sq.m.,2,1,from 2.5 m,1,Multiple balconies,Available,Major Renovation,"Television, internet, parking space","Fridge, stove, water Heater",2,Yes,No,Not included,2 months,Aragatsotn › Ashtarak,"120,000 ֏ monthly",AMD,For more information callTranslated from Armenian,Dec-15-2022_21-12,Yard view,https://list.am/en/item/18685272
Stone,No,Not available,2,,,70 sq.m.,2,1,from 2.75 m,2,Not available,By agreement,Cosmetic Renovation,,,8+,Yes,Negotiable,Not included,By Agreement,Aragatsotn › Ashtarak,"120,000 ֏ monthly",AMD,"Own house for rent in Ashtarak. The house is located on the 1st floor of a private house with a horse-drawn entrance, newly renovated.Translated from Armenian",Dec-15-2022_21-12,,https://list.am/en/item/18637542
Stone,No,Not available,4,,Outdoor parking,28 sq.m.,1,1,from 2.7 m,1,Not available,Available,Cosmetic Renovation,"Television, internet","Fridge, washing machine",5,Yes,No,Not included,2 months,"Արտակի փողոց, Աշտարակ","150,000 ֏ monthly",AMD,"A 1-room apartment is for rent on the 1st floor of a 4-story stone building in the central part of Ashtarak. The apartment is cosmetically renovated, euro windows are installed. It is provided together with the property (including TV, refrigerator, washing machine) Around the building there are banks, supermarkets, clothing stores, beauty salons, etc. The pictures are posted. Only those who really want to call. The price is negotiable.Translated from Armenian",Dec-15-2022_21-12,Yard view,https://list.am/en/item/18703602
Stone,Yes,Not available,1,Playground,"Outdoor parking, covered parking",100 sq.m.,3,1,from 3 m,1,Open balcony,Available,Designer Renovation,"Television, air conditioner, internet, parking space",,8+,Yes,No,Included,Without prepayment,"Արագածի փողոց, Ոսկեվազ","50,000 ֏ daily",AMD,"You can organize your events with us for up to 20 people, if you wish, they can organize an overnight stay for six people. The house has a bathroom, two bedrooms, kitchen, bathroom, hot and cold water, parking for cars. The house is fully furnished. In case of additional questions, you can call the specified phone number.Translated from Armenian",Dec-15-2022_21-12,"Park view, view of Ararat",https://list.am/en/item/18700076
Stone,No,Not available,5,,"Outdoor parking, covered parking, garage",64 sq.m.,2,1,from 3 m,1,Not available,Available,Designer Renovation,"Television, air conditioner, internet, parking space","Fridge, stove, microwave, coffee maker, dishwasher, washing machine, water Heater, iron, hair dryer",4,Yes,No,Included,Without prepayment,"Улица Тиграна Меца, Аштарак","17,000 ֏ daily",AMD,"Новый с современным дизайном ремонт где есть 2 комнаты, новый ремонт, есть все удобства для жиля и бесплатная парковка. Цена за месяц по договоренности.",Dec-15-2022_21-12,Street view,https://list.am/en/item/18574032
Stone,No,Not available,5,,,48 sq.m.,2,1,from 2.8 m,2,Closed balcony,Available,Cosmetic Renovation,,,3,No,No,Not included,2 months,Aragatsotn › Aparan,"80,000 ֏ monthly",AMD,"A one-room niche is for rent in the center of Aparan city, near Gntunik, with a furnished bathroom, renovated in Euro, provided with basic necessities. The apartment is rented with a deposit and to responsible, clean people for no less than 6 months.Translated from Armenian",Dec-15-2022_21-12,,https://list.am/en/item/18553324
Stone,No,Not available,5,,,45 sq.m.,2,1,from 2.8 m,3,Closed balcony,Available,Cosmetic Renovation,,,2,Yes,No,Not included,1 month,Aragatsotn › Ashtarak,"120,000 ֏ monthly",AMD,"Code: H0442Apartment for rent in Ashtarak, on the square.The apartment has 1 room with a niche.The area is about 45 square meters.It is located on the 3rd floor of a 5-storey building.It is equipped with all furniture and appliances.It has all the utilities.Rent: 120,000 AMD + deposit.Translated from Armenian",Dec-15-2022_21-12,,https://list.am/en/item/18518506
Stone,No,Not available,4,,,101 sq.m.,4,1,from 2.8 m,4,Multiple balconies,,Cosmetic Renovation,,,,,,,,Aragatsotn › Aparan,"100,000 ֏ monthly",AMD,"Есть всё необходимое для жизни, 2 открытх балкона с красивым видом на гори. Остальные вопросы по телефону. Д. ДЖРАМБАР. И продаётся.",Dec-15-2022_21-12,,https://list.am/en/item/18403921
Stone,No,Not available,1,,,30 sq.m.,1,1,from 2.8 m,1,Not available,,Major Renovation,,,4,Yes,Yes,Included,1 month,"Վարդգես Պետրոսյանի փողոց, Աշտարակ","180,000 ֏ monthly",AMD,"1-room apartment for long-term rent c. In the tower. The apartment will be ready in 1 month. The apartment will have all utilities, a new kitchen, renovated and furnished in hotel style.Translated from Armenian",Dec-15-2022_21-12,,https://list.am/en/item/18526129
Stone,No,Not available,5,,,63 sq.m.,2,1,from 2.8 m,1,Not available,Available,Cosmetic Renovation,,,2,Yes,No,Not included,Without prepayment,"Տիգրան Մեծի փողոց, Աշտարակ","150,000 ֏ monthly",AMD,"Code: H0445Apartment for rent in Ashtarak.The apartment has 2 rooms.It is located on the 1st floor.It is equipped with all furniture and appliances.It has all utilities. An apartment is for rent in Ashtarak.The apartment has 2 rooms.The area is 63 square meters.It is located on the 1st floor of a 5-storey building.It is equipped with all furniture and appliances.It has all the utilities.There is also a basement.Rent: 150,000 AMD.Translated from Armenian",Dec-15-2022_21-12,,https://list.am/en/item/18537001
Stone,No,Not available,5,,,72 sq.m.,3,1,from 3 m,4,Multiple balconies,Available,Euro Renovation,"Television, air conditioner, internet, parking space","Fridge, stove, microwave, coffee maker, washing machine, water Heater, hair dryer",2,Yes,No,Not included,1 month,"Տիգրան Մեծի փողոց, Աշտարակ","250,000 ֏ monthly",AMD,"Code: H0005A fully renovated apartment in Ashtarak is for rent.Area: 72 square metersFloor: 4/5The apartment has:Entrance hallBright living room2 bedroomsKitchen1 auxiliary room (closet)2 open balconies with a wonderful view.Baxi heating system and air conditioner are installed. The entrance door is iron. Part of the floor is tiled, the other part is laminate. All facilities and conditions are available.Rent: 250,000 AMD, negotiable.If desired, it is also possible to sell it together with all the furniture and appliances.Price: $63,000 negotiable.Translated from Armenian",Dec-15-2022_21-12,Yard view,https://list.am/en/item/18518134
Stone,No,Not available,2,,,120 sq.m.,4,1,from 2.75 m,2,Open balcony,,Old Renovation,,,,,,,,Aragatsotn › Byurakan,"70,000 ֏ monthly",AMD,"A house is for rent in Byurakan, close to the center.Translated from Armenian",Dec-15-2022_21-12,,https://list.am/en/item/17890783
Stone,Yes,Not available,2,,,200 sq.m.,7,2,from 3 m,2,Not available,,Euro Renovation,,,,,,,,Aragatsotn › Oshakan,"$1,250 monthly",USD,"Two-story private house for rent in Oshakan. Stone building, 5 bedrooms, 2 bathrooms, 1 bathroom, spacious yard, parking.Translated from Armenian",Dec-15-2022_21-12,,https://list.am/en/item/18384439
