Type,Floor Area,Address,Price,Currency,Description,Datetime,Utilities,Links
Garage,25 sq.m.,"August 23 street, Abovyan","$14,000",USD,"Stone garage for saleLand for garage and buildings is privatized.Separate water, sewerage, internal electricity and lighting are provided.Garage for 2 cars, the floor and the walls are plastered.Translated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/17843166
Garage,20 sq.m.,"2nd microdistrict, Abovyan","$8,300",USD,"Garage for sale near Arpimed, has an additional area of 8 square meters, has electricity, the garage is privatizedThe price is negotiable, it is possible to exchange it with a car.Translated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/17005576
Parking Space,36 sq.m.,"Yeritasardakan street, Abovyan","$10,000",USD,"Ավտոտնակն սեփականաշնորհված չի գրանցումն ձեր վրայա, չափսը ունի 9 մետր երկարություն, 4 մետր լայնություն, գտնվում է չոր վիճակում",Nov-24-2022_16-31,,https://list.am/en/item/16216194
Garage,17 sq.m.,Kotayk › Abovian,"1,250,000 ֏",AMD,"An iron garage is for sale, the land is owned, next to the Executive Committee, it is possible to expand it later. Negotiable.Translated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/16730689
Garage,24 sq.m.,"14 street 216, Hrazdan","$3,000",USD,"Garage for sale in the area of 215 and 216 buildings, has a basement of its size (6 × 4 × 3, length ֊ width ֊ height), there is an opportunity to build a garage or another building in the same size atticTranslated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/16558784
Garage,20 sq.m.,"4th microdistrict, Abovyan","$6,500",USD,"A private garage is for sale in the back of the printing house in Abovyan city, I will exchange it for a car and write.Translated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/18060375
Garage,19 sq.m.,Kotayk › Abovian,"$6,000",USD,"Stone garage with basement for sale, call for detailsTranslated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/18017455
Garage,18 sq.m.,Kotayk › Arinj,"350,000 ֏",AMD,Metal garage with acetone insulationTranslated from Armenian,Nov-24-2022_16-31,,https://list.am/en/item/17837287
Garage,24 sq.m.,Kotayk › Hrazdan,"$3,500",USD,"Stone garage for sale, c. In Hrazdan, in the center district, next to school # 13, it is the second in a row of garages, it also has a 24 sq. M. BasementThe price does not include cadastral costs about $ 600Translated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/17674346
Garage,18 sq.m.,"Hatis street, Abovyan","400,000 ֏",AMD,"Garage, located at 7 dormitory addressIt is rented for 10,000 months. The area is not privatized.Translated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/17993100
Garage,25 sq.m.,Kotayk › Abovian,"$11,000",USD,"Продаётся гараж 25 кв. М. Имеются все документы на гараж.Гараж находится на первой линии, напротив 4 микро 59 дома.Имеется подвальное помещение.Можно переоформить, как жилое помещение или под коммерцию, а также построить 2 этаж.По всем вопросам пишите и звоните.Цена окончательная.",Nov-24-2022_16-31,,https://list.am/en/item/18070667
Garage,18 sq.m.,"Torozyan street 12, Nor Hachin","$2,500",USD,The garage is concrete. There is wood in it.Translated from Armenian,Nov-24-2022_16-31,,https://list.am/en/item/17937274
Garage,36 sq.m.,Kotayk › Nor Geghi,"900,000 ֏",AMD,Urgent 12/3 in good conditionTranslated from Armenian,Nov-24-2022_16-31,,https://list.am/en/item/18132766
Garage,28 sq.m.,Kotayk › Charentsavan,"$8,000",USD,"Продаеться гараж 6 квартал перед 3 домом, каменная постройка, все документы есть имущественные, есть подвальное помещение, по всем вопросам обращайтесь по номеру телефона",Nov-24-2022_16-31,,https://list.am/en/item/18137368
Garage,70 sq.m.,Kotayk › Charentsavan,"$15,000",USD,"Building in front of 3 district 2 privatized building with 70 square meters, for questions call the price negotiableTranslated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/17359542
Garage,24 sq.m.,Kotayk › Jrvezh,"$12,500",USD,Гараж туф кари 4. 6 вра мотавор банаван 12 ш димац абмен автомекенаеи хет минчев 5000 $,Nov-24-2022_16-31,,https://list.am/en/item/15686330
Garage,17 sq.m.,"Улица Еритасардакан 14, Абовян","$3,500",USD,"Продается гараж в Абовяне, цена 3500$ (торг) Возможен обмен на автомобиль равноценной стоимости.",Nov-24-2022_16-31,,https://list.am/en/item/18045459
Garage,32 sq.m.,Kotayk › Abovian,"$10,000",USD,"Hurry!A large garage for 2 cars is for sale from the owner, in the yard of the Republic 6 building.Total area: 32 square meters.Translated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/17294832
Garage,24 sq.m.,"3-րդ թաղամաս 9, Չարենցավան","$7,000",USD,Garage on 4 × 6. 3 district 9 in front of the building.Translated from Armenian,Nov-24-2022_16-31,,https://list.am/en/item/12043434
Garage,30 sq.m.,Kotayk › Nor Hachen,"$12,000",USD,In the stone garages behind 1 school. It has a basement under the whole garage.Translated from Armenian,Nov-24-2022_16-31,,https://list.am/en/item/16805797
Garage,30 sq.m.,"Yeritasardakan street 1, Abovyan","$6,500",USD,"Owned concrete garage in Abovyan city, in very good condition.Translated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/18242569
Parking Space,20 sq.m.,Kotayk › Abovian,"60,000 ֏",AMD,"Concrete walls, 4 pieces, suitable for office, garage, plot house and other buildings, pillow dimensions: 2.70 cm, two, 5.70 cm, 30 cm thick, all together 60,000 AMDTranslated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/17825845
Garage,50 sq.m.,"6-й квартал 6-6, Чаренцаван","8,000,000 ֏",AMD,Kamin boks (padval) karaq erkrord hark sarqeq sepakanashnorhac (փոխանակում մեքենայի հետ),Nov-24-2022_16-31,,https://list.am/en/item/13946167
Garage,12 sq.m.,Kotayk › Kanakeravan,"700,000 ֏",AMD,"A house of 12 m is for sale. , fresh condition.Translated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/17732901
Garage,24 sq.m.,Kotayk › Hrazdan,"$2,000",USD,"A garage is for sale in the southern district of Hrazdan, near the restaurant ""Khandzor Orchard"". Concrete walls and roof, roof also sheet metal. It is dry, has a box. It is also possible to disassemble and transport.Google coordinates: 40.490432, 44.750891Translated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/16819607
Garage,25 sq.m.,Kotayk › Hrazdan,"$1,500",USD,"For sale 22 sq. M. Մ. Surface with concrete walls, garage c. Hrazdan, next to the Bread Factory.Translated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/17490693
Garage,29 sq.m.,Kotayk › Zovuni,"$3,000",USD,"The price is for sale on house 9/3, negotiable, the inside of the house was demolished for repairs, the house is very close to Davitashen in Zovuni.Translated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/16939330
Garage,60 sq.m.,"Կենտրոն թաղամաս 48, Հրազդան","$12,000",USD,"A newly built stone garage in the yard of building 48, next to the sports school and the former tax office. Will be sold with legal documents. Fits 2 cars. Real buyers will call after 6:00 PM. Also exchange with the car at an additional cost on your part.Translated from Armenian",Nov-24-2022_16-31,,https://list.am/en/item/17317369
Garage,47 sq.m.,Kotayk › Hrazdan,"5,000,000 ֏",AMD,"In front of 8 schools, two garages together are in very good condition. It has a basement, box, light, possibility of second floor, ownership certificate.Translated from Armenian",Nov-24-2022_16-32,,https://list.am/en/item/16868012
Garage,24 sq.m.,"Sevani street, Abovyan","$8,000",USD,"Garage for sale, located next to 2/1 building on Sani street, call for details, very urgentTranslated from Armenian",Nov-24-2022_16-32,,https://list.am/en/item/17533670
Garage,18 sq.m.,"Երևանյան փողոց 5, Հրազդան","$2,200",USD,"A concrete garage is for sale in the area between the ""Apple Garden restaurant"" of 44 Yerjanyan building. It has a box, the roof is concrete - tin. The garage can be demolished and moved. It is for sale urgently.Translated from Armenian",Nov-24-2022_16-32,,https://list.am/en/item/17923010
Garage,30 sq.m.,Kotayk › Hrazdan,"$4,300",USD,Продается гараж с инструментами можно и оделно...Вазможно обмен на легковой авто.Гараж находится рядом с продуктовим магазином АРАКС.Документи на собственост естьЯ евляюс хазяиномДЛЯ ПОДРОБНОЙ ИНФОРМАЦИ ЗВАНИТЕ.,Nov-24-2022_16-32,,https://list.am/en/item/18317910
Garage,18 sq.m.,Kotayk › Mayakovski,$800,USD,"A garage of 3 * 6 size for sale, with 4 tablespoons, as a material, Kotayk region, v. In Mayakovsky. Price is negotiable.Translated from Armenian",Nov-24-2022_16-32,,https://list.am/en/item/16228151
Garage,39 sq.m.,Kotayk › Abovian,"6,000,000 ֏",AMD,"Two-story garage,Main floor 24 square meters,Basement floor 15 square meters,Interior design,Shelves in the basement,The land and the garage are private.It is located in front of the 2nd m\sh 18 building. It is also very convenient for residents of adjacent new buildings.Translated from Armenian",Nov-24-2022_16-32,,https://list.am/en/item/18062126
Garage,,Kotayk › Abovian,"$8,000",USD,37qarakusi taky yama nuyn chapi,Nov-24-2022_16-32,,https://list.am/en/item/13924938
Garage,21 sq.m.,Kotayk › Yeghvard,"$1,000",USD,A place for a car hut. Located on the road to kindergartenTranslated from Armenian,Nov-24-2022_16-32,,https://list.am/en/item/17635271
Garage,26 sq.m.,"2-րդ փողոց 24, Հրազդան","$9,900",USD,"1. Has a new ownership certificate,2. Has its own current (electricity),3. Capital renovated,4. The floor is tiled.5. The roof is covered with tin,6. It has 6 square meters. Meter basement,7. Has a handstand,8. It has the possibility to go up to the 2nd floor, which can be used as the first floor,9. It does not have its own water and sewage.It is also possible to exchange with a state-owned 1-4-room apartment (in the case of a 3-4-room apartment with an additional fee from me)COMMERCIAL AREA IS IN HAZDA CITY,ONLY REAL WANTS CALLPRICE IS FINAL AND NON-NEGOTIABLE.Translated from Armenian",Nov-24-2022_16-32,,https://list.am/en/item/16120185
Garage,30 sq.m.,"4th microdistrict, Abovyan","$10,000",USD,The garage is located right behind the 4th micro Hay Economy Bank. There is a separate entrance leading to the garage. Call for questions.Garage:Translated from Armenian,Nov-24-2022_16-32,,https://list.am/en/item/17569046
Parking Space,1400 sq.m.,"Ստեփան Շահումյանի փողոց 40, Հրազդան","$50,000",USD,"Car service station with its own substation, water. Can also serve close to homeTranslated from Armenian",Nov-24-2022_16-32,,https://list.am/en/item/18287840
Garage,34 sq.m.,Kotayk › Hrazdan,"$6,200",USD,"Iron garage for sale, 7.5 m x 4.5 meters, in very fresh condition, made of full metal rafters.Translated from Armenian",Nov-24-2022_16-32,,https://list.am/en/item/18200176
Garage,45 sq.m.,"Saralangi street 24, Abovyan","$10,000",USD,The garage is located in SaralanjIt has a basementTranslated from Armenian,Nov-24-2022_16-32,,https://list.am/en/item/18230374
Garage,44 sq.m.,"Նաիրյան փողոց 16, Աբովյան","$10,000",USD,"It has a basement, electricityPrivatizedthere is no problemTranslated from Armenian",Nov-24-2022_16-32,,https://list.am/en/item/18079697
Garage,20 sq.m.,"4th microdistrict, Abovyan","3,000,000 ֏",AMD,"The garage is located in the row of garages in front of the 4th micro 52 53 buildings.It has a certificate, it is registered in the cadastre.Exchange with the land by me for an additional fee.Translated from Armenian",Nov-24-2022_16-32,,https://list.am/en/item/17177873
Garage,24 sq.m.,"Z.Andranik St, Hrazdan","$3,500",USD,The garage is located in the adjacent area of Microdistrict 109sh. 6 × 4 m from the stone. Has all the documents. Needs renovation. Garage:Translated from Armenian,Nov-24-2022_16-32,,https://list.am/en/item/15179312
Garage,18 sq.m.,"3rd microdistrict 17, Abovyan","$5,500",USD,"A 3x6 size garage is for sale in Abovyan city, it has a basement, it is located in the yard of the 3rd micro 17 building.It is dry, there are no dripping places.It is urgent.Translated from Armenian",Nov-24-2022_16-32,,https://list.am/en/item/18266280
Garage,25 sq.m.,"Geghard street, Abovyan","$5,000",USD,GarageCall for detailsTranslated from Armenian,Nov-24-2022_16-32,,https://list.am/en/item/17966807
Garage,40 sq.m.,"Geghard street 5, Abovyan","$8,000",USD,Garage in front of building 5 of Gehardi...Falling into 20 square…Translated from Armenian,Nov-24-2022_16-32,,https://list.am/en/item/18113698
Garage,20 sq.m.,"Բաղրամյան փողոց 122Ա, Հրազդան","1,000,000 ֏",AMD,"4 * 5 m garage area in front of 122a building for sale, 2nd rowTranslated from Armenian",Nov-24-2022_16-32,,https://list.am/en/item/17789255
Garage,35 sq.m.,"Erevanyan street, Yeghvard","$8,200",USD,35 քմ հողն է 28 քմ ավտոտնակը:Պատրաստված է հաստ 5- նոց ժեշտով փթած տեղեր չկան:,Nov-24-2022_16-32,,https://list.am/en/item/18347971
Garage,12 sq.m.,Kotayk › Yeghvard,"$2,000",USD,"Iron garage for sale, in quite normal condition, from Soviet times. The thickness of the sheet is 4 mm. If there is a real buyer, it is possible to negotiate the price to a certain extent.Translated from Armenian",Nov-24-2022_16-32,,https://list.am/en/item/18258574
Garage,30 sq.m.,"Yeritasardutyan street 17, Charentsavan","$1,300",USD,30 m2 garage for sale without. Land: Urgently negotiableTranslated from Armenian,Nov-24-2022_16-32,,https://list.am/en/item/16499257
Garage,22 sq.m.,"3rd microdistrict 3, Abovyan","2,999,999 ֏",AMD,"Прямая продажа от собственника. Город Абовян 3 микрорайон дом 3Возможен не большой торг. Подробности по телефону, или пишите в личном письме.",Nov-24-2022_16-32,,https://list.am/en/item/17862685
Garage,18 sq.m.,Kotayk › Hrazdan,"500,000 ֏",AMD,"Garage garage for sale in Hrazdan city on 6.3 with demolition panels price 500,000dTranslated from Armenian",Nov-24-2022_16-32,,https://list.am/en/item/17918491
Garage,18 sq.m.,Kotayk › Abovian,"$7,000",USD,A garage with a basement is for sale. 2nd micro-district near the mother-in-law tongue.Translated from Armenian,Nov-24-2022_16-32,,https://list.am/en/item/18048181
Garage,56 sq.m.,"Yeritasardakan street 8, Abovyan","$15,000",USD,"2 garages for sale (28 square meters) c. In Abovyan, on the youth street (in front of the former bathhouse, next to the barn) attached to each other, next to the road (it is possible to open an entrance from the side of the road) There is electricity, water and sewage. The purpose is public.Translated from Armenian",Nov-24-2022_16-32,,https://list.am/en/item/17878306
Garage,48 sq.m.,"4-րդ փողոց 71, Հրազդան","$5,500",USD,"The garage with its area is urgently for sale, which is located in the back of the dormitory of the thermal power station in the micro-district district. For details, call the indicated phone number. 5.4×8.8=47.5 karakusiTranslated from Armenian",Nov-24-2022_16-32,,https://list.am/en/item/18165591
Garage,20 sq.m.,Kotayk › Charentsavan,"1,700,000 ֏",AMD,Bread 7 district 20 square stone in front of 3 buildingsTranslated from Armenian,Nov-24-2022_16-32,,https://list.am/en/item/17513644
Garage,20 sq.m.,"4th microdistrict, Abovyan","700,000 ֏",AMD,"Urgent, there is no land building only, the land is in the garages behind the 4th micro 72 buildingTranslated from Armenian",Nov-24-2022_16-32,,https://list.am/en/item/16333934
Garage,40 sq.m.,"Ավետիք Իսահակյանի փողոց 7, Նոր Հաճն","$4,500",USD,"Stone garage for sale, c. It is located in Nor Hachn, near the football field. The interior walls are plastered, there is no electricity, the land is not privatized, the price is not negotiable.Translated from Armenian",Nov-24-2022_16-32,,https://list.am/en/item/17051858
Garage,21 sq.m.,Kotayk › Abovian,"$4,500",USD,K. Abovyan 1st microdistrict 8/550 garageTranslated from Armenian,Nov-24-2022_16-32,,https://list.am/en/item/18003983
Garage,24 sq.m.,"Կենտրոն թաղամաս 46, Հրազդան","$7,000",USD,A newly built garage is for sale in Hrazdan city (in Raikom district)The former pioneer is near the palace.It is not for rent.The walls are insulated.Dimensions 4 m × 6 m.Translated from Armenian,Nov-24-2022_16-32,,https://list.am/en/item/17502711
Garage,48 sq.m.,Kotayk › Nor Hachen,"$5,000",USD,Garage with its basement in Ajapnya (ges) district.Translated from Armenian,Nov-24-2022_16-32,,https://list.am/en/item/17964525
Garage,12 sq.m.,Kotayk › Tsakhkadzor,"400,000 ֏",AMD,Iron garageTranslated from Armenian,Nov-24-2022_16-32,,https://list.am/en/item/15746515
Garage,24 sq.m.,"Միկրոշրջան թաղամաս 1, Հրազդան","$2,500",USD,"A panel garage is for sale in the city of Hrazdan, MicrodistrictTranslated from Armenian",Nov-24-2022_16-32,,https://list.am/en/item/18286944
Garage,18 sq.m.,Kotayk › Abovian,"$4,500",USD,"Semi-detachedHas a certificate of ownershipThe attached garage is also for saleHas a certificateIt has a basement, the roof is also used, $8500If 2 wishes, he will be spared!Translated from Armenian",Nov-24-2022_16-32,,https://list.am/en/item/18269256
Garage,18 sq.m.,"Ռուսաստանի փողոց 4, Աբովյան","$6,000",USD,Russia in front of the 4th buildingTranslated from Armenian,Nov-24-2022_16-32,,https://list.am/en/item/17871628
Garage,40 sq.m.,Kotayk › Nor Hachen,"$4,000",USD,Two-storey garageTranslated from Armenian,Nov-24-2022_16-32,,https://list.am/en/item/17653999
Garage,18 sq.m.,Kotayk › Abovian,"$6,500",USD,Garage in the 3rd micro-district.Translated from Armenian,Nov-24-2022_16-32,,https://list.am/en/item/16092356
Garage,20 sq.m.,Kotayk › Byureghavan,"1,450,000 ֏",AMD,A garage is for sale in the city of Byureghavan. The garage is located next to the 6th building. The area is about 20 square meters. It has a basement.Translated from Armenian,Nov-24-2022_16-32,,https://list.am/en/item/18091140
Garage,36 sq.m.,Kotayk › Charentsavan,"$2,200",USD,The garage is in a good location.Translated from Armenian,Nov-24-2022_16-32,,https://list.am/en/item/17431996
Garage,23 sq.m.,"3rd microdistrict 3, Abovyan","$8,000",USD,"Удобный, можно сразу пользоваться",Nov-24-2022_16-32,,https://list.am/en/item/17849126
Garage,24 sq.m.,"Նաիրյան փողոց 16, Աբովյան","$9,700",USD,"Renovated, + 5 sq. M. With basement, + yamk, select garage. Price is negotiable.Translated from Armenian",Nov-24-2022_16-32,ELectricity,https://list.am/en/item/16477755
Garage,36 sq.m.,"Улица Баграмяна 254, Раздан","$6,000",USD,"(Միկռոշրջան, Շերեմուշկա) 254 շենքի դիմաց։ սեփականաշնորում։Վաճառվում է։ 9×4=36 քմ։ բետոնե։ k poxanakem hamarjeq meqenai hetПродаётся Гараж бетонный 9×4= 36кв на улице черемушка! Обменяю с нормальным авто",Nov-24-2022_16-32,,https://list.am/en/item/17811628
Garage,35 sq.m.,"Միկրոշրջան թաղամաս, Հրազդան","330,000 ₽",RUB,A garage is for sale in the area of 82 building of Micro-district of Hrazdan city.Translated from Armenian,Nov-24-2022_16-32,,https://list.am/en/item/17991678
Parking Space,24 sq.m.,Kotayk › Garni,"10,000 ֏",AMD,Bachok radiator partsTranslated from Armenian,Nov-24-2022_16-32,,https://list.am/en/item/15610862
Garage,22 sq.m.,Kotayk › Abovian,"550,000 ֏",AMD,The garage is bought in good conditionNegotiable:Translated from Armenian,Nov-24-2022_16-32,,https://list.am/en/item/17279576
Garage,24 sq.m.,"Yeritasardakan street 4, Abovyan","$6,000",USD,It is a large garage with pitTranslated from Armenian,Nov-24-2022_16-32,,https://list.am/en/item/18278591
Garage,27 sq.m.,"Միկրոշրջան թաղամաս 220, Հրազդան","$1,500",USD,The garage is located next to the micro 222 building. Negotiable.It is for rentTranslated from Armenian,Nov-24-2022_16-32,,https://list.am/en/item/17910853
Garage,33 sq.m.,"Sevani street, Abovyan","2,900,000 ֏",AMD,It is privatized. It has a basement of its size.Translated from Armenian,Nov-24-2022_16-32,,https://list.am/en/item/17334937
Garage,,Kotayk › Charentsavan,"400,000 ֏",AMD,Erkate avtotnak,Nov-24-2022_16-32,,https://list.am/en/item/15632847
Garage,20 sq.m.,"Kentron block, Hrazdan","$1,500",USD,"Land for garage, all taxes are paid, documents are normalTranslated from Armenian",Nov-24-2022_16-32,,https://list.am/en/item/17110097
Garage,36 sq.m.,"Garni street, Abovyan","$13,000",USD,For very urgent questions it is possible to call PagovTranslated from Armenian,Nov-24-2022_16-32,,https://list.am/en/item/17111222
Garage,21 sq.m.,"2-րդ փողոց 1, Մայակովսկի","$5,000",USD,"Two-storey garage for sale.The garage is in very good condition.If you have any questions, callto the following phone number:If you call you will get a 30% discountTranslated from Armenian",Nov-24-2022_16-32,,https://list.am/en/item/17237544
Garage,8 sq.m.,Kotayk › Nor Gyugh,"350,000 ֏",AMD,"Cottage [domik, kung] for sale, normal condition. 2.40 m * 3.20 m:Translated from Armenian",Nov-24-2022_16-32,,https://list.am/en/item/16336626
Garage,26 sq.m.,"Daran street, Abovyan","$8,000",USD,"Negotiable, only after seeing.Translated from Armenian",Nov-24-2022_16-32,,https://list.am/en/item/16555278
Garage,26 sq.m.,Kotayk › Abovian,"$2,500",USD,A garage of 26 square meters is for sale. It is made of iron and is portable. Will you get it from the city of Abovyan?6 meters long4.30 meters wideis in fresh condition.Translated from Armenian,Dec-15-2022_20-26,,https://list.am/en/item/18704216
Garage,22 sq.m.,"Kentron block, Hrazdan","$5,000",USD,There is more land on the side to see land. In the floor plan. UrgentTranslated from Armenian,Dec-15-2022_20-26,,https://list.am/en/item/18502799
Garage,20 sq.m.,"4th microdistrict, Abovyan","$7,500",USD,"A garage is for sale, which is located in the back of the printing house, in the row, it has a certificate of ownership.Translated from Armenian",Dec-15-2022_20-26,,https://list.am/en/item/18615712
Garage,35 sq.m.,"Yeritasardutyan street, Charentsavan","$3,000",USD,"Garage, garage, garage for sale. It is located near the garment factory, in the very first row.Translated from Armenian",Dec-15-2022_20-26,,https://list.am/en/item/17620464
