Unnamed: 0,Garages and Parking for sale,Datetime
46,https://list.am/en/item/17294832,Sep-29-2022_17-46
47,https://list.am/en/item/12043434,Sep-29-2022_17-46
48,https://list.am/en/item/17466736no price,Sep-29-2022_17-46
49,https://list.am/en/item/16805797,Sep-29-2022_17-46
50,https://list.am/en/item/17862173removed,Sep-29-2022_17-46
51,https://list.am/en/item/18242569,Sep-29-2022_17-46
52,https://list.am/en/item/17825845,Sep-29-2022_17-46
53,https://list.am/en/item/13946167,Sep-29-2022_17-46
54,https://list.am/en/item/17938512removed,Sep-29-2022_17-46
55,https://list.am/en/item/17732901,Sep-29-2022_17-46
56,https://list.am/en/item/16819607,Sep-29-2022_17-46
57,https://list.am/en/item/17490693,Sep-29-2022_17-46
58,https://list.am/en/item/16939330,Sep-29-2022_17-46
59,https://list.am/en/item/17317369,Sep-29-2022_17-46
60,https://list.am/en/item/16868012,Sep-29-2022_17-46
61,https://list.am/en/item/17533670,Sep-29-2022_17-46
62,https://list.am/en/item/17923010,Sep-29-2022_17-46
63,https://list.am/en/item/13909928removed,Sep-29-2022_17-46
64,https://list.am/en/item/18317910,Sep-29-2022_17-46
65,https://list.am/en/item/16228151,Sep-29-2022_17-46
66,https://list.am/en/item/13442668removed,Sep-29-2022_17-46
67,https://list.am/en/item/18062126,Sep-29-2022_17-46
68,https://list.am/en/item/13924938,Sep-29-2022_17-46
69,https://list.am/en/item/17642807removed,Sep-29-2022_17-46
70,https://list.am/en/item/17635271,Sep-29-2022_17-46
71,https://list.am/en/item/16120185,Sep-29-2022_17-46
72,https://list.am/en/item/18316134removed,Sep-29-2022_17-46
73,https://list.am/en/item/17569046,Sep-29-2022_17-46
74,https://list.am/en/item/16046337removed,Sep-29-2022_17-46
75,https://list.am/en/item/18287840,Sep-29-2022_17-46
76,https://list.am/en/item/18200176,Sep-29-2022_17-46
77,https://list.am/en/item/18230374,Sep-29-2022_17-46
78,https://list.am/en/item/18353837removed,Sep-29-2022_17-46
79,https://list.am/en/item/18079697,Sep-29-2022_17-46
80,https://list.am/en/item/17616960removed,Sep-29-2022_17-46
81,https://list.am/en/item/17177873,Sep-29-2022_17-46
82,https://list.am/en/item/15179312,Sep-29-2022_17-46
83,https://list.am/en/item/18266280,Sep-29-2022_17-46
84,https://list.am/en/item/17966807,Sep-29-2022_17-46
85,https://list.am/en/item/18113698,Sep-29-2022_17-46
86,https://list.am/en/item/17597505removed,Sep-29-2022_17-46
87,https://list.am/en/item/17789255,Sep-29-2022_17-46
88,https://list.am/en/item/18347971,Sep-29-2022_17-46
89,https://list.am/en/item/18258574,Sep-29-2022_17-46
90,https://list.am/en/item/18239871removed,Sep-29-2022_17-46
91,https://list.am/en/item/16499257,Sep-29-2022_17-46
92,https://list.am/en/item/14767607no price,Sep-29-2022_17-46
93,https://list.am/en/item/15862541removed,Sep-29-2022_17-46
94,https://list.am/en/item/17862685,Sep-29-2022_17-46
95,https://list.am/en/item/17918491,Sep-29-2022_17-46
96,https://list.am/en/item/17751301removed,Sep-29-2022_19-54
97,https://list.am/en/item/18048181,Sep-29-2022_19-54
98,https://list.am/en/item/17878306,Sep-29-2022_19-54
99,https://list.am/en/item/16828910removed,Sep-29-2022_19-54
100,https://list.am/en/item/18165591,Sep-29-2022_19-54
101,https://list.am/en/item/17513644,Sep-29-2022_19-54
102,https://list.am/en/item/16333934,Sep-29-2022_19-54
103,https://list.am/en/item/17325638removedremoved,Sep-29-2022_19-54
104,https://list.am/en/item/17051858,Sep-29-2022_19-54
105,https://list.am/en/item/18003983,Sep-29-2022_19-54
106,https://list.am/en/item/17502711,Sep-29-2022_19-54
107,https://list.am/en/item/17964525,Sep-29-2022_19-54
108,https://list.am/en/item/15746515,Sep-29-2022_19-54
109,https://list.am/en/item/18286944,Sep-29-2022_19-54
110,https://list.am/en/item/18269256,Sep-29-2022_19-54
111,https://list.am/en/item/17871628,Sep-29-2022_19-54
112,https://list.am/en/item/17653999,Sep-29-2022_19-54
113,https://list.am/en/item/16092356,Sep-29-2022_19-54
114,https://list.am/en/item/13885811 removed,Sep-29-2022_19-54
115,https://list.am/en/item/17620332 removed,Sep-29-2022_19-54
116,https://list.am/en/item/18091140,Sep-29-2022_19-54
117,https://list.am/en/item/17431996,Sep-29-2022_19-54
118,https://list.am/en/item/17849126,Sep-29-2022_19-54
119,https://list.am/en/item/17690659 removed,Sep-29-2022_19-54
120,https://list.am/en/item/18226143 removed,Sep-29-2022_19-54
121,https://list.am/en/item/16477755,Sep-29-2022_19-54
122,https://list.am/en/item/17938705 removed,Sep-29-2022_19-54
123,https://list.am/en/item/17938703 removed,Sep-29-2022_19-54
124,https://list.am/en/item/17811628,Sep-29-2022_19-54
125,https://list.am/en/item/17991678,Sep-29-2022_19-54
126,https://list.am/en/item/15610862,Sep-29-2022_19-54
127,https://list.am/en/item/18117352 removed,Sep-29-2022_19-54
128,https://list.am/en/item/18068585 removed,Sep-29-2022_19-54
129,https://list.am/en/item/18063427 removed,Sep-29-2022_19-54
130,https://list.am/en/item/17279576,Sep-29-2022_19-54
131,https://list.am/en/item/18278591,Sep-29-2022_19-54
132,https://list.am/en/item/18276770 removed,Sep-29-2022_19-54
133,https://list.am/en/item/17910853,Sep-29-2022_19-54
134,https://list.am/en/item/17334937,Sep-29-2022_19-54
135,https://list.am/en/item/15632847,Sep-29-2022_19-54
136,https://list.am/en/item/15294749 removed,Sep-29-2022_19-54
137,https://list.am/en/item/17110097,Sep-29-2022_19-54
138,https://list.am/en/item/17111222,Sep-29-2022_19-54
139,https://list.am/en/item/17237544,Sep-29-2022_19-54
140,https://list.am/en/item/17336926 removed,Sep-29-2022_19-54
141,https://list.am/en/item/16336626,Sep-29-2022_19-54
142,https://list.am/en/item/17822174 removed,Sep-29-2022_19-54
143,https://list.am/en/item/18007454 removed,Sep-29-2022_19-54
144,https://list.am/en/item/16555278,Sep-29-2022_19-54
