Type,Land Area,Address,Price,Currency,Description,Datetime,Links,Service Lines
For General Purpose,1000 sq.m.,"Տարոն-4 թաղամաս 8Ա/11, Վանաձոր","$5,000",USD,"The land is located in the upper part of Taron 4, Belarus, at the beginning of the street near the reservoir.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17516682,
For Residential Development,1200 sq.m.,Lorri › Gogaran,"$4,000",USD,1200տնամեՐձ ևս երկ կտոր հողատարացք վարելահող միյասին մոտավոր 2500 2600 ք: Մ նաև կպոխանակեմ մեքենայի հետ գյուղի կենտրոնական մասումա գտնվում տնամերձ հող@,Nov-25-2022_01-04,https://list.am/en/item/17899120,
For Residential Development,2000 sq.m.,Lorri › Vanadzor,"4,000,000 ֏",AMD,"A plot of land near the house is for sale in Darbas village of Lori marzfruit trees: Located at the end of the village. Electricity, irrigation and drinking water communications very close.It is possible to sell it in parts, or exchange it with a plot of land near the house in Yerevan, exchange it with a car.I will also listen to your suggestions.NegotiableTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/15023753,
For Public Buildings,4000 sq.m.,Lorri › Vanadzor,"$300,000",USD,"Շտապ վաճառվում է հողատարածք, Գտնվում է Վանաձորի կենտրոնական հատվածում՝ Վերնատուն ռեստորանի անմիջական հարևանությամբ, տարածքում առկա են նաև մի քանի շենք-շինություններ:",Nov-25-2022_01-04,https://list.am/en/item/13052147,
For Public Buildings,50 sq.m.,"Batumi street 14, Vanadzor","$10,000",USD,"Public land of 50 sq. M. (5 × 10 m) c. It is possible to build any public building on Vanadzor 14-4 / 8 Batumi (Tigran Mets մոտ near the intersection of Batumi streets)There is a draft permitSuitable for building an office, shop, hall, hairdressing salon...Exchange with a car is possibleTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/15772767,
For Residential Development,400 sq.m.,Lorri › Vanadzor,"$11,500",USD,"K. At 12/9-2 Vanadzor Shirakatsi street (химзавод) next to the 12th school, a plot of land is for sale. It is provided with water and electricity. Price negotiable, also exchange for equivalent car or apartment. The area is located in zone 2. For details, call the indicated numberTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/15688365,
For Residential Development,702 sq.m.,"Forest Street, Stepanavan","$45,000",USD,"Land near the house is for sale, right next to the alley, in the recreation area, all the communications are available, the place is suitable for the construction of a rest house or a hotel.Forest street.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17506831,
For General Purpose,1300 sq.m.,Lorri › Tashir,"8,500,000 ֏",AMD,"A plot of land on the highway to Georgia is for sale. It is suitable for setting up a business, the address is 1 street Yerevanyan 4Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17979934,
For Residential Development,1700 sq.m.,"Զորավար Անդրանիկի փողոց 52, Ստեփանավան","$8,000",USD,"Fruit trees, gas, water, fenced.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18329530,
Agricultural,2000 sq.m.,Lorri › Lernapat,"2,000,000 ֏",AMD,The area is located in the central part of Lernapat village. Drinking and irrigation water is available in the area. There are fruit trees.Translated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/18373205,
For General Purpose,1500 sq.m.,Lorri › Vanadzor,"2,000,000 ₽",RUB,"Земля находиться в собственности. Можно использовать для строительства гостиницы, ресторана, загона для скота, производства. Раньше здесь находился ресторан Караберт",Nov-25-2022_01-04,https://list.am/en/item/14924839,
For Residential Development,1000 sq.m.,Lorri › Tsater,"1,000,000 ֏",AMD,"It is for sale urgently, the rest is by phone, it is located in Tsater village, there are fruit trees. Fir forest above, 700 meters below the plot, Lori gorge.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17772504,
For Residential Development,1500 sq.m.,Lorri › Vanadzor,"$28,000",USD,"Վաճառվում կամ փոխանակվում է 1500մ. Ք. Սեփականաշնորհված տնամերձ հողատարածք կիսակառույց շինությունով Վանաձոր - Դիլիջան մայրուղու աջ մասում: 1 – ի գիծ, գեղատեսիլ վայր, հրաշալի բնություն, գետի մոտ:Հեռավորությունը Վանաձորից 4 կմ: Տարածքը հարմար է հանգստի գոտի կազմակերպելու, բիզնես ծավալելու, ինչպես նաև տուն կառուցելու համար:",Nov-25-2022_01-04,https://list.am/en/item/14009111,
For Residential Development,900 sq.m.,Lorri › Gyulagarak,"$40,000",USD,"In the middle of the village, on the street,Gas, water, electricity next to it.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17804707,
For Residential Development,1011 sq.m.,Lorri › Dsegh,"$9,300",USD,"Land near the house is for sale in the beginning of Dsegh village, near the gorge. It is 150 meters away from the height overlooking the river gorge. The scene is just a miracle. For details, call Beeline phone number or write a letter in the list.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17944884,
For Public Buildings,200 sq.m.,Lorri › Pambak,"$55,000",USD,"The land is located in the village of Pambak, 7th km of Vanadzor Bagratashen M6 road. Suitable for all kinds of business. Gas and water is right next door, there is no problem of return.Exchange with an apartment or a car.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17872321,
Agricultural,1450 sq.m.,"Խնձորուտ 4-րդ փողոց 2Ա, Վանաձոր","$5,000",USD,"The land is located in the territory of Lermontovo community.Meaning: Arable land.Eight meters wide, one hundred and eighty meters long.A stream flows by the side of the land, and there is a lake on the other side.It is suitable for making a wooden cottage.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18011807,
For Residential Development,500 sq.m.,Lorri › Stepanavan,"$45,000",USD,An existing business with its land is for sale in the Gyulagarak community of Stepanavan region.Price negotiableTranslated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/18200912,
For General Purpose,"10,000 sq.m.",Lorri › Margahovit,"$22,000",USD,In the village of Margahovit. Near the forest. There is drinking water in the area. The land area is measured by GPS. There is electricity. It is also possible to exchange the car for an additional fee. It is suitable for a greenhouse. It is possible to pay in installments.Translated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/17199955,
For Public Buildings,120 sq.m.,"Վարդանանց փողոց 86-1/1, Վանաձոր","$12,000",USD,"Urgent sale of a plot of land in the neighborhood of Vardanants 86, 1st village, negotiableTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18029995,
For General Purpose,"650,000 sq.m.",Lorri › Stepanavan,"$1,500,000",USD,"Շտապ վաճառվում է բիզնես Ստեփանավան քաղաքում, աննասնապահական մեծ ֆերմա։ Ընդհանուր մակերեսը 5,5 հեկտար, պարըսպապատված, + 60 հեկտար հող։ Պարըսպապատ տարածքը իր մեջ ներառում է 2 բնակարան 1_2 սենյակ, 2_3 սենյակ եվրո վերանորոգված։ Պանրի արտադրամաս։ 3հատ 12/70 ի վրա աննասնագոմ, 100քմ. Պահեստ։ Ավելի մանրամասն տեղեկությունների համար զանգահարել նշված համարով ՝Срочно продается бизнес в Степанаване, крупная животноводческая ферма. Общая площадь 5,5 га, огорожена, + 80 га земли. Огороженная территория включает в себя 2 квартиры 1_2 комнаты, 2_3 комнаты с евро ремонтом. Сыроварня. 3 штуки на сарае 12/70, 100 кв. М. Склад. Для получения дополнительной информации звоните по номеру:Urgently for sale business in Stepanavan, a large cattle farm. The total area is 5.5 hectares, fenced, + 80 hectares of land. The fenced area includes 2 apartments 1_2 rooms, 2_3 rooms euro renovated. Cheese factory. 3 pieces on 12/70 barn, 100 sq. M. Warehouse. For more information call the number:",Nov-25-2022_01-04,https://list.am/en/item/17227603,
For General Purpose,52 sq.m.,"ՔՇՀ-3 96, Վանաձոր","$4,000",USD,Two garages together 8 m-width 6 m two.Translated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/17453132,
For Residential Development,1330 sq.m.,Lorri › Arjut,"$6,500",USD,"1400 square meters for sale. Land near the house in the village of Arjut, the land has fruit trees, a water yard with a capacity of 9 tons, 5 panels, a toilet (concrete), 2 columns, irrigation and drinking water, gas and electricity pass by the area.The terrain is flat.Exchange with other movable and immovable properties is considered.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18104638,
For Residential Development,1200 sq.m.,Lorri › Stepanavan,"$12,000",USD,"The foundation of the house was filled, ready to build a very good house, for details, call... Village Gyulagarak recreation areaTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/16549537,
For General Purpose,1800 sq.m.,Lorri › Gugark,"$10,000",USD,"Land for sale in Gugark, fenced, has water, suitable for gas and electricity. You can use it to build both a private house and greenhouses.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18355938,
For Residential Development,1500 sq.m.,Lorri › Stepanavan,"$6,000",USD,"Land near the house for sale. Water, light, gas, nearby, it is very convenient for building a guest house. It is located in the beginning of Kurtan village.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17881108,
For Residential Development,1000 sq.m.,Lorri › Lernapat,"$7,000",USD,"Land in Lernapat village. 7 km from Vanadzor.The land is located next to the village hall, on the road (1 lane)There are productive trees in the area.Click here for informationWith the WhatsApp app, listedwith phone number.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18371799,
For General Purpose,"50,000 sq.m.",Lorri › Vardablur,30 ֏,AMD,"The plot is located at the beginning of the village, near the main road. The price is negotiable: 5 ha.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18325624,
Agricultural,2500 sq.m.,Lorri › Spitak,"$10,000",USD,Land with fruit trees near Leather Zavadod. The price is negotiable for a real buyer.Translated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/17651604,
For Residential Development,2000 sq.m.,Lorri › Vanadzor,"$3,000",USD,"Հողատարածքը գտնվում է Սարալ (Նոր _Խաչակապ) գյուղում, տարածքը նախատեսված է նաև շինության համար, ունի մշտական ջուր, մրգատու ծառեր և 1200քմ վարելահող, մայրուղու զուգահեռ տարածքում",Nov-25-2022_01-04,https://list.am/en/item/15923616,
For Residential Development,1800 sq.m.,Lorri › Gyulagarak,"$40,000",USD,A dilapidated house on the land plot can be exchanged with an apartment in Yerevan for an additional feeThe house is located in the village of arboretumTranslated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/13493823,
For General Purpose,3000 sq.m.,"4-րդ փողոց 5, Արջուտ","$10,000",USD,"The area is located next to the Vanadzor-Spitak highway, suitable for any type of activity, the front part is 50 metersTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18155459,
For Residential Development,1250 sq.m.,Lorri › Dsegh,"$15,000",USD,"I am selling a plot of land near the house in the beginning of Dsegh village, it has fruit trees, a half-built building, there is no problem with the land ownership certificate, there is water, electricity, gas nearby, it is suitable for making a recreation area in Hovhannes Tumanyan's birthplace.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17919682,
For Residential Development,600 sq.m.,"Hakob Meghapart street, Stepanavan","2,500,000 ֏",AMD,"It is very convenient and quiet, there is gas, electricity, water, and it is also exchanged with a carTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18078560,
For Public Buildings,78 sq.m.,"Ղազարոս Աղայանի փողոց 81, Վանաձոր","2,800,000 ֏",AMD,"The plot of land is located on the right side of the road from Kaltsevo to Gugark, on Aghayan. 13 meters along the road, 6 meters wide. Suitable for building a car service, car wash, motel or other building.I WROTE A PRICE INCOMPARABLE FROM THE MARKET.It is for sale very URGENTLY, the price is highly negotiable for a real buyer.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18007066,
For General Purpose,500 sq.m.,"Խնձորուտ 1-ին փողոց 109, Վանաձոր","$6,000",USD,A plot of land of 500 square meters is for sale. Vanadzor on the Dilijan highway. 5 km from ShahumyanTranslated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/17855807,
For Residential Development,340 sq.m.,"Tigran Mets Avenue, Vanadzor","$50,000",USD,Land for sale in the center of Vanadzor.Translated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/17214285,
For Residential Development,1500 sq.m.,Lorri › Lori Berd,"$6,000",USD,"1500 sq / m private area is for sale in Lori Berd community, on the left side of the road leading to Lori fortress city. The front part is 24 meters, the depth is 62 meters.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17688153,
For Public Buildings,1000 sq.m.,"Arapnya street, ВАНАДЗОР","$12,500",USD,Flat area for public constructionTranslated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/17613456,
For Public Buildings,312 sq.m.,Lorri › Vanadzor,"9,000,000 ֏",AMD,"It has the possibility to become 1200 square meters, it is suitable for any business area... There is also an exchange option, with an additional fee from you, preferably with a car. Negotiable 32m facade near the Palermo hotel. It is located at 1/38 Karen Demirchyan StreetTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18260006,
For General Purpose,3000 sq.m.,Lorri › Vanadzor,"$10,000",USD,"There are fruit trees in the area (mainly apple, cherry, plum (walnut, hazelnut)It has arable land, the irrigation water is not drawn, but it is very close. (Lernapat village)Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/14995731,
For Residential Development,575 sq.m.,Lorri › Vanadzor,"$12,000",USD,"Հողատարածքը գտնվում է Վանաձոր քաղաքի Դիմաց թաղամասում, ունի պտղատու այգի, հողամասում կա նաև քարե շինություն: Արևոտ է: Կոմունալ բոլոր հարմարություններով՝ գազ, լույս, ջուր:",Nov-25-2022_01-04,https://list.am/en/item/16195411,
Agricultural,1200 sq.m.,Lorri › Vanadzor,"2,000,000 ֏",AMD,The land is located in Taron 4 district.Translated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/16531343,
For General Purpose,670 sq.m.,Lorri › Pambak,"$10,000",USD,Marz Lori community Pambak village Pambak. ExchangeTranslated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/18041263,
Agricultural,1050 sq.m.,Lorri › Arjut,"$2,500",USD,"Land Arjut. It is possible to exchange with an equivalent car, negotiableTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/15728785,
For Residential Development,1020 sq.m.,Lorri › Vardablur,"1,800,000 ֏",AMD,"1020 meters of land near the house, no problem with paperwork.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18249460,
For General Purpose,90 sq.m.,"Usanogakan street 5, Vanadzor","$5,000",USD,The land has a construction permit and project.Translated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/17464301,
For General Purpose,150 sq.m.,"Nersisyan lane 7, Vanadzor","2,000,000 ֏",AMD,Земельни участок. Находится на переулке нерсисян 7,Nov-25-2022_01-04,https://list.am/en/item/18175242,
For Residential Development,760 sq.m.,Lorri › Vardablur,"$2,000",USD,"A plot of land near the house is for sale, in Vardablur village, Sari district 120Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18254435,
For Residential Development,1000 sq.m.,Lorri › Bazum,"$1,400",USD,"Address: Lori region, community Bazum 3 street, plot 79Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18254571,
For General Purpose,4000 sq.m.,"Չարենցի փողոց 149, Ստեփանավան","$90,000",USD,"For sale with all commercial utilities. Can be used in any manufacturing field. The price is negotiable, it is also sold in 2 parts. Negotiable:Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17539307,
For Residential Development,550 sq.m.,Lorri › Vanadzor,"$3,500",USD,For sale. E. Gate. Համայքսմ. Landscaping. 550 stone. A lot. Convenient. Տէղսմ. New. With seedlings. Tso. Carcels. In order. Also exchange. Mekena. Back:Translated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/17184598,
For Public Buildings,1904 sq.m.,Lorri › Vanadzor,"$49,700",USD,"All utilities are available. First line, suitable for starting a business, building a house and using for other purposes.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18062038,
For Residential Development,64 sq.m.,"Vardanants Street, Vanadzor","$8,000",USD,Land for construction of garages or other buildings in front of Vardanants 86 building in Vanadzor is for sale.Translated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/17174308,
For General Purpose,800 sq.m.,"24-я улица 12, Арчут","4,200,000 ֏",AMD,There are productive trees and a stone garage in the area.Translated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/18066048,
For General Purpose,7650 sq.m.,Lorri › Sarchapet,"6,500,000 ֏",AMD,"7650 square meters of privatized land for sale, near the Gogavan customs post on the Yerevan-Tbilisi highway, 500m away from the customs post, on the right side of the road in the direction of Tashir city. It is suitable for building a snack bar, warehouse (hangar) and other buildings, and in the 200m section of the road adjacent to the roadside, you can also install advertising panels. The initial price is AMD 6,500,000 (negotiable) Without an intermediary.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18082526,
For General Purpose,"50,546 sq.m.",Lorri › Mets Parni,"$85,000",USD,"Energy plot, intended for 5 MW solar plant, 35 KV power line passes by, and substation is 200-300 m away. Also suitable for building a greenhouse, all facilities are available. The land is flat, there is a road on 4 sides, one of which is the asphalted road leading to Mets Parn. There are 6 pits dug for silos in the land area, one of which is filled with water from a deep well.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17678567,
For Residential Development,400 sq.m.,"Շիրակի փողոց 10/4, Վանաձոր","$30,000",USD,"It is located on the road, first line. It is suitable for both business and residential buildings. There are two sheds and garages. It is equipped with all utilities.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18093052,
For Public Buildings,1000 sq.m.,"3rd lane 3rd street, Darpas","$11,000",USD,"Urgently. Incomparably cheaper than the market.The address is Factory Street No. 12, in the administrative area of Vanadzor, at the beginning of Darpas village, 500 meters below the Gshlaghi bridge.It is located on the border of the river, near the forest zone, it is a flat area, part of it is fenced, it can be used as an area of a hotel complex with cottages, or any production area. There is an LLC registered at this address, we can provide it together with the premises: ALLA HEK LLC.It is 1000 square meters of land, there is an opportunity to expand it by the same amount, on the right and left sides, the plot is in the middle, it is possible to use or rent the plots of the right and left parts, and the area will become 3000 kakakusi.For more information call.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/16659672,
For Residential Development,1800 sq.m.,Lorri › Vanadzor,"$20,500",USD,"Հողամասում առկա է լույս, գազ, ջուր, անասնագոմ (70մ2) ։Ջերմոց (400մ2) ։Տաղավար (Բիսետկա) ։Պտղատու ծառեր։",Nov-25-2022_01-04,https://list.am/en/item/10430542,
For Public Buildings,157 sq.m.,"Վարդանանց փողոց 86-1/1, Վանաձոր","$10,000",USD,"Vardanants str. 85-1 / 21 For questions call, exchange with an equivalent or cheap carTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17849495,
For Residential Development,2600 sq.m.,Lorri › Arjut,"$15,000",USD,"Land for sale 4 km away from Vanadzor in Archchut village, order near the house, the total area of the land is 2600 square meters, the land is in the central part of the village, the land is adjacent to the road from 3 sides, the given land is in the picturesTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17801962,
For Public Buildings,111 sq.m.,Lorri › Vanadzor,"500,000 ֏",AMD,"Տարածքը 18 քմ-է, որը նպատակահարմար է ավտոտնակ կառուցելու համար։ Սեփականության վկայականը տրված է կառուցապատման իրավունքով և գործում է մինչև 17/10/2028թ։ Տարածքը գտնվում է Ուսանողական 6 շենքի բակում, Դիմաց թաղամաս։",Nov-25-2022_01-04,https://list.am/en/item/15949263,
Agricultural,700 sq.m.,Lorri › Vanadzor,"$7,500",USD,Tnamerz... Հողատարածք 700 քմ. + Kisakaruyc shenq. Padvalain masov. Garajov,Nov-25-2022_01-04,https://list.am/en/item/14767434,
For General Purpose,1500 sq.m.,Lorri › Marts,"$7,000",USD,"The price is negotiable, I will adjustA plot of land (near the house) is for sale in the village of Marts.It is located in a very good place, the roads are paved, whoever knows the place will know. There is an alley, you can use it as a garden area, as well as recreation areas, business premises, etc.It is also very convenient to make a tourist place.A large number of guest houses are being built in the village, the nature, the location has everything to make a good placeTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18003830,
Agricultural,5000 sq.m.,Lorri › Odzun,"$5,000",USD,Продаётся земельный участок сельхозназначения 5000кв. М. Находится между селами Айгеат и Аревацаг в местности Огомси (ямки такин) непосрественно у трассы республиканского значения. Хороший ровный ухоженный участок. Первая линия.,Nov-25-2022_01-04,https://list.am/en/item/17988749,
Agricultural,5000 sq.m.,Lorri › Odzun,"$5,000",USD,Продаётся земельный участок сельхозназначения 5000кв. М. Находится между селами Айгеат и Аревацаг в местности Огомси (ямки такин) непосрественно у трассы республиканского значения. Хороший ровный ухоженный участок,Nov-25-2022_01-04,https://list.am/en/item/17988748,
For General Purpose,2156 sq.m.,Lorri › Vanadzor,"$40,000",USD,"For sale (or exchange) a plot of land with an area of 2156 square meters, Nairi str. , Vanadzor city. At 20-1 (next to the monument, at the edge of the forest)It is suitable for building both a residential house and a recreation area. Partial sale is also possible (three units of 700 square meters)Price - negotiable.An exchange option will also be discussed at an additional cost on your part.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/16827746,
For Residential Development,740 sq.m.,"Րաֆֆու փողոց 96, Ստեփանավան","$15,000",USD,"In the center of Stepanavan, it is fenced, there is water and electricity inside the sewer, gas passes over the wall of the house, there is an orchard of pears, apples, plums, raspberries, rose hips, there are about 15 large trees, there is a caravan 35 square meters, there is an apartment plan of 82 square meters, first floor the walls are there, it will become a residential house at a lower cost, the thickness of the walls is one meter. 18m front, 41m long, very suitable for business purposes, very popular for daily rent, on the road to the sanatorium, if you use it smartly, you can get a good income, 500 meters from the center. Ch. O. I will also EXCHANGE with a TOYOTA car. I will bargain a little.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/16913779,
For Residential Development,1100 sq.m.,Lorri › Vanadzor,"$11,000",USD,"It is located on Vanadzor-Dilijan highway, in the territory of Shahumyan village. It is a flat area for construction. Negotiable.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17867991,
For Public Buildings,104 sq.m.,Lorri › Vanadzor,"$22,000",USD,Land for sale. I will exchange it for a car.Translated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/15747497,
For General Purpose,17 sq.m.,"Myasnikyan street 2, Vanadzor","$25,000",USD,"Ready-made business for sale in Vanadzo clothing market, 17 square meters, products for sale togetherTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17370948,
Agricultural,1400 sq.m.,Lorri › Vanadzor,"$7,000",USD,Real buyers will call 1400 square metersLight:Gas:There is waterTranslated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/17662151,
For General Purpose,50 sq.m.,Lorri › Vanadzor,"$7,000",USD,2 places in totalTranslated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/17743526,
For Residential Development,1000 sq.m.,Lorri › Alaverdi,"6,000,000 ֏",AMD,"The land is located on the main road of Alaverdi, on one side of the land, on the other side of the road, near the narrow villageTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/13399576,
For Industrial Use,1550 sq.m.,"Baghramyan St, Vanadzor","3,100,000 ֏",AMD,"For sale 1550 sq. M. Մ. Contract land, industrial land, in Vanadzor. Address: Factory first alley 7/3, former city. In the area of Mat, on the road, near the river. Price is negotiable.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/16630418,
For General Purpose,135 sq.m.,Lorri › Vanadzor,"5,000,000 ֏",AMD,Very suitable for all types of construction garageTranslated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/15997480,
For General Purpose,370 sq.m.,"Energetikneri 5th street, Vanadzor","$7,000",USD,Վաճառվում է Հողատարածք բնակելի շինության համար։նոր կառուցված ավտոտնակովПродается земельный участок под жилой дом. С недавно построенным гаражомTranslated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/17608731,
For Residential Development,450 sq.m.,"Բանյոյի փողոց 1/3, Վանաձոր","$25,000",USD,"Sunny. In the central part of the city. Right next to the 5th school, it has a separate entrance, the area is flat. No bargaining.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17951216,
For Public Buildings,70 sq.m.,"Դերենիկ Դեմիրճյանի փողոց 4, Վանաձոր","$9,500",USD,"The area is located very close to the investigation committee, it is intended to build a lawyer's office, a restaurant or a shop. The front part is 10 meters.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17806277,
For Residential Development,235 sq.m.,"Myasnikyan street, Vanadzor","$27,000",USD,"Residential house for sale, in the central part of the cityTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18220443,
