Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Address,Price,Currency,Description,Datetime,The House Has,Parking,Appliances,Window Views,Links
Stone,No,Not available,2,103 sq.m.,3,1,from 2.8 m,2,Open balcony,By agreement,Cosmetic Renovation,"Kecharetsi St, Tsaghkadzor","$60,000",USD,"A 3-room (73 sq/m) apartment is for sale in Tsaghkadzor. It is located on the 2nd floor of a two-story building (teachers' building) The apartment also has a 30 sq. M. Basement, which can be used as a garage, or after renovation, serve as an additional room, office space, shop, etc. The picture of the basement is not present in the attached pictures. It is also possible to exchange with a 1-room apartment in Yerevan for an additional fee.Translated from Armenian",Nov-25-2022_12-54,,,,,https://list.am/en/item/17653462
Panels,No,Available,9,76 sq.m.,3,1,from 2.8 m,6,Multiple balconies,,Partial Renovation,"Կենտրոն թաղամաս 44, Հրազդան","$50,000",USD,"It is located in Hrazdan, Kentron district, building 44, the elevator is working, the taxi has just been installed. The kitchen, bathroom and corridor have been completely renovated.It is a bright, sunny apartment. For sale with property and equipment.Translated from Armenian",Nov-25-2022_12-54,,,,,https://list.am/en/item/17967369
Monolith,Yes,Available,16,81 sq.m.,3,2,from 3 m,5,Open balcony,,No Renovation,"August 23 street, Abovyan","29,970,000 ֏",AMD,"A 3-room apartment in a newly built building is for sale, the apartment has 2 bathrooms and two open balconies. The apartment is delivered with the floor leveled, internal wall partitions and the entrance door installed. Each porch of the building has two elevators. There are also underground parking spaces available. The yard is equipped with a green area, a playground and chat rooms. Income tax refund law also appliesDeveloper, new construction, income taxTranslated from Armenian",Nov-25-2022_12-54,,,,,https://list.am/en/item/18263873
Monolith,Yes,Available,14,90 sq.m.,3,2,from 2.8 m,8,Multiple balconies,,Partial Renovation,"Hanrapetutian Avenue 15, Abovyan","$82,500",USD,"An apartment is for sale in the central part of Abovyan city.The apartment is partially renovated.For details, call the Russian number or write to WhatsApp.Translated from Armenian",Nov-25-2022_12-54,,,,,https://list.am/en/item/18060274
Panels,No,Available,9,63 sq.m.,2,1,from 2.8 m,9,Closed balcony,Available,Old Renovation,"2nd microdistrict, Abovyan","$45,000",USD,"The apartment is sunny, has constant hot and cold water, gas. The roof is repaired.Translated from Armenian",Nov-25-2022_12-54,,,,,https://list.am/en/item/17996592
Stone,No,Not available,4,68 sq.m.,3,1,from 2.7 m,2,Closed balcony,Not available,Old Renovation,"Միկրոշրջան թաղամաս, Հրազդան","$25,000",USD,"МИКРОШРДЖАН 19 ШЕНК!Продажа от Собственника! Торг не большой, будет уместен только с реальным покупателем.Документы в порядке.Продаю не спеша, не избавляюсь.Кому нужна солнечная, очень теплая, квартира тот ее купит.3 ком квартира.Солнечная сторона, есть газ, свет, вода, ремонт старый но жилой, требуется только ремонт сан. Узла. Вся инфроструктура.2 Школы, 2 Детсада.Читайте внимательно, если все понятно, только потом звоните.В рассрочку НЕ ПРОДАЁТСЯ! Не сдаётся!ТОЛЬКО НАЛИЧНЫЙ РАСЧЕТ!С глупыми вопросами не писать и не звонить, не тратьте мое и ваше время. Свои цены не предлогать, говорить там где то такая цена, мне не интересно.Звонить на ватсап, или вайбер.",Nov-25-2022_12-54,,,,,https://list.am/en/item/16119610
Stone,No,Not available,5,57 sq.m.,2,1,from 2.7 m,5,Closed balcony,By agreement,Old Renovation,"Проспект Республики 16, Абовян","16,000,000 ֏",AMD,"It needs repair, sunny side, iron door, water, gas, electricity. The price is final.Translated from Armenian",Nov-25-2022_12-54,,,,,https://list.am/en/item/18255254
Stone,No,Not available,5,27 sq.m.,2,1,from 2.75 m,1,Closed balcony,,Euro Renovation,Kotayk › Abovian,"$27,000",USD,"A 2-room apartment for sale in the city of Abovyan (former dormitory) on the 1st floor of a 5-story stone building, the windows are on the south side, together with Euro property. Has the potential to move forwardTranslated from Armenian",Nov-25-2022_12-54,,,,,https://list.am/en/item/15458982
Stone,No,Not available,4,31 sq.m.,1,1,from 2.8 m,4,Closed balcony,Not available,Old Renovation,"3-րդ թաղամաս 17, Չարենցավան","6,800,000 ֏",AMD,An apartment in Charentsavan is for sale urgently. Price is negotiable. For more information call.Translated from Armenian,Nov-25-2022_12-54,,,,,https://list.am/en/item/17921868
Stone,No,Not available,5,40 sq.m.,2,1,from 2.8 m,2,Not available,Available,Major Renovation,Kotayk › Hrazdan,"$21,000",USD,"An apartment converted from 1 room to 2 is for sale, in Hrazdan Mikro region, building 26, along with property and equipment. The apartment is fully renovated, has Euro windows, presgranite floor, iron entrance door. It is provided with constant water and gas, there is an individual heating system. The apartment was not occupied.For details, you can call the mentioned phone numbers.Code H-0590Translated from Armenian",Nov-25-2022_12-54,,,,,https://list.am/en/item/17776896
Panels,No,Available,9,73 sq.m.,3,2,from 2.75 m,3,Closed balcony,Not available,Cosmetic Renovation,Kotayk › Abovian,"$60,000",USD,"The apartment is in a clean condition. There is an iron door, euro windows, heating system. Water pipes and electrical wiring have been changed.Code T308Translated from Armenian",Nov-25-2022_12-54,,,,,https://list.am/en/item/18289393
Panels,Yes,Available,9,75 sq.m.,3,1,from 2.75 m,2,Closed balcony,By agreement,Cosmetic Renovation,Kotayk › Byureghavan,"$65,000",USD,"Specific mouse. In the center. Near everything in the city. The condition is quite good. Q. 15 minutes drive from Yerevan. If you are interested, you will see both in the picture and in real. Welcome. Doors and windows changed, entrance door iron. Individual heating system.Translated from Armenian",Nov-25-2022_12-54,,,,,https://list.am/en/item/17529518
Panels,No,Available,9,75 sq.m.,3,1,from 2.7 m,1,Closed balcony,Not available,Cosmetic Renovation,"Կենտրոն թաղամաս 48, Հրազդան","$35,000",USD,"In good condition, call for detailsTranslated from Armenian",Nov-25-2022_12-54,,,,,https://list.am/en/item/18058229
Monolith,Yes,Available,11,52 sq.m.,2,1,from 3.5 m,2,Open balcony,Available,Designer Renovation,"Kecharetsi St, Tsaghkadzor","$89,000",USD,"K. Tsakhkadzorin the Kechi House complex2-room apartment, with property, equipment, is for long-term rentTranslated from Armenian",Nov-25-2022_12-54,,,,,https://list.am/en/item/17518936
Panels,No,Available,9,68 sq.m.,2,1,from 2.7 m,1,Not available,,Major Renovation,Kotayk › Abovian,"$50,000",USD,"A 2-room apartment is for sale in the city of Abovyan. The apartment is in need of repair, it is gasified, the door is iron.We also work with home buyers with certificates and mortgages.You can read all our announcements by clicking on the right side - Good Offer. Thanks in advance:Code E2 083Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/16557770
Panels,No,Available,12,85 sq.m.,3,1,from 2.7 m,4,Not available,Not available,Cosmetic Renovation,Kotayk › Abovian,"$61,500",USD,"A 3-room apartment is for sale in the city of Abovyan. The apartment is in need of repair, it is gasified.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/17491156
Monolith,Yes,Available,8,48 sq.m.,2,1,from 2.7 m,5,Open balcony,,Major Renovation,Kotayk › Tsakhkadzor,"$90,000",USD,"Code-14957. A 2-room apartment is for sale in Tsaghkadzor. Capital renovated, comfortable, sunny apartment. For sale with property.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18293846
Monolith,Yes,Available,9,48 sq.m.,2,1,from 2.7 m,6,Open balcony,,Major Renovation,Kotayk › Tsakhkadzor,"$88,000",USD,"Code-14950. A 2-room apartment is for sale in Tsaghkadzor. Capital renovated, comfortable, sunny apartment. For sale with property.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18286999
Panels,No,Available,9,75 sq.m.,3,1,from 2.8 m,7,Closed balcony,,Partial Renovation,Kotayk › Byureghavan,"$40,000",USD,"The apartment is located in the 30th building, for details call the mentioned phone number, the price is negotiableTranslated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/17610692
Stone,Yes,Not available,4,460 sq.m.,8+,3+,from 3 m,3,Not available,,No Renovation,"13-րդ փողոց 18, Զովունի","275,000 ֏",AMD,"Hurry up and reserve your apartment at a ‼️discounted‼️price.1 square meter - Starting from AMD 275,00013 Znvun StreetApartments: From 43-55-75- 152 sq. M.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/16895862
Stone,Yes,Not available,4,76 sq.m.,3,2,from 3 m,3,Not available,,No Renovation,Kotayk › Zovuni,"275,000 ֏",AMD,"Hurry up and reserve your apartment at a ‼️discounted‼️price.1 square meter - Starting from AMD 275,00013 Znvun StreetApartments: From 43-56-75-152 sq. M.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/17587978
Stone,No,Not available,5,91 sq.m.,4,1,from 2.7 m,5,Multiple balconies,,Partial Renovation,"Mayak block, Yerevan","$72,000",USD,"Code-14647: 4-room apartment for sale in Jrvezh, Mayak district, 1st line. It is in state condition. The bathroom is fully renovated. There is an open and closed balcony. A school, a kindergarten, shops, a bus stop are nearby...Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/17722661
Panels,No,Available,9,94 sq.m.,4,1,from 2.7 m,3,Closed balcony,By agreement,Old Renovation,"Mayak block, Yerevan","$65,000",USD,"Code-14818. 4-room apartment for sale in Jrvej, Mayak district. It is in clean, state-of-the-art condition.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18023025
Stone,No,Not available,5,60 sq.m.,2,1,from 2.8 m,5,Not available,Available,Partial Renovation,"Yeritasardakan street, Abovyan","$46,500",USD,"The apartment is located in the city of Abovyan.Individual heating, sale is also possible with the property, $49,000.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/17706383
Stone,No,Not available,3,100 sq.m.,4,1,from 2.7 m,2,Open balcony,,No Renovation,Kotayk › Mrgashen,"$45,000",USD,"For sale: 4-room apartment with an open balcony, room 1, 8 square meters, 2 rooms, 10 square meters, 3 rooms, 9 square meters, kitchen, 16 square meters, balcony, 20 square meters.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18036504
Stone,No,Not available,5,75 sq.m.,3,1,from 2.75 m,5,Not available,,Old Renovation,Kotayk › Balahovit,"$45,000",USD,"A 3-room apartment is for sale in Balahovit.Old repair,Individual heating system,The windows are made in Europe.The bathroom is partially tiled.The front door is iron,The apartment is for sale, 16 square meters. Along with a garageThere is also a 20 sq. M. Area:Code B004Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18269370
Stone,No,Not available,5,56 sq.m.,2,1,from 2.7 m,5,Closed balcony,,Euro Renovation,Kotayk › Abovian,"23,500,000 ֏",AMD,"A 2-room apartment is for sale in the city of Abovyan.The apartment is fully renovated,iron entrance door,there is an individual heating system,the bathroom is tiled.Code 0031-2Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18295182
Panels,No,Available,9,73 sq.m.,3,1,from 2.8 m,9,Closed balcony,,Cosmetic Renovation,Kotayk › Abovian,"$63,000",USD,"A 3-room apartment is for sale in the city of Abovyan.Iron entrance door,parquet floor,the kitchen, the bathroom are tiled.Code 0062-3Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18294982
Stone,No,Not available,5,68 sq.m.,3,1,from 2.75 m,5,Closed balcony,,Old Renovation,Kotayk › Abovian,"$55,000",USD,3-room apartment on the 5th floor of a 5-storey stone building is currently for saleIn the city of AbovyanThe apartment is old renovated and is in a clean residential conditionThe floor of the bathroom is tiledis gasifiedclosed balconytwo-way lighting.Code 0063-3Translated from Armenian,Nov-25-2022_12-55,,,,,https://list.am/en/item/17914502
Stone,No,Not available,5,98 sq.m.,5,2,from 2.75 m,4,Closed balcony,,Major Renovation,Kotayk › Abovian,"$90,000",USD,A 5-room apartment is for sale along with the house property and appliancesRenovated in designer styleNew parquet2 bathroomsClosed balcony2 apartments are connectedCode 0021-3Translated from Armenian,Nov-25-2022_12-55,,,,,https://list.am/en/item/17913752
Panels,No,Available,9,91 sq.m.,4,1,from 2.8 m,3,Closed balcony,Not available,Partial Renovation,"2nd Micro-District 23, Abovyan","$90,000",USD,"A 4-room apartment on the 9th/3rd floor is for sale, a Czech project, it faces the sun, it has an individual heating system. A garage for two cars is for sale with the apartment, which is located in the yard of the buildingTranslated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18122510
Stone,No,Not available,4,33 sq.m.,1,1,from 2.8 m,4,Not available,,Major Renovation,Kotayk › Hrazdan,"7,000,000 ֏",AMD,Капитальный ремонт трубы газ маленькая спальня хорошее состояние,Nov-25-2022_12-55,,,,,https://list.am/en/item/18374448
Panels,No,Available,9,80 sq.m.,3,1,from 2.7 m,4,Closed balcony,Not available,Euro Renovation,"Միկրոշրջան թաղամաս 315, Հրազդան","$50,000",USD,"Urgent sale, also available for rent (100,000) per month. Newly renovated, call for questions.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18359604
Monolith,Yes,Available,8,114 sq.m.,3,1,from 2.7 m,2,Multiple balconies,,No Renovation,Kotayk › Tsakhkadzor,"26,900,000 ֏",AMD,"The apartment is located in the building of Mori Plaza complex in Tsakhkadzor, the windows are made of metal-plastic, without repairs, all the communal facilities are available.Code 5-52Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/15161808
Panels,No,Available,9,76 sq.m.,3,1,from 2.8 m,6,Closed balcony,Available,Cosmetic Renovation,"Կենտրոն թաղամաս 76, Հրազդան","$36,000",USD,"I am selling a 3-room apartment on the 6th floor of a 9-story panel building in the Kentron district of Hrazdan. The elevator is repaired, the roof is covered with isogams, constant hot and cold water, gas. The apartment is sold with the property. In exchange for an apartment in Yerevan.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18285118
Monolith,Yes,Available,12,62 sq.m.,2,1,from 3 m,7,Open balcony,Available,Major Renovation,Kotayk › Kotayk,"$86,000",USD,"Apartment for saleTsaghkadzor, Kechi House• 62 square meters area• 2 rooms•12/7th /floor/new building_•thoroughly reconstructed• euro windows•Heating System• to the sun• open balcony• property-equipmentThe apartment is also available for daily rent and rent. Price: NegotiableCode AH102Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18057708
Stone,No,Not available,1,2000 sq.m.,4,1,from 2.7 m,1,Not available,Available,Euro Renovation,"Camp Roadway, Gorgoch","$25,000",USD,"On the way to the summer house Hankavan, in the village of Dzorak district, there are not 10 houses in the area, the living space is 70 sq. M., there is permanent water, electricity, 60 sq. M., monolithic garage, closed-open space for animals, basin for children, big walnut tree, 17-meter-high silver fir-tree, a small river flows by footsteps of the house, there are useful fruits of different places in the garden, can be exchanged by car or at home for an additional feeTranslated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/17812310
Stone,No,Not available,5,65 sq.m.,2,1,from 2.7 m,1,Closed balcony,,Major Renovation,Kotayk › Abovian,"$59,000",USD,2-3 room apartment is for saleIn the city of AbovyanThoroughly reconstructedIndividual heating systemEuropean windowslaminate flooringbasementSTONE GARAGE WITH CERTIFICATE - surchargeCode 007-2Translated from Armenian,Nov-25-2022_12-55,,,,,https://list.am/en/item/17914512
Panels,No,Available,9,75 sq.m.,3,1,from 2.8 m,9,Multiple balconies,,Cosmetic Renovation,"Ա․ Ալավերդյանի փողոց 63Ա, Հրազդան","$25,500",USD,"Apartment for sale in HrazdanIn the center area, I am selling the renovated roof, partially replaced windows, together with kitchen furnitureTranslated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18376102
Stone,No,Not available,5,49 sq.m.,3,1,from 3 m,5,Not available,,Cosmetic Renovation,Kotayk › Abovian,"$35,000",USD,"Call in case of questionsIt has a storage roomIt is a former dormitory (bathroom, toilet, kitchen is inside the house)Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/17673994
Stone,No,Not available,2,73 sq.m.,3,1,from 3 m,1,Closed balcony,,No Renovation,"Zovuni 38 street, Zovuni","$32,000",USD,"Located 500 meters from Davitashen, it is the first floor of a 2-story residential building. It has a basement.The house is in excellent condition.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18143347
Panels,No,Not available,5,39 sq.m.,1,1,from 2.6 m,3,Not available,,No Renovation,Kotayk › Garni,"$11,950",USD,"Garni village, Khamer. Needs renovation.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/17421029
Stone,No,Not available,2,105 sq.m.,4,1,from 3 m,2,Closed balcony,,No Renovation,Kotayk › Jrvezh,"$70,000",USD,Stone building former kindergarten permanent waterTranslated from Armenian,Nov-25-2022_12-55,,,,,https://list.am/en/item/16209356
Panels,No,Available,9,92 sq.m.,4,1,from 2.7 m,9,Closed balcony,,Euro Renovation,Kotayk › Abovian,"26,000,000 ֏",AMD,"4-room apartment is for sale in Abovyan city (in the 3rd micro-district) The apartment is renovated, has an individual heating system, the windows are partly of European production, the roof is repaired with tin, the door is iron, it is wooden.We also work with certified mortgage lenders.You can get acquainted with all our announcements by clicking on the right side, Good Offer. Thanks in advance:Code B4 068Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/17419534
Stone,No,Not available,5,43 sq.m.,2,1,from 2.7 m,5,Closed balcony,Not available,Cosmetic Renovation,Kotayk › Abovian,"$25,000",USD,A 2-room hostel is for sale in the city of Abovyan. The apartment is in a clean condition.You can read all our announcements by clicking on the right side - Good Offer. Thanks in advance:Translated from Armenian,Nov-25-2022_12-55,,,,,https://list.am/en/item/16040957
Stone,No,Not available,5,52 sq.m.,2,1,from 2.8 m,4,Closed balcony,,Old Renovation,Kotayk › Charentsavan,"$35,000",USD,A 2-room apartment is for sale in the 2nd building of the 4th district. On the 4th floor of a 5-story stone building. It has a closed balcony. Sold with or without items.Very urgently.Translated from Armenian,Nov-25-2022_12-55,,,,,https://list.am/en/item/18145802
Panels,No,Available,8,60 sq.m.,3,1,from 2.8 m,5,Not available,Not available,No Renovation,"Kentron block 87, Hrazdan","$18,000",USD,"It is located in Raikom, next to the regional headquarters, at a distance of 900m, there is also a school and a kindergarten nearby. The apartment is provided with water and gas.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18374038
Cassette,No,Available,9,82 sq.m.,3,2,from 2.8 m,4,Closed balcony,,No Renovation,"Kentron block 15, Hrazdan","$28,000",USD,"The apartment in the central part of the city, the window and the entrance door have been replaced, the floor remains, call persistently, 4th floor, 15th floor, buildingTranslated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18132273
Panels,No,Not available,9,78 sq.m.,3,2,from 2.8 m,9,Closed balcony,Available,Partial Renovation,"Kentron block 32, Hrazdan","$32,000",USD,"The house is in good condition. It is sold together with the property. The roof is repaired, tin. It is sunny. The apartment is located in the center, all shops are accessible. Very close to the station.There is also an open balcony. Iron door. All rooms are furnished. There is a refrigerator.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18018031
Cassette,No,Available,9,54 sq.m.,1,1,from 2.75 m,2,Closed balcony,,Partial Renovation,Kotayk › Charentsavan,"$27,000",USD,"For sale: 1 room, 54 square meters, 27000 dollars on the 2nd floor of the 9th floor, in 7 blocks, negotiable.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/17893094
Stone,Yes,Not available,1,110 sq.m.,3,1,from 3 m,1,Open balcony,,Partial Renovation,Kotayk › Goght,"$80,000",USD,Call for detailsTranslated from Armenian,Nov-25-2022_12-55,,,,,https://list.am/en/item/17590953
Panels,No,Available,9,75 sq.m.,3,1,from 2.7 m,1,Closed balcony,Available,Major Renovation,"Kentron block 41, Hrazdan","$41,000",USD,"A 3-room apartment is for sale in the central part of Kentron district of Hrazdan city. It is completely renovated, has gas, constant cold and hot water, BAXI heating system. It is not a front apartment. It is sold together with the property. It has a small plot of land in front of the balcony. I will bargain to a real buyer.Translated from Armenian",Nov-25-2022_12-55,PLayground,OUtdoor parking,"FRidge, stove, washing machine",,https://list.am/en/item/18373714
Stone,No,Not available,5,44 sq.m.,1,1,from 2.75 m,4,Open balcony,Not available,Partial Renovation,"Zoravar Andranik avenue, Hrazdan","$15,500",USD,"For sale 1s. East side apartment K. Hrazdan microdistrict district 95. European window, iron exterior door, electric wires and water lines changed, bathroom tiled, stone building, sunny side, beautiful view, open balcony, which can become an additional room, 2-3 km away from Tsaghkadzor...Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18067098
Stone,No,Not available,5,67 sq.m.,2,2,from 2.75 m,4,Multiple balconies,,Old Renovation,"Zoravar Andranik avenue, Hrazdan","$30,000",USD,"2s. A stone building with niche, very south-facing apartment c. In front of Hrazdan microdistrict marketTranslated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18320756
Panels,No,Available,9,76 sq.m.,3,2,from 2.75 m,1,Closed balcony,,No Renovation,"8th street, Hrazdan","$18,500",USD,3s. The first floor is in good condition. Need Hrazdan microdistrict cheremushkaTranslated from Armenian,Nov-25-2022_12-55,,,,,https://list.am/en/item/18320754
Panels,No,Available,9,98 sq.m.,4,2,from 2.75 m,2,Closed balcony,,No Renovation,"8th street, Hrazdan","$33,000",USD,4s. Very sunny apartment in Hrazdan microdistrict near Yemuk sports school. Gasified good conditionTranslated from Armenian,Nov-25-2022_12-55,,,,,https://list.am/en/item/18297185
Stone,No,Not available,5,64 sq.m.,2,2,from 2.75 m,1,Closed balcony,,Partial Renovation,"Zoravar Andranik avenue, Hrazdan","$19,000",USD,"Sale. 2s. Bn. K. Hrazdan microdistrict district. Sh. 72. On the central road, apt. Also suitable for use as a business area. Gasified, electric wires and water lines changed. The bathroom is tiled... Nearby bus stop, shops, school, kindergarten...Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18194008
Panels,No,Available,9,76 sq.m.,3,2,from 2.75 m,1,Closed balcony,,Cosmetic Renovation,"14 street, Hrazdan","$29,000",USD,"Sale. 3s. Bn. K. Hrazdan microdistrict district. 263 sh. 1st floor above 9. Bn. It has a gasified basement, it is in clean residential conditionTranslated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18208034
