Type,Land Area,Address,Price,Currency,Description,Datetime,Service Lines,Links
For Residential Development,1760 sq.m.,Aragatsotn › Aghdzk,"$15,000",USD,"Земельный участок под жилую застройку, с фруктовым садом, более 50 деревьев, площадью 1780 кв. М. В деревне Ахцк, Аштаракского района, 30 км от Еревана в сторону Гюмри, с наличием газопровода, водопровода, электричества и артезианской воды. С одной стороны вид на гору Арарат, а с другой на гору Арагац. Деревня находится в паре км от автомагистрали Север-Юг.",Nov-25-2022_01-06,"ELectricity, water supply, natural gas, sewerage",https://list.am/en/item/15992794
For Residential Development,3600 sq.m.,Aragatsotn › Byurakan,30 ֏,AMD,"The land is suitable for building a summer house or recreation areaIt has a view of the entire Ararat valley, Mount Masis, Yerevan.It is located 30 km from Yerevan.For more information callPRICE NOT FINALNEGOTIABLETranslated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/18342646
Agricultural,"300,000 sq.m.",Aragatsotn › Aragats,460 ֏,AMD,An apricot orchard with a total area of 30 ha is for sale in Aragatsotn Marz.The cost of 1 square meter is $1.10For more information callTranslated from Armenian,Nov-25-2022_01-06,,https://list.am/en/item/18140630
Agricultural,"160,000 sq.m.",Aragatsotn › Ohanavan,"$330,000",USD,"Very Urgent 16 hectares of land for sale at the foot of Mount Ara, in the area of Ohanavan village (near Tsaghkevank road)10 hectares is a fruit garden. 5 hectares of apple trees, 3.5 hectares of plum trees, 0.6 hectares of cherry trees, 0.2 hectares of pear trees and 300 walnut trees have been planted.A total of 5,500 fruit trees, which are about 10 years old.The area of 10 hectares of the park is completely fenced, irrigation water pipes are laid throughout the area.The crop is of very high quality and is in great demand.6 hectares is empty land.A residential stone house (3 rooms, kitchen-warehouse) of 50 sq. M., a stone barn of 50 sq. M. Is built in the area.For irrigation water are installed solar panels with a capacity of 8 kilowatts, an electric pump that irrigates half of the garden, the other half is irrigated by a powerful diesel engine.Yield and empty plot of land have separate ownership certificates.Call the listed phone numbers for details.CODE 002:Code Code 002Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/17539551
Agricultural,5800 sq.m.,Aragatsotn › Ashtarak,"$25,000",USD,"Productive apple orchard for sale, 650 + young 13 year old trees.Mostly Golden apple tree.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/18020480
Agricultural,2075 sq.m.,Aragatsotn › Voskevaz,"$10,000",USD,"Plot of land, permanent water next to the main road. Exchange also with a car. Eagle wings near. You can also arrange to use it (we will make an agreement) Call for details and other questions.The north-south highway will pass through the land or next to it. Look at the pictures, comparing with google pictureTranslated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/16650389
For Residential Development,600 sq.m.,Aragatsotn › Ashtarak,"$17,000",USD,The land is located in Mughni district of Ashtarak. The area is fenced on 3 sides. It has a frontage of 20 meters. It is close to the house and has a beautiful view.Translated from Armenian,Nov-25-2022_01-06,,https://list.am/en/item/18218688
Agricultural,6240 sq.m.,Aragatsotn › Ashtarak,"$27,000",USD,"Orchard orchard.Ashtarak, Ghazaravan village (Nazrvan)There is permanent irrigation water. Electric and drinking water are located at a distance of 5 meters.There are walnut and peach trees.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/17675086
For Residential Development,1300 sq.m.,Aragatsotn › Voskevaz,"7,000,000 ֏",AMD,"Продаётся жилой участок с 160 плодородными деревьями. Есть газ, питьевая вода и свет. Обмен на машину внедарожник",Nov-25-2022_01-06,,https://list.am/en/item/16416859
Agricultural,6000 sq.m.,Aragatsotn › Ashtarak,"$48,000",USD,Irrigation water with light drinking water backed by orchard treesTranslated from Armenian,Nov-25-2022_01-06,,https://list.am/en/item/16214390
Agricultural,3000 sq.m.,Aragatsotn › Ashtarak,"$66,000",USD,"The land is located in Ashtarak, on the first line of the north-south highway (it is not high or low) It is suitable for building a gas or gasoline filling station, as well as a car wash. It is possible to exchange it with a car.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/14087928
Agricultural,9600 sq.m.,Aragatsotn › Ashtarak,"$55,000",USD,"Apple orchard in Ashtarak, very well cultivated, permanent irrigation water, separate valves in each row. A total of 18 rows, the trees are 10 years old. There is an iron hut of 36 square meters. EXCHANGE WITH A CAR.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/16555265
Agricultural,8750 sq.m.,"Ashtarak highway, Yerevan","$28,000",USD,"Agricultural land for sale in Ashtarak, near the market, in the immediate vicinity of HVEN, suitable for industrial and farm buildings, drinking and irrigation water, gas, electricity. We have 1257 square meters right next to it. 4 $ sq. M. ForPrice is negotiable.It is also exchanged with a car or land in Yerevan, with a surcharge by us or you.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/17768067
Agricultural,2000 sq.m.,"8-րդ փողոց 1, Նոր Երզնկա","$8,500",USD,"It is located in the area called New Erznka Peach Orchard, fruit young apple orchard, 4 rows, about 4 tons of apples, the area can be increased up to 1 hectare.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/18138964
For General Purpose,1000 sq.m.,Aragatsotn › Oshakan,"$8,000",USD,"For saleLand near the house in Oshakan, 1000 square meters by the owner.There used to be a strawberry garden (now there are still some bushes)There is gas, water and electricity nearby.It is very suitable for building a house. It is close to M. Mashtots church.We also have other plots of land, as well as a house for sale with an area of 303 square meters on the coast of Kasakh (see other announcements)For more information call.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/18006059
For Residential Development,1200 sq.m.,Aragatsotn › Aparan,"$25,000",USD,"Land for sale in Kuchak village of Aparan. Near the house, the land has sewerage, drinking water, electricity, there is a gas pipeline next to the land. Price $25,000, negotiable.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/18213885
For Residential Development,1500 sq.m.,Aragatsotn › Aparan,"$6,000",USD,"A plot of land near the house is for sale, Village900 meters from the central road in Kuchak. It will be built soon in the village next to the cable car. You can't buy a plot of land at such a price soon. Also, I will exchange it for a car.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/17634985
Agricultural,5000 sq.m.,Aragatsotn › Aparan,"$6,000",USD,"Arable land 5000 m,The land is located in Kuchak village.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/16648037
For General Purpose,2630 sq.m.,Aragatsotn › Ohanavan,"$18,000",USD,"Urgent sale of an apple garden (under water), 3 rows of apple trees, one row is horticultural. Located in Ohanavan' Demirchyan GardensTranslated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/18302413
Agricultural,1475 sq.m.,Aragatsotn › Parpi,"$8,500",USD,It is located on the first line on the road to Parpi Valley.1. Until the soil is asphalted2. The current directly opposite3. Irrigation water is permanent (summer - winter)4. Drinking water right next to it5. The gas pipe is 50 meters away6. 22 km from the 16th district of Yerevan.7. Flat land8. A main water pipe passes directly into the ground.9.also exchange with your car at extra costTranslated from Armenian,Nov-25-2022_01-06,,https://list.am/en/item/18272729
Agricultural,"16,000 sq.m.",Aragatsotn › Aragatsotn,"$170,000",USD,"Proshyan, orchard, a 3-storey building of 354 square meterscode 611:Code 611-Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/17384990
For General Purpose,1800 sq.m.,Aragatsotn › Kosh,"$15,000",USD,"To Gyumri highway, 3 km after Kosh, 200 m away from the road. It has a stone cellar of about 30 square meters, a big house of 12 meters, irrigation water, drinking water, electricity!Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/16494151
Agricultural,5000 sq.m.,Aragatsotn › Ashtarak,"$28,000",USD,"An orchard is for sale on Ashtarak road, near the highway. It is a golden apple orchard. The sale is urgent. For more information call. SiranushCode 0101Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/17641078
Agricultural,"150,000 sq.m.",Aragatsotn › Aruch,"$450,000",USD,"Land for sale in Aragatsotn marz, village Aruch. It is arable land of agricultural significance. The land is flat. It is 15 hectares (hectares) The price of 1 square meter is 3 US dollars. For more information call. NarineCode 3121Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/17443109
Agricultural,"12,980 sq.m.",Aragatsotn › Aparan,"$160,000",USD,"The land is located in Yeghipatrush village, next to the main road of the village, the area is very flat and the soil is fertile.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/18302889
Agricultural,6100 sq.m.,Aragatsotn › Oshakan,"$15,000",USD,The plot is located in Oshakan village (also in the street with a car)Translated from Armenian,Nov-25-2022_01-06,,https://list.am/en/item/11995888
For Residential Development,3600 sq.m.,Aragatsotn › Ohanavan,"$62,000",USD,"VERY URGENT Agricultural area for sale or exchange with an apartment in Yerevan In Ohanavan community of Ashtarak, there are 400 different types of large fruit trees in the area, a building that serves a rest room of 30 sq. M., a storage area of 20 sq. M., a shed of 30 sq. M. 13 sq. M., separate toilet, bag for 500 liters of drinking water, iron bag with a capacity of 2 tons, with the possibility of collecting rainwater; Sewage, 2 separate drinking water lines are permanent, gas pipes are adjacent, electricity is available, it is completely fenced, it is 300 meters inside the main highway. The trees are taken care of in every season, I provide all the agricultural tools, mowers, spraying machines (working with gasoline or by hand), barrels for making vodka, boxes. You can water the irrigation water whenever you want. The plot is located 1 kilometer above Ohanavan MARKET, next to TIGOR Restaurant. I BUY FROM ARMENIA, I SELL FOR THAT. I am ready to listen to your suggestions.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/16411158
For Residential Development,1500 sq.m.,Aragatsotn › Kosh,"3,250,000 ֏",AMD,"A privatized plot of land near the house is for sale in the center of Ashtarak Kosh community.The foundation of the house is excavated, the project and the building permitThere are. There is free space around the plot, there is a possibility to expand it. There are also communications: Gas, electricity, drinking and irrigation water.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/18212577
Agricultural,4000 sq.m.,Aragatsotn › Oshakan,"$5,500",USD,Վաճառվում է սեփականաշնորհված հողատարածք Օշական գյուղում։Մանրամասների համար զանգահարել։Հնարավոր է նաև փոխանակում մեքենայի հետ։ Կլսեմ առաջարկներ.,Nov-25-2022_01-06,,https://list.am/en/item/10823395
For Residential Development,980 sq.m.,Aragatsotn › Oshakan,"$12,000",USD,"Վաճառվում է տնամերձ հողատարածք Օշական գյուղում, 980մ ընդհանուր մակերեսով։ Այգում կան տարատեսակ պտղատու ծառեր (ընկույզի, դեղձի, ծիրանի, սալորի, բալի, գիլասի, սերկևիլի, պնդուկի, մոշ, մալինա, սմորոձինա և այլն) ։Ոռոգման ջուրը մշտական է, հենց հողատարածքի վերևի հատվածում։Ունի 2 տարբեր ճանապարհներից մուտքեր, 2ն էլ հարմար են մեքենայով հասնելու համար։ Հարևանությամբ կան տներ և ամառանոցներ, գազը, ջուրը, լույսը մոտիկ են։Փոխանակում մեքենայի հետ, ձեր կողմից հավելավճարով։Հավելյալ տեղեկությունների համար զանգահարել։",Nov-25-2022_01-06,,https://list.am/en/item/13461149
Agricultural,5300 sq.m.,Aragatsotn › Ohanavan,"$12,000",USD,"An apple orchard for sale under Mount Ara, in front of Ohanavan village, an orchard with 20 to 40 tons of apples per year, approximately 600 trees, 10 rows.Irrigation water is permanent25 km from YerevanTranslated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/18079501
For Industrial Use,"23,000 sq.m.",Aragatsotn › Voskehat,"$350,000",USD,"Land for public construction, industrial, as well as for entrails use is for sale in Voskehat village, Aragatsotn region. The land is located on the 1st line, it is provided with irrigation water.For other details you can call the mentioned phone number.Code H-693Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/17917115
For Residential Development,1152 sq.m.,Aragatsotn › Ohanavan,"20,000,000 ֏",AMD,"First line, homestead land in Ohanavan, on the right side of Yerevan Aparan highway,Suitable for different types of businessAlso exchange with an apartment in Yerevan.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/17078457
For Residential Development,1084 sq.m.,Aragatsotn › Ohanavan,"12,000,000 ֏",AMD,"A plot of land for salein Ohanavan,Yerevan Aparan Main highway 150 meters inside, 1084 meters, with certificatebut 1500 meters, 26 meters of frontage, cherry orchard, electricity, gas 5 meters away,Drinking water 100 meters away, irrigationpermanent.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/17264577
For Residential Development,600 sq.m.,Aragatsotn › Ashtarak,"$5,000",USD,It is located in Arai 2 district. Possible exchange with a carTranslated from Armenian,Nov-25-2022_01-06,,https://list.am/en/item/15982905
For Residential Development,2000 sq.m.,Aragatsotn › Byurakan,"$16,000",USD,"Land near the house, has the possibility of electricity, water and gas, call for detailsTranslated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/18104567
For Residential Development,1650 sq.m.,Aragatsotn › Aparan,"$85,000",USD,"A plot of land near the house is for sale at the beginning of Yeghipatrush community, on the road leading to the cable car. The land is sold complete.Exipatrush. Elipatrush.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/11362250
Agricultural,7838 sq.m.,Aragatsotn › Aparan,"$60,000",USD,"A plot of land is for sale in the territory of Yeghipatrush community, near the Aparan reservoir. Partial sale is possible, the price is 8 dollars 1m2.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/18050388
For General Purpose,"10,000 sq.m.",Aragatsotn › Aparan,"$150,000",USD,"Հողը գտնվում է Ապարանի ջրամբարի ափինբոլոր հարմարությունները կա կողքըջուրը մոտիկ, հոսանքը մոտիկհարմար է ցանկացած ոլորտի համար",Nov-25-2022_01-06,,https://list.am/en/item/16347755
For Residential Development,635 sq.m.,Aragatsotn › Kosh,"$7,500",USD,"I am selling a 635 square meter land, there is a building of 70 square meters inside. The land near the house is located near Kosh village, the land is about 250 m away from the main road, the price is negotiable. Drink water and Irrigation water nearby, call for detailsTranslated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/17428995
For Residential Development,1300 sq.m.,Aragatsotn › Voskevaz,"$17,000",USD,"1300 sq. M. For sale ․ area land in Voskevaz community, fifty meters away from the main road of the community. There is permanent drinking water near the plot, as well as gas, electricity. The plot is completely cultivated. Exchange with a car is possible.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/17307009
For Residential Development,1050 sq.m.,"Ashtarak highway, Yerevan","$18,000",USD,Suitable container for building a private houseTranslated from Armenian,Nov-25-2022_01-06,,https://list.am/en/item/18220369
For Residential Development,900 sq.m.,Aragatsotn › Ashtarak,"$15,000",USD,Call for detailsTranslated from Armenian,Nov-25-2022_01-06,,https://list.am/en/item/17745355
For Residential Development,600 sq.m.,Aragatsotn › Ashtarak,"$6,000",USD,"A half-built building is for sale in Aghdzq village, Aragatsotn marz, near Ashtarak.The building - basement floor.Building area - 80 square meters. M.Land area - 600 sq. M. With unlimited scaling capability.A certain amount of tuff stones are found. The soil - seva soil is available.The plot is about 100 meters from the main road.There is electricity, running water, and the possibility of drinking water.Owned, has relevant documents.For questions, you can call the above phone number.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/14717991
For Residential Development,550 sq.m.,Aragatsotn › Karbi,"2,600,000 ֏",AMD,"Water, electricity is right next to the plot, the irrigation water channel runs 100 meters above, no need for a pump, gravity comesTranslated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/18216184
For Residential Development,1500 sq.m.,Aragatsotn › Parpi,"$9,800",USD,"A plot of land near the house is for sale in Parpi village of Ashtarak, which is only 15 km away from Yerevan.The land is suitable for residential construction, it has drinking water, gas, electricity.Possible exchange with a car. NegotiableVERY URGENTLYTranslated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/18202557
Agricultural,8000 sq.m.,Aragatsotn › Ashtarak,"$50,000",USD,There is permanent irrigation water.Translated from Armenian,Nov-25-2022_01-06,,https://list.am/en/item/16841309
Agricultural,9800 sq.m.,Aragatsotn › Saghmosavan,"$65,000",USD,"The land is located next to the Ashtarak-Aparan road (first line), 25 km from Yerevan, in the Artashavan community, a little above the road leading to Saghmosavank, not reaching the monument of Armenian letters. It is suitable for summer house and various commercial activities. The irrigation water (canal) passes from the upland side of the land. A gas main line passes nearby. The land offers a wonderful view of Masis, Mount Ara and Aragats. It is possible to partially sell the part adjacent to the highway, at least 1000 square meters.The land is of agricultural significance. The certificate of ownership is available.In the picture of the attached map, the plot of land is colored yellow, in two pieces.Saghmosavan, Artashavan, Saghmosavanq, Saxmosavanq, Saghmosavan, Saxmosavan, ArtashavanTranslated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/16664778
For General Purpose,3000 sq.m.,"Sisakyan street 1, Ashtarak","$60,000",USD,"Land for sale in Ohanavan village, 3000 sq. M.There are 300 fruit trees near the house, call the barn իս for detailsTranslated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/17721902
For Residential Development,4000 sq.m.,Aragatsotn › Ashtarak,"15,000,000 ֏",AMD,It is located on the first line of the Ashtarak Echmiadzin highwayTranslated from Armenian,Nov-25-2022_01-06,,https://list.am/en/item/18020294
For Residential Development,1600 sq.m.,"Charents street, Agarak","$25,000",USD,A semi-built house is for sale. We have 50 different types of houses. It is a convenient place to live. It is paid very urgently.Translated from Armenian,Nov-25-2022_01-06,,https://list.am/en/item/17679997
For Residential Development,1500 sq.m.,Aragatsotn › Aghdzk,"$28,000",USD,"Land near the house with an orchard is for sale. 140 pieces of fruit trees, irrigation and drinking water,electricity, high basement, cottage, barn and summer kitchen.The land is located in Aghdzk (Dzorap) village of Ashtarak region.It is for rent.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/16317230
For Residential Development,1000 sq.m.,Aragatsotn › Parpi,"$10,000",USD,Land area 1000 square meters near the house in Parpi community22m frontagenewly constructed sectionCode 0100325Translated from Armenian,Nov-25-2022_01-06,,https://list.am/en/item/17640904
For Residential Development,1100 sq.m.,Aragatsotn › Ashtarak,"$30,000",USD,Homemade roller coaster 1100 square meters in Mughni districtTranslated from Armenian,Nov-25-2022_01-06,,https://list.am/en/item/18208629
For Residential Development,600 sq.m.,Aragatsotn › Aghdzk,"$5,000",USD,"Land for sale in Dzorap village, Aghdzk villageTranslated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/16373932
For General Purpose,1200 sq.m.,Aragatsotn › Aparan,"$5,000",USD,Suitable for planting a house or trees. Water and gas are nearby. UrgentTranslated from Armenian,Nov-25-2022_01-06,,https://list.am/en/item/17961577
For Residential Development,500 sq.m.,"1st Street, Bazmaghbyur","$15,000",USD,"25 km from Yerevan.There is a 1-story semi-basement house with a high ceiling of 75 sq. M. M. You can see in the pictures.Enough moneyis spent, it is fenced on 2 sides, there are various fruit trees.It has a very beautiful viewIt is a very nice country house, it is very easy to add floors, the important work is done.25 km from YerevanTranslated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/18143341
For Residential Development,1200 sq.m.,Aragatsotn › Karbi,"$10,000",USD,"There is no such price in Karbi Village. Details by phone, cherry orchard, Karbi Village, Tnamerdz. The last price, gas and water are not far away, call Viber very quickly, it costs more, I need to add it urgently, that's why the price is 15, the price will not go down, I will not go down $1, clean 8, call the places of the specified numberTranslated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/18307496
For Residential Development,1300 sq.m.,Aragatsotn › Voskehat,"$17,000",USD,"1st line, Near the house, smooth, two-way road, residential district, exchange with 1 or 2-room apartment for extra chargeTranslated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/17823308
Agricultural,"50,000 sq.m.",Aragatsotn › Ashtarak,"$5,000",USD,"Land for sale, 5 to 50 hectares in Ashtarak.There is also 200 hectares in Armavir region.From the villages of Etchmiadzin, 21 km from Yerevan, the price is 25 cents, for sale in full, deep artisanalWater, three-phase electricity, under the canal,Real buyers will call, the land is not cultivated, good land is 4 times more expensive.Details by callingTranslated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/16837617
For Public Buildings,600 sq.m.,Aragatsotn › Ashtarak,"6,000,000 ֏",AMD,"AreaMughni village, there are two pieces of 600m in different places, different prices, good place, communications pass by road, there are houses in the vicinity, the location is good, the price is negotiable.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/18053381
For Industrial Use,"10,000 sq.m.",Aragatsotn › Aghdzk,"$95,000",USD,A half-built workshop is for sale in Aghdzk (Dzorap) community.Translated from Armenian,Nov-25-2022_01-06,,https://list.am/en/item/17794245
For Residential Development,1500 sq.m.,Aragatsotn › Aghdzk,"$8,000",USD,"Land for sale.Address: Aragatsotn region v. DzorapDescription: Land near the house, 1500 mTranslated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/17513848
Agricultural,2300 sq.m.,Aragatsotn › Ashtarak,"$13,000",USD,"Apple orchard, the trees are 6 years old. Exchange with a car.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/16431778
Agricultural,6400 sq.m.,Aragatsotn › Karbi,"$20,000",USD,"Apple orchard, 8 rows, 640 trees, well cultivated. The types of the tree are Golden Crepson Semirenko. It has no water problem. There is a stone building.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/18110487
For Residential Development,1600 sq.m.,Aragatsotn › Aghdzk,"$11,000",USD,"The land is located in Aghdzk (Dzorap) village.There is irrigation water, drinking water, electricity, gas.Walnut and quince treesAsphalt roadURGENTNEGOTIABLETranslated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/17911906
For Residential Development,1000 sq.m.,Aragatsotn › Ghazaravan,"$27,000",USD,"Land near the house, electricity, water (drinking, irrigation) gas is very close. In the area there is a beautiful house in the front part with a renovated balcony and kitchen. Price negotiableTranslated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/18300595
For General Purpose,1800 sq.m.,Aragatsotn › Aragatsotn,"$16,000",USD,"Very urgent, 1800 square meters of land is for sale on the first line near the Shenavan-Hartavan crossroads. Land can be used both for building a house and for doing business. Price is negotiable.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/17790270
For Residential Development,600 sq.m.,Aragatsotn › Ashtarak,"$4,900",USD,"УЧАСТОК в Аштараке, рядом вода для полива",Nov-25-2022_01-06,,https://list.am/en/item/13906066
For Public Buildings,1200 sq.m.,Aragatsotn › Ashtarak,"$10,000",USD,"Land near the house for sale in the village. There are houses nearby, there is a possibility of gas, water, sewerage, electricity.For more information call: Oshakan:Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/16794737
For Residential Development,900 sq.m.,Aragatsotn › Ashtarak,"$17,000",USD,Tandzut district has all the utilities.Translated from Armenian,Nov-25-2022_01-06,,https://list.am/en/item/18207149
For Residential Development,1717 sq.m.,Aragatsotn › Byurakan,"$26,000",USD,"A plot of land near the house is for sale in Byurakan, there are many fruit trees on the plot, apples, pears, peaches, poppy seeds, figs, there is light, water and gas on the plot, negotiable, the house is suitable for living. Exchange with house or car, exchange.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/18361925
Agricultural,4400 sq.m.,Aragatsotn › Ohanavan,"3,500,000 ֏",AMD,"There is permanent irrigation and drinking water, offer light exchange,URGENTTranslated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/17945980
For Residential Development,1200 sq.m.,Aragatsotn › Ashtarak,"$20,000",USD,"Nazrvan (Ghazaravan)Land near the house 1 line gas, light, water attached to the ground, black soilLand near the houseTranslated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/17718086
For Residential Development,1200 sq.m.,Aragatsotn › Ashtarak,"$25,000",USD,"Land near the house in AshtarakGas, electricity, water are near the landIn the neighborhoodTranslated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/18025740
For General Purpose,520 sq.m.,Aragatsotn › Tegher,"$4,300",USD,"Land for sale in Tegher village of Aragatsotn region (520 sq. M.), has a half-built cottage (44 sq. M.), the price is negotiable.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/17880960
For Residential Development,600 sq.m.,"Grigor Lusavorich street, Mughni","$20,000",USD,"Ashtarak, Mughni 1 district, house plot No. 101.A plot of land near the house with fruit trees is for sale, both sides are stone fenced. The plot is located on a hill, it has a beautiful view of Mount Ararat. It is full of fruit trees of the Hakakan world, there is 24-hour drinking water, electricity, gas and internet.Translated from Armenian",Nov-25-2022_01-06,,https://list.am/en/item/18057351
