Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,Furniture,Appliances,Window Views,Parking,Links
Stone,Yes,Not available,5,67 sq.m.,2,1,from 2.8 m,3,Open balcony,No Renovation,Ararat › Masis,"$42,000",USD,"Վաճառվում է 67 քմ ընդհանուր մակերես ունեցող բնակարան նորակառույց քարե շենքում, Մասիս քաղաքում, որը ունի ամբողջ հնարավորությունները դառնալու 2 կամ 3 սենյակ: Բնակարանը շատ լուսավորված է և ունի երկկողմանի պատուհաններ, բաց պատշգամբ, բարձր առաստաղ: Շենքը նոր է հանձնվել շահագործման և բնակեցված է:Բնակարանը համապատասխանում է մի շարք հիփոթեքային ծրագրերով գնելու պայմաններին:Продается 3-х комнатная квартира в новостройке, в городе Масис. Квартира очень светлая, окна на две стороны, открытый балкон, высокие потолки, расположен всего в 7 километрах от Еревана.Цена $42,000",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/18061223
Panels,No,Not available,5,74 sq.m.,3,1,from 3 m,5,Closed balcony,Major Renovation,"1st Street, Masis","22,950,000 ֏",AMD,"В центре города Масис, рядом с церковью, вместе с мебелью продается отремонтированная, светлая, солнечная квартира с видом на гору Масис. Есть закрытый балкон и две кладовки. Дом газифицирован. Санузел раздельный и выложен плиткой. Крыша отремонтирована. Адрес - Нор микрорайон 27 дом. ПРОШУ ПИСАТЬ СЮДА. НА ЗВОНКИ ОТВЕЧАТЬ НЕ МОГУ, ТАК КАК ВРЕМЕННО НАХОЖУСЬ В ОТЪЕЗДЕ. Торг. ЭдоՄասիս քաղաքի կենտրոնում, եկեղեցու հարեւանությամբ վաճառվում է վերանորոգված, լուսավոր, արեվկողմ, Մասիս սարի տեսարանով բնակարան գույքի հետ միասին: Ունի փակ պատշգամբ եվ երկու խորդանոց: Շենքը գազաֆիկացված է: Սան հանգույցը առանձնացված է եվ սալիկապատված: Տանիքը վերանորոգված է: Հասցեն - Նոր թաղամաս 27 շենք: Սակարկելի: Էդո",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/15469505
Stone,No,Not available,4,46 sq.m.,2,1,from 2.6 m,1,Not available,Partial Renovation,"Khanjyan street 56, Ararat","$20,000",USD,"For sale in the city of Ararat, in Khanjyan 56 dormitory, the toilet is separate, it is located on the first floor, it is very convenient for a shop, a hairdressing salon. The windows are euro, they look to shosh, the price is negotiable.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17117220
Panels,No,Not available,5,80 sq.m.,3,1,from 2.8 m,5,Multiple balconies,Major Renovation,"Isakov street, Artaxata (Artashat)","$70,500",USD,"Fully renovated and finished wine, sale only in cash, empty house for sale, the floor is heated, has 2 air conditioners by Mitsubishi, permanent water, bug for 1 ton of water, heating system by BAXI, wooden doors, double door, air duct has 3 kladovka in the basement of the house and on the balcony. Has a stone garage in the yard of the building, renovated, will be given with the apartment for an additional $ 5000.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/15453403
Panels,No,Not available,5,45 sq.m.,2,1,from 2.5 m,5,Open balcony,Old Renovation,Ararat › Masis,"$48,000",USD,Negotiable Negotiable Negotiable NegotiableTranslated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/16357243
Panels,No,Not available,5,72 sq.m.,3,1,from 2.8 m,4,Open balcony,Old Renovation,Ararat › Vedi,"$30,000",USD,Araratyan street 49/1 buildingTranslated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/17936800
Panels,No,Not available,5,62 sq.m.,2,1,from 2.8 m,5,Multiple balconies,Major Renovation,"Ծովակալ Իսակովի փողոց 76Ա, Արտաշատ","$45,000",USD,A fully renovated 2/3 room apartment is for sale in Artashat. Call for more information.Translated from Armenian,Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/15909080
Panels,No,Not available,5,62 sq.m.,2,1,from 2.8 m,5,Multiple balconies,Major Renovation,"Ծովակալ Իսակովի փողոց 76Ա, Արտաշատ","$45,000",USD,"A 2/3 room apartment is for sale in Artashat. The apartment is fully renovated, call for detailed information.Translated from Armenian",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/15909236
Panels,No,Not available,5,77 sq.m.,3,1,from 2.8 m,4,Closed balcony,Cosmetic Renovation,Ararat › Ararat,"$25,000",USD,"Apartment for sale, c. Ararat Nonprofit Organization (ZOD), 11a building, apt. 25, on the 4th floor of a 5-story building. It has a garage, it is sold with property and equipment. It is close to a school and a kindergarten. It is not for rent.Translated from Armenian",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/17872553
Panels,No,Not available,5,75 sq.m.,3,1,from 3 m,2,Multiple balconies,Old Renovation,Ararat › Artashat,"$50,000",USD,"I am selling a 3-room apartment on the 2nd floor, located in front of the market in Artashat.Door Windows have been changedTranslated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17550258
Stone,No,Not available,3,30 sq.m.,1,1,from 2.8 m,3,Closed balcony,Euro Renovation,Ararat › Araksavan,"$20,000",USD,"The house is euro-repaired, there is hot and cold water, gas supply. On the 3rd floor, the roof is repaired.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17544333
Stone,No,Not available,5,105 sq.m.,3,2,from 2.8 m,3,Open balcony,Major Renovation,"August 23 street 23, Artaxata (Artashat)","$80,000",USD,"A 3-room apartment is for sale, it is completely renovated, there is a cash system, the front door is iron, the sale is with the property.Translated from Armenian",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/17527045
Stone,No,Not available,5,75 sq.m.,3,1,from 3.2 m,5,Multiple balconies,Old Renovation,"Арташатское шоссе 2/2, Ереван","$35,000",USD,Продается квартира в Арташате на ул. Орбели. Цена не окончательная. По остальным вопросам звонить по указанному номеру.,Nov-25-2022_14-06,,,,,https://list.am/en/item/18372049
Stone,No,Not available,3,85 sq.m.,4,2,from 3 m,1,Not available,Cosmetic Renovation,"Artashat roadway 15, Dimitrov","12,000,000 ֏",AMD,The apartment has a separate entrance. The apartment has a separate land plot of 1250 square meters.Translated from Armenian,Nov-25-2022_14-06,Available,,,,https://list.am/en/item/16663904
Panels,No,Not available,5,78 sq.m.,3,1,from 3.5 m,4,Open balcony,Cosmetic Renovation,Ararat › Artashat,"$45,000",USD,"3-room apartment is for sale or rent (AMD 90,000) in Artashat, 74 Isakov building, near the market, near the bus stop. The apartment is dilapidated, renovated, the water lines of the building have been changed, the apartment has only cold water.Real buyers will call, the price is not final, mortgage or part-time or any other option.Translated from Armenian",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/17488738
Stone,No,Available,5,72 sq.m.,2,1,from 2.6 m,4,Open balcony,Partial Renovation,Ararat › Masis,"$45,000",USD,"An apartment for urgent sale in the central street of Masis. Sunny side. Newly renovated. Central street. Near the church, near the park. There are many shops in the area, the balcony has a great view of the beautiful Mount Masis.Translated from Armenian",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/17488081
Panels,No,Not available,5,5109 sq.m.,4,1,from 2.8 m,2,Open balcony,Partial Renovation,"Patkanyan street, Artaxata (Artashat)",$55,USD,"Վաճառվում է բն. Ք Արատաշատում 5 հարկանի շենքի 2-րդ հարկում: Բնակարանը մասնակի վերանորոգված է ունի տաք և սառը ջուր, 1 սանհագույց, պատուհանները եվրո արտադրության են, մուտքի դուռը երկաթյա: Վաճառվում է ավտոտնակի հետ միասին:",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/16393737
Stone,No,Not available,2,200 sq.m.,4,1,from 2.75 m,1,Open balcony,Old Renovation,Ararat › Nizami,"$50,000",USD,"Call for questions, the price is negotiable.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17661453
Stone,No,Not available,4,18 sq.m.,1,1,from 3.5 m,3,Not available,Major Renovation,"Khanjyan street 56, Ararat","$15,500",USD,Квартира в отличном состояние недавно делал ремонт стены и пол шумоизоляция термоизоляция рядом детский сад. Больница школа дом находится возле стадиона всё что есть оставляю всё что есть все новые вещи,Nov-25-2022_14-06,,,,,https://list.am/en/item/18268720
Stone,No,Not available,5,60 sq.m.,2,1,from 2.8 m,3,Multiple balconies,No Renovation,"Улица Араратян 61, Веди","$25,000",USD,Վաճառվում է 2 սենյականոց բնակարան Թումանյան 3/5 հասցեով 5 հարկանի շենքի 3-րդ հարկում չվերանորոգվաց վիճակում։,Nov-25-2022_14-06,,,,,https://list.am/en/item/16439502
Stone,Yes,Not available,4,120 sq.m.,3,1,from 2.8 m,1,Closed balcony,Euro Renovation,"Shahumyan street 37, Ararat","44,000,000 ֏",AMD,"An apartment (120 m/sq) is for sale in Ararat city, which includes a public area - an active business (currently a grocery store 24 m/sq) and a basement floor with two separate rooms (24 m/sq) The apartment has 3 bedrooms, it is renovated, it has all utilities, internet connection wifi, a heating system is installed, the bathroom is tiled. It is sold together with kitchen furniture. The store is currently working and brings a stable income, has heating, air conditioning, is monitored by cameras. Sold together with property and goods. ATTENTION, there is a possibility to open two more public spaces. Only real buyers should call for questions.Translated from Armenian",Nov-25-2022_14-06,By agreement,,,,https://list.am/en/item/17982174
Panels,Yes,Not available,5,76 sq.m.,3,1,from 2.8 m,5,Open balcony,Partial Renovation,"Ծովակալ Իսակովի փողոց 70, Արտաշատ","$35,000",USD,"3-room house with large balcony, some size has been added. Renovated, comfortable house to live in. Urgently, therefore, this price is negotiable. Hurry!Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/18316864
Stone,No,Not available,5,82 sq.m.,3,1,from 2.7 m,4,Closed balcony,Cosmetic Renovation,Ararat › Artashat,"$60,000",USD,"It is for sale without an intermediary. It is located in the center of Artashat, August 23 street, sh. 21, bn. 21. The apartment is 3 rooms, converted into 4 rooms, cosmetically renovated.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/18305587
Panels,No,Not available,5,100 sq.m.,4,2,from 3 m,3,Not available,Cosmetic Renovation,"Նար-Դոսի փողոց 38, Արտաշատ","$62,000",USD,"The apartment is provided with a garage as well as cabinets in the entrance, the door is solid iron, the floor is made of oak parquet, the price is finalTranslated from Armenian",Nov-25-2022_14-06,By agreement,,,,https://list.am/en/item/17496451
Panels,No,Not available,5,60 sq.m.,2,1,from 2.7 m,4,Not available,Major Renovation,"Նոր թաղամաս 28, Մասիս","$48,000",USD,"An apartment is urgently for sale in the city of Masis, near the square. It is on the 4th floor of a 5-story building, it is completely renovated, it has a Baxi system, it is tiled, the windows, interior doors are of European manufacture, an iron door, the parquet is made of oak wood, it has built-in wardrobes, a pantry in the kitchen, an entrance there is also a storage room on the same floor. It is sold together with kitchen furniture and a wardrobe in the hallway.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/18355144
Panels,No,Not available,5,60 sq.m.,1,2,from 3 m,2,Not available,Partial Renovation,Ararat › Ararat,"$20,000",USD,Call for details.Located in the welding massif on the second floorTranslated from Armenian,Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/14193441
Stone,No,Not available,4,36 sq.m.,1,1,from 2.7 m,3,Open balcony,Partial Renovation,Ararat › Masis,"$27,000",USD,"It is a former hostel!A 1-room apartment with a niche is for sale in the city of Masis. It is close to the center, school, kindergarten, hospital, there are shops and a supermarket nearby. It has natural gas (3 points), air conditioner, European windows, hot and cold water, Wi-Fi, the water line has been changed, the bathroom is inside, it has a 6m long open balcony. State condition. It is a sunny, warm apartment. It is a solid, thick-walled stone building with bright floors, heated for 10-15,000 drams a month in the harshest winter.It is a former dormitory, but it has an apartment cadastre certificate (house book), all apartments in the whole building are separate apartments, there is nothing in common (all apartments have a bathroom, a kitchen) It is also exchanged for a 3-4 room apartment on the 1st-3rd floors in Masis, with an additional fee from me.Call every day until 22:30The building is NOT emergency!WITHOUT PROPERTY!Price is FINAL!DO NOT BARGAIN!WITHOUT INTERMEDIARY!NOT FOR RENT!Translated from Armenian",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/18170755
Stone,No,Not available,5,44 sq.m.,1,2,from 2.75 m,2,Closed balcony,Partial Renovation,Ararat › Vedi,"11,000,000 ֏",AMD,"A one-room apartment converted into two is for sale.It has a heating system.Cold, hot water.Partially renovated.Write for details.NEGOTIABLETranslated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/18057756
Stone,Yes,Not available,1,95 sq.m.,4,1,from 3 m,1,Not available,No Renovation,Ararat › Ayntap,"$45,000",USD,"A residential house is for sale on 23/1 Nor Kharberd street, near 57 women. The total area of the land is 370 square meters, on which a residential house of 95 square meters has been built. , 5 sq. M., bathroom 5 sq. M., entrance 11 sq. M., apartment is double, ceiling is monolithic, ceiling height is 3 meters, it has a common fence, it has sewerage, gas and water, possibility, water is permanent, it is not for sale, price is negotiable, call for details. Also for sale through the bank J.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/15981589
Stone,No,Not available,4,20 sq.m.,1,1,from 2.7 m,3,Closed balcony,Major Renovation,"Khanjyan street 22, Ararat","$15,000",USD,A room in a residential dormitory in the central part of the city of Shunt Ararat has been completely renovated and has a separate bathroom. Price with furnitureCode 7002Translated from Armenian,Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/18286559
Stone,No,Not available,5,76 sq.m.,3,1,from 2.8 m,2,Open balcony,Euro Renovation,"Orbeli street 91, Artaxata (Artashat)","$85,000",USD,"The apartment is fully renovated, it is for sale together with property and equipment. City Artashat, Orbeli 91 building 2nd floor, there is no $ 100 work on the houseUrgent,Urgent.Translated from Armenian",Nov-25-2022_14-06,By agreement,,,,https://list.am/en/item/15798951
Stone,No,Not available,5,70 sq.m.,3,1,from 2.8 m,3,Multiple balconies,Designer Renovation,"Marks street, Artaxata (Artashat)","$72,000",USD,"The apartment is located in the center of Artashat, next to the Plaza. Renovated and uninhabited. Open and closed balcony, spacious kitchen, heated kitchen floor. The floor is carpet parquet. Baxi heating system installed. Sale together with kitchen furniture. In a word, an ideal apartment, only real buyers will call. The price will be negotiated only after seeing the apartmentTranslated from Armenian",Nov-25-2022_14-06,By agreement,,,,https://list.am/en/item/17647690
Stone,No,Not available,5,70 sq.m.,3,1,from 2.8 m,4,Open balcony,Designer Renovation,"Ներսիսյան փողոց 9, Արտաշատ","$65,000",USD,"The apartment has been completely renovated. A high-quality heating system is installed, the floor of the kitchen and corridor is heated, a water tank is installed. The doors and windows are again of high quality. The apartment faces the sun, has an open terrace with a beautiful view of Mount Masisi.Translated from Armenian",Nov-25-2022_14-06,By agreement,,,,https://list.am/en/item/17993106
Stone,No,Not available,3,40 sq.m.,2,1,from 2.5 m,1,Not available,Partial Renovation,"Շահումյանի փողոց 17, Արտաշատ","$46,000",USD,The apartment is located next to the court.Translated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/16288231
Panels,No,Not available,5,67 sq.m.,3,1,from 2.7 m,5,Open balcony,Major Renovation,"Isakov street 72, Artaxata (Artashat)","$47,000",USD,"2 (turned into 3) room apartment for sale in Artashat, Isakov 72/10. It has been completely renovated.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/18280957
Stone,No,Available,9,62 sq.m.,2,1,from 2.7 m,6,Open balcony,Old Renovation,Ararat › Ararat,"$20,000",USD,Продается квартира в Араратском районе. В поселке Зод ул. Араратский массив дом 4 Этаж 3. Вся мебель остается. Есть балкон и закрытая лоджия.,Nov-25-2022_14-06,,,,,https://list.am/en/item/18249381
Stone,Yes,Not available,2,220 sq.m.,6,2,from 3 m,1,Not available,Partial Renovation,"16-րդ փողոց 16, Գեղանիստ","$80,000",USD,"Newly built under two stone blocks, the foundation was filled to a meter, the roof was 60 cm, the house was dilapidated, the heating was removed, the rest was repaired at will.There is waterThere is electricityThe gas line runs in front of the houseTranslated from Armenian",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/17209787
Stone,No,Not available,5,65 sq.m.,3,1,from 2.75 m,5,Open balcony,Major Renovation,"Շահումյանի փողոց 14, Արտաշատ","24,000,000 ֏",AMD,Capitally renovated 2 turned into 3 rooms. For sale with Furniture.Translated from Armenian,Nov-25-2022_14-06,Available,,,,https://list.am/en/item/16250370
Panels,No,Not available,5,80 sq.m.,4,2,from 2.8 m,4,Open balcony,Partial Renovation,"Khanjyan Street 17, Artaxata (Artashat)","17,000,000 ֏",AMD,Has a garage included in the price. Sale without garage is possible.Translated from Armenian,Nov-25-2022_14-06,Available,,,,https://list.am/en/item/18275096
Stone,No,Not available,3,38 sq.m.,1,1,from 2.7 m,2,Not available,Partial Renovation,Ararat › Ararat,"$17,000",USD,Call for questionsTranslated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/18101005
Panels,No,Not available,5,60 sq.m.,2,1,from 2.7 m,2,Closed balcony,Major Renovation,Ararat › Masis,"$55,000",USD,"I AM THE OWNER!2-3 room apartment for sale in Masis city, 2nd district.New capital renovation, euro windows, laminate floor, tile/matlakh, gas, heating system, walls thickened from the inside, kitchen furniture.Sunny and warm apartment.The apartment also has a basement...Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/15804081
Panels,No,Not available,5,60 sq.m.,2,1,from 2.75 m,2,Not available,Major Renovation,Ararat › Masis,"$55,000",USD,"2-3 room apartment for sale in Masis city, 2nd district.New capital renovation, euro windows, laminate floor, tile/matlakh, gas, heating system, walls thickened from the inside, kitchen furniture.Sunny and warm apartment.The apartment also has a basement...Special note! Only buyers who want to buy an apartment through an agency should call.The apartment is shown with a real estate showing contract.Please have your ID with you:Service commission: 2% of selling priceTranslated from Armenian",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/17788921
Panels,No,Not available,5,75 sq.m.,3,1,from 2.75 m,2,Open balcony,Major Renovation,"Isakov street, Artaxata (Artashat)","28,000,000 ֏",AMD,"The apartment is equipped with hot and cold water, has a heating system, is completely renovated, in case of other questions, call the indicated phone number.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/18235304
Panels,No,Not available,5,103 sq.m.,5,2,from 2.8 m,2,Open balcony,Euro Renovation,"Khanjyan Street, Artaxata (Artashat)","$70,000",USD,"An apartment is for sale, there is heating, hot and cold water, a water yard is installed, there is always water. 3 bedrooms, living room, dining room, kitchen, large corridor, bathroom, toilet separately, the floor is completely made of oak parquet.The house is in very good conditionTranslated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17723075
Panels,No,Not available,5,90 sq.m.,4,2,from 2.7 m,2,Closed balcony,Old Renovation,"Isakov street 72, Artaxata (Artashat)","$58,000",USD,The apartment has hot and cold waterIt is gasifiedFor more information callTranslated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/18067930
Stone,No,Not available,5,58 sq.m.,2,2,from 2.7 m,3,Closed balcony,No Renovation,Ararat › Masis,"$26,000",USD,"State condition, near ""Masis Tabak"" factory, separate rooms, closed economic balcony, water lines and sewer lines just changed, urgentCode 2-099Translated from Armenian",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/18011221
Stone,No,Not available,1,67 sq.m.,2,1,from 2.8 m,1,Open balcony,No Renovation,Ararat › Khachpar,"$25,000",USD,A half-built private house of 141 square meters 67 sq. M. Is for sale. M is 0.19 hectares. Call for detailed questions on landTranslated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/17988729
Panels,No,Not available,5,76 sq.m.,3,1,from 2.8 m,2,Closed balcony,Old Renovation,Ararat › Masis,"$50,000",USD,"The apartment is located in the 2nd district of Masis town, in the 23rd building, entrance to the mezzanine, on the 2nd floor of a very warm house with all communal facilities, gas, light, water.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/16447400
Stone,No,Not available,1,60 sq.m.,3,1,from 3 m,1,Open balcony,No Renovation,Ararat › Ararat,"7,000,000 ֏",AMD,"There is no gas-electricity-water, we didn't need it, we didn't pull it, but it is possible to pull it back, there is 1000 square meters of land, call for detailsTranslated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/18116311
Panels,No,Not available,5,62 sq.m.,2,1,from 2.75 m,3,Closed balcony,Major Renovation,"Квартал Нор 22/13, Масис","$55,000",USD,"The apartment is on the 3rd floor of the entrance in the middle of the building, it has been transformed into 3 full rooms, the external walls are insulated, an individual heating boiler (baxi) is installed, wooden flooring, the windows have been replaced, there is a stone garage of 30 square meters in the yard of the building. M, (legal, with ownership rights) sold together with kitchen, living room, bedroom and other built-in furniture. I am the owner of the apartment.Translated from Armenian",Nov-25-2022_14-06,Available,"FRidge, stove","YArd view, street view",,https://list.am/en/item/18292930
Stone,No,Not available,5,128 sq.m.,4,1,from 2.8 m,5,Not available,Major Renovation,"Հրաչյա Թովմասյանի փողոց 11, Արտաշատ","$83,000",USD,"The apartment is completely renovated, it is located in the center of Artashat, it has an oak floor. The apartment is sold together with the property. For more information call.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/18075462
Panels,No,Not available,5,74 sq.m.,3,1,from 2.8 m,3,Open balcony,Euro Renovation,Ararat › Masis,"21,500,000 ֏",AMD,3-room apartment in a new district... Call for details.Translated from Armenian,Nov-25-2022_14-06,By agreement,,,,https://list.am/en/item/17348459
Panels,No,Not available,5,68 sq.m.,3,1,from 2.7 m,4,Open balcony,Partial Renovation,"Araz street 9, Artaxata (Artashat)","18,500,000 ֏",AMD,"Apartment in Artashat, address: Arazi 9.Communal with all facilities.It is sold with a garage.For details, call the number written in the picture. Exchange with own house.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17516963
Stone,No,Not available,4,50 sq.m.,2,1,from 3 m,2,Not available,Cosmetic Renovation,"Dprocakanner street, Masis","$32,000",USD,Звоните по воцапу! 89629047277 Продаю срочно квартиру в 3-ем микрайоне в городе Масис. Находится в центре города. Хорошие соседи. Торг уместен!,Nov-25-2022_14-06,,,,,https://list.am/en/item/18237235
