Type,Floor Area,Address,Price,Currency,Description,Datetime,Links,Utilities
Garage,24 sq.m.,Armavir › Echmiadzin,"$9,000",USD,Code H039:Stone garage for sale in K. Etchmiadzin. In the beginning of Charents district Building 25 sq. M.Fire:For more information callTranslated from Armenian,Nov-24-2022_16-41,https://list.am/en/item/17092453,
Garage,21 sq.m.,Armavir › Armavir,"$2,000",USD,"Garage for sale, can also serve as a warehouse, built very solidly զանգ Call for questions.Translated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/17764800,
Garage,,"Եղիշե Չարենցի փողոց 23, Վաղարշապատ",$600,USD,"For sale is a garage with a portable iron, located in the city of Etchmiadzin, dimensions 3 m wide 5 m ․ two.Translated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/10731696,
Garage,500 sq.m.,Armavir › Bambakashat,"$10,000",USD,7 semi-built garages in front of 20 m of free space ownedTranslated from Armenian,Nov-24-2022_16-41,https://list.am/en/item/18069107,
Garage,20 sq.m.,Armavir › Vanand,"$1,200",USD,"Hut, cottage, wagonOn 3x6.7There is no version of Nissa PkkovTranslated from Armenian",Nov-24-2022_16-41,https://list.am/en/item/16546465,
Garage,17 sq.m.,Armavir › Echmiadzin,"$3,500",USD,"A garage is for sale in Etchmiadzin, in the city center, near the municipality.Translated from Armenian",Dec-15-2022_20-27,https://list.am/en/item/18566357,
Garage,28 sq.m.,"Yerevanyan St , Armavir","2,000,000 ֏",AMD,"URGENT Garage for sale Garage has Construction, permit and electricity.Translated from Armenian",Dec-15-2022_20-27,https://list.am/en/item/18718701,Electricity
Garage,90 sq.m.,"Արագած փողոց, Վաղարշապատ","7,000,000 ֏",AMD,"Garage and adjoining building: 46 + 45 building with tuff + zalivka part on both sides, renovated. There is electricity, water.It is located in K. Etchmiadzin Zvartnots district, in the yard of building 16. Front section 13 meters x 8.5 x 6 metersTranslated from Armenian",Dec-15-2022_20-27,https://list.am/en/item/18583055,
Garage,15 sq.m.,Armavir › Echmiadzin,"600,000 ֏",AMD,"The house is located in Norakert, the walls are stucco, negotiable urgently.Translated from Armenian",Dec-15-2022_20-27,https://list.am/en/item/18539980,
Garage,20 sq.m.,Armavir › Echmiadzin,"1,500,000 ֏",AMD,Պատկանյան 19 շենքի բակում,Dec-15-2022_20-27,https://list.am/en/item/18377950,
Garage,50 sq.m.,Armavir › Armavir,"$5,000",USD,Stone garage 50 square meters. Surface.For more information call:Translated from Armenian,Dec-15-2022_20-27,https://list.am/en/item/18597159,
Garage,89 sq.m.,Armavir › Aknashen,"4,000,000 ֏",AMD,The garage is in very good condition.Translated from Armenian,Dec-15-2022_20-27,https://list.am/en/item/18542460,
Garage,25 sq.m.,"Vazgen Arajin street, Vagharshapat","$4,000",USD,"Stone garage 7 m long, there is also a yamaTranslated from Armenian",Dec-15-2022_20-27,https://list.am/en/item/18559630,
,,Armavir › Echmiadzin,"250,000 ֏",AMD,"Butka from Jesht.It is in very fresh condition, has no rotten places, with quality material.Dimensions: 4x3 mThe roof is assembled to the farmButka:Translated from Armenian",Dec-15-2022_20-27,https://list.am/en/item/18574208,
