Type,Land Area,Address,Price,Currency,Description,Datetime,Service Lines,Links
Agricultural,"10,000 sq.m.",Kotayk › Mrgashen,"50,000,000 ֏",AMD,"The land is located in the Mrgashen community of the Kotayk region. It is provided with all utilities: Gas, electricity, drinking water and irrigation, it is fenced. The area is flat and suitable for building houses and setting up a greenhouse. It is next to the road, the Arzni-Shamiram canal passes by it. The horse racetrack is in front of it. It is located 13 km from Davitashen. Partial sale is also possible.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/16819399
For Residential Development,1000 sq.m.,Kotayk › Proshyan,"5,200,000 ֏",AMD,"Village Proshyan land near the house is 1000 square meters, flat land is not rocky, there are no other lands, 1 village near the houseTranslated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17966231
For General Purpose,1600 sq.m.,Kotayk › Aghveran,"$50,000",USD,"Land in Kotayk region, village in Arzakan (Aghveran)There are fruit trees, a garage, more than 20 poplars in the land.I will also hear about exchange options with cars up to $ 5000. Price is negotiable.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/16075364
For Residential Development,5000 sq.m.,"16-я улица 5, Джрвеж","$400,000",USD,Waterfall 5000 m land500 m buildingAt the back of the villa restaurantTranslated from Armenian,Nov-25-2022_00-27,,https://list.am/en/item/12677955
For Industrial Use,2713 sq.m.,Kotayk › Proshyan,"$70,000",USD,"Urgent sale of land in Proshyan with its Shintultv area of 10x15, it has 2 roads to the main road. Gas, water and electricity are very close. Call for more detailsTranslated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/18307076
For General Purpose,90 sq.m.,"Միկրոշրջան թաղամաս 1, Հրազդան","$16,000",USD,"Land is for sale in a micro-district park district. From the yard of 301 building. 6m by 15m. Suitable for garage, multi-storey private house, car wash, guest house, car service points and various other buildings. Utilities are very close, bring butter from the building. It is possible to sell the land piece by piece according to your wish.DO NOT WRITE ON RELATED QUESTIONS. Only real buyers will write a phone number and we will provide itTranslated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17858351
Agricultural,"10,000 sq.m.",Kotayk › Zovuni,"$150,000",USD,"The land is in Zovuni, in front of ANI dairy products, it is suitable for building a district or a factory, it is a plain, there are communal facilities. Large-scale construction works are underway in that section, there are residential houses. $ 15 per square meter. Partial sale is possible starting from 2000 square meters.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/16583804
For Residential Development,1350 sq.m.,Kotayk › Abovian,"$14,500",USD,The land is located in Geghashen village. There is a house on the ground on 9-3. Land near the house 1350 sq. M.Translated from Armenian,Nov-25-2022_00-27,,https://list.am/en/item/13734035
For Residential Development,1600 sq.m.,Kotayk › Arzni,"$49,000",USD,"A flat plot of land near the house in Arzni, consisting of two pieces, (with two ownership certificates) Water, electricity, gas, sewage are all close to the land. The view is very beautiful. There is also another plot of land.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17952814
For Residential Development,400 sq.m.,"August 23 street, Hrazdan","$9,200",USD,"Hrazdan Center in Nor Makravan district,3rd street. Smooth surface. Water Electricity Sewerage.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/16758916
For Residential Development,800 sq.m.,"Kentron block, Hrazdan","$15,500",USD,"Hrazdan Center in Nor Makravan district, PRIVATIZED HOUSES fenced area with gates. Nor Makravan 2nd street2nd street. Smooth surface. Water Electricity Sewerage. There is a small building.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/16746788
For Residential Development,800 sq.m.,Kotayk › Kasagh,"$50,000",USD,"LAND FOR SALE in Kasakh distance from Opera 11 km = 20 min ride it has gas water and blueprint ready, which cost over 6000$Ուշադրություն գնի մեջ ներարված է նախագիծ քաշած ջուր եւ գազ որոնք իրար հետ նստել են 6000 $Օպերայից հող 20 րոպէ",Nov-25-2022_00-27,,https://list.am/en/item/16516103
For Residential Development,800 sq.m.,Kotayk › Arinj,"27,000,000 ֏",AMD,Land for construction Arinj A district 2nd streetTranslated from Armenian,Nov-25-2022_00-27,,https://list.am/en/item/17283231
Agricultural,4000 sq.m.,Kotayk › Garni,"5,900,000 ֏",AMD,"A plot of land in Garni with an area of 4000 sq/m is urgently for sale.There are 2 roads leading to the plot. Adjacent to the area is irrigation water, drinking water, gas, as well as electricity.It should be noted that due to its high position and wonderful view, it has all the prerequisites to serve as a recreation area.Price is negotiable. It is also possible to exchange for a car at an additional cost on your part.For more details, please call the indicated numbers.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17025182
Agricultural,2600 sq.m.,"Zovuni 16 street, Zovuni","$100,000",USD,"Village land for sale apricot orchard 38 meters front 68 length, road on both sides. The land is under the gen plan, it becomes close to the houseTranslated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17537965
For General Purpose,6250 sq.m.,"1-ին Ամառանոցային փողոց 10, Քարաշամբ","$22,000",USD,"Potable water, electricity, natural gas, and irrigation water (very easy to haul) in a hurryNegotiable...Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/18298940
Agricultural,"80,000 sq.m.",Kotayk › Yeghvard,"$360,000",USD,"Popok intensive garden with drip system for sale, three-phase electricity, drinking water, irrigation water, gas, guard house, the area is completely plantedTranslated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/18141660
Agricultural,2760 sq.m.,Kotayk › Akunk,"$35,000",USD,"The village has industrial space, buildings, electricity, running water, internet, solar water heater, 30 meters from the track.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/18228542
For Residential Development,1220 sq.m.,Kotayk › Nor Gyugh,"$48,000",USD,"Land of 1220 sq. M. For sale. It has a fence, a barn, water, electricity. For details, callTranslated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17277304
For Residential Development,1500 sq.m.,Kotayk › Argel,"$9,000",USD,"Land for sale in Lusakert. At the scenic spot, from where the Hrazdan River can be seen.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/18256435
For Residential Development,400 sq.m.,Kotayk › Argel,"$15,000",USD,"Residential plot (garden) with fruit trees for sale. It is located on the central road. All facilities are available: Gas, electricity, water, irrigation water. It is 30 km away from Yerevan.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/18252488
For General Purpose,"12,000 sq.m.",Kotayk › Argel,"$35,000",USD,Land for sale in Argel (Lusakert) It is located 500 meters from the main road. VERY URGENT. Call for details.Translated from Armenian,Nov-25-2022_00-27,,https://list.am/en/item/14267379
For Public Buildings,5000 sq.m.,Kotayk › Jrvezh,"$360,000",USD,Urgent UrgentFlat areaBeautiful view5000 m. Land500 m. BuildingNext to the villaTranslated from Armenian,Nov-25-2022_00-27,,https://list.am/en/item/12657954
For Residential Development,800 sq.m.,Kotayk › Balahovit,"$40,000",USD,Flat areaIt's possibleExchange with an apartment in Abovyan.Translated from Armenian,Nov-25-2022_00-27,,https://list.am/en/item/12665286
Agricultural,1200 sq.m.,Kotayk › Arzni,"$12,000",USD,Flat areaElectricity nearbyNear the central terraceTranslated from Armenian,Nov-25-2022_00-27,,https://list.am/en/item/12727660
For Residential Development,970 sq.m.,Kotayk › Arinj,"$75,000",USD,"Getargel 1st Street 4 (radio station смо смо смо cmy smo)Fenced flat plotThere is a foundation of the house (11m*12m) and a basement of 60 square metersThe front part is 24 metersDrought drinking waterGas, electricity, sewage go past the fencePartial sale possibleExchange with apartmentTranslated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17575498
For Residential Development,1022 sq.m.,Kotayk › Zoravan,"$7,500",USD,"Eghvard Exvard Zoravan Zoravan new districtThere is irrigation water, electricityFlat plot on 20/50Near the houseEXCHANGETranslated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/15930190
For General Purpose,1200 sq.m.,Kotayk › Zovuni,"$72,000",USD,Land for sale in the beginning of Zovuni2nd lineAbout 20 meters inland from the highwayWater LightIt is suitable for carrying out various commercial activities.Code 30338Translated from Armenian,Nov-25-2022_00-27,,https://list.am/en/item/17069816
For Residential Development,"11,000 sq.m.",Kotayk › Nor Hachen,"$350,000",USD,"For saleLand for residential buildings.Fenced land.Communications are available.Has a building, a guard post, garagesCode 30283Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17221403
For Residential Development,2000 sq.m.,Kotayk › Kanakeravan,"$70,000",USD,"2000 square meters of land near the house is for sale, Arachin line1. Gas,2. Water.3. Light6. Front 20.m-50.m OnIt has 2 frontsCode 30337Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/12492136
For Residential Development,1700 sq.m.,Kotayk › Kaghsi,"$13,500",USD,"Участок срочно, между селами Кахси и Солак, 0.17, ИЖС. Россмотрью обмен на машину с доплатой обе стороны, желательно с рф номерами",Nov-25-2022_00-27,,https://list.am/en/item/18163755
For Residential Development,700 sq.m.,Kotayk › Abovian,"$35,000",USD,"Land for saleAbovyan, Elar districtPasture, all communications are available (gas, water, electricity) The house is old, not valued.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/16958253
Agricultural,"11,000 sq.m.",Kotayk › Yeghvard,"$15,000",USD,"It is suitable for establishing an orchard or building a greenhouse.One hectare, one thousand meters.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/13964600
For Residential Development,800 sq.m.,Kotayk › Dzoraghbyur,"$45,000",USD,"The land is located within the central street of Dzoraghbyur, 1 plot of land inside, 20 meters, 2 sides fenced, dimensions 20 m. Front part, 40 m. Length: 2nd plot of land from the main street.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/16267714
For Residential Development,1300 sq.m.,Kotayk › Yeghvard,"$13,000",USD,"Land near the house in Aragyugh (30 km from Yerevan) There are fruit trees (different types) in the land, pavilion for 25 people, barbecue, hearth, 54 sq. M. House foundation (50 cm above the ground), irrigation water and electricity. The area is fenced. Slippery. Negotiable: Urgent.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/13940059
For Residential Development,480 sq.m.,Kotayk › Tsakhkadzor,"$27,000",USD,"A plot of land near the house is for sale near the road to Tsaghkadzor, village Jrarat; Very suitable for building a guest house; It is fenced, flat area; The space can be exchanged with a car for an additional fee; The communicants are very close;Also for sale is a plot of land near the house, 1800 square meters, 60,000 USD. In front of Ararat resort;Code K106Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17318195
For Residential Development,600 sq.m.,Kotayk › Arzni,"$5,000",USD,"Urgent sale of land with cadastral value, privatized 600 sq. M., Kotayk region, Arzni 2nd garden area is located in the beginning, there are buildings next to permanent water.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/15058984
For Residential Development,1000 sq.m.,Kotayk › Proshyan,"$53,000",USD,"A 1000 square meter plot of land in Proshyan village, 200m from the central street, is for sale very urgently.Has a building permit.Code Code 73Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/13148042
For Residential Development,525 sq.m.,Kotayk › Ptghni,"$16,000",USD,"Urgent land for sale in Ptghni 3rd district, total area - 525 square meters.The land has a 6 x 8 concrete building, the whole area is fenced, gates are installed.Call the listed phone numbers for details.CODE 001:Code Code001Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/14624763
Agricultural,1200 sq.m.,Kotayk › Kasagh,"$30,000",USD,"VM1001:Land for saleKotayk, Kazakhstan• 1200 square meters area_• rural significance• Communicators are closeTranslated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/18375613
Agricultural,2600 sq.m.,Kotayk › Goght,"$110,000",USD,"Urgent Village land is for sale on the main road in Goght village. A leveled area is suitable for creating a restaurant, bakery or similar business. For details you can call the mentioned phone number or write an email. To Ru. Also see all my announcements. Negotiable for real buyers.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17556097
For Residential Development,830 sq.m.,"Շուշիի փողոց 25, Նոր Գեղի","$12,000",USD,All utilitiesTranslated from Armenian,Nov-25-2022_00-27,,https://list.am/en/item/17373112
For Residential Development,"500,000 sq.m.",Kotayk › Garni,"$1,800,000",USD,The land is located in Geghadir on the road leading to Garni. The frontage is 1 kilometer.Translated from Armenian,Nov-25-2022_00-27,,https://list.am/en/item/14728284
For Residential Development,520 sq.m.,Kotayk › Yeghvard,"$17,000",USD,"520 sq. M. Is for sale, 4-5 km away from Zovuni, Davitashen, near the newly built district of Mayri (MAYRI Projects) with a total area of land-garden for residential buildings. 600 meters from the Yerevan-Yegvard highway, in the Nat gardening district.The intended significance of the land for the residential construction of settlements. There is irrigation water, and the power and drinking water lines run directly past the plot and can be connected. There are 15-20 year old productive trees in the garden. Apricot, poppy seed, apple, pear, cherry, cherry, almond, etc. There is a net fence on four sides.For sale by owner.Call the indicated phone numbers.Translated from Armenian",Nov-25-2022_00-27,"ELectricity, water supply",https://list.am/en/item/18361766
For Residential Development,525 sq.m.,Kotayk › Dzoraghbyur,"$10,000",USD,"Cheap, affordable, area near the house, half-built, land, half-built urgently, summer house, land, dachaA half-built summer house is for sale in Dzoraghbyur (Dzoraghbyur dachas, 7th district, 25th plot) - AT A VERY AFFORDABLE PRICE. It is envisaged that they will draw drinking water by the end of 2021, but at that time the price will be more expensive, NO AGENCY, the price is negotiable + 90% gravel, you can continue to line up with tuff or hail. If you have any questions, call the mentioned phone number.: WhatsApp and Viber:IF YOU WANT, I CAN SEND ANOTHER VIDEOS THROUGH WHATSAW and VIBER, WHERE I TELL MORE DETAILS AND SUBMIT ANY DETAILS.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/15713743
For Residential Development,3600 sq.m.,Kotayk › Geghadir,"$38,000",USD,"Urgent sale of 3600 m2 of land in the last part of Geghadir village, 1st line, front 37 m, very close to all communications, gas, electricity, water.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/14896108
For Residential Development,1150 sq.m.,Kotayk › Geghadir,"$30,000",USD,I am selling a plot of 1150 square meters with a beautiful view in GeghsdirIt is fencedDrinking water is availableCommunications pass right byThere is a small building insideExchangeTranslated from Armenian,Nov-25-2022_00-27,,https://list.am/en/item/16935513
Agricultural,7000 sq.m.,Kotayk › Proshyan,"$105,000",USD,"Very URGENTLY for sale arable land of village significance, flat, landscaped, 200 meters from the Yerevan-Ashtarak highway. Sizes 3500 + 3500 with separate certificates.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/16143611
Agricultural,3800 sq.m.,Kotayk › Kanakeravan,"$20,000",USD,The price of the vineyard is negotiableTranslated from Armenian,Nov-25-2022_00-27,,https://list.am/en/item/17635321
For Residential Development,1000 sq.m.,Kotayk › Kasagh,"$35,000",USD,It is located next to the second school of Kasakh village. It is a plot of land near the house.Translated from Armenian,Nov-25-2022_00-27,,https://list.am/en/item/18224249
For Residential Development,800 sq.m.,Kotayk › Yeghvard,"13,000,000 ֏",AMD,"A plot of land for sale, 800m, 20m front x 40m depth. With fruit trees and permanent irrigation, drinking water. Sewerage, drinking water and e. The current is passed.The plot is completely fenced.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/15430083
Agricultural,"45,000 sq.m.","8-րդ փողոց 11, Կոտայք","$650,000",USD,"A plot of land is for sale near Mount Hatis, ready-made business, there is a raspberry garden and other saplings. Construction, three-phase irrigation water, drip system.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/18087226
Agricultural,2500 sq.m.,Kotayk › Kanakeravan,"$4,700",USD,"Agricultural land in Kanakeravan is for sale very urgently. It is adjacent to Mrgashen area, a sports complex and a golf course are being built nearby, in the future it will be convenient to transform it into a neighborhood area, as the communications will be very close in time.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17849124
For Residential Development,2300 sq.m.,Kotayk › Buzhakan,"$20,000",USD,"The land is located very close to the road, half of the plot is a productive orchard (apples, pears)Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/18180286
For General Purpose,1800 sq.m.,Kotayk › Garni,"4,000,000 ֏",AMD,Land for sale in Garni. Newly planted seedlings.Translated from Armenian,Nov-25-2022_00-27,,https://list.am/en/item/18195713
For Residential Development,500 sq.m.,Kotayk › Kanakeravan,"$22,000",USD,"Земля с постройкой 150кв. Со всеми документами. Свет, канализация, провести воду и газ рядом.",Nov-25-2022_00-27,,https://list.am/en/item/18146982
Agricultural,2450 sq.m.,"Ազատության փողոցի 6-րդ նրբանցք 1, Ձորաղբյուր","$60,000",USD,"For sale, flat plot of land, privatized, communications are available, gas, electricity and artesian water pass right next to it, the price is negotiable.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/18101672
For Residential Development,1040 sq.m.,Kotayk › Abovian,"$85,000",USD,"Վաճառվում է հողատարածք Աբովյան քաղաքում, 6 միկրոշրջան 3 թաղամաս: 8 Միկրոշրջանի դիմաց, գլխավոր ճանապարհի մոտ: 1040 ք/մ: Հողատարածքը հարթեցված է, պարիսպի նախագիծը տրված է երկու կողմերից դարպասների թույլատվությամբ: Երկու հողատարածք է իրար միացված մեկ հասցեյի տակ: Հոսանքը անմիջապես պարիսպի կողքին է:Լրացուցիչ տվյալների համար կարող եք զանգահարլ:Land for sale in Abovyan, 6 micro-districts, 3 districts.8 In front of the micro-district, near the main road.1040 sq. M.The land is leveled, the design of the fence is given with the permission of the gates on both sides.Two plots of land are connected by one address.The electricity is right next to the fence.You can call for more information.",Nov-25-2022_00-27,,https://list.am/en/item/15965735
For General Purpose,"42,000 sq.m.","7-րդ փողոց 9, Նոր Երզնկա","$85,000",USD,"(very close to Nor Yerznka village) It is located on the first line on the Arai mountain (Tsaghkevank) road, the common area is completely closed, there is no problem with irrigation water, the electricity and drinking water pass directly by the garden, there are different types of trees in the garden, the front part is 350m, suitable for all kinds of activities.For details you can call:I am the owner...It is located 200m from the village, tel. On it.NegotiableTranslated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17140821
For Residential Development,1000 sq.m.,Kotayk › Proshyan,"14,000,000 ֏",AMD,"20մ և 50մ չափերով, հարթ հողամաս, կոմունիկացիաները շատ մոտ են",Nov-25-2022_00-27,,https://list.am/en/item/18141575
Agricultural,3000 sq.m.,Kotayk › Jrvezh,"$125,000",USD,"Agricultural land for sale in Jrvezh, 3,000 sq. M. (30x100), fully fenced.There is a 1,200 sq. M. Greenhouse with all the equipment, covered. Greenhouse, bathroom, office, guard house. The area is provided with drinking water, there is a deep well, gas and three-phase electricity.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17734304
For Residential Development,420 sq.m.,Kotayk › Dzoraghbyur,"$15,000",USD,"Land for sale in Dzoraghbyur, 420 square meters (near the house)$30 per square meter or AMD equivalentThe land is located in the Dachans of Dzoraghbyur, second row.It is in a very convenient location.Close to the roadSunny, beautiful view.It has the possibility of drinking water, natural gas, electricity. I exchangeWith the dormitory room as well.Anywhere in Yerevan.Exclusive price and finalUrgent sale.Exchanged with ford tranzitiCar for the appropriate price and deviceCall for detailed questions.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17412262
For Residential Development,1000 sq.m.,Kotayk › Proshyan,"$27,000",USD,"Տնամերձը գտնվում է ՊՆ նախարարության նախկին տարածքի պարսպի հարևանությամբ, Երևան-Աշտարակ մայրուղղուց մոտ 500մ հեռավորության վրա։ Մոտ 60մ հեռավորության վրա առկա են ասֆալտապատ ճանապարհ, խմելու ջուրի խողովակ, էլեկտրական հոսանքի և ինտեռնետ կապի գծեր։ Տարածքից երևում են Արայի լեռը, Մասիսը ու Արագած սարերը։Տնամերձը գտնվում է Երևանի վարչական շրջանում։The land is located near the wall of the former territory of the Ministry of Defense, about 500m from the main road Yerevan-Ashtarak. At a distance of about 60m, there is an asphalted road, a drinking water pipe, electricity and internet connection lines. Mount Ara, mountains Masis and Aragats are seen from the area.The land is located in the administrative district of Yerevan.",Nov-25-2022_00-27,,https://list.am/en/item/17596860
For Residential Development,1050 sq.m.,Kotayk › Zovuni,"$23,000",USD,"Below the cost price.Residential area, All utilities are nearby.From the Davtashen bridge, it's a 6 km drive to the ground in a maximum of 10 minutes.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/18355114
For Public Buildings,"10,000 sq.m.",Kotayk › Hankavan,"$130,000",USD,"Next to Ani resort, next to the lake. Ideal recreation area. All communications are available nearby.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/18144299
Agricultural,4500 sq.m.,Kotayk › Akunk,"$10,000",USD,"Located in Zar, near the villageTranslated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17119553
Agricultural,3100 sq.m.,Kotayk › Akunk,"$31,000",USD,"It is located very close to the village, it is a watery landTranslated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17119557
Agricultural,9000 sq.m.,Kotayk › Akunk,"$10,000",USD,It is located on the slope of Hatis mountainTranslated from Armenian,Nov-25-2022_00-27,,https://list.am/en/item/17119556
Agricultural,1700 sq.m.,Kotayk › Garni,"$10,000",USD,"There are 100-120 7-year-old apple trees in the land, already fruitful, there is permanent irrigation water, it is located near the main road.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17614208
Agricultural,1000 sq.m.,Kotayk › Jrvezh,"$25,000",USD,"For sale 1000 sq. M. M agricultural land. It is possible to make it close to home. For details, call the mentioned number. There is no agency.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/16449936
For Public Buildings,"17,000 sq.m.","Eghvard highway 6/1, Yerevan","$210,000",USD,"Yeghvard city To build a small town at 10 Industrial Hub. It is possible to build from 70 to 150 private houses. It can also be used as a basalt deposit. Only 750 meters from the main highway. Partial sale is possible. Water, electricity. Electricity and gas communication lines pass through our own land.The ownership right to the land was transferred to the RA 04.10.2005. Pursuant to the requirements of Article 23 of Law No. 199-N, on condition that legal state registration arising from further property alienation transactions will be made in case of submission of a receipt for payment of the currently valid cadastral value of the land (AMD 50,027,077) The above amount will be deducted from the sale price. There is an additional 8,000 square meters of land that can be used exclusively by us (depending on the geographical location)https://www.youtube.com/ - Link: Abandoned factory Part #1 . Заброшенный завод Часть #1 . ... Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17013570
For Residential Development,1231 sq.m.,Kotayk › Kasagh,"$27,000",USD,"A plot of land near the house in Kasakh is for sale. The land is located on a high place, therefore, a beautiful view can be seen from there. It has the possibility of drinking water, electricity and gas.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/18116434
For Residential Development,1200 sq.m.,Kotayk › Kasagh,"$27,000",USD,"Land near the house in Kasakh community is for sale. Due to its high position, it has a very beautiful view of իսի Masis, ագ Aragats, and Mount Ara. The land has the possibility of drinking water and electricity.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/13951300
Agricultural,680 sq.m.,Kotayk › Abovian,"$11,000",USD,"It has the possibility to build a residence, it has irrigation water and drinking water, it is located 300 meters from the main road, it is flat and cultivated land, the price is negotiable. Very urgently.Translated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/16892581
For Residential Development,850 sq.m.,Kotayk › Tsakhkadzor,"$90,000",USD,"Ծաղկաձորում Վաճառվում է հողատարածք 850 քմ, դպրոցի հարեւանությամբ։",Nov-25-2022_00-27,,https://list.am/en/item/16404376
For Residential Development,1000 sq.m.,Kotayk › Proshyan,"100,000 ֏",AMD,"Land for a residential building 1000 square meters There are many newly built houses in the residential district of Proshyan. Price is negotiable. For other questions, write and I will provide a phone numberTranslated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17830054
Agricultural,525 sq.m.,Kotayk › Ptghni,"$13,000",USD,"A plot of land is for sale in Ptghni 3 district 6, there are residential houses and semi-finished houses on the sides, drinking water is just drawn, irrigation water passes through the upper part of the land, brokers can also call, the front part is about 15 square metersTranslated from Armenian",Nov-25-2022_00-27,,https://list.am/en/item/17807057
