Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Garage,Service Lines,Land Area,Interior Finishing,Handover Date,Mortgage is Possible,Address,Price,Currency,Description,Datetime,Links
Townhouse,Monolith,230 sq.m.,3,5,2,1 spot,,230 sq.m.,Turnkey,Q2 2022,Yes,"Vahan Teryan Street 5, Yerevan","62,000,000 ֏",AMD,"The development company presents a wonderful offer for those who are looking for their dream home. With love, we present to you the complex project of townhouse-type private houses. The complex is located in the Avan community, the construction is carried out in a quiet and ecologically clean neighborhood with a beautiful view. The sale is carried out directly by the developer. There are five houses, 2 are left.Number of taxes - 2Area 1st floor - 95 square meters2nd floor - 1053rd floor - 30 sq m room + 70 sq m usable flat roof. 1 guest room, 1 kitchen, 4 bedrooms, garage + 70 square meter adjoining plot.Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/18654686
House,Stone,,2,4,2,1 spot,,,Unfinished Interior,,Yes,"Lukashin street, Yerevan","$130,000",USD,"The house is located in Ajapnyak communityNewly built building, stone under twoConsists of two full floors, not masardThe position is sunny, the inner walls are cutThe dining room is on the first floorThe kitchen, the bathroom and the entrance.There are three bedrooms on the second floorOutdoor balcony and bathroom.For sale by developer, subject to income tax surchargeCode 0009Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/17791160
House,Monolith,,2,4,2,Not available,,,Unfinished Interior,,Yes,Yerevan › Ajapnyak,"$170,000",USD,"Dear residents and future buyers,* Hurry up to get a stylish two-story private house directly from the developer in ""Mush"" residential district, near Vahagni district, without an intermediary.* We inform you that the construction of the project under construction in ""Mush"" district is going on in full swing* 14 buildings with 2 floors in total* Total living area: 140 square meters* The surface of the land is 340 square meters* The house has 3 bedrooms and 2 open balconies* Income tax law and partial payment terms apply* Residential houses are provided with all utilities: Constant water, sewage, electricity and gas.* The residential houses under construction are two-storied, with stone bearing walls, roofs are reinforced concrete.* The staircase of the residential house is monolithic reinforced concrete.* The land is completely fenced with tuff stone.* The fence demarcating the residential house and the plot of land will be leveled, the external decorative works will be completely completed.* Residential houses will be separate from the street, without common walls.* It has a beautiful view of Mount Ararat.* 13 minutes by car from the center to the district.* You can apply for additional payments for interior decoration, we will be happy to help you have your dream private houseCode SA018Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/16001266
Townhouse,Monolith,,2,5,2,2 spots,,,Unfinished Interior,,No,"Մուշ թաղամաս 16/3, Երևան","$128,000",USD,"A newly built 2-story private house from the developer is for sale in Elitar Mush district, it is not a townhouse, it is a private house. Mush.Corner plot with all utilities,electricity, water, gas, nearby market, kindergarten. Parking for 2 cars1 floorLiving room, bedroom, kitchen,Bathroom, closet, corridor (foyer)On 2 floorsCorridor (foyer), bathroom, 3 bedroomsTranslated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/18208042
House,,,,,,,,,,,,Yerevan › Davitashen,"60,000,000 ֏",AMD,"The company offers newly built private houses directly from the developer.A newly built two-story private house is for sale in Mush district.The mansion is located in Mush district of Kasakh, next to Davtashen-Melkumov district (entrance from Melkumov street)The mansion has no adjoining walls and is fenced.The house is built with two-story tuff stone and high quality materials (Russian)The house has a usable flat roof and a beautiful view of Ararat and Aragats mountains.The road leading to the mansion is completely paved.Price: From 60,000,0002-storey private house160 square meters of living space180 square meters usable yard70 square meters of usable roofWe can also build private houses of your preferred size and design.--For questionsWrite us or call us.Our specialists will gladly answer all your questionsTranslated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/18463648
Townhouse,Monolith,165 sq.m.,3,4,3+,2 spots,"Electricity, water supply, natural gas, sewerage",175 sq.m.,Prefinished Interior,Q2 2023,Yes,"Պետրոս Դուրյանի 10-րդ փողոց, Առինջ","55,000,000 ֏",AMD,"--ԳԻՆԸ ԳՈՐԾՈՒՄ Է ՄԻՆՉԵՎ ԸՆԹԱՑԻԿ ՏԱՐՎԱ ԱՎԱՐՏԸ -----Թաղամասը գտնվում է Երևանի կենտրոնից 9,5կմ, ՄԵԳԱՄՈԼ-ից ընդամենը 4,5 կմ, իսկ Ավանի Երևան Սիթի սուպերմարկետից՝ 1,5 կմ հեռավորության վրա։Շինության բնակելի մակերեսը - շուրջ 165 ք. ՄՏանիքի օգտագործվող հատվածը /терраса/ - շուրջ 80 ք. ՄԸնդհանուր հողատարածք - մինչև 175 ք. Մ / 7մx25մ/ՀԱՆՁՆՎԵԼՈՒ Է՝ ️Պարսպապատված:Արտաքին պատերը երեսապատված՝ համապատասխան եռաչափ տեսքի։Արտաքին դռներն ու լուսամուտները տեղադրված:Ներքին բաժանումները արած, պատերը գաջված:Продаются двухэтажные таунхаусы в Ереване / район Аван /, Армения.Жил. Площадь – 165 к. М,Терраса на крыше – 80 к. М,Общая площадь участка – 175 к. М.Таунхаусы сдадутся с облицовкой как показано на 3D, с внешними дверями, окнами и заборами в законченном состоянии. Внутри без отделки.Звоните: Viber, WhatsApp, TelegramԳործում է եկամտային հարկի վերադարձի օրենքը:#Տուն #տներ #կառուցում #վերանորոգում #townhouse #Таунхаус #շինարարություն",Dec-15-2022_21-46,https://list.am/en/item/17120649
Townhouse,Monolith,,3,4,3+,2 spots,,,Clean Finish,,Yes,"Nork 2-nd street, Yerevan",$700,USD,"3-storey townhouses for sale in Nor Nork 2 microdistrict. Price and payment are flexible. We can agree. Call. We will be happy to help.Newly built three-story townhouses by the developer. 2 in the Bagrevand part of the massif. 9 km from the city center. The area of 1 apartment is 210 square meters, each floor is 70 square meters. All utilities are available. The building has earthquake resistance. It is built with environmentally friendly materials. It has a well-kept yard. Fireplace for 4 apartments, flower garden, terrace. The apartments are separated from the street by a fence. If desired, they can also be separated from each other. Without interior decoration, the income tax refund law also applies. If desired, it is possible to complete the interior decoration by the developer, with a beautiful design and affordable pricesTranslated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/14458155
House,Stone,,1,3,1,2 spots,,,Turnkey,,Yes,Yerevan › Davitashen,"$92,000",USD,"Buy a newly built private house directly from the developer in Zovun community (northern Davtashen) The house area is 75 square meters, the total area of the plot is 150 square meters. Repaired, asphalted road, inhabited area. There is also a two-story private house for sale next to the private house. Hurry, this price will be 30 days. Call 10:00_20. 00:00Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/18562792
Townhouse,,,,,,,,,,,,Yerevan › Avan,"$160,000",USD,"Անմիջապես կառուցապատողիցԳտնվում Դուրյան թաղամասում։Առկա է՝գազ, ջուր, հոսանք։3 մեքենայի կայանատեղի, բաց տանիքը և հողատարածքը անվճար։265 քմ բնակելի։ՈՒնի հիանալի տեսարան դեպի Մասիս սար, Արագած լեռ, Արա լեռ, Հատիս լեռ և գեղեցիկ տեսարան դեպի քաղաք։Թաուն հաուսԹաուն հաուզԹաունհաուսԹաունհաուզtown housetownhousetaunhausНепосредственно от застройщика.Находится в микрорайоне Аван ДурянИмеется вода, газ, электричество.Парковка на 3 машиныПлоская эксплуатируемая кровля.Жилплощадь 265 кв м.Прекрасный вид на горы Арагац, Ара, Хатис и на город.ТаунхаусТаунхауз",Dec-15-2022_21-46,https://list.am/en/item/18558901
Townhouse,,,,,,,,,,,,Yerevan › Avan,"$160,000",USD,"Directly from the developerIt is located in Duryan district.Gas, water and electricity are availableParking for 3 carsopen roof and land for free.260 square meters of living spaceIt has a wonderful view of Masis mountain, Aragats mountain and the citytown housetown housetownhousetownhousetown housetown housetownhouseTranslated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/17876636
House,,,,,,,,,,,,"Ashtarak Highway, Yerevan","$150,000",USD,"We offer single-family homes directly from the developer, also with a construction loan with an income tax refund program.Land, starting from 400 square meters,The houses are built with two floors of tuff stone, high-quality reinforced concrete construction, basement if desired.Facing / облицовка / or rustic plasterFrom 1 or 2 floors, with an area of 110-290 square meters.Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/13137994
Townhouse,,,,,,,,,,,,"Duryan street, Yerevan","$185,000",USD,"Directly from the DeveloperDear Customers,hurry up to get luxurious and unique Townhouses,in Duryan district.One side of each house has 2 floors and the other side has 3 floors.The total area of the house is about 210 square meters.The total area of the land is 400 square meters.On the first floor'living room, kitchen, 1 bedroom, dining room, entrance and 1 bathroom.On the second floor'3 bedrooms, one of them in the master bed and one bathroom in common,there are 3 open balconies, landscaped garden, the pool area will be dug and the area will be fenced, an iron gate will be installed.COST: $185,000Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/18465161
House,,,,,,,,,,,,"Rubiniants street, Yerevan","60,000,000 ֏",AMD,"Townhouses for sale directly from the developer.The total living area is 200 square meters.Land area 100 square meters. The Income Tax Refund Act also applies.Hurry and get town houses directly from the developer. They are located on Rubinyants Street.Living areas are 200 square meters. The area of the land is 100 square meters.Individual cellarsFlat roof, beautiful viewHigh quality liningYou can call for details and adviceTranslated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/18583077
House,,,,,,,,,,,,Yerevan › Avan,"65,000,000 ֏",AMD,"Arinj, Khachatur AbovyanTwo-story private houses for sale from the developer.RA LAW RIGHT TO REFUND WITH INCOME TAX applies.It is already an established neighborhood with a new paved road and new street lighting, there are only newly built and already occupied private houses.The distance between the apartments is 1m.Areas of one private house:• living area: 148.7 sq/m + 68.3 sq/m (used flat roof)• plot area: 230 sq/mIn front of the house there is a parking space for 2 cars (inside the gate), and in the back there is an 80 square meter green area.The apartments will be put into operation:Structure:• monolithic construction• external walls thermally insulated (penoplex), painted/faced with stone (tuff)• flat monolithic roof• high quality exterior doors and windows• gateInterior design• interior partition walls• cool• electrical assembly• installation of water, heating and sewage pipesCompletion of construction: 2022. May ofCode 1100255Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/17526517
House,,,,,,,,,,,,"Duryan street, Yerevan","$150,000",USD,"Directly from the developerDear Customers,Hurry up and get a luxurious and unique house.In Duryan district.It consists of only 2 residential houses.One side of each house has 2 floors and the other side has 3 floors.The total area of the house is about 210 square meters.The total area of the land is 400 square meters.On the first floor'Living room, kitchen, bedroom, dining room, entrance and bathroom.On the second floor'3 bedrooms, one in the master bed and one bathroom in commonThere are 3 open balconies, a landscaped garden, the pool area will be dug and the area will be fenced, an iron gate will be installed.Code 11686Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/18318353
Townhouse,,,,,,,,,,,,"Vahagni street, Yerevan","120,816,000 ֏",AMD,"Townhouses are sold directly from the developer with exclusive right of sale.RED Invest Group LLCThe acquisition of townhouses is possible both in cash, and through installment payments, and through mortgage lending.Address: Ajapnyak, Vahagni district, N. Shronali p. 49:Total land area: 210 square meters, residential area: 239.1 square meters, 3 floors, free land area: 130 square meters (in front of the house, behind the house)The townhouse has: 1 underground and 2 above ground floors, 3 bedrooms, living room, kitchen, study, 4 bathrooms. In the basement there is a garage2 car garage, entertainment room.The townhouses will be commissioned in DECEMBER THIS YEAR, externally finished with travertine and metal trim, exterior windows and door installed, garage door (remote control) installed, yard landscaped, partition walls lined and plastered, floor leveled.Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/17706070
Townhouse,,,,,,,,,,,,"Սարգիս Լուկաշինի 3-րդ փողոց 3/67, Երևան","59,900,000 ֏",AMD,"Townhouses are sold directly from the developer with exclusive right of sale.RED Invest Group LLCThe acquisition of townhouses is possible in cash, on the condition of installments and through mortgage lending. Partner bank: EvocaBank.The INCOME TAX REFUND LAW is in effect.West Town is a gated community with 10 stylish and comfortable townhouses.The district is being built on a 2232 square meter plot of land in Ajapnyak, next to the North-South highway.The townhouses will be delivered to the buyers with quality exterior doors and windows installed, divided into rooms, plastered and leveled. The neighborhood has 320 square meters of common roads-pavements, a green zone, playgrounds. The geographical location of the district is very convenient. The north-south highway will allow you to get from one part of the city to another very quickly.All private houses have a beautiful view of Mount Ararat.Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/17706066
House,,,,,,,,,,,,"Amerikyan street, Yerevan","$110,000",USD,"Newly built houses directly from the developer. Houses are being built in Yerevan. They have all the utilities, electricity, gas, water, sewerage, water heater, European-made windows and doors, iron entrance door, tile roof, fence, gate. We build from the foundation to the roof, with high quality. The period is 3-5 months. The cost of 1 square meter is $350-450Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/14662852
House,,,,,,,,,,,,"Աշտարակի խճուղի 18, Երևան","45,000,000 ֏",AMD,"Residential houses with Income Tax refund directly from the developerADVANTAGESOnly 2 km from Yerevan city300 meters from the North-South highwayNext to the largest mall in the region, where there is a children's playground, brand shops, food outlets, a cinema.View of Mount MasisHigh quality and reliable developer130 square meters residential houses with comfortable architectural solutionsExclusive innovative design solutionsProject with earthquake resistant and certified construction standards3 parking spaces250 square meters of landIncome tax refundLending: Byblos (best terms) and with your preferred bankTranslated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/18245097
Townhouse,,,,,,,,,,,,"Մուշ թաղամաս, Երևան","$225,000",USD,"Dear customers, hurry to get this wonderful townhouse, with excellent and profitable conditions.In the most comfortable and elite part of the city.Sales are made directly from the developer.Call for more information.Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/18162125
House,,,,,,,,,,,,Yerevan › Ajapnyak,"67,000,000 ֏",AMD,"Sale of residential houses directly from the developer in Ajapnyak district, near Vahagni district, view on Mount Masis.Total area 405 square meters, land area 350 square meters, internal use area 152 square meters, 3 bedrooms, 1 dressing room, 2 bathrooms, living room with open kitchen, 1 study room, 1 garage, 1 outdoor terrace. The floor is heated.Built with sip panel, earthquake resistant 9 + units and waterproof. The houses are handed over with electricity, permanent water, sewerage works completed. FencedA large shopping center is nearbyThe delivery period is 6 monthsTranslated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/18519829
House,,,,,,,,,,,,Yerevan › Davitashen,"$118,000",USD,"Buy a newly built private house directly from the developer in Zovuni community (Northern Davtashe) The house area is 150 square meters, two floors, the land area is 150 square meters. Asphalt road, residential area. There is another single-story private house for sale right next to the private house. Hurry, this price will be 30 days, call 10:00_20. 00:00Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/18560194
Townhouse,,,,,,,,,,,,"Bagrevand 22th street, Yerevan","72,000,000 ֏",AMD,"Three-storey townhouses for sale in the second block of Nor-Nork, in Bagrevand district/separate gated private house district/. The townhouses are located 700 meters from Mega Mall.A total of 9 townhouses are under construction, the construction works will be completed in March 2023.The houses will be built with high earthquake resistance, with monolithic roofs.Living area - 150 sq. M.Underground parking for 2 cars - 64 sq. M.The usable part of the roof - 25 sq. M., veranda - 40 sq. M. M.Total land area - 60 sq. M.The townhouse has: 3 bedrooms, living room, kitchen, work room, 3 bathrooms.The townhouses will be delivered with exterior walls lined in accordance with the 3D rendering. Exterior doors and windows installed.It will work in the districtround-the-clock security service.You can call for townhouse purchase, consultation and other detailsAcquisition directly from the developer.Income Tax Refund Act applies.Translated from Armenian",Dec-15-2022_21-46,https://list.am/en/item/17885033
