Type,Land Area,Address,Price,Currency,Description,Datetime,Links
For General Purpose,800 sq.m.,"Ankakhutyan Street, Goris","25,500,000 ֏",AMD,"A commercial area of 800 square meters is offered for sale on Independence Street in Goris City. The front part is 21 - m, the length is 38 - m, there is a two-story residential building in the area, and a monolithic semi-structured building rebuilt from the ground up in 2020. It has all utilities, gas, 24-hour water supply, sewage electricity.It is suitable for doing all kinds of business.Price negotiableOnly real buyers should call.The price is negotiable.Translated from Armenian",Nov-25-2022_00-58,https://list.am/en/item/17943610
For Residential Development,600 sq.m.,"Улица Гарегина Нжде 1, Капан","$5,500",USD,"Urgent sale of land in Hamletavan /Acakhlu/. The total surface area of the land is 600 m/sq according to the document, in reality it is about 1.000 m/sq, and the meaning is residential construction with ownership rights. The area offers beautiful views of nature.Translated from Armenian",Nov-25-2022_00-58,https://list.am/en/item/18013709
Agricultural,1050 sq.m.,Syunik › Goris,"3,000,000 ֏",AMD,"A plot of land with an area of 1050 square meters is for sale, it is suitable for building a hotel, a private house, a workshop. The land is located next to the road leading to the Armenian French Cardiology Center. I will help to change the type of land designation within 1-2 months. Details by phoneTranslated from Armenian",Nov-25-2022_00-58,https://list.am/en/item/18160908
For Residential Development,240 sq.m.,Syunik › Goris,"$8,500",USD,Land for residential constructionTranslated from Armenian,Dec-15-2022_22-11,https://list.am/en/item/18621968
For Public Buildings,800 sq.m.,Syunik › Goris,"$20,000",USD,Urgent sale of land for public buildings. The area is located on a flat area.Translated from Armenian,Dec-15-2022_22-11,https://list.am/en/item/18715001
Agricultural,"61,860 sq.m.",Syunik › Akhlatyan,"3,500,000 ֏",AMD,"An agricultural plot of land is for sale 3 km from Akhlatyan village in Torunik community, together with the plot of land, there is also a 0.647 sq. M. House for sale, 2 residential houses of 100 sq. M., a cattle shed for 10 cattle, a cover for a haystack, in the garden there are fruit trees (walnut, apple, pear, plum, apricot, cherry, etc.) 61,860 sq. M:Translated from Armenian",Dec-15-2022_22-11,https://list.am/en/item/18687389
Agricultural,8000 sq.m.,"Улица Воротана 1, Сисиан","2,200,000 ֏",AMD,"An irrigated land of 8000 sq. M., a meter of arable land is for sale in Ashotavan Hatsavan plain, near MJA - hotel, 2,200,000 AMD, 1,000,000 initial, 100,000 calls per month, real purchases, negotiable in case of cash.Translated from Armenian",Dec-15-2022_22-11,https://list.am/en/item/17986379
Agricultural,1200 sq.m.,Syunik › Lehvaz,"4,500,000 ֏",AMD,Agricultural land for rent in Lehvaz village. 1200 meters. There are 65 fruitful carob trees in the garden.Translated from Armenian,Dec-15-2022_22-11,https://list.am/en/item/18451216
Agricultural,2150 sq.m.,Syunik › Lehvaz,"8,000,000 ֏",AMD,"Agricultural land in Lehvaz, privatized. There are 120 caralyok trees in the garden: 70 6-year-old productive trees and 50 2-year-old trees.Translated from Armenian",Dec-15-2022_22-11,https://list.am/en/item/18460088
For General Purpose,4200 sq.m.,Syunik › Sisian,"28,000,000 ֏",AMD,"A plot of land is for sale in the administrative area of Shaki village, Syunik marz, RA. With a total area of 4200 square meters.The land is located near the Shaki waterfall. The area has served as a beekeeping farm for many years, as well as for agricultural purposes. There is a building, fruit trees, it is provided with drinking and irrigation water, it has the possibility of being provided with electricity. The area is of tourist importance, as thousands of tourists pass through the area directly opposite each year, and it can be used for primary tourist purposes.Translated from Armenian",Dec-15-2022_22-11,https://list.am/en/item/18483786
For General Purpose,600 sq.m.,"Բեխ թաղամաս 39, Կապան","$5,000",USD,2 km from the cityTranslated from Armenian,Dec-15-2022_22-11,https://list.am/en/item/18480260
