Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Service Lines,Land Area,Address,Price,Currency,Description,Datetime,Facilities,Appliances,Links
Country House,Monolith,40 sq.m.,1,2,1,Available,Not available,Old Renovation,,3700 sq.m.,Ararat › Nor Kyurin,"7,000,000 ֏",AMD,"FOR URGENT SALE!There is drinking water, electricity, irrigation waterFor more information callnegotiableTranslated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17595588
House,Stone,164 sq.m.,1,3,1,Not available,Not available,No Renovation,,1000 sq.m.,"13-րդ փողոց 1, Նոր Խարբերդ","$35,000",USD,Semi-detached building with 3 bedrooms and 1 living room. Total land area 1000 meters for construction 164. All building permit documents are available. I am not a broker.Translated from Armenian,Nov-24-2022_23-39,,,https://list.am/en/item/17839098
House,Panels,164 sq.m.,1,3,2,Not available,Not available,No Renovation,,1000 sq.m.,"13-րդ փողոց 91, Նոր Խարբերդ","$35,000",USD,"Շտապ վաճառվում է կիսակառույց տուն, բոլոր թղթերը նորմալ է, 164ք տունն է, 1000 քռ հողը, կառույցն այս տարվա է, միջնորդ չեմ",Nov-24-2022_23-39,,,https://list.am/en/item/17849409
House,Monolith,83 sq.m.,1,3,1,Not available,2 spots,No Renovation,,200 sq.m.,Ararat › Nor Kharberd,"$33,000",USD,"Very Urgent new house for sale on Nor Kharberd 16 street. The front door of the house is iron, the windows are of European production, the electric wires and water pipes are installed, the outside walls are heat-soundproofed, the roof is monolithic. The house is for sale in plaster. If you wish, you can buy a house with a plot of 400 sq. M. And 700 sq. M., for an additional fee.Call the listed phone numbers for details.CODE 168:Code Code 168Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17484082
House,Stone,90 sq.m.,1,3,1,Not available,1 spot,Partial Renovation,,340 sq.m.,"11-th street 3-rd lane, Ayntap Border","$58,000",USD,"Urgently for sale, new building, 13 street, near the road, 320 sq. M.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17258729
House,Stone,120 sq.m.,2,5,1,Not available,2 spots,No Renovation,,420 sq.m.,Ararat › Argavand,"$95,000",USD,"A newly built private house in Argavand is for sale very urgently. The house is completely built of two-layer stone, it is fenced, high-quality euro windows are installed, the front door is iron, it is provided with water and electricity, the gas is in front of the house, plastered, has a high attic, which can be used as a second floor, there are two entrances: The parameters of the house are 11.5x11.5 meters. URGENT for sale. Call the listed phone numbers for details.CODE 284:Code Code284Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17372694
House,Stone,113 sq.m.,1,4,1,Not available,2 spots,Partial Renovation,,1140 sq.m.,Ararat › Khachpar,"25,000,000 ֏",AMD,"Urgently for sale is a private house with a plot of land near the house in the village of Khachpar (at the beginning) The living area of the house is 113 square meters, the plot area is 1140 square meters. The windows of the house are partly of European manufacture, the bathroom is made of wood, it has a basement, it is gasified with 4 points and a gas boiler is installed. There is a 26.5 square meter half-built building, a 10 square meter swimming pool, and a 3 square meter aviary.The house is under renovation.For details, call the indicated numbers.CODE 279Code Code279Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17015260
House,Stone,212 sq.m.,1,4,1,Not available,2 spots,Old Renovation,,2670 sq.m.,Ararat › Getapnya,"$80,000",USD,"Very Urgent house for sale in Getapnya, 50 meters from the New Cool of Aeration. The house is gasified, has permanent drinking and irrigation water, garage for 3 cars, 40 sq. M. Separate building, 2670 sq. M. The house is old renovated and is in average condition. Bargaining is possible for a real buyer. Call the listed phone numbers for details.CODE 285:Code Code285Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17298742
House,Monolith,120 sq.m.,2,4,2,Not available,2 spots,Euro Renovation,,200 sq.m.,Ararat › Norabats,"$139,000",USD,"Very Urgent new newly built two-storey monolith house in the beginning of Norabats village (newly built district), 6 km from Garegin Nzhdeh Square. The house is completely monolithic, the windows and interior doors are of European quality, the bathrooms are tiled, it has an individual heating system, all the rooms have air conditioners, constant hot and cold water. The house is fenced, there is a pavilion in the yard, a parking lot, a construction pool, the whole yard is renovated. On the first floor there is a living room, a kitchen, a bathroom, an entrance, on the second floor there are three bedrooms, a bathroom, an entrance hall and an open balcony. The house is euro renovated, uninhabited. For sale with the whole property. Call the listed phone numbers for details.CODE 287:Code Code 287Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17096035
House,Stone,75 sq.m.,1,3,1,,,Euro Renovation,,380 sq.m.,Ararat › Nor Kharberd,"$70,000",USD,"Very Urgent Euro-renovated private house for sale in Nor Kharberd, near the first line of the village municipality. Exterior door and The gate is iron, the windows and interior doors are of European production, the bathroom is tiled, has an individual heating system, entrance to the plot. In front of the house there is a yard for 4 cars, in the back there is a plot of land with fruit trees, a pavilion and a separate storage room. The house has been renovated and is in perfect condition. Bargaining is possible for a real buyer. For details, call the listed phone numbers.CODE 171:Code Code171Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17269145
House,Stone,290 sq.m.,2,6,2,Not available,3 or more spots,Major Renovation,,1400 sq.m.,Ararat › Nor Kharberd,"$160,000",USD,"Very urgent Newly renovated uninhabited two-storey private house is for sale in Nor Kharberd, near the school. The house is built of two-layer stone, the whole area is fenced, has a yard, a large garden with fruit trees. On the first floor of the house there is an entrance, two spacious living rooms, 3 bedrooms, a kitchen, 2 tiled bathrooms, a laundry room. On the second floor, 2 open balconies on both sides, 3 bedrooms, kitchen, living room. The first floor is capitally renovated, and the second floor is semi-renovated, the walls are divided, the wires and pipes are laid. The windows and interior doors of the house are of European production, the stairs are made of quality wood, the outside stairs and especially the basalt are provided with permanent drinking and irrigation water, the gas is near the fence. There is a garage for 2 cars.School, kindergarten, various shops are nearby, the stop is 200 meters from the house.The house is fully renovated and is in perfect condition.Call the listed phone numbers for details.CODE 292:Code Code 292Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17507005
House,Stone,119 sq.m.,1,3,1,Not available,2 spots,Major Renovation,,405 sq.m.,Ararat › Masis,"$70,000",USD,"A capitally renovated private house is for sale in Masis city, on 4th street. The house is completely fenced, has no attached walls. There is a parking lot in the yard, there is a plot of land at the back of the house with fruit trees, it has a separate room of 13 square meters. The front door of the house is iron, the windows and interior doors are of European production, the electric wires and water pipes are changed, it has an individual heating system, the bathroom is tiled. The house is fully renovated in 2016 and is in very good condition.Code Code 161Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/16924023
House,Stone,100 sq.m.,1,4,1,By agreement,3 or more spots,Major Renovation,,500 sq.m.,Ararat › Hayanist,"$60,000",USD,"4-room private house for sale in Armenia, has all the communal facilities, gas, water, light, internet, heating system, underfloor heating. There is a 5-year-old tuff 5-year-old building made of two-layer tuff in the yard. The bathroom is tiled windows euro. Next to the central street school kindergarten.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/16943072
House,Stone,150 sq.m.,1,3,1,Available,2 spots,Major Renovation,,800 sq.m.,"27-րդ փողոց 27, Գեղանիստ","$115,000",USD,"Capital renovated whole house is heated with baxi electricityDoes the greenhouse work with a solar system, 500 m. Call in case of questionsTranslated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/18034858
House,Stone,221 sq.m.,1,5,1,Not available,2 spots,Old Renovation,,1100 sq.m.,Ararat › Mkhchyan,"$40,000",USD,"It is located next to the Church of Mkhchyan village.Living area - 221 mTonratun 16 mLand area: 884 m, Total area: 1105 mThe roof of the house is made of concrete.Spacious basement.Stone garage next to the house.It is provided with drinking and irrigation water.Distance from Yerevan-Artashat road 100 mIt is close to the city of Yerevan.It needs cosmetic repairs.In case of other questions, call the mentioned phone number.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17848881
House,Stone,90 sq.m.,2,3,2,,,Cosmetic Renovation,,,Ararat › Nor Kharberd,"$73,000",USD,"The house was built in 2017., on the first floor there is a living room, kitchen, bathroom with bathroom, on the second floor there are 2 bedrooms, built-in closet, bathroom, together with property and equipment, in the yard: Apricot tree, fresh grapes, almonds, apples, garage, small swimming pool, see price negotiableTranslated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17883390
House,Stone,400 sq.m.,2,6,2,Not available,1 spot,Cosmetic Renovation,,1910 sq.m.,"Gay Roadway 100, Hovtashat","$62,000",USD,"His own house is located in Hovtashat village (Mehmandar), in the central part.Living 352 sq. M. M, has an auxiliary building of 35 sq. M. Մ.Land 1910 c. Մ.It is possible to build a greenhouse on the land.Price is negotiable.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17850532
House,Stone,72 sq.m.,1,3,1,Not available,3 or more spots,No Renovation,,250 sq.m.,Ararat › Nor Kharberd,"$42,000",USD,"The house is newly built and uninhabited. The house is not fully owned and is registered with the cadastre. The roof of the house is made of monolithic concrete and the solid height inside is 2.95 m. The roof is new and galvanized. The house has 3 rooms, living room, 2 bedrooms, kitchen, bathroom, corridor. The inside is cut and plastered. The foundation of the house is deep, high and very strong. The yard is wide and walkable, partly fenced. The walls are made of double tuff, the floor is made of sashka, the windows are euro brown with brown bars, the entrance door is expensive and the work of a blacksmith. Water pipes are installed by Caldo, light wires are also installed. There is a water meter, you have to install it, light and gas are very close. The stone (shuba) has a carved look on the front side of the house. The house is bright and has 5 windows. 500m from the house to the main highway. E:I'm the only Homeowner. The price of the house is negotiable if it is a real wish.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17114741
House,Stone,50 sq.m.,1,2,1,Available,Not available,Partial Renovation,,930 sq.m.,"17-րդ փողոց 13, Հայանիստ","$23,000",USD,"A residential stone building with a caravan is for sale. There is a bathroom, hot and cold water on 2 floors. The land is cultivated, gas runs next to the plot. Call for details.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/18375344
House,Stone,130 sq.m.,1,3,1,Available,Not available,Euro Renovation,,1800 sq.m.,Ararat › Ranchpar,"$58,000",USD,"Продается дом с действующим магазином. Перед магазином площадка под навесом. В магазине имеется склад для хранения товара. Дом состоит из 3-х комнат, кухни и санузла. В доме паровое отопление. Под домом подвал. Имеется земельный участок с плодовыми деревьями. Остановка маршрутного такси прямо у дома. Рядом школа, детсад и поликлиника. Парк для детей. И еще 2 комнаты под магазин и склад. Всего 5 комнат. Дом продается с мебелью.",Nov-24-2022_23-39,,,https://list.am/en/item/15778391
House,Stone,200 sq.m.,1,5,1,,,Major Renovation,,800 sq.m.,Ararat › Ararat,"$250,000",USD,Private house for sale in Ararat village with all communal facilities. It is possible with furniture.Translated from Armenian,Nov-24-2022_23-39,,,https://list.am/en/item/17758784
House,Stone,100 sq.m.,1,3,2,Not available,Not available,Partial Renovation,,420 sq.m.,"16-րդ փողոց 29, Նոր Խարբերդ","$60,000",USD,"Aintap - Kharberd 16th st.3-4 roomsCapital building with a newly built projectAbove the groundThe walls are made of two-layer stoneQuality European windowsTin colored roofFull, the floor is solidWIRING installedPossibility of attached gasIt has a basement of 15 square metersFencedceiling height - 3 mLocated in a high position zoneCode A511Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/16750288
House,Stone,100 sq.m.,1,3,1,,1 spot,Euro Renovation,,300 sq.m.,Ararat › Arbat,"$95,000",USD,"Rents own houses in ArbatWe have plots of different sizes, we can build them according to your preferred project.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/18072231
House,Panels,260 sq.m.,2,5,2,Available,2 spots,Euro Renovation,,840 sq.m.,Ararat › Getapnya,"$85,000",USD,"The house is for sale or exchange with an apartment for an additional fee, the house is located 2 km from the city. The house has all the amenities, it has a 50 square meter garage for two cars, there is a 50 square meter space on the first floor, you can use it as a production space.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/18095297
House,Stone,430 sq.m.,3,8+,3+,Available,Not available,Major Renovation,,1250 sq.m.,Ararat › Masis,"$220,000",USD,"Fully renovated, sale with all the property and equipment․ 9 bedrooms․ swimming pool․ summer kitchen, pantry,․ garage,․ fenced․ solar system.Code 24652Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17283132
House,Stone,150 sq.m.,2,4,1,Not available,Not available,Partial Renovation,,1100 sq.m.,"Գայի փողոց 27, Մխչյան","$52,000",USD,"A house is for sale in Mkhchyan, Ararat marz. A two-story house, there is also a house plot of 1100 square meters. The house is completely built, only cosmetic repairs are needed. View of Mount Ararat.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/18164755
House,Stone,230 sq.m.,1,5,1,Not available,Not available,Old Renovation,,800 sq.m.,Ararat › Ayntap,"$68,000",USD,"Կոդ՝ B-21656Վաճառվում է 1 հարկանի առանձնատուն Այնթափում։ Առանձնատունը պետական վիճակում է։ Մուտքի դուռը՝ պատուհանները՝ ձայտյա, հատակը՝ մանրահատակ, սանհանգույցը՝ առանձին։ Ունի տերասա, նկուղ, ավտոտնակ, լողավազան, ազատ հող, մշտական ջուր և գազ։1-storey house for sale in Ayntap. The rooms' quantity is 5 (2 halls and 3 bedrooms) The house is in the state condition. The entrance door and the windows are wooden, the floor is covered by parquet, the bathroom is separate. The house has a terrace, cellar, garage, swimming pool, free land and is supplied with constant water and gas.",Nov-24-2022_23-39,,,https://list.am/en/item/17352887
House,Stone,1100 sq.m.,2,8+,3+,By agreement,2 spots,Euro Renovation,,880 sq.m.,Ararat › Geghanist,"$260,000",USD,"2-storey private house is for sale in Geghanist village, with a total area of 1100 square meters.The area of the house is 224 square meters.On the 2nd floor of the private house there are 4 separate private houses (58 sq. M. ․ 64 sq. M. ․ 64 sq. M. ․19 sq. M.), newly renovated. It has a basement along the whole house, the ceiling height of which is 3.70 m, a fireplace, a swimming pool.There is also three-phase electricity, water heater with solar system. Iron door, windows are installed.It is provided with constant water and gas. There are fruit trees in the yard.The house is suitable for operating as a guest house (Hostel)For more questions, please call or write to us.Code H-078Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/14393004
House,Stone,110 sq.m.,2,3,1,Not available,1 spot,Partial Renovation,,500 sq.m.,"4-րդ փողոց 1, Նոր Խարբերդ","$38,000",USD,It is in a semi-renovated condition in Nor Kharbert. Call for detailsTranslated from Armenian,Nov-24-2022_23-39,,,https://list.am/en/item/17168125
House,Stone,300 sq.m.,1,3,1,,,No Renovation,,80 sq.m.,Ararat › Nor Kharberd,"$42,000",USD,"Private house for saleArarat, Nor Kharberd• 300/80 square meters• 3 rooms• 1 storey / stone /_• Construction is in progress• Fenced• Near the final bar of 57Code BB729Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/16969736
House,Stone,195 sq.m.,1,4,1,,,Partial Renovation,,800 sq.m.,Ararat › Darakert,"$50,000",USD,"Ararat, Darakert• 4 rooms• 800/195 square meters• 1 storey_• Partially renovated• Euro windows•Heating System• The bathroom is tiled•fruit gardenCode BB964Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17661298
House,Stone,700 sq.m.,1,5,1,Not available,Not available,Old Renovation,,600 sq.m.,"Улица Саркиса Зоравара 7, Аргаванд","$90,000",USD,Есть падвал и огсрод ограждение каменними стенами,Nov-24-2022_23-39,,,https://list.am/en/item/18305680
House,Stone,114 sq.m.,1,4,1,Available,1 spot,No Renovation,,600 sq.m.,"Yerevan-Artashat roadway, Ayntap Border","$40,000",USD,"Newly built house, not renovated.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/18111330
House,Stone,350 sq.m.,1,3,1,Not available,Not available,Major Renovation,,270 sq.m.,Ararat › Geghanist,"$85,000",USD,Urgent sale of 4 bedrooms. In GeghanistThoroughly reconstructedNew constructionThe total area is 350 sq/mResidential 80 sq/mPermanent water and gasLaminate floorHeatingEuro doors and windowsThe bathroom is tiledBright and sunnyWell-kept yardCall for more informationTranslated from Armenian,Nov-24-2022_23-39,,,https://list.am/en/item/16773784
House,Stone,170 sq.m.,1,5,1,Not available,Not available,Major Renovation,,1200 sq.m.,Ararat › Geghanist,"$215,000",USD,"Code-VD198Private house for saleArarat, village Geghanist• 1200/170 square meters area• 5 rooms• 1 floor /stone/_• cosmetically repaired• swimming pool•fruit trees• summer kitchen• spacious yard• 120 square meters of commercial spaceTranslated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/18288877
House,Stone,200 sq.m.,1,6,1,Available,3 or more spots,Old Renovation,,2400 sq.m.,Ararat › Urtsadzor,"$50,000",USD,"The roof is like new, the house is very breezy even in the heat of summer. There is a well, concreted with permanent water. There is fresh drinking water in the yard. There is a bakery. There is a barn, there is a locker room. There is a chicken house, there is a device for creating a greenhouse with pipes with concrete streams. There is an assembly with its parts. The first street of the village. In front of the river. The store is 50 meters away. There are three cars that will stop quietly. Also for sale at the same price is a plot of land on the road to the Khosrov forest, a plot of land more than 1 hectare, with productive trees, apricots, apples, grapes, peaches, etc. , on the front line of the road. The stream also flows by the land. 50 kilometers 40 minutes from Yerevan.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/18128851
House,Stone,2300 sq.m.,2,8+,1,Available,1 spot,Old Renovation,,2300 sq.m.,Ararat › Norabats,"$80,000",USD,"Two-story private house with its own plot, 1st floor (4 rooms) is in normal condition, has constant hot and cold water, gas, electricity. Energy, has a bathroom2nd floor (6 rooms) half-builtThe total area is 2300 square metersIt has a stone garage, a cowshed, a bakeryThe land is also sold partially (to build a residential house)Located in the center of NorabatsiTranslated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17833737
House,Stone,300 sq.m.,2,7,2,Not available,2 spots,Old Renovation,,2000 sq.m.,Ararat › Sis,"$30,000",USD,"Private house of 300 sq. M. For sale with its land plot in Sis village of Ararat region, which is located three km from Masis town. At a distance.There are fruit trees, the house has two bathrooms and two bathrooms.You can call for details.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17052211
House,Stone,80 sq.m.,1,3,1,,,Major Renovation,,330 sq.m.,"2nd Street 1, Azatashen village","$60,000",USD,"Houses will be built today, call for detailsTranslated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/18331409
House,Stone,145 sq.m.,1,5,2,Not available,1 spot,No Renovation,,1000 sq.m.,"Zoravar Andranik street, Zorak","$20,000",USD,"A half-built house for sale in the village Zorak has all the amenities, light, water, gas, suitable for building a barn in the backyard of a suitable house.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/15988459
Townhouse,Stone,10 sq.m.,1,5,1,Available,1 spot,Old Renovation,,800 sq.m.,Ararat › Ararat,"$10,000",USD,Needs cosmetic restorationLocation:Ararat Marz G. Bell towerTranslated from Armenian,Nov-24-2022_23-39,,,https://list.am/en/item/16658044
House,Stone,84 sq.m.,1,4,2,Not available,3 or more spots,Euro Renovation,,370 sq.m.,Ararat › Argavand,"$64,000",USD,"A newly built private house for sale in the newly built district of Argavandi-Tairov, the house needs to be newly built, there is land next to the house, there is a project for a 3-room residential houseThe plot is 370 square metersThe house is 84 square metersFor sale: 1 plastered floor with concrete 59,0002 Refurbished as per pictures 64,000The street is pavedPictures are examples...Price negotiableTranslated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17778126
House,Stone,90 sq.m.,1,4,1,Available,Not available,Major Renovation,,350 sq.m.,Ararat › Geghanist,"$87,000",USD,"1-storey private house in Geganist, 3 years constructionthe land area is 350 square meterscompletely renovated, gas, light and constant wateriron door, European windows, tiled bathroom, Baxi system, warm floorbeautiful yard, swimming pool, barbecue, outdoor bathroomwrought iron gate and railingsfenced...Possible sale together with furniture and appliancesArgavand Geganist, 16th street, house 32Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17612073
House,Stone,1200 sq.m.,1,3,1,Available,2 spots,Partial Renovation,,120 sq.m.,Ararat › Nizami,"$50,000",USD,"Дом находица в 9 километрах от еревана. Крыша полностью заменена. Бакси обогреватель. Ламинат. Кафель метлах. Маршрутки в Ереван работают с8 утра до 8 вечера. На територие есть возможность построить еще один дом с выходом на улицу. Начало домома на первой улице, конец агорода выход на вторую улицу. Длина територии 117 метров. Дом заклеен пеноплексом и заштукатурен. По остальным вопросам звоните. Строил для собственого пользования ничего не жалел.",Nov-24-2022_23-39,,,https://list.am/en/item/17768608
House,Stone,54 sq.m.,1,2,1,Not available,Not available,No Renovation,"ELectricity, water supply, sewerage",212 sq.m.,Ararat › Masis,"$43,000",USD,"A 1-storey 9*6 meter newly built uninhabited private house is for sale in the new district of Masis (6th district, 3rd street) The walls are two-layer (tuff + block) with concrete filling. In addition to the 4 corner concrete columns, 2 columns are made in the middle of the walls. The walls of the door from inside the house are plastered. The walls of the room are plastered. The floor is made of concrete. The ceiling height is 2.93m. Permanent artesian water. Email Installation of wires, water pipes. The bathroom floor is tiled. Entrance door, European windows with mesh. The area of the land is fenced with metal (propnasteel) I leave 1 armchair and living room chandelier at home. About 15 km from Republic Square of Yerevan. Distance. 120 m distance from the highway. The land area is 212 square meters.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/18374508
House,Stone,100 sq.m.,1,4,1,,,Designer Renovation,,600 sq.m.,Ararat › Ararat,"$33,000",USD,"Own house for sale, Ararat city, Avshar village, has 4 rooms, utility with all facilities, distance from Yerevan is 40 km, for details you can call the specified numberTranslated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/18273762
House,Stone,140 sq.m.,2,4,3+,Available,Not available,Major Renovation,,400 sq.m.,"22-րդ փողոց 11/2, Նոր Խարբերդ","$75,000",USD,"European windowsHeating SystemGas, light, waterGarageCode A 203Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17691699
House,Stone,91 sq.m.,1,4,1,Not available,Not available,No Renovation,,1710 sq.m.,Ararat › Geghanist,"$60,000",USD,Garage: 23 sq. M. Մ.BasementTwo-way roadCode A524Translated from Armenian,Nov-24-2022_23-39,,,https://list.am/en/item/17956389
House,Stone,63 sq.m.,1,3,1,Not available,Not available,No Renovation,,205 sq.m.,Ararat › Ayntap,"$33,000",USD,"European windows, iron doorTin roofElectricity, water installations doneCrazyCode A208Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/18056419
