Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Facilities,Appliances,Service Lines,Links
House,Wooden,58 sq.m.,2,2,1,Available,Not available,Euro Renovation,500 sq.m.,International › Russia,"11,990,000 ₽",RUB,"СРОЧНАЯ ПРОДАЖА!ЦЕНА МАКСИМАЛЬНО СНИЖЕНА!ЖИЛОЙ Дом с Участком ИЖС в МОСКВЕ у Метро с Московской Пропиской и Инфраструктурой города - в СОБСТВЕННОСТИ!Город МОСКВА - ПМЖ/ПРОПИСКА!ЛУЧШЕЕ ПРЕДЛОЖЕНИЕ!Участок (ИЖС - НЕ Садоводство, как у многих! ) 5 сот. /Земля ИЖС, в СОБСТВЕННОСТИ - НЕ Аренда! /, ЮВАО г. Москвы, пос. Некрасовка (ПМЖ/ПРОПИСКА - город МОСКВА), метро Некрасовка (8-минут пешком), 3 км. От МКАД (Рязанское или Новорязанское шоссе), дом /новый 58 кв. М. (с сараем) с отделкой (2012 г/п), с крыльцом/ с мансардным этажом /брус-150×150, утепл. С 2-х сторон + 200мм. /, отдельно - сарай, туалет, беседка и пр. - /всё с отделкой, всё зарегистрировано, всё в собственности/, сайдинг, вагонка, калитка, ворота, стоянка на 2 а/м (капитальная бетонированная площадка под автомобили и дорожки), огорожен (высокий забор), электричество 15 квт. - 3-фазы (подключено), освещение везде, есть газ/баллон и резервный генератор (данный момент ведутся работы по Централизованному Газоснабжению, Водоснабжению и Канализации - подключение 2023-2024г.), раковина /в доме + отдельно уличная/, техника, мебель, колодец, насос, садовая мебель и инвентарь, ж/б дорожки и площадка, тротуарная плитка, очень красивый ландшафт, фонари, скамейки, мангал, вазоны, сад. Фигуры, цветники, плодовые и декоративные деревья, кусты, цветы, зелень, ухоженный сад, инфраструктура города Москвы - магазины, супермаркеты, детские сады, школы, спортивные кружки и секции для детей, поликлиника, торговые центры, кафе, банки, остановки транспорта, метро и т. Д. Всё это совсем рядом, в шаговой доступности (пешком несколько минут) Место очень хорошее и удобное. Порядочные, вежливые и тихие соседи. Метро ""Некрасовка"" в 8-и минутах ходьбы, асфальт (идеальный подъезд), рядом каскад прудов и лес. Один взрослый собственник. Никто не прописан, не проживает. Никаких обременений. Никаких долгов. Документы в полном порядке! Свободная продажа. Полная стоимость в договоре. Всё имущество и мебель входит в стоимость.МЕСТО ШИКАРНОЕ)))!* Земля ИЖС (в СОБСТВЕННОСТИ /*только стоимость 1-СОТКИ ЗЕМЛИ ИЖС в МОСКВЕ у Метро с Московской Пропиской и инфраструктурой ПРЕВЫШАЕТ 3-МЛН. РУБ. /)!Участок в Москве - ИЖС (НЕ СНТ, ЛПХ, ДСК, ДНП и т. П.), - статус именно ИЖС!Дороги чистятся. Мусор убирается.ОЧЕНЬ ВЫГОДНОЕ ПРЕДЛОЖЕНИЕ! ))*В Москве похожих предложений НЕТ, и уж тем более по такой Цене!Агентам просьба не беспокоить!Дом, Земля и все Строения в собственности, от. -ся к ЮВАО г. Москвы (ПРОПИСКА/Регистрация - город МОСКВА)Подходит под ипотеку любого банка. Возможна покупка в ипотеку.Намного ВЫГОДНЕЕ, чем купить квартиру!ЦЕНА НАМНОГО НИЖЕ РЫНКА и МАКСИМАЛЬНО СНИЖЕНА!СПЕШИТЕ, пока ЦЕНА не Выросла!За Наличные Цена другая!Торг!Собственник.Продаю в связи с переездом по работе...СРОЧНО!Телефон в Москве (звонить по этому номеру или по WhatsApp, Telegram) :*Восемь*девятьсот двадцать шесть*двести четырнадцать*пятьдесят три*пятьдесят три*",Nov-24-2022_23-35,"BArbecue oven, gazebo","FRidge, stove, drying machine","ELectricity, water supply, natural gas, sewerage",https://list.am/en/item/18089984
House,Bricks,343 sq.m.,3,8+,3+,,,Euro Renovation,600 sq.m.,International › Russia,"$300,000",USD,"Каменный дом в г. Троицке, рядом с будущим метро, ст. Ватутинки, 350 м, 5 мин. Пешком, сдача 2026 г. Троицк один из развитых моно- центров в Новой Москве, статус -наукоград, 10 научных институтов, множеств физмат. Школ высокого уровня, все условия для качественного образования детей. Стоимость дома по нормативам Моск. Обл. -42,6 млн р. /680000 $ /, кв м-124263 р. /пр. 501 от 20.06.2022г. Мин строй РФ/. Цены 3-х ком. Кв-р 75-80 кв м в кирп. Домах в Троицке 20-25 млн р. После открытия метро цена такого дома не может быть ниже усредненной гос оценки и с учетом выставленной низкой цены покупка дома будет выгодным вложением финансовых средств. Собственник",Nov-24-2022_23-35,,,,https://list.am/en/item/18235927
House,Bricks,143 sq.m.,2,3,1,Available,Not available,Old Renovation,2100 sq.m.,"Armavir Highway, Nor Kesaria","$23,000",USD,"Российская федерация Краснодарский край, Гулькевичский район, с. Соколовское ул. Кирова (40 км от Армавира) krasnodar, Moskva, Sochi, Rastov, Armavir.",Nov-24-2022_23-35,,,,https://list.am/en/item/16029219
House,Bricks,60 sq.m.,1,2,1,Available,Not available,Old Renovation,,International › Other Countries,"$15,000",USD,"Տամբով քաղաքից 50կմ հեռավորության վրա, դեպի Մոսկվա տանող տրասային կից Օզյորկի գյուղում: Տանը կից հողամասը--2000 քառ. Մ. , որի վրա կա Երկաթյա կոնստրուկցիայով եվ պոլիէթիլենային ծածկոցով ջերմոց-- 530քառ. Մ. Մակերեսով: Տունը ունի ապրելու համար բոլոր հարմարությունները --բնական գազ, էլեկտրականություն, ջուր սեփական խորքային ջրհորով, ջեռուցման համակարգ:Հարցերի դեպքում կարող եք զանգահարել կամ գրել էլ. Հասցեին` armen_2112@mail.ru50 км от города Тамбов, в поселке Озёрки, рядом с трассой на Москву. Прилегающий к дому земельный участок - 2000 кв. М. Մ. , на котором расположена теплица с железной конструкцией и полиэтиленовым покрытием - 530 кв. М. В доме есть все удобства для проживания - природный газ, электричество, вода из собственного колодца, система отопления.Если у вас возникнут вопросы, вы можете позвонить или написать по адресу: По адресу: armen_2112@mail.ru50 km ot goroda Tambov, v poselke Ozyorki, ryadom s trassoy na Moskvu. Prilegayushchiy k domu zemel'nyy uchastok - 2000 kv. M. , na kotorom raspolozhena teplitsa s zheleznoy konstruktsiyey i polietilenovym pokrytiyem - 530 kv. M. V dome yest' vse udobstva dlya prozhivaniya - prirodnyy gaz, elektrichestvo, voda iz sobstvennogo kolodtsa, sistema otopleniya.Yesli u vas vozniknut voprosy, vy mozhete pozvonit' ili napisat' po adresu: Po adresu: armen_2112@mail.ru",Nov-24-2022_23-35,,,,https://list.am/en/item/9549391
House,Monolith,120 sq.m.,2,5,2,,,Cosmetic Renovation,1000 sq.m.,International › Other Countries,"$67,000",USD,"Sweden Skelleftea - Boliden For sale, has a 2-story garage, monolithic, real buyers call.The owner can visit and live in Sweden without hindrance. I will explain the rest on the spot.Translated from Armenian",Nov-24-2022_23-35,,,,https://list.am/en/item/17775643
House,Panels,42 sq.m.,4+,2,1,,,Designer Renovation,42 sq.m.,International › Russia,"$80,000",USD,"I will exchange or sell my two-room apartment R. D. In St. Petersburg, in the Shushary district of Yerevan, with a two- or three-room apartment in Yerevan, either by me or by you for a surcharge or benevolently. My apartment is renovated with modern, expensive building materials.Translated from Armenian",Nov-24-2022_23-35,,,,https://list.am/en/item/17444047
House,Stone,70 sq.m.,1,3,1,Not available,Not available,No Renovation,445 sq.m.,International › Russia,"$7,500",USD,"It is possible to exchange with an equivalent or more expensive car with my surcharge. The private house is half-built, the main walls are built, it is located in a very good district. Krasnodar region city of Maykop:Translated from Armenian",Nov-24-2022_23-35,,,,https://list.am/en/item/17658201
House,Stone,78 sq.m.,3,3,2,Available,Not available,Euro Renovation,,International › Russia,"13,500,000 ₽",RUB,"В связи с переездом продаётся жилой трёхэтажный гараж, в центре Адлера, рядом с магазином МАГНИТ СЕМЕЙНЫЙ. В шаговой доступности море (20 мин), набережная реки Мзымта, центральный рынок, Олимпийский парк.Территория гаражного кооператива огорожена и находится под видеонаблюдением, въезд на территорию только для собственников.Первый этаж: Косметологический кабинет с с/у (возможно сдавать в аренду под бизнес или переделать в отдельную студию для сдачи в аренду) ;Второй этаж: Кухня со встроенным кухонным гарнитуром и зал-гостинная,Третий этаж: Две спальни, гардеробная, с/у.С ремонтом и техникой (кухня и холодильник) Новая душевая кабина.Отопление в помещении электрическое, но возможно подключить ГАЗ (300т. Р.),На первом этаже тёплые электрические полы, на втором и третьем этаже кондиционеры.Все коммуникации (вода, электричество, канализация, ГАЗ) центральные, работают без перебоев и отключений. Имеется резервный насос для водопровода.Кровля не протекает. Для парковки одно машино-место перед гаражом.Гараж как добротный дом, подходит для жизни, бизнеса и сдачи в аренду как посуточно, так и помесячно.Стоимость аренды за месяц в высокий сезон 45-50 т. Р.Возможен торг на косметический ремонт.Документы: Книжка члена гаражного кооператива с 2012 года и поэтажный план помещения.В сентябре этого года должна пройти гаражная амнистия и будут получены документы на землю и присвоен кадастровый номер.Гаражный комплекс стоит уже 50 лет и официально газифицирован.Очень дружные и добрые соседи от которых не хочется уезжать.Я собственник. Торг уместен",Nov-24-2022_23-35,,,,https://list.am/en/item/16338703
House,Wooden,120 sq.m.,2,4,1,,,Designer Renovation,1600 sq.m.,International › Russia,"$100,000",USD,"СРОЧНО СРОЧНО. Продам дом и готовый бизнес. Возможно обмен продам участок 16 сотка, дом 120 м2, 48км от Москвы по Новорязанскому шоссе, так же можно проехать по м4 через Домодедово. Эко дом с дизайнерским ремонтом, оборудован спутниковым и цифровым тв, wi-fi. Участок ровный без насаждений, огорожен капитальным каменным забором с ленточным фундаментом. На участке 3строения, насосная, коммерческая помещение 200м2 кладовая, мастерская, Дом готов к проживанию, подведены вода, свет, канализация, отопление. Универсам ""Пятерочка"". Магнит, Территорию участка окружает лес, чистый воздух-прекрасное место для отдыха и проживания.1 этаж-коридор, ванная комната, гостинная, кухня, кабинет.2 этаж-коридор, большая спальня, детская.Участок 16Возможен обмен на авто с доплатой.Возможен обмен на вилла или квартира или дом или готовый бизнес Возможно обмен на Ереван. Возможно обмен на Москву с квартиройПри обмене цена договоримся",Nov-24-2022_23-35,,,,https://list.am/en/item/17555911
House,Wooden,100 sq.m.,1,3,1,Not available,Not available,Partial Renovation,4200 sq.m.,International › Russia,"1,200,000 ₽",RUB,"Own house for sale in Novgorod region. It has 4,200 meters of land, a cattle yard, a well. Also interested in exchanging a house.Translated from Armenian",Nov-24-2022_23-35,,,,https://list.am/en/item/18170339
House,Stone,1000 sq.m.,3,8+,3+,Available,3 or more spots,Partial Renovation,,International › Other Countries,"5,900,000 ₽",RUB,"Продаю 3-х этажный дом в городе Ижевск, доступны все комунальные условия (вода, свет, газ и. Тд.) общая площадь 1000 кв/мՎաճառվում է 3 հարկանի առանձնատուն Իժեվսկ քաղաքում, բոլոր կոմունալ հարմարություններով, (ջուր, գազ, հոսանք) ընդհանուր մակերեսը 1000 ք/մ",Nov-24-2022_23-35,,,,https://list.am/en/item/13757233
House,Stone,72 sq.m.,1,4,1,Available,Not available,Old Renovation,2000 sq.m.,International › Russia,"$25,000",USD,"Առկա է ընդարձակ անասնագոմ: Տունը ապահովված է մշտական ջրով և գազով, տեղադրված է անհատական ջեռուցման համակարգ: Ապրելու համար կան բոլոր անհրաժեշտ կահույքը և պարագաները: Վաճառվում է այդ ամենի հետ միասին: Տունը ունի նկուղային հարկ: Հողամասում կան պտղատու ծառեր: Հողատարածքը և տունը գտնվում են անմիջապես Վոլգա գետի ափին: Կան բոլոր պայմանները անասնապահությամբ և ձկնորսությամբ զբաղվելու համար: Հնարավոր է նաև փոխանակում ՀՀ-ում Երևանում, կամ ոչ հեռու գտնվող նմանատիպ գույքի հետ: Россия, Волгоградская область, Камышинский район, село Щербаковка, Общая площадь дома и земельного участка составляет 2000 кв. Есть большой сарай. Дом обеспечен постоянной водой и газом, установлена индивидуальная система отопления. Есть вся необходимая мебель и аксессуары для проживания. Продано со всем этим. В доме есть подвал. На участке есть фруктовые деревья. Земля и дом расположены прямо на берегу реки Волги. Здесь созданы все условия для скотоводства и рыбалки. Также возможен обмен на аналогичную недвижимость в Ереване или не далеко.",Nov-24-2022_23-35,,,,https://list.am/en/item/18301573
House,Bricks,300 sq.m.,2,5,2,Available,3 or more spots,Designer Renovation,650 sq.m.,"Cherneshevski Street 1, Yerevan","$200,000",USD,"Горд Краснодар улица Чернышева 16, we have newly built private houses in the elite districts of Krasnodar city, for sale or exchange in Yerevan, with the apartment or private house we also have 200 square meters of industrial space, which is located on the first floor, on the second floor there is a 45 square meter living room, 3 bedrooms, a bathroom and a 22 square meter kitchen, the house was built in 2010, high-quality building materials were used, all utilities are available, it can be used as a business.Translated from Armenian",Nov-24-2022_23-35,,,,https://list.am/en/item/17275813
House,Stone,46 sq.m.,1,2,1,Not available,3 or more spots,Old Renovation,1200 sq.m.,International › Russia,"500,000 ₽",RUB,"Участок состоит из 3-х частей (всего 3600кв. М.) ОФОРМЛЕН (цена за один участок! ) Цена за все три участка 1500000руб. Возможен ТОРГ! Расположен в России Оренбургской области п. Самородова. Продаем или меняем на жилье в Армении. На участке есть постройки (дом, сарай, гараж, баня), но они больше подходят как временные и в дальнейшем под снос. Дом имеет адрес, МОЖНО ОФОРМИТЬ ПРОПИСКУ! Электричество подведено, газ и воду можно подвести (они находятся в нескольких метрах от участка), есть скважина с водой (нужен ремонт) В деревне есть школа, магазин, почта. Расположен участок на окраине п. Самородова (рядом лес, озеро, трасса) на территории где будет проходит застройка жилого поселка. Подходит под: Строительство жилого дома или организации производственной базы.Հողամասը բաղկացած է 3 մասից (ընդհանուր 3600քմ) Կան փաստաթղթեր! (գինը մեկ լոտի համար! ) Հողն ունի ձևակերպված փաստաթղթեր! Գտնվում է Ռուսաստանի Օրենբուրգի մարզումр. Samorodova. Վաճառում, Փոխանակում Տուն Հայաստանում. Երկրի վրա կա: (Տուն, գոմ, Ավտոտնակ, բաղնիք), բայց նրանք ավելի հարմար է որպես ժամանակավոր, ապա տակ քանդման. Տունը ունի հասցե, կարելի է ձևակերպել գրանցում! Կա էլեկտրականություն, գազ եւ ջուր կարող է ամփոփել (նրանք գտնվում են մի քանի մետր հեռավորության վրա հողամասի), կա նաեւ սյունակ (վերանորոգման կարիք ունի) : Գյուղում կա դպրոց, խանութ, փոստ. Գտնվում է ծայրամասում p. Samorodova (մոտ անտառ, լիճ, մայրուղի) տարածքում, որտեղ այն տեղի կունենա շինարարությունը բնակելի գյուղում. Հարմար տակ: Շինարարությունը բնակելի տան կամ կազմակերպման արտադրական բազայի.",Nov-24-2022_23-35,,,,https://list.am/en/item/17157137
Country House,Wooden,170 sq.m.,2,4,1,Available,Not available,Cosmetic Renovation,800 sq.m.,International › Russia,"2,700,000 ₽",RUB,"Москва дача! Поселок Воровского СНТ Звезда, 21 улица 1 участок:27км от мкада:Ближайшие станции-Жд платформа 43 км, 10 минут до участка!Метро новокосино 26 км!Կփոխանակեմ ՀՀ-ում հողի հետ",Nov-24-2022_23-35,,,,https://list.am/en/item/16802844
House,Bricks,3000 sq.m.,1,3,1,,Not available,Old Renovation,3000 sq.m.,International › Russia,"$8,000",USD,The house is located in RUSSIA IN ROSTOV COMMUNITY to VOLGOGRAD city. The room has 3 rooms. It has barns. The house has a forest.Translated from Armenian,Nov-24-2022_23-35,,,,https://list.am/en/item/17860270
House,Bricks,67 sq.m.,1,4,1,,,Cosmetic Renovation,700 sq.m.,International › Russia,"2,400,000 ₽",RUB,"Дом сухой, фундамент железобетонный шириной 80 см. , стены сендвич панели, внутри утеплён и обшит вагонной, с наружности кирпичом, под всем домом подвал, 2 спальни, кухня, с/у, большой прихожей, коридор, можно легко перепланировать. Дом зимой тёплый летом прохладно, отапливается газом, окна пластик стеклопакеты, стены спальни обшит вагонной (берёза) дом записан на одного человека, в оформлении проблем не будет. Участок 7 соток, на участке иметься множество сараев для разных нужд, хороший погреб, гараж, беседка, сеновал и т. Д. Очень хорошие плодородные деревья, 4 парника, малина, ежевика, жимолость, смородина 3-х видов и т. Д, поле для посадки картофеля, место очень тихое и живописное, чистый воздух, по местному договору жильцов посёлка имеется поле для сенокоса, иметься пастбище, озеро 10-10,600 метров от дома, на транспорте 1 км. Магазин 200 м, остановка так же, в посёлке у соседей можно приобрести натуральные продукты, одним словом, жить на природе но в городе! . Возможно обмен на дом или квартиру в АРМЕНИИ!",Nov-24-2022_23-35,,,,https://list.am/en/item/18362761
House,Monolith,235 sq.m.,3,6,2,,,No Renovation,5 sq.m.,International › Russia,"22,000,000 ₽",RUB,Продаю дом в Новороссийске на ул Мысхако окола пляжа от море 100м возможно обмен на квартиру в Ереване,Nov-24-2022_23-35,,,,https://list.am/en/item/17576250
House,Bricks,46 sq.m.,1,3,1,,,No Renovation,150 sq.m.,International › Russia,"$4,000",USD,"Продается кирпичный дом 3 комнаты на 46 кв. М. И бетонный гараж. Есть электричество. А газопровод рядом/ 5 метров от дома/. Есть небольшой сад за домом. Общая площадь 15 соток. / Требуется внутренние ремонтные работы/. Документы в порядке. АДРЕС__Саратовская область, Пугачевский район, Село Березово. Возможен обмен на автомобиль.",Nov-24-2022_23-35,,,,https://list.am/en/item/16961874
House,Stone,55 sq.m.,1,3,1,Not available,Not available,No Renovation,55 sq.m.,International › Russia,"$20,000",USD,"Продается дом площадью 55,2кв. М. Земельным участком 20 соток. Хоз. Постройка 19*7м. Проведена канализация есть горячая вода.",Nov-24-2022_23-35,,,,https://list.am/en/item/17380608
House,Bricks,1000 sq.m.,1,4,2,Available,1 spot,Cosmetic Renovation,150 sq.m.,International › Russia,"$20,000",USD,Продаёт дом очень большой с 4комнатами и с большым даором очень низкой ценой,Nov-24-2022_23-35,,,,https://list.am/en/item/16327797
House,Monolith,334 sq.m.,3,6,3+,,,Major Renovation,700 sq.m.,International › Russia,"40,000,000 ₽",RUB,"Newly built private house for sale in the south-western part of Moscow, nearby is a school, kindergarten, shopping center, 10 minutes by foot from the metro.Translated from Armenian",Nov-24-2022_23-35,,,,https://list.am/en/item/18078408
House,Wooden,50 sq.m.,1,2,1,,,No Renovation,,International › Other Countries,"$6,000",USD,Վաճաովում է սեփական տուն Տուլա քաղաքից 20կմ․ հեռավորության վրա (Մոսկվայից 180կմ) ․ Փայտե գերաններով պատրաստված մեկ հարկանի տուն է․ Տան կից 2000քառ․/մ հողատարածք․ Բոլոր փաստաթղթերը առկա են․ Հիանալի տարբերակ բոլոր նրանց համար ովքեր փնտրում են հասցե գրանցվելու համար․,Nov-24-2022_23-35,,,,https://list.am/en/item/11783332
House,Bricks,180 sq.m.,2,3,2,,,Euro Renovation,14 sq.m.,International › Russia,"5,000,000 ₽",RUB,"Срочно продам коттедж в с. Каменка. Новая постройка, 2-х этажный со всеми удобствами, газифицированный, земельный участок 14 соток. В селе имеется школа, детский сад, магазины, почта, медпункт, до города 7км.VIBER, WhatsAppՇտապ վաճառվում է տուն Կամենկա գյուղում։ Նորակառույց շենք է, 2 հարկանի բոլոր հարմարություններով, գազաֆիկացված, հողատարածք 14 հեկ. Գյուղն ունի դպրոց, մանկապարտեզ, խանութներ, փոստ, բուժկետ. Գտմվում է քաղաքից 7 կմ հեռավորության վրա։",Nov-24-2022_23-35,,,,https://list.am/en/item/17923629
House,Monolith,1200 sq.m.,1,3,1,,,Old Renovation,1200 sq.m.,International › Russia,"3,149,999 ₽",RUB,Продам старый дом под реконструкцию или ремонтНаходится Абинский район пос. Ахтырский ул. РУчасток 12 сотокФасад 33м.СветВода скважина. Газ по межи. Земля ровная стоить можно проктически что хотите.С агентствами работаюЗвонить только с клиентам.Возможен обмен на квартиру в КраснодареТорг реальному покупателю мой ватцап по ниже указаному номеру,Nov-24-2022_23-35,,,,https://list.am/en/item/17874016
Country House,Bricks,240 sq.m.,2,5,2,Available,Not available,Euro Renovation,600 sq.m.,"Улица Ерицяна 62, Нор Гехи","$70,000",USD,"Продаётся двухэтажная дача с подвальным помещением, всё удобства для жизни имеется горячая, холодная вода, газ, электричество также имеет земельный участок",Nov-24-2022_23-35,,,,https://list.am/en/item/18226008
House,Stone,82 sq.m.,1,2,1,,,Old Renovation,630 sq.m.,International › Russia,"450,000 ₽",RUB,"It's a stone house with a plot of land. I bought it for registration, now I don't need it anymore, so I'm selling it. It's also possible to exchange it for a car.Translated from Armenian",Nov-24-2022_23-35,,,,https://list.am/en/item/17466277
House,Wooden,46 sq.m.,1,2,1,Not available,Not available,Old Renovation,1600 sq.m.,International › Other Countries,100 ֏,AMD,"I will exchange it with a car, it is a very convenient way to engage in agriculture and acquire citizenship. The house is located in the Nizhny Novgorod region's Spassky district of the village of Ruskoe Maklakovo, 150 km. From Nizhny Novgorod, privatized, has a certificate, ready for sale with all relevant documents.Translated from Armenian",Nov-24-2022_23-35,,,,https://list.am/en/item/16210832
House,Stone,1100 sq.m.,1,5,1,Available,1 spot,Old Renovation,1000 sq.m.,"Aram Khachatryan street, Yerevan","$33,000",USD,"Վաճառվում է քարե տուն 1100 քմ հողատարածքով Ռոստովի շրջանի Բոլշայա Մարտինովկա գյուղում։ 5 սենյակ, վերանդա, միջանցք, բոլոր հարմարությունները առկա են տան մեջ (ջուր, էլեկտրականույթուն, գազ) ․ Բակում առկա է ոռոգման հոր։Տունը վաճառվում է կահույքով, տեխնիկայով և սպասքով։Բակում առկա են տնտեսական շինություններ․ ամառային խոհանոց, ավտոտնակ, մառան։Продается капитальный кирпичный дом с землей 11 соток в станице Большая Мартыновка Роствской области. 5 комнат, веранда, коридор, все удобства в доме (вода, электричество, газ) Скважина для полива во дворе.Дом продается с мебелью, техникой, утварью.Во дворе имеются хоз. Постройки: Летняя кухня, гараж, баня, погреб.",Nov-24-2022_23-35,,,,https://list.am/en/item/16625131
House,Bricks,300 sq.m.,3,6,3+,,,Major Renovation,2200 sq.m.,"Batumi street 9a, Vanadzor","$220,000",USD,"Completely renovated, it has a beautiful entertainment place with a grill on the roof. Located in Batumi. Close to the center. Write to my Viber, I will send videos.Translated from Armenian",Nov-24-2022_23-35,,,,https://list.am/en/item/18298439
