Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Service Lines,Facilities,Appliances,Links
House,Stone,240 sq.m.,2,4,2,By agreement,2 spots,Euro Renovation,770 sq.m.,Kotayk › Kasagh,"$200,000",USD,"Code: D-221312-storey newly built private house with 770 square meters of land and 240 square meters of living space is for sale in Kasakh village, Kotayk region. Double stone walls, roofs - monolithic concrete, roof (metal's) Ground floor: Garage, storage, bathroom. The second floor is fully renovated. 4 rooms, kitchen, bathroom, gas, individual heating system. Euro windows. New tiles in the kitchen ում in the bathroom. It has a summer kitchen, fruit trees and a grocery store, which is not working now.The commission of the agency is 2%, an exhibition contract is signed for the exhibitions. Please have your ID.The commission of the Real Estate Agency is 2%. For showing the real estate a contract is signed. Please have passport, ID or driving license with You.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/17712658
House,Stone,385 sq.m.,3,6,1,By agreement,2 spots,No Renovation,1366 sq.m.,Kotayk › Kanakeravan,"$72,000",USD,"Կոդ՝ D-20287Վաճառվում է 3 հարկանի 6 սենյականոց առանձնատուն Քանաքեռավանում։ Առանձնատունը զրոյական վիճակում է։ Մուտքի դուռը՝ երկաթյա, պատուհանները՝ փայտյա։ Սանհանգույցը՝ համակցված։ Առանձնատունն ունի լոջա, քարե պարիսպ, նկուղ (130քմ), ավտոտնակ, պտղատու ծառեր, այգի, ծաղկանոց, մշտական ջուր։ Մյուս կոմունալ հարմարությունները մոտակայքում են։Գործակալության միջնորդավճարը կազմում է 2%, ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։3-storey house for sale in Qanaqeravan. The rooms' quantity is 6 (a hall and 5 bedrooms) The house is in the zero condition. The entrance door is iron-made, the windows are wooden. The bathroom is combined. The house has a balcony, stone fence, cellar (130sq. M), garage, fruitful trees, garden, flowerbed and is supplied with constant water. Other communications are nearby.The commission of the Real Estate Agency is 2%. For showing the real estate a contract is signed. Please have passport, ID or driving license with You.",Nov-24-2022_23-05,,,,https://list.am/en/item/14236639
House,Stone,520 sq.m.,2,5,2,Not available,1 spot,Partial Renovation,,Kotayk › Charentsavan,"$60,000",USD,Առաջն հարկը բնակելիե. Կա պտղատու այգի. Տան դիմաց մշակելի հող,Nov-24-2022_23-05,,,,https://list.am/en/item/13466419
House,Stone,230 sq.m.,2,4,1,Not available,1 spot,Partial Renovation,770 sq.m.,"2-րդ փողոց 14, Աբովյան","$110,000",USD,Call for questions. NegotiableTranslated from Armenian,Nov-24-2022_23-05,,,,https://list.am/en/item/18190835
Country House,Stone,2000 sq.m.,3,4,1,,,Partial Renovation,1800 sq.m.,Kotayk › Nurnus,"$100,000",USD,"Located in the village of Nurnus. There is constant drinking water, electricity. There are 2 orchards - large and small.For more information callTranslated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/18151480
House,Wooden,1450 sq.m.,2,2,1,,,Designer Renovation,1400 sq.m.,Kotayk › Jrvezh,"$90,000",USD,"A fairy-tale wooden house is for sale in the summer house part of the waterfall, away from the noise of the cityLand area - 1400 sq/m, residential area - 50 sq/mThere is a summer kitchenNumber of bedrooms: 1Bathroom: TiledIt has a beautiful garden, full of fruit treesThere is an area for bonfires in the garden, as well as a stone brazierA water tank with a capacity of 5000 liters is installed.Code 30342Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/18285002
House,Monolith,400 sq.m.,3,5,3+,,,Euro Renovation,1500 sq.m.,"Լուսավորության փողոց 1/1, Ձորաղբյուր","€395,000",EUR,Capital building. It is also given on loan. Monthly loan is $1700Translated from Armenian,Nov-24-2022_23-05,,,,https://list.am/en/item/18108051
House,Monolith,360 sq.m.,3,6,3+,Not available,1 spot,Designer Renovation,431 sq.m.,"Arinj 15-th street 1, Առինջ գյուղ","$300,000",USD,"The apartment has three floors, 2 floors are residential, 3 floors are open roof, 120 square meters. On the first floor, there are 2 bedrooms, kitchen, living room. On the 2nd floor, there are 4 bedrooms, 2 of them have a closet, 1 has a bathroom, and a separate common bathroom. The apartment is tiled with travertine and basaltTranslated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/18348455
House,Stone,155 sq.m.,2,6,2,Available,Not available,Major Renovation,350 sq.m.,"Mush District, Yerevan","80,000,000 ֏",AMD,"The house was built in 2020, completely renovated and fully furnished with quality furniture and appliances. The price is indicated together with the property and appliances.It is gasified.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/15864861
House,Stone,515 sq.m.,3,3,1,Not available,2 spots,Major Renovation,275 sq.m.,Kotayk › Dzoraghbyur,"$95,000",USD,"Urgently for sale a three-storey private house in Dzoraghbyur, the total area is 515 square meters, of which 240 square meters are residential (the area of each floor is 80 square meters)The entrance door is metallic, the windows are of European production, individual heating system, the bathroom is tiled, it has 2 open balconies, permanent irrigation and drinking water, sewerage, it is fenced, with a gate, it has a garage for two cars.It has a very beautiful garden: Fruit trees: 20 walnuts, 3 apricots, 2 pears, pomegranate, almond, peach, cherry, cherry, raspberry, emerald.80 sq. M. Free space on the 1st floor of the house, which can be converted into rooms, on the 2nd floor - 1 living room, 2 bedrooms, kitchen, bathroom, on the 3rd floor - an attic, which can also be rooms.The house is fully renovated, it is in very good condition.Code Code 149Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/16533113
House,Panels,160 sq.m.,2,5,1,Not available,Not available,No Renovation,140 sq.m.,"Улица Муш 84/2, Касах","$140,000",USD,Partial Home:Own 2 floors160 sq. M. Pastayan water supply land 600 mTranslated from Armenian,Nov-24-2022_23-05,,,,https://list.am/en/item/17968529
Country House,Panels,60 sq.m.,1,3,1,Available,1 spot,Partial Renovation,600 sq.m.,Kotayk › Nurnus,"$32,000",USD,"Summer house for sale in Nurnus, needs cosmetic repairs, partially furnished. Water (drinking/irrigation), electricity. Pavilion beautiful viewTranslated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/18148187
House,Stone,36 sq.m.,1,1,1,,,Partial Renovation,800 sq.m.,"Arzni Highway, Abovyan","$44,000",USD,"Own house for sale in Getashen district of Arzni. Normal situation. For details, call (044) I will bargain if I buy real.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/18024909
House,Stone,360 sq.m.,3,7,2,,,Major Renovation,1587 sq.m.,"Խաչատուր Աբովյան թաղ. 10-րդ փողոցի 1-ին փակուղի 2/2, Առինջ","$460,000",USD,"Bissetka with its kitchen, bathroom, sauna. The house is located on a hill and has a beautiful view. + 47.16 c. Մ. Bedroom, basement, possibly with property.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/16589001
House,Stone,240 sq.m.,2,4,2,,,No Renovation,550 sq.m.,Kotayk › Kasagh,"$125,000",USD,"Urgent sale of a private house in Kasakh village. Land area 550 sq / m, house area 120 sq / m (two-storey building, floor 120 sq / m) Sliced, plastered. One-sided fenced. There is a pavilion 3 m 6 m in the area. Constant water, electricity. There are fruit trees in the area. Price is negotiable. Without a mediator.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/17943264
House,Stone,305 sq.m.,1,4,1,,,Partial Renovation,525 sq.m.,Kotayk › Zovuni,"$120,000",USD,"The house is provided with all the communal facilities, there is a 5.85 kW solar system on the roof. , has a basement with a total area of the building, there is a freezer with a capacity of 2 tons in the basement,More details on the phonePrice is negotiable...Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/17043859
House,Stone,1250 sq.m.,2,6,2,,,No Renovation,1000 sq.m.,Kotayk › Abovian,"$105,000",USD,"A two-story detached house is for sale in Nor Gyugh district of Abovyan city, 7 street 18 house near Mro. The total area is 1250 square meters, the area of the house is 250 square meters. The 1st floor has a bathroom, living room, kitchen, 1 bedroom.The 2nd floor has 4 bedrooms, 1 balcony, a bathroom and a garage. Call for other questionsTranslated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/18026330
House,Stone,300 sq.m.,2,6,3+,,2 spots,Major Renovation,1000 sq.m.,Kotayk › Dzoraghbyur,"$152,000",USD,"The house is in a very good condition, gas, electricity, water, permanent. For sale or rent. The rent is $2,500 per month.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/17484577
House,Stone,136 sq.m.,2,5,1,,,No Renovation,270 sq.m.,Kotayk › Zovuni,"$65,000",USD,"Urgent sale, 2-storey detached house on 24 Zovuni street, own house, each floor 68 sq/m, 5 rooms, aluminum windows, fenced, electricity available, I am the owner, call for details, price negotiable.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/18328878
House,Stone,274 sq.m.,3,6,2,Available,3 or more spots,Euro Renovation,600 sq.m.,Kotayk › Zovuni,"$150,000",USD,"A fenced stone house is for sale in Zovuni. The total area is 600 square meters, and the area of the residential house is 274 square meters. It consists of three floors, the third floor is an attic. The mansion is renovated in Euro.Consist of,• from the lobby• from the living room• From 4 bedrooms• from the kitchen• From 2 hubs• 1 spacious room (which can be a cinema room, billiard room or recreation room)• from the balcony• from the basement• 2 garages (one of which can park two cars)There is also a swimming pool, individual solar water heating system, fruit garden.Code: GS-T47Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/18188425
House,Stone,160 sq.m.,2,4,2,,Not available,No Renovation,400 sq.m.,"9-րդ փողոց 97, Զովունի","$132,000",USD,The house is located in the beginning of ZovuniThe area of a 2-storey house is 160 square metersThe land is 400The interior is not doneTranslated from Armenian,Nov-24-2022_23-05,,,,https://list.am/en/item/15675196
House,Stone,160 sq.m.,3,7,2,,,Cosmetic Renovation,800 sq.m.,Kotayk › Kasagh,"$178,000",USD,"Own house with all its amenities. They can live up to 3 families, in case of transfer they will have a good hostel or a small hotel. There are fruit trees and a large plot of land. There is a basement floor which will be suitable for production + 2 furnished floors for living. Each about 160 square meters. Is 100 meters away from the main road. You can reach the center by car in 15 minutes, just like there is a vehicle passing by the entranceTranslated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/17964769
House,Stone,324 sq.m.,4+,6,2,Available,3 or more spots,Major Renovation,1000 sq.m.,Kotayk › Ptghni,"$265,000",USD,"In Ptghni, not far from the Yerevan-Sevan highway, a 4-storey semi-detached house with a beautiful view is for sale. Its living area is 324 square meters and the land area is 1000 square meters. The renovation of the villa is almost complete, Euro windows with bars have been installed, the floor is tiled, the kitchen is equipped, the bathrooms are tiled and equipped with sanitary equipment. It consists of 5-6 rooms, kitchen, storage room and 2 bathrooms. The yard is well maintained, there is an outdoor swimming pool, a summer lounge with a fireplace and a toaster, an outdoor parking space, a garden with fruit trees. Located not far from the main road.Code 8035Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/18281053
House,Panels,72 sq.m.,1,4,1,Not available,Not available,Old Renovation,72 sq.m.,Kotayk › Aragyugh,"$7,000",USD,"Connected for sale, 2 pieces, 12 * 3 house. The windows are changed, the houses are in good condition, the total area is 72 square meters.Call the number for details.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/16774497
House,Stone,140 sq.m.,2,5,1,,,Partial Renovation,1300 sq.m.,Kotayk › Zoravan,"$85,000",USD,"The distance from the city of Yerevan is 17 km. On the 2nd floor, there is a working business, a fully automated hydroponic strawberry greenhouse (3600 plants), which is also controlled by phone, has a cooling system, the house is fully heated, and the greenhouse is heated with a warm floor (тёплый пол) in the front part of the area. It is fenced, has a garage 5*8, 3*4 renovated chat room (беседка) 7 tons. Water yard, 5-year-old apple orchard (160 trees), all with drip irrigation system, permanent water, gas, and electricity. The house is sold with the entire property. Call for more information.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/17634494
House,Stone,264 sq.m.,2,4,1,,,Cosmetic Renovation,1000 sq.m.,"Kotayq street, Abovyan","$110,000",USD,"The walls are made of stone, the base is made of reinforced concrete, tape, the roof is made of reinforced concrete, the roof is made of metal sheets, the entrance door is made of metal, the interior doors are made of wood, the windows are made of metal-wood, some of them are covered with bars, the floor is tiled. Concrete, the walls are made of high quality paint, the ceilings are suspended, made of plasterboard, the first floor is without interior decoration, the floor of the bathroom is tiled, the walls are plastered, it has electricity. Electricity, water, gas, local heating system. A metal gate is installed. There is a building of 25.9 square meters, a roof of 14 square meters, a house of 10.1 square meters, a roof of 10.3 square meters, the walls of auxiliary buildings are made of tuff stone, the roofs are asbestos slate, without finishing. With the right of ownership, residential significance, adjacent land - 1020 sq. M.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/15737314
House,Stone,300 sq.m.,2,8+,3+,,2 spots,No Renovation,1000 sq.m.,Kotayk › Zovuni,"$220,000",USD,"A 2-storey house is for sale in Zovuni, the house is not renovated. Call for more informationCode 50530Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/18375332
House,Stone,110 sq.m.,1,3,1,,,Partial Renovation,1200 sq.m.,Kotayk › Garni,"$67,000",USD,For all questions call sales also partialTranslated from Armenian,Nov-24-2022_23-05,,,,https://list.am/en/item/16135641
House,Stone,270 sq.m.,1,4,1,,,No Renovation,120 sq.m.,Kotayk › Zovuni,"$68,000",USD,"Own house for sale in Zovuni. The house is newly built.Needs partial repairs. There are 4 rooms, water, gas, electricity.The total area is 270 square meters, the living area is 120 square meters.For details, call the indicated phone number.Translated from Armenian",Nov-24-2022_23-05,,,,https://list.am/en/item/18159804
