Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Address,Price,Currency,Description,Datetime,The House Has,Parking,Links
Stone,No,Not available,5,82 sq.m.,3,1,from 2.7 m,5,Open balcony,,Partial Renovation,"Momik street 8, Yeghegnadzor","16,500,000 ֏",AMD,"3-room apartment for sale in Yeghegnadzor, on the 5th floor of a 5-storey building, has a basement, for more information call the mentioned phone number, negotiableTranslated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/14494595
Stone,No,Not available,4,66 sq.m.,3,1,from 2.7 m,3,Closed balcony,,No Renovation,"Մյասնիկյան փողոց 22, Ջերմուկ","$30,000",USD,"An apartment is for sale in Jermuk. The apartment is located on Myasnikyan street (right bank) on the 3-rd floor of a 4-storey stone building, the 3-room is converted into 2.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/17765945
Stone,No,Not available,5,93 sq.m.,4,1,from 3 m,5,Closed balcony,Not available,Old Renovation,"Ձախափնյակ թաղամաս 3/17, Ջերմուկ","$30,000",USD,"Good condition, exchange with Dilijan apartment.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/13430926
Stone,No,Not available,2,38 sq.m.,1,1,from 3.5 m,2,Open balcony,,Old Renovation,"Grigor Narekaci street, Yeghegnadzor","$35,000",USD,"The apartment is located in the center of Yeghegnadzor city.It is very convenientDental clinic,laboratories, massage,medical Research,hairdresser,For cosmetology, photo, sewing salons, bread, pastries, lavash mud, various offices and for other purposes.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/17880071
Stone,No,Not available,3,35 sq.m.,1,1,from 2.6 m,2,Open balcony,,Euro Renovation,"Ստեփան Շահումյանի փողոց 2, Ջերմուկ","$23,000",USD,"The apartment is euro-renovated, it is for sale together with the furniture, it is electrically heated, there is a geyser.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/17223048
Stone,No,Not available,5,60 sq.m.,3,1,from 2.6 m,1,Closed balcony,Available,Major Renovation,"Մյասնիկյան փողոց 12, Ջերմուկ","$39,000",USD,"Կապիտալ վերանորոգված։ Առաջին հարկ, առանձին մուտքով, կենտրոնական հատվածում։Տրվում է նաև օրավարձով։",Nov-25-2022_14-03,,,https://list.am/en/item/15860887
Stone,No,Not available,4,80 sq.m.,3,1,from 2.8 m,3,Closed balcony,,Partial Renovation,Vayots Dzor › Jermuk,"$33,000",USD,"URGENT...A 3-room apartment in the center of Jermuk is for sale.Iron door, euro windows, renovated bathroom, with property, sunny side, beautiful view...Very urgent by the host...Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/17839040
Stone,No,Not available,4,57 sq.m.,4,2,from 2.6 m,2,Not available,,Major Renovation,Vayots Dzor › Jermuk,"$40,000",USD,"I am selling fully renovatedApartment in Jermuk - meets all modern standards - located on the right bank - near Boshor guesthouses - 15-minute walk to the waterfall, restaurants and restaurants - a wonderful view from the window, there is a baxi system, constant hot and cold running water - it is sunny and warm - the tiled floor in the hallway is heated - for sale hallway furniture together with a living room with a closet built into the wall, there is wayfay and tvTranslated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/18366716
Stone,No,Not available,3,60 sq.m.,3,1,from 2.7 m,1,Closed balcony,Available,Old Renovation,"Улица Мясникян 20, Джермук","$26,000",USD,"A 3-room apartment is for sale in the city of Jermuk, full of nature, full of pure oxygen, rich in pure oxygen and mineral water, in front of Nairi Hotel, next to the Arpa River. The buildings are typical Khrushchevs, built during the Soviet era. The apartment needs cosmetic renovation, which gives the buyer a wonderful opportunity to renovate and live in the wonderful and healthy city of Jermuk with his own style, whims and desires.Hurry to call:I am waiting for youTranslated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/16523232
Stone,No,Not available,5,45 sq.m.,2,1,from 3 m,4,Closed balcony,By agreement,Euro Renovation,"Ձախափնյակ թաղամաս 3, Ջերմուկ","$20,000",USD,2-room fully renovated Apartment for sale on the left bank of Jermuk... For sale together with the property... Or exchanged with a house in Yerevan by me for an additional payment...Translated from Armenian,Nov-25-2022_14-03,,,https://list.am/en/item/16438785
Stone,No,Not available,5,75 sq.m.,3,1,from 3 m,4,Open balcony,,Euro Renovation,"Shahumyan street, Vayk","$50,000",USD,"For sale (33 apt. , 102 Shahumyan street), newly renovated, uninhabited, spacious, bright, beautifully decorated apartment, two-storey garage, fruit trees, riverside, spacious garden.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/16194136
Stone,No,Not available,5,74 sq.m.,3,1,from 2.8 m,4,Closed balcony,Available,Cosmetic Renovation,"Stepan Shahumyan Street 1, Jermuk","$32,000",USD,"L:The apartment is located in the center of the city, on the sunny side, there is no problem with gas, water, heating at all, the bathroom is tiled. In case of other questions, call for a real buyer, negotiableTranslated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/16633539
Stone,No,Not available,2,60 sq.m.,2,1,from 2.7 m,2,Closed balcony,,Old Renovation,"Shahumyan 5th street, Yerevan","$38,000",USD,For more information call: Pure Natural. Next to Anoush Hotel.Translated from Armenian,Nov-25-2022_14-03,,,https://list.am/en/item/18003962
Panels,No,Not available,5,72 sq.m.,3,1,from 2.6 m,2,Closed balcony,Available,Major Renovation,"Dzakhapnyak St, Jermuk","$46,000",USD,A 2/3-floor euro-renovated apartment is for urgent sale along with the property. A heating system is installed. Call for questions.Translated from Armenian,Nov-25-2022_14-03,,,https://list.am/en/item/15433859
Stone,No,Not available,4,52 sq.m.,2,1,from 2.7 m,4,Not available,,Major Renovation,"Shahumyan street, Jermuk","$30,000",USD,Fully renovated and furnished.Translated from Armenian,Nov-25-2022_14-03,,,https://list.am/en/item/17778049
Stone,No,Not available,4,78 sq.m.,3,1,from 2.8 m,4,Closed balcony,Available,Cosmetic Renovation,"Մյասնիկյան փողոց 22, Ջերմուկ","$38,000",USD,Jermuk 3-room apartment on the right bankTranslated from Armenian,Nov-25-2022_14-03,,,https://list.am/en/item/17402027
Stone,No,Available,3,37 sq.m.,2,1,from 2.6 m,1,Not available,Available,Old Renovation,"Ստեփան Շահումյանի փողոց 32/3, Ջերմուկ","$8,000",USD,"A 2-room apartment is for sale in Ajapnyak, on the 1st floor of a stone building. The balcony facing the sun, at 29 Shahumyan St. Urgently negotiableTranslated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/17880426
Stone,No,Not available,3,72 sq.m.,3,1,from 2.8 m,3,Closed balcony,Available,Cosmetic Renovation,"Մյասնիկյան փողոց 20, Ջերմուկ","$45,000",USD,"Ajapnyak, Myasnikyan 20 building, apartment 12The apartment is for sale together with all the PROPERTY AND EQUIPMENT3-room apartment turned into 3 is for saleCosmetically renovatedThere is a beautiful view from the balconyThe apartment has an individual heating system, two-sided lighting, a projecting positionWindows of European production24-hour water supplyAdjacent schools / kindergarten /For more information, call the number listedTranslated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/17439391
Stone,No,Not available,3,73 sq.m.,4,1,from 2.8 m,3,Closed balcony,Available,Cosmetic Renovation,Vayots Dzor › Jermuk,"$45,000",USD,URGENT!3-room apartment for sale in Jermuk city (Ajapnyak district)Bright apartment with all its amenitiesIndividual heating systemTranslated from Armenian,Nov-25-2022_14-03,,,https://list.am/en/item/17963548
Stone,No,Not available,4,66 sq.m.,4,1,from 2.75 m,3,Closed balcony,,Major Renovation,"Shahumyan street, Yeghegnadzor","$40,000",USD,"The apartment is in very good condition, it is newly renovated. It is gasified.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/17762702
Stone,No,Not available,4,102 sq.m.,4,2,from 2.8 m,1,Not available,By agreement,Major Renovation,Yerevan › Shengavit,"$125,000",USD,"KOD-610394 bedroom apartment for sale on Sevan street, near Tumanyan schoolLocated on the 1/4th floor in a busy area.A cash system is installed, it is fully overhauled.The yard has a parking space for cars.The apartment is sold together with property or without property for $115,000Completely renovated, (fancol)High quality cooling and heating system, central heating boiler, separate entrance,basement, entrance from the house...Code 0144Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/17043286
Stone,No,Not available,4,50 sq.m.,2,1,from 2.8 m,1,Not available,Available,Euro Renovation,Vayots Dzor › Jermuk,"$39,000",USD,"1 floor on the height, turned into 1-2, turned into a room, has a semi-basement, with parquet, can be used as an office, warehouse, etc. , of public importance, the apartment is attractive in all respects, and very bright, and sunny, and happy atmosphere, provides rest, one of the most important is that it is clean and tidy, for sale with furniture (kitchen, hall, table, armchairs), given is also for rentTranslated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/17372194
Panels,No,Not available,4,75 sq.m.,4,1,from 2.8 m,2,Closed balcony,By agreement,Old Renovation,Vayots Dzor › Jermuk,"21,424,000 ֏",AMD,"Mailin chgrel:On the right bank, on Shahumyan 2 streeta four-room apartment is for sale, it also has a storage room, a basement,Permanent electricity, gas, hot and cold waterBeautiful view of the forest and the cable carTranslated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/17723364
Stone,No,Not available,2,60 sq.m.,2,1,from 3.5 m,2,Closed balcony,Available,Old Renovation,"Stepan Shahumyan Street 10, Jermuk","$38,000",USD,"The apartment is located in the center of Jermuk city, near the school, there are banks, shops, playground nearby. For more details, call the owner, long-term lease is also possible.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/18173650
Stone,No,Not available,3,31 sq.m.,1,1,from 2.5 m,1,Not available,Available,Partial Renovation,Vayots Dzor › Jermuk,"$20,000",USD,"A converted 2-room apartment for sale, in the center of Jermuk, on the first floor. It has the possibility to enlarge the entrance, it also has the possibility to have a separate entrance from the outside. There is gas, constant water. Urgently negotiableTranslated from Armenian",Nov-25-2022_14-03,PLayground,GArage,https://list.am/en/item/17669191
Panels,No,Not available,5,40 sq.m.,1,1,from 2.75 m,1,Open balcony,,Old Renovation,"Ձախափնյակ թաղամաս 3/20, Ջերմուկ","$10,000",USD,"VERY URGENT, 1 room is for sale. , apartment in Jermuk, Dzakhapnyak district. The apartment, 40 square meters, has been transformed into a full 2 rooms. It has an open balcony, in front of which 20 square meters of land, which is suitable for both parking and cultivation. The apartment is suitable both for permanent residence and as a rest house. Price is negotiable.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/14404437
Panels,Yes,Not available,5,72 sq.m.,2,1,from 2.5 m,5,Closed balcony,,Euro Renovation,"Dzakhapnyak St, Jermuk","$14,000",USD,"In case of detailed questions, call the mentioned phone numberTranslated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/15361658
Stone,No,Not available,4,78 sq.m.,3,1,from 2.7 m,4,Closed balcony,Available,Major Renovation,"Shahumyan street 14, Jermuk","$40,000",USD,3 սենյականոց լուսավոր վերանորոգված կահավորած ջեռուցման համակարգ տանիքը ամբողջությամբ փոխված բարեկարգ բակ և գեղեցիկ տեսարան։ Իմ բնակարաննա։,Nov-25-2022_14-03,,,https://list.am/en/item/15700689
Stone,No,Not available,2,70 sq.m.,3,1,from 3 m,2,Closed balcony,Available,Old Renovation,"Stepan Shahumyan Street 10, Jermuk","$35,000",USD,"For sale, for rent, by the month.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/18168815
Stone,No,Not available,5,74 sq.m.,3,1,from 2.7 m,2,Closed balcony,,Old Renovation,"Ձախափնյակ թաղամաս 3, Ջերմուկ","$27,000",USD,"Urgent apartment for sale in Jermuk, Dzakhapnyak, 25/29, with partial furniture.Price is negotiable, for more details call the mentioned phone numbers.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/16528601
Stone,No,Not available,5,71 sq.m.,3,1,from 3 m,3,Not available,,Old Renovation,Vayots Dzor › Jermuk,"12,000,000 ֏",AMD,"A 3-room apartment is for sale on the Left Bank of Jermuk. It is located on the 3rd floor of a 5-story stone building.The apartment is sunny, 3 rooms (transformed into 4)It is sold with all the furniture, for details call.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/18262862
Stone,No,Not available,5,65 sq.m.,2,2,from 2.7 m,1,Multiple balconies,,Old Renovation,Vayots Dzor › Jermuk,"$15,000",USD,"The apartment is in normal condition.It is gasified, the apartment has a bedroom in addition to the living room and bedroom.Price is negotiable…Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/17259654
Monolith,No,Not available,5,27 sq.m.,2,1,from 2.7 m,3,Not available,,No Renovation,"Shahumyan St, Jermuk","$8,500",USD,"It is located on the right bank of Jermuk, it has a stone garage. Call real people.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/15327559
Stone,No,Not available,4,50 sq.m.,3,1,from 2.7 m,4,Open balcony,Available,Euro Renovation,Vayots Dzor › Jermuk,"$40,000",USD,Euro-renovated apartment on the third floor of a residential building on the right bank of Jermuk is for sale. Has an attic and storage room (chulan)Translated from Armenian,Nov-25-2022_14-03,,,https://list.am/en/item/16765187
Panels,No,Not available,5,80 sq.m.,3,1,from 3 m,5,Open balcony,,Major Renovation,"Միքոյան փողոց 18, Եղեգնաձոր","18,000,000 ֏",AMD,"3-room apartment in the center of Yeghegnadzor (Mikoyan 9a) is for sale. There is a heating system, the floor is heated. The price includes a basement of 20 square meters. For more information call.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/17184590
Stone,No,Not available,2,60 sq.m.,3,1,from 2.75 m,1,Closed balcony,Available,Euro Renovation,"Մյասնիկյան փողոց 16, Ջերմուկ","$33,000",USD,"3-room apartment for rent URGENTLY in the city of Jermuk, in the resort district, address: 16 Myasnikyan street. It is completely renovated, the windows, interior and exterior doors are of European manufacture, the apartment is in excellent condition. It is provided with constant hot and cold water, it is gasified. If desired, it is also possible to sell together with the property and equipment. The price is $33,000, negotiable.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/16756494
Panels,No,Not available,5,46 sq.m.,1,1,from 2.75 m,3,Closed balcony,,Old Renovation,Vayots Dzor › Jermuk,"$16,500",USD,"Clean state Very Bright Watery ApartmentFor sale with furniture. I will give back Two basements. I will exchange it with a privatized garage (in the center of Arabkir) with a car higher than Mercedes Bens C 180,2016, higher than Porsche Gayenne 3.6-2013 by me. I will listen to reasonable suggestions from you.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/15471632
Stone,No,Not available,4,54 sq.m.,2,1,from 2.7 m,2,Closed balcony,,Major Renovation,"Ստեփան Շահումյանի փողոց 2, Ջերմուկ","$39,000",USD,"It is in very good condition, an iron door has been installed, the electric wires and water pipes have been changedTranslated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/18018804
Panels,No,Not available,5,80 sq.m.,3,2,from 2.8 m,4,Multiple balconies,,Cosmetic Renovation,Vayots Dzor › Jermuk,"$32,000",USD,"Urgent apartment for sale in Jermuk, on the left bank, it has gas supply, baxi system, constant hot and cold water, euro windows, 2 iron entrance door, for sale with property, equipment, price is negotiableTranslated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/16819853
Stone,No,Not available,4,130 sq.m.,8+,2,from 3 m,1,Not available,Not available,No Renovation,"Ձախափնյակ թաղամաս 3, Ջերմուկ","$25,000",USD,"8-room apartment in Jermuk, 130 sq. M. , 2 baths, high ceilings, 1/5 story, stone buildingTranslated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/18109438
Stone,No,Not available,5,50 sq.m.,3,1,from 3 m,3,Closed balcony,Not available,Cosmetic Renovation,Vayots Dzor › Jermuk,"$32,000",USD,"Exchange with the apartment in Yerevan, the rest of the questions by calling. Whatsapp number is also a mobile phone numberTranslated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/17360892
Stone,No,Not available,4,55 sq.m.,2,1,from 3 m,4,Closed balcony,Available,Euro Renovation,"Շահումյան փողոց 1, Ջերմուկ","$35,000",USD,"Բնակարանը գտնվում է Ջերմուկ քաղաքում կենտրոնական փողոցում։Եվրո վերանորոգված բոլոր կոմունալ հարմարություններով, մշտական տաք և սառը ջուր, բաքսի համակարգ, կահավորված, սան հանգույցը վերանորոգված։",Nov-25-2022_14-03,,,https://list.am/en/item/11843249
Stone,No,Not available,4,53 sq.m.,2,1,from 3 m,1,Closed balcony,Available,Euro Renovation,"Շահումյան փողոց 1, Ջերմուկ","$30,000",USD,Բնակարանը գտնվում է Ջերմուկ քաղաքում։ Վերանորոգված է և ունի բոլոր կոմունալ հարմարություններ․ կահավորված է։ Մշտական տաք և սառը ջուր։,Nov-25-2022_14-03,,,https://list.am/en/item/11855380
Stone,No,Not available,3,56 sq.m.,3,1,from 2.5 m,1,Not available,Not available,Old Renovation,"Улица Степана Шаумяна 6, Джермук","$28,200",USD,An apartment is for sale in the center of Jermuk. Exchange with an apartment in Yerevan (preferably in Erebuni district) is possible. UrgentTranslated from Armenian,Nov-25-2022_14-03,,,https://list.am/en/item/15730244
Stone,No,Not available,5,71 sq.m.,3,1,from 2.75 m,4,Closed balcony,,Major Renovation,"Ձախափնյակ թաղամաս 3, Ջերմուկ","$20,000",USD,"3-room apartment on the 4th floor of Dzhakhapnyak 5th building is for sale. The apartment is in normal condition. It has natural gas, always hot or cold water... Price $ 20,000 for details call the mentioned phone numberTranslated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/17744904
Stone,No,Not available,5,92 sq.m.,4,1,from 3 m,5,Multiple balconies,,Old Renovation,Vayots Dzor › Vayk,"$22,000",USD,"If you have any questions, callTranslated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/17941720
Stone,No,Not available,5,48 sq.m.,1,1,from 3 m,3,Closed balcony,Not available,Old Renovation,"Arshavir Melikyan street, Vayk","$14,500",USD,"One-room apartment is for sale in Vayk, NISHAYOV, on the 3-rd floor of a 5-storey stone building, the total area of the apartment is 48 square meters, it is located in PET. Condition: It is also given a plot of land 400 meters away from the building, can be used as a vegetable garden.Price $ 14,800, negotiable, URGENT, VERY URGENT. It is possible with the Bank.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/9246801
Panels,No,Not available,3,76 sq.m.,3,1,from 2.7 m,2,Not available,,Major Renovation,Vayots Dzor › Yeghegnadzor,"18,000,000 ֏",AMD,"In the center of Yeghegpadzor, capitally renovated and furnished.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/15668744
Panels,No,Not available,5,67 sq.m.,2,1,from 2.7 m,1,Not available,,Major Renovation,"Квартал Дзахапняк 3/16, Джермук","$20,000",USD,Uninhabited after renovationTranslated from Armenian,Nov-25-2022_14-03,,,https://list.am/en/item/17445900
Stone,No,Not available,5,68 sq.m.,2,1,from 2.7 m,4,Multiple balconies,,Cosmetic Renovation,"Dzakhapnyak District 3/43, Jermuk","$20,000",USD,Продаётся 3-х комнатная квартира,Nov-25-2022_14-03,,,https://list.am/en/item/17244784
Stone,No,Not available,5,102 sq.m.,4,1,from 3.2 m,3,Multiple balconies,,Partial Renovation,"Ձախափնյակ թաղամաս 3, Ջերմուկ","$30,000",USD,"The apartment is located in a stone building, the roof of the building is completely new, the entrance is repaired with the existing entrance doors, the yard is completely asphalted. The apartment has all the communal facilities, the rooms are spacious, bright, for sale, property, together with the equipment, it has a stone garage 4.5 × 12 (50 sq. M.) which is not included in the price, the price is $ 5000. The price is negotiable for the real buyer.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/17853648
Panels,No,Not available,4,77 sq.m.,3,1,from 2.75 m,3,Closed balcony,Available,No Renovation,Vayots Dzor › Jermuk,"$20,000",USD,"3-room apartment for sale in the left-wing district of Jermuk city, 4/3. It has constant hot-cold water, it is gasified, the windows are of European production. State condition. It also has a closed balcony.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/8422905
Stone,No,Not available,4,85 sq.m.,4,1,from 2.5 m,1,Not available,,Euro Renovation,"Ստեփան Շահումյանի փողոց 19, Ջերմուկ","$42,000",USD,"An apartment is for sale in the city of Jermuk with its own property and equipment. The apartment is renovated, there is a taxi system, it has the possibility of entrance and it is possible to use the basement of more than 100 square meters. The remaining questions can be answered by phone.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/18085943
Stone,No,Not available,4,34 sq.m.,1,1,from 2.7 m,2,Not available,,Old Renovation,Vayots Dzor › Jermuk,"$12,000",USD,"Without a mediator.A one room apartment is for sale in Jermuk, near ""Yeraz"" rest house. It is situated on the second floor of a 4-storey stone building, covers 27.5 square meters, 6 square meters. Մ. Storage room. The building is located on the right bank, in the district of health centers. The apartment is in good condition, all the necessary communications are brought, a water heater is installed.Sanatorium No. 1, a children's sanatorium are nearby, as well as a 24-hour grocery store.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/17182844
Stone,Yes,Not available,4,45 sq.m.,2,1,from 2.6 m,1,Closed balcony,,Euro Renovation,"Shahumyan street, Jermuk","$27,000",USD,"An apartment is for sale in Jermuk, only serious applicants should call.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/18003875
Stone,No,Not available,4,40 sq.m.,1,1,from 2.8 m,3,Open balcony,Available,Major Renovation,"Grigor Narekaci street, Yeghegnadzor","$30,000",USD,One room apartment is for sale in Yeghegnadzor. The apartment is fully renovated. For sale together with kitchen furniture and partial furniture.Translated from Armenian,Nov-25-2022_14-03,,,https://list.am/en/item/16380989
Stone,No,Not available,5,65 sq.m.,2,1,from 2.75 m,3,Multiple balconies,By agreement,Cosmetic Renovation,"Ձախափնյակ թաղամաս 3/17, Ջերմուկ","7,500,000 ֏",AMD,"A two-room apartment for sale in Jermuk, Vayots Dzor marz, Dzakhapnyak district, all utilities are available, the apartment is sunny.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/18264269
Panels,No,Not available,5,66 sq.m.,3,1,from 2.75 m,3,Closed balcony,Available,Partial Renovation,"Ձախափնյակ թաղամաս 3/4, Ջերմուկ","$21,000",USD,It has 2 basements. I will discuss exchange options. Exchange with a car is possible. It is possible to buy it with a mortgage.Translated from Armenian,Nov-25-2022_14-03,,,https://list.am/en/item/12929481
Stone,No,Not available,4,40 sq.m.,1,1,from 2.8 m,1,Not available,,Major Renovation,Vayots Dzor › Jermuk,"25,000 ֏",AMD,"Բնակարանն 1 սենյականոց է կապիտալ վերանորոքված հագեցած է կոմունալ բոլոր հարմարություններով կա նայեվ բակսի համակարգ այլ մանրամասների համար զանգահարելКвартира 1 комнатная, полностью отремонтирована, оборудована всеми коммуникациями, так же есть система baxi, подробности по телефону.",Nov-25-2022_14-03,,,https://list.am/en/item/15774285
Stone,No,Not available,3,63 sq.m.,3,1,from 2.7 m,3,Closed balcony,,Major Renovation,"Vardanyan St, Jermuk","$37,000",USD,"The apartment is located in the center of Ajapnyak district of Jermuk city, in front of Anush hotel. The apartment is airy. With all utilities: Heating system, parquet is wooden, entrance door is iron, windows are euro, windows are granite. For sale with furniture. A garage with a basement the size of two garages is for rent.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/16461115
