Elevator,Floors in the Building,Room Area,Renovation,Balcony,Floor,Number of Guests,Children Are Welcome,Pets Allowed,Prepayment,Utility Payments,Address,Price,Currency,Description,Datetime,Type,Amenities,Appliances,Parking,Links
Not available,1,15 sq.m.,Cosmetic Renovation,Open balcony,1,2,Yes,No,1 month,Included,"Խաչատուր Կեչառեցու փողոց 17, Ծաղկաձոր","5,000 ֏ daily",AMD,Տրվում է վարձով 1սենյականոց բնակարան Ծաղկաձորում օրավարձ 4000դրամ,Nov-25-2022_00-26,Private House,,,,https://list.am/en/item/17935446
Not available,1,30 sq.m.,Cosmetic Renovation,Not available,1,8+,Yes,Yes,By Agreement,By Agreement,"Arzni Highway, Abovyan","15,000 ֏ daily",AMD,"Summer house for daily rent in Arzni. The summer house is provided with all utilities, the size of the pool is 6m. 8 m. Depth 1.5 m. , bisetken for 30 people, 20 kilometers from Versvan, there is gas, dynamicTranslated from Armenian",Nov-25-2022_00-26,,,,,https://list.am/en/item/16310364
Available,4,32 sq.m.,Euro Renovation,Open balcony,1,,,,,,"Zoravar Andranik avenue, Hrazdan","10,000 ֏ daily",AMD,A room is for rent in the city center next to the municipality. Call in case of questions.Translated from Armenian,Nov-25-2022_00-26,,,,,https://list.am/en/item/18359385
Not available,3,14 sq.m.,Euro Renovation,Not available,3,,,,,,Kotayk › Jrvezh,"70,000 ֏ monthly",AMD,"Сдаются две уютные комнати на окраине Еревана в частном секторе в элитном районе. На первых двух этажах живет хозяин, третий под аренду. Отдельний вход с улицы. Общая ванна (душ) и кухня на этаже! 10 минут от центра на машине без пробок. Свежий воздух, вид на горы. Скоростной бесплатный интернет.70.000 драм за комнату + коммунальные.",Nov-25-2022_00-26,,,,,https://list.am/en/item/17500565
Not available,1,50 sq.m.,Designer Renovation,Not available,1,,,,,,Kotayk › Nor Hachen,"170,000 ֏ monthly",AMD,"Cottages with all utilities are for rent. Furnished. There is WiFi, air conditioner, TV. Common kitchen with all amenities. With deposit, utilities includedTranslated from Armenian",Nov-25-2022_00-26,,,,,https://list.am/en/item/17483024
Not available,6,20 sq.m.,Cosmetic Renovation,Open balcony,2,8+,Yes,Yes,By Agreement,Included,"Ավետիք Իսահակյանի փողոց 19, Ծաղկաձոր","150,000 ֏ monthly",AMD,"Принимаются коллективные заявки от 10 человек на жильё в гостиничном комлексе со всеми коммунальными услугами недалеко от Еревана, в самом развитом курорте Цахкадзор недорого.150 000 драм за двухместный номер, с коммунальными оплатами. Сдаются комнаты в Доме Отдыха Наири в Цахкадзоре (50 км от Еревана)Для бронирования звоните по номеру есть Whatsapp, Viber и Telegram.Мы создали всё необходимое для вашего комфортаБесплатный высокоскоростной Wi-Fi по всей территорий и в номерахкоммунальные оплаты включено в стоимостьобщая кухня со всеми принадлежностямистиральные машины общего использованиядвухместный номер 18м2общий балкон на этажаххолодильниксистема общего отоплениябесплатная парковка",Nov-25-2022_00-26,Hotel,,,,https://list.am/en/item/18352198
Available,12,30 sq.m.,Designer Renovation,Not available,2,,,,,,"Kecharetsi St, Tsaghkadzor",$750 monthly,USD,"Сдаётся 1 комнатная квартира в Цахкадзоре в новом комплексе Kechi House, на 2 этаже.Комплекс расположен в 3 минутах езды от центра города и в 5 минутах езды от горнолыжных подъёмников, а также 300м от Казино Шангри Ла.В комнате есть двухместная кровать, раскладной диван, Smart Телевизор, Wi-Fi, холодильник, стиральная машина, электрическая плита, чайник и вся необходимая кухонная посуда. Постельное бельё, полотенца, тапочки, шампунь, зубная паста и т. Д. , отопление и горячая вода.На первом этаже супермаркет.Время заезда с 14:00, выезд в 12:00.* Оплату необходимо внести посредством банковского перевода до приезда*К услугам гостей бесплатная парковкаПосуточно 25.000 др.Ежемесячно 750$",Nov-25-2022_00-26,,,,,https://list.am/en/item/17717680
Not available,3,38 sq.m.,Euro Renovation,Open balcony,2,3,Yes,No,Without prepayment,Included,Kotayk › Proshyan,"200,000 ֏ monthly",AMD,"Գտնվում է Երևան Աշտարակ մայրուղու վրա, 15 թաղամասից 2կմ դեպի ԱշտարակՍենյակը ունի Smart TV, սառնարան, օդորակիչ, պատժգամբ, սանհանգույց, Wi - Fi և կաբելային ինտերնետ, տաք և սառը ջուրՍենյակը 38 մ - 1-օրը-18000դր. Տրամադրվում է երկարաժամկետ տարբերակով։Расположен на трассе Ереван-Аштарак, в 2 км от 15 квартала до Аштарака.В номере есть Smart TV, холодильник, кондиционер, балкон, ванная комната, Wi-Fi и кабельный интернет, горячая и холодная водаКомната 38 м - 1 день20000драм.",Nov-25-2022_00-26,,,,,https://list.am/en/item/17602644
Not available,3,20 sq.m.,Euro Renovation,Open balcony,2,2,Yes,No,Without prepayment,Included,Kotayk › Proshyan,"200,000 ֏ monthly",AMD,"Գտնվում է Երևան Աշտարակ մայրուղու վրա, 15 թաղամասից 2կմ դեպի ԱշտարակՍենյակը ունի Smart TV, սառնարան, օդորակիչ, պատժգամբ, սանհանգույց իր հարմարություններով, Wi - Fi և կաբելային ինտերնետ, տաք և սառը ջուր, Կոմունալ վճարումները և մաքրությունը կապահովենք մենքՍենյակը 20 մ - 1-օրը-15000Расположен на трассе Ереван-Аштарак, в 2 км от 15 квартала до Аштарака.В номере есть Smart TV, холодильник, кондиционер, балкон, ванная комната со своими удобностьями, Wi-Fi и кабельный интернет, горячая и холодная водаКоммунальные услуги и чыстота от насКомната 20 м - 1 день 15000 драм.",Nov-25-2022_00-26,,,,,https://list.am/en/item/17602654
Not available,3,25 sq.m.,Euro Renovation,Not available,2,2,Yes,No,By Agreement,Not included,Kotayk › Jrvezh,"16,000 ֏ daily",AMD,Daily rentԱրժեք The value may vary depending on the number of people: DaysTranslated from Armenian,Nov-25-2022_00-26,,,,,https://list.am/en/item/17834565
Not available,2,21 sq.m.,Euro Renovation,Not available,2,2,No,No,1 month,By Agreement,"Ստեփան Շահումյանի փողոց, Գառնի","100,000 ֏ monthly",AMD,"Уютная отдельная двухместная комната в Гарни. Обшая кухня, душевая и туалет. По вопросам звоните",Dec-15-2022_21-59,Private House,"Internet, parking space","Fridge, stove, washing machine, water Heater, iron, hair dryer",Outdoor parking,https://list.am/en/item/18594149
Not available,5,10 sq.m.,Cosmetic Renovation,Open balcony,1,1,No,No,2 months,By Agreement,Kotayk › Hrazdan,"80,000 ֏ monthly",AMD,"Վարձով է տրվում սենյակ` Հինգ հարկանի քարե շենքի 1-ին հարկում։ Սենյակը լուսավոր է եւ հարմար կահավորված։ Գտնվում է Հրազդան քաղաքում՝ հեռավորությունը Երեւանից 51.88 կմ (40 րոպե), Սեւանից 19.5 կմ (25 րոպե), Ծաղկաձորից 5.34 կմ (10-15րոպե) :Բնակարանում կա ինտերնետ կապ, տաք եւ սառը ջուր, ապահովված է Baxi ջեռուցման համակարգով։Здается комната на первом этаже 5-этажного каменного дома. Комната светлая и удобно обставлена. Находится в городе Раздан - расстояние от Еревана 51.88 км (40минут езды), Севана 19.5км (25минут езды), Цахкадзора 5.34км (10-15 минут езды) В квартире есть интернет связь, холодная и горячая вода. Оборудован системой отопления.Плата за коммунальные услуги - по полам.",Dec-15-2022_21-59,Apartment,,,,https://list.am/en/item/18525189
Not available,2,30 sq.m.,Partial Renovation,Not available,1,3,Yes,Negotiable,1 month,Not included,Kotayk › Ptghni,$150 monthly,USD,Daily and long term 15000 orakan negotiableTranslated from Armenian,Dec-15-2022_21-59,Private House,"Television, parking space",Fridge,Outdoor parking,https://list.am/en/item/18637468
Not available,4,30 sq.m.,Cosmetic Renovation,Open balcony,2,1,Yes,Yes,Without prepayment,Included,"Улица Техерашен, Прошян","200,000 ֏ monthly",AMD,"Здравствуйте, есть гостевой дом в Прощяне (3км от Еревана), вода, бакси, интернет, свет газ все есть. Кухня общая, дом общий, мансарды, зал, сад. У каждого личная комната. Мы уважаем личное пространство каждого. По желанию можете найти соседа и снимать на пополам, мы оборудуем комнату под двух людей для комфортного проживания)Цена комнаты 200т. Д. В месяц с учетом коммуналки.Депозитов нет, комиссий нет.Обстановка не принуждающая, ностальгировать по дому не приходится)",Dec-15-2022_21-59,,,,,https://list.am/en/item/18436137
Not available,3,30 sq.m.,Cosmetic Renovation,Open balcony,2,1,Yes,Yes,Without prepayment,Included,"Улица Техерашен 12, Прошян","100,000 ֏ monthly",AMD,"Здравствуйте, сдается койко-место в большом гостевом доме, можно пользоваться всем домом и садом. В доме есть все комуникации. Рядом с домом магазины, спортзал, кафе.При необходимости оборудуем рабочее место!Без депозитов и комиссий. В стоимость включены комунальные услуги.Обстановка не принуждающая, ностальгировать по дому не приходится)",Dec-15-2022_21-59,,,,,https://list.am/en/item/18531177
Not available,2,25 sq.m.,Partial Renovation,Not available,1,2,No,No,By Agreement,Not included,Kotayk › Jrvezh,"100,000 ֏ monthly",AMD,Apartment for rentTranslated from Armenian,Dec-15-2022_21-59,,,,,https://list.am/en/item/18024963
Not available,2,26 sq.m.,Major Renovation,Open balcony,2,6,Yes,No,2 weeks,Not included,"Գեղարդի Խճուղի 52, Գառնի","13,000 ֏ daily",AMD,"Гостиная для семьи, близко к Еревану (22 км) удобно для длительной остоновки и для кратковременной,освешённые комнаты, удобные спални, душ, кухня рядом есть магазин транспорт проезжает рядом.Для информаци можете звонить по номеру и написать на WhatsApp, Viber.",Dec-15-2022_21-59,Guesthouse,"Television, air conditioner, internet","Fridge, coffee maker, water Heater",Outdoor parking,https://list.am/en/item/18686941
Not available,2,16 sq.m.,Major Renovation,Open balcony,2,4,Yes,Negotiable,By Agreement,Not included,Kotayk › Garni,"13,500 ֏ daily",AMD,"For information, call the number or write to WhatsAppFor more information call.In the village of GarniHotel:For short and long term staysFamilyThe store is on the first floor of the building.On Geghard RoadAmoeba with communal conditions.Translated from Armenian",Dec-15-2022_21-59,Guesthouse,"Television, air conditioner, internet, parking space","Fridge, coffee maker, water Heater",Outdoor parking,https://list.am/en/item/18662154
Not available,3,20 sq.m.,Major Renovation,Open balcony,2,2,Yes,Negotiable,Without prepayment,Included,Kotayk › Tsakhkadzor,"20,000 ֏ daily",AMD,Intended for 2-4 personsTranslated from Armenian,Dec-15-2022_21-59,Hotel,"Television, internet, parking space","Fridge, coffee maker, washing machine, iron, hair dryer",Outdoor parking,https://list.am/en/item/18613234
Not available,1,12 sq.m.,Major Renovation,Not available,1,2,No,No,By Agreement,By Agreement,Kotayk › Balahovit,"80,000 ֏ monthly",AMD,Сдаётся комната. Все удобства есть. Новый мебель.,Dec-15-2022_21-59,Private House,"Television, internet, parking space","Fridge, stove, microwave, washing machine, water Heater, iron, hair dryer",Outdoor parking,https://list.am/en/item/18603993
Not available,2,25 sq.m.,Major Renovation,Open balcony,2,,,,,,Kotayk › Zar,"200,000 ֏ monthly",AMD,The 2nd floor of a two-story stone building is for rent. Utilities are available. The building is located 10 km from the city of Abovyan. For more information call.Translated from Armenian,Dec-15-2022_21-59,,,,,https://list.am/en/item/18410597
Not available,1,28 sq.m.,Major Renovation,Not available,1,2,Negotiable,No,1 month,Not included,Kotayk › Arinj,"150,000 ֏ monthly",AMD,"One room, kitchen, bathroom, capital building, renovated, uninhabited, fully furnished, call for detailsTranslated from Armenian",Dec-15-2022_21-59,Apartment,Television,"Fridge, stove, washing machine, water Heater",,https://list.am/en/item/18653013
Not available,1,30 sq.m.,Cosmetic Renovation,Not available,1,2,Yes,Negotiable,1 month,Not included,"Jrvezh 6-th street, Jrvej","100,000 ֏ monthly",AMD,"A room for rent in Jrvezh, newly renovated, uninhabited. All utilities are available.Translated from Armenian",Dec-15-2022_21-59,Private House,,"Stove, water Heater",,https://list.am/en/item/18709231
Not available,1,24 sq.m.,Euro Renovation,Not available,1,8+,Yes,Negotiable,By Agreement,By Agreement,Kotayk › Abovian,"130,000 ֏ monthly",AMD,It is a renovated roomTranslated from Armenian,Dec-15-2022_21-59,Guesthouse,"Television, air conditioner, internet, parking space","Fridge, stove, microwave, washing machine",Outdoor parking,https://list.am/en/item/18689681
Not available,2,50 sq.m.,Cosmetic Renovation,Not available,1,2,Negotiable,No,By Agreement,By Agreement,"38-я улица 3/1, Зовуни","100,000 ֏ monthly",AMD,Сдаю в аренду 2 комнаты в своём частном доме. Комната находиться на первом этаже.Более подробно по телефону.Վարձով եմ տալիս 2 սենյակ իմ առանձնատանը։ Սենյակը գտնվում է առաջին հարկում։Մանրամասների համար զանգահարեք մշված հեռախոսահամարին։,Dec-15-2022_21-59,Private House,"Television, internet, parking space","Fridge, stove, washing machine, water Heater",Outdoor parking,https://list.am/en/item/18620009
Not available,2,20 sq.m.,Designer Renovation,Open balcony,2,8+,Yes,Yes,By Agreement,Not included,"Մասիսի փողոց 38, Ձորաղբյուր","5,000 ֏ daily",AMD,Տրվում են վարձով սենյակներ Ձորաղբյուրում.Сдаются комнаты в Дзорахбюр.Rooms on rent in Dzoraxbyur.,Dec-15-2022_21-59,Guesthouse,,,,https://list.am/en/item/18578999
Not available,2,25 sq.m.,Cosmetic Renovation,Open balcony,2,3,No,No,1 month,Not included,"Zovuni 6 street, Zovuni","80,000 ֏ monthly",AMD,"A house is for rent on the 0th floor of a 2-storey building. Separate entrance. Bathroom and tub outside. The house is not furnished. Several cars can be parked in the yard. Transport from 100 meters. There are shops, a pharmacy, a school, a kindergarten in the area. 1.5 kilometers from Davitashen. Call for detailsTranslated from Armenian",Dec-15-2022_21-59,Private House,,,Outdoor parking,https://list.am/en/item/18374476
Not available,1,35 sq.m.,Euro Renovation,Open balcony,1,3,Yes,No,By Agreement,Included,Kotayk › Garni,"15,000 ֏ daily",AMD,A one-room apartment with all household amenities is for daily rent.Translated from Armenian,Dec-15-2022_21-59,Guesthouse,"Television, internet, parking space","Fridge, stove, coffee maker, washing machine, drying machine, water Heater, iron, hair dryer","Outdoor parking, covered parking",https://list.am/en/item/18674049
Available,4,12 sq.m.,Major Renovation,Not available,4,2,Negotiable,No,1 month,By Agreement,Kotayk › Hrazdan,"75,000 ֏ monthly",AMD,"Hello, dear roommate. We are a couple. We don't have children either, we have a house in Hrazdan that has been completely renovated. This house includes living room, kitchen, two bedrooms, bathroom and toilet with all facilities. We would like to rent one of the bedrooms on a monthly or yearly basis to a Russian couple or lady to live with us. The use of other parts of the house is unimpeded and you can use all the facilities. The bill money for all energy costs is split between us and you. We are a quiet and clean couple. We expect you to observe cleanliness. Hrazdan is a quiet city with good weather. There are good recreation and tourism areas near Hrazdan. Many Russian friends live in Hrazdan. Please send us a message. Because we understand a little Russian.",Dec-15-2022_21-59,Private House,"Television, air conditioner","Fridge, stove, microwave, washing machine, drying machine, water Heater",Outdoor parking,https://list.am/en/item/18665277
Not available,2,24 sq.m.,Euro Renovation,Not available,1,4,Yes,No,1 month,Not included,"Zovuni 6 street, Zovuni","90,000 ֏ monthly",AMD,"The basement of a private house in Zovuni is for rent with a 24 square meter area. Newly built, renovated and uninhabited. The entrance door is iron, the bathroom is new and separate.Translated from Armenian",Dec-15-2022_21-59,Private House,,,Outdoor parking,https://list.am/en/item/18659892
Not available,2,30 sq.m.,Major Renovation,Not available,2,2,No,Yes,Without prepayment,Included,Kotayk › Hrazdan,"15,000 ֏ daily",AMD,"Уютные комнаты. Есть все удобства. Душевая санузел, интернет ТВ.В 5 км от туристического города Цагнкадзор.",Dec-15-2022_21-59,,,,,https://list.am/en/item/18431913
Not available,1,35 sq.m.,Major Renovation,Not available,1,2,Negotiable,No,Without prepayment,Included,Kotayk › Abovian,"17,000 ֏ daily",AMD,"Քաղաք Աբովյանում օրավարձով են տրվում քոթեջներ, առկա է բացօթյա ավտոկայանատեղի, կոմունալ բոլոր հարմարությունները առկա են, տարածքը պարսպապատված է ձեր ապահովության և հանգստության համար, շուրջօրյա սպասարկում, ընդհանուր խոհանոցից օգտվելու հնարավորություն, հնարավոր է ներկարաժամկետ վարձակալություն։4 հատ 1սենյակ 6ժ-7000 1օրը-17,0002 հատ 2սենյակ 6ժ-11,000 1օրը-22,0001 հատ ջակուզիով սենյակ 6ժ-11,000 1օրը-22,000Сдаются коттеджи посуточно в городе Абовян, есть открытая стоянка, подведены все коммуникации, территория огорожена забором для вашей безопасности и спокойствия, круглосуточное обслуживание, возможность пользования общая кухня, возможна краткосрочная аренда.",Dec-15-2022_21-59,Hotel,"Television, air conditioner, parking space","Washing machine, drying machine, iron, hair dryer",Outdoor parking,https://list.am/en/item/18593525
Not available,2,200 sq.m.,Partial Renovation,Not available,2,2,No,Negotiable,2 months,Included,Kotayk › Garni,"80,000 ֏ monthly",AMD,"Сдаём комнату на 2 этаже своего частого дома. Хорошее отопление, кухня со всей необходимой посудой и техникой включая стиральную машину, безлимитный Интернет, ремонт простой, красивый вид на горы, рядом остановка автобуса, магазин, все достопримечательности в пешей доступности. Можно пользоваться общей гостиной для работы. Гарни, пол часа на автобусе от Еревана. 80 тыс драм, оплата за первый и последний месяц. Животные обсуждаются. Кровать в комнату предоставим. Сергей",Dec-15-2022_21-59,Private House,"Internet, parking space","Fridge, stove, coffee maker, washing machine, water Heater, iron, hair dryer",Outdoor parking,https://list.am/en/item/18605071
Not available,3,12 sq.m.,Cosmetic Renovation,Open balcony,2,4,Yes,Yes,By Agreement,Included,Kotayk › Charentsavan,"15,000 ֏ daily",AMD,"Сдается посуточные комнаты недалеко от г. Чаренцаван.Комнаты с косметическим ремонтом.Высокоскоростной интернет, бесплатный WI-FIЗвонить на WhatsApp",Dec-15-2022_21-59,Hotel,,,,https://list.am/en/item/18429239
Not available,1,40 sq.m.,Euro Renovation,Not available,1,4,Yes,Yes,1 month,Not included,"10-я улица 1, Арзни","150,000 ֏ monthly",AMD,Сдаются комнаты в аренду. 2 комнаты. В каждой Сан. Узел + телевизор + Wi-Fi + раскладной диван + двухспальная кровать.,Dec-15-2022_21-59,Guesthouse,,,,https://list.am/en/item/18432221
Not available,2,20 sq.m.,Cosmetic Renovation,Not available,2,2,Yes,Yes,1 month,Included,"Hrazdan street, Yerevan","450,000 ֏ monthly",AMD,"Сдаются двухэтажные коттеджи со всеми удобствами, завтрак включен, месячная аренда 450000 драм, возможна посуточная аренда:",Dec-15-2022_21-59,,,,,https://list.am/en/item/18414861
