Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Amenities,Appliances,Elevator,Parking,Room Area,Balcony,Floor,Links
House,Stone,300 sq.m.,2,2,1,,,Cosmetic Renovation,700 sq.m.,3,Yes,Yes,Not included,By Agreement,Tavush › Dilijan,"200,000 ֏ monthly",AMD,"Дача для отдыха находитьс не долеко от центра! Есть все удобство вид из балкона очень хорошии, имметтся своя бисетка мангал и тд! Все на фотографии видно по вопросам званте!Дом можно суточно тоже арендоватьДень-24000 драм! Отопление есть (пары) горячая вода есть все удобство",Nov-24-2022_22-59,,,,,,,,https://list.am/en/item/18125966
House,Stone,360 sq.m.,3,4,3+,Available,Not available,Designer Renovation,600 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"120,000 ֏ daily",AMD,"Anuki-Tanuki - House in Dilijan_* swimming pool* sauna* living room* Fireplace* 4 bedrooms* 4 bathrooms* Large kitchen* green yard* barbecue* pavilion - 30 + people——* 14 people——Admission: 14:00Departure: 12:00——For details, call, when calling, mention: Anuki - Tanuki...-Dilijandaily rentprivate houserent housesreal estaterenthousesfor daily rentNew YearNew YearCode AnukiTanTranslated from Armenian",Nov-24-2022_22-59,,,,,,,,https://list.am/en/item/16836078
Country House,Stone,1000 sq.m.,2,5,3+,Available,Not available,Major Renovation,1500 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"140,000 ֏ daily",AMD,Luxurious private house with pool and sauna in Dilijan is for daily rent.The house is located on the road from Dilijan to Kirovakan.* Sauna* Swimming pool (inside or outside the house)* 4 bedrooms* 3 bathrooms* 2 living rooms where there is a fireplace* Summer kitchen with all its amenities* Pavilion (up to 30 people)* WI-FI-internet* 6 car parkingThe house can accommodate 10-12 people overnight.Check in - 14:00:Check out - 12:00:Call in advance to make a reservation.Translated from Armenian,Nov-24-2022_22-59,,,,,,,,https://list.am/en/item/14179113
Country House,Stone,1000 sq.m.,2,5,3+,Available,3 or more spots,Major Renovation,,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"100,000 ֏ daily",AMD,"Օրվարձով է տրվում առանձնատուն թաղամասում։4 ննջարան,3 սանհանգույց,մեծ հյուասենյակ,բուխարի,բացպատժգամբ,լվացքատուն,սպասք,անկողնային պարագաներ,մանղալ (խորովածի շիշ),Ինտերնետ wi-fi,սպասք լվանալու մեքենա,SMart tv հեռուստացույց,տաղավար մինչև 30 անձի համար,Տանը գիշերակացով կարող է տեղավորել մինչև 10-12 անձ։Check in (մուտք) – 14:00Check out (ելք) – 12:00",Nov-24-2022_22-59,,,,,,,,https://list.am/en/item/14179772
Country House,Stone,1000 sq.m.,2,5,2,Available,2 spots,Cosmetic Renovation,,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"70,000 ֏ daily",AMD,"ՈՒՇԱԴՐՈՒԹՅՈՒՆ... Ամանորին տան արժեքը կլինի դեկտեմբերի 31-ից 5-ը՝ 600.000 դրամ։Օրավարձով է տրվում տուն Դիլիջանում։4 ննջարանԻնտերնետ՝ wi-fi,մշտական տաք և սառը ջուր,կենտրոնացված ջեռուցում (baxi),սպասք,անկողնային պարագաներ,Տանը գիշերակացով կարող է տեղավորել մինչև 12 անձ։Անկացրեք ձեր հանգիստը գեղատեսիլ Դիլիջանում։Ամրագրելու համար զանգահարել նախապես:",Nov-24-2022_22-59,,,,,,,,https://list.am/en/item/14178588
Country House,Monolith,1000 sq.m.,3,6,3+,Available,1 spot,Designer Renovation,3000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"150,000 ֏ daily",AMD,"* 4 bedrooms* 5 bathrooms* Barbecue, tonir (barbecue bottle)* Tableware, bedding* Sauna without time limit* Pavilion* WI-FI:* parkingThe house can accommodate up to 13 people with accommodation, 25 people without accommodation.From Monday to Thursday, 150,000 drams.From Friday to Sunday, 150,000 - 180,000 drams.Spend your vacation in beautiful Dilijan.Call in advance to make a reservation.Check-in: From 14:00Check-out: Until exit 12:00Translated from Armenian",Nov-24-2022_22-59,,,,,,,,https://list.am/en/item/17311279
Country House,Stone,500 sq.m.,2,2,1,Available,3 or more spots,Designer Renovation,500 sq.m.,5,Yes,No,Included,By Agreement,Tavush › Dilijan,"90,000 ֏ daily",AMD,"! At the moment, the action is valid until 31-12-2021.Luxurious cottages are for daily rent in Dilijan.* 1 living room* 2 bedrooms* 1 bathroom* barbecue* spacious yard* children's playroom* PlayStation:* Poker table* dishes, bedding* wi-fi, smart tv TVCheck in - 14:00:Check out - 12:00:It can accommodate up to 6 people per night.It will be located after the bends of Dilijan, right at the beginning.Translated from Armenian",Nov-24-2022_22-59,,,,,,,,https://list.am/en/item/14179386
Country House,Monolith,1000 sq.m.,2,5,2,Available,Not available,Designer Renovation,2000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"80,000 ֏ daily",AMD,"Օրավարձով է տրվում շքեղ վիլլա, առանձնատուն Դիլիջանում։Տունը գտնվում է Դիլիջանի կենտրոնից ոչ հեռու` Թաղտա թաղամասում։• 4 ննջարան (2-ում երկտեղանի, 2-ում մեկտեղանի մահճակալներ)• 2 սանհանգույց• մանղալ (փայտ)• խաշլամայի հատուկ կրակով (փայտով) պատրաստելու հնարավորություն• Հյուրասենյակ• Կահույք, տեխնիկա• Սպասք, անկողնային պարագաներ• գեղեցիկ այգի• ինտերնետ wi-fiՏունը գտնվում է գեղեցիկ, կանաչապատ բնության գրկում։Դրսում առկա է սեղան, աթոռ մինչև 15 անձի համար։Check in (մուտք) – 15:00Check out (ելք) – 12:00Գինը պայմանագրային կապված շաբաթվա, անձերի և օրերի քանակից։Ամրագրելու համար զանգահարել նախապես։Ամրագրումը կատարվում է կանխավճարով։Կոդ Takht",Nov-24-2022_22-59,,,,,,,,https://list.am/en/item/14180578
Country House,Monolith,1000 sq.m.,2,7,3+,Available,Not available,Major Renovation,2000 sq.m.,8+,No,No,Included,By Agreement,Tavush › Dilijan,"100,000 ֏ daily",AMD,"Luxurious villa, private house in the center of Dilijan is for daily rent.* 6 bedrooms* 3 bathrooms (1st floor, 2nd floor and outside)* 2 fireplaces on the 1st and 2nd floors* Barbecue (barbecue bottle)* Pavilion (up to 30 people),* tableware, bedding* wi-fi internetCheck in - 14:00:Check out - 12:00:The house can accommodate up to 15 people with accommodation, up to 30 without accommodation.Call in advance to make a reservation.Translated from Armenian",Nov-24-2022_22-59,,,,,,,,https://list.am/en/item/14178890
House,Stone,150 sq.m.,2,4,1,,,Cosmetic Renovation,300 sq.m.,6,Yes,No,Not included,By Agreement,"Andranik Street, Dilijan station","300,000 ֏ monthly",AMD,"Двухэтажный дом от собственника. Есть беседка с мангалом. 1 двуспальная кровать, 2 односпальные, 2 дивана.Translated from Armenian",Nov-24-2022_22-59,,,,,,,,https://list.am/en/item/18040621
House,Stone,200 sq.m.,2,3,1,,,Euro Renovation,1300 sq.m.,,,,,,Tavush › Dilijan,"5,000 ֏ daily",AMD,A 3-bedroom apartment is for rent on Yakobjanyan Street.Translated from Armenian,Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/18064938
House,Stone,200 sq.m.,1,8+,3+,Available,2 spots,Euro Renovation,300 sq.m.,8+,Yes,Yes,Included,By Agreement,Tavush › Dilijan,"30,000 ֏ daily",AMD,"Daily rent guest house in Aygut village, Gegharkunik marz, 25 km from Dilijan on the interprovincial highway to Chambarak, in front of the forest, on the side of the road, separate rooms are also for rent, or for single people, has an outdoor pavilion, constant hot and cold water, kitchen, with its own facilities, free high-speed WiFi, barbecue, parking for 2 cars, children's corner, fresh air, delicious traditional dishes, pure village food, warm welcome, and free medical consultationTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17960674
House,Stone,1000 sq.m.,2,6,3+,,,Major Renovation,,,,,,,Tavush › Dilijan,"30,000 ֏ daily",AMD,"Code 056:ATTENTION!Read the full description of the house, the requirements, the rules of prepaymentApartment for daily rent in Dilijan.1 day 30,000 AMD (2 people)2 big 2 children or 3 big-35000 AMD4 large 40,000 AMDThe house has:Bedroom: 1 piece (6 pieces)Living room: 1 piece (6 pieces)Bathroom - 1 piece in each roomBarbecue, recreation area, internet, parking, bed linen and towels Kitchen, kitchen appliances, Kitchen utensils heating / cooling, well-maintained green yard, necessary accessories,Provisions:+ Entrance 13.00 Exit 12.00+ In case of staying till the evening, the price of 1 day is charged+ ADVANCE is required to book the house.+ In case of cancellation of your reservation, the prepayment is NOT refundable+ Other prepayment cases are subject to consideration (for example, canceling one house and booking another house through us)+ After submitting the prepayment coupon (Viber, WhatsApp or other version) BOOKING IS CONFIRMED.Dear customer, to get acquainted with all our announcements, click on NAME.We also offer you gift cards worth 10,000-15,000-25,000-35,000-50,000 AMD.Code Kod 056Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/12090217
House,Stone,60 sq.m.,2,3,2,,,Major Renovation,,,,,,,Tavush › Dilijan,"20,000 ֏ daily",AMD,"Code 041.1-----ATTENTION-----Read the full description of the house, terms and conditions, down payment rulesA private house is for daily rent in Dilijan on Getapnya StreetThe house is provided on a daily basis1 day 20,000 drams for two people, 6,000 drams per day for 3 + peopleThe house has two floors, both floors are provided separately with separate entrance, yard and pavilion, this is the second floorEach floor has 2 bedroomsLiving room with 1 sofa bedBathroom and bathtub: 1 pcA tent with its own barbecue and bottles is provided; internet, parking, bed linen and towels, kitchen, kitchen appliances, kitchen utensils, heating,1 floor 25,000 dramsProvisions+ Entry 13.00 Exit 12.00+ If you stay until evening, the price of 1 more day will be charged+ PREPAYMENT is REQUIRED to reserve the house.+ If you cancel the reservation, the advance payment is NOT refundable+ Other cases related to advance payment are subject to negotiation (eg canceling one house booking another house through us)+ After presenting the advance payment voucher (Viber, WhatsApp or other option) BOOKING IS CONFIRMED.Dear customer, click on the NAME to get acquainted with all our announcements.We also offer you gift cards worth 10,000-15,000-25,000-35,000-50,000 AMD.Code Kod041-1Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/13361018
Country House,Stone,200 sq.m.,3,7,3+,,,Major Renovation,1000 sq.m.,,,,,,Tavush › Dilijan,"140,000 ֏ daily",AMD,"Code 0131:--ATTENTION -----Read the full description of the house, the requirements, the rules of prepaymentA luxurious private house is for daily rent near the forest in Dilijan140,000 drams per dayThere are 6 bedrooms with bathrooms, 5 with Jacuzzi, 1 with cabin + 1 bathroom with saunasauna (4 hours 40,000 AMD) 1-3 hours 20,000 AMDtable tennis, billiards, children's playground, backgammon chess, rocking chairThere are 2 private houses in the area where only 40 people will be accommodatedProvisions:+ Entrance 13.00 Exit 12.00+ In case of staying till the evening, the price of 1 day is charged+ 1 child up to 5 years old free of charge 2 children Price per person;+ ADVANCE PAYMENT is required to book the house.+ In case of cancellation by you, the prepayment is NOT refundable+ Other prepayment cases are subject to consideration (for example, canceling one house and booking another house through us)+ After submitting the prepayment coupon (Viber, WhatsApp or other version) BOOKING IS CONFIRMED.Dear customer, to get acquainted with all our announcements, click on NAME.We also offer you gift cards worth 10,000-15,000-25,000-35,000-50,000 AMD.Code Kod 0131Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/12155148
House,Stone,80 sq.m.,1,3,1,Available,2 spots,Major Renovation,1000 sq.m.,5,Yes,No,Included,By Agreement,Tavush › Dilijan,"30,000 ֏ daily",AMD,"Կոդ 0129Օրավարձով առանձնատուն Դիլիջան Հաղարծինում գետի ափին1 օրը 30,000 դրամ2 տաղավար, 2 ննջարան, 1 հյուրասենյակ, ջեռուցումը էլեկտրական, ինտերնետ չկա1 սանհնագույց լոգարան, սպասք սպիտակեղեն տեխնիկա.Կոդ kod 0129",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/13055407
Country House,Stone,200 sq.m.,3,5,2,Available,Not available,Major Renovation,700 sq.m.,8+,Yes,Yes,Included,1 month,"Parz Lich street, Dilijan station","25,000 ֏ daily",AMD,"Օրավարձով է տրվում առանձնատուն Դիլիջան համայնքում։ Առանձնատունը ապահովված է բոլոր կոմունալ և կենցաղային պայմաններով։Տունը գտնվում է Հաղարծին վանական համալիրի մոտակայքում։Ննջարան֊4Հյուրասենյակ֊2Խոհանոց֊1Սանհանգույց֊2Նախատեսված է մինչև 12 անձի համար։Ապահովված է կոմունալ բոլոր հարմարություններով, մշտական տաք և սառը ջուր, գազ։Առկա է անհրաժեշտ սպասք, խորովածի շշեր և փայտ։Տան աշխարհագրական դիրքի առանձնահատկություններից մեկը կայանում է նրանում, որ գտնվում է Պարզ լճի, Գոշավանքի, Հաղարծին վանական համալիրի ճանապարհների վրա։",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/16190014
House,Stone,200 sq.m.,2,6,2,Available,3 or more spots,Major Renovation,,8+,Yes,Yes,By Agreement,1 month,Tavush › Dilijan,"25,000 ֏ daily",AMD,"A two-storey private house is for daily rent in Dilijan community. The house has 4 bedrooms, 2 living rooms, 2 kitchens, 2 bathrooms.It is provided with all the communal amenities, including constant hot and cold water, gas.Is available.PavilionParking:BeddingTablewareBarbecueBarbecue bottlesWe can accept 12-15 people at the same time.Call the mentioned phone number for details.Call the mentioned phone number for additional pictures.Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/14499582
House,Stone,100 sq.m.,1,2,1,Available,3 or more spots,Cosmetic Renovation,2400 sq.m.,5,Yes,Yes,By Agreement,By Agreement,"Sayat-Nova Street, Dilijan station","5,000 ֏ daily",AMD,"The house is located on Sayat-Nova Street.Regardless of the number of people, the house costs 5000 drams.In case of questions, please call the indicated phone number.Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/12674983
House,Stone,700 sq.m.,2,4,1,Available,Not available,Euro Renovation,1000 sq.m.,7,Yes,Yes,By Agreement,By Agreement,"Getapnya street, Dilijan station","25,000 ֏ daily",AMD,"PRIVATE HOUSE. A holiday home in the cozy nature of Dilijan.The cost of one day is AMD 30,000.For the best entertainment, visit Dilijan Recreation Area.This cozy corner is located in the city of Dilijan, Tavush region, where you can organize family events and simply have a good time and relax from everyday worries.We have created all the facilities for your complete relaxation, as well as for organizing a beautiful and memorable event.To make a reservation, call the specified tel. By number.There is a pavilion, yard, barbecue, constant hot and cold water, parking space, dishes, toiletries. There is a shopping center nearby.Haghartsin monastery complex, Parz lake, Goshi church are nearby. To make a reservation, call the indicated number.Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17065808
House,Stone,500 sq.m.,2,3,1,Available,2 spots,Euro Renovation,800 sq.m.,7,Yes,Yes,By Agreement,By Agreement,Tavush › Dilijan,"25,000 ֏ daily",AMD,"It is given on a daily basis. Haghartsin church, Parz lake, Goshi church are nearby.There is a shopping center, a parking lot, a barbecue, a pavilion. We could not post the pictures due to a technical problem, if you wish, write to the viber of the specified number or call the specified number.Available:MANGAL,TRADE point,dishesBeddingparking lot.Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17225353
House,Stone,100 sq.m.,2,3,1,Available,3 or more spots,Designer Renovation,5000 sq.m.,8+,Yes,Yes,Included,By Agreement,Tavush › Dilijan,"25,000 ֏ daily",AMD,"Guest house, daily rent house in Dilijan with all utilities. Designed for up to 7 people + 2 people in a wooden cabin. In the yard there is a pavilion for up to 20 people, a summer kitchen.A stream runs through the garden + a pavilion on the river bank. Kitchen and bathroom accessories, barbecue bottles, wf, smart TV, parking are provided. It is heated with a bac system, heated floor.Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/16333495
House,Stone,86 sq.m.,1,3,2,Available,Not available,Designer Renovation,270 sq.m.,6,Yes,No,By Agreement,By Agreement,Tavush › Dilijan,"50,000 ֏ daily",AMD,3 bedroomsliving roomFireplace2 bathroomskitchenpavilionbarbecuespacious balconygreen garden**7 people**check in 14:00:Check out 12:00:Code Tun94Translated from Armenian,Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17404448
House,Stone,110 sq.m.,2,2,2,Available,Not available,Designer Renovation,480 sq.m.,6,Yes,No,By Agreement,By Agreement,Tavush › Dilijan,"83,000 ֏ daily",AMD,2 ննջարանհյուրասենյակխոհանոց2 սանհանգույցմանղալպատշգամբլողավազան**6 անձ**check in 14:00check out 12:00Կոդ auroraTranslated from Armenian,Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17288625
House,Stone,200 sq.m.,2,4,2,Available,Not available,Major Renovation,450 sq.m.,8+,Yes,No,By Agreement,By Agreement,Tavush › Dilijan,"35,000 ֏ daily",AMD,4 bedrooms-living roomkitchen2 bathroomsopen balconybarbecuepavilion for 25 people**10 people**check in 14:00:Check out 12:00:Code voskeharTranslated from Armenian,Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17277638
House,Stone,54 sq.m.,2,2,1,Available,Not available,Designer Renovation,120 sq.m.,5,Yes,No,By Agreement,By Agreement,Tavush › Dilijan,"40,000 ֏ daily",AMD,2 ննջասենյակսանհանգեւյցհյուրասենյակպատշգամբ**5-6 անձ**check in 14:00check out 12:00Կոդ river,Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17960828
House,Stone,250 sq.m.,3,5,3+,Available,1 spot,Designer Renovation,380 sq.m.,8+,Yes,No,By Agreement,By Agreement,Tavush › Dilijan,"130,000 ֏ daily",AMD,Զանգահարելիս նշել Panorama Dilijan guest house**5 ննջասենյակ5 սանհանգույցշոգեբաղնիքմեծ հյուրասենյակխոհանոցբաց պատշգամբկանաչապատ բակմանղալ**10-12 անձ**check in 14:00check out 12:00Կոդ panoramaTranslated from Armenian,Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17268901
House,Stone,300 sq.m.,2,4,2,,,Designer Renovation,250 sq.m.,,,,,,Tavush › Dilijan,"55,000 ֏ daily",AMD,"House for rent in Dilijan, in the center of DilijanThe house is two-storey, has a beautiful pavilion with a barbecue, where you can spend an interesting time.On the ground floor there is a living room, a fireplace room, (fireplace), a kitchen, a bathroom; On the second floor, 3 comfortable rooms, designed for children, a bathroom, a balcony from where the beautiful nature of Dilijan opens. The house has all the amenities,WiFi:Smart TVHeating:Washing machineFor all other information call the mentioned phone number. Admission from 1200. Departure 13:00; A LONG-TERM DISTRIBUTION CALL IS ALSO GIVENTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/16815218
House,Monolith,240 sq.m.,3,6,3+,,,Designer Renovation,1200 sq.m.,,,,,,Tavush › Dilijan,"72,000 ֏ daily",AMD,"Yengibars Family house Located in the lap of beautiful Dilijan, at 51, 1st Street, Teghut, Dilijan. We offer luxurious interiors, spacious rooms, comfortable and bright rooms for complete relaxation. The guest house has 1 spacious living room + kitchen, 5 bedrooms with balconies, 4 bathrooms. Crockery, bedding and toiletries are also provided.850,000 AMD per month for long-term lease, negotiable.Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/18072786
Country House,Stone,800 sq.m.,3,7,3+,Available,3 or more spots,Major Renovation,200 sq.m.,8+,Yes,No,By Agreement,By Agreement,Tavush › Dilijan,"70,000 ֏ daily",AMD,"Օրավարձով 3 հարկանի առանձնատուն լողավազան շոգեբաղնիք Դիլիջանի կենտրոնի մոտ5 ննջարան2 հյուրասենյակ3 սանհանգույց՝ ամեն հարկումՓակ լողավազան՝ 2մ խորությամբ, չի տաքացվումՇոգեբաղնիքՍպասքԱնկողնային պարագաներբաց պատշգամբբուխարիջեռուցվում է բաքսի համակարգովմշտական տաք և սառը ջրովԳիշերակացով ՝ 13 անձԳԻՆԸ ՊԱՅՄԱՆԱԳՐԱՅԻՆՏՈՆ ՕՐԵՐԻՆ ԱՐԺԵՔԸ ԱՅԼ ԷԿոդ A-084",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/12391480
