Type,Land Area,Address,Price,Currency,Description,Datetime,Links,Service Lines
For General Purpose,"10,000 sq.m.",Vayots Dzor › Yeghegnadzor,"20,000,000 ֏",AMD,"1 hectare land is for sale in Getap village, where there is a 200 sq / m swimming pool, there are 450 fruit trees, suitable for any business activity.Translated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/16384231,
For Residential Development,400 sq.m.,"Erevanyan street, Yeghegnadzor","$4,500",USD,"Land for residential buildings is for sale. Address: Vayots Dzor Marz, c. Yeghegnadzor, Khndzor Park district, plot 17. It is located near the Yerevan highway. Call for remaining questions. The price is negotiable.Call 89608947513 (Viber, WhatsApp) Evgenia.Translated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/18034081,
Agricultural,"26,000 sq.m.",Vayots Dzor › Yeghegnadzor,"$77,000",USD,8300 sq. M. Orchard and 18000 sq. M. Arable land (grass floor) is for sale. It is located in Aghavnadzor village of Vayots Dzor region. The plot is located in one place (together) flat area.Call for questions. We will agree on the price. Call 098.Translated from Armenian,Nov-25-2022_00-52,https://list.am/en/item/14218309,
Agricultural,"10,000 sq.m.",Vayots Dzor › Yelpin,"$33,000",USD,The total area of the fruitful poplar garden is for sale with 1 hectare of full string and spatula. Urgent. For other questions call: $ 4 per square meterTranslated from Armenian,Nov-25-2022_00-52,https://list.am/en/item/17288572,
Agricultural,3270 sq.m.,Vayots Dzor › Yeghegnadzor,"$14,500",USD,Vineyard for sale in Yeghegnadzor village. Adjacent to the main road in Aghavnadzor. There are fruit trees. I will bargain for the real buyer.Translated from Armenian,Nov-25-2022_00-52,https://list.am/en/item/17377272,
For Residential Development,900 sq.m.,Vayots Dzor › Yeghegnadzor,"$4,000",USD,"900 sq. M. Land near the house is for sale in Yeghegnadzor, at 6 Meghapart 6, Nor Avan district, UrgentTranslated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/16261631,
Agricultural,1130 sq.m.,Vayots Dzor › Yeghegnadzor,"$13,000",USD,"ATTENTION: It is not an agencyTwo certificates of orchard for sale in Yeghegis village, Vayots Dzor region, at the bottom of the road, the land ends directly near the river, v. Yeghegis, Drinking water for irrigation. The area is surrounded by beautiful mountains, vegetation, wildlife (bears, goats), it is an ideal place to build a hotel, a cottage. The Sun guest house operates in the village, tourism is developing.Translated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/14660389,
Agricultural,2500 sq.m.,Vayots Dzor › Areni,"$11,900",USD,"The land is located at the beginning of the highway entering Areni village. It is 70 meters long in front of the road. There are apricots. , fruit trees of peach, plum, apple and pear. There are also some grape vines of some varieties.We have planted more than 20 walnut trees on the slope, most of which are already fruitful. If we calculate that area, it will be 4000 square meters. It is also possible to do business - For example, to provide a gas station (there is no space) or a parking lot for trucks.Translated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/16746832,
For General Purpose,2800 sq.m.,Vayots Dzor › Zedea,"$18,000",USD,"It is located on the way to Vaik, right on the river bank. It is a flat space.Translated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/18162225,
For General Purpose,1200 sq.m.,Vayots Dzor › Getap,"5,000,000 ֏",AMD,We pay 1200 sq. M. M. Land next to the house. Very far from the main road. Passing from the hip. Gas. Ju. Light: Call for other questionsTranslated from Armenian,Nov-25-2022_00-52,https://list.am/en/item/18203532,
For Public Buildings,350 sq.m.,Vayots Dzor › Jermuk,"$24,000",USD,"I present to you a wonderful, profitable business plot of land with a public purpose permit. The land is located in the resort town of Jermuk, next to the Gndevank restaurant, right on the edge of the road, which will allow every passerby to see, admire and use your business.The land has all the possibilities of electricity, gas and water supply.It is possible to design and build a restaurant, a hotel, create a resort environment and a multi-functional profitable recreation area.Make the right investment and increase your monopoly with another profitable program.Translated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/18144397,
For General Purpose,2600 sq.m.,Vayots Dzor › Yeghegnadzor,"8,000,000 ֏",AMD,"At a distance of 1 km from Yeghegnador, on the main road to the east, cross the bridge between the kalonkas on the river bank. It has three-phase electricity, 20 kilowatts, and drinking waterTranslated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/15606036,
For Public Buildings,36 sq.m.,Vayots Dzor › Yeghegnadzor,"1,700,000 ֏",AMD,It is possible to build a two-storey building of public significance or a residential building. Connected to the sewerage network.Translated from Armenian,Nov-25-2022_00-52,https://list.am/en/item/17864007,
For Public Buildings,150 sq.m.,Vayots Dzor › Yeghegnadzor,"7,000,000 ֏",AMD,"Գտնվում է Եղեգնաձոր քաղաքի կենտրոնում, շատ հարմար է բանկի, վարկային կազմակերպության մասնաճյուղ կառուցելու, հյուրանոց կառուցելու կամ բիզնես նպատակներով ցանկացած շինություն կառուցելու համար։",Nov-25-2022_00-52,https://list.am/en/item/12708908,
Agricultural,2000 sq.m.,Vayots Dzor › Jermuk,"3,000,000 ֏",AMD,Ջերմուկի լճի մոտ,Nov-25-2022_00-52,https://list.am/en/item/15695210,
Agricultural,"50,000 sq.m.",Vayots Dzor › Jermuk,"1,000 ֏",AMD,"Permanent water 700 apricots 700 popcorn.Apple hazelnut quince... The roots of the whole garden are planted with 10,000 poplars... The trees are 13 years old, I will cut them, there are a total of 2000 trees, the cost of 1 square is 1000 AMDTranslated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/15649065,
For General Purpose,1400 sq.m.,Vayots Dzor › Yeghegnadzor,"$3,100",USD,"Urgent. The land is located next to the main road of Yerevan Meghri, near the village of MalishkaTranslated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/18307246,
Agricultural,6000 sq.m.,Vayots Dzor › Aghavnadzor,"$18,000",USD,6000 meters of areni variety with 10 = 12 tons of harvestTranslated from Armenian,Nov-25-2022_00-52,https://list.am/en/item/16450406,
For Industrial Use,6300 sq.m.,Vayots Dzor › Shatin,"$15,500",USD,"Orchard for sale, most of the Orchard is on hard terrain and is suitable for vineyard or vineyard (SEALABLE) for detailed information call the indicated phone number.Translated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/17667369,
For Public Buildings,220 sq.m.,Vayots Dzor › Vayk,"16,500 ֏",AMD,"220 square meters of land for sale in Vaik, near the square. All utilities are very close to the plot. Building permit is available. Urgent. 16500 d, the square.Translated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/17423512,
Agricultural,3440 sq.m.,Vayots Dzor › Areni,"$3,500",USD,A rural plot is for sale.Translated from Armenian,Nov-25-2022_00-52,https://list.am/en/item/18238828,
Agricultural,2900 sq.m.,Vayots Dzor › Areni,"$3,000",USD,A rural plot is for sale.Translated from Armenian,Nov-25-2022_00-52,https://list.am/en/item/18238840,
For Residential Development,860 sq.m.,Vayots Dzor › Jermuk,"$45,000",USD,"The land is located in Jermuk district, first line, with the permission to build a 3-storey house.Translated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/16124338,
Agricultural,2000 sq.m.,"3-րդ փողոց 1, Ագարակաձոր","$4,000",USD,Privatized land for sale or exchange in Yeghegnadzor near Agarakadzor bridge in Chapar precinct (arable land)Translated from Armenian,Nov-25-2022_00-52,https://list.am/en/item/17799523,
For General Purpose,880 sq.m.,"Ստեփան Շահումյանի փողոց 20, Ջերմուկ","$55,000",USD,"Land for sale in Jermuk, on the left bank, 880 sq. M. Flat + 200 sq. M. To the gorge. Has a building permit.Translated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/17741119,
For Residential Development,400 sq.m.,Yerevan › Malatia-Sebastia,"$60,000",USD,KOD-61030A plot of land in Ararat Masiv is for saleLocated in a busy areaCommunications are nearbyCode 63076Translated from Armenian,Nov-25-2022_00-52,https://list.am/en/item/17057029,
For Public Buildings,3000 sq.m.,Vayots Dzor › Yeghegnadzor,"2,200,000 ֏",AMD,"The land is located in the Nor Avan district of Yeghegnadzor. It is suitable for all kinds of buildings, both as a house and as a tourist. It has a very beautiful view, possibility to build a lake. Will trade for a durable or cheaper car at an additional cost on your part. On paper it is 1000 m, but in reality it is close to 3000 meters. Partial payment or exchange with the car is possible.Translated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/14672730,
For Residential Development,300 sq.m.,Ararat › Getapnya,"$14,000",USD,KOD-63196Land for sale in Getapnya.^ Has a separate entrance^ All communications are adjacent to the plotCode 61078Translated from Armenian,Nov-25-2022_00-52,https://list.am/en/item/16852439,
For Public Buildings,438 sq.m.,Vayots Dzor › Jermuk,"$16,000",USD,The plot is located in Jermuk. Call for detailsTranslated from Armenian,Nov-25-2022_00-52,https://list.am/en/item/16961978,
Agricultural,"10,000 sq.m.",Vayots Dzor › Yeghegnadzor,"$10,000",USD,Վաճառվում է վարելահող Չիվա գյուղում: Մանրամասն զանգեք կասենք:,Nov-25-2022_00-52,https://list.am/en/item/13177079,
For Public Buildings,1000 sq.m.,Vayots Dzor › Jermuk,"$20,000",USD,1000 square meters for sale in Jermuk city. Land at 20 Mashtots StreetTranslated from Armenian,Nov-25-2022_00-52,https://list.am/en/item/18280037,
Agricultural,"130,000 sq.m.",Vayots Dzor › Gndevaz,"$150,000",USD,"Very urgent. For sale: 130,000 sq/m apricot orchard, 3,000 fruit-bearing trees, 15-year-old trees, 150-200 tons of annual harvest. Permanent three-way irrigation water, power and anti-hail plant. The park is located in Gndevaz village, Vayots Dzor marz.Translated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/16750834,
For General Purpose,3000 sq.m.,Vayots Dzor › Vayk,"$22,000",USD,Land of 3000 sq. M. Is for sale. 150 km on the Yerjan-Meghri highway (M2) (near the Jermuk crossroads) The land is suitable for a recreation area.Translated from Armenian,Nov-25-2022_00-52,https://list.am/en/item/16552112,
For Residential Development,2088 sq.m.,Vayots Dzor › Goghtanik,"1,800,000 ֏",AMD,"A plot of land near the house in Goghtanik village is for sale. The price is AMD 1,800,000, urgently negotiable.Translated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/18069957,
Agricultural,"20,000 sq.m.",Vayots Dzor › Vayk,"13,000 ֏",AMD,There is no problem with well-drained garden waterTranslated from Armenian,Nov-25-2022_00-52,https://list.am/en/item/14220860,
Agricultural,4000 sq.m.,Vayots Dzor › Chiva,"$17,000",USD,"A peach plot for sale in Chiva village, Vayots Dzor marz. Next to the Yerevan-Meghri highway, with 220 fruit trees. No problem with irrigation water. It is sold as a garden, but it can also be used as a commercial area. The price is negotiable. Very urgentlyTranslated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/18024815,
For General Purpose,1350 sq.m.,Vayots Dzor › Yeghegnadzor,"$4,000",USD,"Land for sale urgently.The land is located on the Yerevan-Meghri main road.For details, call the repair number below.)Translated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/18086543,
For Residential Development,1000 sq.m.,Vayots Dzor › Yeghegnadzor,"$8,300",USD,"URGENT SALE A plot of land intended for residential construction is for sale in the village VERNASHEN, Yeghegnadzor district, Vayots Dzor region, with a total area of 1000 square meters. The plot is located at the beginning of the village, close to the main road. The land is provided with drinking water and electricity, the gas pipeline and irrigation water pass right next to the land. There are 2-year-old saplings on the land (30 trees, mainly walnut trees) There is a large amount of construction material (stones, sand), a caravan,Newly built outdoor toilet. It is an ideal place to build a summer house or guest house. The finished building in the middle of the picture is not part of the plot, it is the neighboring plot. For details, call 094020018 via viber or whatsapp. PRICE NEGOTIABLE. Vayots Dzor marz Yeghegnadzor city Vernashen villageTranslated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/17003193,
Agricultural,1200 sq.m.,Vayots Dzor › Yeghegis,"$5,000",USD,"Land near the house, the price is negotiable.Translated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/16891775,
For Residential Development,550 sq.m.,"Գործարանային փողոց 1, Ջերմուկ","$26,000",USD,Land in Jermuk for construction of residential buildingsis located on Gortsaranain Street (former Sarvorner Street 9)Translated from Armenian,Nov-25-2022_00-52,https://list.am/en/item/17666045,
For General Purpose,3000 sq.m.,Vayots Dzor › Malishka,"$5,000",USD,Call for urgent detailsTranslated from Armenian,Nov-25-2022_00-52,https://list.am/en/item/16776986,
For Residential Development,1410 sq.m.,Vayots Dzor › Areni,"$15,000",USD,"Land near the house, located in Areni village, 250 m from the main highway. On.Areas:Vayots dzor:Translated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/17070095,
For General Purpose,"20,500 sq.m.",Vayots Dzor › Yeghegnadzor,"$205,000",USD,"Land for sale in Vayots Dzor, Karintak area, total 20,500 sq. M. Meters in area. For details and for the final price, call the indicated number.Translated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/17650871,
For Residential Development,3560 sq.m.,Vayots Dzor › Artavan,"5,000,000 ֏",AMD,"Վաճառվում է 3560 քմ տնամերձ հողատարածք փոքրիկ տնակով Վայոց Ձորի Արտավան գյուղում, տարածքում տնկված են ընկուզենիներ, 5-7 տարեկան։ առկա են բոլոր կոմունիկացիաները։ Տնամերձից բացվում է հոյակապ տեսարան դեպի Վայոց Ձորի լեռներն ու Մասիսը, շատ հարմար է հյուրատան կամ քեմփինգի համար։Продается участок 3560 квадратных метров с небольшим домиком в селе Артаван, Вайоц Дзорский регион, в 2-х часах из Еревана, на участке посажены 5-7 летние деревья грецкого ореха. Естьвсе коммуникации. Из дома открывается великолепный вид на горы, панорама фантастическая фото 1 и 4. Участок идеален для дачи, гостевого дома или кемпинга. Село высокогорное - 1800м.",Nov-25-2022_00-52,https://list.am/en/item/18138986,
Agricultural,4800 sq.m.,Vayots Dzor › Areni,"$5,000",USD,A plot of 4800 square meters is for sale.Translated from Armenian,Nov-25-2022_00-52,https://list.am/en/item/18238817,
Agricultural,2600 sq.m.,Vayots Dzor › Areni,"$3,500",USD,A plot of 2600 square meters is for sale.Translated from Armenian,Nov-25-2022_00-52,https://list.am/en/item/18241975,
Agricultural,3000 sq.m.,Vayots Dzor › Areni,"$45,000",USD,Berkatu Vineyard on the Yerjan-Meghri highway in Areni village of Vayots Dzor region. Annual 6-8 Tons of Areni crop.Bussines marketing:Translated from Armenian,Nov-25-2022_00-52,https://list.am/en/item/15947202,
Agricultural,5290 sq.m.,"3-րդ փողոց 1, Ագարակաձոր","5,000,000 ֏",AMD,"Arable land with constant irrigation water, in the section from Yeghegnadzor to Agarakadzor.Translated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/18012369,
Agricultural,8000 sq.m.,Vayots Dzor › Chiva,"$16,000",USD,8000 sq / m orchard (peach apple) for sale in Chiva village.Translated from Armenian,Nov-25-2022_00-52,https://list.am/en/item/17267760,
For Residential Development,4000 sq.m.,Vayots Dzor › Goghtanik,"3,000,000 ֏",AMD,"There is a half-built swimming pool on the ground, there is electricity, drinking, irrigation water, a metal barbed wire fence.Translated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/17631435,
For General Purpose,500 sq.m.,Vayots Dzor › Yeghegnadzor,"$40,000",USD,"Land for sale, located in Yeghegnadzor, Vayots Dzor region, on Avagyan Street, 200m below the Yeghegnadzor-Gladzor intersection. It can be used for commercial purposes or for building a house. Call for questions.Translated from Armenian",Nov-25-2022_00-52,https://list.am/en/item/18340239,
For General Purpose,1500 sq.m.,"Erevanyan street 1, Yeghegnadzor","$2,300",USD,Land near the house in Nor Avan district is for sale.Price is negotiable.Translated from Armenian,Nov-25-2022_00-52,https://list.am/en/item/17666483,
For General Purpose,1400 sq.m.,Vayots Dzor › Yeghegnadzor,"$3,200",USD,The land is located on the Yerevan-Meghri main road.Translated from Armenian,Nov-25-2022_00-53,https://list.am/en/item/18294952,
For Residential Development,2200 sq.m.,Vayots Dzor › Shatin,"10,000,000 ֏",AMD,"5 plots of land with productive trees near the house is suitable for building a recreation area, it is located in Yeghegnadzor, Eghegis community, in Shatin village, I will provide you with an ice truck in the belly, callTranslated from Armenian",Nov-25-2022_00-53,https://list.am/en/item/18137490,
Agricultural,6420 sq.m.,"3-րդ փողոց 1, Ագարակաձոր","$10,000",USD,Land for sale in Yeghegnadzor Experimental Field. The area is located near the Arpa River։ highway. All the documents are available. In case of real purchase you can call the mentioned number / not Viber /Translated from Armenian,Nov-25-2022_00-53,https://list.am/en/item/17872545,
Agricultural,"16,800 sq.m.",Vayots Dzor › Aghnjadzor,"$22,000",USD,Urgent sale private house in Aghnjadzor village with its lands near the house 3400 m on the river bank has a lot of walnut trees. Arable land 6000 m (adjacent to the village) Apple orchard 1400 m (Golden adjacent to the village) Lawn 3600 m (near the village) Grass in different parts 2400 m and 2 hectares. Price 22000Translated from Armenian,Nov-25-2022_00-53,https://list.am/en/item/17607248,
For Residential Development,400 sq.m.,Vayots Dzor › Yeghegnadzor,"$5,200",USD,"A plot of land near the house is for sale in the city of Yeghegnadzor (in front of the Panirtrest at the beginning of the district) The area is 400 square meters. With M certificate, it has the possibility to increase.For more information callTranslated from Armenian",Nov-25-2022_00-53,https://list.am/en/item/18285651,
Agricultural,1775 sq.m.,Vayots Dzor › Yeghegnadzor,"$2,100",USD,"Եղեգնաձորի շրջան գյուղ Շատինում վաճառվում է հողատարածք օժանդակ շինությունովԽմելու և ոռոգման ջրով, գյուղի կենտրոնից 700 մետր է հեռուՄակերեսը 1775 մ/քառ. Գինը սակարկելի",Nov-25-2022_00-53,https://list.am/en/item/15671760,
For General Purpose,200 sq.m.,Vayots Dzor › Vayk,"$15,000",USD,Call for questionsTranslated from Armenian,Nov-25-2022_00-53,https://list.am/en/item/17941721,
Agricultural,1400 sq.m.,Vayots Dzor › Gndevaz,"$18,000",USD,"The land is located on the Gndjaz-Jermuk road, has 38 fruit trees (mainly apricot trees) and 21 saplings. It is also a convenient place to do business. With an area of 1400 m. Negotiable:Translated from Armenian",Nov-25-2022_00-53,https://list.am/en/item/17869667,
For Residential Development,1200 sq.m.,"Հարավ-արևելյան թաղամաս 80-81, Ехегнадзор","$16,000",USD,"The land is located at 107 Gladzoryan Street, Yeghegnadzor (next to ATM)It has drinking water, irrigation water, electricity, productive trees, a stone field, a cistern, it is fenced with tuff. Area 1200 sq/mTranslated from Armenian",Nov-25-2022_00-53,https://list.am/en/item/18270264,
Agricultural,"10,000 sq.m.",Vayots Dzor › Aghavnadzor,"$19,999",USD,Հողատարածքը գտնվում է Վայոց ձոր մարզի Աղավնաձոր գյուղում` Խաղողի այգիների մոտ: Ոռոգման ջրի խնդիր չկա` Ջուրը անմիջապես մուտքի մոտ է: Հնարավոր է նաև փոխանակում: Գինը վերջնական չի:Այլ հարցերի համար զանգահարեք:,Nov-25-2022_00-53,https://list.am/en/item/17932632,
For Public Buildings,1327 sq.m.,Vayots Dzor › Jermuk,"$45,000",USD,"Land is for sale or exchange in the left bank of the town of Jermuk, Vayots Dzor region, in front of the ropeway, in front of the monument, next to ""Jermuk Group"" factory, at 1/2 Mashtots street, with an area of 0.13275 hectares. There is drinking water in the area. There is an approved construction project. It will be exchanged with RA lands, territories, buildings and buildings located in Aparan, Tsakhkadzor, looking at Lake Sanaa, in Gegharkunik region, particularly Gegharkunik region. I will listen to reasonable suggestions. For details, call the mentioned phone number, viber whatsapp is also available.Translated from Armenian",Nov-25-2022_00-53,https://list.am/en/item/16678870,
Agricultural,4500 sq.m.,Vayots Dzor › Yeghegnadzor,"$5,500",USD,Продается участок в селе Агараказдор. По дополнительным вопросам заоните.,Nov-25-2022_00-53,https://list.am/en/item/17850250,
For Residential Development,700 sq.m.,Vayots Dzor › Vayk,"5,000,000 ֏",AMD,"Հողատարածքը գտնվում է Վայք քաղաքում, եկեղեցու հարևանությամբ, Վայք -Երևան ավտոճանապարհի կողքին: Ընդհանուր մակերեսը 700 մ2.Տարածքում առկա է կիսակառույց շինություն` 132.25 մ2 մակերեսով: Տարածքում առկա է գազ, ջուր և հոսանք:",Nov-25-2022_00-53,https://list.am/en/item/11000031,
Agricultural,288 sq.m.,Vayots Dzor › Chiva,"200,000 ֏",AMD,"The land is located in Chiva community, on the bank of Elpin river, it is a great place to build Aygetnak / dacha /.Translated from Armenian",Nov-25-2022_00-53,https://list.am/en/item/17360290,
For Public Buildings,1041 sq.m.,Vayots Dzor › Yeghegnadzor,"52,000,000 ֏",AMD,"In the center of Yeghegnadzor, near the park.Translated from Armenian",Nov-25-2022_00-53,https://list.am/en/item/15668811,
For Residential Development,750 sq.m.,Vayots Dzor › Jermuk,"$25,000",USD,"750 square meters of land near the house is for sale. At N 21, Surb Gayane Street, Left Bank District, Jermuk. The area is provided with water, sewage, electricity, telephone, garbage collection and gas supply. The cadastral number is 10-002-038-104, the purpose of use is to build a residential house. According to the decision of the mayor and the council of elders, the given area is intended for building a residential district. The area has a convenient and beautiful location for building a summer house.IT IS ALSO POSSIBLE TO EXCHANGE WITH THE CAR.Translated from Armenian",Nov-25-2022_00-53,https://list.am/en/item/14378267,
For Residential Development,630 sq.m.,Vayots Dzor › Yeghegnadzor,"$4,500",USD,Վաճառվում է տնամերձ հողատարածք Եղեգնաձոր քաղաքում 630քմ։ Երորդ դպրոցի հարեվանությամբ։ Մանրամասների համար զանգահարել: Նաեվ փոխանակում մեքենայի հետ։,Nov-25-2022_00-53,https://list.am/en/item/14455431,
For Residential Development,1700 sq.m.,Vayots Dzor › Malishka,"$5,000",USD,"A 1700 sq. M. Land near the house is for sale in Malishka village.There are fruit trees and a vineyard in the land.It is located on the main road of the village, 5 km from Yeghegnadzor.Translated from Armenian",Nov-25-2022_00-53,https://list.am/en/item/16652117,
For General Purpose,3000 sq.m.,Vayots Dzor › Chiva,"$12,000",USD,"In Chiva village of Vayots Dzor, a 3000 sq. M. Home garden is for sale (200 3-year-old newly planted intensive apples, almond, hazelnut, quince fruit trees) There is a half-built stone building next to the park. Both the garden and the building are very convenient, both for private living space and for business use.There is always drinking and irrigation water.It is located next to the interstate highway.Translated from Armenian",Nov-25-2022_00-53,https://list.am/en/item/16652060,
Agricultural,"120,000 sq.m.",Vayots Dzor › Gndevaz,"$200,000",USD,"Apricot orchard. It is located in a very convenient place, next to the road. 12 hectares are all apricot orchards.Exchange with real estate.Translated from Armenian",Nov-25-2022_00-53,https://list.am/en/item/17487778,
For General Purpose,80 sq.m.,Vayots Dzor › Yeghegnadzor,"$20,000",USD,"FOR SALE.The land is located in Yeghegnadzor,Near the hospital.Translated from Armenian",Nov-25-2022_00-53,https://list.am/en/item/18195929,
