Type,Construction Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Address,Price,Currency,Description,Datetime,Parking,Links
Industrial and Manufacturing,Stone,200 sq.m.,,,,,Gegharkunik › Gavar,"$13,000",USD,"It is a bread factory, located in c. Near Gavar HAYBUSINESS BANK.Translated from Armenian",Nov-24-2022_21-57,,https://list.am/en/item/18164307
Building,Stone,310 sq.m.,Not available,Not available,First Line,Separate from the Street,"Կամո Շահինյան փողոց 77, Վարդենիկ","$50,000",USD,"Продаётся участок в районе Варденик. Крыша отремонтирована, окна в европеийском стиле, не имеет внутреннего ремонта. Имеет большой подвал. Вам нужно будет отремонтировать внутри участня: Даже есть возможность создать жительское здание. В случая покупки можете деньги отдавать по частям.Просим звонить только реальным покупателям. Շուկայական արժեքից շատ մատչելի վաճառվում է կոմերցիոն տարածք Վարդենկի կենտրոնում։Տանիքը ամբողջությամբ վերանորոգված է, պատուհանները եվրոպական արտադրության են, չունի ներքին հարդարում։Հարկավոր է ընդամենը ներքին հարդարանք։ Հնարավոր է սարքել բնակելի շինություն։Հնարավոր է մաս-մաս վճարում։",Nov-24-2022_21-57,,https://list.am/en/item/17483790
Retail Space,Stone,110 sq.m.,By agreement,Not available,First Line,Common from the Street,Gegharkunik › Sevan,"$56,000",USD,"It is located next to the church of San city, on the ground floor of a 5-storey stone building. There are 2 big halls, a storage area, a working room, a bathroom, a heating system, the floor is tiled, it is provided with gas and water.Translated from Armenian",Nov-24-2022_21-57,,https://list.am/en/item/16486490
Hotel,Stone,"17,300 sq.m.",Not available,Available,Second Line,Separate from the Street,"Sevani street, Yerevan",$690,USD,"A four-story hotel on 17,300 square meters of land is for sale! With brilliant architectural solutions and a fantastic view right on the coast of Sevan with its beach! The area is home to the famous Ashot Yerkat fortress (7-9 century), burial ground, and the ancestral church! All communications, gas, electricity, water, internet are available! Interior finishing works.A boiler house, a laundry room, a storage room, a guard house, a power station are built in the yard. A large plot of land with a swimming pool. Tennis court. Possibility to build a football field. The cost of 1 square meter of the building is indicated! 2250 square meter building construction!Translated from Armenian",Nov-24-2022_21-57,,https://list.am/en/item/18350060
Building,Stone,130 sq.m.,Not available,Not available,First Line,Separate from the Courtyard,"Nairyan Street, Sevan town","$90,000",USD,A 130 square meter space on the second floor of a two-story building is for saleTranslated from Armenian,Nov-24-2022_21-57,,https://list.am/en/item/18190098
Retail Space,Stone,48 sq.m.,Available,Not available,First Line,Common from the Street,Gegharkunik › Chambarak,"$32,000",USD,"An operating business with its property is for sale with and 5 million goods. Shoghakat community village in Jil, near the sea (2 km), the business has been operating for 20 years, the building is newly built. Business brings stable income.Price is negotiableExchange with a car is possible.Bonus of 7 million debt notebook is given)Translated from Armenian",Nov-24-2022_21-57,,https://list.am/en/item/16271961
Agricultural Space,Stone,200 sq.m.,Not available,Not available,Second Line,Common from the Street,Gegharkunik › Sevan,"$15,000",USD,Помещения был фермей. Находится в нармалном состоянии из морйей всего 1800 метров рядом трассе севан мартуни,Nov-24-2022_21-57,,https://list.am/en/item/17265586
Functioning Business,Stone,360 sq.m.,Not available,Not available,Other,Separate from the Street,Gegharkunik › Vardenik,$500,USD,"Very urgently!A commercial space is for sale in the center of Vardenk at a very affordable market price. The roof is completely renovated, the windows are European-made, it has no interior decoration. Only interior decoration is required. It is possible to build a residential building.It is possible to pay in installments. Call for the price is indicated incorrectlyPlease call viber for more details.Please call only real buyersTranslated from Armenian",Nov-24-2022_21-57,,https://list.am/en/item/17171570
Agricultural Space,Stone,"15,000 sq.m.",,,,,Gegharkunik › Chambarak,"$25,000",USD,"The farm Anasnagoom is located at the beginning of the city camp. It is 120 km from Yerevan to Chambarak. The farm has electricity, drinking water and irrigation water. The building is 670 square meters. The roof is suitable for storing hay. There are walls attached to the farm. The farm kept cows, sheep and bullsTranslated from Armenian",Nov-24-2022_21-57,,https://list.am/en/item/18088007
Retail Space,Monolith,60 sq.m.,Not available,Not available,First Line,Common from the Street,Gegharkunik › Martuni,"$56,000",USD,"The area is located in the central part, with all utilities, if you have any questions, please call. It is also available for rent.Translated from Armenian",Nov-24-2022_21-57,,https://list.am/en/item/18091833
Everything Else,Stone,76 sq.m.,Not available,Not available,Other,Common from the Courtyard,Gegharkunik › Sevan,"$12,000",USD,"A comfortable area is for sale in Shorzha, under the stone building closest to Lake Shana. 76.7 sq. M. Area, with high ceilings, high windows, partially renovated. Can be used as a living space, shop or other workshop.Translated from Armenian",Nov-24-2022_21-57,,https://list.am/en/item/17614661
Multifunctional Space,Stone,520 sq.m.,,,,,Gegharkunik › Martuni,"$270,000",USD,"Многофункциональная недвижимость, общей площедью 520кв/м, находится рядом с главной больницей города Мартуни. По всем вопросам звонить на отмеченный номер.520ք/մ ընդհանուր մակերեսով բազմաֆունկցիոնալ գույքը գտնվում է, մի մասը տրվածե վարձով-700.000ամդ ամսեկան վարձավչարով, Մարտունի քաղաքի գլխավոր հիվանդանոցի հարևանությամբ։ Բոլոր հարցերի համար զանգահարել նշված համարով",Nov-24-2022_21-57,,https://list.am/en/item/17835177
Multifunctional Space,Stone,300 sq.m.,,,,,Gegharkunik › Vardenis,"$360,000",USD,"Code T250:2-storey commercial area is for sale in Vardenis. The total area is 300 square meters (its own floor is 150 square meters) The area is fully renovated. On the 1st floor there is a food court, where there is a kitchen, a barbecue, a bathroom. On the 2nd floor there is an entrance hall, an office room, a beauty salon, a sewing workshop, a kitchen and a bathroom. The building has an open parking lot. The area has been an operating business for 20 years. Suitable for any activity.1 sq. M.-$ 1200Code T-250Translated from Armenian",Nov-24-2022_21-58,,https://list.am/en/item/16713661
Functioning Business,Stone,1500 sq.m.,Not available,Not available,First Line,Common from the Street,Gegharkunik › Sevan,"$350,000",USD,"ENGINEERING:Gas station, Gas station, Car wash, Lubrication point, CafeAGNKS ENGINEERING:Translated from Armenian",Nov-24-2022_21-58,,https://list.am/en/item/15956323
Agricultural Space,Panels,290 sq.m.,Available,Not available,Second Line,Common from the Street,Gegharkunik › Areguni,"$18,000",USD,"Very urgent, much cheaper than the real price. A house and a newly built cattle ranch are for sale in the village of Areguni in the Gegharkunik region. The barn is next to the house, the sides of the house are completely covered with big fruit trees, there are all favorable conditions for living. The house and cattle ranch are owned. It is for sale very urgently. Only real buyers should call.Very urgentlyTranslated from Armenian",Nov-24-2022_21-58,,https://list.am/en/item/17698837
Everything Else,Wooden,16 sq.m.,Not available,Not available,Other,Separate from the Street,"Yerevanyan St, Martuni","750,000 ֏",AMD,"Movable hut in good condition, hut boutique negotiableTranslated from Armenian",Nov-24-2022_21-58,,https://list.am/en/item/15626941
Functioning Business,Stone,60 sq.m.,Available,Not available,Other,Separate from the Street,"Nairyan Str., Sevan","$50,000",USD,"A space for sale or rent (as a dental clinic) at 165/28 Nairyan Street, Sevan Municipality, has all utilities, is currently being operated as a dental clinic, there is a license for the space, for details call the price on the contractTranslated from Armenian",Nov-24-2022_21-58,,https://list.am/en/item/18005850
Agricultural Space,Stone,2500 sq.m.,,,,,Gegharkunik › Vardenis,"$12,000",USD,Agricultural real estateCattle barn 140 m2The roof is newly repairedInside concreteCottage 2 roomsLand area 2500 m2Translated from Armenian,Nov-24-2022_21-58,,https://list.am/en/item/17706272
Retail Space,Stone,248 sq.m.,,,,,"Lchap-Norashen highway, Tsovazard","78,000,000 ֏",AMD,"The property is located on the right side of Sean-Yerjan highway, Q ․ Սան, Լճափնյա փ ․ At 23. The area is subject to partial renovation, previously used as a restaurant. The area of the land is 0.075 hectares, the area of the building is 248.64 square meters. Is.Translated from Armenian",Nov-24-2022_21-58,,https://list.am/en/item/17673612
Industrial and Manufacturing,Stone,600 sq.m.,,,,,Gegharkunik › Gavar,"$70,000",USD,Price is negotiable.Translated from Armenian,Nov-24-2022_21-58,,https://list.am/en/item/17397626
Retail Space,Monolith,100 sq.m.,Not available,Not available,First Line,Common from the Street,"Սարգիս Սևանեցու փողոց 7, Սևան","$60,000",USD,"All utilities are available, price is negotiableTranslated from Armenian",Nov-24-2022_21-58,OUtdoor parking,https://list.am/en/item/17539116
Retail Space,Monolith,200 sq.m.,,,,,Gegharkunik › Martuni,$100,USD,"For sale: A caravan 9.3 in 27 sq. M. The cabin is very fresh and well insulatedA multi-functional space is for RENT or FOR SALE on ABOVYAN street, 200 sq. M:Translated from Armenian",Nov-24-2022_21-58,,https://list.am/en/item/16348050
Building,Stone,631 sq.m.,Not available,Not available,First Line,Separate from the Street,Gegharkunik › Lchap,"$29,999",USD,"Продам помещение в селе Лчап. 630 м2 здание, высота 3,3 метра. Земельный участок 2400 м2. Также рассмотрю варианты обмена. Возможно сдача в аренду.Рассмотрю обмен на авто с вашей или моей доплатой.",Nov-24-2022_21-58,,https://list.am/en/item/18012036
Hotel,Stone,2800 sq.m.,,,,,Gegharkunik › Sevan,"$135,000",USD,"About 50m from Lake Sevan, a 2,800 square meter plot of land is for sale with a 1,400 square meter operating restaurant (4 rooms with 8 seats, 1 room with 30 seats) and 3 deluxe hotel rooms, the remaining 1,400 square meters can be used for any activity. The object is sold together with the entire property. The object is active. An exchange is also possible (for an apartment or a car at an additional cost on your part)Code 1100338Translated from Armenian",Nov-24-2022_21-58,,https://list.am/en/item/18302882
Retail Space,Stone,40 sq.m.,,,,,"Sargis Sevanatsi St, Sevan","$14,000",USD,"Продается помещение рядом с банком Втб, на 1 этаже 5 этажного дома, адрес 1 микро",Nov-24-2022_21-58,,https://list.am/en/item/17002582
Everything Else,Wooden,20 sq.m.,,,,,"Lchap-Norashen highway, Tsovazard","700,000 ֏",AMD,It is in normal condition. It has two rooms. Negotiable.Translated from Armenian,Nov-24-2022_21-58,,https://list.am/en/item/17186266
Industrial and Manufacturing,Stone,"20,000 sq.m.",,,,,Gegharkunik › Gavar,"$400,000",USD,"Former Gavar cheese factory 40,000 m2, electricity with its own substation, drinking water and deep water, sred gas, has a building of 7000 m2, total area 4 hectares, has a dairy factory, 2 barns 1200 meters, has a mushroom factory 600 m2, has a cannery 600 m2, Has a bakery, has warehouses, has a red sand mine, has 15 hectares of arable landTOTAL AREA 4 HECTARES#Panri zavod, #panri gorcaran, #panri artadramas #panragorcaran:Translated from Armenian",Nov-24-2022_21-58,,https://list.am/en/item/16314696
Retail Space,Stone,1730 sq.m.,,,,,Gegharkunik › Martuni,"$250,000",USD,Center. Near the marketTranslated from Armenian,Nov-24-2022_21-58,,https://list.am/en/item/17420285
Office Space,Stone,60 sq.m.,,,,,"Azgaldyan street 3, Vardenis","$15,000",USD,"Գտնվում է Վարդենիս քաղաքի կենտրոնական զբոսայգու տարածքում։Կարելի է օգտագործել որպես օֆիս կամ մանկական սրճարան, տարածքը հարմար է կարուսելներ տեղադրելու համար։Դիմացը կա ջրավազան, որը նորոգման կարիք ունի։Կողքից կա ազատ տարածք ընդլայլելու մեծացնելու համար։Ունի հիմնանորոգման կարիք։Կա ջուր ու հոսանք, գազը մոտ է։Շատ հարմար է նաև երիտասարդական կենտրո. Ն կառուցելու համար, որի կարիքը Վարդենիսը շատ ունի։Սեփականություն է ։ Սակարկելի",Nov-24-2022_21-58,,https://list.am/en/item/11942615
Everything Else,Stone,1800 sq.m.,,,,,Gegharkunik › Sevan,"$250,000",USD,"Կոդ՝ K-14915Վաճառվում է լողափ Սևանա լճի ափին (Չկալովկա գյուղի հարևանությամբ) ։ Ընդհանուր մակերեսը մոտ 18․000քմ է, ճակատային մասը մայրուղու կողմից՝ 170մ։ Տարածքում կան տարբեր մակերեսներով 12 տնակներ, որոնցից մի քանիսը ամբողջովին վերանորոգված են և պատրաստ են շահագործման։ Կա նաև ժամանակակից համապատասխան հյուրանոցային համալիր կառուցելու նախագիծ և շինթույլտվություն։ Դիտարկվում է նաև տան հետ փոխանակման տարբերակ։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A beach for sale on the shore of lake Sevan (near the Chkalovka village) The total area is about 18.000 sqm, the front length from the highway is 170m. There are 12 cabins with different surfaces, some of which are completely renovated and ready for use. There is also a project and a permit for the construction of a modern hotel complex. Exchange with a house is possible.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-24-2022_21-58,,https://list.am/en/item/11703537
Industrial and Manufacturing,Stone,5000 sq.m.,,,,,"Roman street 9, Vardenis","$100,000",USD,"Industrial area for sale or rent in the center of VardenisSuitable for any productionIn the center of VardenisConstant water, natural gas, three-phase electricityTranslated from Armenian",Nov-24-2022_21-58,,https://list.am/en/item/17488719
Multifunctional Space,Stone,1400 sq.m.,,,,,Gegharkunik › Martuni,"$180,000",USD,"Կոդ՝ D-12697Վաճառվում է 2 հարկանի կոմերցիոն տարածք Մարտունիում: Տարածքը կապիտալ վերանորոգված է, առաջին գիծ: Մուտքի դուռը՝ երկաթյա, պատուհանները՝ եվրո, հատակը՝ մանրահատակ, սալիկապատ: Սանհանգույցը՝ սալիկապատ, էլ. Լարերը և խողովակները՝ փոխված: Ունի մշտական ջուր և գազ, ջեռուցման համակարգ:Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։2-storey commercial area for sale in Martuni. The area is newly renovated and is stationed in the 1st line. The entrance door is iron-made, the windows are euro-based, the floor is covered by parquet and is tiled. The bathroom is tiled, the electric wires and pipes are newly changed. The area has a heating system and is supplied with constant water and gas.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-24-2022_21-58,,https://list.am/en/item/16658805
Agricultural Space,Stone,196 sq.m.,Not available,Not available,Other,Separate from the Street,Gegharkunik › Vaghashen,"$15,000",USD,Нахкин бахникАрцери депкум зангел196 кв. М. Жилой,Nov-24-2022_21-58,,https://list.am/en/item/17636239
Retail Space,Wooden,30 sq.m.,Not available,Not available,Other,Common from the Courtyard,Gegharkunik › Gavar,"$1,700",USD,Length 9.60 width 3 meters for sale alone wagon without productTranslated from Armenian,Nov-24-2022_21-58,,https://list.am/en/item/9634780
Multifunctional Space,Stone,4523 sq.m.,,,,,Gegharkunik › Vardenis,"$110,000",USD,"Code T249:2-storey commercial area is for sale in Vardenis. The total area is 4523 square meters, and the building area is 2643 square meters. The area needs renovation. There is gas, water, light, three-phase electricity. There are residential buildings nearby. Suitable for building, hotel, restaurant.Code T-249Translated from Armenian",Nov-24-2022_21-58,,https://list.am/en/item/16710421
Functioning Business,Wooden,"13,500 sq.m.",,,,,"1st Street, Shorzha","$420,000",USD,"Действующий бизнес на 1-й улице Севана, 13 500 кв. М.13,500 квадратный метр (3.4 акко)• Водная передняя недвижимость• Кирпич огражден.• 2 жилых домов• Могу построить еще 11• Водоход с 5000 литровым водоёмом• Очистка сточных вод• Трансформер электричества• 16 Система безопасности камеры• Охранник и охрана• Ворота с электрическим дистанционным управлениемИ еще большеКомплекс расположен на восточной кончике полуострова на озере Севан, всего в 1 часе 25 минут (111 километров или 70 миль) от Еревана.′′ Жемчужина Армении ′′ Замечательный вид на озеро Севан.Волшебную панораму на обрыве - качалку озера, зеркальные блики, успокаивающие волны и красивый закат - можно наслаждаться круглый год, в разное время суток, от спокойного, блестящего рассвета до чудесного, пылающего закат с промежуточными сменами оттенков.Находясь в 5 километрах от шоссе, район изолирован.Имеет все особенности развлечений в помещениях и на открытом воздухе.Два построенных частных дома готовы к оккупации.У каждой две спальни, две ванные комнаты, а также ′′ гурманская ′′ кухня. Этажи двух частных домов плитка современной плитки высокого качества.Основной дом полностью меблирован (от сольпана до спальни) Имеет гардеробную спальню, прикрепленный гараж с автоматическими воротами.Также есть собственный генератор электроэнергии, а также солнечные батареи мощностью 4 кВт.Дома спроектированы в современном стиле, ключевым элементом которого является озеро. В главном доме есть бесплатный современный камин.Оба дома имеют полноформатные, 3-метровые террасы для озера, которые, конечно же, открывают незапятнанные виды на озеро.Есть два ряда каменных ступеней, которые спускаются к озеру, где расположен частный причал комплекса. Для обеспечения безопасности комплекса построен сторожевой дом, который оборудован дистанционными электрическими воротами с системой наблюдения 16 камер, чтобы хозяин мог наблюдать за комплексом из любой точки мира.13,500 մ/ք - 3․4 սկր• Առափնյա• Պարսպապատված• 2 Առանձնատուն• Առավել 11 տուն կառուցելու հնարավորություն• Ջրհոր + 5000 լիտր ջրամբար• Կեղտաջրերի մաքրման կայան• Հոսանքի տրանսֆորմատոր• 16 հատ տեսախցիկ• հեռակառավարվող էլեկտրական դարպաս• Պահակատուն և պահակԵՒ ավելինՀամալիրը գտնվում է Սևանա լճի արևելյան կողմում գտնվող թերակղզու ծայրին` Երևանից ընդամենը 1 ժամ 25 րոպե (111 կիլոմետր, կամ 70 մղոն) հեռավորության վրա։«Հայաստանի գոհար» Սևանա լճի հիասքանչ տեսարան:Ժայռի վրա գտնվող մոգական համայնապատկերը ` Լճի օրորը, հայելեպատ ցոլքը, խռովված ալեկոծությունն ու բոսոր մայրամուտը կարելի է վայելել տարվա բոլոր եղանակներին, օրվա տարբեր ժամերին ՝ հանդարտ և փայլփլող արևածագից մինչև հրաշալի, բոցկլտացող մայրամուտ՝ միջանկյալ փոփոխվող երանգներով ։Մայրուղուց 5 կիլոմետր հեռավորության վրա գտնվելով հանդերձ տարածքը մեկուսացված է։Այն ունի փակօթյա և բացօթյա ժամանցի բոլոր հնարավորությունները:Կառուցված երկու առանձնատնեը պատրաստ են շահագործման համար։Յուրաքանչյուրում կա երկու ննջասենյակ և երկու սանհանգույց, ինչպես նաև «գուրմե» խոհանոց։ Երկու առանձնատների հատակները սալիկապատված են բարձրորակ և արդիական սալիկներով։Հիմնական տունը ամբողջությամբ կահավորված է (աղամանից մինչև ննջասենյակների կահավորանք) : Այն ունի գլխավոր ննջասենյակային կոմպլեկտ, և ավտոմատացված դարպասով կցակառույց ավտոտնակ,Առկա է նաև սեփական էներգիայի գեներատոր, ինչպես նաև 4 կՎտ հզորությամբ արևային վահանակներ:Տները նախագծված են ժամանակակից ոճով, որի առանցքային տարրը լիճն է: Հիմնական մենատունն ունի ազատ կանգնած ժամանակակից ոճի բուխարի։Երկու տներն էլ ունեն ամբողջ երկարությամբ, 3 մետր լայնությամբ լճափնյա տեռասաներ, որոնք, բնականաբար ապահովում են անարգել տեսարան դեպի լիճը:Գոյություն ունեն երկու շարք քարե աստիճաններ, որոնք իջնում են լիճ, որտեղ գտնվում է համալիրի մասնավոր նավամատույցը։ Համալիրի անվտանգությունը ապահովելու համար կառուցվել է պահակատուն, որը հագեցած է հեռակարավարվող էլեկտրական դարպասով և 16 տեսախցիկով հսկողության համակարգով, որպեսզի սեփականատերը նաև կարողանա hամալիրը դիտել և հսկել աշխարհի ցանկացած կետից:",Nov-24-2022_21-58,,https://list.am/en/item/18212745
Retail Space,Stone,300 sq.m.,Available,Not available,First Line,Common from the Street,"Garegin Nzhdeh Street, Yerevan","$21,000",USD,"Urgently for sale shop, negotiableTranslated from Armenian",Nov-24-2022_21-58,OUtdoor parking,https://list.am/en/item/17724959
Retail Space,Stone,68 sq.m.,,,,,Gegharkunik › Vardenis,"$12,000",USD,"Not far from the center of Vardenis, the beginning of Yeritasardutyan street, on the 1st line, a commercial area is for sale.Suitable for any activityTranslated from Armenian",Nov-24-2022_21-58,,https://list.am/en/item/17682803
Retail Space,Stone,150 sq.m.,,,,,Gegharkunik › Gavar,"$60,000",USD,"Urgent commercial area for sale in Gavar, with all communal amenities, also for rentMashtorg century.Translated from Armenian",Nov-24-2022_21-58,,https://list.am/en/item/17531198
Hotel,Stone,127 sq.m.,,,,,Gegharkunik › Chkalovka,"19,000,000 ֏",AMD,"Land area - 2,840․6 square meters ․Entrance doors of buildings մետաղ windows made of metal-plastic, walls made of stone, tiled floor, electricity, water, gas-sewerage.Code 9-29Translated from Armenian",Nov-24-2022_21-58,,https://list.am/en/item/17333217
Industrial and Manufacturing,Stone,161 sq.m.,,,,,"Էներգետիկների փողոց 2, Սևան","4,000,000 ֏",AMD,The area of the land is 300.0 m2All the communications are available.Code 9-28Translated from Armenian,Nov-24-2022_21-58,,https://list.am/en/item/17333096
Office Space,Stone,30 sq.m.,,,,,Gegharkunik › Lusakunk,"200,000 ֏",AMD,"Office (public) area with a total area of 30 square meters.Address: Gegharkunik region, Lusakunk village, 1st street, No. 84/2 (in the Municipality building)Translated from Armenian",Nov-24-2022_21-58,,https://list.am/en/item/17176510
