Type,Construction Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Address,Price,Currency,Description,Datetime,Parking,Links
Multifunctional Space,Stone,111 sq.m.,,,,,"Komitas Avenue, Yerevan","$290,000",USD,"Community-ArabkirKomitas AvenueCommercial area on Komitas avenue is for saleStained glass windowsTOGETHER WITH ALL PROPERTY AND PARTICULAR EQUIPMENTThe renovation was carried out with high quality and expensive materialsThe floor is tiledIndividual heating system / BAXI /The bathroom is tiled_Spare part: 39 square meters,Conference hall: 20 sq. M. Area,Reception: 29 sq. M.,Kitchen: 9 sq. M.,Bathroom: 4 sq. M.Office: 10 sq. M.,Suitable for a variety of activities.Code 1073Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/17404102
Multifunctional Space,Panels,270 sq.m.,By agreement,Not available,First Line,Separate from the Street,"Avet Avetisyan Street, Yerevan","$400,000",USD,"Code: D-22679A multifunctional commercial space is for sale in Komitas, on the first floor of a high-rise building near the intersection of Vagharshyan-Avetisyan Streets, on the first line. The area is fully renovated: Heated floor, tiles, metal lath, Euro doors, windows, water, electricity, gas, heating. It has 15 rooms, 4 air conditioners, 3 bathrooms, garage, parking lot. The area has 3 entrances, security system, video surveillance system. The area is suitable for various types of activities, it is bright and sunny.The commission of the agency is 2%, for the exhibitions a contract of exhibition is signed. Please have an identity document with you.The commission of the Real Estate Agency is 2%. A contract is signed for showing the real estate. Please have passport, ID or driving license with you.Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/18112771
Retail Space,Monolith,65 sq.m.,,,,,"Hayrik Muradyan street, Yerevan","62,000,000 ֏",AMD,"Առանց միջնորդի վաճառվում է կոմերցիոն տարածք բնակելի նորակառույց շենքի առաջին հարկում: Տարածքը հարմար է բոլոր տեսակի գործունեության համար: Ներկա պահին տրված է վարձով որպես մթերային խանութ: Առկա են բոլոր կոմունալ հարմարությունները: Հնարավոր է փոխանակում ավտոմեքենայի, 2 սենյականոց բնակարանի հետ ձեր կողմից հավելավճարով: Մանրամասների համար զանգահարեք նշված հեռախոսահամարներով:Без посредников продается коммерческая площадь на первом этаже элитного жилого дома со всеми коммунальными удобствами. Удобна для любой коммерческой деятельности. На данный момент площадь арендована как продуктовый магазин. Возможен обмен на 2-х комнатную квартиру или машину с предоплатой с вашей стороны. По всем вопросам звоните по указанным номерам.",Nov-24-2022_21-42,,https://list.am/en/item/17596124
Office Space,Stone,80 sq.m.,,,,,"Shinararneri street, Yerevan","800,000 ֏",AMD,Newly renovatedLighting is excellentConditioner 2:Translated from Armenian,Nov-24-2022_21-42,,https://list.am/en/item/17903395
Functioning Business,Stone,43 sq.m.,By agreement,Not available,Second Line,Common from the Street,Yerevan › Arabkir,"$165,000",USD,An operating business of 43 square meters is for sale. For more information callCan be used as a gym. Euro renovated!Code SP122Translated from Armenian,Nov-24-2022_21-42,,https://list.am/en/item/17441470
Office Space,Panels,153 sq.m.,Not available,Available,Other,Separate from the Courtyard,Yerevan › Kanaker-Zeytun,"$123,000",USD,"Code: D-12796A 153 square meter commercial area is for sale in Zeytun, near Izmirlian Medical Center, on the ground floor of a residential building. It is capitally renovated. European windows։ doors. The bathroom is tiled, el. Wires and pipes changed. Has heating system, parking in the yard, permanent water and gas.The commission of the agency is 2%, an exhibition contract is signed for the exhibitions. Please have your ID.The commission of the Real Estate Agency is 2%. For showing the real estate a contract is signed. Please have passport, ID or driving license with You.Translated from Armenian",Nov-24-2022_21-42,OUtdoor parking,https://list.am/en/item/17625851
Multifunctional Space,Monolith,68 sq.m.,Not available,Not available,Other,Separate from the Street,"Tsitsernakaberd Highway, Yerevan","$270,000",USD,"Operating Business in Dalma Mall, completely renovated, has 2 bathrooms, 2 kitchens, has 2 entrances, you can open two separate apartments in October, Very Urgent Code T06.512Agency commission 2%Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/17829827
Multifunctional Space,Monolith,92 sq.m.,Not available,Not available,Second Line,Separate from the Courtyard,"Anastas Mikoyan street, Yerevan","$198,000",USD,Կոմերցիոն տարացք դավիթաշենում արմենիայի մոտ 1 ին գիծ կապիտալ վերանորոգված վիտրաժներ ունի 2 առանձին մուտք մանրամասների համար զանգեքԳործակալության միջնորդավաճար 2 %,Nov-24-2022_21-42,,https://list.am/en/item/18043672
Retail Space,Stone,78 sq.m.,,,,,Yerevan › Arabkir,"$89,000",USD,Հարմար է տարբեր գործունեություն իրականացելու համար։Կոդ SH920,Nov-24-2022_21-42,,https://list.am/en/item/13154364
Office Space,Stone,80 sq.m.,,,,,Yerevan › Arabkir,"$170,000",USD,"Stalin 's Project,The area includes a high ground floorCode AM614Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/12272550
Office Space,Panels,220 sq.m.,,,,,"Bashinjaghyan street, Yerevan","$130,000",USD,16 этажное здание первый этаж. 16/1... 2 линия. 15 квартал. Удобно под офис. Срочно.,Nov-24-2022_21-42,,https://list.am/en/item/14758510
Office Space,Stone,110 sq.m.,,,,,"Teryan street, Yerevan","$300,000",USD,Квартира удобна под офис. Сталинка историческая ценность. 1 линия удобно под офис. Подьезд с улицы московян,Nov-24-2022_21-42,,https://list.am/en/item/14484867
Multifunctional Space,Stone,190 sq.m.,Not available,Not available,Second Line,Separate from the Street,"Komitas Avenue 26, Yerevan","$460,000",USD,3-storey capital buildingSuitable for various activities. 210 mTranslated from Armenian,Nov-24-2022_21-42,,https://list.am/en/item/12657921
Office Space,Stone,250 sq.m.,Available,Not available,Second Line,Separate from the Street,"Սասունցի Դավթի փողոց 1/1, Երևան","$300,000",USD,"The building is located next to Sassoontsi Davti Square. It is newly built, three floors, 3 rooms and 1 bathroom on each floor, heating system, parking space. Next to the building is the subway, many shops and food outlets.Translated from Armenian",Nov-24-2022_21-42,OUtdoor parking,https://list.am/en/item/18137844
Office Space,Monolith,180 sq.m.,Not available,Available,Second Line,Common from the Street,"Mesrop Mashtots Avenue, Yerevan","$550,000",USD,"Community-CenterMesrop Mashtots AvenueCommercial area for saleThe area has separate roomsSuitable for a variety of activitiesOn the 1st floor of a monolith new buildingThe total area is 180 square meters.There is a security system, video surveillance.Code 30300Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/17851773
Retail Space,Stone,75 sq.m.,Not available,Not available,Second Line,Common from the Street,"Vilnyus street, Nor Nork 9th massive","$45,000",USD,"9th block of Nor Nork, 75 sq. M. Stone building, ownership certificate, land 150 square meters for rent, it is possible to own, showcases, water, gas possibility, EMERGENCYTranslated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/18042802
Office Space,Stone,600 sq.m.,Not available,Not available,First Line,Separate from the Street,"Sundukyan Street, Yerevan","$850,000",USD,"Residential house that can serve as an office. It is a capital building, 3 floors ուղ basement.Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/17792311
Restaurant,Monolith,4000 sq.m.,Available,Not available,First Line,Separate from the Street,Yerevan › Arabkir,"$2,500,000",USD,"An existing restaurant complex on Tbilisi highway is for sale. The total land area is 4000 meters, the buildings are 1500 meters in total. Buildings are capital buildings, provided with constant water and heating system. The area has a very well-kept and beautiful garden, complemented by a waterfall. There are comfortable indoor and outdoor pavilions in the courtyard. The area also has a parking lot.Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/18101761
Office Space,Stone,150 sq.m.,Not available,Not available,First Line,Separate from the Street,"Gyulbenkyan street, Yerevan","$250,000",USD,"Commercial area is for sale in Arabkir community, at the crossroads of Gyulbenkyan Sundukyan streets. The area is on the 1st floor of a 5-storey stone building, 75 sq. M. On the 1st floor, 75 sq. M. On the basement floor. The area can be used for different purposes, 1 floor as an office, commercial, and the semi-basement is a very dry area, it can be used as a storage area. The area has 3 entrances, from the street, from the yard մուտ from the entrance of the building. If desired, trucks can approach the entrance to the yard. The area is fully repaired, there is a heating system, equipped with all utilities. Will be rented if desired.Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/16707075
Automotive Service,Stone,475 sq.m.,,,,,"Aeracia street, Yerevan","$90,000",USD,"1st line car service station for sale, office in Shengavit, on Aeatsia streetOffice + car service point, 475 sq. M. / 1st line, 0 area eachIs availableAir conditionerThree-phase currentPermanent waterCode 21189Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/17401205
Industrial and Manufacturing,Stone,2000 sq.m.,Available,Not available,Second Line,Separate from the Courtyard,Yerevan › Shengavit,"$230,000",USD,"An operating business is for sale or rent, the activities of which include: - Manufacture of detergents and disinfectants - Production of car washes - Disinfectants - Import of stationery, perfume, baby toys, wholesale / retail sale. Produced and imported products are presented in more than 1200 shops, chain stores of Yerevan regions, as well as in 200 Hotels, Restaurants, Cafes. There is an efficient delivery system, thanks to the professional team of managers and shippers. The business is sold with all the property, which includes production equipment, delivery machines, finished products, available raw materials, as well as 1C 8/3 accounting software. In case of need, a director with long-term work experience will be provided, who will organize the normal work of the company. The average monthly net income of the company is 5-6 million AMD. In short, a ready-made business, BRAND; Rent: $ 5,200 per month;Code K105Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/17834846
Everything Else,Wooden,17 sq.m.,,,,,Yerevan › Avan,"$3,300",USD,Mobile business for sale Shatt urgentlyBrand newAn exchange is also possibleUrgent finalTranslated from Armenian,Nov-24-2022_21-42,,https://list.am/en/item/17531072
Retail Space,Stone,60 sq.m.,Not available,Available,First Line,Separate from the Street,Yerevan › Kentron,"$290,000",USD,"1 գիծ գործող առևտրային տարածք 2 հարկանի շատ բանուկ հատվածում, լայն ճակատով վիտրաժներով հարմար է խանութի, գեղեցկության սրահի, սրճարանի, և ցանկացած այլ գործունեության համար",Nov-24-2022_21-42,,https://list.am/en/item/16547473
Automotive Service,Monolith,550 sq.m.,,,,,"Anastas Mikoyan Street 124/1, Yerevan","$800,000",USD,"Davtashen 1st linetotal front 24 metersland area-550 sq. M. Մ.Building area 330 sq. M. Մ.Designed for 6 boxes13 meters deep.Spacious parkingin your own areaThe building can serve as a clinic, a kindergarten, a hotel complex, etc.A few more floors can be added to the building, it is very solidly built.Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/17656451
Retail Space,Stone,7 sq.m.,Not available,Not available,First Line,Separate from the Street,"Gai avenue, Yerevan","3,500,000 ֏",AMD,"It is located near the central street, it has been renovated, it is secured with a security system, the urgent price is final. It is also exchanged for a car.Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/17849219
Industrial and Manufacturing,Stone,150 sq.m.,,,,,"Ներքին Շենգավիթի 11-րդ փողոց 1, Երևան","75,000 ֏",AMD,There are different types of squares from 30 * to 500 *Translated from Armenian,Nov-24-2022_21-42,,https://list.am/en/item/15787941
Office Space,Stone,33 sq.m.,,,,,"Tumanyan street, Yerevan","$110,000",USD,"It is renovated, the ceiling height is 3.40 m, the heating is with air conditioner (split) It has a bathroom, a kitchen. Rented for $600.Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/17983343
Office Space,Panels,40 sq.m.,Not available,Available,First Line,Separate from the Courtyard,"Vilnyus street 8, Yerevan","$39,000",USD,Վաճառվում է կոմերցիոն տարածք կոմունալ հարմարություններով:Մանրամասների համար զանգահարեք,Nov-24-2022_21-42,,https://list.am/en/item/17874003
Retail Space,Stone,44 sq.m.,,,,,"Tigran Petrosyan street, Yerevan","$220,000",USD,"A shop is for sale in a busy area on Davtashen Tigran Petrosyan street,400,000 AMD is for long-term rentShop in Davtashen, area in Davtashen, trade hall in Davtashen, business area in Davtashen, Davitashen.Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/17498492
Multifunctional Space,Stone,193 sq.m.,Available,Not available,First Line,Separate from the Street,"Դավթաշեն 2-րդ թաղամաս, Երևան","$265,000",USD,"A commercial space is for sale in Davitashen, the total area is 193 square meters, it is renovated, has all the utilities for office activities.For other details, write or call the indicated numbers.Code 6003Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/18231616
Multifunctional Space,Stone,560 sq.m.,Available,Available,First Line,Separate from the Street,"Eghishe Tadevosyan Street, Yerevan","$700,000",USD,"Near the Shengavit metro, on Tadevosyan street, a completely renovated 1-story multi-functional property is for sale.• The total area of the area is 560 square meters, which consists of 1 common hall, 1 office, kitchen area, bathroom.• The area also has a basement storage area of 90 sq. M. Surface, which is connected to the general hall by an elevator.• The bathroom is tiled.• There is a ventilation system in the area, and the floor is heated.• There is a bakery of 40 sq. M. With space and necessary equipment.• It is a very suitable option as an investment property.For other details, write or call the indicated numbers.The space is shown under a real estate showing contract.Service commission: 2% of sale price.Code 6003Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/18231741
Multifunctional Space,Stone,230 sq.m.,Not available,Not available,First Line,Separate from the Street,"Amiryan Street, Yerevan","$350,000",USD,"A commercial space is for sale on Amiryan street, the total area is 230 square meters, it has entrance from 3 sides, it is fully renovated, it has communal facilities, an open balcony.For other details, write or call the indicated numbers.Code 6004Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/18231896
Office Space,Stone,31 sq.m.,,,,,"Գարեգին Նժդեհի փողոց 17/1, Երևան","$49,000",USD,"K. Yerevan, at 17/4 and 17/5 of Garegin Nzhdeh, near Hayrenik shopping center, two operating offices with land and building privatized and overhauled are for sale together. Each office is 17.4 and 13.2 square meters.Purposeful importance of buildings to society.They are equipped with security and video surveillance systems, there is air conditioning.Water and sewage are available.Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/17712535
Functioning Business,Panels,826 sq.m.,By agreement,Not available,Second Line,Separate from the Street,"Պարոնյանի փողոց, Երևան","$1,000,000",USD,"The area occupies the whole 1st floor of an apartment building, it is suitable for carrying out various activities. It has all the necessary utilities, the interior is in average condition.Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/13378695
Multifunctional Space,Stone,115 sq.m.,Not available,Not available,First Line,Separate from the Street,"Moskovyan street, Yerevan","$310,000",USD,"On Moskovyan Street, next to Pushkin School, on the 1st floor of a stone building, a multi-functional property with an area of 115 square meters is for sale.In case of questions related to the apartment, or to get acquainted with other properties, please call the indicated phone number.Sincerely, PROJECT real estate agency.Code 6010Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/18330846
Multifunctional Space,Stone,65 sq.m.,Not available,Not available,First Line,Separate from the Street,Yerevan › Ajapnyak,"$170,000",USD,"A commercial area of 65 square meters is for sale on Melkumov street 1 line with all its amenities.Permanent waterStained glass door and windowThe space is for rentYou can call the mentioned agent to see the area, buy it or get full information.The commission of the agency is 2% of the value of the premises, which includes the costs of the notary, joint and new certificate of the premises.Dear customer, to see other apartment listings, click on the Blessed House logo on the right.Real estate agency ""Blessed House""Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/18035421
Multifunctional Space,Stone,200 sq.m.,Available,Not available,First Line,Separate from the Street,"Դավթաշեն 2-րդ թաղամաս 14/6, Երևան","$270,000",USD,"Completely newly renovated240 square meters - 200 square meters with a certificateIt is located in Davtashen 2nd district2 floors on one side, 1 on the oppositeThe area is fully furnishedWe can consider selling a ready-made business with all its property and equipment.They operate in 2 different business areas.Each floor is 100 square meters.There are 2 bathrooms and one kitchen on each floor. 2 from the outside close.It is very convenient for commercial work - Logistics, IT, accounting, real estate, clinic - etc.We will bargain in case of a real cash buyer.Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/17351191
Office Space,Stone,100 sq.m.,,,,,"Mantashyan street Lane, Yerevan","90,000 ֏",AMD,Existing area for sale. It has all utilities. The front part is 5/2 m.Translated from Armenian,Nov-24-2022_21-42,,https://list.am/en/item/18092339
Multifunctional Space,Stone,300 sq.m.,Not available,Not available,Other,Separate from the Street,Yerevan › Nor Nork,"$380,000",USD,"A two-story commercial space is for sale in the 3rd block of Nor Nork. The surface of the land is 400 square meters, and the building is 300 square meters. It is fully renovated, equipped with all utilities. The area is two-story, on the 1st floor there are 3 apartments, of which 2 are two-room apartments with their own bathrooms, and the other is a one-room apartment with its own bathroom. And on the 2nd floor there are two apartments, one with three rooms and the other with two. Both with their own private bathrooms. It is suitable for use as an office space, or as a development center, kindergarten, laboratory, etc. For more information call. NarineCode 3264Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/18272834
Office Space,Stone,100 sq.m.,Not available,Not available,First Line,Common from the Street,"Zakian street, Yerevan","$210,000",USD,"Office space for sale at the intersection of Khorenatsi-Zakyan streets. It is the second floor of a stone building, first line, entrance from the street. The area is completely renovated, there is a bax system and air conditioner. It also has an open balcony facing the street. Suitable for any type of office activity. For more information call: MariamCode 5144Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/18166645
Multifunctional Space,Stone,2000 sq.m.,,,,,"Tbilisian Highway, Yerevan","$2,000,000",USD,"A multi-functional commercial space is for sale in K. In Zeytun. The surface of the land is 2500 square meters, and the building is 2000 square meters. It has utilities: Water, sewage, gas and three-phase electricity. It is very suitable for office space, hotel and other activities. For more information call. EdgarCode 1660Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/18295298
Multifunctional Space,Monolith,450 sq.m.,Not available,Not available,First Line,Common from the Street,"Leningradyan street, Yerevan","$550,000",USD,"A three-storey monolithic area is for sale in Ajapnyak. The area is on the 1st line, has glass windows, and the entrance is from the street. It is heated with a central heating system and has two bathrooms. The area is provided with communal facilities. It is convenient to use for any activity, office and so on. For more information call. Hayk:Code 7575Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/18206508
Multifunctional Space,Stone,140 sq.m.,,,,,"Tumanyan street, Yerevan","$650,000",USD,"A commercial space is for sale in the center at the intersection of Tumanyan - Khanjyan streets. The space has two floors and is renovated. It is provided with communal facilities. It has two bathrooms and a kitchen. The space is on the 1st line and has stained glass windows. It is convenient to use for any office activity, and can also serve as a clinic, etc. For more information call. EdgarCode 1591Translated from Armenian",Nov-24-2022_21-42,,https://list.am/en/item/18133307
