Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,Furniture,Links,The House Has,Parking,Appliances,Window Views
Monolith,Yes,Available,32+,45 sq.m.,2,1,from 2.6 m,8,Multiple balconies,Designer Renovation,International › Georgia,"$77,500",USD,"Very urgently!Apartment for sale or exchange in Batumi, Georgia.The apartment is located in ORBI CITY newly built hotel complex.The apartment is furnished, as well as all the necessary electrical equipment is available.The apartment has:Bed,Table with chairs,Sofa,TV 2 pieces,Refrigerator,Air conditioner 2 pieces,Electric heater,Electric kettle,Iron and Ironing table.Hairdryer.Balcony: 6 m2, view to the pool and Sea.City: Batumi, street: Khimshiashvili 7.Price is negotiable.https://www.youtube.com/watch?time_continue=11...Translated from Armenian",Nov-25-2022_14-03,,https://list.am/en/item/14497055,,,,
Monolith,Yes,Available,32+,33 sq.m.,1,1,from 2.8 m,28,Open balcony,Designer Renovation,International › Georgia,"$55,000",USD,Продаётся студио в Батуми Орби Сити. С мебелью и техникой.Расстояние от моря 100 метр.Прекрасный вид на море.Возможен также обмен с квартирой в Ереване.,Nov-25-2022_14-03,Available,https://list.am/en/item/18361447,,,,
Monolith,Yes,Available,15,40 sq.m.,2,1,from 2.8 m,5,Open balcony,Euro Renovation,International › Georgia,"$41,500",USD,"Apartments for sale in the city of Batumi, the apartments are located 200 meters from the sea. Fully renovated and furnished. There is a beautiful view from the balcony. There are also apartments without renovation, in which case the price of the apartment will have a different value. If you buy the apartment, we will help you with the rental.Translated from Armenian",Nov-25-2022_14-03,Available,https://list.am/en/item/16408031,,,,
Stone,Yes,Available,9,50 sq.m.,2,1,from 2.7 m,2,Open balcony,Major Renovation,"Ռուսաստանի փողոց 1/20, Աբովյան","$45,000",USD,"Квартира находится в России в городе Алексин, Тульская область 65 км от Тулы и 140-150 КМ от Москвы, интересует и продажа и обмен на участок, квартиру или машину в Армении.",Nov-25-2022_14-03,,https://list.am/en/item/15104884,,,,
Bricks,Yes,Available,7,102 sq.m.,3,2,from 2.8 m,7,Closed balcony,Designer Renovation,International › Russia,"15,000,000 ₽",RUB,"Квартира находиться в краснодаре.Недалеко от центраKвaртирa в oдном из лучшиx домом на рaйонe из всеx пpедстaвлeнных.Я COБCTBЕННИКРазвитая инфраcтpуктуpaУдoбная трaнспортнaя pазвязка.Bce в пeшей доступнoсти:Рядoм Лeнта, магнит, пятёрочкa, TЦ Крacная площaдь, TЦ Cтpeлка, ТЦ мaндарин, сeмeйный мaгнит, Бacкeт хoл, Бауцентр, Метро, Табрисшкола, детские сады, фитнес клубы, остановки.В 10 минутах ходьбы новая трамвайная ветка!Первая Линия от ул. РоссийскойЕсть парковка перед домомПодъезд всегда идеально чистКачественный натяжной потолок из хорошего материала. Дорогой водостойкий ламинат.Выровнены стены: На стенах Виниловые и бумажные обои.Поменяна вся электропроводка.Проблем с коммуникациями нет.Дом кирпичный, ОЧЕНЬ тёплый.Центральное отопление и водоснабжение.Поменяны трубы, сантехника.Новые счетчики на электричество, на горячую и холодную воду.Большая гардеробная комната.(отопление зимой ставим на самый минимум), светлая, просторная.Входная дверь шумо и тепло изолированная, противовзломная.Коммунальное обслуживание недорогое.При желании могу оставить всё.Всё делалось со вкусом и для себя. Дизайнерский ремонт, дорогие материалы с мебелью.Дорогая японская техника.!При покупке обговорим детально.Приезжайте, смотрите, покупайте.Квартира большая и уютная.ЛИФТ ЕСТЬПлощадью 96м + 6м застекленной лоджии. С двумя выходами. Всего более 102кв.1 этаж. Кухня-гостиная, санузел, лоджия.2 этаж. Хол, две спальни, ванная и большая гардеробная.Реальным покупателям за наличные торгРассмотрю обмен на автомобиль с вашей доплатой.Цена на обмен другая",Nov-25-2022_14-03,,https://list.am/en/item/17152562,,,,
Stone,Yes,Not available,4,35 sq.m.,2,1,from 2.7 m,1,Closed balcony,Euro Renovation,International › Russia,"$52,000",USD,"2-room apartment in Krasnodar city. New building. High 1st floor. Fully renovated, with equipment and furniture. Address Krylatskaya 21.Exchange with real estate in Yerevan.If not available, write hereKrasnodar. 2k square. Overhaul. Furniture. Tech. A move to immovable property in Yerevan.Esli unavailable write sюda:Translated from Armenian",Nov-25-2022_14-03,Available,https://list.am/en/item/13488632,,,,
Stone,No,Available,8,48 sq.m.,2,1,from 3 m,6,Not available,Euro Renovation,International › Russia,"7,500,000 ₽",RUB,"Срочно продаю 2комнатную квартиру в Анапе. Потолок в квартире - 3 м. В санузле имеется джакузи. Дом кирпичный, теплый. От дома до центрального пляжа - 15-20 мин пешком. До высокого берега - 25 мин. Рядом с домом находятся Южный рынок, Красная площадь, школа. Дом находится в тихом, хорошем месте, между двумя пляжами, недалеко от центра.",Nov-25-2022_14-03,By agreement,https://list.am/en/item/17383688,,,,
Stone,Yes,Available,6,57 sq.m.,2,1,from 3.5 m,4,Open balcony,Designer Renovation,International › Other Countries,"€50,000",EUR,"Վաճառվում է շտապ (քաղաք օբզոր, րեզորտ «սանրայզ» ԲՈՒԼՂԱՐԻՅԱигральные комнаты для детей.2 минуты от пляжа, 4 этаж, вид на море с балкона. Болгария, город Обзор, 5-и звездочный резорт Санрайз на берегу моряПолный ремонт, полностью оборудованный:Мебель, техника, кондиционеры, посуда, постельние принадлежности.Паркинг, свой подвал подсобный.4 бассейна для взрослых, 4 для детей, екоозеро по датским технологиям, 2 ресторана, 2 бара кафе,маркет, магазины, СПА, сауна и тд. , фитнесс, корт, футбольное поле, летний кинотеатр,игральные комнаты для детей.2 минуты от пляжа, 4 этаж, вид на море с балкона.",Nov-25-2022_14-03,,https://list.am/en/item/16533460,,,,
Monolith,Yes,Available,32+,28 sq.m.,1,1,from 2.8 m,4,Open balcony,Major Renovation,International › Georgia,"$55,200",USD,"Two adjacent one-room apartments (hotel room, apartment) are for sale in Batumi, in the newly built Orbi City ORBI CITY complex.For sale together with the existing equipment and property. There is 1 new TV, 1 air conditioner, bed, living room furniture, etc.It is located on the first line, fifty meters from the sea shore.There will be shopping centers, gyms, etc. In the complex.The apartment can be rented and provided with income.Payment is possible and completely and partially, through the bank.Translated from Armenian",Nov-25-2022_14-03,Available,https://list.am/en/item/17286396,,,,
Monolith,Yes,Available,23,40 sq.m.,2,1,from 2.75 m,21,Open balcony,Major Renovation,International › Georgia,"$50,000",USD,"ALL PROPERTY ""TECHNICAL"" IS INCLUDED IN THE SALE PRICETwo-room apartment is for sale in Batumi, in a newly built NOVI BULVAR, in an elite building in the district. The apartment is fully renovated. It is provided with all the necessary communications. The entrance door is metallic, the windows are modern plastic ones, the parquet is laminate. The house consists of 2 rooms with a total area of 40 sq. M. Air conditioning is installed. There is cable TV and internet. There is an open balcony with open sea view ․․․It is located on the first line, 200 meters from the sea shore.The building has shopping centers, gyms, numerous shops, restaurants, cafes.Translated from Armenian",Nov-25-2022_14-03,Available,https://list.am/en/item/17302641,,,,
Stone,Yes,Not available,4,60 sq.m.,3,1,from 3 m,1,Open balcony,Designer Renovation,International › Russia,"$150,000",USD,"Շատ շտապ (գինը իչեցվաց է)! Վաճառվում, կամ փոխանակվում է անշառժ գույքի հետ Երևանում, ուղիղ կառուցապատողից 3 սենյականոց բնակարան, Սոչի քաղաքում, կենտրոնական թաղամասում, եվռովերանորոգված։Շենքը գտնվում է ծովից մեկից մի քիչ ավել կիլոմետր հեռավորությամբ, շատ հարմար դիրքում։ Կառուցվաց է բառցրորակ շինանյութերով։Բնակարանը սեփական մութկ ունի, իրեն պատկանոգ կանաչապատ հայաթ եվ տեռռասսա։Վերանորոգված է ժամանակակից, վոչ եժանագին շինանյութերով։ Ունի ծովի տեսարան։Հնարավոր ե նայեվ ֆոխանակում մեգենայի հետ հավելավճարով, նայեվ ուրիշ տարբերակներ։Առկա են նայեվ բնակարաններ ավելի մեծ մակերեսով։ Срочно! Продаётся квартира от застройщика в клубном доме из 11 квартир. Закрытая придомовая территория, парковочное место на квартиру в подарок, террасная крыша с зоной отдыха и барбекю. Сам дом построен из экологичных и качественных материалов (облицован натуральным камнем, витражи германские, балконы отделаны италянской ковкой и плиткой.) Есть высокоскоростной интернет, спутниковое телевидение, газифицирован (установлены немецкие котлы) Расположен в очень динамично развивающем районе Мамайка. Недалеко море, пляжная полоса. Развязки во все стороны, до центра можно доехать за десять минут. Остановка в 150 метрах. Данная квартира угловая, имеет вид на море, расположена на 1 этаже, со своим отдельным входом, с террасой и придомовой территорией, зеленой зоной (можно расположить басеин, зону барбекю) Стены в полный блок и утеплитель. Всё сделана качественно, из недешёвых материалов. Запланирована под трёхкомнатную. Квартир с таким расположением редко можно найти, полная альтернатива частного дома... Ипотека проходит. Ւ",Nov-25-2022_14-03,,https://list.am/en/item/17907414,,,,
Stone,Yes,Available,6,40 sq.m.,2,1,from 3 m,4,Not available,No Renovation,International › Russia,"$140,000",USD,"Very urgent (price reduced)! For sale or exchange with real estate in Yerevan, with a premium class car... , The apartment is located in one of the most dynamic areas of Sochi, on the road junction (Красни полана, Олимпарк), on the banks of the biggest river (Мзымта) The building is very well built, the apartment has a beautiful view of the river. We will discuss the offers...Translated from Armenian",Nov-25-2022_14-03,,https://list.am/en/item/18033532,,,,
Stone,No,Not available,5,37 sq.m.,1,1,from 2.75 m,4,Not available,Euro Renovation,International › Russia,"$60,000",USD,"Продается однокомнатная квартира. Румински проект. В Калужски облост в горде малояарославец. Центре, горда она идеальна для новой семьи, или как вложение, так как квартира находится рядом практически со всеми учебными заведениями, ее можно снять очень быстро, по высокой цене,Продаю как собственник.Цена договорнаяС удовольствием отвечу на все остальные вопросы. Имеца Торг. Или одмен на 2 комнетни квартире. В Ереване",Nov-25-2022_14-03,Available,https://list.am/en/item/18124286,,,,
Monolith,No,Available,17,66 sq.m.,2,1,from 2.8 m,15,Closed balcony,Designer Renovation,International › Russia,"12,500,000 ₽",RUB,Дом бизнес класса в 2х км. От Москвы,Nov-25-2022_14-03,,https://list.am/en/item/17767042,,,,
Monolith,Yes,Available,9,20 sq.m.,1,1,from 2.7 m,8,Not available,Major Renovation,International › Russia,"6,500,000 ₽",RUB,"We are selling a renovated studio in a newly built building in Krasnogorsk, Russia. It is a very good neighborhood, good nature, suitable conditions for a quiet life. The building is handed over. The apartment is furnished. For sale with new furniture and appliances.There is also an exchange option. Can you offer an apartment in Yerevan?Translated from Armenian",Nov-25-2022_14-03,,https://list.am/en/item/17627062,,,,
Bricks,Yes,Not available,5,30 sq.m.,1,1,from 2.6 m,2,Open balcony,Major Renovation,International › Russia,"3,000,000 ₽",RUB,"Продаётся или обменяться квартира в Краснодаре. Новостройка, капитальный ремонт. Во дворе есть детская площадка.Адрес. Г. Краснодар, Прикубанский район, посёлок Краснодарский, 3ий литер",Nov-25-2022_14-03,,https://list.am/en/item/17604566,,,,
Bricks,No,Not available,4,130 sq.m.,5,1,from 3.5 m,4,Open balcony,Old Renovation,International › Georgia,"$110,000",USD,The apartment is sold with partial ownership. Has heating. Built-in cabinets.It is originally a residential building. (brick house)is located in Tbilisi. Near the stadium. On Archil Kurdian Street.(center)It is possible to exchange with the house for an additional feeIt has a garage.Closed yardthe height of the attic is 3.8.Translated from Armenian,Nov-25-2022_14-03,By agreement,https://list.am/en/item/17922912,,,,
Bricks,Yes,Available,17,95 sq.m.,3,2,from 2.75 m,14,Closed balcony,Designer Renovation,International › Russia,"18,000,000 ₽",RUB,"Продается в 3-ех комнатная квартира в ближайшем Подмосковье в г. Реутов ул. Советскаядом сдан в 2013 году, все не обходимое в для комфортного жилья имеется, радом две школы и два дет. Сада, фитнес клуб, остановка общественного транспорта, сетевые магазины и т. Д. , до метро 10 мин на транспортевозможен обмен с квартирой в Ереване + доплата,ПИШИТЕ!",Nov-25-2022_14-03,,https://list.am/en/item/18166752,,,,
Monolith,Yes,Available,24,142 sq.m.,3,2,from 3 m,15,Multiple balconies,Designer Renovation,International › Other Countries,"$430,000",USD,"A spacious 3-room apartment is for sale in a newly built elite building on Storozhevskaya Street, in one of the best parts of the center of Minsk, the capital of Belarus.The floor is 15/24The total area is 142 square metersCeiling height - 3.0 mConsist of,from the lobbyfrom the living roomfrom the kitchen (studio)From 2 bedroomsFrom 2 bathroomshas 2 balconies.The apartment is bright and has a two-sided view. On one side there is a view of the Swisloch River, the ""Island of Tears"" on it, and on the other side the Grand Theater of Belarus. Fully furnished ված equipped with the necessary household appliances.The building has a concierge service. The yard is well-kept, green, there is a playground for children. There is an underground private parking.The Bolshoi Theater, Troitskaya Gora Park, the golf course and other historical, cultural and entertainment places are right next to the building.Code 17885771Translated from Armenian",Nov-25-2022_14-03,,https://list.am/en/item/17885771,,,,
Bricks,Yes,Not available,3,130 sq.m.,6,2,from 3 m,3,Open balcony,No Renovation,International › Russia,"$165,000",USD,"Գործակալություն չէ: Վաճառք սեփականատիրոջից:Меняю Москву на Ереван. Собственник. Обмен. Бартер. Варианты.Таунхаус (квартира-дом 3 этажа со своей парковкой и входом)в Московской области (Киевское шоссе 25 -30 км от МКАД. Дорога 20-30 минут без светофоров до Москвы и метро)Обмен на готовый дом или готовую квартиру в ЕреванеТаунхаус в России в Московской области (новостройка) в закрытом охраняемом поселке.Подведен газ, электричество, канализация, оптоволоконный интернет, водоснабжение. Парковка на два автомобиля КП Апрелевка парк охраняемый поселокЭкологически чистое юго-западное направление. Отличное место для постоянного проживания и отдыха.Рассмотрю обмен на готовое жилье в Ереване или Сочи.Фото таунхауса настоящие Смотрите мои все объявленияСобственник находится в Москве",Nov-25-2022_14-03,,https://list.am/en/item/13374449,,,,
Monolith,Yes,Available,9,160 sq.m.,4,3+,from 3 m,8,Open balcony,Major Renovation,International › Russia,"$2,900,000",USD,"Վաճառվում է 5 սենյականոց բնակարան Ռուսաստանի Դաշնությունում՝ Մոսկվա քաղաքում:Մոսկվա քաղաքի սրտում վաճառվում է Հինգ սենյականոց բնակարան (ակումբային շենքում) բնակելի համալիրում: Շենքը շահագործման է հանձնվել 1999 թ. -ին:Բնակարանի ընդհանուր մակերեսը կազմում է 160 ք. Մ.:Բաղկացած է 3 ննջասենյակից, հյուրասենյակից, 3 սանհանգույցից, առանձին խոհանոցից և 2 փակ պատշգամբներից:Գտնվում է 9 հարկանի շենքի 8-րդ հարկում:Պատշգամբից բացվում է գեղեցիկ քաղաքային համայնապատկեր, ՝ Կրեմլ, Ս. Քրիստոս Փրկչի տաճար և պատմական կենտրոնի տեսարժան վայրեր:Շենքը տեղակայված է մի շարք էլիտար համալիրների հարևանությամբ, Մոսկվայի պատմական թաղամասում:Շենքն ունի ստորգետնյա կայանատեղի:Պրեմիում բնակելի համալիրը կառուցվել է անհատական նախագծով, հայտնի ճարտարապետական ընկերության կողմից: Շենքը աղյուսի-մոնոլիտից է (Кирпично монолитное здание) :Շենքի բնակարանների ընդհանուր քանակը 27 Է:Առաստաղի բաձրությունը 3.00 մ է:Իդեպ նաև ունի կայանատեղի բնակիչների հյուրերի համարՇենքի Հարակից տարածքը պարսպապատված է, անվտանգության պրոֆեսիոնալ ծառայությունը շուրջօրյա հերթապահություն է իրականացնում և իրականացնում է տեղական վերահսկողություն տեսախցիկների միջոցով:Բակը բարեկարգված է, կա զբոսանքի, նստարաններ հանգստի համար:Առաջին հարկում կա լողավազան, մարզադահլիճ՝ մարզասարքերով, ռուսական բաղնիք, սաունա, ընդունարան և գրասենյակներ `բնակիչների առավելագույն հարմարավետության համար:Продается пятикомнатная квартира (в клубном доме) в самом центре Москвы. Здание сдано в эксплуатацию в 1999 году.Общая площадь квартиры 160 квадратных метров. Кватрира состоит из 3 спален, гостиной, 3 ванных комнат, отдельной кухни и 2 закрытых балконов.Находится на 8 этаже 9-ти этажного дома.Из окон квартиры открываются потрясающие виды на город, в частности на Кремль, на Храм Христа Спасителя и расположенные вблизи, являющиеся чудом московской архитектуры, достопримечательности исторического центра города.Высота потолков 3,00 м.Для гостей предусмотрена специальная стоянка.Придомовая территория огорожена, профессиональная служба охраны круглосуточно несет дежурство и локально ведёт контроль, посредством камер видеонаблюдения.Двор благоустроен, оформлена прогулочная зона с лавочками для отдыха.На первом этаже размещены бассейн, спортивный зал с тренажерами, сауна, стойка ресепшн, офисы с дизайнерским ремонтом. Цена $2.900.000 Торг уместен️There is a five-room apartment (in a club building) for sale in the center of Moscow. The building was put into operation in 1999.The total area of the apartment is 160 square meters. It consists of 3 bedrooms, a living room, 3 bathrooms, a separate kitchen and 2 closed balconies.It is located on the 8th floor of a 9-story building.There is a beautiful city panorama from the balcony: Kremlin, S. Christ the Savior Temple, and other views of the historical center.It has underground parking.The ceiling height is 3.00 m.It has a special parking lot for the guests.The area around the building is fenced and the professional security service is on duty around the clock.The yard is renovated, there are benches for rest.There is a swimming pool on the first floor, a gym with exercise equipment, a Russian bath, a sauna, a reception and offices for the maximum comfort of the residents. Sale price: $2.900.000 for request-Kind regards: #asatryanconsulting teamԿոդ 12474731",Nov-25-2022_14-03,,https://list.am/en/item/12474731,,,,
Monolith,Yes,Available,32+,33 sq.m.,1,1,from 2.7 m,15,Open balcony,Designer Renovation,International › Georgia,"$60,000",USD,1-room apartment in a newly built building on the seafront in BatumiThe type of building is a monolith consisting of 55 floorsCompletely renovated and furnished by designersTranslated from Armenian,Nov-25-2022_14-03,,https://list.am/en/item/16199188,,,,
Panels,Yes,Available,4,100 sq.m.,2,2,from 3 m,1,Open balcony,Designer Renovation,International › Other Countries,"$300,000",USD,"Apartments are for sale in a newly built building in Dubai, UAE.The building was commissioned in 2021. In December. Only 4 of the 200 apartments are left.The apartments are built, renovated and furnished in a special design style (State-of-Art Amenities) All apartments have a balcony. There are 1 or 2-room apartments on different floors of the 4-story building.AMENITIES:Children's Swimming Pool, Barbecue Area, Central Air Conditioning, Balcony, Covered Parking, Children's Play Area, Elegant Lobby, Sea Views, Built in Wardrobes, Concierge, Kitchen Appliances, Pets Allowed, Private Garden, Security, Shared Gym, Shared Pool, Shared Spa, Study, View of Landmark1 m/sq. Cost starting around $3,000.There are apartments of different sizes, starting from 95 m/sq.Flexible payment options are available.It is possible to sell apartments in Dubai in cash, by transfer, by paying in cash (USD) in Armenia or in another country, as well as in cryptocurrencies (Bitcoin: BTC - USDT)One-way visa (for 1-2 months)The building has a fitness hall, a swimming pool, a billiard hall, a cinema hall, children's halls, and a suitable area for preparing barbecue.You can also invest in new construction, or buy apartments at much more affordable prices.Call for details.Cooperation with real estate agencies in Armenia is also possible, we are ready to discuss different solutions.Those who are really interested should call.Translated from Armenian",Nov-25-2022_14-03,,https://list.am/en/item/17397674,,,,
Panels,Yes,Available,32+,33 sq.m.,1,1,from 3 m,14,Open balcony,Major Renovation,International › Georgia,"$51,000",USD,Balcony overlooking the sea on the 17th floor of a new uninhabited 55-storey building in Batumi Orby cityTranslated from Armenian,Nov-25-2022_14-03,Available,https://list.am/en/item/17927742,,,,
Stone,,,5,50 sq.m.,2,,,5,,,"Sanahin, Alaverdi","$4,000",USD,"Продается квартира в Алаверди (Санаин), в отличном курортном месте. Прекрасный вид, отличная природа, свежий воздух создают прекрасную атмосферу для летнего отдыха. Квартира без ремонта, и предлагается практически за бесценок. Продается в связи с тем что не проживаем на территории Армении. Требуется капитальный ремонт. Отличное капиталовложение для делового человека.Так же возможен обмен на участок земли или дачу с фруктами, ближе к границе с Грузией (Баграташен, Ноемберян.)Звонить реальным покупателямСпасибоМожно звонить в любое время. Имеется viber и whatsapp на этом же номере",Nov-25-2022_14-03,,https://list.am/en/item/8285853,,,,
Monolith,No,Available,17,63 sq.m.,3,1,from 2.7 m,16,Open balcony,Euro Renovation,International › Georgia,"$75,000",USD,"Продается трехкомнатная квартира на второй линии, по адресу Инасаридзе 24, дом 2016-17 года постройки. Два полноценной комнаты, большой балкон. В пешей доступности от торгового центра.Рассматриваем обмен с жильем в Ереване.По всем остальным вопросам пишите сюда.",Nov-25-2022_14-03,,https://list.am/en/item/18199198,,,,
Monolith,Yes,Available,6,44 sq.m.,1,1,from 2.8 m,2,Closed balcony,Major Renovation,International › Russia,"11,000,000 ₽",RUB,"The apartment is located in Adler, on the first line by the sea. The apartment is equipped with all amenities.Translated from Armenian",Nov-25-2022_14-03,Available,https://list.am/en/item/17334529,,,,
Monolith,Yes,Available,25,57 sq.m.,2,1,from 2.75 m,14,Closed balcony,Major Renovation,International › Russia,"$130,000",USD,"Продажа или обмен 2-х комнатной кв. 55.5кв2,на 3-х ком. Кв. В Ереване.",Dec-15-2022_22-57,Available,https://list.am/en/item/18726624,"Intercom entry, playground",Outdoor parking,"Fridge, stove, dishwasher, washing machine",Street view
