Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,Furniture,Parking,Appliances,Window Views,The House Has,Links
Stone,No,Not available,4,68 sq.m.,3,1,from 2.75 m,4,Open balcony,Old Renovation,Syunik › Sisian,"8,500,000 ֏",AMD,"Продается, просторная 2 комнатная квартира, на улице Гая 10, переделанная в 3-комнатную. Комнаты все большие и светлые. Балкон почти 6 метров. В квартире есть все для проживания, установлен Бакси, металлопластиковые окна, есть мебель и техника. Перед домом имеется земельный участок, который входит уже в стоимость. По всем интересующим вопросам пишите, отвечу.",Nov-25-2022_14-05,,,,,,https://list.am/en/item/16629137
Stone,No,Not available,3,68 sq.m.,3,1,from 2.5 m,2,Closed balcony,Euro Renovation,"Նար-Դոսի փողոց 1, Սիսիան","$25,000",USD,"The apartment is airy. It is in normal condition, the price is negotiable. For sale together with the whole property.Translated from Armenian",Nov-25-2022_14-05,Available,,,,,https://list.am/en/item/17887551
Stone,No,Not available,2,240 sq.m.,4,2,from 3.5 m,2,Multiple balconies,Partial Renovation,Syunik › Sisian,"$30,000",USD,"A two-storey stone house of 3/3 Guy is for sale in Sisan.It has 4 rooms, kitchen and 2 bathroomsarable land with changed three-layer glass windows1800 sq. M. M orchard barn32 sq. M. M permanent hot-cold water gas garage for 2 cars.Price Negotiable.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/17604715
Stone,No,Not available,3,56 sq.m.,3,1,from 3 m,2,Multiple balconies,Old Renovation,"Улица Ованнеса Туманяна 18, Капан","2,200,000 ₽",RUB,"Продается квартира в центе города Капан. Рядом стадион, спортцентр, школа в двух минутах от дома, двор благоустроен, асфальтирован. Квартира со старым ремонтом, из двух комнат переделан в трехкомнатную, но остальные комнаты не потеряли свои метры. Из большого балкона сделана кухня. Присоединено отдельное подсобное помещение.",Nov-25-2022_14-05,,,,,,https://list.am/en/item/17835721
Stone,No,Not available,3,60 sq.m.,3,1,from 2.75 m,1,Not available,Major Renovation,Syunik › Goris,"$40,000",USD,"A 2-room apartment is for sale in the central part of the city, turned into 3, the address is Syunik 17 (apartment 28), capitally renovated, has 5 balconies, is for sale together with the property, has a basement.Translated from Armenian",Nov-25-2022_14-05,Available,,,,,https://list.am/en/item/16682197
Panels,No,Available,9,82 sq.m.,3,1,from 2.8 m,3,Open balcony,Major Renovation,Syunik › Kapan,"30,000,000 ֏",AMD,"Fully renovated 3-room apartment for sale on Minas Papyan street. The apartment faces the sun, has an open balcony, the entrance door is made of iron, larger than the standard size, the windows are of high quality European production, the floor is made of oak wood, the bathroom is made of European tiles, BAXI heating system. The apartment is sold partially furnished and equipped. In the yard, 25 m from the porch, there is a two-story stone garage, the 2nd floor can be used for production purposes. Price with additional cost.Translated from Armenian",Nov-25-2022_14-05,Available,,,,,https://list.am/en/item/18190474
Stone,No,Not available,4,58 sq.m.,2,1,from 2.5 m,4,Closed balcony,Partial Renovation,Syunik › Kapan,"$40,000",USD,"The apartment is located in the city center, near the church, school, kindergartens, carousels, it is sunnyTranslated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/18115381
Panels,No,Available,9,43 sq.m.,2,1,from 2.7 m,4,Closed balcony,Major Renovation,Syunik › Kapan,"11,000,000 ֏",AMD,"It is on the sunny side, it is gasified, it has constant hot and cold water, windows of Euro production.Translated from Armenian",Nov-25-2022_14-05,Available,,,,,https://list.am/en/item/15728233
Panels,No,Available,9,66 sq.m.,2,1,from 2.75 m,4,Closed balcony,Old Renovation,"Ձորք թաղամաս 7, Կապան","$24,000",USD,"Old renovated, gasified, water pipes changed, with furniture, hardwood floor. Or for rent.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/17500709
Stone,No,Not available,3,80 sq.m.,4,1,from 2.8 m,1,Closed balcony,Old Renovation,"Улица Агаси Ханджяна 7, Сисиан","$27,000",USD,Квартира находитца в центре города Сисиана. Отличное место для открытия бизнеса,Nov-25-2022_14-05,Not available,,,,,https://list.am/en/item/17015677
Panels,No,Available,9,65 sq.m.,2,1,from 2.75 m,5,Closed balcony,Euro Renovation,Syunik › Kapan,"$47,000",USD,"A 2-room (3-bedroom) apartment is for sale. In the city of Kapan. Euro-repaired furniture and appliances (gas stove, refrigerator, washing machine, kitchen fan, TV, iron) together with it. It has constant cold and hot (gas boiler) water. It also has a chula on the same floor (5th floor) It has an elevator and is open 24 hours. It is sunny.For details, call the indicated numbers.Price: CONTRACTUALTranslated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/18045488
Stone,No,Not available,5,63 sq.m.,2,1,from 2.5 m,2,Closed balcony,Old Renovation,Syunik › Goris,"12,000,000 ֏",AMD,Վաճառվում է բնակարան ք. Գորիսում։Բնակարանը 2 սենյականոց է՝ ձևափոխած 3-ի։Հասցե՝ Սալ Քար 2շ բն5Ոնի նաև նկուղ։,Nov-25-2022_14-05,,,,,,https://list.am/en/item/16059495
Stone,No,Not available,4,42 sq.m.,1,1,from 2.8 m,4,Open balcony,Old Renovation,"Garegin Nzhdeh Street 10, Kapan","$25,000",USD,The apartment is located in the center and has constant water and gas. It has been converted into two rooms by Nisha.Translated from Armenian,Nov-25-2022_14-05,Not available,,,,,https://list.am/en/item/18341867
Stone,No,Not available,5,100 sq.m.,4,1,from 2.6 m,5,Closed balcony,Partial Renovation,"Syuniq street 14, Goris","$27,000",USD,"An apartment with all communal facilities is for sale in the center of Goris (Syunik 14 apartment 38)Gas, water, electricityThe apartment is located on the 5th floor, but there are two bedrooms and a corridor on the roof of the house. There are stairs inside the house to go to the 6th floor.The apartment has all the first necessary items, including a refrigerator, washing machine, TV, sofa, bed, tables and chairs, etc. , for sale with or without all the property.Price is negotiable.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/17749806
Stone,No,Not available,5,100 sq.m.,4,1,from 2.8 m,5,Closed balcony,Partial Renovation,"Syuniq street 14, Goris","$27,000",USD,"In the center of Goris, (Syunik 14 apartment 38), an apartment with all utilities is for rent.Gas, water, electricityThe apartment is located on the 5th floor, but there are two bedrooms and a corridor on the roof of the house. There are stairs from inside the house to go to the 6th floor.The apartment has all the necessary accessories, including a refrigerator, washing machine, TV, sofa, bed, table and chairs, etc. For sale with or without property.The price is negotiable.The house is also rented for 100,000 drams per month.Translated from Armenian",Nov-25-2022_14-05,Available,,"FRidge, stove, washing machine","STreet view, city view",,https://list.am/en/item/17749813
Monolith,No,Not available,4,79 sq.m.,3,1,from 3 m,3,Open balcony,Cosmetic Renovation,Syunik › Sisian,"$30,000",USD,"3-room apartment for sale in the city of Sisian, on Andranik Zoravar street, on the 3rd floor of a 4-storey building, the apartment has windows of European manufacture, has a basement (20 square meters), gas, constant hot and cold water, the apartment is warm and sunny, it is located close to shops, school and kindergarten.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/18278903
Stone,No,Not available,3,100 sq.m.,3,1,from 2.7 m,3,Closed balcony,Old Renovation,Syunik › Sisian,"$18,900",USD,The apartment is sunny. It is located on Charents street. NegotiableTranslated from Armenian,Nov-25-2022_14-05,Not available,,,,,https://list.am/en/item/18368296
Stone,No,Not available,5,69 sq.m.,3,1,from 3 m,5,Multiple balconies,Cosmetic Renovation,Syunik › Sisian,"$23,000",USD,"3-room apartment is for sale in Getap district. The apartment is in good condition, has open and closed balconies. For sale together with furniture տեխն household appliances.The price includes the garage next to the house - 19.8 sq. M. Meters in area.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/17392318
Stone,Yes,Not available,5,100 sq.m.,4,1,from 3 m,5,Multiple balconies,Euro Renovation,Syunik › Sisian,"$25,000",USD,"4-room apartment is for sale in Sisian, renovated, new furniture is installed in the kitchen, for questions call the mentioned number.Translated from Armenian",Nov-25-2022_14-05,Available,,,,,https://list.am/en/item/15985373
Panels,No,Available,9,90 sq.m.,2,1,from 3 m,3,Open balcony,Cosmetic Renovation,Syunik › Meghri,"$15,000",USD,"Apartment for sale in the city of Meghri, on the 9/3 floor, open balcony, 2 rooms, it is possible to make 3 rooms sunnyThe price is $ 15,000, but if you have a car or cars, we can negotiateTranslated from Armenian",Nov-25-2022_14-05,By agreement,,,,,https://list.am/en/item/15842150
Stone,No,Not available,5,54 sq.m.,3,1,from 2.8 m,1,Open balcony,Partial Renovation,"Գայի փողոց 3, Քաջարան","$20,000",USD,"The apartment is in good condition, on the 1st floor of a 5-story building, partially renovated, an open balcony has been added, the total area is 54 sq. M.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/18260000
Stone,No,Not available,5,78 sq.m.,3,1,from 2.8 m,5,Multiple balconies,Old Renovation,"Orbelyanner street, Goris","$40,000",USD,"The apartment is located in the center of the city of Goris, on the 5th floor of a 5-story stone building, near the Church of St. Grigor Lusavorich, the roof is completely renovated, it is provided with constant hot and cold water, gasification, there is a storage room and a 400-liter water tank on the roof. The apartment is for sale with an 18-square-meter stone garage. Sunny side. Has open and closedNEGOTIABLETranslated from Armenian",Nov-25-2022_14-05,By agreement,,,,,https://list.am/en/item/17862587
Panels,No,Not available,3,60 sq.m.,2,1,from 3 m,1,Not available,Old Renovation,Syunik › Sisian,"$12,000",USD,A 2-room apartment is for sale in Sisian. The price is negotiable.Translated from Armenian,Nov-25-2022_14-05,Not available,,,,,https://list.am/en/item/18216422
Panels,No,Available,9,54 sq.m.,2,1,from 2.8 m,1,Open balcony,Partial Renovation,"Բաղաբերդ թաղամաս 1, Կապան","$23,000",USD,"The apartment has 2 rooms, it was converted into 3; a heating system is installed, it is suitable for living. It is sold with the whole property. The school, Armenian post office, shops are nearby. It is sunny. It is also possible to exchange with a one-room apartment in the center.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/17142185
Stone,No,Not available,5,87 sq.m.,3,1,from 2.8 m,1,Not available,Cosmetic Renovation,"Բաղաբերդ թաղամաս 18, Կապան","13,000,000 ֏",AMD,"3-room apartment for sale in Baghaberd district. Permanent hot water with gas supply Baxi system. For sale together with construction material, Has a basement. Very urgent final priceTranslated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/17257882
Stone,No,Not available,2,36 sq.m.,2,1,from 2.75 m,1,Not available,Old Renovation,"Եղիշե Չարենցի փողոց 21, Ագարակ","$4,200",USD,Շտապ վաճառվում է հանրակացարանի երկու սեյնակները։ Հանրակացարանի սեյնակները սեփականաշնորված է: Գինը սակարկելի ցանկացողները զանգահարեն։,Nov-25-2022_14-05,Available,,,,,https://list.am/en/item/11850830
Stone,No,Not available,4,53 sq.m.,2,1,from 2.8 m,2,Closed balcony,Major Renovation,"Ստեփանյան փողոց 2, Կապան","$53,000",USD,"A 2-room apartment + additional bedroom is for sale on Melik Stepanyan Street, on the 2nd floor of a 4-story stone building.The apartment is fully renovated, facing the sun.The entrance door is iron, the windows are euro, the floor is parquet, the bathroom is tiled. Sanhangutsi, combined, e. Wires and tubes replaced.It has a heating system, constant water and gas. It has a basement of 3 square meters.It is sold together with furniture.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/18364657
Stone,No,Not available,5,77 sq.m.,3,1,from 2.8 m,3,Multiple balconies,Old Renovation,"Եղիշե Չարենցի փողոց 4, Քաջարան","16,500,000 ֏",AMD,"The apartment is located in Charents Street, Kajaran city, 5/3 floor, it is equipped with gas. It has a large economic balcony that can be used as a separate room.The apartment is sold with all property and furniture.Translated from Armenian",Nov-25-2022_14-05,Available,,,,,https://list.am/en/item/18185827
Panels,No,Available,9,81 sq.m.,4,1,from 2.7 m,3,Multiple balconies,Old Renovation,"Aram Manukyan street, Kapan","16,000,000 ֏",AMD,"4-room apartment in Kapan, A. Manukyan 1st alley, 2 buildings, 54 apartments, old renovation. It has closed and open balconies.It is also possible to exchange with a 1-2 room apartment in Kapan for a surcharge of $ 15,000-20,000 (the amount of the surcharge depends on the apartment you offer) The offered apartment should not be on the first and last floors.Please do not offer a surcharge below this level.Translated from Armenian",Nov-25-2022_14-05,Not available,,,,,https://list.am/en/item/14672567
Stone,No,Not available,5,63 sq.m.,2,1,from 3 m,2,Closed balcony,Old Renovation,"Komitas street 38, Goris","$29,000",USD,"The apartment is located in c. In the center of Goris, in front of (Dosaf's building), in need of repair, 2 rooms, it is also possible to decorate 3, it has a basement, permanent water, it has the possibility of gas, there is a hospital, a shop in the nearby areaSold with the propertyTranslated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/18362729
Stone,No,Not available,5,32 sq.m.,1,1,from 2.7 m,4,Not available,Old Renovation,"Shahumyan street, Kapan","6,000,000 ֏",AMD,"An apartment for sale in Kapan city on Shahumyan street (first line), Khrushchev project, on the 5th floor of a 5-story building. The apartment is in STATE condition, in need of major repairs, gas is available, the bathroom is in good condition, it has an open balcony. VERY URGENT!In the advertisement, the floors are indicated incorrectly, it is not possible to correct them yet, the apartment is located on the 5th floor of a 5-story building.Translated from Armenian",Nov-25-2022_14-05,Not available,,,,,https://list.am/en/item/16716029
Panels,No,Not available,5,31 sq.m.,1,1,from 2.5 m,1,Not available,Old Renovation,"Bakunts street, Goris","$17,000",USD,"The apartment is located in Otkaya district, it is gasified, provided with secret and cold water, it has a basement. The price is negotiable.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/16754771
Panels,No,Available,9,82 sq.m.,3,2,from 2.8 m,8,Closed balcony,Old Renovation,"Հալիձոր թաղամաս 13, Կապան","$32,500",USD,A 3-room apartment is for sale in Halidzor district of Kapan city. The apartment is sunny. It has a large covered balcony (can be used as a 4th room) It is sold together with furniture and appliances. It has 2 vaults.Translated from Armenian,Nov-25-2022_14-05,,,,,,https://list.am/en/item/18062018
Stone,No,Not available,3,91 sq.m.,3,1,from 2.7 m,3,Closed balcony,Partial Renovation,"Orbelyanner street, Goris","$45,000",USD,"The apartment is located in the central part of the city. It is a basalt building, arched, the entrance door is iron, excellent, the windows are made of wood, the bathroom is to be repaired.Code N3-347Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/17473373
Stone,No,Not available,3,64 sq.m.,2,1,from 2.7 m,1,Multiple balconies,Major Renovation,"Orbelyanner street, Goris","20,000,000 ֏",AMD,"Capital renovated, central heating system - baxi, has open and closed balconies. It has 2 basements, garage space by decision.Code 3 354Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/18080937
Stone,No,Not available,4,78 sq.m.,3,1,from 2.7 m,4,Closed balcony,Partial Renovation,"Orbelyanner street, Goris","$40,800",USD,"The apartment is in good condition, partially renovated. It's sunny. Sold with garage. Price without garage: $35,700.Code 3 356Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/18081081
Stone,No,Not available,5,44 sq.m.,2,1,from 2.7 m,5,Closed balcony,Major Renovation,"Shahumyan street, Kapan","$35,000",USD,The building behind Dzetski Mir. One room converted into two. Negotiable.Translated from Armenian,Nov-25-2022_14-05,,,,,,https://list.am/en/item/18150118
Stone,No,Not available,5,30 sq.m.,1,1,from 2.8 m,5,Open balcony,Cosmetic Renovation,"Շիրվազանդե փողոց 4, Քաջարան","5,200,000 ֏",AMD,1 room apartment on Shirvanzade street for sale. The apartment is cosmetically renovated.Translated from Armenian,Nov-25-2022_14-05,,,,,,https://list.am/en/item/17174984
Stone,No,Not available,4,53 sq.m.,2,1,from 2.75 m,3,Multiple balconies,Partial Renovation,"M. Stepanyan street 3, Kapan","$40,000",USD,"The apartment is sunny, has a closed and open balcony, is located in the center of the city. On the 3rd floor of a 4-story building, the number of rooms is 2, the renovation is partialPrice: 40,000 dollarsTranslated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/18272714
Panels,No,Available,5,53 sq.m.,3,1,from 2.7 m,5,Not available,No Renovation,"Улица Шаумяна 3, Каджаран","$22,000",USD,"An apartment is for sale in Kajaran, it is possible to rent it80,000 dramsTranslated from Armenian",Nov-25-2022_14-05,Available,,,,,https://list.am/en/item/17295753
Monolith,No,Available,9,59 sq.m.,2,1,from 2.8 m,2,Open balcony,Old Renovation,"Hunan Avetisyan street 1, Kapan","$35,000",USD,The apartment is located in the center of the city. Call for details.Translated from Armenian,Nov-25-2022_14-05,,,,,,https://list.am/en/item/17931996
Stone,No,Not available,5,40 sq.m.,2,1,from 2.8 m,2,Closed balcony,Designer Renovation,"Garegin Nzhdeh Street 16, Kapan","$40,000",USD,"A two room apartment is for sale in the center of Kapan, next to the Marzpetaran (Garegin Nzhdeh 16)The apartment is air-conditioned, has a separate entrance (iron door), is fully renovated, furnished, has all the communal facilities: Permanent hot and cold water, individual heating system as well as air conditioner.The area is under video surveillance.For sale together with property and equipment.Do not worry about useless questions, only real buyers will call.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/17794081
Stone,No,Not available,5,69 sq.m.,3,1,from 2.75 m,3,Multiple balconies,Partial Renovation,"Getapnya street, Goris","$45,000",USD,"A 3-room apartment is for sale in the central part of Goris, very close to the square.It is a sunny, clean apartment, in very good condition, gas-fired, has hot and cold water, quality parquet, tiled kitchen and bathroom, closed and open balcony, beautiful view.There are shops, a school, a kindergarten and all the necessary infrastructure nearby.Translated from Armenian",Nov-25-2022_14-05,By agreement,,,,,https://list.am/en/item/16986322
Panels,No,Not available,5,100 sq.m.,3,1,from 2.8 m,3,Open balcony,Old Renovation,Syunik › Meghri,"14,000,000 ֏",AMD,"Մեղրի քաղաքում՝ Ադելյան փողոցի N11 շենքի 1-ին մուտքի 3-րդ հարկում, մանկապարտեզի և դպրոցի հարևանությամբ վաճառվում է բացօթյա մեծ պատշգամբով երեք սենյականոց արևկող բնակարան, նորմալ, մաքուր վիճակ, հարկում ունի խորդանոց: Հնարավոր է փոխանակում Երևանում համարժեք այլ անշարժ գույքի հետ:Продается 3-х комнатная квартира в городе Мегри (сюникская облость), улица аделяна 11, 3 ий этаж, около детского сада и школы, рядом парк",Nov-25-2022_14-05,Not available,,,,,https://list.am/en/item/12502363
Stone,No,Not available,5,72 sq.m.,3,1,from 2.8 m,4,Multiple balconies,Old Renovation,"Գարեգին Նժդեհ փողոց 20, Կապան","$45,000",USD,"In Kapan Apartment for sale in the center. On the 4th floor of a 5-storey building, 2 rooms, 1 living room, 2 bedrooms, built-in closets, the bedrooms have a balcony, it is for sale together with the furniture. A clean house, you can live without any renovation.Translated from Armenian",Nov-25-2022_14-05,Available,,,,,https://list.am/en/item/17700218
Stone,No,Not available,5,75 sq.m.,3,1,from 2.8 m,5,Open balcony,Partial Renovation,Syunik › Meghri,"12,000,000 ֏",AMD,"3-room apartment on the 5th floor of a 5-storey stone building is currently for sale. The apartment has a large corridor, closed and open balconies, a bathroom, a separate toilet. The rooms are spacious and have separate entrances directly from the corridor. The roof is repaired, it is possible to add a bigger one - Open balcony, there is a permanent water supply. The apartment has a basement on the first floor of the building.Meghri Zoravar Andranik 34/18 (3rd part)house in MeghriTranslated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/17781090
Panels,No,Not available,3,97 sq.m.,4,1,from 2.75 m,2,Not available,Old Renovation,Syunik › Sisian,"$25,000",USD,"The apartment is normally renovated, all facilities are available, sunny side, there is also a storage room of 50 square meters, near Zoramas.Code 1427Translated from Armenian",Nov-25-2022_14-05,By agreement,,,,,https://list.am/en/item/18263947
Stone,Yes,Not available,1,41 sq.m.,2,2,from 2.7 m,1,Closed balcony,Designer Renovation,"Մուշեղ Հարությունյան փողոց 8, Կապան","10,000,000 ֏",AMD,"The apartment is fully renovated, somewhat modified.2-room, with separate entrances and separate bathrooms, at the moment every room is rented monthly.Translated from Armenian",Nov-25-2022_14-05,Available,,,,,https://list.am/en/item/17086246
Stone,No,Not available,4,84 sq.m.,2,1,from 2.8 m,1,Closed balcony,Old Renovation,Syunik › Agarak,"$22,000",USD,"3-room apartment for sale in Agarak, is in good condition, for detailsCall for CallTranslated from Armenian",Nov-25-2022_14-05,Not available,,,,,https://list.am/en/item/17524385
Stone,No,Not available,5,28 sq.m.,1,1,from 2.8 m,1,Not available,Cosmetic Renovation,"Hunan Avetisyan street, Kapan","$17,000",USD,The apartment has 2 certificatesThe premises are connected to each other and is now a functioning guest houseSuitable for and living and business at the same timeThe price includes the property and equipmentIt was renovated 2 years agoThe entrance is from the yardTranslated from Armenian,Nov-25-2022_14-05,,,,,,https://list.am/en/item/17991889
Stone,No,Not available,1,110 sq.m.,3,1,from 2.75 m,1,Closed balcony,Partial Renovation,"Կենտրոնական փողոց 1, Ագարակ","$12,000",USD,"Private house for sale in Meghri-Karchjan village. Has a basement, near the house, with fruit trees (16) For details callTranslated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/17915358
Stone,No,Not available,5,45 sq.m.,2,1,from 2.75 m,5,Closed balcony,Old Renovation,Syunik › Sisian,"$15,000",USD,The apartment was converted from 1 room to 2Translated from Armenian,Nov-25-2022_14-05,,,,,,https://list.am/en/item/18159134
Stone,No,Not available,4,60 sq.m.,2,1,from 2.6 m,1,Closed balcony,Cosmetic Renovation,Syunik › Kapan,"$35,000",USD,"2-комн. Квартира. В Сюнике в центре города Капан, ул. Чаренца 4, продается квартира, 60 кв. М. , 1/4 этаж, косметический ремонт, каменное здание, в квартире есть газ, имеется возможность достроить 3 комнату, удобно также использовать в комерческих целях, по другим вопросам звоните по указанному номеру.",Nov-25-2022_14-05,Available,,,,,https://list.am/en/item/17999908
Panels,No,Available,9,68 sq.m.,2,1,from 2.8 m,8,Open balcony,Major Renovation,"Davit Bek street, Kapan","$47,000",USD,"2-room apartment is for sale in Davit Bek district of Kapan city. The apartment is spacious, capitally renovated. It has an open balcony with a beautiful view. The price of the apartment includes all the property. Price is negotiable.Translated from Armenian",Nov-25-2022_14-05,Available,,,,,https://list.am/en/item/17710688
