Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Address,Price,Currency,Description,Datetime,Parking,Links
Office Space,62 sq.m.,,,,,,,,,"Տիգրան Մեծ պողոտա 22, Վանաձոր","160,000 ֏",AMD,"Vanadzor, Tigran Mets Avenue, 22 neighborhoodTranslated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/16535751
Retail Space,54 sq.m.,,,,,,,,,"Բուլղարական ավան 2-րդ թաղամաս 42, Վանաձոր","$19,000",USD,"A building is for sale. Total 50 square meters. It is provided with water, sewerage and three-phase electricity. The area is for sale together with the furniture intended for the grocery store. GINIS SAKARKELI. 《《Property IS NOT SOLD SEPARATELY》》Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/13718216
Multifunctional Space,136 sq.m.,,,,,,,,,"Tumanyan street 4, Vanadzor","450,000 ֏",AMD,Utility with all amenitiesTranslated from Armenian,Nov-24-2022_22-31,,https://list.am/en/item/18293690
Hotel,120 sq.m.,,,,,,,,,"Mv/Chapaev street 3, Vanadzor","12,000 ֏",AMD,"Guest house NOY, гостевой дом NOYFamily vacation rooms with daily rentWe provide breakfastThe rooms have a bathroom, Wi-Fi, refrigerator, TV...We wish you a pleasant rest in a family environment. The indicated price is for 1 personTranslated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/17807658
Everything Else,63 sq.m.,,,,,,,,,"Agayan street, Vanadzor","65,000 ֏",AMD,"Suitable for trade, office and small productionThe front has a green area of 50 square metersLocated on the corner of the streetTranslated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/18224330
Building,800 sq.m.,,,,,,,,,"Улица Лалвари 7, Ванадзор","1,000,000 ֏",AMD,Commercial building for rent. All details by phone. Price is conditional.Watch the video 1 Translated from Armenian,Nov-24-2022_22-31,,https://list.am/en/item/17576892
Industrial and Manufacturing,1500 sq.m.,,,,,,,,,"Улица Вардананц 2, Ванадзор","430,000 ֏",AMD,"Сдаётся в аренду промышленный, торговый участок- помещения 400кв/м + 150кв/м + парковка 1000кв/м со всему удобствами, 3-х вазное кабель высокого напряжения, вода техническая и питевая, канализация предназначена для производства, пол мозаика, крыша бетон панели, стены обшиты обшивкой.Помещения имеет в наличии 2 отдельных входа выхода и можно взять в аренду часть помещения. Цена договорная.Վարձակալության է տրվում արտադրական տարածք 1500 քառ. Մ. ։ 600 քառ. Մ շինություն արտադրություն կազմակերպելու կամ բազա ստեղծելու համար, հատակը՝ մոզայկա, տանիքը՝ բետոն (պանելային), շինությունը ունի սառնարային խցիկ (սենյակ-30 քառ. Մ), շինությունը ունի երկու մուտք մեծ մեքենաների համար:1100 քառ. Մ. Կայանատեղի, բաց տարածություն. Հոսանքը՝ եռաֆազ, կա ենթակայան, տեխնիկական և խմելու ջուր, կոյողի։Տարածքը տրվում է ամբողջությամբ կամ մասնակի։",Nov-24-2022_22-31,,https://list.am/en/item/17527100
Retail Space,70 sq.m.,,,,,,,,,"Զորավար Անդրանիկի փողոց 95Մ, Վանաձոր","200,000 ֏",AMD,"70 sq. M. Area of an existing pharmacy is for rent. M. On the surface. The area has all utilities, three-phase electricity, constant hot and cold water, 6 cameras, sound signal (signaling)If desired, the space will be emptied for other purposes. In case of need, the 2nd floor will also be given, with the same area, for details, call the indicated phone number.Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/18037256
Everything Else,98 sq.m.,,,,,,,,,"Shinararneri street 7, Vanadzor","60,000 ֏",AMD,"An area of 98 square meters is for rent, it has an entrance from both sides of the building.Translated from Armenian",Nov-24-2022_22-31,,https://list.am/en/item/16922347
Office Space,165 sq.m.,,,,,,,,,Lorri › Spitak,"300,000 ֏",AMD,"Վարձով է տրվում գրասենյակային տարածք ք․ Սպիտակում (հասցե՝ ք․ Սպիտակ, Ս․Ավետիսյան 6) : Ընդհանուր մակերեսը 165 մ2։ Տարածքը գտնվում է ք․ Սպիտակի կենտրոնական հատվածում, միջպետական М3 ճանապարհի վրա, եկեցեղու դիմաց։Տարածքն ունի չորս մուտք՝ փողոցի կողմից և շենքի բակից։ Ամբողջովին գազաֆիկացված է և վերանորոգված։ Բաղկացած է երկու սանհանգույցից, 5 սենյակներից (41,3 մ2, 41,3 մ2, 20,4 մ2, 20,4 մ2, 16,4 մ2) ։ Տարածքն ունի նաև մեկ սենյակ, որն ունի ելք դեպի շենքի բակ։ Տարածքը բաղկացած է նաև նկուղից, որը կարող է ծառայել որպես պահեստ, ինչպես նաև գանձապետարան կամ այլ նպատակների համար։Ցանկության դեպքում կարող է տրամադրվել նաև մասնակի՝ վերոնշյալ տարածքի աջ կամ ձախ մասը։Ամսական վարձավճարը 300,000 ՀՀ դրամ է (սակարկելի), կքննարկվեն նաև Ձեր առաջարկները։Մանրամասների համար կարող եք զանգահարել նշված հեռախոսահամարով կամ գրել նշված էլ․ հասցեին (էլ․ հասցե – h.ghubatyan@gmail.com) ։",Nov-24-2022_22-31,,https://list.am/en/item/6757966
Retail Space,30 sq.m.,,,,,,,,,Lorri › Vanadzor,"60,000 ֏",AMD,A vegetable area is for rent near the grocery store... It is located next to the 3rd school... It has regular customers.Translated from Armenian,Nov-24-2022_22-31,,https://list.am/en/item/16728902
