Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Facilities,Service Lines,Appliances,Links
House,Monolith,600 sq.m.,2,6,2,Not available,2 spots,No Renovation,750 sq.m.,"Babayan street, Yerevan","$620,000",USD,"2-storey house for sale in Monument, the entire house area is fenced. Basement 3 + bathroom 6-7 rooms under the whole house.Code L-4040Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/12284173
Townhouse,Monolith,217 sq.m.,3,5,2,,,Partial Renovation,200 sq.m.,Yerevan › Ajapnyak,"$1,000",USD,Type:TownhouseBuilding type:Monolith:Number of floors:2:Number of rooms:5:Number of bathrooms:2:Total area:217 c. Մ.The area of the land is 200 square meters. Մ.Translated from Armenian,Nov-24-2022_23-14,,,,https://list.am/en/item/17843271
House,Stone,180 sq.m.,2,5,2,,,Old Renovation,,"Jrvezh 2-nd street, Yerevan","23,000,000 ֏",AMD,"2/3 / storey private house, the entrances of the floors are for sale separately, it has a toilet area, two big huts, a garage, permanent cold water is gasified, it has no land. 180/120Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17322441
House,Stone,500 sq.m.,3,6,2,Available,1 spot,Major Renovation,,"Forest Street, Yerevan","$800,000",USD,"Area: 200 sq. M.Land 500 sq. M.Taxes: 3room: 6bedroom: 3bathroom: 2kitchen: 2storage room: 1Balcony: 1Basement: YesRepair: NormalParking: Stone garageRent: AMD 1,000,000Sale: 800,000 USDCode: GS-T199Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/14085033
House,Monolith,264 sq.m.,2,5,3+,Available,Not available,Designer Renovation,580 sq.m.,"Ghapantsian street, Yerevan","$480,000",USD,"In Adonts districtThe apartment is modernly renovatedIt has an open balconyIndividual heating systemThe entire floor is heatedBuilt-in kitchen furnitureBuilt-in wardrobesThe entire property is for sale with appliancesLand 577 square metersResidential 264 square metersOutdoor pavilionParking for 2-3 cars3 bathrooms1 bedroom has 1 bathroom and dressing roomWe can provide detailed pictures upon your requestThe yard improvement works are still in progress, the buyer will be handed over a renovated, well-maintainedIt is possible to exchange with an apartment in Arabkir for your additional feeSelling in EUROS OR RUBLES is possibleNEGOTIABLE URGENTCode 7886Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/18375730
House,Stone,151 sq.m.,2,5,2,Available,Not available,Euro Renovation,551 sq.m.,Yerevan › Nork-Marash,"$170,000",USD,"Private house for sale in Nork Marash, with 550 sq. M. Fenced land, house area 75 sq. M., 2 floors, total 150 sq. M., capitally built. Has constant hot and cold water, BAXi system.The house was built in 2019.Code T0003Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/16856411
House,Monolith,150 sq.m.,3,7,3+,By agreement,Not available,Euro Renovation,,Yerevan › Ajapnyak,"$170,000",USD,"Կոդ` D-17539Վաճառվում է 3 հարկանի 7 սենյականոց առանձնատուն Նորաշենում։ Առանձնատունը նորաոճ վերանորոգված է։ Մուտքի դուռը՝ երկաթյա, պատուհանները՝ եվրո, հատակը՝ լամինատ, սալիկապատ։ Սանհանգույցները (3) ՝ համակցված, նորաոճ սալիկապատ, էլ․ լարերը և խողովակները՝ փոխված։ Ունի քարե պարիսպ, բուխարի, բարեկարգ բակ, խոհանոցի կահույք, ներկառուցված պահարաններ, ջեռուցման համակարգ, մշտական ջուր և գազ։Գործակալության միջնորդավճարը կազմում է 2%, ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։3-storey house for sale in Norashen. The rooms' quantity is 7. The house is modern renovated. The entrance door is iron-made, the windows are euro-based, the floor is covered by laminate and is tiled. The bathrooms (3) are combined and newly tiled, the electric wires and pipes are newly changed. The house has a stone fence, fireplace, garden, kitchen furniture, built-in closets, heating system and is supplied with constant water and gas.The commission of the Real Estate Agency is 2%. For showing the real estate a contract is signed. Please have passport, ID or driving license with You.",Nov-24-2022_23-14,,,,https://list.am/en/item/14130449
House,Stone,1000 sq.m.,3,8+,3+,,,Euro Renovation,,Yerevan › Ajapnyak,"$500,000",USD,"Կոդ՝ D-20010Վաճառվում է 3 հարկանի 8 սենյականոց առանձնատուն 17 թաղամասում` 1000քմ հողատարածքով և 350քմ բնակելի տարածքով։ Առանձնատունը նորաոճ վերանորոգված է, առաջին գիծ։ Մուտքի դուռը՝ երկաթյա, պատուհանները՝ եվրո, հատակը՝ լամինատ, սալիկապատ։ Սանհանգույցները (3) ՝ համակցված, նորաոճ սալիկապատ։ Ունի քարե պարիսպ, քարե ավտոտնակ, ձեղնահարկ, բարեկարգ բակ՝ պտղատու և դեկորատիվ ծառերով, ծաղկանոց, լողավազան, խոհանոցի կահույք, ջեռուցման համակարգ, մշտական ջուր և գազ։Գործակալության միջնորդավճարը կազմում է 2%, ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։3-storey house for sale in 17 District. The rooms' quantity is 8. The house is modern renovated, the first line. The entrance door is iron-made, the windows are euro-based, the floor is covered by laminate and is tiled. The bathrooms (3) are combined and newly tiled. The house has a stone fence, stone garage, loft, garden with fruitful and decorative trees, flowerbed, pool, kitchen furniture, heating system and is supplied with constant water and gas.The commission of the Real Estate Agency is 2%. For showing the real estate a contract is signed. Please have passport, ID or driving license with You.",Nov-24-2022_23-14,,,,https://list.am/en/item/12690604
House,Monolith,120 sq.m.,2,4,2,Not available,Not available,No Renovation,300 sq.m.,"Lukashin street, Yerevan","$75,000",USD,"Two-storey house for sale in Lukashin district, next to the North-Haraf highway.A newly created district. The house is one-story with a mansard on the 1st floor, 64 square meters, the mansard is about 50 square meters, the fenced land is 250 square meters. Power cords pulled partially plastered pole. All communications nearby.Call for more information.Agency commission is 2%. An exhibition contract is signed for the shows. Please have an identity document with you.Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17489447
House,Stone,500 sq.m.,2,4,1,By agreement,3 or more spots,Euro Renovation,,Yerevan › Ajapnyak,"$335,000",USD,"Կոդ` D-5536Վաճառվում է 2 հարկանի 4 սենյականոց առանձնատուն Գ-1 թաղամասում, 500քմ․ հողատարածքով և 300քմ․ բնակելի տարածքով։ Առանձնատունը նորաոճ վերանորոգված է: Մուտքի դուռը` Երկաթյա, հատակը՝ սալիկապատ, պատուհանները՝ եվրո: 2 սանհանգույց՝ համակցված սալիկապատ, էլ. Լարերը և խողովակները՝ փոխված: Ունի ջեռուցման համակարգ, մշտական ջուր և գազ: Առկա է նկուղ`90քմ, ավտոկայանտեղի, բարեկարգված բակ, պտղատու այգի, ծաղկանոց, քարե ցանկապատ, երկաթյա դարպաս: Մուտքը՝ բակից: Տեսարանը՝ դեպի բակ և փողոց:Գործակալության միջնորդավճարը կազմում է 2%, ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։2 floor 4 room house in G-1 block for sale. Newly remodeled. Iron entrance door, tiled flooring, euro windows. Combined tiled toilet (2), the electric wires and pipes are changed. Has a heating system, water, gas, cellar 90sq, parking, garden with fruit trees, stone fence, iron gate. The entrance is from the yard. The view is towards the yard and the street.The commission of the Real Estate Agency is 2%. For showing the real estate a contract is signed. Please have passport, ID or driving license with You.",Nov-24-2022_23-14,,,,https://list.am/en/item/14326394
House,Stone,135 sq.m.,2,4,2,By agreement,Not available,Euro Renovation,117 sq.m.,"Hovhannes Shiraz street, Yerevan","$177,000",USD,"A two-storey newly built (2019) private house with 117 square meters of land, 135 square meters of living space, double stone walls, monolithic concrete roofs is for sale in Ajapnyak, on Shiraz Street. Ground floor: Hall, living room, kitchen and bathroom. On the second floor, 3 bedrooms, a bathroom, 2 open balconies. It has a parking lot in front of the building, a yard of about 50 square meters (playground) The house is newly renovated. It has a heating system. It's close to the bus stop and shops.Code D-21272Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17011362
House,Stone,121 sq.m.,2,5,2,By agreement,Not available,Partial Renovation,130 sq.m.,"Qeri street, Yerevan","$135,000",USD,"Կոդ՝ D-22844Վաճառվում է 2 հարկանի 5 սենյականոց առանձնատուն Քեռու Փողոցում։ Առանձնատունը միջին վիճակում է, առաջին գիծ։ Մուտքի դուռը՝ երկաթյա, պատուհանները՝ եվրո, հատակը՝ մանրահատակ, սալիկ, սանհանգույցը՝ առանձին։ Առանձնատունն ունի բաց պատշգամբ, բարեկարգ բակ, ծաղկանոց, մշտական ջուր և գազ։Գործակալության միջնորդավճարը կազմում է 2%, ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։2-storey house for sale in Qeru Street. The rooms' quantity is 5. The house is middle renovated and is stationed on the 1st line. The entrance door is iron-made, the windows are euro-based, the floor is covered by parquet and is tiled, the bathroom is separate. The house has a balcony, nice yard, flowerbed, and is supplied with constant water and gas.The commission of the Real Estate Agency is 2%. For showing the real estate a contract is signed. Please have passport, ID or driving license with You.",Nov-24-2022_23-14,,,,https://list.am/en/item/18197325
House,Stone,400 sq.m.,2,8+,1,By agreement,2 spots,Cosmetic Renovation,300 sq.m.,Yerevan › Ajapnyak,"$135,000",USD,"Կոդ՝ D-19960Վաճառվում է 3 հարկանի 10 սենյականոց առանձնատուն Խ․ Խաչատրյան փողոցում։ Առանձնատունը միջին վիճակում է, առաջին գիծ։ Մուտքի դուռը՝ երկաթյա, պատուհանները՝ փայտյա, հատակը՝ մանրահատակ, պրեսգրանիտ, սալիկ, 2 սանհանգույց՝ նախկին սալիկապատ։ Ունի ձեղնահարկ, ծածկապատշգամբ, կախովի պատշգամբ, քարե ավտոտնակ, նկուղ, բարեկարգ բակ՝ պտղատու ծառերով, ծաղկանոց, ջեռուցման համակարգ, մշտական ջուր և գազ։Գործակալության միջնորդավճարը կազմում է 2%, ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։3-storey house for sale in Kh. Khachatryan Street. The rooms' quantity is 10. The house is middle renovated, the first line. The entrance door is iron-made, the windows are wooden, the floor is covered by parquet, solid-granite and is tiled. The bathroom is separate and former tiled. The house has a loft, 2 balconies, stone garage, cellar, garden with fruitful trees, flowerbed, heating system and is supplied with constant water and gas.The commission of the Real Estate Agency is 2%. For showing the real estate a contract is signed. Please have passport, ID or driving license with You.",Nov-24-2022_23-14,,,,https://list.am/en/item/14616063
House,Stone,197 sq.m.,2,4,2,By agreement,1 spot,Major Renovation,107 sq.m.,Yerevan › Davitashen,"$120,000",USD,"Կոդ՝ D-17248Վաճառվում է 2 հարկանի 4 սենյականոց առանձնատուն Իոսիֆյան փողոցում։ Առանձնատունը կապիտալ վերանորոգված է, առաջին գիծ։ Մուտքի դռները (2) ՝ երկաթյա, պատուհանները՝ եվրո, հատակը՝ մանրահատակ, լամինատ, սալիկապատ, սանհագույցը՝ սալիկապատ։ Ունի ձեղնահարկ, ավտոտնակ, խոհանոցի կահույք, ներկառուցված պահարաններ, վերելակ, ջրի բաք (500լ), ջեռուցման համակարգ, մշտական ջուր և գազ։",Nov-24-2022_23-14,,,,https://list.am/en/item/13562385
House,Stone,175 sq.m.,1,4,1,Not available,2 spots,Old Renovation,75 sq.m.,"Lepsius street, Yerevan","$75,000",USD,"Private house in Zeytun in state condition, basement under the whole house Very UrgentTranslated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/16216842
House,Stone,100 sq.m.,1,2,1,Not available,Not available,Old Renovation,200 sq.m.,"Lepsius street, Yerevan","$50,000",USD,"In Zeytun, old renovation, euro windows, Baxi gas, Svakh bathroom, 3 houses with running Armenians, three for sale together or on the porch Very UrgentTranslated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/16840651
House,Stone,117 sq.m.,1,4,1,By agreement,2 spots,Major Renovation,247 sq.m.,Yerevan › Ajapnyak,"$160,000",USD,"Կոդ՝ D-17608Վաճառվում է առանձնատուն Գ1 թաղամասում, 247քմ․ հողատարածքով և 117քմ․ բնակելի տարածքով։ Առանձնատունը կապիտալ վերանորոգված է, առաջին գիծ։ Մուտքի դուռը՝ երկաթյա, պատուհանները՝ եվրո, հատակը՝ լամինատ, սալիկապատ։ Սանհանգույցը (2) ՝ համակցված, նորաոճ սալիկապատ։ Ունի քարե պարիսպ, ավտոկայանատեղի, ջեռուցման համակարգ, մշտական ջուր և գազ։ Վաճառվում է գույքով և տեխնիկայով։ Տան հետ վաճառվում է նաև ավտոլվացման կետ 43քմ-30000$ և մթերային խանութ 32քմ-23000$։Ավտոլվացման կետը և մթերային խանութը վաճառվում են ամբողջ գույքի և տեխնիկայի հետ միասին։1-storey house for sale in G1 Block. The rooms' quantity is 4 (1 hall and 3 bedrooms) The house is newly renovated and stationed on the first line. The entrance door is iron-made, the windows are euro-based, the floor is covered by laminate and is tiled. The bathrooms (2) are combined and modern tiled. The house has a stone fence, heating system and is supplied with constant water and gas. Car wash, grocery store․",Nov-24-2022_23-14,,,,https://list.am/en/item/14259546
House,Stone,400 sq.m.,3,8+,3+,,,Designer Renovation,480 sq.m.,"Տիգրան Պետրոսյան փողոց 2/1, Երևան","$360,000",USD,"It is a capital construction, the rune basement is 3 m high, the private house is in an elite district next to the city, there is a three-phase rune electricity, there is always water, heating, the repair works are not finished, the last floor works are in progress. The interior works are finished.Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/16586935
House,Stone,170 sq.m.,1,5,2,,,Cosmetic Renovation,,Yerevan › Davitashen,"$200,000",USD,"Հիմնովին նորոգված 5 սենյականոց առանձնատուն, 18 մ ճակատ։ 170 քմ տուն, 400 քմ հողակտոր:Կոդ SH828",Nov-24-2022_23-14,,,,https://list.am/en/item/12515451
House,Stone,500 sq.m.,3,6,3+,,,Major Renovation,,Yerevan › Kentron,"$600,000",USD,"Three-storey newly built, luxurious private house in the center.1100 square meters of land.4 bedrooms, 3 bathrooms,2 car garage.Two-way entrance [u] [b] (LOCATED BETWEEN TWO STREETS) [/ u] [/ b][b] NOT INHABITED.FOR SALE WITH ALL PROPERTY. [/ B]Code SH829Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/12521737
