Type,Land Area,Address,Price,Currency,Description,Datetime,Service Lines,Links
For Residential Development,1700 sq.m.,"Tbilisian Highway, Yerevan","$170,000",USD,Land for sale in Tbilisi highwayplot is on second line very good location call for detailsCode A04199Translated from Armenian,Nov-25-2022_00-43,,https://list.am/en/item/17410774
For Residential Development,400 sq.m.,"Tichina street, Yerevan","$43,000",USD,"Code: D-14352Above Tichina street, in the V-3 district near the north-south highway, a 400 sq. M. Rectangular land plot with all its communal facilities is for sale: Gas, electricity, drinking water, drainage. The land is flat, the front on the street is 16 m. In case of building a private house, the orientation of the windows will be north-south.Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/17117927
For Residential Development,560 sq.m.,"Melkumov srteet, Yerevan","15,000,000 ֏",AMD,A plot of land near the house is for sale in the Melkumov district of Davtashen on the road to the graves.The land is located in a residential area.For more information call:Agency commission is 2%. An exhibition contract is signed for the shows. Please have an identity document with you.Translated from Armenian,Nov-25-2022_00-43,,https://list.am/en/item/12630076
For Residential Development,500 sq.m.,"Shahumyan 6th street, Yerevan","$75,000",USD,"Կոդ` B-23059Վաճառվում է բնակելի կառուցապատման նշանակության հողատարածք Շահումյան 6-րդ փողոցում։ Ունի պտղատու ծառեր, քարե պարիսպ, հոսանք, մշտական ջուր և գազ:Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A land of residential meaning for sale in Shahumyan 6-th Street. It has fruitful trees, stone fence, electricity and is supplied with constant water and gas.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-25-2022_00-43,,https://list.am/en/item/18318813
For Residential Development,400 sq.m.,Yerevan › Malatia-Sebastia,"$24,000",USD,"Участок для жилой застройки в Малатия-Себастия, Ахтанак.400 кв. М. , расположен недалеко от Юго-Западного массива. 9-ая улица.Все коммуникации рядом.Звоните по номеру+ 4915758977546 на WhatsApp",Nov-25-2022_00-43,,https://list.am/en/item/18005842
For Residential Development,471 sq.m.,"Nairi Zaryan street, Yerevan","$210,000",USD,"First line on Nairi Zaryan street, land 471 sq. M., front 16 m, length 27 m, significance for residential construction, gas + water + electricity, for details call Very Urgent CODE H 02.042Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/16776892
For Residential Development,3110 sq.m.,Yerevan › Ajapnyak,"$650,000",USD,"A plot of land is for sale in G-3 district, on Nazarbekyan street. It is in a populated district.It is located near the newly built road.All communications are available. It is flat land and privatized.Not for partial sale.Selling price: 650,000 USDCode: GS-H94Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/14295812
For Residential Development,533 sq.m.,"Melkumov srteet, Yerevan","$90,000",USD,"Melkumov street near Davtashen Ashtarak road, there is 445 square meters of land in the neighborhood for $85,000, also for sale together 979 square meters for $180,000, electricity + gas + water drawn Very Urgent COD H04.046Agency commission 2%Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/18061371
For Residential Development,300 sq.m.,Yerevan › Arabkir,"$189,000",USD,"Նաիրի Զարյան փողոցի հարևանությամբ, թիվ 51 դպրոցի մոտ, 14 մ ճակատով։Հարմար է առանձնատուն և 4-5 հարկանի նորակառույց կառուցելու համար։Կոդ SH854",Nov-25-2022_00-43,,https://list.am/en/item/12679423
For Residential Development,4000 sq.m.,Yerevan › Davitashen,"$160,000",USD,"The plot of land in the newly built district is located in Davitashen Zovuni, 1 sq. M. M. $40PART SALE POSSIBLETranslated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/15951950
Agricultural,550 sq.m.,Yerevan › Davitashen,"$35,000",USD,It is located behind Zovun's chastFor more information callTranslated from Armenian,Nov-25-2022_00-43,,https://list.am/en/item/17463618
For General Purpose,30 sq.m.,Yerevan › Erebuni,"$9,000",USD,A stone building is for sale on 3 by 10 near Artsakh street.Translated from Armenian,Nov-25-2022_00-43,,https://list.am/en/item/18178544
Agricultural,3000 sq.m.,Yerevan › Shengavit,"$60,000",USD,"Land for sale in Nerkin Charbakh, suitable for building houses, greenhouses, garden and other purposesTranslated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/17392405
For Residential Development,480 sq.m.,Yerevan › Nubarashen,"$11,500",USD,"The house is located in a good asphalt, 2 paved roadsTranslated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/16444118
For Residential Development,1000 sq.m.,"Nazarbekyan block, Yerevan","$145,000",USD,Community Ajapnyak URGENTNazarbekyan districtIt has two facades in front and back 20m from two streetsThe depth is 50mIt is fencedCode 30254Translated from Armenian,Nov-25-2022_00-43,,https://list.am/en/item/17520786
For Residential Development,1150 sq.m.,Yerevan › Ajapnyak,"$83,000",USD,URGENT!A plot of land near the house is for sale in Mush districtHigh position with open viewIt has two frontsCode 30324Translated from Armenian,Nov-25-2022_00-43,,https://list.am/en/item/18165273
For Residential Development,1300 sq.m.,"Leo street, Yerevan","$1,400",USD,For saleLand in the centerType: For residential buildings.The total area is 1300 sq/mFront - 28 metersCan be expanded up to 2000 sq. MCode 30316Translated from Armenian,Nov-25-2022_00-43,,https://list.am/en/item/17148507
For Residential Development,500 sq.m.,"Nazarbekyan block, Yerevan","$60,000",USD,Community - AjapnyakNazarbekyan districtThe front is 13.5 mDepth 40 mHigh and free view positionCode 30253Translated from Armenian,Nov-25-2022_00-43,,https://list.am/en/item/17518943
For Residential Development,300 sq.m.,"Շրջանցիկ Թունել փողոց 25/4, Երևան","$32,000",USD,"300 sq/m plot of land for sale in Arabkir, Bypass Tunel street 25/4Near the house, 1st line, 30m/sq buildingTranslated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/18160973
For Residential Development,1780 sq.m.,Yerevan › Ajapnyak,"$60,000",USD,"For sale.The land is located in ProshyanIt is close to (Ashtarak highway, Ajapnyak administrative district), the importance of residential development.Code 30315Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/14157600
For Residential Development,"11,000 sq.m.",Yerevan › Kentron,$275,USD,Land for sale in the center of Yerevan5 minutes drive from the small center to the plotThe total area of the land is 11000 square metersThe cost of 1 square meter of land is equivalent to 275 USDThe Hrazdan River flows byTranslated from Armenian,Nov-25-2022_00-43,,https://list.am/en/item/17988546
For Residential Development,3300 sq.m.,"Argishti street, Երևան","$1,400,000",USD,"3300 square meters of construction land for sale on Argishti Street, near Yerevan City Hall! A viewing contract is required to view the propertyCode 21639Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/18257090
Agricultural,250 sq.m.,Yerevan › Malatia-Sebastia,"$20,000",USD,The land is located near 34 Kanetsi. Has gas light water sewerage possibilityTranslated from Armenian,Nov-25-2022_00-43,,https://list.am/en/item/17801611
Agricultural,700 sq.m.,Yerevan › Malatia-Sebastia,"$23,000",USD,Urgent land for sale in Haghtanak district. It is very convenient to build a house in case of changing the purpose. There is also a road to the plot from Sheram Street via a robot factory. Call the listed phone numbers for details. Price is negotiable.CODE 4:Code Code 4Translated from Armenian,Nov-25-2022_00-43,,https://list.am/en/item/17138159
For Residential Development,400 sq.m.,Yerevan › Avan,"$34,000",USD,"A land near the house in Arinj, near the church, is for sale very urgently. The land is fenced on both sides, there is a house, fruit trees, sewerage, electricity, permanent water, gas is very close. In case of sale, the house and the stone intended for the construction of the house are given together with the land.The parameter of the plot is 10x40.The area is completely inhabited.CODE 078:Code Code 078Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/16951786
For Residential Development,600 sq.m.,Yerevan › Davitashen,"$120,000",USD,Urgent land near the house in Davitashen for details call or write mail. To Ru. URGENTLY NEGOTIABLETranslated from Armenian,Nov-25-2022_00-43,,https://list.am/en/item/17751506
For Residential Development,420 sq.m.,Yerevan › Nubarashen,"$22,000",USD,"The land is fenced, there are fruit treesTranslated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/17768088
For Public Buildings,400 sq.m.,Yerevan › Nor Nork,"$150,000",USD,"Commercial land is for sale in Nork 9 block, on the central street, 1 line with a front of 16 meters, in a busy area of 400 sq. M. It's possibleexchange options with apartment, space, car with surcharge. He also paid us extra.Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/16311262
For Residential Development,400 sq.m.,Yerevan › Avan,"$45,000",USD,"Arinj Mall, about 800 square meters of land with fruit trees with drinking water 18 meters in frontTranslated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/16541489
For Residential Development,2000 sq.m.,Yerevan › Kanaker-Zeytun,"$20,000",USD,"2000 sq. I sell or exchange for a car, land.Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/17542923
For Residential Development,1500 sq.m.,Yerevan › Avan,"$150,000",USD,"Land for sale, located in Avan-Arinj community.Meaning-residentialThe area is 1500 square metersFront-23 mThe plot is suitable for building Townhouses.Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/16243955
For Residential Development,600 sq.m.,"Դավթաշեն 2-րդ թաղամաս 10, Երևան","$130,000",USD,Land for residential house 600m2 near Davtasheni Park for sale. Negotiable without an intermediary.Translated from Armenian,Nov-25-2022_00-43,,https://list.am/en/item/18116300
For Residential Development,600 sq.m.,"Silikyan 3rd street 11, Silikyan","$50,000",USD,Residential Land In a very convenient location Privatized Very urgent land for sale at the beginning of Silikyan district Near the land near the central streetCode PR220Translated from Armenian,Nov-25-2022_00-43,,https://list.am/en/item/17362252
For Residential Development,940 sq.m.,Yerevan › Davitashen,"$120,000",USD,"A plot of land for sale in Davtashen, on the Ashtarak highway. The total area is 940 square meters. The land is flat, located on the 2nd line. Communications are nearby.In case of questions related to the land, or to get acquainted with other properties, please call the indicated phone number.Sincerely, PROJECT real estate agency.Code 9002Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/18202514
For Residential Development,500 sq.m.,Yerevan › Kentron,"$650,000",USD,Address: ProshyanNext to Lovers' Park.Area: 500 square metersMeaning: Residential DevelopmentCommunication: AvailablePrice: 1300 USD per square meterCode: GS-H66Translated from Armenian,Nov-25-2022_00-43,,https://list.am/en/item/13987632
For Residential Development,360 sq.m.,Yerevan › Shengavit,"$16,000",USD,"Land near the house is for sale in Nerkin Charbakh. It is very good land, flat, corner land, communications are close.For sale urgently.Code MA-555Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/13465422
For Residential Development,1000 sq.m.,Yerevan › Avan,"$102,000",USD,"A plot of land with an area of 1000 square meters in Khachatur Abovyan district25m frontage, flat land, water supplyCode 0100343Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/17658110
For Residential Development,320 sq.m.,Yerevan › Avan,"$55,000",USD,"A fenced land with iron gates is for sale, first line.Light water and gas pass directly next to the plotWithout a mediator.Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/17232525
For Residential Development,147 sq.m.,"Տիգրան Մեծ պողոտա 59/24, Երևան","$91,000",USD,"A 147 square meter residential construction plot of land is for sale on Tigran Mets street (Tigran Mets-Glinka intersection), first line. It has a small building subject to demolition, electricity, sewerage, permanent water and gas. Front length: 10m. It is suitable for the construction of various buildings.Can serve as storage, office space, development center, hostel, etc. It is possible to build even two two-story private houses due to the length of the facade. The plot of land is located at the rear of Tigran Mets 59 building. The price is final and cannot be negotiated under any circumstances (especially over the phone) Please do not make unnecessary calls.Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/17529519
For General Purpose,182 sq.m.,"Hovsep Emin street 112/2, Yerevan","$30,000",USD,"Վաճառվում է հողատարածք շինությունով: Մանրամասների համար զանգահարել վայբերի կամ վոթսապի տակ նշված համարներով: Продается земля с уже имеющимся строением. Для подробностей звонить по указанному номеру под Вайбер или вотсап. Номера просто указаны под Вайбер и вотсап, звонить как по обычному телефону.",Nov-25-2022_00-43,,https://list.am/en/item/18375338
For Residential Development,450 sq.m.,Yerevan › Malatia-Sebastia,"$80,000",USD,Blessed Home:Land for sale on Tichina street.Call for details.Translated from Armenian,Nov-25-2022_00-43,,https://list.am/en/item/18112457
For Residential Development,1000 sq.m.,"Silikyan new highway, Yerevan","$150,000",USD,A plot of land near the house in district G1 is for sale.1 square meter $150. For more information call:Translated from Armenian,Nov-25-2022_00-43,,https://list.am/en/item/18135950
For Residential Development,1000 sq.m.,Yerevan › Davitashen,"$130,000",USD,Blessed Home:Land for sale in Kasakh.It is possible to sell half of the land;The price of 1 square meter is indicated;Translated from Armenian,Nov-25-2022_00-43,,https://list.am/en/item/18129162
For Residential Development,500 sq.m.,"Գ-1 թաղամաս 1, Երևան","$90,000",USD,"A plot of land near the house is for sale in Silikyan G 1 district.Land entrance from Shiraz street.2nd row, 15 meters front, 33 meters long.For details, call the indicated phone number.Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/18201385
For Residential Development,1000 sq.m.,"Nazarbekyan block, Yerevan","55,000 ֏",AMD,"Blessed Home:A half sale of land is also possible. Nazarbekyan district. K. N. The price is $120. Negotiable. For details, call the indicated phone number or you can visit our office: Mazmanyan 1, Garage Mall, Pavilion 7.Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/18087890
For Residential Development,3500 sq.m.,Yerevan › Nor Nork,"$420,000",USD,David Bey AvenueLight waterSewer:Code 4567Translated from Armenian,Nov-25-2022_00-43,,https://list.am/en/item/14613961
For Residential Development,800 sq.m.,Yerevan › Avan,"$195,000",USD,"M-22263Վաճառվում է 800 քմ բնակելի/հասարակական կառուցապատման հողատարածք Ավան-Առինջում: Ունի քարե պարիսպ, պտղատու ծառեր, խմելու և ոռոգման ջուր, հոսանք, գազի հնարավորություն:Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։800 sq. M land of residential/public use for sale in Avan-Arinj. The land has a stone fence, fruitful trees, drinking and irrigation water, electricity and the possibility of gas supply.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-25-2022_00-43,,https://list.am/en/item/17813894
For General Purpose,800 sq.m.,Yerevan › Kentron,$600,USD,"A plot of land for sale in the center of the community at the height of the Hrazdan River, has a wonderful view. It has water and sewage. The area is 800 square meters. The price of 1 square meter is $600. The space is also suitable for hotels and guesthouses.If you wish, I will sell 500 square meters.Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/17901002
For Residential Development,525 sq.m.,Yerevan › Nubarashen,"$4,000",USD,"Land plot No. 15 of the 9th district of Yerjan Nubarashen community, privatized. On the way to Masis. If you have any questions, callTranslated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/16293739
For Residential Development,1800 sq.m.,Yerevan › Erebuni,"4,000 ֏",AMD,"URGENT for sale, near the house, land, residential, sorbulakh in Dacha, 1000 sq. M. Exchange with an equivalent car...Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/12526420
For Residential Development,800 sq.m.,Yerevan › Kanaker-Zeytun,"$34,000",USD,"Code: D-22489A 800 square meter (16X50) flat plot of land with all utilities is for sale in Kanaker near the radio tower. The entire plot is fenced on 2 sides with a stone fence and on 1 side with a metal fence. The front of the land on the street is 16m. It is suitable for building a private house. The land is of agricultural significance.The commission of the agency is 2%, for the exhibitions a contract of exhibition is signed. Please have an identity document with you.The commission of the Real Estate Agency is 2%. A contract is signed for showing the real estate. Please have passport, ID or driving license with you.Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/15366394
For Residential Development,600 sq.m.,Yerevan › Shengavit,"$6,000",USD,Վաճառվում է բնակելի շինությունների համար հողատարածք Նոր ԽարբերդումHoxatarack tnamerdz Nor Xarberdum.,Nov-25-2022_00-43,,https://list.am/en/item/15946950
For Residential Development,560 sq.m.,Yerevan › Nork-Marash,"$130,000",USD,"558 sq m land for sale in Nork, uphill towards Bellagio. On a two-way road. Has a beautiful private house project. The foundations are dug/earthworks. Done/: It has a concrete pool. Great view of the city. It is possible to exchange with an apartment in the Center, also with an additional fee from me, or with a car worth up to $45,000 (preferably a Mercedes S222) with an additional fee from you. Price negotiable. I will answer in writing.Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/12553093
For Public Buildings,220 sq.m.,Yerevan › Malatia-Sebastia,"$20,000",USD,220 square meters in Haghtanak district. Մ.Land near the houseCall the numbers listed for detailsTranslated from Armenian,Nov-25-2022_00-43,,https://list.am/en/item/17665873
For Residential Development,780 sq.m.,Yerevan › Malatia-Sebastia,"$210,000",USD,"Land for sale in Malatia-Sebastia communityMeaning: Residential neighborhoodArea: 780 square meters.Frontage: 18.2 meters, fencedThere is a building of 31 square meters. Surfacewith all communications, has the possibility of gasFor details, call the indicated numberTranslated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/17804783
Agricultural,5000 sq.m.,Yerevan › Malatia-Sebastia,$30,USD,"Land for sale in Malatia-Sebastia community, in RobotsSignificance: AgriculturalArea: $ 5,0001 c. Մ. - $ 30:Partial sale is possibleCall the numbers listed for detailsTranslated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/17805108
For Residential Development,500 sq.m.,"Bagrevand street 19, Yerevan","$82,000",USD,Земельный участок для постройки дома со всеми коммунальными возможностями,Nov-25-2022_00-43,,https://list.am/en/item/18169622
For Residential Development,500 sq.m.,Yerevan › Malatia-Sebastia,"$100,000",USD,"Տնամերձ նշանակության, ճակատ 22մ, լավ դիրքով, նաև կա ևս 500քմ նույն արժեքով կպածկոդ՝ 22972",Nov-25-2022_00-43,,https://list.am/en/item/12150595
For Residential Development,7560 sq.m.,"Մարշալ Բաբաջանյան փողոց, Երևան","$5,000,000",USD,"Marshal Babajanyan 15/2 AvanThere is also an apartment building of 39,000 square meters on the land.Residential 32,000Approved project (АПЗ)For details, call the indicated numbersTranslated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/18023511
For Residential Development,1000 sq.m.,Yerevan › Davitashen,"$200,000",USD,"0600140In Davitashen community, in the improved part of Melkumov district, a plot of land with an area of 1000 sq/m is for sale, with a two-story half-built building with a total area of 110 sq/m. 25 meters frontage 40 meters depth. The road to the property is paved. There is an approved building permit for one more house. Water and e. Power on. Fenced on three sides. All in the neighborhood are newly built private houses. Can be negotiated.Code 0600140Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/18119864
For Residential Development,800 sq.m.,Yerevan › Avan,"$90,000",USD,"The land is located on Duryan 7th street, flat land has almost no slope, gas and water are very close. 2 Houses are built next to it. Price is negotiable, very urgent, also exchange with an apartment in a new buildingTranslated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/17496670
For Residential Development,374 sq.m.,Yerevan › Arabkir,"$182,000",USD,"A plot of land intended for residential construction is for sale on Avet Avetisyan Street. The area is provided with all utilities.For details, you can call the indicated phone numbersCode H-724Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/18106847
For Residential Development,1000 sq.m.,Yerevan › Davitashen,"$60,000",USD,Land for sale in Zovuni in the Central part. The significance of the plot is close to home.For more information call: NarineCode 3007Translated from Armenian,Nov-25-2022_00-43,,https://list.am/en/item/14932126
For Residential Development,1000 sq.m.,"Duryan street, Yerevan","$70,000",USD,"A plot of land near the house in Avan is for sale. It is 1000 square meters, the facade is 25 meters. For more information call: EdgarCode 1306Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/17406264
For Residential Development,320 sq.m.,Yerevan › Avan,"$22,400",USD,Near Arinj Mall320m near the houseClose to the station14m frontageTranslated from Armenian,Nov-25-2022_00-43,,https://list.am/en/item/18351878
For Residential Development,500 sq.m.,"Նորքի 5-րդ փողոց 13Բ, Երևան","$135,000",USD,"Front part 17 m. The land is fenced, inside there is a foundation of 199m. K. АПЗ of a 2-storey building is availableand a project of a 4-storey multi-apartment building (16 sq. M.)Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/18216613
For Residential Development,483 sq.m.,"Նոր Արեշի 43-րդ փողոց 1, Երևան",$250,USD,"A very good and suitable plot of land for building a private house is for sale. The land is 14 m in front, 34.5 m in depth, all the construction documents and permission are available. The project of a 2-storey house, electricity, water, gas, is only 50 meters away from the main road. It is located at the back of Paruyr Sevak School. The price is preliminary. $250 per square meterOwner:Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/18172745
For Residential Development,1800 sq.m.,"Hrachya Acharyan street, Yerevan",$200,USD,"Plot of land for sale, Avan Acharyan str.Translated from Armenian",Nov-25-2022_00-43,"ELectricity, water supply, natural gas, sewerage",https://list.am/en/item/17104595
For Residential Development,600 sq.m.,Yerevan › Arabkir,$35,USD,"Land near the house for sale in Korea Dzor, has fruit trees, a half-built building, 48 sq. M., there are communal facilitiesTranslated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/17267294
For Residential Development,1000 sq.m.,"Marshal Khudyakov street, Yerevan","$120,000",USD,"Имеется забор, ворота, калитка, домик металлический, электричество, вода и саженцы фруктовых деревьев. Участок ровный. Находится Аван-Ариндж, 13-я улица Мгера Мкртчяна.",Nov-25-2022_00-43,,https://list.am/en/item/17801112
For Public Buildings,2600 sq.m.,Yerevan › Kanaker-Zeytun,"$23,000",USD,"Land on Ghapantsyan street, 2600 square meters, frontage 115m, close to communications, beautiful view, price $23,000.Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/18100802
For Residential Development,324 sq.m.,"Yerznkian Street, Yerevan","$324,000",USD,Վաճառվում է սեփական տուն Երզնկյան փողոցում ընդհանուր մակերես@ 324 ՔՄ. 1 ՔՄ- արժեք@ 1000 ԱՄՆ դոլլարին համարժեք դրամПродается собственный дом на улице Ерзнкян с общей площадью 324 м2. Цена 1000$ за квадратный метр.House on sale on Erznkyan St 324 SQ/M for 324000 USD (1000$ per squere meter),Nov-25-2022_00-43,,https://list.am/en/item/18347833
For Residential Development,500 sq.m.,Yerevan › Erebuni,"3,000,000 ֏",AMD,"A plot of land for sale, with a two-story building, located in the Erebuni administrative district, (in Shorbulakh dachas) there is only fixed water and electricity (no drinking water and gas), it is also sold closed, with a mandatory 1.5 million advance payment, without any type of advance payment not given. In the case of Pakov, the price is 4 million.Translated from Armenian",Nov-25-2022_00-43,,https://list.am/en/item/18220195
