Type,Land Area,Address,Price,Currency,Description,Datetime,Service Lines,Links
For Residential Development,1500 sq.m.,Armavir › Haykashen,"2,000,000 ֏",AMD,"1,500 Karakus near the house, near the main road, there is light and waterTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/18170722
For Residential Development,890 sq.m.,"Երիտասարդական փողոց 6, Պտղունք","$23,000",USD,"Gas, water and irrigation water are protected on both sides300 meters from the Yerevan-Echmiadzin highwayTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17008465
For Residential Development,1200 sq.m.,Armavir › Haykashen,"1,000,000 ֏",AMD,Haykashen Metsamor Crossroads For home details callTranslated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/17931769
Agricultural,6200 sq.m.,"Մեսրոպ Մաշտոցի փողոց 22, Գեղակերտ","2,000,000 ֏",AMD,"Arable land for sale, sown with high-quality SUPER ELITA HA. 13 TON of wheat with ready fruit in the village of Samaghar, there is no water problem, the price is final, 2,000,000 dr. , with a certificate, 6200 sq. M.There is no open closing. Only real buyers should call. Do not call to drop a priceTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17624395
Agricultural,7000 sq.m.,Armavir › Echmiadzin,"$15,500",USD,"An apricot orchard with two-year-old trees on half a hectare is for sale.More than 3,000 meters of garden with 20-year-old poppy and apricot trees remained. Beautiful view of Masis mountain.Ara mountain Aragats mountainSuitable for all kinds of activities, potatoes, etcIn the new garden there is (alfalfa) to be harvested 4 times a yearIt is located on the top of the soil, drip irrigation is possibleExchangeTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/16992513
Agricultural,"10,000 sq.m.",Armavir › Vardanashen,"$5,000",USD,"There is no water problem, the aqueduct is at the top of the ground.Will exchange for an equivalent car.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17661480
For Residential Development,500 sq.m.,Armavir › Parakar,"$15,000",USD,"VM984Armavir, Parakar/Musaler/Urgent sale500 square meters of land near the housecommunications are availablefencedTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/18288882
For Residential Development,1100 sq.m.,Armavir › Mrgashat,"$3,900",USD,"Land near the house for sale, in Mrgashat village.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/16799324
For Residential Development,2000 sq.m.,Armavir › Echmiadzin,"5,100,000 ֏",AMD,There is no building within 1000 metersTranslated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/15777279
For Residential Development,946 sq.m.,Armavir › Armavir,"$10,000",USD,The foundation of the house is 125 square meters.Translated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/16278687
Agricultural,2200 sq.m.,Armavir › Armavir,"$15,000",USD,Suitable for sowing all kinds of fruits and vegetables. Next to the water pipe.Translated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/16278676
Agricultural,"800,000 sq.m.",Armavir › Shenik,"$280,000",USD,80 հեկտար հողը գտնվում է Բագարանում (այլ անվանումը Խոտալու) Արմավիրի մարզ30 հեկտարի վրա ցանած է արվույթ (յոնջա)Հաղատարածքը լիարժեք ապահովված է ջրով (ջրագծերով)Շահույթաբերությունը 10-13 000 000 դրամ տարեկանԲերքը հավաքվում է 3 անգամ (3 բերան) ընդանուր 750-800 տուկ մեկ հեկտարիցԲոլոր տեղադրված լուսանկարները իրական են:Հնարավոր է նաև վարձակալություն:ՑԱՆԿՈՒԹՅԱՆ ԴԵՊՔՈՒՄ ԿԱՐՈՂ ԵՄ ՕԳՆԵԼ ՎԱՐԿԻ ՏՐԱՄԱԴՐՈՒՄՈՎ:Земли (80 га) находятся в селе Багаран (Армавирская область)Из 80 гектаров 30 засеяны люцернойВсе участки обеспечены водой для поливкиГодовая доходность 10-13 000 000 драмВозможна аренда.Могу помочь в предоставлении банковской ссуды.,Nov-25-2022_00-54,,https://list.am/en/item/17800937
For Residential Development,1003 sq.m.,Armavir › Dasht,"$5,000",USD,"The land is located in Aygeshat village, near the road, near the house, on 21/49Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17366614
For General Purpose,2000 sq.m.,Armavir › Armavir,"40,000,000 ֏",AMD,Greenhouse farm 1800 square metersTranslated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/18006458
For Residential Development,800 sq.m.,Armavir › Echmiadzin,"$20,000",USD,"The plot of land is located 300m from the Yerevan-Echmiadzin highway in PTGUNK community, 800m with a 20m frontage and 40m depth, I have several parcels of land for sale.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/13041861
For Residential Development,610 sq.m.,Armavir › Tairov,"$25,000",USD,"I am selling a plot of land very urgently, it has a road on 3 sides, in the community of Tairov, details are available on the phone, please callTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/18241816
Agricultural,5600 sq.m.,Armavir › Aknalich,"$5,000",USD,"An irrigation canal runs along the plot, the sluice is directly in front of the plotTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17976427
Agricultural,8500 sq.m.,Armavir › Mrgashat,"5,000,000 ֏",AMD,Land for sale in Mrgashat village with an area of 8500 square metersthe area is emptyTranslated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/17543748
For Residential Development,620 sq.m.,Armavir › Parakar,"$25,000",USD,"The front part of the land is 17.10, the length is 36.5. There is water and gas in the area. The price is negotiable.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17839790
For Residential Development,1000 sq.m.,Armavir › Dasht,"$7,000",USD,"Close to homeCultivated garden, water, four-year-old fruit trees,Electricity, gas possibilityThere are residential houses nearby20 km from YerevanTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/16480136
Agricultural,"10,000 sq.m.",Armavir › Echmiadzin,"$9,000",USD,"At the beginning of the highway from Etchmiadzin to Ashtarak, 1 hectare of arable land is for sale on the 2nd line, very close to the asphalt ․ Irrigation water is a parable, drinking water passes under that land, and there is gas and electricity nearby, because there are facilities in that area. There is a road right next to the land, which will facilitate the harvest.Code 15975Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/14117353
Agricultural,3600 sq.m.,"Սայաթ Նովա փողոց 6, Ոսկեհատ","2,250,000 ֏",AMD,"The land is of agricultural purpose, on the road from Ostrovsky street of Zvartnots private houses to Voskehat village.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/18186164
For Residential Development,1230 sq.m.,"Ավետիք Իսահակյան փողոց 1, Շահումյան","1,250,000 ֏",AMD,"The land is located in Shahumyan community of Armavir region, the purpose is for residential construction.Code 3-30Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/15152001
Agricultural,"30,000 sq.m.",Armavir › Armavir,"2,700,000 ֏",AMD,"The land is located in Baghramyan region of Armavir region, the purpose is agricultural.Code 3-31Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/15148881
Agricultural,"10,000 sq.m.",Armavir › Echmiadzin,"8,000,000 ֏",AMD,"On the main road from the first stream, on the track, suitable for any activity, close to the newly opened market, YEREVAN, on the October track, with the possibility of gas, irrigation water, M5, that's why this price is urgent.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/16313084
Agricultural,8000 sq.m.,Armavir › Echmiadzin,"$18,000",USD,A car exchange for any business is convenient for the newly opened Etchmiadzin market on the highwayTranslated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/16349558
For Public Buildings,4500 sq.m.,Armavir › Metsamor,"$80,000",USD,Land for sale on Yerevan-Armavir road. 82 meters front 54 meters long. For sale in parts (10metr-10000 $) Exchange with an apartment is possible.Translated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/14534142
For Residential Development,1500 sq.m.,Armavir › Vardanashen,"$2,000",USD,Water is close to lightTranslated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/17680076
Agricultural,"1,100,000 sq.m.",Armavir › Armavir,"340,000,000 ֏",AMD,(Հողատարծք) Продается земельный участок площадю в 110 гектаров. Территория снабжена электричеством и водой. Есть собственный трансформатор мощностью в 100 Квт. Торцевой частью длиной в 350м участок примекает к дороге Мргашат-Аревик. Участок может применятся для любой деятельности.,Nov-25-2022_00-54,,https://list.am/en/item/17540933
For Residential Development,2000 sq.m.,Armavir › Echmiadzin,"$133,000",USD,"A half-built building is for sale on the front line of the October Yerkhanyan highwayLand 2000 sq. M. Building 120 sq. M. It has a deep, three-phase electricityCode H067Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17349404
For Residential Development,730 sq.m.,Armavir › Echmiadzin,"$39,500",USD,2 plots of land near the house are for saleEtchmiadzin city at the beginning of Aram Manukyan districtArea 730Water stuckAshotFor more information callCode A084Translated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/17449901
Agricultural,4200 sq.m.,Armavir › Echmiadzin,"3,500,000 ֏",AMD,"Arable land for sale, 4200 meters of land, water, light, deep in the village, alfalfa exchange, ford transit het Livestock You can make different things with cattle, cattle farm, workshop, greenhouse, for other questions you can callTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17231825
Agricultural,"10,000 sq.m.",Armavir › Parakar,"$35,000",USD,"Agency commission $ 1000Urgent liquidation price Village village for sale, but about 1 hectare (10,000 square meters) of land in the newly built area, 500 meters from Yerevan highway. The land is 10 kilometers away from Yerevan city. Ability to drill water from a depth of 24 meters below, which contains drinking water components.The land is also suitable for building a private house. Drinking water and electricity are located 200 meters away from the land. There are cherry trees for 5 years.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/14945343
For Residential Development,570 sq.m.,"Շարլզ Ազնավուր փողոց 86, Փարաքար","$19,000",USD,"The address is indicated on the map. 11 kilometers from Yerevan, a plot of land in Parakar, 570 square meters (without an intermediary) At the moment it is agricultural, but it is possible to develop. All utilities pass directly in front of the land (water, electricity, gas) The plot is located in a very good neighborhood. Paraqar, Paraqarum, Parakar, Parakarum.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/18265118
For General Purpose,4500 sq.m.,"Armavir Province Roadway, Hovtashat","$20,000",USD,"3 adjacent land, for sale together, has several fruit trees, located in Aygeshat villageTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/16940410
For General Purpose,360 sq.m.,Armavir › Metsamor,"19,000,000 ֏",AMD,"The area was located in front of the Leader gym, next to school No. 1. 24m front 24m/15m, + 4 meters forward ability. Boat for sale in parts, call for detailsTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/18117907
For Industrial Use,2700 sq.m.,Armavir › Bambakashat,"$16,000",USD,"Bambakashat village, Armavir marz. 226.6 square meters semi-built, strong pillars are available, it remains to line up the walls. The ownership right to the land was transferred to RA on 04.10.2005. In accordance with the requirements of Article 23 of Law No. 199-N, legal state registration arising from further alienation transactions of the property will be made upon presentation of a receipt for the payment of the current cadastral value of the land (3 671 352 AMD) The above amount will be deducted from the sale price.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17653491
Agricultural,700 sq.m.,Armavir › Taronik,"$12,000",USD,The price is negotiable. 700 square metersTranslated from Armenian,Nov-25-2022_00-54,,https://list.am/en/item/18206569
For Residential Development,1040 sq.m.,Armavir › Margara,"$25,000",USD,"Very urgently. I am not a broker. Very good, flat land. It is located at the beginning of Margara village, in a very good location. The 4th plot from the main road. It is suitable for any type of residential construction. All communications are available in the area. The Turkish border checkpoint is 1 km from the land. Negotiable for cash. Exchange with an equivalent car or at an additional cost on your part. I would also be interested in a 3- or 4-room apartment in exchange, with an additional fee from me. You can write or call for details.Exchange for a carlandPlot of landLand areaClose to homeArmavirEtchmiadzinOctoberTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/15887847
For Residential Development,1000 sq.m.,"Էջմիածնի խճուղի 18, Ապագա","$11,500",USD,"Land near the house is for sale in Apaga village, behind the monument. Land area 1000 square meters (20 m front, 50 m depth) In case of a real buyer, it is negotiable.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17591640
For Residential Development,860 sq.m.,"Սուրբ Փրկչի փողոց 1, Մուսալեռ","$18,000",USD,"A plot of land near the house is for sale in the village of Musaler (20 km from Yerevan)It has a very good location as well as the possibility of water, gas and electricity.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/18022946
For Residential Development,1200 sq.m.,Armavir › Echmiadzin,"$6,000",USD,"Land for sale in Armavir region5 km away from EtchmiadzinCommunity Khoronk / LenughiIt is the second community after Etchmiadzin1200 square meters near the houseIrrigation water, electricity, addressTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/15674950
Agricultural,2400 sq.m.,Armavir › Parakar,"$150,000",USD,Продается очень срочно!1-я линия!На обочине дороги!Հարմար է բիզնես գործունեության համար։ՇՏԱՊ. ՇՏԱՊ. ՇՏԱՊ.,Nov-25-2022_00-54,,https://list.am/en/item/17343792
Agricultural,4800 sq.m.,Armavir › Armavir,"3,000,000 ֏",AMD,"The vineyard is located on the Mrgashat-Norapat road, the total area is 4800 square meters, call for details.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/18183355
Agricultural,"14,200 sq.m.",Armavir › Aygek,"$30,000",USD,"Privately owned land for urgent sale, located in Aygek village of Etchmiadzin district, 15 kilometers from Yerevan, the road is asphalted on the side of Medzavan, there is also a road on the side of Aygek village.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/18158069
Agricultural,5700 sq.m.,Armavir › Musaler,"$25,000",USD,"A flat plot of land of rural significance with an area of 5700 square meters is for sale very urgently. There are 50 fruit trees in the plot. Utility with all amenities. Suitable for any business activity. The land is located in Musaler Village. For other details, call the indicated phone numbers.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/18282198
Agricultural,"12,000 sq.m.",Armavir › Armavir,"$160,000",USD,"12000 sq. M. It has its own artisan, about 400 yards, the front is 64 meters, it is located on the Armavir-Yerevan highway, suitable for business.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/13308570
For Residential Development,1360 sq.m.,"Davit Bek street, Yerevan","$6,500",USD,"Etchmiadzin - Aratashen village. For sale: 1360 square meters near the house. The foundation of the fence is poured. 120 meters away from the main road. Close to the sewer, left the place. Gas is 120 meters away.LAND on the roadside near the house. It is suitable for building a greenhouse, a cattle farm and a house. Call for details. UrgentTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/17710701
For Residential Development,500 sq.m.,"1district, Metsamor","2,000,000 ֏",AMD,"Land near the house is for sale in 3 districts, near the sports complex. Near the water, fenced.Translated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/16584807
Agricultural,"53,000 sq.m.",Armavir › Echmiadzin,"$105,000",USD,"It is located 15 km away from Yerevan, Echmiadzin Zvartnots communityTotal 5.3 hectares. Negotiable.Land, PlotTranslated from Armenian",Nov-25-2022_00-54,,https://list.am/en/item/15634031
