,Construction Type,New Construction,Elevator,Floor,Number of Rooms,Number of Bathrooms,Floor Area,Ceiling Height,Balcony,Renovation,Address,Price,Currency,Description
10,Stone,No,Not available,1 / 4,3,1,71 sq.m.,from 2.5 m,Closed balcony,Partial Renovation,"Margarian street, Yerevan","$70,000",USD,"3 s for sale by the owner. Apartment on Margaryan street (Ajapnyak) 4/1 floor, 71 sq. M., iron door, corridor, kitchen and bathroom are tiled, rooms are parquet. It has a storage room and a basement. All the communal facilities are available. For sale with kitchen furniture. It is close to the bus stop, there is a school, a kindergarten, a Kaiser supermarket, pharmacies and shops in the neighborhood. Please do not disturb the agents.Translated from Armenian"
11,Monolith,Yes,Available,7 / 17,4,1,90 sq.m.,from 3 m,Open balcony,Designer Renovation,"Aram Street, Yerevan","$350,000",USD,"A luxurious 4-room apartment is for sale on Arami street, near Malibu Park, the area of which is 90 square meters.The design solutions of the apartment երը the materials used during the construction are of high quality and in accordance with the European standards. The apartment is located on the 7th floor of a newly built Diamond House building.The apartment has:3 bedrooms1 living roomkitchen1 bathroom1 open balconyThe service fee for the building is 18,000 AMD / month.The whole apartment is furnished, equipped with luxurious, high-quality European furniture and appliances.There are parking spaces in front of the building. It is possible to rent or buy underground parking.Nearby are many cafes, restaurants, necessary shops, places of entertainment, of course, the newly opened, spacious, bright garden.For sale together with all the property and equipment.The sale price is 350,000 USDCode: AH 969Translated from Armenian"
12,Panels,No,Available,10 / 12,2,2,74 sq.m.,from 2.75 m,Closed balcony,Partial Renovation,"Komitas Avenue, Yerevan","$88,000",USD,"2-room apartment for sale on Komitas avenue,Partial renovation,Floor: Parquet, bathroom 0 conditionHeating system, Windows of European productionHe is on the side.Ad number: N1189:Under a real estate display contract.Service commission - 2% of the sale price.Translated from Armenian"
13,Panels,No,Not available,3 / 4,3,1,74 sq.m.,from 2.6 m,Not available,Old Renovation,"Lepsius street, Yerevan","$58,000",USD,"Apartment for sale in Zeytun, on Lepsius street. The apartment is old renovated, is in clean condition, provided with all utilities. The building has a large panel.For more information call: /-օռէռ էէ սր /. / օթ ռէէ օռդ /NarineTranslated from Armenian"
14,Stone,No,Not available,1 / 5,2,1,70 sq.m.,from 2.75 m,Not available,Cosmetic Renovation,Yerevan › Arabkir,"$85,000",USD,"Code 3 + 22118:2-room apartment for sale in Arabkir. The apartment is renovated.It has an iron entrance door, euro windows, the floor is parquet,There is a heating system.For sale together with the kitchen furniture.Translated from Armenian"
15,Panels,No,Available,3 / 9,4,1,96 sq.m.,from 2.7 m,Not available,Major Renovation,"Margaryan St, Yerevan","$87,000",USD,"The apartment has euro windows, iron door, heating system, the bathroom is tiled, it is on the sideTranslated from Armenian"
16,Stone,No,Not available,1 / 4,3,1,74 sq.m.,from 2.6 m,Closed balcony,Major Renovation,"Shinararneri street, Yerevan","$60,000",USD,"Վաճառվում է 3 սենյականոց բնակարան Շինարարների փողոցում ` 4 Հարկանի քարե շենքի 1-ին հարկում, Բնակարանի մուտքի դուռը երկաթյա, Լուսամուտները եվրոպական արտադրության, Նախասրահի և խոհանոցի հատակը ծածկված է սալիկներով, Հյուրասենյակի և ննջասենյակների հատակը ծածկված է Մանրահատակով, Սանհանգույցը սալիկապատ, Գազ, Մշտական տաք և սառը ջուր, Անհատական ջեռուցման համակարգ, Փակ տնտեսական պատշգամբ, Կանգառին մոտ:"
17,Stone,No,Not available,4 / 5,3,1,80 sq.m.,from 2.7 m,Closed balcony,Old Renovation,"Komitas Avenue, Yerevan","$75,000",USD,"Sunny side, gas, parquet, good conditionTranslated from Armenian"
18,Monolith,Yes,Available,15 / 15,3,2,92 sq.m.,from 2.8 m,Not available,Major Renovation,Yerevan › Arabkir,"$130,000",USD,"The apartment is located on Griboyedov street, Arabkir community. Completely renovated apartment with all amenities.Translated from Armenian"
19,Panels,No,Not available,4 / 5,3,1,74 sq.m.,from 2.8 m,Closed balcony,Old Renovation,"Աջափնյակ վարչական շրջան, Երևան","$75,000",USD,"Վաճառվում է 3 սենյաանոց բնաարան 5հարկանի շենքի 4-րդ հարկում. Առաջին գիծ, գեղեցիկ բակով. Շենքն ունի 5 մուտք բնակարանը գտնվում է 3 մուտքում. Չեխական նախագիծ, երկաթյա դուռ, Բնակարանը հին վeրանորոգված է. Ունի 3 սենյակներ, նիշայով, գազ 2 կետ, ջուր, լույս, հեռախոս. Հոսանքի լարերը փոխված են. Բնակարանը տան ետնամասՀասցե: ․ Աջափնյակ, Բաշինջաղյան փողոց, 15 թաղամաս, 183 շենք, 28 բնակարանում ունի հնարավորություն 42ք. Մ. Ավելացնելու, շինարարությունը արված է. Հատակը կա. Նկարում երևում է. Ունի նկուղ շենում, արևկողմ. Շենքի ետնամասում առկա են դպրոցներ, մանկապարտեզ, խաղահրապարակներ, կանգառին կից. Մի խոսքով հարմարավետ է, և ամեն հնարավորություն էլ ունի. Սեփականացրած է. 75000 դոլար.There is a three room flat on the fourth (4th) floor of a five storied building ON SALE. It is situated in the first line with a nice garden. The building has three enterances. It is in the third enterance. It is a Czech project, with an iron door. It is old repaired. It has three rooms with a balcony, with water, a telephone and two gaz places. The electric lines are changed. The flat has an opportunity to enlarge the flat forty-two square km. Behind the flat the construction is done. You can see the floor in the picture. It has a cellar in the building. The building is in a sunny place. There is a school, a nursery school, a parking near the bulding. It is owned, comfortable. It costs 75000 (dollar) But we can bargain."
20,Panels,No,Not available,1 / 4,2,2,50 sq.m.,from 2.6 m,Closed balcony,Major Renovation,"Eghishe Tadevosyan Street, Yerevan","$56,000",USD,"Near Shengavit metro, partially renovated, converted 3 rooms, closed economic balcony, bathroom and kitchen tiled, basement, gasTranslated from Armenian"
21,Panels,No,Available,7 / 9,3,1,56 sq.m.,from 2.8 m,Not available,Major Renovation,Yerevan › Davitashen,"$75,000",USD,"3-room apartment on Tigran Petrosyan street for sale. The apartment is in a capitally renovated condition, euro-made windows are installed, the floor is tiled-laminate.It is provided with all the communal amenities.You can call the mentioned phone numbers for details.Translated from Armenian"
22,Panels,No,Available,5 / 9,3,1,98 sq.m.,from 2.8 m,Multiple balconies,Cosmetic Renovation,"Մայակ թաղամաս 30/1, Երևան","$70,000",USD,Ջրվեժ Մայակ թաղամասերեք սենյակ վերանորոգվածՄեջտեղի մուտքբարձրորակ ջեռուցման համակարգգինը սակարկելի
23,Stone,No,Available,6 / 6,2,1,84 sq.m.,from 2.7 m,Not available,No Renovation,"Malyan street, Yerevan","$58,000",USD,"Code-14251: 2-room apartment in Nor Nork 2nd block is for sale. It is a spacious, spacious apartment, it is under renovation.Translated from Armenian"
24,Panels,No,Available,8 / 10,2,1,71 sq.m.,from 2.75 m,Multiple balconies,Partial Renovation,"Victor Hambardzumyan Street 97, Yerevan","$82,000",USD,"Подробности по телефону, окна с двух сторон есть, 2 подвала... Торг на месте. БЕЗ ПОСРЕДНИКОВ. СОБСТВЕННИК."
25,Monolith,Yes,Available,7 / 9,3,2,90 sq.m.,from 3 m,Open balcony,Major Renovation,"Nikoghayos Adonts street, Yerevan","$145,000",USD,"ID01966:3-room apartment for sale in Arabkir, on Adonts street, in a NEW building, 90 sq. M., on the 9 / 7th floor. The apartment is fully renovated, has an open balcony and 2 bathrooms. For sale together with furniture and equipment.Translated from Armenian"
26,Panels,No,Available,1 / 9,2,1,55 sq.m.,from 2.7 m,Not available,Major Renovation,"Bashinjaghyan street, Yerevan","$65,000",USD,"2-3 turned, capitally renovated, laminate flooring, kitchen and corridor floor is pressed granite, bathroom tiled, windows are European, baxi system, has a basement all over the house, parking lot, for sale together with furniture and equipmentAd number: 15359703:Translated from Armenian"
27,Stone,No,Not available,2 / 5,3,2,90 sq.m.,from 2.8 m,Not available,Designer Renovation,"Avanesov street, Yerevan","$87,000",USD,"An apartment is for sale urgently on Avanesov street, Erebuni. Stone building Czech project. The total area is 90 square meters, it is capitally renovated. Wooden parquet, Corridor and kitchen floor is granite, outside door is iron. Bax system. For sale with partial furniture.For details, call the mentioned phone numbers.ArkadyOirirrddTranslated from Armenian"
28,Stone,No,Not available,3 / 4,3,1,97 sq.m.,from 3 m,Multiple balconies,Partial Renovation,"Sayat Nova avenue, Yerevan","$190,000",USD,"3-room apartment in a stone building designed by Stalin for sale on Sayat-Nova Nalbandyan crossroads. Iron entrance door, partial European windows, individual heating system, permanent water, electricity, gas, entrance, balcony, close to the bus stop, all the necessary shops.Translated from Armenian"
29,Monolith,Yes,Available,5 / 8,2,1,70 sq.m.,from 3 m,Open balcony,Major Renovation,"Azatutyan Avenue, Yerevan","$179,000",USD,A luxurious apartment with all amenities is for sale right next to Cascade. Has all utilities. For sale with property and equipment.Translated from Armenian
30,Panels,No,Available,2 / 16,3,1,77 sq.m.,from 2.75 m,Closed balcony,Cosmetic Renovation,Yerevan › Nor Nork,"$77,000",USD,"CODE 2 + 30561:2-3 room converted apartment is for sale on Gay avenue. The apartment is renovated. Iron entrance door, parquet floor, tiles, euro windows.The bathroom is separate, tiled.There is a heating system.It has a balcony.For sale together with kitchen furniture;Translated from Armenian"
31,Panels,No,Available,7 / 9,3,1,96 sq.m.,from 2.8 m,Open balcony,Old Renovation,"Komitas Avenue, Yerevan","$92,000",USD,"(code 3mk 57) 3-room spacious apartment is for sale on Komitas avenue, near the crossroads of Komitas and Papazyan streets. It is a building of Moscow project, with clean, well-maintained entrances. The apartment can be easily turned into a 4-room one, it is very spacious and bright. It has carpet parquet, BAXI individual heating system, open balcony, spacious kitchen and rooms. The building has a spacious yard, parking lot, playground. Close to bus stop, shops, schools, kindergartens, Rio Mall.Translated from Armenian"
32,Monolith,Yes,Available,10 / 14,4,2,154 sq.m.,from 3 m,Multiple balconies,Euro Renovation,Yerevan › Arabkir,"$250,000",USD,"Apartment for saleArabkir, Mamikonyats str.• 4 rooms• 154 square meters• 14 / 10th floor / new building_•thoroughly reconstructed•Heating System• Open balcony• Property / equipment• Iron door• Side:Translated from Armenian"
33,Panels,No,Available,9 / 9,3,1,75 sq.m.,from 2.7 m,Open balcony,Major Renovation,"Tigran Petrosyan street, Yerevan","$95,000",USD,"3-room apartment is for sale in Davitashen. The building is the first line. The apartment has 2 bedrooms, a living room, a kitchen, a big balcony. The roof is completely repaired. The apartment is for sale together with the furniture.Translated from Armenian"
34,Monolith,Yes,Available,9 / 14,3,2,116 sq.m.,from 3 m,Open balcony,Euro Renovation,"Komitas Avenue, Yerevan",,unknown,"3-room euro-renovated apartment is for sale on Komitas avenue, with an area of 116 square meters. It is a side apartment. It has euro windows, laminate flooring, individual heating system, 2 bathrooms covered with quality Spanish tiles, equipped with the necessary sanitary ware. It has an open balcony. Sale of property together with equipment.Translated from Armenian"
35,Stone,No,Not available,1 / 4,4,1,69 sq.m.,from 2.7 m,Closed balcony,Partial Renovation,"Davit Bek street, Yerevan","$55,000",USD,"EXCHANGE IS POSSIBLE WITH OWN HOUSE LOCATED IN EREBUNI REGION OF YEREVAN (except Sari Tagh and Sovetashen)!The apartment is in normal condition, has all the communal facilities ե It is a stone RESIDENTIAL building, IT WAS RESIDENTIAL IN THE PAST, The first floor is high! The 3 rooms have been turned into 4 rooms, it has a basement, a small plot of land in front of the house, it is close to Vardavar (Tokhmakh) park, only those who really want to apply. The bathroom needs renovation. For more information call:Translated from Armenian"
36,Panels,No,Available,2 / 9,3,1,94 sq.m.,from 2.75 m,Multiple balconies,Major Renovation,Yerevan › Kentron,"$210,000",USD,"Code 5 + 33518:3-room apartment is for sale in Small Center. The apartment is fully renovated. Iron entrance door. Floor: Laminate, tile. It has a heating system and air conditioner. The bathroom is combined, tiled. It has a balcony. For sale together with furniture and equipment.Translated from Armenian"
37,Stone,Yes,Not available,5 / 6,5,2,180 sq.m.,from 3 m,Multiple balconies,No Renovation,"Armen Tigranyan street 38, Yerevan","$105,000",USD,"Victory 200 meters away from the park (in the monument) : A. 5-room duplex apartment of 180 sq. M. Is for sale on the 5th-6th floors of a newly built 5-storey stone building on Tigranyan street. M area.• The construction of the building was done about 12 years ago, all the communications in the newly built section have been changed, in particular the sewerage, water lines, electric wires.• The apartment is in an additional part of a stone duplex built especially for apartments, in zero condition, windows are installed, mezzanine stairs միջ Partitions on the 2nd floor.• The apartment has a three-sided south-eastern position, due to which it is constantly grazed during the day.• The apartment has 2 spacious open balconies with a wonderful view of Mount Ararat and Victory Park.• On the 1st floor there is a living room, a bathroom, a kitchen, a bedroom, an open balcony.• 2nd floor: Hall, 3 bedrooms, bathroom, open balcony.• The second floor is not a mansard, but a full floor.• Has the ability to install a personal elevator.Hurry up to get this unique apartment, because with this project, the last of the apartments is left.For other details, write or call the mentioned numbers.The apartment is displayed under a real estate display contract.Service commission - 2% of the sale price.Translated from Armenian"
38,Panels,No,Available,8 / 10,3,1,90 sq.m.,from 2.75 m,Closed balcony,No Renovation,"Sharuri street, Yerevan","$62,000",USD,"3 rooms for sale. Apt. Side-by-side, state of affairs.Translated from Armenian"
39,Stone,No,Not available,4 / 5,3,1,76 sq.m.,from 2.75 m,Multiple balconies,Partial Renovation,"Chekhov street, Yerevan","$70,000",USD,"A 3-room apartment is for sale on Chekhov Street. At the intersection of Chekhov and Bagratunyats streets, the apartment has been partially renovated, the electric wires have been partially changed.There is a cab heating system.There is an open balcony.For more information callThe commission of the agency is 2% of the transaction. A contract is signed for the demonstration, please come with an identity document.Translated from Armenian"
40,Panels,No,Available,3 / 9,3,1,67 sq.m.,from 2.75 m,Closed balcony,Major Renovation,"Arzoumanian Street, Yerevan","$75,000",USD,"Fully renovated, heating system, air conditioner, kitchen-bedroom furniture, side.Translated from Armenian"
41,Panels,No,Available,4 / 9,1,1,44 sq.m.,from 2.7 m,Not available,Major Renovation,"Yervand Kochar street, Yerevan","$90,000",USD,"Նոր կապիտալ վերանորոգված, եվրո/դռ. ԵՒ պատուհան. , սանհանգույցը և խոհանոցը իսպանական սալիկ, մետլախ, մշտական տաք և սառը ջուր, գազ, ջեռուցման համակարգ, վերելակ:"
42,Stone,No,Not available,5 / 5,2,1,56 sq.m.,from 2.75 m,Closed balcony,Partial Renovation,"Artashisyan street, Yerevan","$55,000",USD,"2 rooms for sale. Apt. The windows are of European production, the bathroom and the kitchen is tiled, clean condition.Translated from Armenian"
43,Panels,No,Available,1 / 9,3,1,73 sq.m.,from 2.7 m,Closed balcony,Partial Renovation,"Մինսկի փողոց 16, Երևան","24,000,000 ֏",AMD,"Sale. 3-room apartment on the 1st floor. Partial renovation. The entrance door is changed to iron. Bedroom windows changed. There is a yard area in the back, where it is possible to park a car.Translated from Armenian"
44,Monolith,Yes,Available,11 / 12,3,2,80 sq.m.,from 3 m,Open balcony,No Renovation,"Nikoghayos Tigranyan street, Yerevan","$96,000",USD,Beautiful and large yardThere is no problem with parkingIt has been put into operationTranslated from Armenian
45,Panels,No,Not available,3 / 5,3,1,65 sq.m.,from 2.6 m,Closed balcony,Old Renovation,"Moldovakan street, Yerevan","23,000,000 ֏",AMD,"Nor-Nork 2nd block, The apartment is in good condition, has gas and permanent water, individual heating system, partial euro windows, metal door, furniture, basement and plotTranslated from Armenian"
46,Panels,No,Available,12 / 14,3,2,82 sq.m.,from 2.75 m,Open balcony,Old Renovation,"Komitas Avenue, Yerevan","$76,000",USD,"BITCOIN:The apartment is in good condition, the bathroom is tiled, the entrance door is iron. The apartment has an open balcony, a sitting position, two-sided lighting.A school, a kindergarten and many shops are nearby.Trading is also possible through Bitcoin (Crypto Exchange)Translated from Armenian"
47,Stone,No,Not available,5 / 5,3,1,86 sq.m.,from 3 m,Open balcony,Major Renovation,"Byron street, Yerevan","$200,000",USD,"Newly renovated, open balcony, Stalin project, located next to the Opera House, for sale urgently, call for detailsTranslated from Armenian"
48,Wooden,No,Not available,2 / 5,4,1,125 sq.m.,from 3 m,Multiple balconies,Old Renovation,"Mesrop Mashtots Avenue, Yerevan",,unknown,"Վաճառվում է 4 սենյականոց բնակարան Մաշտոցի պողոտայում։ Բնակարանն ունի երկաթյա դուռ, մասնակի եվրոպատուհաններ, հատակը՝ լամինատ, գազ, մշտական ջուր, օդորակիչ, անհատական ջեռուցման համակարգ, շքամուտք, շքապատշգամբ, փակ տնտեսական պատշգամբ։"
49,Panels,No,Available,2 / 14,3,1,67 sq.m.,from 2.75 m,Open balcony,Cosmetic Renovation,"Yervand Kochar street, Yerevan","$85,000",USD,"An apartment converted from 2 to 3 rooms is for sale on Yervand Kochari street, near ""Tashir"" shopping center.It is a neat, bright apartmentTranslated from Armenian"
50,Stone,No,Not available,1 / 5,3,1,83 sq.m.,from 2.8 m,Closed balcony,Euro Renovation,"Komitas Avenue, Yerevan","$125,000",USD,"Arabkir, Komitas avenue, near the crossroads of Vagharshyan street, 2nd line, on the 1st floor of a 5-storey building, 3m high, fully renovated apartment is for sale, it also has 2 basements, with kitchen furniture and built-in closets.Translated from Armenian"
51,Stone,No,Not available,2 / 5,1,1,15 sq.m.,from 2.7 m,Not available,Partial Renovation,"Vardashen 6-th street, Vardashen","$8,000",USD,"Former dormitory, constant hot or cold, call for detailsTranslated from Armenian"
52,Stone,No,Not available,2 / 5,3,1,87 sq.m.,from 3 m,Open balcony,Old Renovation,"Aghbyur Serob street, Yerevan","$93,000",USD,A 3-room apartment is for sale near the watch factoryneeds renovation2 open balconies1 closed balconyStalin projectTranslated from Armenian
53,Monolith,Yes,Available,12 / 18,3,1,110 sq.m.,from 3 m,Multiple balconies,No Renovation,"Anastas Mikoyan street, Yerevan","$133,000",USD,"For sale: 3 rooms. Apartment in Davtashan, in a newly built building. The apartment is in mint condition, an iron exterior door is installed, the windows are euro.The building has an underground two-story parking lot;In the neighborhood there is: Tennis court, large green zone, security, all necessary facilities are nearby;Translated from Armenian"
54,Monolith,Yes,Available,5 / 14,2,1,84 sq.m.,from 3 m,Open balcony,Euro Renovation,"Tsarav Aghbyuri Street, Yerevan","$145,000",USD,Capitally renovated design style heating system. High-quality laminate kitchen գեղեցիկ bathroom in a beautiful tiled style բնակարան apartment with an elegant solution in Tsarav Aghbyur residential district.THE ATTENTION PARTY HAS THE RIGHT TO SUBMIT A PRICE OFFER TO THE SELLING PARTY.Translated from Armenian
55,Monolith,Yes,Available,6 / 10,3,1,85 sq.m.,from 3 m,Open balcony,Euro Renovation,"Komitas Avenue, Yerevan",,unknown,"Code 7018 3-room apartment is for sale in Arabkir, on Komitas avenue. The apartment is located on the 6th floor of a 10-storey new building, the total area of which is 85 square meters. M.: The apartment is renovated, the entrance door is iron, the windows are of European production, the floor is covered with laminate, the kitchen խո the bathroom is tiled. The apartment is provided with all the communal amenities. All the necessary shops are nearby.Translated from Armenian"
56,Stone,No,Not available,3 / 5,2,1,54 sq.m.,from 2.75 m,Multiple balconies,Major Renovation,"Mayisi 9 street, Yerevan","$79,000",USD,"Code - 789. Stone Building, CAPITAL up. 5/3 floor, 2 Rooms, HEATING SYSTEM, Open and Closed balconyFor sale together with FURNITURE AND EQUIPMENTTranslated from Armenian"
57,Stone,No,Not available,1 / 4,5,1,115 sq.m.,from 2.7 m,Not available,Major Renovation,"Pushkin Street, Yerevan","$160,000",USD,"Code KN4 / 262:5-room duplex apartment is for sale on Pushkin street. It is located on the 1st floor of a 4-storey stone building, it occupies 115 square meters. The apartment is fully renovated. Euro windows are installed, the floor is covered with laminate, the bathroom is tiled. NEGOTIABLETranslated from Armenian"
58,Panels,Yes,Available,13 / 18,3,2,100 sq.m.,from 3 m,Multiple balconies,Euro Renovation,"Qeru Street 35, Yerevan","$175,000",USD,3-room apartment of 100.8 sq. M. Is for sale. Մ. Uncle st. ArabkirTranslated from Armenian
59,Stone,No,Not available,1 / 5,3,1,70 sq.m.,from 2.8 m,Closed balcony,Cosmetic Renovation,"Պարոնյանի փողոց, Երևան","$105,000",USD,Euro-renovated. With furniture. Basement.Translated from Armenian
60,Stone,No,Not available,3 / 5,3,1,95 sq.m.,from 3 m,Open balcony,Cosmetic Renovation,"Sayat Nova avenue, Yerevan","$300,000",USD,"Sayat-Nova streetCrossroads of Abovyan street3 rooms, 95 square meters, 5/3 floor.Good clean condition. Open balcony facing the street. Stone building. Stalin's project. NEAR THE OPERAThere is an elevator in the building.Translated from Armenian"
61,Stone,No,Not available,1 / 4,3,1,73 sq.m.,from 3.5 m,Closed balcony,Euro Renovation,Yerevan › Ajapnyak,"$110,000",USD,"The apartment is located on Leningradyan street, it is renovated in Euro, it has all the utilities. It is located on the first floor and has a basement.Translated from Armenian"
62,Panels,No,Available,7 / 9,4,1,87 sq.m.,from 2.8 m,Closed balcony,Cosmetic Renovation,Yerevan › Shengavit,"$85,000",USD,"Urgent 4-room apartment for sale in the 3rd part, 9/8 floorClean conditionCarpet parquetOpen and closed balconyBathroom tileE / p:Permanent water and gasVery bright and side positionWell-maintained yardTranslated from Armenian"
63,Monolith,Yes,Available,9 / 17,2,1,51 sq.m.,from 3 m,Open balcony,Major Renovation,"Փավստոս Բուզանդի փողոց, Երևան","$215,000",USD,"P. A 2-room apartment with an area of 51 square meters is for sale on Buzand Street, near Malibu Park, located on the 9th floor of a newly constructed 17-story building. The apartment is completely renovated, panoramic windows are installed, it has beautiful lighting. Heating is done with a centralized system, air conditioner is installed. The floor is covered with laminate and tiles, the bathroom is tiled and equipped with high-quality sanitary ware. The apartment is furnished, equipped with necessary equipment. The building has a round-the-clock security system, 2 elevators. There is an open balcony with a beautiful view. There are many shops, banks, cafes and entertainment venues nearby.In case of questions related to the apartment, or to get acquainted with other properties, please call the indicated phone number.Sincerely, PROJECT real estate agency.Translated from Armenian"
64,Panels,No,Available,2 / 9,3,1,47 sq.m.,from 2.75 m,Not available,Partial Renovation,Yerevan › Shengavit,"$62,000",USD,"Apartment for saleShengavit, Artsakh Avenue• 1-3 rooms• 47 / sq. M area• 9/2 floor / panel_• clean condition• gasified• European windows• Side:• Near the subwayTranslated from Armenian"
65,Panels,No,Available,8 / 8,1,1,64 sq.m.,from 2.7 m,Closed balcony,Old Renovation,"Aygestan 10th street, Yerevan","$77,000",USD,"Apartment for sale on Aygestan street, the apartment is old renovated, has a parquet roof, a basement with a living area.The apartment can be handed over to the buyer completely empty. The apartment has a view of Mount Masis.Translated from Armenian"
66,Stone,No,Not available,2 / 5,2,1,45 sq.m.,from 3 m,Not available,Major Renovation,"Orbeli Brothers street 33, Yerevan","$100,000",USD,"A 2-room apartment is for sale on the 2nd floor of a 5-storey stone building, specially built on Orbeli brothers street.• The apartment is fully renovated, uninhabited, furnished with expensive property and equipment.• European windows are installed, iron entrance door, which is covered with cherry wood.• Heating is provided by an air conditioner.• The floors are covered with quality press granite, 1.8 cm thick.• The bathroom is tiled, equipped with high quality designer sanitary ware.For other details, write or call the mentioned numbers.The apartment is displayed under a real estate display contract.Service commission - 2% of the sale price.Translated from Armenian"
67,Stone,No,Not available,2 / 5,1,1,42 sq.m.,from 2.75 m,Not available,Partial Renovation,"Aghbyur Serob street, Yerevan","$60,000",USD,"Clean living condition, euro windows, the apartment is gasified, has a closed balcony which serves as a bedroom, is for sale with partial propertyTranslated from Armenian"
