Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Furniture,Links,Amenities,Appliances,Window Views,The House Has,Parking
Panels,No,Not available,5,73 sq.m.,3,1,from 3 m,2,Closed balcony,Euro Renovation,4,No,Yes,Not included,1 month,Syunik › Kapan,"70,000 ֏ monthly",AMD,It is located next to Kapan combineTranslated from Armenian,Nov-24-2022_17-51,,https://list.am/en/item/18287089,,,,,
Stone,No,Not available,4,60 sq.m.,2,1,from 2.6 m,1,Closed balcony,Cosmetic Renovation,2,Yes,No,Not included,1 month,Syunik › Kapan,"70,000 ֏ monthly",AMD,"Сдается квартира в г. Капан, имеется газ, холодная, горячая вода, мебель, стиральная машина и т. Д. Для дополнительной информацией звоните по указанному номеру.",Nov-24-2022_17-51,Available,https://list.am/en/item/18243840,,,,,
Stone,No,Not available,5,62 sq.m.,2,1,from 2.8 m,3,Closed balcony,Euro Renovation,,,,,,Syunik › Goris,"12,000 ֏ daily",AMD,Renovated 2-room apartment in Goris is for daily rent. It is equipped with property and equipment.Available in the apartment•Heating System• gas stoveTV•refrigerator•washing machineWiFiLinensdishesIt has a parking spaceTranslated from Armenian,Nov-24-2022_17-51,,https://list.am/en/item/17856620,,,,,
Stone,No,Not available,2,46 sq.m.,2,1,from 2.5 m,1,Closed balcony,Designer Renovation,5,Yes,No,By Agreement,By Agreement,"Movses Khorenatsi street 28, Goris","12,000 ֏ daily",AMD,"Օրավարձով բնակարան Գորիսում, ունենք հարմարավետ սենյակները նախատեսված ընտանիքով հանգստի համար. Квартира посуточно, guest house in Goris. Հանգոտի գոտի, հյուրատուն,Gorisum#gesthouse#hangsti goti#bnutyan girk#harmaravet senyakner#gorishyuranoc#gorishotel, հյուրանոց Գորիսում հանգստի գոտի. Gorisum tum",Nov-24-2022_17-51,Available,https://list.am/en/item/15936749,,,,,
Stone,Yes,Not available,4,240 sq.m.,5,1,from 2.75 m,4,Open balcony,Designer Renovation,,,,,,"Սյունիքի փողոց 144, Գորիս","5,000 ֏ daily",AMD,Guest house with all amenities for rent ըHotel near Tatev monastery and Khndzoresk swinging bridge ․Translated from Armenian,Nov-24-2022_17-51,,https://list.am/en/item/17919923,,,,,
Monolith,Yes,Not available,3,80 sq.m.,3,3+,from 3 m,1,Not available,Designer Renovation,8+,Yes,No,By Agreement,By Agreement,Syunik › Goris,"18,000 ֏ daily",AMD,"A 3-storey private house is for rent (daily rent) in the city of Goris (long-term and short-term) It has 3 rooms with all amenities, each room has its own private bathroom.The price of rooms for 3 people - 18,000 dramsThe price of a room for 2 people is AMD 12,000(cost per person 6000 drams)In case of long-term lease, the price is negotiable.Advantages:Free wi-fi and TVBreakfastOutdoor entertainment place: In the ParkLocated in the city centerTranslated from Armenian",Nov-24-2022_17-51,,https://list.am/en/item/17900011,,,,,
Panels,No,Not available,7,40 sq.m.,2,1,from 2.8 m,6,Not available,Cosmetic Renovation,4,Yes,No,Not included,By Agreement,"Ավանգարդ փողոց, Գորիս","65,000 ֏ monthly",AMD,"A 2-room apartment is for rent, it is in good condition, it is provided with property and appliances, there is hot and cold water, a geyser, the price is final, it is given for a long term of the family. It is given by the owner of the house from December 13.Translated from Armenian",Dec-15-2022_21-10,Available,https://list.am/en/item/18184680,,,,,
Panels,No,Available,9,78 sq.m.,3,1,from 3 m,8,Not available,Cosmetic Renovation,4,Yes,No,By Agreement,By Agreement,"Բաղաբերդ թաղամաս, Կապան","80,000 ֏ monthly",AMD,"A 3-room apartment is for rent in Baghaberd district building No. 5. 9/8 floor. The apartment is provided with necessary facilities for living. The house is located near many shops, pharmacy, school, kindergarten. The apartment is for long-term rent and only for family living. Please call for other details.Translated from Armenian",Dec-15-2022_21-10,Available,https://list.am/en/item/18724881,Television,"Fridge, stove, microwave, coffee maker, washing machine, water Heater, iron, hair dryer","Yard view, street view, park view",,
Stone,No,Not available,5,68 sq.m.,2,1,from 3 m,5,Closed balcony,Cosmetic Renovation,7,Yes,Negotiable,Not included,1 month,"Շինարարների փողոց, Կապան","60,000 ֏ monthly",AMD,"An apartment is for rent on Shinararneri Street, with all the property.Apartment for rent on Shinararneri street.The apartment has 2 rooms, apart from the salary, the apartment is also for sale.Translated from Armenian",Dec-15-2022_21-10,Available,https://list.am/en/item/18724322,Television,,Street view,Playground,Outdoor parking
Panels,No,Not available,7,74 sq.m.,3,3+,from 2.75 m,4,Open balcony,Partial Renovation,8+,Yes,No,Included,1 month,Syunik › Goris,"70,000 ֏ monthly",AMD,K. Urgent rent in Goris to responsible people.Translated from Armenian,Dec-15-2022_21-10,Available,https://list.am/en/item/18157893,,,,,
Stone,No,Available,9,56 sq.m.,1,1,from 2.8 m,8,Closed balcony,Cosmetic Renovation,4,Yes,Yes,Not included,By Agreement,"Ստեփանյան փողոց 10, Կապան","100,000 ֏ monthly",AMD,It is for rent.Translated from Armenian,Dec-15-2022_21-10,Available,https://list.am/en/item/18401689,,,,,
Stone,No,Not available,5,63 sq.m.,3,2,from 2.7 m,5,Open balcony,Major Renovation,3,Yes,No,Not included,1 month,"Ստեփան Շահումյանի փողոց, Կապան","120,000 ֏ monthly",AMD,Shahumyan 14-40 uninhabitedTranslated from Armenian,Dec-15-2022_21-10,By agreement,https://list.am/en/item/18518096,,,,,
Stone,Yes,Not available,1,45 sq.m.,2,1,from 2.6 m,1,Open balcony,Euro Renovation,4,Yes,Yes,Not included,By Agreement,"Syuniq street, Goris","70,000 ֏ monthly",AMD,Rooms are also available for rent. CallTranslated from Armenian,Dec-15-2022_21-10,,https://list.am/en/item/18437575,,,,,
Stone,No,Not available,2,45 sq.m.,2,1,from 2.8 m,2,Multiple balconies,Major Renovation,4,Yes,Negotiable,Included,By Agreement,"Մելիք Օհանջանյան փողոց 37, Մեղրի","15,000 ֏ daily",AMD,"Beautiful view, grocery store, 500 m to the centerTranslated from Armenian",Dec-15-2022_21-10,Available,https://list.am/en/item/18646966,"Television, air conditioner, internet, parking space","Fridge, stove, coffee maker, washing machine, water Heater",City view,,Outdoor parking
Stone,No,Not available,2,55 sq.m.,3,1,from 2.8 m,2,Multiple balconies,Major Renovation,6,Yes,Negotiable,Included,By Agreement,"Մելիք Օհանջանյան փողոց 37, Մեղրի","25,000 ֏ daily",AMD,"Beautiful view, grocery store, 500 m to the centerTranslated from Armenian",Dec-15-2022_21-10,Available,https://list.am/en/item/18646954,"Television, air conditioner, internet, parking space","Fridge, stove, coffee maker, washing machine, water Heater",City view,,Outdoor parking
Stone,No,Not available,5,80 sq.m.,3,1,from 2.8 m,3,Multiple balconies,Major Renovation,3,No,No,Not included,2 months,"Փարամազի փողոց 14, Մեղրի","150,000 ֏ monthly",AMD,The apartment is a newly renovated stone building with open and closed balconiesTranslated from Armenian,Dec-15-2022_21-10,Available,https://list.am/en/item/18670661,Television,"Fridge, stove, coffee maker, washing machine, water Heater, iron","Yard view, street view",Playground,
Stone,No,Not available,5,100 sq.m.,4,1,from 3 m,5,Closed balcony,Partial Renovation,8+,Yes,No,Not included,2 months,"Syunik St 14, Goris","100,000 ֏ monthly",AMD,"In the center of the city of Goris, in the building of VTB bank, a four-room apartment is for rent, with all its necessary property and equipment.It has all utilities, water, gas, electricity.The house is on the fifth floor, through the house you can go up to the sixth floor, where there are two bedrooms and a hallway.The house is also for sale.Translated from Armenian",Dec-15-2022_21-10,,https://list.am/en/item/18533976,,,,,
Stone,No,Not available,3,65 sq.m.,2,2,from 2.5 m,3,Open balcony,Old Renovation,,,,,,"Tumanyan street 18, Kapan","70,000 ֏ monthly",AMD,"Apartment for rent, Kapan city, Tumanyan street 18, stone building 17,3/3, floortwo rooms, hot and cold water, gas,The renovation is old, there is a bed, a sofa, the price is AMD 70,000/monthArthurTranslated from Armenian",Dec-15-2022_21-10,,https://list.am/en/item/18240404,,,,,
Stone,No,Not available,3,65 sq.m.,2,2,from 2.5 m,3,Open balcony,Old Renovation,,,,,,"Tumanyan street 18, Kapan","70,000 ֏ monthly",AMD,"Apartment for rent, Kapan city, Tumanyan street 18, stone building 17,3/3, floortwo rooms, hot and cold water, gas,The renovation is old, there is a bed, a sofa, the price is AMD 70,000/monthArthurTranslated from Armenian",Dec-15-2022_21-10,,https://list.am/en/item/18240426,,,,,
,,,,,,,,,,,,,,,,Syunik › Kajaran,"80,000 ֏ monthly",AMD,"URGENT!A 3-room apartment for rent near the city of Kajaran. (in Zeiva, aka Barekavan)1st building, 4th floor (penultimate floor) The apartment is in normal condition, the most important thing is that it is sunny.The military service is also close. Call only people who are dutiful (paying on time), clean, and decent.For details, call the indicated phone number, I will gladly answer your questions.Translated from Armenian",Dec-15-2022_21-10,,https://list.am/en/item/17350774,,,,,
Stone,No,Not available,5,65 sq.m.,2,1,from 2.8 m,2,Open balcony,Partial Renovation,3,No,No,Not included,2 months,"Որոտան փողոց 5, Սիսիան","70,000 ֏ monthly",AMD,Call for questionsTranslated from Armenian,Dec-15-2022_21-10,Available,https://list.am/en/item/18606678,"Television, parking space","Fridge, stove, microwave, coffee maker, washing machine, water Heater, iron, hair dryer","Yard view, street view, city view, park view",Playground,Outdoor parking
Stone,No,Not available,5,45 sq.m.,1,1,from 2.7 m,3,Not available,Cosmetic Renovation,3,Yes,No,Not included,By Agreement,"Ավանգարդ փողոց, Գորիս","80,000 ֏ monthly",AMD,"Without an intermediary. Located in c. Goris Avangard 5 district, 12 buildings, 6 flats. Address. Cosmetically refurbished. BAXI system. Hot and cold water. It has a basement. It is given long-term.Translated from Armenian",Dec-15-2022_21-10,,https://list.am/en/item/18412572,,,,,
Stone,No,Not available,5,30 sq.m.,2,1,from 2.75 m,1,Not available,Major Renovation,3,No,No,Not included,1 month,"Shahumyan street, Kapan","120,000 ֏ monthly",AMD,"Fully renovated, uninhabited apartment for rent in Shahumyan 31 building. High first floor, sunny, warm apartment with individual heating system.The property is being restocked.Translated from Armenian",Dec-15-2022_21-10,,https://list.am/en/item/18524905,,,,,
Stone,No,Not available,5,43 sq.m.,1,1,from 3 m,4,Closed balcony,Cosmetic Renovation,3,Yes,No,Not included,By Agreement,"Getapnya street, Goris","65,000 ֏ monthly",AMD,It is rented for a long time. It is also possible to sell for AMD 10 millionTranslated from Armenian,Dec-15-2022_21-10,,https://list.am/en/item/18509356,,,,,
Panels,No,Not available,5,65 sq.m.,3,1,from 2.5 m,2,Closed balcony,Major Renovation,5,Yes,No,Not included,By Agreement,"Ավանգարդ փողոց, Գորիս","90,000 ֏ monthly",AMD,"The house is located on Avangard street.1 year repair. European windows, European doors, gas, water, calonka, gas stove.The floor is tiled. A bathroom and a bathtub are found in perfect condition. It has a large yard, a large balcony.The price is 90,000. Deposit at least half.Translated from Armenian",Dec-15-2022_21-10,,https://list.am/en/item/18503020,,,,,
