Construction Type,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Interior Finishing,Handover Date,Mortgage is Possible,Address,Price,Currency,Description,Datetime,The House Has,Parking,Links
Monolith,Available,9,,3,2,from 3 m,7,Multiple balconies,Unfinished Interior,,Yes,"Myasnikyan avenue, Yerevan","69,720,000 ֏",AMD,"WITHOUT INTERMEDIATE PAYMENT, BUILDER, INCOME TAX REFUND, 1 SQM: AMD 600,000. Gaj, European windows, iron entrance door, 2 bathrooms, 2 open balconies, beautiful view.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18518651
Monolith,Available,6,,3,2,from 3 m,2,Open balcony,Unfinished Interior,,Yes,"Lvovyan street, Yerevan","55,385,000 ֏",AMD,"Newly built apartments from the developer, completion of construction in 2022. In the months of August-September, 100.7 square meters, it is delivered in a cut, plastered state, windows, entrance door.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/17382553
Monolith,Available,10,,3,2,from 3 m,2,Multiple balconies,Prefinished Interior,,Yes,"Myasnikyan avenue, Yerevan","52,957,500 ֏",AMD,"3 rooms, separate kitchen, painted walls, 2 bathrooms, 2 open balconies, directly from the developer, income tax refund law applies, no agency commission, security service.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18498822
Monolith,Available,17,,4,3+,from 3 m,11,Open balcony,Turnkey,,Yes,"Myasnikyan avenue, Yerevan","65,340,000 ֏",AMD,"Newly built, inhabited building, 118.8 square meters, 4 rooms, 3 bathrooms, WITHOUT AGENCY FEES, BUILDER, INCOME TAX REFUND, beautiful view.AMD 550,000 per square meterTranslated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18560853
,,,,,,,,,,,,"Charents street, Yerevan","$1,600",USD,"APARTMENT FROM BUILDERThe newly built residential building has 16 floors, of which the 3-16 floors are residential, the 1st floor is Commercial premises.The construction is carried out by Aqua-Len Shin LLC, which has been a RELIABLE BUILDER in the market of multi-apartment residential buildings for more than 15 years.By carefully paying a 20-30% down payment, get a contract with the possibility of installment repayment directly from the BUILDER, without the intervention of banks.A hotel complex is also planned in the building.The amenities of the apartment complex are.Sports complexSwimming poolbeauty salonFood itemsConvenient underground parkingApartments with the following areas are available.56.0 m2, 63.6 m2, 70.2 m2, 103.2 m2, 155.7 m2Credit: ABB BankDown payment: From 10%Maturity: Up to 20 yearsThe apartments can be purchased with the right to purchase, applying the income tax law.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/17545229
Monolith,Not available,4,,2,1,from 3 m,2,Open balcony,Clean Finish,,Yes,"Ashtarak highway, Yerevan","24,960,000 ֏",AMD,The apartment is located on the 3rd floor of a 4-storey building; It has 2 rooms and 1 balcony. The total area is 64 square meters. An iron door and quality windows of European production will be installed. Will be delivered without interior decoration.Offer from the DeveloperRoot real estate agency jointly with Saga-Shin LLCWe present to you a newly built neighborhood next to Vahagn district1. Apartment buildings directly from the Developer2. Area: 51 square meters or more3. Income tax law appliesDon't miss the opportunity to reserve your desired VersionFor more information you can:Call or visit our officeC. Yerevan Shinararner St. 28/2 sh.Translated from Armenian,Dec-15-2022_22-59,,,https://list.am/en/item/17686690
Monolith,Available,4,92 sq.m.,3,2,from 3 m,2,Open balcony,Clean Finish,Q2 2023,Yes,"Аштаракское шоссе, Ереван","35,880,000 ֏",AMD,The apartment is located on the 2nd floor of a 4-storey building; It has 3 rooms and 1 balcony. The total area is 87 square meters. An iron door and quality windows of European production will be installed. Will be delivered without interior decoration.Offer from the DeveloperRoot real estate agency jointly with Saga-Shin LLCWe present to you a newly built neighborhood next to Vahagn district1. Apartment buildings directly from the Developer2. Area: 51 square meters or more3. Income tax law appliesDon't miss the opportunity to reserve your desired VersionFor more information you can:Call or visit our officeC. Yerevan Shinararner St. 28/2 sh.Translated from Armenian,Dec-15-2022_22-59,"Intercom entry, concierge, playground","Outdoor parking, covered parking",https://list.am/en/item/17689947
Monolith,Not available,4,,2,1,from 3 m,2,Open balcony,Clean Finish,,Yes,"Ashtarak highway, Yerevan","390,000 ֏",AMD,Offer from the DeveloperRoot real estate agency jointly with Saga-Shin LLCWe present to you a newly built neighborhood next to the Vahagn district.1. Apartment buildings directly from the Developer2. Area: 53 square meters or more3. The income tax law appliesDon't miss the opportunity to reserve your desired VersionFor detailed information you can:Call or visit our officeYerevan Builders St. 28/2 sh.Translated from Armenian,Dec-15-2022_22-59,,,https://list.am/en/item/16441037
Monolith,Available,15,98 sq.m.,4,1,from 2.8 m,5,Open balcony,Unfinished Interior,Q2 2024,Yes,"Ավան-Առինջ 1-ին միկրոշրջան, Երևան","$102,900",USD,"Newly built building in AvanFrom the developerWith the existence of the Income Tax Refund LawShin. Completion Fall 2024Construction type: MonolithIt consists of 4 buildings, 14-15-story buildingsHigh Seismic ResistanceCall to check the areasPrice: From AMD 420,000 per square meterThere will be a playground, a parking lot, a kindergarten, necessary shopsHurry, the number of apartments is limitedTranslated from Armenian",Dec-15-2022_22-59,"Intercom entry, playground","Outdoor parking, covered parking",https://list.am/en/item/18694657
Monolith,Available,15,59 sq.m.,2,1,from 2.8 m,5,Open balcony,Unfinished Interior,Q2 2024,Yes,"Ավան-Առինջ 1-ին միկրոշրջան, Երևան","$61,950",USD,"Newly built building in AvanFrom the developerWith the existence of the Income Tax Refund LawShin. Completion Fall 2024Construction type: MonolithIt consists of 4 buildings, 14-15-story buildingsHigh Seismic ResistanceCall to check the areasPrice: From AMD 420,000 per square meterThere will be a playground, a parking lot, a kindergarten, necessary shopsHurry, the number of apartments is limitedTranslated from Armenian",Dec-15-2022_22-59,"Intercom entry, playground","Outdoor parking, covered parking",https://list.am/en/item/18694656
Monolith,Available,15,88 sq.m.,3,1,from 2.8 m,4,Open balcony,Unfinished Interior,Q2 2024,Yes,"Ավան-Առինջ 1-ին միկրոշրջան, Երևան","$92,400",USD,"NO agency commission 0%Newly built building in AvanFrom the developerWith the existence of the Income Tax Refund LawShin. Completion Fall 2024Construction type: MonolithIt consists of 4 buildings, 14-15-story buildingsHigh Seismic ResistanceAreas: From 46 square metersPrice: From AMD 420,000 per square meterThere will be a playground, a parking lot, a kindergarten, necessary shopsHurry up, the number of apartments is limitedTranslated from Armenian",Dec-15-2022_22-59,"Intercom entry, playground","Outdoor parking, covered parking",https://list.am/en/item/18694653
Monolith,Available,6,,4,3+,from 3 m,5,Open balcony,Unfinished Interior,,Yes,"Վերին Անտառային փողոց 7, Երևան","$357,000",USD,"A 4-room apartment is for sale on the 4th floor of a high-class newly constructed 6-storey building on Verin Antarayn street.Total area: 140 square metersCeiling height: 3mIn Verin Antarain, this project is the 3rd project of the developer in the series of luxury apartments.The building is preferred for its unique architectural appearance, closed green courtyard, functional and competent engineering solutions, security and most importantly, 9.5 earthquake resistance.The building will be commissioned with a high-quality renovated porch (37 square meters) and a high-speed elevator.High quality aluminum windows are installed.The residential complex provides: Security, video surveillance and Concierge service, garbage collection, as well as cleaning of external areas, entrances, lobby and floors.Underground parking is available in the building for an additional fee.Code 17533871Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/17533871
Monolith,Available,18,,2,1,from 3 m,9,Open balcony,Prefinished Interior,,Yes,Yerevan › Davitashen,"$118,000",USD,"A 2-room apartment is for sale on Anastas Mikoyan Street. The apartment is located in the 4th building of 6 newly built buildings on the right side of Yeghvardi highway. It will be handed over by the developer for renovation in July, with Euro windows installed. It faces the sun and is located in a position facing the valley.For details, you can call the mentioned phone numbers.Code H-747Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18206465
Monolith,Available,8,48 sq.m.,2,1,from 3 m,8,Open balcony,Turnkey,Q2 2024,Yes,"Նիկողայոս Ադոնցի փողոց, Երևան","47,000,000 ֏",AMD,"The right to purchase an apartment is for sale, in the Eraz residential district and right next to the Eraz park, with a refund of income tax. The apartment will be delivered renovated in December 2024. The project in the photo will be changed: The living room and kitchen will be together. It is on the 8th floor, but there is a penthouse above. Call for details.Translated from Armenian",Dec-15-2022_22-59,Intercom entry,Outdoor parking,https://list.am/en/item/18724956
Monolith,Not available,3,175 sq.m.,4,2,from 3 m,3,Multiple balconies,Unfinished Interior,Q2 2022,Yes,"Ghapantsian street 53, Yerevan","68,000,000 ֏",AMD,"Dear customers,Hurry up to get the last 2!One of the beautiful and unique apartments in one of the residential buildings built in the quietest and most ecologically clean neighborhood of our beloved Yerevan city, located on Ghapantsyan street, Arabkir community.In each building there are only 4 luxury and spacious apartments with an area of 234 square meters, designed and built according to modern standards.Comfortable architectural and planning solutions,Competent engineering solutions,Using the highest quality building materials,Implementation of construction (construction) works with modern technologies.Our advantages are:A reliable developer and a reliable and experienced construction companyThe area is completely fenced and closed, it has one checkpointThere is a small park in the area, a recreation area, a children's playgroundEach apartment consists of 1 underground floor,2 from the ground floor andfrom the terrace with an area of 60 square metersIn the basementparking space and a basement with a high ceiling of 30 square metersThe total area of the apartment is234 square meters, and the land area is 118 square metersThe apartments will be delivered:1. Installed aluminum, 76mm thick, heat-resistant profiles and energy-saving glass, high-quality windows and doors2. Rooms divided3. The external walls are heat and sound insulated4. Copper wires for electricity, water line, sewage and ventilation pipes laid5. Plastered6. The floor is leveled7. The area is completely improved----High Seismic Resistance‼️Reminder:Papers are ready for saleIncome Tax Refund Act appliesTranslated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/11934200
Monolith,Available,16,62 sq.m.,2,1,from 3 m,8,Open balcony,Unfinished Interior,Q2 2023,No,"Մելիք Մելիքյան փողոց, Երևան","$71,000",USD,"An apartment is urgently for sale on the 8th floor of a newly built building in Kanaker-Zeytun, the building is under construction, it will be commissioned in 2023. In December. The developer is MLMINING_, it is also possible to exchange with a car or land in Yerevan for an additional fee. If you have any questions, call, the price is negotiable.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/17938712
Monolith,Available,18,68 sq.m.,2,1,from 3 m,5,Open balcony,Unfinished Interior,Q2 2024,Yes,"Փիրումյանների փողոց, Երևան","530,000 ֏",AMD,"A 2-room apartment is for sale in a newly built building on Davitashen Pirumyan Street, near Reebok, Yerevan City. The apartment is sunny, in the best location of the building, the windows overlook Pirumyanner street. The building is under construction (Bedeck construction), it will be ready in the middle of 2024. The income tax law does not apply. Cheaper than the developer's price, the developer's suggested price per square meter is 570,000 drams, our sample is 530,000 drams.Special note! Only buyers who want to buy an apartment through an agency should call...To sell (rent) other apartments or your unshared property, you can contact the indicated phone number.The apartment is shown with a real estate showing contract.Service commission: 2% of selling priceCode 0357Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/17735439
,,,,,,,,,,,,"Tbilisian Highway, Yerevan","400,000 ֏",AMD,"Apartments from developer without bank, 60% with advance payment, 40% within 3 years, the building will be ready in 2023, the apartments are delivered fully furnished, with electricity installed, water drawn off, call for details, there are 40-150 square meters apartments, 1 square meter 400000 drTranslated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18217984
,,,,,,,,,,,,"Moldovakan street, Yerevan","380,000 ֏",AMD,"From the developer of apartments without a bank, you pay 60%, and 40% within 3 years, 35-120 square meters apartments, the completion of the building is scheduled for May 2023, the 1st building, the 2nd building in September, the 3rd building in December. The income tax law does not apply.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/17617150
Monolith,Available,5,50 sq.m.,2,1,from 3 m,2,Not available,Prefinished Interior,Q2 2022,No,"Թբիլիսյան խճուղի 1/7, Երևան","$50,000",USD,"Pakovi without a bank, apartments from the developer, income tax does not apply, you can buy without a bank, 60% in advance and the remaining 40% within 3 years, the building will be ready at the end of 2022, there are 34-100 square meters apartments, there are also renovated apartments, call for details, 1 square meter 400,000 drams, dear people, the building will be built at the end of 2022, it is currently under construction, please read and call again.Code 5355Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/16945147
Monolith,Available,14,107 sq.m.,3,2,from 3 m,10,Open balcony,Prefinished Interior,Q2 2023,Yes,"Monte Melkonyan Avenue, Yerevan","$200,000",USD,Revival in the village. The apartment will be ready in March 2023. The apartment will be completely renovated.Translated from Armenian,Dec-15-2022_22-59,,,https://list.am/en/item/18706747
Monolith,Available,6,118 sq.m.,3,2,from 3 m,5,Multiple balconies,Unfinished Interior,Q2 2023,Yes,"Լվովյան փողոց, Երևան","600,000 ֏",AMD,"Apartments are for sale in Arabkir administrative districtNear Rio Mall directly from the developer.There is an underground parking lot for carsThe area of the apartment is 110.7 square meters.High quality and modern building materials were used on the buildingThe apartments offer a beautiful view of Mount Ararat and the city of YerevanThe Income Tax Refund Law is in effect.He will be surrendered in a state of shock and humiliation.Windows and exterior door installed.HURRY, Few apartments left for sale...Translated from Armenian",Dec-15-2022_22-59,"Intercom entry, concierge, playground","Outdoor parking, covered parking",https://list.am/en/item/18284924
,,,,,,,,,,,,"Gevorg Hovsepyan Street, Yerevan","$137,000",USD,Nork Marashi G. Active construction works are currently underway on Hovsepyan Street. The building has reached the ground floor. Graduation year 2023. It will have a wonderful view of the whole city. Hurry up and get apartments with different surfaces directly from the developer.Translated from Armenian,Dec-15-2022_22-59,,,https://list.am/en/item/18652914
,,,,,,,,,,,,"Garegin Hovsepyan Street 20/6, Yerevan","$1,550",USD,DIRECTLY FROM THE BUILDERPREMIUM CLASS NEWLY CONSTRUCTED BUILDINGCapital Yerevan in your palmWith a great panoramic view of the cityWith quite comfortable solutionsSpacious and bright apartments with open balconiesTriple pane thermo aluminum with stained glass windows59-107 square metersTwo-story underground parkingTranslated from Armenian,Dec-15-2022_22-59,,,https://list.am/en/item/18201415
Monolith,Available,15,59 sq.m.,2,1,from 2.8 m,4,Open balcony,Unfinished Interior,Q2 2024,Yes,Yerevan › Avan,"$61,950",USD,"Newly built from the DeveloperAvanWithin the Income Tax Refund LawMortgage: 9.9% - 10.7%AGENCY INTERMEDIATE FEE 0%We will help in formulating a mortgage and choosing an apartmentCompletion of construction works: Autumn 2024The district consists of 4 buildings (14-15 floors)Areas: 2 rooms starting from 47 square metersPrice: From AMD 420,000 per square meterTranslated from Armenian",Dec-15-2022_22-59,"Intercom entry, playground","Outdoor parking, covered parking",https://list.am/en/item/18683935
Monolith,Available,15,88 sq.m.,3,1,from 2.8 m,5,Open balcony,Unfinished Interior,Q2 2024,Yes,Yerevan › Avan,"420,000 ֏",AMD,"Newly built from the DeveloperAvanWithin the Income Tax Refund LawMortgage: 9.9% - 10.7%AGENCY INTERMEDIATE FEE 0%We will help in formulating a mortgage and choosing an apartmentCompletion of construction works: Autumn 2024The district consists of 4 buildings (14-15 floors)Areas: 2 rooms starting from 47 square metersPrice: From AMD 420,000 per square meterTranslated from Armenian",Dec-15-2022_22-59,"Intercom entry, playground","Outdoor parking, covered parking",https://list.am/en/item/18683933
Stone,Available,4,,2,1,from 3 m,2,Open balcony,Prefinished Interior,,No,"Tbilisian Highway lane, Yerevan","20,000,000 ֏",AMD,"Apartments from the developer 30 sq/m = 88 sq/m in a newly built buildingfor sale 60/40 option 60% down payment 40% payment in three yearsWithout a bank, the building is handed over with broken partitions, split windows, and disconnected communications.It will be ready in July 20023, the cost of 1 square meter is $1000Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18593518
Monolith,Available,15,95 sq.m.,3,1,from 2.5 m,6,Open balcony,Unfinished Interior,Q2 2023,Yes,"Լենինգրադյան փողոց 4, Yerevan","$175,000",USD,"A 3-room apartment is for sale in Noi district, in a newly built residential area. It will be commissioned in 2023. In March. The apartment will be provided with constant hot and cold water, built-in ventilation system, all the walls will be soundproofed from the outside, the entrance will be with an individual chip key.Translated from Armenian",Dec-15-2022_22-59,"Intercom entry, concierge, playground",Outdoor parking,https://list.am/en/item/18718774
Monolith,Available,5,130 sq.m.,3,2,from 3 m,4,Open balcony,Unfinished Interior,Q2 2023,Yes,"Լեոնիդ Ազգալդյան փողոց, Երևան","$312,000",USD,CODE 10048A 3-room apartment with an area of 130 sq/m is for sale in Antara district. The building will be commissioned in May 2023. The apartment will be delivered to the buyer in zero condition. Parking is also available for an additional fee.Translated from Armenian,Dec-15-2022_22-59,,,https://list.am/en/item/18702505
,,,,,,,,,,,,"Avan-Arinj 1st micro, Yerevan","360,000 ֏",AMD,"Not for sale with a bank, read carefully: Apartments for sale from the developer without a bank with 60% down payment. And 40% within 3 years, the price is 360,000-380,000, it is handed over with the walls plastered and divided, the building will be handed over in July 2024, there are 38-150 square meters apartments, call for detailsTranslated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18249898
Monolith,Available,18,74 sq.m.,2,1,from 3 m,9,Open balcony,Prefinished Interior,Q2 2023,Yes,"Անաստաս Միկոյանի փողոց, Երևան","$136,000",USD,"HURRY! The apartment is located on the 9th floor of the 4th building of 6 newly built buildings on the right side of the road leading to Yeghvardi highway. The apartment is handed over in the state of being finished, finished, with exterior door and euro windows installed. It faces the west and is located in a position facing the valley.The developer will hand over the renovation at the end of December, beginning of January. The completion certificates will be handed over by the developer in the spring months.Translated from Armenian",Dec-15-2022_22-59,"Intercom entry, concierge, playground",Outdoor parking,https://list.am/en/item/17368554
Monolith,Available,13,,2,1,from 3.2 m,4,Not available,Unfinished Interior,,Yes,"Norashen block, Yerevan","430,000 ֏",AMD,"Pre-sale of apartments directly from the developer2 to 4 roomsNote: The price is indicated per 1 sq. Mfew apartments leftApartment prices may vary depending on floor and location. Without an intermediary. Without commission. They had the opportunity to purchase additional bank interest by installments. Mortgage preparation on the spot. The Income Tax Refund Act applies. Completion date: May 2024. 10 point earthquake resistanceto get in line and for more details, call the indicated phone numbersTranslated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18167618
Monolith,Available,7,,2,1,from 3.2 m,2,Open balcony,Unfinished Interior,,Yes,Yerevan › Erebuni,"$63,000",USD,Urgent sale of a 2-room apartment from the developer on Pacha Don St.The law of refund of income tax is in force. Call for details.Offers from agencies are not interestedTranslated from Armenian,Dec-15-2022_22-59,,,https://list.am/en/item/17511750
Monolith,Available,16,,2,1,from 3 m,11,Open balcony,Unfinished Interior,,Yes,"Leningradyan street, Yerevan","34,500,000 ֏",AMD,"From the developer of a new building, the law of return of income tax is in force, the completion of the building is planned for the summer of 2023.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/14920916
Monolith,Available,12,,3,2,from 3 m,12,Multiple balconies,Clean Finish,,Yes,"Գրիբոյեդովի փողոց 17, Երևան","70,000,000 ֏",AMD,The apartment is located in Gribayedov Park complex under construction at Gribayedov 17On the 12th floor of a 12-story building (penthouse) The completion of the construction is planned for 2023. In March.The developer has no more unsold apartments.Translated from Armenian,Dec-15-2022_22-59,,,https://list.am/en/item/18457992
Monolith,Available,18,,2,1,from 3 m,9,Open balcony,Clean Finish,,Yes,Yerevan › Davitashen,"$105,000",USD,The apartment is located in A. In the newly built Davtashen City complex located at 64 Mikoyan St.Completion of construction in 2022. That's it. Renovation of apartments is already underway in the complex. The developer no longer has 57 square meter apartments for sale. Urgent sale.Translated from Armenian,Dec-15-2022_22-59,,,https://list.am/en/item/18637885
Monolith,Available,5,140 sq.m.,4,2,from 3 m,4,Open balcony,Unfinished Interior,Q2 2023,Yes,"Լեոնիդ Ազգալդյան փողոց, Երևան","$336,000",USD,CODE 10049A 4-room apartment with an area of 140 sq/m is for sale in Antara district. The building will be commissioned in May 2023. The apartment will be delivered to the buyer in zero condition. The sale is possible with a parking space for an additional fee.Translated from Armenian,Dec-15-2022_22-59,,,https://list.am/en/item/18713037
Monolith,Available,14,,3,2,from 3 m,6,Open balcony,Unfinished Interior,,Yes,"Գյուրջյան փողոց 27, Երևան","450,000 ֏",AMD,"Apartments for sale at 27 Gyurjian, directly from the developer. Completion of building construction works on 03.2023. Income tax refund law applies. Hurry, places are limited. To make a reservation, call the indicated phone number.There is 45-129 square meters, hard plaster, European windows and an iron door are delivered.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/13156764
Monolith,Available,14,,3,2,from 3 m,6,Open balcony,Unfinished Interior,,Yes,"Միհայ Էմինեսկու փողոց 4, Երևան","460,000 ֏",AMD,"New construction from the developer according to the income tax refund law, next to the Diamond factory, the price is 440,000-460,000 AMD (depending on the state of interior decoration) Apartments with a similar design are available on the 2nd-14th floors, the surfaces vary from 54 sq. M. To 145 sq. M.There will be a playground and an underground parking lot in the area of the complex.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/13235573
Monolith,Available,15,84 sq.m.,2,1,from 3 m,9,Open balcony,Turnkey,Q2 2023,Yes,"Malatia street, Yerevan","$153,000",USD,"1400154The apartment is located a little above the Dalma Garden Mall shopping center, in the newly built Renaissance neighborhood on Monte Melkonyan street. The building is located right in front of the sports and concert complex. In the general district, this building has the highest position compared to other buildings, there is no building blocking the front of the 9th floor. The apartment has a view to Ararat, as well as to ""Yerevan park"". The apartment has a spacious balcony, a separate dressing room from the bedroom, a storage room next to the apartment. It will be delivered completely renovated in 2023. Martin. The apartment was purchased from the developer with a mortgage, it is possible to sign an agreement during the sale, which will allow the new buyer to benefit from the income tax refund.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18301669
Monolith,Available,15,,2,1,from 3 m,3,Open balcony,Unfinished Interior,,Yes,"Gyurjyan street, Yerevan","22,500,000 ֏",AMD,"DIRECTLY FROM THE DEVELOPER,Newly constructed monolithic building.Brick, plaster, individual heatingSeparate playgroundIt is possible both with income tax compensation and with phased payment.The period of operation is until 2024Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18554539
Monolith,Available,15,,3,2,from 3 m,3,Open balcony,Unfinished Interior,,Yes,"Gyurjyan street, Yerevan","450,000 ֏",AMD,"DIRECTLY from the Developer.Without commission.Newly constructed monolithic building.48-106 square metersBrick, plaster, individual heatingSeparate playgroundIt is possible both with income tax compensation and with phased payment.1 square meter starting from 450,000 AMD.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18551032
Monolith,Available,16,96 sq.m.,4,2,from 3 m,9,Open balcony,Unfinished Interior,Q2 2023,Yes,"Նիկողայոս Ադոնցի փողոց 19/19, Երևան","$150,000",USD,URGENT//// It will be commissioned in the fall of 2023. Parking is also available for an additional feeTranslated from Armenian,Dec-15-2022_22-59,,,https://list.am/en/item/18709919
