Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,Furniture,Window Views,Links
Stone,No,Not available,3,45 sq.m.,2,1,from 2.5 m,3,Multiple balconies,Euro Renovation,"Azatamartikneri Avenue 34, Stepanakert","$50,000",USD,Со всеми удобствами в отличном состоянии. Есть гараж для машины.,Nov-25-2022_12-54,Available,,https://list.am/en/item/15330294
Stone,No,Not available,5,58 sq.m.,2,1,from 2.75 m,5,Open balcony,Old Renovation,"Vazgen Sargsyan street 21, Stepanakert","$26,000",USD,"ԵՐԿՈՒ ՍԵՆՅԱԿԱՆՈՑ ԸՆԴԱՐՁԱԿՎԱԾ ԲՆԱԿԱՐԱՆ ՔԱՂԱՔԻ ԿԵՆՏՐՈՆՈՒՄՎաճառվում է 2 սենյականոց ԸՆԴԱՐՁԱԿՎԱԾ բնակարան՝ Ստեփանակերտ քաղաքի կենտրոնում, Վազգեն Սարգսյան 21 հասցեում, 5 հարկանի քարե շենքի 5-րդ հարկում: Տանիքը՝ նորակառույց: Ընդհանուր մակերեսը 57.8 քառակուսի մետր: Ունի մեծացված խոհանոց-ճաշասենյակ և մեծ պատշգամբ, որը ցանկության դեպքում հնարավոր է վերակառուցել լրացուցիչ սենյակի, աստիճանահարթակում ունի տարողունակ խորդանոց: Հյուրասենյակի պատուհանից բացվում է տեսարժան համայնապատկեր:Продается двухкомнатная квартира в центре города Степанакерт по адресу ул. Вазгена Саргсяна 21, на 5-ом этаже 5-ти этажного дома. Крыша капитально отремонтирована. Общая площадь 57.8 кв. М. Кухня-столовая, большой балкон, который при желании можно достроить в дополнительную комнату, на лестничной площадке вместительный чулан. Из окна открывается красивый вид на «Пятачок».",Nov-25-2022_12-54,,,https://list.am/en/item/16570246
Stone,No,Not available,5,39 sq.m.,2,1,from 2.75 m,5,Closed balcony,Cosmetic Renovation,Artsakh › Stepanakert,"12,000,000 ֏",AMD,"Urgent sale of a one-room apartment converted into two in the city of Stepanakert, Adm. At 4a/88 Isakov Street, along with furniture.Translated from Armenian",Nov-25-2022_12-54,Not available,,https://list.am/en/item/18244827
Stone,No,Not available,5,100 sq.m.,5,1,from 2.75 m,4,Multiple balconies,Euro Renovation,"Aleqsey Heqimyan street, Stepanakert","27,000,000 ֏",AMD,"В Степанакерте на улице Экимян продается 5-ти комнатная квартира 4/5 этаже, с частичной мебелью. В квартире евро окна и железная дверь.",Nov-25-2022_12-54,,,https://list.am/en/item/16277466
Stone,No,Not available,5,99 sq.m.,4,1,from 3 m,1,Multiple balconies,Old Renovation,"Alek Manukyan street, Stepanakert","$45,000",USD,"A. In the city of Stepanakert. A 4-room apartment with a Leningrad project is for sale on the 1st floor of a 5-story stone building in Manukyan alley. Bathroom, toilet separate, all windows and balcony windows - euro, apartment is sold together with the property.You can call for information.Translated from Armenian",Nov-25-2022_12-54,Available,,https://list.am/en/item/18077159
Stone,No,Not available,2,64 sq.m.,1,1,from 3 m,2,Closed balcony,Euro Renovation,Artsakh › Stepanakert,"9,000,000 ֏",AMD,"One room apartment is for sale in c. In Stepanakert, A. On Hekimyan street, near the church. The apartment is located on the 2nd floor of a garage. The area of the apartment is 38 sq. M. Մ. The area of the first floor garage is 25 sq. M. Մ. There is 26 sq. M. Behind the apartment. Մ. Area with a certificate of ownership: Naves, a saray, the roof and floor of which is newly renovated. It can be connected, the result will be 64 sq. M. Մ. Area apartment. It is fully furnished with new furniture, has constant hot and cold water, gas, TV, washing machine, internet. Power cords and water pipes newly replaced. The walls առ the ceiling of the house are thermally insulated with foam plex, foam plastic եկ glass. The house has 300 liters. I took a container of water with his pump.The house is for sale with property. I will bargain for the real buyer on the spot.Translated from Armenian",Nov-25-2022_12-54,Available,,https://list.am/en/item/17638284
Panels,No,Not available,1,85 sq.m.,4,3+,from 2.5 m,1,Closed balcony,Partial Renovation,Artsakh › Stepanakert,"$52,000",USD,"Balconies, both closed, enlarged windows, fully euro. It has a basement. Exchange for own house in the city.Exchange with 3 rooms, your addition to the room.Translated from Armenian",Nov-25-2022_12-54,By agreement,,https://list.am/en/item/17368163
Panels,Yes,Not available,4,53 sq.m.,2,1,from 2.8 m,4,Closed balcony,Cosmetic Renovation,"Tigran Mets Avenue 37, Stepanakert","$30,000",USD,For more information callTranslated from Armenian,Nov-25-2022_12-54,By agreement,,https://list.am/en/item/17555670
Stone,No,Not available,2,100 sq.m.,3,1,from 3.5 m,2,Open balcony,Major Renovation,"Vardan Mamikonyan street, Stepanakert","$60,000",USD,Большая солнечна квартира цена 60000у. Е.,Nov-25-2022_12-54,Available,,https://list.am/en/item/18242681
Stone,No,Not available,5,53 sq.m.,2,1,from 2.8 m,2,Closed balcony,Partial Renovation,"Aleksey Hekimyan street, Stepanakert","$27,500",USD,"A 2-room apartment is for sale, on the 2nd floor of a 5-story stone building, at 4B Aleksey Hekimyan Street in Stepanakert. The total area is 52.5 square meters. It has an enlarged kitchen-dining room and a large balcony, which can be converted into an additional room if desired. RENTAL OF SHI. It is not paid under the state program. Price without furniture - $27,500.Translated from Armenian",Nov-25-2022_12-54,,,https://list.am/en/item/18229380
Stone,No,Not available,5,53 sq.m.,2,1,from 3 m,3,Closed balcony,No Renovation,"Ալեքսեյ Հեքիմյան փող, Ստեփանակերտ","$27,000",USD,"Sale: 3rd entrance, 3rd floor, two-room apartment.The apartment is sunny and bright on both sides, with all amenities.Price $27,000Translated from Armenian",Nov-25-2022_12-54,Available,,https://list.am/en/item/12186880
Stone,No,Not available,5,67 sq.m.,3,1,from 2.8 m,3,Multiple balconies,Cosmetic Renovation,"Aleksey Hekimyan street 3v, Stepanakert","$45,000",USD,"3-room apartment converted into 4 is for sale, there are two-sided closed balconies, iron door, euro windows, it is on the side. Schools (10th-11th schools), a church, kindergartens, numerous shops, bus stops are nearby. The apartment is for sale together with the garage, the total area of the garage is 35 m, 2 cars can be accommodated on the 2nd floor of the garage & nbsp; If desired, it is possible to build a building. There are 2 ownership certificates. The apartment is valued. Sold only in cash. Only real buyers will call.NOT FOR RENT.Translated from Armenian",Nov-25-2022_12-54,Available,,https://list.am/en/item/17787693
Monolith,Yes,Available,10,87 sq.m.,4,2,from 3 m,5,Closed balcony,Major Renovation,"Tumanyan Avenue 123, Stepanakert","39,000,000 ֏",AMD,"Առանձնահատկությունները՝ 11բալային շենք, ունի վերելակ Բնակարանը ամբողջովին վերանորոգվաց էՆերկառուցված կահույք. В кухне оставляю все что есть-мебель газовую плиту с духовкой, посудомоечную машину, стиральную машину, холодильник двухкамерный, кухонный телевизор. Квартира полностью отреставрирована и не заселена. В подвальном этаже имеется паркинг система которая сдается в аренду курс доллара рассчитывается за один доллар пятьсот драмՇենքը ունի նկուղային հարկում պարկինգ համակարգ վերելակովՈւնի ջեռուցման համակարգ գազով, ամսական գազի վճարը ձմեռը կազմում է 13֊25 հազար դրամ։ՈՒնի առանձին սանհանգույց եւ սանհանգույց բաղնիքի հետ։բնակարանը ունի NTV-ի, Հոտբիրգի եւ երկու PASE-ի Արցախկապի ալեհավաք. Имеется LAN проводка во всех комнатах",Nov-25-2022_12-54,Available,,https://list.am/en/item/12961827
Stone,No,Not available,3,63 sq.m.,3,1,from 3 m,3,Multiple balconies,Partial Renovation,"Garegin Njdeh street 87, Stepanakert","$47,000",USD,"84 Garegin Nzhdeh Street, StepanakertSwinks is the entrance next to the restaurant. It is an old building with wooden floors. The roof is repaired, there is no problem.Do not call in vain for rent.Translated from Armenian",Nov-25-2022_12-54,Available,,https://list.am/en/item/17619024
Stone,No,Not available,5,80 sq.m.,4,1,from 2.7 m,5,Closed balcony,Major Renovation,"Mesrop Mashtotsi Avenue, Stepanakert","$68,000",USD,"4-room apartment for sale in Stepanakert, with furniture, central heating, not for rent, call for questionsTranslated from Armenian",Nov-25-2022_12-54,,,https://list.am/en/item/18149374
Stone,No,Not available,5,44 sq.m.,2,1,from 2.75 m,5,Closed balcony,Euro Renovation,Artsakh › Stepanakert,"$35,000",USD,"Продается квартира в городе степанакерте. Площадь 44кв. Метров. Квартира однокомнатная, переделанная в двухкомнатную. Проект ленинградский. Дом каменный на 5 этаже 5 этажного дома. Крыша новая, железная. Три евроокна. Ремонт средний. Продается со всей мебелью и электроникой (холодильник и стиральная машина двухгодовалый, телевизор) дом находится ближе к центру, рядом с остановкой по улице а. Манукяна, в 150 метрах от военного госпиталя. Входная дверь дубовая, межкомнатные двери шестиочковые. Пол в зале паркетный. Электропроводка новая. Гор. И хол. Вода, постоянный газ. В бане есть 80 литровый титановый аристон. Цена 35000$ и 1500000 драммов за все имущество в квартире. Торг уместен. Звонить по телефону мхитару",Nov-25-2022_12-54,Available,,https://list.am/en/item/17653412
Panels,No,Not available,5,67 sq.m.,4,1,from 2.6 m,3,Open balcony,Major Renovation,Artsakh › Mardakert,"$27,000",USD,"3-room (turned into 4-room) apartment is for sale in Martakert, on the 3-rd floor of a five-story building. Newly renovated and uninhabited. Kindergarten, playground, hospital, shops are nearby. It is located next to the district administration building. If you wish, you can also buy a garage with additional money, which has an additional building to turn it into a shop, newly built.The price of the house is 15 million drams, the garage of the store is 6 million drams. Prices are final and not negotiableTranslated from Armenian",Nov-25-2022_12-54,,,https://list.am/en/item/17543717
Panels,No,Not available,5,67 sq.m.,4,1,from 2.6 m,3,Open balcony,Major Renovation,Artsakh › Mardakert,"$30,000",USD,"3-room (turned into 4-room) apartment is for sale in Martakert, on the 3-rd floor of a five-story building. Newly renovated and uninhabited. Kindergarten, playground, hospital, shops are nearby. It is located next to the district administration building. If you wish, you can also buy a garage with additional money, which has an additional building to turn it into a shop, newly built.The price of the house is 15 million drams, the garage of the store is 6 million drams. Prices are final and not negotiableTranslated from Armenian",Nov-25-2022_12-54,,,https://list.am/en/item/17564761
Stone,No,Not available,5,53 sq.m.,2,1,from 2.7 m,1,Closed balcony,Euro Renovation,"Aleksey Hekimyan street 14, Stepanakert","15,500,000 ֏",AMD,"Продается квартира в Степанакерте, возле церкви, с новым ремонтом и мебелью, есть большой подвал, в который можно спуститься прямо из квартиры, в бонус даю небольшой участок под огород или под постройку, очень комфортная и уютная квартира, продается по госпрограмме",Nov-25-2022_12-54,By agreement,,https://list.am/en/item/18315174
Stone,No,Not available,2,50 sq.m.,2,1,from 3 m,2,Closed balcony,Cosmetic Renovation,"William Saroyan street 37, Stepanakert","$25,000",USD,"Not for rent! A two room apartment is for sale on 37 Saroyan street, together with the property.Translated from Armenian",Nov-25-2022_12-54,,,https://list.am/en/item/17961970
Stone,No,Not available,5,48 sq.m.,2,1,from 2.8 m,3,Closed balcony,Major Renovation,"Azatamartikneri Avenue 13, Stepanakert","$35,000",USD,"Возможно увеличть площадь. Квартира находится на центральной улице, около 7-ой школы, рядом детский сад, почта, несколько банков, супермаркет, ресторан Ташир и Карас... НЕ СДАЁТСЯ В АРЕНДУ ЗАНЯТО...",Nov-25-2022_12-54,,,https://list.am/en/item/15422425
Stone,No,Not available,5,42 sq.m.,1,1,from 3 m,1,Closed balcony,Euro Renovation,"Aleksey Hekimyan street 1, Stepanakert","10,400,000 ֏",AMD,"Квартира находится в хорошем состоянии, сделан Евроремонт, установлен котел бакси, можно оформить через государственную программу, хозяин имеет две квартиры",Nov-25-2022_12-54,Not available,,https://list.am/en/item/18178793
Monolith,Yes,Available,6,74 sq.m.,2,1,from 3.5 m,6,Multiple balconies,Euro Renovation,"William Saroyan street, Stepanakert","21,000,000 ֏",AMD,"A 2-room apartment with all amenities is for sale, it is possible to sell it with the property.It has 2 balconies (large and small) and 2 storerooms (kladovka), a large corridor.The price is negotiable.It is possible to change the name of the mortgage, paying the difference in cash also within the framework of the state program.The building was built in 2015.Translated from Armenian",Nov-25-2022_12-54,,,https://list.am/en/item/13326331
Stone,No,Not available,5,103 sq.m.,4,1,from 2.7 m,5,Multiple balconies,Partial Renovation,"Sasuntsi Davti street 54, Stepanakert","23,000,000 ֏",AMD,"A 4-room apartment on the 5th floor of a 5-story building is for sale. The building is made of stone, the roof is newly renovated, it has 2 balconies with closed euro windows, the apartment is comfortable and sunny.Translated from Armenian",Nov-25-2022_12-54,By agreement,"STreet view, city view",https://list.am/en/item/18127657
Stone,No,Not available,5,69 sq.m.,3,1,from 2.8 m,5,Closed balcony,Cosmetic Renovation,"Aleqsey Heqimyan street, Stepanakert","25,000,000 ֏",AMD,3-room apartment is for sale.Translated from Armenian,Nov-25-2022_12-54,,,https://list.am/en/item/16251666
Stone,No,Not available,5,56 sq.m.,2,1,from 2.7 m,5,Closed balcony,Major Renovation,Artsakh › Stepanakert,"$32,000",USD,"A fully renovated 2-room apartment is for sale on Stepanakert, Sasuntsi Davit 54. The apartment is for sale with property. An additional garage is provided with the apartment.Translated from Armenian",Nov-25-2022_12-54,Available,,https://list.am/en/item/17634540
Stone,No,Not available,5,56 sq.m.,2,2,from 2.75 m,4,Closed balcony,Euro Renovation,"Ալեքսեյ Հեքիմյան փող, Ստեփանակերտ","$35,000",USD,"The building is located near the bus stop, grocery stores.The door is iron, the balcony and kitchen windows are newly changed European windows.It is a very warm, grassy and bright apartment.It is for rent now.Price is negotiable.Translated from Armenian",Nov-25-2022_12-54,Not available,,https://list.am/en/item/17503063
Stone,No,Not available,4,30 sq.m.,1,1,from 2.8 m,1,Not available,Cosmetic Renovation,"Mkhitar Gosh street 10, Stepanakert","15,000,000 ֏",AMD,Квартира тёплая и солнечная. Можно переделать в 2 комнатную. Рядом имеется кладовая. Нaходится возле Автовокзала г. Степанакерта.,Nov-25-2022_12-54,,,https://list.am/en/item/16894176
Bricks,Yes,Available,10,62 sq.m.,3,1,from 3 m,7,Not available,Major Renovation,"Tumanyan Avenue 123, Stepanakert","$45,000",USD,Ideal conditionStepanakert Tumanyan 123Translated from Armenian,Nov-25-2022_12-54,,,https://list.am/en/item/17641311
Stone,No,Not available,2,60 sq.m.,1,1,from 2.8 m,2,Open balcony,Cosmetic Renovation,"Մխիթար Գոշի փող, Ստեփանակերտ","$20,000",USD,"Վաճառվում է երկհարկանի տուն Ստեփանակերտի կենտրոնում առևտրային ավտոտնակով:Ընդհանուր մակերեսը՝ 60մ^2.30մ^2բնակարանի մակերեսը, և ավտոտնակի մակերեսը՝ 30մ^2:Մեկ սենյականոց բնակարանը կոսմետիկ վերանորոգումից հետո, բոլոր հարմարություններով, կահույքով և բաց պատշգամբով: Կա էլեկտրականություն, ջրամատակարարում, սառը և տաք ջուր.Բնակարանը գտնվում է քաղաքի կենտրոնում՝ 7-րդ և 2-րդ դպրոցների միջև: Կողքին կա մանկապարտեզ, փոստ, մի քանի բանկեր, սուպերմարկետ, Թաշիր և Կարաս ռեստորանները:Ավտոտնակը՝ 30մ^2 բոլոր կոմունիկացիաներով, որը կարող է օգտագործվել ինչպես մասնավոր, այնպես էլ առևտրային նպատականերով. Պահեստ, արհեստանոց, մեքենաների սպասարկման կենտրոն, ավտոպահեստամասերի խանութ և արտադրական ապրանքների համար:Հողը սեփականության կարգավիճակում է:Продается двухэтажный дом с коммерческим гаражом в центре Степанакерта.Общая площадь дома 60м2.Жилая площадь 30м2, площадь коммерческого гаража: 30м2.Дом после косметического ремонта на 30м2 со всеми удобствами, мебилированный с балконом.Имеется электричество, водоснабжение, горячая и холодная вода, отопление.Дом находится в центре города, между 7-ой и 2-ой школой, рядом детский сад, почта, несколько банков, супермаркет, ресторан Ташир и Карас.Гараж 30м2 со всеми коммуникациями, который может использоваться как в частных так и в коммерческих целях: Под склад, мастеркую, обувную, автосервис, магазин автозапчастей и пром товаров.Земля находится в собственности.Звоните!",Nov-25-2022_12-54,,,https://list.am/en/item/15770255
Stone,No,Not available,5,84 sq.m.,3,1,from 2.8 m,5,Open balcony,Major Renovation,"William Saroyan street, Stepanakert","37,000,000 ֏",AMD,"Продаю 3-х комнатную квартиру /лениградский проект, 84 кв. Метра/ с мебелью и капитальным ремонтом. По адресу ул. В. Сарояна дом 8, кв. 44. Марина, звонить с 15:00 до 18:00.",Nov-25-2022_12-54,,,https://list.am/en/item/16764945
Stone,No,Not available,5,56 sq.m.,2,1,from 2.8 m,4,Closed balcony,Partial Renovation,"Vagharsh Vagharshyan street 11, Stepanakert","16,000,000 ֏",AMD,FOR SALE with property and equipment.Translated from Armenian,Nov-25-2022_12-54,,,https://list.am/en/item/17597497
Stone,No,Not available,4,35 sq.m.,2,1,from 2.5 m,4,Open balcony,Major Renovation,"Knunyantsneri street 28, Stepanakert","12,000,000 ֏",AMD,"Գտնվում է Ստեփանակերտի կենտրոնում (հրապարակից 50մ վերեւ), կապիտալ վերանորոգած, ունի կոմունալ բոլոր հարմարությոնները, արեւոտ տուն է, 1 դարձրած 2 սենյակՎարձով չի տրվում, Վաճառվում է!",Nov-25-2022_12-54,By agreement,,https://list.am/en/item/15699073
Stone,No,Available,10,90 sq.m.,3,1,from 2.7 m,10,Open balcony,Euro Renovation,Artsakh › Stepanakert,"$40,000",USD,"2/3 room renovated apartment is for sale, c. Stepanakert, M. Mashtots street, 90 sq. M., 10/10 floor.The final price is $ 35,000.The owner of the house has only ONE property.Translated from Armenian",Nov-25-2022_12-54,,,https://list.am/en/item/17005518
Stone,No,Not available,5,56 sq.m.,2,2,from 3 m,4,Closed balcony,Euro Renovation,Artsakh › Stepanakert,"14,000,000 ֏",AMD,"Renovated, warm, sunny and bright 2-room apartment in Stepanakert, iron door, large balcony, separate toilet and bathroom, permanent water, gas, Ariston water heater.Detailed pictures will be sent via viber to those interested.The price is negotiable.Translated from Armenian",Nov-25-2022_12-54,Not available,,https://list.am/en/item/18238255
Stone,No,Not available,5,4000 sq.m.,2,1,from 2.7 m,4,Closed balcony,Old Renovation,"Aleksey Hekimyan street 6a, Stepanakert","$35,000",USD,The tone is good for the euro balconyTranslated from Armenian,Nov-25-2022_12-54,,,https://list.am/en/item/18109994
Panels,Yes,Not available,5,70 sq.m.,3,2,from 3 m,5,Closed balcony,Cosmetic Renovation,"Vagharsh Vagharshyan street 11, Stepanakert","20,000,000 ֏",AMD,"Վաճառվում է 3 սենյականոց բնակարան 5/5: Լավ վիճակ։ Սանհանգույցը սալիկապատ, եվրո պատուհաններ, մշտական ջուր, գազ։ Ջեռուցման համակարգ, Baxi: Վաճառվում է մասամբ գույքի և տեխնիկայի հետ միասին։Մոտակայքում կա մանկապարտեզ և դպրոց։Շատ տաք և հարմարավետ բնակարան է։Կա 2 սեփականությունПодается 3 -х комнатная квартира5/5.В хорошем состоянии, евро окна, постояний газ, свет, вода, baxi. Очень удобная и тёплая квартира. Продается частично с мебелю и техникой. Рядом садик и школа. Վարձով չի տրվում։",Nov-25-2022_12-54,,,https://list.am/en/item/16272601
Stone,No,Not available,4,45 sq.m.,2,1,from 2.75 m,3,Open balcony,Cosmetic Renovation,"Azatamartikneri Avenue 29, Stepanakert","$33,000",USD,"2-room apartment is for sale in the center of Stepanakert, on 29 Azatamartikner street, on the 3-rd floor of 4-story stone building. The total area is 44.5 square meters. It has a beautiful outdoor balcony with a beautiful view.Translated from Armenian",Nov-25-2022_12-54,Available,,https://list.am/en/item/16940343
Stone,No,Not available,4,74 sq.m.,4,1,from 2.6 m,2,Open balcony,Major Renovation,Artsakh › Stepanakert,"$38,000",USD,"Продаётся 3-ёх комнатная квартира переделанная в 4-ёх комнатную, вместе с гаражом, в хорошем состоянии. Цена окончательная.",Nov-25-2022_12-54,,,https://list.am/en/item/18167499
Stone,No,Not available,5,70 sq.m.,3,1,from 3 m,1,Multiple balconies,Cosmetic Renovation,"Aleksey Hekimyan street 8, Stepanakert","$37,000",USD,"Продам недорого 3-х комнатную квартиру 70,6 кв. М, на 1/5 этаже, по адресу Экимяна 8/26. Так же имеется гараж напротив дома «гараж каменный». Квартира находится в нормальном состоянии, продаётся без мебели. Цена вместе с гаражом.",Nov-25-2022_12-54,,,https://list.am/en/item/18206463
Stone,No,Not available,5,42 sq.m.,1,1,from 2.8 m,3,Closed balcony,Euro Renovation,Artsakh › Stepanakert,"12,000,000 ֏",AMD,The apartment is renovated and transformed into 2 rooms.It is the owner's 2nd apartment.Translated from Armenian,Nov-25-2022_12-54,,,https://list.am/en/item/18245298
Stone,No,Not available,5,71 sq.m.,3,1,from 2.8 m,5,Multiple balconies,Partial Renovation,Artsakh › Stepanakert,"21,000,000 ֏",AMD,"Բնակարանը գտնվում է կենտրոնական փողոցի (Ազատամարտիկների 31/34) վրա, ոստիկանության դիմացի շենքի աջ հատվածում գտնվող 5 հարկանի շենքի 5-րդ հարկում, ունի երկու պատշգամբ մեկը բաց, մյուսը փակ: Կապիտալ վերանորոգված չէ, սակայն գտնվում է շատ լավ վիճակում։ Ընդհանուր մակերեսը կազմում է 70,87 քմ: Ցանկության դեպքում ունի խոհանոցը մեծացնելու հնարավորություն։ Բնակարանը վաճառվում է գույքի հետ միասին։ Գինը-45000$",Nov-25-2022_12-54,,,https://list.am/en/item/16643645
Stone,No,Not available,5,70 sq.m.,3,2,from 2.8 m,3,Multiple balconies,Major Renovation,"Alek Manukyan street, Stepanakert","24,000,000 ֏",AMD,"K. A 3-room (70 square meter) fully renovated apartment is for sale (not for rent) on Alek Manukyan Street in STEPANAKERT, on the 3rd floor of a 5-story building. The entrance door is made of iron, the interior doors are made of wood, the floor is made of oak, the windows are made of Euro, high-quality Spanish tiles, Mitsubishi air conditioner, the electric wires have been changed, two-way bright and sunny, open and closed balcony, large shelves in the closed balcony. It is sold together with the property, appliances and iron garage. Price: 24,000,000 AMD.Translated from Armenian",Nov-25-2022_12-54,Available,,https://list.am/en/item/17619319
Stone,No,Not available,5,97 sq.m.,4,1,from 2.7 m,5,Closed balcony,No Renovation,"Baghramyan street, Stepanakert","$43,000",USD,URGENTLY FOR SALE (NOT FOR RENT) 4-room apartment c. On the 5th floor of 6a Baghramyan building in Stepanakert. The apartment has all the communal facilities. It needs renovation.Translated from Armenian,Nov-25-2022_12-54,,,https://list.am/en/item/17064543
