Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,New Construction,Elevator,Ceiling Height,Floor,Balcony,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Furniture,Garage,Amenities,Appliances,Links
House,Stone,150 sq.m.,1,5,1,Euro Renovation,400 sq.m.,"Yerevan Highway, Gyumri","450,000 ֏ monthly",AMD,"Сдается в аренду частный дом. Капитальный ремонт, все удобство, евро окна, отопление,Находится ул. Теряна, есть все коммунальные удобства, есть бассейн, мангал, большой сад, беседка, место для волейбола, в саде есть светофор для декора.Կոդ AE231Translated from Armenian",Nov-24-2022_23-04,,,,,,6,Yes,Yes,Not included,2 months,Available,3 or more spots,,,https://list.am/en/item/18374021
House,Stone,55 sq.m.,1,2,1,Major Renovation,,Shirak › Gyumri,"14,000 ֏ daily",AMD,"Օրավարձով է տրվում 1 սենյականոց նորաոճ բնակարան։ Բնակարանը կահավորված է, ջեռուցվում է, խոհանոցում կա սպասք, անհրաժեշտ տեխնիկա։Կախված օրերից և բնակիչների քանակից հնարավոր է գնային փոփոխություն. Сдается в аренду квартираВ квартире есть все коммунальные услугиудобства:* Система отопления* Газовая плита* Телевизор WiFI* Холодильник* Автоматическая стиральная машина* Долгосрочная арендадепозит за 1 месяцЗвоните для более подробной информации:",Nov-24-2022_23-04,,,,,,3,Yes,No,Included,1 month,Available,Not available,,,https://list.am/en/item/14155154
House,Stone,150 sq.m.,1,3,1,Partial Renovation,300 sq.m.,Shirak › Gyumri,"100,000 ֏ monthly",AMD,"For rent in Gyumri is a 3-room detached house with a yard, which has a garden with fruit trees.The house has all utilities: Hot and cold water, automatic washing machine, new refrigerator, etc. The house comes with all the property shown in the pictures, has wifi. The house also has a basement. The house is located next to Gyumri University of Economics (Zhogh)The house is heated with a gas stove.The rent is provided with a DEPOSIT.You can call at any time of the day.For pictures, write to the given number on WhatsAppTranslated from Armenian",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/18373899
House,Stone,120 sq.m.,1,2,1,Euro Renovation,180 sq.m.,"Furmanov street, Gyumri","400,000 ֏ monthly",AMD,"В центре города Гюмри сдаются два отличных дома, один на 5-7 человек, две спальни. Кухня со всеми бытовыми приборами, санузел с горячей водой, отопление центральное, газ, вайфай, холодильник, стиральная машина-собственный двор, парковка, мангал, евроремонт-в шаговой доступности все достопримечательности древнего Гюмри-месячная плата",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/17475442
House,Stone,200 sq.m.,2,4,2,Major Renovation,100 sq.m.,"Հակոբյան փողոց 5, Գյումրի","25,000 ֏ daily",AMD,"In the center of Gyuru, a two-story private house with a yard and a parking lot is for daily rent. Each floor has its own kitchen and bathroom, each floor has two rooms, the price of one floor is 25,000 AMD per day, both floors together are 45,000 AMD.A long-term monthly payment of 400,000 drams is also given.The price shown is for a shared houseFor details, please call the indicated phone number.Translated from Armenian",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/16460123
Country House,Panels,800 sq.m.,3,2,1,Euro Renovation,600 sq.m.,"2-րդ փողոց 1, Գետարգել","250,000 ֏ monthly",AMD,A private house with its big pavilion is for rent in Lusakert. With all available amenitiesTranslated from Armenian,Nov-24-2022_23-04,,,,,,6,Yes,Yes,Not included,2 months,,3 or more spots,,,https://list.am/en/item/17988810
House,Stone,60 sq.m.,2,2,1,Euro Renovation,,"Խաչատուր Աբովյանի փողոց 134/1, Գյումրի","15,000 ֏ daily",AMD,"Տրվում է օրավարձով 2 սենյականոց բնակարան քաղաքի կենտրոնում: Եվրովերանորոգված է: Բնակարանն ունի կոմունալ, կենցաղային բոլոր հարմարությունները`մշտական տաք և սառը ջուր, գազ, ինտերնետ (Wi-Fi), կաբելային հեռուստատեսություն, բաց պատշգամբ:Գինը ենթակա է փոփոխության` Կախված անձանց քանակից և տոն օրերից:Մանրամասների համար զանգահարել նշված հեռախոսահամարով:Посуточно сдается 2-комнатная квартира в центре города. Евро ремонт. В квартире есть все удобства: Постоянная горячая и холодная вода, газ, интернет (Wi-Fi), кабельное телевидение, открытый балкон.Цена может меняться в зависимости от количества человек и праздников.За подробностями звоните по указанному номеру телефона.Daily rent 2-room apartment in the city center. Euro renovation. The apartment has all the amenities: Constant hot and cold water, gas, internet (Wi-Fi), cable TV, open balcony.The price is subject to change depending on the number of people and holidays.For details, call the indicated phone number.",Nov-24-2022_23-04,,,,,,8+,Yes,Yes,By Agreement,By Agreement,Available,Not available,,,https://list.am/en/item/16712061
House,Stone,60 sq.m.,1,1,1,Euro Renovation,,"Խաչատուր Աբովյանի փողոց 134/1, Գյումրի","12,000 ֏ daily",AMD,"Տրվում է օրավարձով 1 սենյականոց բնակարան քաղաքի կենտրոնում: Եվրովերանորոգված է: Բնակարանն ունի կոմունալ, կենցաղային բոլոր հարմարությունները`մշտական տաք և սառը ջուր, գազ, ինտերնետ (Wi-Fi), կաբելային հեռուստատեսություն:Գինը ենթակա է փոփոխության` Կախված անձանց քանակից և տոն օրերից:Մանրամասների համար զանգահարել նշված հեռախոսահամարով:Посуточно сдается 1-комнатная квартира в центре города. Евро ремонт. В квартире есть все удобства: Постоянная горячая и холодная вода, газ, интернет (Wi-Fi), кабельное телевидение.Цена может меняться в зависимости от количества человек и праздников.За подробностями звоните по указанному номеру телефона.",Nov-24-2022_23-04,,,,,,5,Yes,Yes,By Agreement,By Agreement,,Not available,,,https://list.am/en/item/17264212
House,Stone,65 sq.m.,2,6,2,Partial Renovation,60 sq.m.,"Ghukasyan street, Gyumri","100,000 ֏ monthly",AMD,"Bright, spacious and warm house for rent, with individual heating system, constant hot and cold water, with all utilities. It is given together with the property. It is located in the city center near the 10th school, Carona and Sos supermarkets are nearby, there are cafes, shops, etc. It has two bedrooms and one bathroom.Code 3100Translated from Armenian",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/16845534
House,Stone,140 sq.m.,3,4,2,Euro Renovation,60 sq.m.,"Rizhkov Street, Gyumri","25,000 ֏ daily",AMD,"It is for rent in a guest house in the center of Gyumri. It has three floors, a warm, bright, spacious, warm house with all communal facilities. It is given on Christmas days. The price is negotiable, depending on the number of people։ days.Translated from Armenian",Nov-24-2022_23-04,,,,,,8+,Yes,Yes,Included,By Agreement,,Not available,,,https://list.am/en/item/17119575
House,Stone,80 sq.m.,2,3,1,Euro Renovation,100 sq.m.,"Tigranyan street, Gyumri","250,000 ֏ monthly",AMD,"Only the first floor of a two-story house is for rent or daily rent in the center of Gyumri. It is for rent together with the property. , cafes, restaurants, etc.Code 4545Translated from Armenian",Nov-24-2022_23-04,,,,,,7,Yes,Yes,By Agreement,By Agreement,,,,,https://list.am/en/item/17670834
Country House,Stone,140 sq.m.,2,5,3+,Euro Renovation,100 sq.m.,"Աբովյան փողոց 1, Գյումրի","15,000 ֏ daily",AMD,"In the center of Gyumri, a guest house is for rent or on a daily basis, which stands out with its unique luxury and comfort. Both for events and meetings. It is very close to the square and museums. Depending on the number of people գ the price is subject to change. We look forward to seeing you.Translated from Armenian",Nov-24-2022_23-04,,,,,,8+,Yes,Yes,Included,By Agreement,,3 or more spots,,,https://list.am/en/item/17149729
House,Stone,43 sq.m.,1,2,1,Designer Renovation,400 sq.m.,"Улица Сурена Матнишяна 125, Гюмри","300,000 ֏ monthly",AMD,"Сдается 2-х комнатный частный дом в центре города, доступный только для граждан РФ, со всеми коммуникациями, газом, светом, отоплением, интернетом. Для получения дополнительной информации позвоните.",Nov-24-2022_23-04,,,,,,2,No,No,Not included,By Agreement,Available,Not available,,,https://list.am/en/item/18372803
House,Stone,300 sq.m.,1,5,3+,Euro Renovation,,"Ghandilyan street 49, Gyumri","10,000 ֏ daily",AMD,"Очень близко от ж/д вокзала сдаются посуточно современные, красиво отремонтированные 5 комнат, с отдельными ходами. Каждая комната имеет собственный санузел. В комнатах есть кухонная зона и оснащены всеми бытовыми предметами и техникой.*Постоянная горячая и холодная вода*Смарт-ТВ, кабельное ТВ*Вай-фай*Холодильник*Система обогрева*Фен*Посуда*Постельное белье, полотенца, тапочки и т. Д.Есть отдельная кухня, где можно готовить. Имеется стиральная машина.Каждая комната вмещает разное количество гостей, ниже даём расценки (посуточно)1человек 8000др2 человек 10000др3 человека 13000др4 человека 16000др5-7 человек 20000драм.При желании бронирования всех 5 комнат, общая вместимость составляет 22 человек.При желании можете заказать отличный завтрак.",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/17760484
House,Stone,55 sq.m.,1,2,1,Designer Renovation,170 sq.m.,"Խաչատուր Աբովյանի փողոց 89, Գյումրի","12,000 ֏ daily",AMD,"In the center of Gyumri, in the oldest and most beautiful district near the square, a house is for daily or monthly rent. The house has all the amenities. It is designed for up to 1_6 people.Translated from Armenian",Nov-24-2022_23-04,,,,,,6,Yes,Yes,By Agreement,Without prepayment,,,,,https://list.am/en/item/17934705
House,Stone,80 sq.m.,1,2,1,Cosmetic Renovation,80 sq.m.,"Vardanants Square 1, Gyumri","10,000 ֏ daily",AMD,"The house is rented by the day, it is located in the central part of the city. It has all utilities, it is designed for 4-5 people, it has two bedrooms and a living room, there is a washing machine, internet and refrigerator in the house, if you have any questions, please call.Translated from Armenian",Nov-24-2022_23-04,,,,,,4,Yes,No,By Agreement,By Agreement,Available,Not available,,,https://list.am/en/item/18135867
House,Stone,54 sq.m.,1,1,1,Major Renovation,50 sq.m.,"Furmanov street, Gyumri","12,000 ֏ daily",AMD,"In the center of the city, with all amenities. Internet, TV, refrigerator, hot and cold water, there are dishes in the kitchen.Translated from Armenian",Nov-24-2022_23-04,,,,,,4,Yes,Yes,By Agreement,By Agreement,Available,Not available,,,https://list.am/en/item/17937800
House,Panels,45 sq.m.,1,1,1,Partial Renovation,,"Yerevan Highway, Gyumri","12,000 ֏ daily",AMD,With all utilitiesTranslated from Armenian,Nov-24-2022_23-04,,,,,,5,Yes,Yes,By Agreement,By Agreement,Available,Not available,,,https://list.am/en/item/15995494
House,Stone,43 sq.m.,1,1,1,Euro Renovation,50 sq.m.,"Furmanov street 2, Gyumri","12,000 ֏ daily",AMD,"In the city center. A modern 1-room apartment is for daily rent. The apartment is furnished, heated, there are dishes in the kitchen, necessary equipment.Translated from Armenian",Nov-24-2022_23-04,,,,,,3,Yes,No,By Agreement,By Agreement,,,,,https://list.am/en/item/17678576
House,Stone,40 sq.m.,1,2,1,Euro Renovation,,"Улица Михаила Салтыкова-Щедрина 7, Гюмри","14,000 ֏ daily",AMD,"A 1-room apartment is for daily rent, the apartment has a TV, refrigerator, washing machine, bedding,Dishes, Baxi. Depending on the booked days, hours and number of residents, price changes are possible. Prices can change depending on the duration of the rental and the number of people.Call for additional information.Translated from Armenian",Nov-24-2022_23-04,,,,,,3,Yes,No,Included,By Agreement,,,,,https://list.am/en/item/16035265
House,Stone,100 sq.m.,1,2,1,Major Renovation,100 sq.m.,"Ֆուրմանով փողոց 53, Գյումրի","25,000 ֏ daily",AMD,"A fully renovated 2-room house with all its amenities is for daily rent, it also has a capitally renovated yard. The house is located in the center of Gyumri, in the oldest and most famous district. Up to 7 people can stay in the houseTranslated from Armenian",Nov-24-2022_23-04,,,,,,6,Yes,Yes,By Agreement,1 month,,,,,https://list.am/en/item/17313788
House,Stone,48 sq.m.,1,1,1,Major Renovation,100 sq.m.,"Ֆուրմանով փողոց 53, Գյումրի","13,000 ֏ daily",AMD,"A fully renovated one-room house with all its amenities is for daily rent, it also has a fully renovated yard. The house is located in the center of Gyumri, in the oldest and most famous district. Up to 3 people can stay in the houseTranslated from Armenian",Nov-24-2022_23-04,,,,,,3,Yes,Yes,By Agreement,1 month,,,,,https://list.am/en/item/17313778
House,Stone,30 sq.m.,1,1,1,Euro Renovation,,"Ghorghanayn Street, Gyumri","70,000 ֏ monthly",AMD,"In the center of Kakhaki, next to the Holy Nshan ChurchFor more information callTranslated from Armenian",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/18223804
House,Stone,250 sq.m.,3,5,2,Major Renovation,50 sq.m.,"Rijkov St, Gyumri","50,000 ֏ daily",AMD,"Дом новый, мебель новая два санузла всё необходимая в доме есть. Дом находятся в центре города Гюмри возле церкви. Все удобства в доме есть интернет и так далее. Пишите на все вопросы отвечу. Можете жить как в своём доме. Дом из камня. Если понадобится помощь то с радостью поможем. Я собственник дома не брокер. Дом в Армении город Гюмри. Есть viber и wats app. Можно и посуточно в день 50000драм. В месяц 550000драм.",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/17632434
House,Stone,35 sq.m.,1,2,1,Major Renovation,,"Tigran Mets Avenue, Gyumri","15,000 ֏ daily",AMD,"2 հոգու համար 15․000 դրամ․․․4 հոգու համար 25․000 դրամ․․․Առանձնատունը գտնվում է Գյումրու կենտրոնում և շատ մոտ է հիմնական տեսարժան վայրերին,Տրվում է օրավարձով Բարձրակարգ և Նորաոճ բնակարան Քաղաքի Կենտրոնում Տիգրան Մեծի փողոցում։ Բնակարանը կապիտալ վերանորոգված է։ Ապահովված է բոլոր անհրաժեշտ կոմունիկացիաներով։Մուտքին տեղադրված են երկաթյա դուռ, եվրո պատուհաններ, մանրահատակը լամինատ է։Առանձնատունը բաղկացած է 2 ննջասենյակներից ընդհանուր 35 ք/մ մակերեսով, տեխնիկայով: Ջեռուցումը իրականացվում է կենտրոնացված համակարգով, տեղադրված է ջեռուցման անհատական համակարգ: Կա կաբելային հեռուստատեսություն և ինտերնետ։Տեղը հանգիստ է և անաղմուկ։Մոտակայքում են գտնվում նաև բազմաթիվ խանութներ, ռեստորաններ, սրճարաններ:",Nov-24-2022_23-04,,,,,,2,Yes,No,By Agreement,By Agreement,Available,Not available,,,https://list.am/en/item/14124238
House,Stone,40 sq.m.,1,2,1,Designer Renovation,100 sq.m.,"Ghukasyan street, Gyumri","250,000 ֏ monthly",AMD,"Здравствуйте дорогие гости и гаражани нашего города. Предлагаю дом с дизайнерским ремонтом И со всеми удобствами. С двумя входами с отдельным туалетом и душевым. Дом находится в самом сердце нашего древнего Города Гюмри, по шаговой доступности до площади «Вардананц», Также до церкви, до рынка, музеев, торговых комплексов, супермаркетов, остановок, банков и кафе ресторанов. Внутри дома очень красиво тепло и уютно, есть все удобства для семейной жизни и отдыха, ждём вас по адресу город Гюмри улица руставели. Есть парковочное место для автомобиля, просторный двор и мангальное зона.Կոդ AA555Translated from Armenian",Nov-24-2022_23-04,,,,,,4,Yes,Yes,Not included,By Agreement,,,,,https://list.am/en/item/18167543
House,Stone,80 sq.m.,1,2,1,Major Renovation,200 sq.m.,"Եղիշե Չարենցի փողոց 1, Գյումրի","200,000 ֏ monthly",AMD,"The apartment is fully furnished, է there is a gas boiler, refrigerator, gas stove, washing machine, TV, internet and cable channels, intercom, etc.Code 15698Translated from Armenian",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/17507671
House,Stone,45 sq.m.,1,1,1,Major Renovation,,Shirak › Gyumri,"14,000 ֏ daily",AMD,"Օրավարձով է տրվում 1 սենյականոց նորաոճ բնակարան։ Բնակարանը կահավորված է, ջեռուցվում է, խոհանոցում կա սպասք, անհրաժեշտ տեխնիկա։Կախված օրերից և բնակիչների քանակից հնարավոր է գնային փոփոխությունКвартира находится в центральной части ГюмриЕсть хороший интернет, телевидение с росс и местными каналами, отопление, горячая вода круглосуточно, кухня с газовой плитой где можно приготовить еду, нормальная ванная комната. Чистое постельное белье и полотенца.",Nov-24-2022_23-04,,,,,,2,Yes,No,Included,By Agreement,,Not available,,,https://list.am/en/item/15398293
House,Stone,100 sq.m.,1,3,1,Euro Renovation,120 sq.m.,"Նար-Դոսի փողոց 4, Գյումրի","150,000 ֏ monthly",AMD,"В доме есть: Хороший ремонт, на полу ламинат, постоянная холодная и горячая вода, отопление, туалет ванна с плиткой, дом светлый, солнечный, просторный, с мебелью. Перед домом сад. В доме есть подвал и бытовая техника.",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/18176798
House,Stone,180 sq.m.,1,3,3+,Major Renovation,400 sq.m.,Shirak › Gyumri,"10,000 ֏ daily",AMD,"A guest house is for daily rent in the central part of Gyumri city. The guest house is for long-term rent, the price is negotiable. (Attention) the guest house is provided only for guests arriving in Gyumri city. Not far from the center, fully renovated, equipped with everything. A bright yard with a beautiful design. A warm and pleasant environment has been created. Very comfortable and positive atmosphere.With bathrooms, modern furniture, K. B. H. , - high-speed wifi, cable TV, household appliances, dishes, linen. There are all necessary accessories and conditions for your complete relaxation. A spacious and comfortable parking lot is also provided.Translated from Armenian",Nov-24-2022_23-04,,,,,,7,Yes,No,By Agreement,By Agreement,Available,3 or more spots,,,https://list.am/en/item/17921185
House,Stone,100 sq.m.,1,3,1,Cosmetic Renovation,150 sq.m.,"Улица Ширванзаде, Гюмри","250,000 ֏ monthly",AMD,"Сдается в аренду (цена 250.000 dram - 1 месяц) чтобы посмотреть дом звонить за день я в Ереване могу показать дом по вторникам и четвергамНа ул. Ширванзаде, возле ЖД Вокзала. В квартире 3 комнаты, кухня, гостиная, ванная, туалет, гараж, сад и двор. С железными дверями. Есть постоянная вода. Общая площадь участка: 200 квадратных метров. Гараж.В доме есть все необходимые коммуникации:• стиральная машина• Постоянная горячая и холодная вода,• Газовая плита, газовая духовка,• Отопление, чайник• ТВ, Интернет Wi-Fi,• Холодильник, микроволновая печь• Посуда, постельное белье,• парковочное место на 1 машину,В доме 2 спальни, 1 гостиная, 1 ванная, 1 кухня. Всего 100 кв метров... В доме есть все необходимое для комфортного проживания. Я владелец дома...Предоплатой на три месяца первый, второй и последний. Удобно для семьи с детьмиПожалуйста, свяжитесь со мной по вопросам.",Nov-24-2022_23-04,,,,,,3,Yes,Yes,Not included,3 months,Available,2 spots,,,https://list.am/en/item/18353768
House,Stone,445 sq.m.,1,4,1,Old Renovation,131 sq.m.,Shirak › Gyumri,"100,000 ֏ monthly",AMD,Сдам дом в гор Гюмри на ул Кнунянца напротив военторга. На данный момент ремонтируются сан узлы и осуществляется ремонт кухни и комнаты.,Nov-24-2022_23-04,,,,,,4,Yes,Yes,Not included,1 month,Available,3 or more spots,,,https://list.am/en/item/17471109
House,Stone,50 sq.m.,1,1,1,Euro Renovation,50 sq.m.,Shirak › Gyumri,"12,000 ֏ daily",AMD,Newly renovated apartment with all communal amenities in the building at 107a Yerjanyan Highway.Translated from Armenian,Nov-24-2022_23-04,,,,,,4,Yes,Yes,Included,Without prepayment,,,,,https://list.am/en/item/17129499
House,Stone,60 sq.m.,2,3,1,Major Renovation,,Shirak › Gyumri,"20,000 ֏ daily",AMD,"Newly built guest house with all communal amenities. The guest house consists of 2 rooms, the first of which is designed for 3 people, and the second for up to 7 people. The kitchen is common. It is provided with a bathroom, smart TV, refrigerator. There is free wifi, garage.Call for questionsTranslated from Armenian",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/17218250
House,Stone,30 sq.m.,2,1,1,Major Renovation,,"Jambul street, Gyumri","13,000 ֏ daily",AMD,"Newly built guest house with all communal amenities. The guest house consists of 2 rooms, the first of which is designed for 3 people, and the second for up to 7 people. The kitchen is common. It is provided with a bathroom, smart TV, refrigerator. There is free wifi, garage.Call for questionsTranslated from Armenian",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/17218256
House,Stone,80 sq.m.,2,3,2,Designer Renovation,,"Ցուլուկիձե փողոց 2, Գյումրի","35,000 ֏ daily",AMD,"A two-storey house is for daily rent in the center of Gyumri, near the central square, 35,000 drams a day. The house is newly renovated, has 3 rooms, double, twin bed and one room with separate beds. There are 2 bathrooms. The rooms are also rented separately.Translated from Armenian",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/17898014
Townhouse,Stone,35 sq.m.,1,1,1,Euro Renovation,,Shirak › Gyumri,"15,000 ֏ daily",AMD,"Քաղաքի կենտրոնում, Սերգեյ Մերկուրովի տուն-թանգարանի (Ձիթողցոնց) հարևանությանբ Օրավարձով է տրվում 1 սենյականոց նորաոճ բնակարան։ Բնակարանը կահավորված է, ջեռուցվում է, խոհանոցում կա սպասք, անհրաժեշտ տեխնիկա։Կախված օրերից և բնակիչների քանակից հնարավոր է գնային փոփոխությունIn the city center near the house-museum of S. D. Merkurov, a new-fangled apartment is rented by the dayThe apartment has all the necessary equipment, furniture, heating and refreshment systemsDepending on the number of days and guests, the price can be changedВ центре города рядом дом-музей С. Д. Меркурова посуточно сдается в аренду новомодная квартираАпартамент имеет всю необходимую технику, мебель, системы отопления и освеженияВ зависимости от количества дней и гостей, цена может быть изменен",Nov-24-2022_23-04,,,,,,2,Yes,No,Included,By Agreement,,,,,https://list.am/en/item/17580239
House,Stone,42 sq.m.,1,2,1,Designer Renovation,,"Տերյան փողոց 95/6, Գյումրի","15,000 ֏ daily",AMD,"Օրավարձով է տրվում երկու սենյականոց բնակարան քաղաքի կենտրոնական հատվածում՝ Մերկուրովի անվան տուն թանգարանի հարևանությամբ։ Կոմունալ բոլոր հարմարություններով (WI-FI) :Сдается 2х-комнатный дом посуточно в центре города со всеми удобствами, по соседству Музея Меркурова․ В доме есть WI-FI.",Nov-24-2022_23-04,,,,,,4,Yes,No,Included,By Agreement,,,,,https://list.am/en/item/17852351
House,Stone,45 sq.m.,1,1,1,Euro Renovation,,"Furmanov street, Gyumri","10,000 ֏ daily",AMD,"In the city center. In all comfortable conditions. Servant. Bedding, TV. Refrigerator. Washing machine. InternetTranslated from Armenian",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/14910851
House,Stone,70 sq.m.,1,2,1,Designer Renovation,100 sq.m.,"Kirovakanyan street, Gyumri","35,000 ֏ daily",AMD,"Հյուրատուն Գյուրի քաղաքումՎայելեք Ձեր հանգիստը մեր մոտՀյուրատունը գտնվում է քաղաքի կենտրոնից ընդամենը երեք կիլոմետր հեռավորության վրաՈւնի մեկ ննջարան, հյուրասենյակ, խոհանոց և լոգասենյակ, բակ։ՈՒնի տան բոլոր հարմարությունները առանց որևէ բացառությանՎարձակալության տրվում է ամբողջ տունը, կարող են մնալ առավելագույնը չորս հոգի։Гостевой дом в ГюмриНаслаждайтесь отдыхом с намиГостевой дом находится всего в трех километрах от центра города.Состоит из одной спальни, гостиной, кухни, ванной комнаты, двора.В нем есть все без исключения домашние удобства.Сдается весь дом, максимум четыре человека.Стоимость одного дня 35,000 драм.Guest house in Gyumri:Enjoy your holiday with us:The guest house is located three kilometers from the city center.Consists of several bedrooms, guest room, kitchen, bathroom, courtyard.The weight of the house is reduced to four people.Price' 35000 AMD",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/14662148
