Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Garage,Furniture,Facilities,Appliances,Service Lines,Links,Condition
House,Stone,900 sq.m.,2,4,1,Cosmetic Renovation,780 sq.m.,"Ավանգարդ փողոց 2, Գորիս","$45,000",USD,"A newly built two-storey stone house is for sale, the area is 900 square meters, it is gasified, has permanent water and sewerage. The first and second floors are residential.The price is $ 45,000.Address: C. GorisAvangard 2_rd street apt. 1 Price is negotiable.Translated from Armenian",Nov-24-2022_23-39,2 spots,Not available,,,,https://list.am/en/item/17233995,
House,Stone,300 sq.m.,2,6,1,Old Renovation,600 sq.m.,"Նար-Դոսի փողոց 1, Սիսիան","$35,000",USD,A two-storey private house is for sale at 25 Sisian Bakunts. It is a solid capital building. Call or email for details.Translated from Armenian,Nov-24-2022_23-39,1 spot,Available,,,,https://list.am/en/item/16987606,
House,Stone,125 sq.m.,2,2,1,Old Renovation,620 sq.m.,Syunik › Goris,"$25,000",USD,"2-storey house.1 floor: Basement with 3 large rooms, there is a stone oven.2 floors: Kitchen 4.7m2, hallway 6.6m2, bedroom 14.9m2, living room 39.4m2.Mains water, gas, electricity.Land area: 620m2Urgent.2 houses with 1 gateTranslated from Armenian",Nov-24-2022_23-39,Not available,By agreement,,,,https://list.am/en/item/18039840,
House,Stone,186 sq.m.,2,5,2,Partial Renovation,1200 sq.m.,"Կրիստափորի փողոց 24, Գորիս","25,000,000 ֏",AMD,"Two-storey private house is for sale in Goris, Kristapor street, house 19 (Kapan highway) The house is on line 1. Urgent, negotiable.Translated from Armenian",Nov-24-2022_23-39,2 spots,Not available,,,,https://list.am/en/item/16696968,
House,Stone,145 sq.m.,2,4,3+,Partial Renovation,5000 sq.m.,Syunik › Goris,"$40,000",USD,"A private house is for sale in the village of Goris, it has a garage and a large arable land.Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/17570475,
House,Stone,376 sq.m.,2,4,1,Partial Renovation,625 sq.m.,"Orbelyanner street, Goris","$50,000",USD,"The private house is located on the central (Syunik) street, half of the mezzanine floor is concrete, the rest is Baghdad. Heating is a centralized system - baxi. The windows are of European production. It's raining. It has 2 balconies. A solar system is installed. There are also all the auxiliary facilities. There is also a plot of fruit trees next to the house.Code N 159Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/16938005,
House,Stone,220 sq.m.,2,4,1,Old Renovation,1000 sq.m.,"Orbelyanner street, Goris","$40,800",USD,"The house is in good condition, has a garden of 1000 m on level, has all auxiliary facilities.Code U 408Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/18081076,
House,Stone,58 sq.m.,1,2,1,Old Renovation,,Syunik › Sisian,"$8,000",USD,"A house for sale in Sofulu village of Sisian with necessary property and equipment. It has 0.5 ha of land, an orchard and a barn. Price negotiable.Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/15723230,
House,Stone,168 sq.m.,2,3,1,Partial Renovation,,Syunik › Kapan,"$40,000",USD,"Վաճառվում է 2 հարկանի սեփական տուն: Առաջին հարկը կիսանկուղ: Բնակելի մասը 167,7քառ. Մ: Հողամասի չափը 0,058հա: Ավտոտնակ: Մշտական ջուր, գազ, հոսանք, ջեռուցման հանակարգ baxi: Տունը վաճառվում է ամբողջ կահույքի և տեխնիկայի հետ միասին: Գինը սակարկելի:",Nov-24-2022_23-39,,,,,,https://list.am/en/item/13734989,
House,Stone,200 sq.m.,2,6,1,Cosmetic Renovation,800 sq.m.,Syunik › Goris,"13,500,000 ֏",AMD,"Q. Goris, st. Commercial Union (IJYAZI), 2-storey stone building, the first floor is residential (NEWLY RENOVATED), the second floor is half-built, with all communal facilities, for details call the mentioned numbers.Write to Viber for pictures.Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/16088002,
Country House,Stone,150 sq.m.,2,6,1,Old Renovation,1000 sq.m.,Syunik › Sisian,"$20,000",USD,"It also has a bakery with land, large barns, a closed garage, and a garden with productive trees. It could be a very good guest house. URGENT.Translated from Armenian",Nov-24-2022_23-39,2 spots,Not available,,,,https://list.am/en/item/18130419,
House,Stone,208 sq.m.,2,5,1,Partial Renovation,2300 sq.m.,Syunik › Kapan,"20,000,000 ֏",AMD,"Private house with property for sale, 208 sq. M. Meter, 2 floors. Orchard-2300 sq. M. Meters. Kapan, Nzhdeh street.Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/17900327,
Country House,Stone,2100 sq.m.,1,2,1,No Renovation,1800 sq.m.,Syunik › Kapan,"8,000,000 ֏",AMD,Продается дом с земельным участком,Nov-24-2022_23-39,,,,,,https://list.am/en/item/17967349,
House,Monolith,200 sq.m.,3,4,1,Partial Renovation,1024 sq.m.,Syunik › Kapan,"22,000,000 ֏",AMD,"A three-storey, bright, side house is for sale in Barabatum district. It is for sale with property and equipment.Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/17517031,
House,Stone,"12,000 sq.m.",2,4,1,Cosmetic Renovation,"10,000 sq.m.",Syunik › Goris,"$36,000",USD,GOOD condition euro doors and windows has three basements has gas water cold and hot electricity has a big yard has a balcony has an artisan three barns grass barn two garages open and has fruit trees has a garden for three questions call very urgent negotiable located in the village of Vanatur 15 negotiable very urgently at a distance of kilometersTranslated from Armenian,Nov-24-2022_23-39,,,,,,https://list.am/en/item/17476861,
House,Stone,130 sq.m.,2,3,2,Old Renovation,200 sq.m.,"Garegin Nzhdeh Street 24, Kapan","12,000,000 ֏",AMD,"URGENT2-storey private house for sale, c. In Kapan, G. Nzhdeh street, first line, on the river bank, in front of the hospital. There is a bathroom and a cellar on the ground floor. The second floor is residential, 3 rooms, bathroom, kitchen and large open balcony.Translated from Armenian",Nov-24-2022_23-39,Not available,Available,,,,https://list.am/en/item/17503036,
House,Stone,120 sq.m.,1,3,1,Old Renovation,1600 sq.m.,Syunik › Kapan,"14,000,000 ֏",AMD,"For sale a summer house 30 meters straight from the interstate road. 15 km away from the city of Kapan. A beautiful forest-green view opens from the summer house, a river flows directly in front of the house, there are walnut and hazelnut trees in the land. The area is fenced with iron net.Living room -1Bedroom -1KitchenLarge corridorToilet:Storage roomThere is also a large room inside the building, which was used as a workshop, you can turn it into a residential area if you wish.There is electricity, water, three-phase. There is a roof (saray) next to the building.Translated from Armenian",Nov-24-2022_23-39,Not available,By agreement,,,,https://list.am/en/item/17509204,
House,Stone,200 sq.m.,2,3,1,Old Renovation,,Syunik › Kapan,"$5,500",USD,"The private house is located in Ditsmayri village. It has 1400 square meters of land, barn, reservoir, fruit trees. It is for rent.Translated from Armenian",Nov-24-2022_23-39,Not available,Not available,,,,https://list.am/en/item/14539951,
House,Stone,200 sq.m.,1,5,1,Partial Renovation,450 sq.m.,Syunik › Sisian,"$15,000",USD,Վաճառվում է բնակարան Սյունիքի Մարզ գյուղ Անգեղակոթում կենտրոնական հատվածում ունի բոլոր կոմունալ հարմարություններ մասնակի վերանորոգված է վաճառվում է վարելահողերի հետ միասին,Nov-24-2022_23-39,Not available,Available,,,,https://list.am/en/item/17600569,
House,Stone,6000 sq.m.,1,4,1,No Renovation,5700 sq.m.,Syunik › Aghitu,"8,000,000 ֏",AMD,"Bakery, bakery, swimming pool, barn, various fruit trees, urgent sale, will also rentTranslated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/18260579,
Country House,Bricks,79 sq.m.,2,2,1,No Renovation,600 sq.m.,"M-2 1, Մեղրի","$4,500",USD,"A 2-storey house is for sale in Lichk village of Meghri region. The house is located on a high part of the village, from where the whole village can be seen. It is suitable for use as a summer house or as a guest house. The house has a semi-basement floor with a separate entrance from the courtyard, where there is a bakery and an adjoining room. The upper floor is a living room with 2 rooms and 1 kitchen, an enclosed glassed-in balcony. The adjoining land of 600 square meters is for sale together with the house. Patio and roof doors open directly onto the street. It is also possible to open a second entrance from the other side of the plot.It is approximately a 1950-60s structure. The house was used as a summer house in the Soviet years, until the beginning of the 90s, it had electricity and water, but since it has not been inhabited for a long time, it needs capital repairs, electricity and water connection. The power lines run about 10-15 meters from the house, and there is no need for any permits or documents to connect the water, because the water supply of the village is not carried out by Viola-Jur.Please call or write only real buyers, do not ask questions to check the price of the place in vain. The price is clearly written, negotiable for a real buyer. Exchange is also possible.Translated from Armenian",Nov-24-2022_23-39,Not available,Not available,,,,https://list.am/en/item/15019144,
House,Stone,129 sq.m.,2,4,1,Partial Renovation,2100 sq.m.,"M. Stepanyan street 1, Kapan","$56,000",USD,"In Hamletavan settlement it is for sale or exchanged by me with an additional payment, together with an apartment in Yerevan.The building has two floors: Residential-basement floor.The first floor consists of two rooms, which are fully furnished and ready to live in. On the second floor (monsarda) it is possible to build two bedrooms through the partition. There are two outdoor lodges. A bathroom is built next to the building. There is a satellite dish, TV, refrigerator այլ other necessary accessories. It is electrified, natural gas is nearby. It has a water line from two places. There are fruit trees and shrubs. Adjacent to the building there is a residential wooden house (carriage) with two beds, refrigerator and TV. There are wide possibilities for reconstruction or expansion. There is a hole for the pool. The plot has three gates with its own roads.All documents are available and registered by the relevant state structures.Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/17665217,
House,Stone,160 sq.m.,2,7,1,Old Renovation,587 sq.m.,"Մեսրոպ Մաշտոցի փողոց 18/15, Գորիս","40,000,000 ֏",AMD,"Document issue:WE DO NOT HAVEPrivate house for sale in the center of Goris.NEAR THE FOUNTAINS!Call for details.The place is very convenient both for living and any type of activity for starting a business.(Gas, water, electricity)ONLY REAL BUYERS CALLCAN YOU OFFER?ALSO EXCHANGE OPTIONSTranslated from Armenian",Nov-24-2022_23-39,Not available,Available,,,,https://list.am/en/item/16932203,
House,Panels,88 sq.m.,2,3,2,Cosmetic Renovation,,Syunik › Sisian,"$25,000",USD,"ՇՏԱՊ վաճառվում է 3 սենյականոց բնակարան քարե շենքի 2-րդ հարկում Սիսիան քաղաքում։ Հասցե՝ Սյունիքի մարզ, քաղաք Սիսիան, փողոցՈրոտան 6, բնակարան 19։ Ունի նկուղ շենքի տակ։",Nov-24-2022_23-39,Not available,Available,,,,https://list.am/en/item/15686435,
House,Stone,300 sq.m.,3,8+,3+,No Renovation,,Syunik › Sisian,"$35,000",USD,"HALF OF HOUSE AND LOT FOR URGENCY SALE FOR $17,500.3-storey stone house for sale URGENTLY. It is 14.5 m long and 13.5 m wide. The structure is extremely strong, no interior repairs have been done, it has cultivated, fertile soil, fruit trees. Can serve as a hotel and resort.Translated from Armenian",Nov-24-2022_23-39,Not available,Not available,,,,https://list.am/en/item/15675829,
House,Stone,280 sq.m.,3,7,2,Euro Renovation,500 sq.m.,Syunik › Goris,"$230,000",USD,"Private house for sale, euro-repaired, with all utilities, property and equipment. It has Bax heating system, the floor of some parts of the house is heated. It has two balconies. Also used as a hotel.Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/17669195,
House,Stone,280 sq.m.,3,7,2,Euro Renovation,500 sq.m.,Syunik › Goris,"$230,000",USD,"Private house for sale, euro-repaired, with all utilities, property and equipment. It has Bax heating system, the floor of some parts of the house is heated. It has two balconies. Also used as a hotel.Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/17669196,
House,Stone,274 sq.m.,2,7,2,Euro Renovation,1000 sq.m.,"Սյունիքի փողոց 10, Գորիս","15,000,000 ֏",AMD,"! Ուշադրություն -քանի-որ հնարավոր չի քարտեզով նշել գյուղը տունը գտնվում է տեղ համայնքում փ-15,տ-4,! Վաճառվում է սեփական տուն, գտնվում է իդեալական վիճակում տան բն. Մակերեսը274,տունը ապահովված է բնական խմելու ջրով, մշտական տաք և սառը ջրով, գազով, 2-րդ հարկը վերանորոգված է, ունի մեկ ավտոտնակ, ավտոտնակից դուրս կարող է կայանել երկու մեքենա, ունի անասնագոմ-70,ունի խորդանոց, պտղատու այգի! Շտապ! Ուշադրություն -քանի-որ հնարավոր չի քարտեզով նշել գյուղը տունը գտնվում է տեղ համայնքում փ-15,տ-4,!",Nov-24-2022_23-39,,,,,,https://list.am/en/item/15866514,
House,Stone,130 sq.m.,2,3,2,Old Renovation,200 sq.m.,"Garegin Nzhdeh Street 24, Kapan","12,000,000 ֏",AMD,"2-storey private house for sale, c. In Kapan, G. Nzhdeh street, first line, on the river bank, in front of the hospital. There is a bathroom and a cellar on the first floor. The second floor is residential, 3 rooms, bathroom, kitchen and large open balcony. Negotiable URGENT.Translated from Armenian",Nov-24-2022_23-39,Not available,Available,,,,https://list.am/en/item/16993355,
House,Stone,360 sq.m.,2,4,1,No Renovation,400 sq.m.,Syunik › Goris,"$55,000",USD,"Own house for sale in Goris. For details, call the indicated number. NegotiableTranslated from Armenian",Nov-24-2022_23-39,Not available,,,,,https://list.am/en/item/18212298,
House,Stone,90 sq.m.,1,4,2,Cosmetic Renovation,600 sq.m.,Syunik › Kapan,"$35,000",USD,"A new cosmetically renovated private house is for sale on Spandaryan street (transport) in Kapan city, Syunik marz. It has a high position, a large yard, a beautiful view of Khustup, golden neighbors. , the car approaches the gates of the house, the house is heated with gas, wood and coal. Not far from the house there is also a 1200 square meter auxiliary plot. The house is very sunny, the plot of the yard is also very suitable for building a greenhouse, there are also a number of auxiliary structures, a barn, warehouse, fruit trees, etcTranslated from Armenian",Nov-24-2022_23-39,1 spot,Available,,"FRidge, stove, washing machine","ELectricity, water supply, natural gas, sewerage",https://list.am/en/item/18333667,
House,Stone,80 sq.m.,1,3,1,Partial Renovation,400 sq.m.,"Adelyan St. 7, Մեղրի","$60,000",USD,"2 private houses, 2 garages for sale. All this is in one plotTranslated from Armenian",Nov-24-2022_23-39,1 spot,By agreement,,,,https://list.am/en/item/16499242,
House,Stone,240 sq.m.,2,5,1,Partial Renovation,550 sq.m.,"Orbelyanner street 4, Goris","30,000,000 ֏",AMD,"СРОЧНО! Продается 2-х этажный дом 5 комнат, в центре города с большим садом. Дом находится рядом с церковью и военкоматом, в самом центре города. Все магазины и необходимые организации в пешей доступности.Первый этаж можно использовать в коммерческих целях (например под магазин) Второй этаж можно сдавать как гостевой дом.Санузел и кухня с евроремонтом. Остается вся мебель.Есть гараж. Открытый балкон.Собственник. С реальным покупателем цена договорная. Возможна скидка.",Nov-24-2022_23-39,,,,,,https://list.am/en/item/17829210,
House,Stone,112 sq.m.,1,3,1,No Renovation,640 sq.m.,Syunik › Sisian,"$16,000",USD,"Unfinished private house consisting of three rooms (windows: European production) roofed, 3 basements (2 of which were used for growing mushrooms) It has a 640 sq. M. Land plot near the house, with existing auxiliary buildings: 72.92 sq. M. Barn, 5.6 sq. M. Barn, 17.96 sq. M. Roof, 3.42 sq. M. It has permanent water։ electricity. The land and greenhouse is irrigated by drip system.Address: C. Sisian, st. Tigran the GreatPrice: $ 16,000 (negotiable)Translated from Armenian",Nov-24-2022_23-39,Not available,,,,,https://list.am/en/item/17874517,
House,Stone,800 sq.m.,3,8+,2,Cosmetic Renovation,,Syunik › Goris,"$65,000",USD,"Տունը վաճառվում է իր ամբողջ գույքի հետ միասին, ունի բոլոր կոմունալ հարմարությունները, սակարկելի է։ Մանրամասների համար զանգահարել։",Nov-24-2022_23-39,,,,,,https://list.am/en/item/15522621,
House,Stone,600 sq.m.,1,4,1,No Renovation,,Syunik › Goris,"$7,200",USD,Վաճառվում է սեփական տուն Արեգունի թաղամասում։ Մանրամասների համար զանգահարել։,Nov-24-2022_23-39,,,,,,https://list.am/en/item/15522950,
House,Stone,200 sq.m.,2,3,1,Major Renovation,800 sq.m.,"Մյասնիկյան փողոց, Սիսիան","$32,000",USD,"Private house for sale, located in the center, renovated,The first floor is suitable for business activities. Has an orchardwith new trees.Translated from Armenian",Nov-24-2022_23-39,Not available,,,,,https://list.am/en/item/17534122,
House,Stone,220 sq.m.,2,3,1,Old Renovation,815 sq.m.,Syunik › Kapan,"$8,000",USD,"A residential house with an area of 220.1 square meters with a 0.0815 hectare land plot located in Kaghnut village of Syunik region, which also has a 27.3 square meter cattle barn, is for sale. For sale with partial property. The price is $ 8000.Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/17566152,
House,Stone,227 sq.m.,2,5,1,Old Renovation,1200 sq.m.,"Orbelyanner street, Goris","12,000,000 ֏",AMD,"The roof is galvanized, there are utility facilities on the 1st floor.Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/18303856,
House,Stone,200 sq.m.,2,2,1,Partial Renovation,400 sq.m.,"Orbelyanner street, Goris","$30,000",USD,The house is partially renovated. It's sunny. Has all the ancillary facilities.It is gasified.Code U 413Translated from Armenian,Nov-24-2022_23-39,,,,,,https://list.am/en/item/18303829,
House,Monolith,130 sq.m.,1,5,1,Old Renovation,600 sq.m.,Syunik › Sisian,"9,000,000 ֏",AMD,"Urgent house for sale in c. In Sisian, Without a mediator, with a total land area of 600 square meters. In addition, two plots of land with an area of 400 and 600 square meters are provided. For more detailed information, please call.Translated from Armenian",Nov-24-2022_23-39,3 or more spots,,,,,https://list.am/en/item/17571466,
House,Stone,60 sq.m.,1,2,1,No Renovation,2190 sq.m.,Syunik › Sisian,"$6,000",USD,"The real estate is located in the central part of Brnakot village, Syunik region. Has a plot of land near the house with fruit trees.Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/17818863,
