Type,Construction Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Links,Parking
Retail Space,Stone,50 sq.m.,Vayots Dzor › Vayk,"$22,000",USD,"Commercial area is for sale in Vayk, next to ACBA Bank.Translated from Armenian",Nov-24-2022_21-57,,,,,https://list.am/en/item/17954869,
Restaurant,Stone,2400 sq.m.,Vayots Dzor › Vayk,"$125,000",USD,It is located on the 5th km of the Vayk-Jermuk main highway. The total area is 2400 square meters. For more information call:Translated from Armenian,Nov-24-2022_21-57,,,,,https://list.am/en/item/15746818,
Building,Stone,150 sq.m.,"Улица Степана Шаумяна 3, Ехегнадзор","$15,000",USD,Цех в Елпине гараж,Nov-24-2022_21-57,,,,,https://list.am/en/item/12189241,
Retail Space,Stone,54 sq.m.,Vayots Dzor › Vayk,"$20,000",USD,"Urgent sale of a shopping hall, office space in the town of Vayk, Vayots Dzor marz, near the Yerevan-Vayk highway. Suitable for use as a shop, bistro, office. The area is 54 square meters, it has an air conditioner, a bathroom, constant water, a large basement, electricity, the windows and the door are of European manufacture, with renovated parquet. Price: Negotiable.Translated from Armenian",Nov-24-2022_21-57,,,,,https://list.am/en/item/18057658,
Retail Space,Stone,350 sq.m.,Vayots Dzor › Malishka,"30,000,000 ֏",AMD,"Commercial and industrial space for sale in the Malishka village section of Yerevan Meghri interstate highway. The total area of the plot is 1900 square meters. The building is located on the river bank. The location and structure of the building allows it to be used either for production purposes, Restaurant purposes, or hotel purposes. Price negotiable with real buyer.Translated from Armenian",Nov-24-2022_21-57,,,,,https://list.am/en/item/18062712,
Retail Space,Stone,77 sq.m.,"Shahumyan street, Jermuk","$50,000",USD,An area of 76.5 square meters is for saleTranslated from Armenian,Nov-24-2022_21-57,,,,,https://list.am/en/item/15715248,
Restaurant,Stone,480 sq.m.,"Jermuk Highway 1, Vayk","$135,000",USD,"The canteen is functioning, it is in good condition, it has office spaces that are rented out, it also has a meat shop. It is located on the central highway of Vaiki, next to the bus station. Price negotiable For rentTranslated from Armenian",Nov-24-2022_21-57,,,,,https://list.am/en/item/17748460,
Retail Space,Stone,30 sq.m.,"Ստեփան Շահումյանի փողոց 5, Ջերմուկ","$32,000",USD,"Urgently for sale public area in the center of Jermuk ․ first line. Entrance also from the street. The renovated area is located in the center of Ajapnyak district of Jermuk, on the 1st floor of a 4-storey stone building. Has constant hot and cold water, gas, electricity. Energy. The place and location is very convenient for commercial use. It is 6 meters (2 windows) from the street (front) The level is equal to the street. There is a basement inside the whole house, which can serve as a storage.Translated from Armenian",Nov-24-2022_21-57,,,,,https://list.am/en/item/16913899,
Hotel,Monolith,1400 sq.m.,"Улица Степана Шаумяна 26, Джермук","$1,200,000",USD,"Region: Vayots DzorCity: Jermuk (170 km away from the capital Yerevan)The currently operating four-storey hotel-restaurant complex is for sale.• Total building area - 800 square meters (expandable)• There is a separate building of 600 square meters next to the hotel, which can allow the hotel to have a medical part.• The total area of the land is 1990 square meters.Total number of numbers: 17.It is a new building consisting of 2 buildings. The main building has 11 comfortable rooms located on 4 floors: Standard 2-seater standard, 2, 3, 4-seater semi-deluxe rooms. The reception and restaurant are on the ground floor.The second building next to the main one was opened in 2014 and has 6 standard rooms with a wonderful view of the gorge.1 boiler house to provide heating for the hotel,like a parking lot. You can enjoy the tranquility of Jermuk, the fresh mountain air and the surrounding sights.Translated from Armenian",Nov-24-2022_21-57,,,,,https://list.am/en/item/17570360,
Functioning Business,Monolith,5500 sq.m.,"Shahumyan street 20, Jermuk","$4,500,000",USD,"Վայոց Ձորի մարզի՝ Ջերմուկ քաղաքում, վաճառվում է նորակառույց գործող հյուրանոց՝ առողջարան։ Հյուրանոցը բաղկացած է 4 հարկերից, որն իր մեջ ներառում է 1 կոմերցիոն առանձին տարածք՝ 120 քմ. Մակերեսով, 55 հատ հյուրանոցային համարներ՝ իրենց առանձին սանհանգույցներով և կան համարներ, որոնք բաղկացած են 2 սենյակներից և հյուրասենյակից։ Հյուրանոցում գործում է մեծ ճաշարան, կոնֆերենս սրահ, խաղասենյակ, բար և վերելակ։ Հյուրանոցին կից առկա է 31 քմ. Տրանսֆորմաթիոն ենթակայան և կաթսայատուն՝ 40 քմ. Մակերեսով։ Հյուրանոցը վաճառվում է կահույքի և տեխնիկայի հետ միասին։A newly built hotel, a sanatorium, is for sale in Jermuk, Vayots Dzor region. The hotel consists of 4 floors, which includes 1 commercial separate area of 120 square meters. Area, 55 hotel rooms with their separate bathrooms, rooms consisting of 2 rooms and living room. The hotel has a large dining room, conference hall, game room, bar and elevator. There is 31 sq. M. Transformer substation and boiler house, 40 sq. M. Area. The hotel is for sale together with furniture and appliances.Недавно построенный отель, санаторий, продается в Джермуке, район Вайоц Дзор. Отель состоит из 4 этажей, в состав которых входит 1 коммерческий отдельный участок площадью 120 кв. Есть 55 гостиничных номеров с отдельными ванными комнатами, состоящие из 2 комнат и гостиной. В отеле есть большая столовая, конференц-зал, игровая комната, бар и лифт. Есть 31 кв. М. Трансформаторная подстанция и котельная, 40 кв. М. Область. Отель продается вместе с мебелью и техникой",Nov-24-2022_21-57,,,,,https://list.am/en/item/13652943,
Restaurant,Stone,2000 sq.m.,Vayots Dzor › Vayk,"$369,000",USD,"An operating restaurant is for sale together with property and equipment. Located on the banks of the Arpa River, it has outdoor and indoor halls for corporate events.The restaurant also cooperates with travel companies.Area: 0.2 hectaresAddress: Vayots Dzor region, 5th kilometer of Vayk-Goris highwayTranslated from Armenian",Nov-24-2022_21-57,,,,,https://list.am/en/item/17663670,
Building,Stone,423 sq.m.,Vayots Dzor › Jermuk,"15,000,000 ֏",AMD,"Գույքը գրավադրման արդյունքում հանդիսանում է Բանկի սեփականությունը:Վայոց Ձորի մարզ, ք. Ջերմուկ, Ձախափնյակ 11-րդ փող. Թիվ 7 / 1հասցեի պահեստ՝ 422.65 քմ, օժանդակ կառույց 27 քմ, հողամաս 0.53 հա քարե շենք:Ներկայացվող գույքը կարող եք ձեռք բերել նաև Բանկի կողմից վարկավորման միջոցով՝ տվյալ պահին գործող վարկավորման պայմաններով և սակագներով:",Nov-24-2022_21-57,Not available,Not available,Other,Separate from the Courtyard,https://list.am/en/item/8760522,
Multifunctional Space,Panels,81 sq.m.,"Ձախափնյակ թաղամաս 3/48, Ջերմուկ","$18,000",USD,"A space of public importance is for sale on the 1st floor of a 5-story residential building in Dzakhapnyak district of Jermuk city. It has an area of 81 square meters, is provided with constant water and electricity, has a bathroom, the gas pipe goes directly over the outer wall. It is suitable for use as an office, shop, beauty salon, workshop, apartment. It needs repair.Translated from Armenian",Nov-24-2022_21-57,,,,,https://list.am/en/item/18266027,
Building,Stone,236 sq.m.,"3րդ փողոց 26, Արենի","$19,500",USD,The two-storey building is located in the central part of Areni village. Needs renovation.Translated from Armenian,Nov-24-2022_21-57,,,,,https://list.am/en/item/17235874,
Everything Else,Stone,40 sq.m.,"Ջերմուկի խճուղի 36/2, Վայք","2,300,000 ֏",AMD,"Ազատ տարածք, կանաչ շենքում-36 բն․ 44.",Nov-24-2022_21-57,,,,,https://list.am/en/item/18166686,
Industrial and Manufacturing,Panels,650 sq.m.,Vayots Dzor › Yeghegnadzor,"$25,000",USD,650 square meters... Construction assembled with bolts and nails... Call for details.Translated from Armenian,Nov-24-2022_21-57,Not available,Not available,Other,Separate from the Street,https://list.am/en/item/12283282,
Industrial and Manufacturing,Panels,2400 sq.m.,Vayots Dzor › Yeghegnadzor,"500,000,000 ֏",AMD,"Industrial, two-story. The height of one floor is 4m, the land area is 2800 square metersTranslated from Armenian",Dec-15-2022_21-16,Not available,Not available,First Line,Separate from the Street,https://list.am/en/item/18400640,
Industrial and Manufacturing,Stone,5730 sq.m.,Vayots Dzor › Yeghegnadzor,"15,000,000 ֏",AMD,"A production area is for sale near Yeghegnadzor on Andranik street, the total area is 5730 square meters, and the production and storage area is 400 square meters.Translated from Armenian",Dec-15-2022_21-16,Not available,Not available,First Line,Common from the Street,https://list.am/en/item/18696808,"Outdoor parking, covered parking"
Everything Else,Stone,54 sq.m.,Vayots Dzor › Yeghegnadzor,"$23,000",USD,"A two-story space is for sale, it has permanent water, a bathroom, it is renovated, Euro doors and windows, it is suitable for business premises, each floor is 27 square meters. M.Translated from Armenian",Dec-15-2022_21-16,Not available,Not available,First Line,Separate from the Street,https://list.am/en/item/18475538,
Warehouse,Panels,150 sq.m.,Vayots Dzor › Vayk,"7,770,000 ֏",AMD,"I'm selling the warehouse separately at that price if the buyer takes it apart to assemble it somewhere else, it's completely construction, I also have a barn, it's also construction, that's a different price.Translated from Armenian",Dec-15-2022_21-16,,,,,https://list.am/en/item/18116297,
Office Space,Stone,120 sq.m.,Vayots Dzor › Yeghegnadzor,"$250,000",USD,"H A Y T A R A R U T Y U N ️3-storey commercial space for sale.The building is made of stone, heating is provided by air conditioners.Each floor has a separate entrance.The building is leased for a long termTranslated from Armenian",Dec-15-2022_21-16,Not available,Not available,First Line,Common from the Street,https://list.am/en/item/18665035,
Multifunctional Space,Panels,1670 sq.m.,"Улица Аршавира Меликяна 3, Вайк","$400,000",USD,"Здание оснащена: Газом, Вода, Канализация, Электричество 380ват, Здание находится: (Бывшая територрия АТП), Дополнительная асыальтированая земля, Большие промышленные ворота. Остальные вопросы по телефону",Dec-15-2022_21-16,Not available,Not available,Other,Separate from the Street,https://list.am/en/item/18699394,"Outdoor parking, covered parking, garage"
Agricultural Space,Stone,6000 sq.m.,Vayots Dzor › Shatin,"18,000,000 ֏",AMD,"Cattle building, cattle barn for sale, located on a land area of more than 6000 square meters, the total area of the cattle building is 1560 square meters. The livestock building is semi-constructed, the pillars are available, it can be rebuilt if necessary, it is one of the best options for smart livestock buildings. More than 200 square meters of the building have been reconstructed. There are walnut, apple, cherry, peach, plum and other trees on the land. You can call for details. I will also listen to exchange offers.NegotiableTranslated from Armenian",Dec-15-2022_21-16,Not available,Not available,Other,Separate from the Courtyard,https://list.am/en/item/18476209,
Office Space,Stone,80 sq.m.,Vayots Dzor › Vayk,"$40,000",USD,"В г. Вайк, в 135км от г. Ереван, помещение. Оно расположено на государственной трассе Ереван-Мегри. Есть все необходимые условия для работы. Есть электричество, а также горячая и холодная вода. Недалеко от помещения есть магазины, точки питания, чуть дальше-банки.По все вопросам звонить по указанному номеру",Dec-15-2022_21-16,,,,,https://list.am/en/item/18509334,
Restaurant,Stone,600 sq.m.,Vayots Dzor › Jermuk,"$600,000",USD,"Operating restaurant with all its facilities, land area 2200 sq. M. NegotiableTranslated from Armenian",Dec-15-2022_21-16,Available,Not available,First Line,Common from the Street,https://list.am/en/item/18434991,
Hotel,Stone,1100 sq.m.,"Ջերմուկի խճուղի, Վայք","$180,000",USD,"Commercial real estate for sale. The area of the building is 200 sq/m. The area of the area adjacent to the building is 1100 sq/m. It has 3 hotel rooms, cafe, parking lot, 2 compartment rooms.Also, there are: Barbecue zone, all utilities: Gas, electricity: 380 W, communal water supply, sewage. The area is located on the Yerevan-Kapan interstate highway.Cost: $180,000.Translated from Armenian",Dec-15-2022_21-16,Available,Not available,First Line,Common from the Courtyard,https://list.am/en/item/18616437,Outdoor parking
Agricultural Space,Stone,4428 sq.m.,Vayots Dzor › Yeghegnadzor,"133,164,000 ֏",AMD,"The property is a Bank Collateral that is in BANKRUPTCY auction.Vayots Dzor Marz, c. Greenhouse at Yeghegnadzor, No. 40: 4427.7 square meters. , plot: 1.59 ha. , administrative building: 78.6 square meters. , warehouse: 46.8 sq. M., boiler house: 304.8 square meters. , guardhouse: 40 sq. M.Also, the plot is burdened with cadastral value, which is subject to payment by the buyer, 45,911,250 AMD.You can also purchase the presented property through lending by the Bank, with the current lending terms and rates.! Attention!The property is encumbered by actual users, whose eviction and all necessary costs and actions arising from the contract will be carried out by the successful bidder.Translated from Armenian",Dec-15-2022_21-16,Not available,Not available,Other,Separate from the Courtyard,https://list.am/en/item/18406733,
Retail Space,Stone,60 sq.m.,Vayots Dzor › Yeghegnadzor,"$33,000",USD,"A two-story business is for sale in the center of Yeghegnadzor, next to the Market. It has two floors, each floor is 30 square meters. Very suitable for shopping and business in general. The bottom is metlakh, the top has been repaired by Mazaika.For more information call:Translated from Armenian",Dec-15-2022_21-16,,,,,https://list.am/en/item/18585607,
Office Space,Stone,20 sq.m.,Vayots Dzor › Yeghegnadzor,"$33,000",USD,"Office space for sale at Mikoyan 3, Yeghegnadzor city, Vayots Dzor marz /former money exchange point/, 20 square meters.Price $33,000 negotiable.Translated from Armenian",Dec-15-2022_21-16,,,,,https://list.am/en/item/18551658,
