Elevator,Floors in the Building,Room Area,Renovation,Balcony,Floor,Number of Guests,Children Are Welcome,Pets Allowed,Prepayment,Utility Payments,Address,Price,Currency,Description,Datetime,Type,Amenities,Appliances,Floor Area,Furniture,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Parking,Links
Not available,1.0,17 sq.m.,Designer Renovation,Open balcony,1.0,2,No,No,Without prepayment,Included,"Բուռնազյան փողոց 21/3, Երևան","35,000 ֏ monthly",AMD,"Նորակառույց հյուրանոցում (Հօստել) ։ Հասցեն ք. Երեվան Բուռնազյան 21.(Կայարանի) մոտակայքում։ Ամսավարձով տրվում են սենյակներ։Դեպոզիտ և կոմոնալ ծաիւսեր չեն վձարվում:ՍԵՆՅԱԿՈՒՄ ՄԻ ՔԱՆԻ ՀՈԳՈվ ՀԱՄԱՏԵՂ բնակվելու դեպքում. ՄԵկ ԱՆՁԻ ամսական վարձը ՍԿՍԱԾ 35000 դրամից ։(հարմար է ուսաննող և աշիւատող անձանց համար)Կա նայև առանձին ԼՈԳԱՐԱՆ և ՍԱՆՀԱՆԳՈՒՅՑՈՎ սենյակներ ՄԵԿ ԱՆՁԸ ՍԿՍԱՑ 100000 դրամից ամսավարձով։ նշվաց սենյակում երկու հոգով բնակվելիս ամսական վարձը ՍԿՍԱՑ 120000 դրամից։Շենքում առկա է անվճար WIFI, Մշտական տաք և սառը ջուր, Բաղնիք - զուգարան, խոհանոց անհրաժեշտ սպասքով, սառնարան, Ավտոմատ չորացնող լվացքի մեքենա, ավտոկայանատեղ, ձմռանը կենտրոնական ջեռուցում;Հարևանությամբ գործում է մթերային խանութ:Սասունցի Դավիթ մետրոից 600 մետր:Տիգրան Մեցի պողոտաից 500 մետր ոտքի ճանապար։В недавно построенной гостинице (Хостел) Рядом (станция метро Сасунци Давид железнодорожного вокзала) Сдаются комнаты.Ежемесячная арендная плата одного человека при совместном проживании от 50000 драм.Есть комнаты для ОТДЕЛЬНОГО проживания? От 120000 драм.(Подходит для студентов и студентов)Депозит и коммунальные платежи не взимаются.В здании бесплатный WIFI, постоянная горячая и холодная вода, ванная - туалет, кухня с необходимой посудой, холодильник, автомат для сушки белья, парковка, центральное отопление зимой;Рядом находится продуктовый магазин.600 метров от метро Сасунци Давид.500 метров пешком от проспекта Тиграна Меца.Hotel under (Hostel) Nearby (Station) Rooms for rent.Monthly rent for one person in a room for 8 people is 50,000 AMD.There are rooms for SEPARATE living. From 120000 AMD.(Suitable for schoolchildren and students)Deposit and utilities are not charged.The building has free WIFI, constant hot and cold water, bathroom - toilet, kitchen with necessary utensils, refrigerator, clothes dryer, parking, central heating in winter;There is a grocery store nearby.600 meters from Sasuntsi David metro station.500 meters walk from Tigran Mets Avenue.",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/14450034
Not available,2.0,30 sq.m.,Major Renovation,Not available,2.0,8+,Yes,Yes,2 weeks,Included,"Sebastia Street, Yerevan","25,000 ֏ monthly",AMD,"Rooms for rent in the guest house, fully renovated, designed for 2 to 5 people, have their own kitchen, restaurant and lounge.The cost for 1 day is AMD 25,000Translated from Armenian",Nov-25-2022_00-26,Hotel,"TElevision, air conditioner, internet, parking space",FRidge,,,,,,,OUtdoor parking,https://list.am/en/item/18365538
Not available,5.0,35 sq.m.,Cosmetic Renovation,Closed balcony,2.0,2,Yes,No,By Agreement,Included,"Проспект Тигран Мец 29, Ереван","15,000 ֏ daily",AMD,"По фасаду третий этаж, 2 чистые смежные комнаты с высокими потолками, имеется мягкая мебель, пианино, ТВ, кондиционер, Wi-fi, шкаф.Одна комната - 10м2, там стоит двуспальная кровать и диван. Окна во двор.Вторая комната - 35м2, гостиная с мягкой мебелью и тд.С/у раздельный. Большая кухняСдам 1-2 девушкам, можно семье с ребёнком, за третьего человека доплата 6000 драм.Заселение с 14.00 считается, выселение в 12.00",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18365422
Available,12.0,18 sq.m.,Old Renovation,Not available,4.0,1,No,No,By Agreement,Included,"Davtashen 3rd Block 12/3, Yerevan","10,000 ֏ daily",AMD,"Daily rent in the center of Yerevan-kentronSeveral rooms available for Daily, weekly and monthly. Shared bathroom and kitchen in clean decent homestay where you can rest and work quietly, have excellent internet, small functional kitchen, hot water, baxi system. Etc.This is OFFERED ONLY TO FOREIGNERS.NO LOCALS.",Nov-25-2022_00-26,Private House,,,,,,,,,,https://list.am/en/item/18339112
Not available,4.0,6 sq.m.,Euro Renovation,Open balcony,3.0,,,,,,Yerevan › Kanaker-Zeytun,"10,000 ֏ daily",AMD,"Сдаётся комната в доме. Кровать 2х-местная, санузел общий, wifi, магазины есть поблизости, транспорт.",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17768629
Not available,2.0,20 sq.m.,Cosmetic Renovation,Not available,2.0,2,Yes,No,By Agreement,Not included,"Arabkir 21-st Street, Yerevan","150,000 ֏ monthly",AMD,"Сдаются 1-комнатные квартиры на 2 этаже собственного дома, рассчитанные на 1 и более человек. Арендная плата месяц 150000др на комнату, + депозит 100 долларов. На одного человека",Nov-25-2022_00-26,Private House,,,,,,,,,,https://list.am/en/item/18363710
Not available,2.0,30 sq.m.,Cosmetic Renovation,Open balcony,2.0,1,No,No,By Agreement,Not included,"Viktor Hambartsumyan street 23, Yerevan","150,000 ֏ monthly",AMD,"One room is for rent on the second floor of a private house, on a combined basis.Price is negotiable.Translated from Armenian",Nov-25-2022_00-26,Private House,,,,,,,,,,https://list.am/en/item/17852400
Not available,1.0,40 sq.m.,Euro Renovation,Not available,1.0,1,Yes,No,By Agreement,By Agreement,"Sebastia Street, Yerevan","200,000 ֏ monthly",AMD,"Hostel, հոսթել, хостелГостиничная система общежития на 12 человек. Состоит из 2 отдельных жилых корпусов (5 и 7 мест) Подведена горячая и холодная вода. Предоставляется Интернет (бесплатно), Wi-Fi, Smart TV-i (100 и более каналов) Евроремонт, санузел: Умывальники, душевая кабина, стиральная машина. Оборудован холодильником, электрообогревателем, имущество и бытовая техника вся новая, стол, стул, шкафы, кровати заставлены постельными принадлежностями, после ремонта не обжиты, вентиляционная система.Расположен рядом с Китайским медицинским центром Гуанчжоу, бывшим Торнадо.Пространство предоставляется только иностранным гражданам.Ежемесячная плата за 5-местную квартиру составляет 200 000 драм/34 000 рублей.Ежемесячная плата за 7-местную квартиру составляет 300 000 драм/50 000 рублей.Пишите на почту.Հոսթել տիպի հյուրանոցային համակարգ 12 անձի համար: Բաղկացած է 2 առանձին բնակելի շինություններից (5 և 7 տեղանոց) : Ապահովված է տաք և սառը ջրով: Ապահովված է ինտերնետով (անվճար), Wi-Fi, սմարթ TV-i (100 և ավել ալիք) : Եվրովերանորոգված է, առաձին սանհագույց` Լվացարաններ, լոգախցիկ, լվացքի մեքենա: Ապահովված է սառնարանով, էլեկտրական ջեռուցիչով, գույքը և տեխնիկան ամբողջությամբ նոր են, սեղան, աթոռ, պահարաններ, մահճակալներն կահավորված են անկողնային պարագաներով, վերանորոգումից հետո չի բնակեցվել, օդափոխման համակարգ:Գտնվում է Գուանժո չինական բժշկական կենտրոնի հարևանությամբ` Նախկին Տոռնադոյի:Տարածքը տրվում է միայն օտարերկրյա քաղաքացիներին:5 տեղանոցի ամսավճարը 200000 ՀՀ դրամ/ 34000 рубль7 տեղանոցի ամսավճարը 300000 ՀՀ դրամ/ 50000 рубльԳրել Mail-ին:",Nov-25-2022_00-26,Hostel,,,,,,,,,,https://list.am/en/item/18362129
Not available,5.0,20 sq.m.,Euro Renovation,Open balcony,4.0,1,No,No,By Agreement,Included,"Rubiniants street, Yerevan","65,000 ֏ monthly",AMD,"Apartment for rent, together with the hostess, only female students or working girls or women.Translated from Armenian",Nov-25-2022_00-26,Apartment,,,,,,,,,,https://list.am/en/item/17801545
Not available,2.0,40 sq.m.,Euro Renovation,Open balcony,2.0,3,Yes,No,1 month,Not included,Yerevan › Shengavit,"20,000 ֏ daily",AMD,"1-2 rooms are for rent in a family hotel. Rooms for rent, daily rent, monthly rent.Translated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17141363
Not available,1.0,12 sq.m.,Cosmetic Renovation,Not available,1.0,2,No,No,2 months,Not included,"Улица Маршала Худякова 129/2, Ереван","100,000 ֏ monthly",AMD,One room for rent with its own bathroom and toilet.Passes directly in frontSocial transportSuitable for studentsTranslated from Armenian,Nov-25-2022_00-26,Guesthouse,,,,,,,,,,https://list.am/en/item/17921975
Not available,3.0,20 sq.m.,Cosmetic Renovation,Open balcony,2.0,6,Yes,No,2 weeks,Included,"Улица Захария Саркавага 173, Ереван","8,000 ֏ daily",AMD,"По улице Сарковага 173 в частном особняке сдаются (МИНИМУМ 5 дн) светлые и обставленные жилые комнаты по 20 кв/м и20 + 12 кв/м (смеженные)Предотавляются все коммунальные удобства ։ ванная с туалетной (12 кв/м, постоянная горячая вода,Кухня 15 кв/м (холодильник, газовая плита итд.Имеется большой хорошо ухоженный фруктово-декоративный сад 1000 кв/м с тремья беседками, качели испециалное место для шашликов.Имеется своя автостоянка на несколко автомашин. При необходимости можно ползоватся гаражомНа 2 машины.Автобусная остановка по разним направлениям города в 10 метрах от дома, супермаркет и 2 аптечные в30 м. , 2 хлебобудочные пекарни в 15 м. , по обе стороны от дома в 30-ти метрах десяток фруктовых лавок.Оплата предворительная (наличными или перечислением) ։ 1 чел. * 1 дн * 1 ком* 1 кровать = 8000 др.2 чел. * 1 дн * 1 ком* 2 кровати = 14000 др.3 чел. * 1 дн * 1 ком* 3 кровати = 20000 дрПри долгосрочном пребивании цены могут измениться в пользу гостей.О С О Б О отмечаю ։ любителям алкоголя и шумным не обращатся К А Т Е Г О Р И Ч Е С К И!ПЯНЫЕ постоялцы в дом не допустятся!Гости, за прчинение материального ущерба, несут соответствующую финансовую ответственность!Звоните, \ и Viber \",Nov-25-2022_00-26,Private House,,,,,,,,,,https://list.am/en/item/17861623
Not available,1.0,30 sq.m.,Major Renovation,Not available,1.0,3,Yes,No,By Agreement,Included,"Մովսես Խորենացի փողոց 1-ին նրբանցք 38, Երևան","25,000 ֏ daily",AMD,"Comfortable hotel rooms Khorenatsi 2nd lane. On the street at the River Side Hotel.The hotel has 3 rooms, each designed for 2 people, it is possible to add a light bed. The 3 rooms have their own bathrooms and kitchens. There are dishes, refrigerator, kettle, electricity. Hearth, smart TV with satellite TV channels, free internet, free parking, beautiful garden.Vernissage 0.8 kmRepublic Square 0.8 kmSt. Gregory the Illuminator Church 0.4 kmOpera House 1.8 kmZorovar Andranik metro station 0.17 kmCarrefour 0.14 km:Translated from Armenian",Nov-25-2022_00-26,Hotel,,,,,,,,,,https://list.am/en/item/17958147
Not available,5.0,44 sq.m.,Major Renovation,Open balcony,2.0,3,Yes,No,Without prepayment,Included,Yerevan › Nork-Marash,"19,000 ֏ daily",AMD,"The Hill Guesthouse invites travel companies for cooperation.2-room rooms are offered for daily rent, at the beginning of Nork Marash.GIVEN TO TOURISTS ONLYCompletely renovated and unoccupied.It has all amenities, separate kitchen and bathroom with all their accessories.Suitable for 1-4 people.The price may change depending on the number of people and days.Call for details.Translated from Armenian",Nov-25-2022_00-26,Guesthouse,,,,,,,,,,https://list.am/en/item/17889110
Not available,2.0,16 sq.m.,Old Renovation,Open balcony,2.0,,,,,,"Kristapor street, Yerevan","5,000 ֏ daily",AMD,Օրավարձով Երևանի կենտրոնում 2 հարկանի առանձնատան 2 և 3 տեղանոց սենյակներ։ Մեկ անձի արժեքը 5000 դրամ։Посуточно сдается 2 и 3-местные комнаты особняка в центре Еревана. Стоимость одного места 5000 драм.Daily rent 2 and 3-bed rooms of a mansion in the center of Yerevan. The cost of one seat is 5000 drams.Translated from Armenian,Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18282297
Not available,5.0,37 sq.m.,Euro Renovation,Not available,1.0,2,Yes,No,1 month,Not included,"Koryun street 1st lane, Yerevan","440,000 ֏ monthly",AMD,"The house is located in the center of Yerevan, near the metro, opera, cascade.The apartment will be released on November 21.Translated from Armenian",Nov-25-2022_00-26,Apartment,"TElevision, air conditioner, internet","FRidge, stove, microwave, coffee maker, washing machine, water heater, iron, hair dryer",,,,,,,,https://list.am/en/item/18216130
Not available,2.0,30 sq.m.,Euro Renovation,Open balcony,2.0,6,Yes,No,1 month,Included,"Aygestan 10th street, Yerevan","60,000 ֏ monthly",AMD,Room for rent;The price includes utility costs;We will wait for you with love;011-57-76-76Translated from Armenian,Nov-25-2022_00-26,Hostel,,,,,,,,,,https://list.am/en/item/18355246
Available,5.0,21 sq.m.,Major Renovation,Not available,5.0,2,No,No,Without prepayment,Included,"Ազատամարտիկների պողոտա 82/2, Երևան","35,000 ֏ monthly",AMD,"ԷՐԵԲՈՒՆԻ Ազատամարտիկների 82/2 ՀԱՍՑԵՈՒՄ ԳՏՆՎՈՂ Հոստելում տրվում է ամսավարձով սենյակներ։ՍԵՆՅԱԿՈՒՄ ՀԱՄԱՏԵՂ ՄԻ ՔԱՆԻ ՀՈԳՈՎ բնակվելու դեպքում ՄԵկ ԱՆՁԻ ամսական վարձը ՍԿՍԱՑ 35000 դրամԻց։ԼՈԳԱՐԱՆՈՎ ԱՌԱՆՁԻՆ ՍԵՆՅԱԿՈՒՄ ՄԵԿ ՀՈԳՈՒ ԲՆԱԿՎԵԼՈՒ ԱՄՍԱՎԱՐՁԸ ՍԿՍԱՑ 100000 դրամից։Երկու հոգով առանձին լոգարանով սենյակիամսավարձը ՍԿՍԱՑ 120000 դրամից։(հարմար է ուսաննող և աշիւատող անձանցԴեպոզիտ և կոմոնալ ծաիւսեր չեն վձարվում:Շենքում առկա է անվճար WIFI, Մշտական տաք և սառը ջուր, խոհանոց անհրաժեշտ սպասքով, սառնարան, Ավտոմատ լվացնող, չորացնող մեքենա, ավտոկայանատեղ, ձմռանը կենտրոնական ջեռուցում;Գտնվում է Էրեբունի ՄՈԼԻ ՀԱՐևԱՆՈՒԹՅԱՄԲ։Մոտակայքում գտնվող վայրերԷՐԵԲՈՒՆԻ ՄՈԼ։ 100 մ։РАСПОЛОЖЕННЫЙ НА Азатамартики 82/2, Эребун, общежитие предлагает номера на ежемесячной основе.В случае совместного проживания в комнате нескольких человек, ежемесячная арендная плата на ОДНОГО ЧЕЛОВЕКА НАЧИНАЕТСЯ с 60 000 драмов РА.ЕЖЕМЕСЯЧНАЯ АРЕНДА НА ОДНОГО ЧЕЛОВЕКА ПРИ ПРОЖИВАНИИ В ОТДЕЛЬНОЙ КОМНАТЕ С ВАННОЙ С. 120 000 драмов РА.Для двоих в номере с раздельным санузломЕжемесячная заработная плата составляет С. 140 000 драмов РА(подходит для студентов и пенсионеровДепозит и коммунальные платежи не оплачиваются.В здании есть бесплатный WIFI, постоянная горячая и холодная вода, кухня с необходимой посудой, холодильник, автоматическая стиральная машина, сушилка, парковка, центральное отопление зимой;Расположен РЯДОМ с ТРЦ Эребуни.Места поблизостиЭРЕБУНИ ТРЦ. 100 мTranslated from Armenian",Nov-25-2022_00-26,Guesthouse,,,,,,,,,,https://list.am/en/item/18217909
Available,10.0,18 sq.m.,Cosmetic Renovation,Open balcony,7.0,,,,,,"Amiryan Street, Yerevan","100,000 ֏ monthly",AMD,"Сдам комнату студентке, работающим. (не против приезжих из России или Украины) есть всё необходимое для проживания. Горячая и холодная вода, свет, газ, стиральная машина, холодильник. Нужны еще 3 девушки, ВОЗМОЖЕН ТОРГ. Для получения подробный информации звоните по указанному номеру телефону с радостью отвечу на все вопросы. Прошу мужскому полу не звонить нужна девушка.Տրվում է վարձով սենյակ 3 սենյականոց բնակարանում ուսանողուհու, աղջիկների (սիրով կնդունենք Ռուսաստանից կամ Ուկրաինայից եկած անձանց) ։ կան բոլոր պայմանները տաք և սառը ջուր, գազ, լույս, լվացքի մեքենա, սառնարան ։ Փնտրում ենք 3 աղջկա։ ԳԻՆԸ ՍԱԿԱՐԿԵԼԻ ։ Մանրամասների համար զանգահարել նշված համարով, սիրով կպատասխանեմ բոլոր հարցերին։ խնդրում եմ կարդալ ուշադիր հարկավոր է աղջիկ բայց ոչ տղա։",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17693465
Available,9.0,10 sq.m.,Euro Renovation,Closed balcony,6.0,1,No,No,By Agreement,Included,"Gyulbenkyan street 1, Yerevan","7,000 ֏ daily",AMD,"~ Комната №3 - (10 кв. М) ~Меня зовут Нара. С радостью предложу Вам пожить в 8-и мин до центра Еревана.~ Наш календарь ~Ноябрь - свободные даты - нетуДекабрь - свободные даты - нетуЯнварь - свободные даты - 10-31Февраль - свободные даты - 1-28Март - свободные даты - 1-31Апрель - свободные даты - 1-30– Мы предлагаем уютную, светлую комнату в 8-и мин. До центра Еревана.Интернет 150 Мбит/с, чистая и полностью оборудованная кухня.Мы также предоставляем все необходимое для приготовления пищи (сахар, соль, масло, перец и т. Д.) в начале вашего пребывания, чтобы вам не пришлось беспокоиться об этих предметах первой необходимости при заселении.Хочу ещё раз обратить ваше внимание, что Вы бронируете только (1) одну комнату. В данной квартире есть ещё 3 комнаты. Все комнаты имеют отдельные замки и ключи. Ванная, туалет также закрываются изнутри. У вас могут быть соседи в соседних комнатах вместе с которыми вы будете использовать кухню, балкон, туалет и ванну. Я живу в том же здании но на другом этаже. Я всегда на связи и в основном бываю у себя дома. У нас гости пока что все довольны, друг другу не мешают. Квартира очень чистая. Так же на профиле вы можете прочитать отзывы от предыдущих гостей, увидите что все они были довольны.Если будут вопросы дайте знать с радостью отвечу.~ Правила дома ~• В квартире/комнате у нас курить строго запрещено. За курение в квартире взимается ШТРАФ 5.500 рублей ($50) Курить можно ТОЛЬКО НА БАЛКОНЕ снаружи. - Квартира не предоставляется для проведения каких-либо мероприятий или вечеринок, а также громкого прослушивания музыки и другого шума, особенно с 22:00 до 10:00. Просьба с уважением отнестись к соседям.• Стандартное время заезда — с 13:00, время выезда — до 10:00. Но мы стараемся гибко подстраиваться к пожеланиям наших гостей.• Пожалуйста, относитесь бережно к мебели, бытовой технике и другому имуществу в квартире.~ Важная информация ~Квартира находится на 6-ом этаже. Есть лифт, лестничные пролеты широкие. Если Вы прилетите рано утром то можете оставить свой багаж у нас до времени заезда в 13:00. Если предварительных бронирований нет от других гостей, Вы можете заселится раньше чем 13:00 заранее обговорить этот вопрос.У нас более 350 положительных отзывов от наших гостей, и вы также можете прочитать о них на Airbnb)Если будут вопросы дайте знать с радостью отвечу.Нара",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18012061
Available,9.0,16 sq.m.,Cosmetic Renovation,Closed balcony,9.0,2,No,No,6 months,By Agreement,"Karakhanyan street, Yerevan","80,000 ֏ monthly",AMD,1 room of a 4-room apartment with all its facilities is for rent. It is given only for student girls to live together with me.Translated from Armenian,Nov-25-2022_00-26,Private House,,,,,,,,,,https://list.am/en/item/18214858
Not available,1.0,30 sq.m.,Euro Renovation,Not available,1.0,4,Yes,No,Without prepayment,Not included,"Ohanov street, Yerevan","180,000 ֏ monthly",AMD,"It is for rent, suitable for students. Has a bathroom, a toilet. For more information call. Vin is final. From the 10th of KAZATEI MONTHTranslated from Armenian",Nov-25-2022_00-26,Apartment,,,,,,,,,,https://list.am/en/item/18358847
Not available,3.0,20 sq.m.,Cosmetic Renovation,Open balcony,3.0,,,,,,"Sarmen street 68, Yerevan","2,500 ֏ daily",AMD,"В общежитии сдаются комнаты для совместного проживания. В номерах есть двухъярусные кроватиДоступно ежедневно иДолгосрочный.Wi-Fi.На каждом этаже есть ванная и туалетУ нас есть кухняЗвоните, чтобы узнать подробностиՀոսթել հյուրանոցում վարձով են տրվում սենյակներ համատեղ բնակվելու համար։ սենյակներում տեղադրված են երկհարկանի մահճակալներՏրվում է Օրավարձով ևԵրկարաժամկետ։Wifi.Յուրաքանչյուր հարկում կա լոգարան եվ զուգարանՈւնենք խոհանոցՄանրամասների համար զանգահարRooms are for rent in Hostel Hotel.Daily rentDiscounts will apply in case of long-term residenceIt is also given for a long termToilet and toilet on each floorWe have a kitchenCall for details",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17897225
Available,9.0,35 sq.m.,Partial Renovation,Closed balcony,8.0,1,No,Yes,Without prepayment,Not included,"Raffi street, Yerevan","50,000 ֏ monthly",AMD,"APARTMENT FOR RENT WITH COMMUNITY, the apartment is equipped with all utilities,washing machinerefrigeratorgashot waterWIFI:In the room: Beds, wardrobe, table...The residents are boys.You pay from the start.NOT GIVEN TO FAMILY, WOMEN, GIRLSTranslated from Armenian",Nov-25-2022_00-26,Apartment,,,,,,,,,,https://list.am/en/item/14832257
Available,9.0,20 sq.m.,Euro Renovation,Closed balcony,2.0,,,,,,"David Anhaght street, Yerevan","50,000 ֏ monthly",AMD,"Davit Anhaght St. 18, in front of Zeytun Fountains.Available for girls or women only.The apartment is renovated, has baxi system, hot / cold water,It will be rented on the condition of living together with the hostess.If you have any questions, call the landline number or the mobile number of the same number, code 99.Translated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/14736448
Not available,2.0,15 sq.m.,Euro Renovation,Not available,2.0,,,,,,Yerevan › Ajapnyak,"20,000 ֏ daily",AMD,Здаеться посуточно комната двух этажном частном доме в хорошем районе Еревана сутки 20000драм,Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18355772
Available,4.0,30 sq.m.,Designer Renovation,Open balcony,2.0,,,,,,Yerevan › Nor Nork,"15,000 ֏ daily",AMD,"Comfortable rooms in the hotel are available for daily rent.The rooms are equipped with all the necessary amenities. With a hub and corresponding toiletries, hot and cold water, smart TV, free Wi-Fi internet.There is free parking on the premises.There is a restaurant inside the hotel.MegaMAll is approximately 1 km away.There are more than 1 markets and a supermarket at a distance of 200-300m.The fee also includes utility costs.Translated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18241535
Not available,5.0,18 sq.m.,Old Renovation,Not available,1.0,,,,,,"Komitas ave, Yerevan","40,000 ֏ monthly",AMD,"I am an adult woman living alone, I am looking for a 25-35 year old female who lives for rent.I offer to live with me for free / expecting help in daily care.I have a 1-room apartment in KomitasTranslated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/13296401
Not available,3.0,15 sq.m.,Designer Renovation,Not available,3.0,,,,,,Yerevan › Nork-Marash,"25,000 ֏ daily",AMD,"Rooms for rent with very comfortable and beautiful design. All rooms have a bathroom. You went to the dining hall. The price includes breakfast for two people. Free swimming pool. The price starts at 25,000-30,000.Translated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17614149
Not available,2.0,25 sq.m.,Cosmetic Renovation,Open balcony,1.0,,,,,,"Նուբարաշենի 9-րդ փողոց 22, Երևան","30,000 ֏ monthly",AMD,"Private house, there is a separate, communal utilityTranslated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17519981
Available,9.0,20 sq.m.,Major Renovation,Open balcony,7.0,2,Yes,No,Without prepayment,Not included,"4-я улица Давташена 22, Ереван","450,000 ֏ monthly",AMD,"An apartment is for rent in Davitashen community, on the 7th floor of a multi-storey building.Translated from Armenian",Nov-25-2022_00-26,Apartment,,,,,,,,,,https://list.am/en/item/17490488
Not available,1.0,25 sq.m.,Euro Renovation,Not available,1.0,4,Yes,Yes,By Agreement,Not included,Yerevan › Kentron,"350,000 ֏ daily",AMD,Выдаётся на аренду 1 комнатная квартира в центре Еревана. Ежемесячно 300.000 драм. Есть Wi-Fi. Есть все коммунальные условия. Есть Бакси. Площадь комнаты 30кв. М.1-room apartment for rent in the center of Yerevan. Monthly 320.000 AMD. There is Wi-Fi. There are all utilities. There is Bucky. The area of the room is 30 sq. M.,Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18012370
Not available,2.0,25 sq.m.,Major Renovation,Not available,2.0,3,Yes,No,1 month,Not included,"Ohanov street, Yerevan","15,000 ֏ daily",AMD,"Malata Sebastia, Ohanov streetHotel rooms for rentwith all amenitiesThe daily fee is 15,000 dramsThe monthly fee is 300,000 dramsCode VM821Translated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17574311
Not available,2.0,10 sq.m.,Cosmetic Renovation,Not available,1.0,2,Yes,No,Without prepayment,Included,Yerevan › Kentron,"7,000 ֏ daily",AMD,The rooms are equipped with utilities and have WIFITranslated from Armenian,Nov-25-2022_00-26,Private House,,,,,,,,,,https://list.am/en/item/18280242
Not available,2.0,30 sq.m.,Cosmetic Renovation,Not available,1.0,3,Yes,No,Without prepayment,Included,Yerevan › Kentron,"10,000 ֏ daily",AMD,Rooms for daily rent near Kilikia bus station.Suitable for families.Has all utilitiesTranslated from Armenian,Nov-25-2022_00-26,Private House,,,,,,,,,,https://list.am/en/item/18280239
Not available,2.0,30 sq.m.,Cosmetic Renovation,Open balcony,2.0,1,No,No,Without prepayment,Not included,"Улица Тычины 1/1, Ереван","120,000 ֏ monthly",AMD,Сдаются комнаты для совместного проживания,Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17506770
Available,9.0,50 sq.m.,Cosmetic Renovation,Closed balcony,9.0,1,No,No,By Agreement,Not included,"Arno Babajanian street, Yerevan","50,000 ֏ monthly",AMD,"To live together, we are looking for our third half)))) girl (woman), Be sure to be clean, The apartment is located in Bangladesh, 2 rooms, 50.000 per personTranslated from Armenian",Nov-25-2022_00-26,Apartment,,,,,,,,,OUtdoor parking,https://list.am/en/item/18348500
Not available,1.0,12 sq.m.,Cosmetic Renovation,Not available,1.0,2,Yes,No,Without prepayment,Included,"Ծովակալ Իսակովի պողոտա 4/7, Երևան","7,000 ֏ daily",AMD,"In the immediate vicinity of Kilikia Bus Station, comfortable rooms are provided for daily rent with comfortable beds, bathroom, 84 channels of cable TV, free internet and parking.The day counts from 14:00ATTENTION! NO KITCHEN, WASHING MACHINE AND IRON ACCESSORIESTranslated from Armenian",Nov-25-2022_00-26,Guesthouse,,,,,,,,,,https://list.am/en/item/16287167
Not available,10.0,25 sq.m.,Euro Renovation,Not available,1.0,4,Yes,Yes,Without prepayment,Included,"Republic Square, Yerevan","15,000 ֏ daily",AMD,"Здравствуйте, приглашаю в свой уютный и гостеприимный Хостел в Ереване, в самом центре города, рядом с площадью республики оплату могу принимать переводом на карты РФ Сбербанка и Тинькофф цены от 800 рублей, есть общие, 4-х местные, 2- местные, и семейный номер.",Nov-25-2022_00-26,Hostel,,,,,,,,,,https://list.am/en/item/17606687
Not available,2.0,32 sq.m.,Cosmetic Renovation,Not available,1.0,2,Yes,No,Without prepayment,Not included,Yerevan › Avan,"110,000 ֏ monthly",AMD,"* Сдается комната для девочек-женщин, семейных пар, или одного парня (для спокойных, адекватных людей)В другом комнате живут спокойная молодая пара (туристы)1 этаж (кухня, туалет-душевая, свой маленький дворик) есть все условия для проживаниякабельный интернет Wi FiМожно снимать на короткий и длительный срок.От центра 8-10 мин. Ереван район Аван, рядом Ботанический сад,Акватек, парк, магазины, очень близко район Нор Норк пешком 10 мин,рынок, ТЦ Мега Мол и тд.По всем вопросам позвонить по номеру",Nov-25-2022_00-26,Private House,,,,,,,,,,https://list.am/en/item/17719636
Not available,1.0,32 sq.m.,Major Renovation,Open balcony,1.0,2,Yes,No,By Agreement,Included,"Ռուսթավելի փողոց 45, Երևան","20,000 ֏ daily",AMD,"Rooms for rent near Dvin Hotel at Rustaveli Street 45.1 room: 32 square meters2 rooms: 20 square meters3 rooms - 22 square metersAll rooms have kitchen and bathroom.Thoroughly reconstructed:It has all facilities: Hot and cold water, air conditioner, internet, cable TV channels. Available both daily and long term.For more information call:Translated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18158051
