Type,Construction Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Parking,Links
Building,Monolith,186 sq.m.,Shirak › Artik,"$43,000",USD,"Վաճառվում կամ տրվում է վարձով: Շինությունը 186 քմ է, հարակից տարածքը 2700 քմ պարիսպապատ է ունի եռաֆազ հոսանք 30կվ:Ջուր, կանալիզացիա, եվրո պատուհաններ:",Nov-24-2022_22-02,,,,,,https://list.am/en/item/13008501
Retail Space,Stone,100 sq.m.,Shirak › Artik,"$65,000",USD,Two story grocery store for sale or rent.Translated from Armenian,Nov-24-2022_22-02,,,,,,https://list.am/en/item/17308046
Hotel,Stone,160 sq.m.,"Աճեմյանի փողոց 26, Գյումրի","$75,000",USD,"Дом находится в историческом центре города Гюмри։ вблизи находится парк Горького, из Центральной площади пешком 5 минут рядом знаменитый балкон из фильма варем марем можно использовать как офисное или Гостиничная гостевая или как it-компания рассматриваем варианты аренды на долгосрочный срок",Nov-24-2022_22-02,,,,,,https://list.am/en/item/18319994
Retail Space,Cassette,50 sq.m.,"Akhuryan Highway, Gyumri","$4,500",USD,"49.20 square meter metal shop (euro pavilion, kiosk) for sale, assembled with 3 mm thick metal sheets. It does not have any rusty or muddy places, it is in good condition, it is insulated from the inside. The front part is 8.20 meters and the width is 6.0 meters. Inside, there is a spare part with its metal door.It is possible to sell 200 sq. M. Մ. With privatized land. The two together $ 5000. He exchanges with a car.Translated from Armenian",Nov-24-2022_22-02,Not available,Not available,Second Line,Common from the Street,,https://list.am/en/item/17176309
Functioning Business,Stone,600 sq.m.,"Vazgen Sargsyan street, Gyumri","$40,000",USD,"A glass greenhouse equipped with a drip irrigation system. There is an auxiliary building attached.The price is negotiable.For more specific details, please call.Translated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/18371095
Multifunctional Space,Stone,700 sq.m.,Shirak › Artik,"$140,000",USD,"700m commercial space is for sale in Artik.There is no operating restaurant, bistro, bakery, supermarket, hardware store, furniture store in the area. All communications are available. With appropriate investment, it is possible to start a profitable business in the area.The building can serve as a restaurant, supermarket, motel + hostel, auto repair shop, hardware store, furniture store, workshop, etc.There is a European windows workshop in the area, the equipment of which is also sold.Translated from Armenian",Nov-24-2022_22-02,Not available,Not available,First Line,Separate from the Street,,https://list.am/en/item/18325193
,,,Shirak › Gyumri,"120,000 ֏",AMD,Ծանր ծուխ փչող սարք,Nov-24-2022_22-02,,,,,,https://list.am/en/item/15524068
Retail Space,Cassette,24 sq.m.,"Площадь Автовокзал 15, Гюмри","3,000,000 ֏",AMD,"Продаётся торговое помещение в районе автостанции, рынка. Очень высокий пешеходный трафик. В помещении сделан ремонт, проведено электричество. Установлен кандиционер, качественные стеклопакеты.",Nov-24-2022_22-02,,,,,,https://list.am/en/item/17998374
Multifunctional Space,Panels,2200 sq.m.,"Սավոյանի փողոց 7/1, Գյումրի","$210,000",USD,Unfinished Building for saleEach floor is 1100 m2For more information callPrice is CONTRACTUALTranslated from Armenian,Nov-24-2022_22-02,Available,Not available,First Line,Common from the Street,,https://list.am/en/item/17450884
Functioning Business,Stone,800 sq.m.,"Vazgen Sargsyan street, Gyumri","$85,000",USD,"For sale with an existing greenhouse with a yard and a stone building. The area of the greenhouse is 800 square meters, it consisted of 2 parts, there is a gas heating system. There is also a drip irrigation system. Price is negotiable!Translated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/12218801
Industrial and Manufacturing,Stone,800 sq.m.,Shirak › Maralik,"$70,000",USD,"A two-storey stone building (former Maralik settlement council building) is for sale. The building is gasified, has three-phase electricity, permanent water and sewerage. The building used to have a bakery and a door-window factory. Part of the building is suitable for the house and the other part for the workshop. Exchange is also possible.Translated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/17335531
Automotive Service,Stone,190 sq.m.,Shirak › Gyumri,"$120,000",USD,"190 каракуси. Сакаркели. Хримян арик... Тблисян хчухи. Maqsatan harevanutyamb, Sakrkeli",Nov-24-2022_22-02,,,,,,https://list.am/en/item/16017044
Retail Space,Bricks,18 sq.m.,"Shirakatsi street, Gyumri","$5,000",USD,Продаётся магазин в 8-ой городке в городе Гюмри. Продоётся вместе с полками или без. Интересует обмен с машиной. По вопросам звоните.,Nov-24-2022_22-02,Available,Not available,First Line,Common from the Street,,https://list.am/en/item/17616491
Retail Space,Stone,118 sq.m.,"Baghramyan street, Artik","$25,000",USD,"Продается в самом центре города Артик коммерческое помещение площадью 118,45 кв. М. Вместе с землей площадью 300 кв. М.! Помещение и земля находятся в собственности! Все документы на коммерческое помещение и землю имеются! Помещение оснащена всеми коммуникациями: Электричеством, водой, канализацией! Подробности по телефону: 8 (905) 010-05-65",Nov-24-2022_22-02,Not available,Not available,First Line,Separate from the Street,OUtdoor parking,https://list.am/en/item/18164795
Hotel,Stone,1000 sq.m.,"Ախուրյանի խճուղի 7, Գյումրի","$170,000",USD,"Հյուրանոցային համալիր, արտադրամաս (տեքստիլ, պլաստմասի արտադրամաս), պահեստ, կլինիկա, հիվանդանոց, լողավազանՎաճառվում է հյուրանոցային համալիր, հյուրանոցային համալիրն ունի նախատեսված 17-19 համարներ, 120քմ հանդիպումների դահլիճ 4.5մ բարձրությամբ, առանձնացված մեծ լողավազան 120քմ, որտեղ հնարավոր է կառուցել բացօթյա ավտոկայանատեղի 40-50 մեքենայի համար, 2-րդ հարկի միջանցքի պատերը ամբողջությամբ երեսպատված ֆեռզիտ տեսակի քարով:Շենքն ամբողջությամբ ապահովված է ՆՈՐ մոնտաժված` Մշտական ջրամատակարարումով, կոյուղի (канализация), առկա է 30ԿՎ եռաֆազ հոսանք, գազամատակարարում, Հեռախոս, ինտերնետ հասանելիություն, անվտանգության համակարգով և տեսախցիկներով:Առկա է նաև բիզնես պլան նախնական հաշվարկներով, նախատեսվելիք ծախսերով և կանխատեսվող եկամտաբերությունով:Վաճառքի հետ նաև կտրվի ապագա հյուրանոցային բիզնեսի ղեկավարման խորհրդատվություն, կառավարման փորձի փոխանակում ինչպես նաև մարքեթինգային խորհրդատվություն:Hyuranoc, hyuranocayin hamalir, klinika, hivandanoc, mankapartez, restoran, artadramasartadramas, pahest, teqstilЦентр программирования:В Гюмри, Трехэтажное здание, подходящее под центр программирования, программирование, центр компьютерного программирования, офис работа, логистический центр, офис.Индивидуальная система отопления, постоянная вода, газ, охрана, видеокамера, БЕСПЛАТНЫЙ оптоволоконный интернет, wi-fi, собственная парковка, центральный рынок, есть все необходимые магазины.Возможен торг при долгосрочной арендеProgramming Center:In Gyumri, Three-storey building suitable for programming center, programming, computer programming center, work office, logistics center, office.Individual heating system, constant water, gas, security, video camera, FREE fiber optic internet, wi-fi, private parking, central market, all necessary shops.Negotiable for long term lease",Nov-24-2022_22-02,Not available,Not available,First Line,Separate from the Street,,https://list.am/en/item/15636105
Office Space,Stone,60 sq.m.,Shirak › Gyumri,"$50,000",USD,Продается в центре города саяат нова или обмен на машину,Nov-24-2022_22-02,Not available,Not available,First Line,Separate from the Street,,https://list.am/en/item/17381981
Industrial and Manufacturing,Stone,1627 sq.m.,Shirak › Artik,"1,000 ֏",AMD,"Производственное помещение - 2 этажаОбщая площадь 1627 кв. МВысота здания - 4,7 кв. МАдминистративная часть - 3 этажа- 995кв. МВысота этажей:Второго и третьего этажа 3.5 метраПервый этаж- 3,2 метраЗдание имеет так же землю котороя в общем со зданием имеет площадь - 7.5 г. К.В здании есть конолизация, електроэнегия и возможность проведения газа.Адрес; Ширак, Большой Манташ (бывшая текстильная фабрика) :Цена договорная!",Nov-24-2022_22-02,,,,,,https://list.am/en/item/15941483
Multifunctional Space,Stone,802 sq.m.,"Hansoglyan Street, Gyumri","$42,000",USD,"It is very suitable for building a guest house, the right and left sides of the container are non-residential.Translated from Armenian",Nov-24-2022_22-02,Not available,Not available,First Line,Common from the Street,,https://list.am/en/item/18141913
Functioning Business,Stone,350 sq.m.,"Movses Khorenatsi Street 6, Gyumri","34,000,000 ֏",AMD,"Car wash, with its own space, there are almost all amenities (Gas, Light, Water)Translated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/17984049
Industrial and Manufacturing,Stone,65 sq.m.,"Երևանյան խճուղի 139Ա, Գյումրի","$5,500",USD,Bakery for sale or exchange with all its conveniences can be sold as an areaTranslated from Armenian,Nov-24-2022_22-02,Available,Not available,Second Line,Common from the Courtyard,,https://list.am/en/item/12597106
Restaurant,Stone,330 sq.m.,"11th street, Gyumri","$200,000",USD,"Գործող ոբեկտա 280քառակուսի 100 հողատարացքովՌեստորանНовый ремонтNew remontՆոր ռեմոնտДля подробности позвоните по номерувозможен обмен недвижимости в территории Гюмриобмен на Авто G-class, S-class, W221,W222 GL-class",Nov-24-2022_22-02,Available,Not available,First Line,Separate from the Street,OUtdoor parking,https://list.am/en/item/14045212
Retail Space,Monolith,130 sq.m.,"Սաշա Գրիգորյանի փողոց, Գյումրի","$25,000",USD,"A trade and service facility is for sale, it is located next to the underpass connecting the station to the railway line. The total area is 130 square meters, the height of the semi-basement is 3m, it can be used as a warehouse, workshop, service hall. It is possible to exchange a car with an apartment for an additional fee. Also, exchange for a house in the nearby villages with its land. For the rest, call the following number.Translated from Armenian",Nov-24-2022_22-02,Not available,Not available,First Line,Separate from the Street,,https://list.am/en/item/15351193
Retail Space,Stone,200 sq.m.,Shirak › Artik,"$250,000",USD,"Call for details, price negotiableTranslated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/16655400
Retail Space,Stone,100 sq.m.,"Խաչատուր Աբովյանի փողոց 16/2, Արթիկ","$130,000",USD,For sale or rentTranslated from Armenian,Nov-24-2022_22-02,,,,,,https://list.am/en/item/18135438
Everything Else,Wooden,15 sq.m.,Shirak › Maralik,"160,000 ֏",AMD,Продается деревянный домик,Nov-24-2022_22-02,,,,,,https://list.am/en/item/17411807
Retail Space,Stone,100 sq.m.,Shirak › Anushavan,"$17,000",USD,"The building is located in front of the central intersection of the village, it was built according to modern construction standards, I will tell the rest of the details on the spot.Translated from Armenian",Nov-24-2022_22-02,Not available,Not available,First Line,Separate from the Street,,https://list.am/en/item/17208533
Multifunctional Space,Stone,585 sq.m.,"Կարեն Դեմիրճյան փողոց 6/8, Գյումրի","125,000,000 ֏",AMD,"FOR SALE or RENT, COMMERCIAL SPACE Gyumri Demirchyan str.Apartment 11 pcs22 pcsCompletely renovatedIndividual heating system,the surfaces of the rooms are different with separate bathrooms, iron doors, it is planned to build a swimming pool in the yard, it is suitable for use as a guest house, office space and other purposes, it is intended for an IT or IT company, for use as a residence and workplace, It is private and has three-phase current.Call for detailed information.Translated from Armenian",Nov-24-2022_22-02,Not available,Not available,First Line,Separate from the Street,,https://list.am/en/item/18016599
Everything Else,Stone,973 sq.m.,"Akhuryan Highway, Gyumri","$32,000",USD,"Անասնագոմ 287 մ2, շինությունները նախատեսված են անասնապահությամբ և թռչնաբուծությամբ, զբաղվելու համար, ամբողջությամբ պարսպապատ է, ունի օժանդակ կառույցներ կերի պահեստավորման և արտադրություն կազմակերպելու համար ։ Սեփականաշնորհված է, հնարավոր է սակարկել։ Մանրամասն տեղեկություններ ստանալու համար զանգահարել։",Nov-24-2022_22-02,,,,,,https://list.am/en/item/15072282
Industrial and Manufacturing,Stone,2834 sq.m.,Shirak › Maralik,"$80,000",USD,"The building is 2834.24 square meters. It is 3-storey, has 720 square meters. Basement, with 0.3228 hectare land, needs renovation.Translated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/15973472
Industrial and Manufacturing,Panels,3000 sq.m.,Shirak › Arevik,"40,000,000 ֏",AMD,"A production area of rural significance is for sale or rent. It is suitable for building a slaughterhouse or for storing agricultural products.The area is 3000 square meters, of which 1000 buildings are 5 meters high (20m*50m) It is located in Arvik village of Shirak region, 5 km away from Gyumri city.Under construction next to the North-South road, very close to the airport.Translated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/18251339
Retail Space,Stone,48 sq.m.,"Isahakyan street, Gyumri","$28,000",USD,Own commercial space with all amenities for sale. The area includes a stone building of 48 square meters. The space is for rentTranslated from Armenian,Nov-24-2022_22-02,,,,,,https://list.am/en/item/18249809
Industrial and Manufacturing,Stone,70 sq.m.,"Ղանդիլյան փողոցի 3-րդ նրբանցք 9/4, Գյումրի","$20,000",USD,"A building with an area of 70 square meters is for sale or rent, which is suitable for production or warehouses. There are three-phase, electric. Electricity, gas, water, sewage. Partial payment is possible.Translated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/17433495
Retail Space,Stone,130 sq.m.,"Mayakovski Street, Gyumri","$110,000",USD,Two-storey shopping center is for sale on Tigranyan street (Lachin corridor) in Gyumri. In one of the busiest parts of the city.It also has a basement.Basement_50 squareFirst floor - 40 square metersSecond floor 40 squareThere is no bathroom in the area.For more information call.Code 1213Translated from Armenian,Nov-24-2022_22-02,By agreement,Not available,First Line,Common from the Street,,https://list.am/en/item/17998366
Industrial and Manufacturing,Panels,"20,000 sq.m.","Baghramyan street 1, Artik","$50,000",USD,"Building 800 square meters35,000 square meters of land5 hulls on 24/12three-phase current, constant waterthe whole area is fenced with reinforcement.Translated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/15178967
Functioning Business,Stone,1700 sq.m.,"Bulvarain street, Gyumri","50,000,000 ֏",AMD,"URGENT... WITHOUT MEDIATOR... For sale... 1700 square meters of stone built area with 1200 square meters of land. There are 3 workshops in the area:1: Cheese,2. Sew,3: Carpet.There is a 36 square meter refrigerator area in the area.600 sq. M. Stone building HangarAs well as a 3-room renovated private house.For sale without property, only the area.The stone hangar, 4 m high, is also for sale PART BY PART.Translated from Armenian",Nov-24-2022_22-02,Available,Not available,First Line,Separate from the Courtyard,,https://list.am/en/item/14328949
Multifunctional Space,Stone,40 sq.m.,"Gorki Street, Gyumri","300,000 ֏",AMD,"It is for rent in the very heart of Gyumri, on the first floor of a stone building, the area is first line, has a nine-meter front part, south-bright side, separate entrance with entrance, with the possibility of outdoor advertising, is provided with night lighting.The area is 40 square meters, the height is 3.2 m, it is provided with all the communal facilities, heating, free unlimited internet, video surveillance devices are installed.The area is located in the historical and cultural center of Gyumri, next to the Technopark, Florence restaurant complex, Araks hotel complex and other tourist infrastructures.4 minutes walk from the central square to the building.Currently, the area is under renovation, it will be handed over to the new business in a convenient way, according to the agreement.The multifunctional area is suitable for various commercial activities.PRICE is 300,000 AMD per monthIt is given without a mediator, with a one-year contract, with the possibility of extension.Business entities, representatives of the investment organization can immediately contact to see, discuss financial or other issues.# CONSULTING_ OFFICE#Design_Studio, #Photo_Studio, #Office, #Pharmacy, #Fashion_Salon, #Service_Salon#Office, #office, #business, #lease, #lease, #lease, #area, #Arming, #Hot, #Luminous, #Price, #commercial, #area, #center #Armenia, #real estate, #home. #Marketing_Management#Management_Office, #Social_Media_Marketing_Office, #Accounting_Company, #BRANDING_ AGENCY, #FORMAL_ ADVERTISING_ COMPANY, #PRINTING_THE_DIFFERENCE#Real_Real_Office, #Interior_Design_Study#BUSINESS_CONSULTING_ AGENCY_ COMPANY# TRAVEL_ AGENCY # OUTGOING_ TOURISM_ (TOURISM)#Support_Insurance_Office, #Driver_Human_Car_Rental_Rental_Office, # INTERNATIONAL_ CARGO TRANSPORTATION COMPANY, #Translation_Office#Insurance_Company, #Medical_Equipment_Sale_Service_Office #Legal_Lawyer_Office_Office, #Jewelry_Shop, #Natural_Stone_Floor_Office,# INVESTMENT_ SERVICES_ OFFICE# Intermediary_Services_Investment_CompanyTranslated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/17886904
Agricultural Space,Stone,3000 sq.m.,Shirak › Shirakavan,"10,000,000 ֏",AMD,"The cattle ranch has 3000 square meters of land. The permanent cattle barn is designed for 32 people. The barn is 250 square meters, with an adjoining room, salt and wood. In a word, a very convenient place. Seeing the rest. We will adjust to buy.Translated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/17533820
Retail Space,Stone,337 sq.m.,"Մաքսիմ Գորկու փողոց 67, Գյումրի","62,000,000 ֏",AMD,"For sale c. The semi-basement area of the building, 67 Gorku Street, Gyumri, in front of the entrance of the administrative building of Veon Armenia (ArmenTel) (former medical equipment warehouse)The area is in a state of disrepair, in need of repair.: Only real buyers should call. A certain discount is possible only upon mutual agreement.Translated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/12005521
Retail Space,Stone,337 sq.m.,"Մաքսիմ Գորկու փողոց 67, Գյումրի","63,000,000 ֏",AMD,"A commercial space with a total area of 337m2 is for sale, the price is negotiable. Real buyers will call only the second phone number. Real sales to real buyers with discounts.Translated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/17816818
Retail Space,Stone,90 sq.m.,"Խրիմյան Հայրիկ, Գյումրի","$39,000",USD,"Operating shop, has three-phase electricity, newly changed water and sewer. It is located next to the imperial restaurant.It is easy to exchange with a car up to $ 10,000Translated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/17949821
Agricultural Space,Panels,2500 sq.m.,Shirak › Jrarat,"$140,000",USD,"A barn of 2500 square meters with all its amenities is for sale, the total area is 10000 square meters, there is a house with an area of 150 square meters, the area is fenced, it is suitable for keeping large and small cattle.Translated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/17439156
Restaurant,Stone,300 sq.m.,"Yerevan Highway, Gyumri","$300,000",USD,"""KARCACHAN"" RESTAURANT COMPLEX IS FOR URGENT SALE.The area includes:The restaurantHotel:BisedkasSauna3-storey newly constructed buildingFruit treesArtificial lakeThe price is negotiable. The area is located next to the north-south highwayTranslated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/18290689
Retail Space,Stone,50 sq.m.,"Charents street, Gyumri","$37,000",USD,"(Urgent! ) The area for sale is suitable for a shop, a warehouse office. Next to Photon College. For more information call. Price on requestTranslated from Armenian",Nov-24-2022_22-02,By agreement,Not available,Second Line,Separate from the Street,,https://list.am/en/item/14829052
Agricultural Space,Stone,5000 sq.m.,Shirak › Artik,"$130,000",USD,"I will cooperate with the contributors. I will present a concrete business plan.A building for keeping 80 cattle and 100 pigs is for sale. In the area there is a house with all utilities, a shepherd's hut, a production area, etc. The total buildings are 1250 square meters. M. It is. The light is three-phase 20 kV, water is always free. Call for details.Translated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/17765343
Building,Stone,400 sq.m.,"Gorki Street, Gyumri","$50,000",USD,"Возле железнодорожного вокзала СРОЧНО продается каменное здание коммерческого назначения, земля собственная. Идеально подойдет под гостиницу. По вопросам звоните. Отдельно перед зданием есть и собственная земля 100м/кв (14×5.75)",Nov-24-2022_22-02,,,,,,https://list.am/en/item/17908517
Everything Else,Panels,2000 sq.m.,Shirak › Maralik,100 ֏,AMD,For sale. Suitable building for different business spheres. Telephones work along the building. With a certificate of ownership!Translated from Armenian,Nov-24-2022_22-02,,,,,,https://list.am/en/item/13207219
Multifunctional Space,Stone,850 sq.m.,Shirak › Gyumri,"$500,000",USD,Почти в центре города! На Гарегина Нжде 7/24 рядом строються дома квартиры от застройщика!,Nov-24-2022_22-02,,,,,,https://list.am/en/item/17496569
Retail Space,Cassette,26 sq.m.,"8th district 10, Gyumri","$8,000",USD,For sale or trade for car. The store is 20 square meters + 6 square meters of storage with air conditioner.Translated from Armenian,Nov-24-2022_22-02,Available,Not available,First Line,Common from the Street,,https://list.am/en/item/18355408
Functioning Business,Bricks,27 sq.m.,"Կայարանամերձ հրապարակ 1, Գյումրի","$3,500",USD,For sale գործող as a business and as a separate pavilion has a security system only the price of the pavilion is mentionedTranslated from Armenian,Nov-24-2022_22-02,,,,,,https://list.am/en/item/16516233
Restaurant,Stone,714 sq.m.,Shirak › Artik,"$120,000",USD,Restaurant for sale in Artik.Translated from Armenian,Nov-24-2022_22-02,,,,,,https://list.am/en/item/17464646
Multifunctional Space,Stone,297 sq.m.,Shirak › Artik,"$88,000",USD,"It is a new structure, on a busy, very convenient road in Artik, with 5 separate entrances (which can also be used in general)1/3 of the area is now leased (given) for a long-term lease (in case of purchase it can be continued at your request)The building is provided with property and all the necessary utilities.Suitable for Dental Service, Pharmacy (everything is provided for the procedure of obtaining a license), shop, public catering, car service station (in the garage Яма) and for any kind of activity.There is a plot of land at the back of the building with its entrance (it is for sale together with the area)It is possible to discuss the sale without furnishing the property,Or without land (the price in this case is negotiable)Call for details այլ For other reasonable suggestions.Translated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/17771970
Retail Space,Monolith,45 sq.m.,"Квартал Муш 2 4/32, Гюмри","$30,000",USD,1 room (in the kitchen with heating boiler) is located in front of the square. Stairs with iron door with two entrances.Translated from Armenian,Nov-24-2022_22-02,By agreement,Not available,Other,Separate from the Street,,https://list.am/en/item/16782412
Functioning Business,Stone,1272 sq.m.,"Պարույր Սևակի փողոց 4Բ, Գյումրի","$590,000",USD,"This two-storey building is for sale in Ani district, next to the Pedagogical Institute. Մ. Land area and 250 sq / m residential. The first floor of the area served as a restaurant complex and cafe, the second floor banquettes նջ bedrooms, the whole area is tiled, there are bathrooms, kitchen, tonratun, storage area. There are banquettes on the floor and hotel rooms. There is three-phase electricity, the whole area is renovated and furnished. The whole area of the building is fenced, there are adjacent buildings. It can be used for all kinds of services ․․․Translated from Armenian",Nov-24-2022_22-02,Available,Not available,First Line,Separate from the Street,,https://list.am/en/item/15583830
Multifunctional Space,Wooden,18 sq.m.,Shirak › Marmashen,"450,000 ֏",AMD,"A 6-meter house is for sale, it is in very good condition. The sale is also possible together with the property / bed, table, sofa, closet /Translated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/17831461
Retail Space,Stone,19 sq.m.,"Շիրակացի փողոց 8, Գյումրի","3,500,000 ֏",AMD,The pavilion is in good conditionThe land is rented by the property itselfIt is possible to look at the exchange...Translated from Armenian,Nov-24-2022_22-02,,,,,,https://list.am/en/item/10234436
Industrial and Manufacturing,Stone,505 sq.m.,"Խրիմյան Հայրիկ, Գյումրի","$120,000",USD,"Commercial area for sale. The building area is 505 square meters. With 700 square meters of land. The building consists of several boxes. It was built after the earthquake. The roof is made entirely of iron, has its own 1000 mm sewer, its own water line and power substation.Translated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/17975131
Functioning Business,Bricks,30 sq.m.,Shirak › Gyumri,"$22,000",USD,"Has a three-phase electricity, water and sewerage. Exchange with a car is possibleTranslated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/17202964
Agricultural Space,Stone,250 sq.m.,Shirak › Kaps,"10,000,000 ֏",AMD,"Livestock for sale in Kaps village. The cattle barn is in perfect condition, has all the necessary facilities: Permanent water, sewage, cameras to monitor the animals, etc. Call for detailed information.Translated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/18032954
Functioning Business,Stone,1600 sq.m.,Shirak › Horom,"$85,000",USD,"Wedding hall restaurant with separate banquets for sale in Horom villageyou can for different purposes1600m total area600 square meters construction areaThe tonratun has a separate toilet, storage, large comfortable toilets inside or outsideIt is fully heated, has constant gas, light and water supplyIncludes property, ready-made businessTranslated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/11286018
Multifunctional Space,Wooden,36 sq.m.,Shirak › Gyumri,"1,850,000 ֏",AMD,Продаются финские домики в отличном состоянии.,Nov-24-2022_22-03,,,,,,https://list.am/en/item/18318102
