Type,Land Area,Address,Price,Currency,Description,Datetime,Service Lines,Links
For General Purpose,1000 sq.m.,Ararat › Arevabuyr,"$14,000",USD,"Garden next to the house, 80 trees of black plum, has gas, electricity, water, 6 tons yield, trees are 13 years old.Also exchange with a car for an additional fee.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18023154
For Residential Development,470 sq.m.,"Նորաշեն թաղամաս 45, Երևան","$25,000",USD,On a new lot very close to the roadTranslated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/18337938
For Residential Development,1240 sq.m.,Ararat › Ararat,"$5,000",USD,"Lanjanist village, fence, walnut treesTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/16016637
For Residential Development,300 sq.m.,Ararat › Argavand,"$29,000",USD,"Very Urgent sale of a plot of land near the house at the beginning of Argavand village, 30m from the main road. In. The land is fenced, has irrigation and drinking water. Adjacent to the water area are all residential houses. There is a school, a kindergarten, a cultural center, various shops nearby, the bus stop is very close and various city transports are running.For details, call the indicated numbers.CODE 09:Code Code 09Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17562064
For Residential Development,300 sq.m.,Ararat › Argavand,"$29,000",USD,"Very Urgent sale of a plot of land near the house at the beginning of Argavand village, 30m from the main road. In. The land is fenced, has irrigation and drinking water. Adjacent to the water area are all residential houses. There is a school, a kindergarten, a cultural center, various shops nearby, the bus stop is very close and various city transports are running.For details, call the indicated numbers.CODE 09:Code Code09Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17562107
For Residential Development,1000 sq.m.,Ararat › Ranchpar,"$5,500",USD,"Urgent land for sale in Ranchpar village, 17 km from Yerevan. The land has access from both sides for the car, 24x43 front part, utilities: Gas, water, electricity are very close, there are shops nearby. 1000 square meters of land is intended for residential buildings.It is also possible to pay in part.Call the listed phone numbers for details.CODE 079:Code Code 079Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17399562
Agricultural,1678 sq.m.,"Yerevan street, Marmarashen","$10,000",USD,"The land is located on the right side of the Artashat-Yerevan road, 150-200 meters away from the road, the street is completely renovated, lit, there are various buildings nearby, a garden, a recreation area, etc. The plot is flat, can be used for a greenhouse, garden, refrigerator, recreation area, house or other buildings. There is light and artisanal water in the area.It is possible to exchange it with a car.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17493998
For Residential Development,1000 sq.m.,Ararat › Masis,"$12,000",USD,"1000 square meters of land near the house for sale. In the sunny village of Masisi, with fruit trees, the plot is completely fenced, has an irrigation system, has the possibility of irrigation, gas, and drinking water.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18072967
For General Purpose,1100 sq.m.,"14-րդ փողոց 10, Խաչփար","$20,000",USD,At the beginning of the crossroads he and Exchange with the car for questions call the mentioned number 0.9.8.Translated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/17876713
For Residential Development,250 sq.m.,"13-րդ փողոց 21, Այնթափ","3,000,000 ֏",AMD,"The flat area is located not far from the main road, gas, light and water, right next to the landTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17849225
Agricultural,"10,000 sq.m.",Ararat › Artashat,"$15,000",USD,"A 10,000-meter plot of land for an apple orchard is urgently for sale in Artashat cityTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17310591
For Residential Development,450 sq.m.,Ararat › Artashat,"$7,000",USD,The land is located at the back of Armenia restaurant. Call for detailsTranslated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/17420351
Agricultural,4800 sq.m.,Ararat › Ayntap,"$9,900",USD,@ndanur makeres@ 4500qm e bayc dakumentov 2800qm,Nov-25-2022_00-58,,https://list.am/en/item/14940958
Agricultural,"30,000 sq.m.",Ararat › Vedi,"$47,000",USD,Ծիրանի այգի։Գտնվում է Դաշտաքար գյուղում:3 հեկտար ծիրանանոց։-----Ծիրանի այգի Apricot Garden surenavan armash eraskh cirananoc ծիրանանոց,Nov-25-2022_00-58,,https://list.am/en/item/13809332
Agricultural,300 sq.m.,"Սախարովի փողոց 10, Հայանիստ","1,700,000 ֏",AMD,"The total area is 300 square meters. M:For details, call the mentioned number.The mentioned price is the selling price of the greenhouse, the area is not for saleTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17684101
For Residential Development,1600 sq.m.,"Գևորգ Չաուշ փողոցի 3-րդ նրբանցք 3, Զորակ","$13,000",USD,"1600 square meters of land near the house in the residential street of Zorak village! The village is located only 10 km from Yerevan in Masis community! There is a school, polyclinic, many and various shops, transport to Yerevan and many other cities is actively working! Gas, electricity, and water have been installed in the street! A river runs through the end of the land (there is no sewage problem)!Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17497714
For General Purpose,638 sq.m.,Ararat › Baghramyan,"$150,000",USD,"Business land for sale on the Artashat-Yerevan highway, Baghramyan village, size: Width: 11 meters, length: 58 meters. Connected three-phase current 15 kW. Availability of drinking water and sewage. In the area there are two working car washes, two rooms for recreation and equipment. There is also a semi-constructed capital building (the first and partly the second floors are built) There is a school nearby.Exclusive option.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18257552
For Residential Development,1150 sq.m.,Ararat › Ayntap,"$30,000",USD,"Privatized land near the house for sale, with a certificate, building plan, fenced. With trees, drinking water, irrigation, gas, electricity, street on both sides, 2-3 apartments can be built, you can look and decide. Alternative e-mail is available. Build a station, in a word, come, see, choose. We are waiting...Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/16071734
Agricultural,"16,000 sq.m.",Ararat › Artashat,"$30,000",USD,"The park is located in Artashat, 400 m from the Yerevan-Yeraskh highway. In the distance. There are both table and technical vines in the garden.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17363126
Agricultural,5000 sq.m.,Ararat › Vedi,"$20,000",USD,"In exchange, I will listen to offers, you can write and I will answer.Agricultural land, 5000 meters, with water, there is water on three sides, the stream flows at a distance of one meter.There are 170 high-quality apricot trees and 6 gyoza cherry trees, 2-year-old trees that I planted in the spring.It is a flat land, next to the Vanashen-Ved highway, 600 meters deep, a very good place.You can write and call WhatsApp.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/16242850
Agricultural,4300 sq.m.,Ararat › Masis,"$5,000",USD,"An agricultural plot of land in the village of Jrahovit (Ararat region, Masis) is for sale. It is a very good land for cultivation.Coordinates 40.049316, 44.490487Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/16516456
For Residential Development,400 sq.m.,"1-ին փողոց 19, Մասիս","$16,500",USD,"Very very urgentA plot of land is for sale in the city of Masis with a frontage of 15 m, in the city of Masis...Gas, water and electricity run across the street and sewer is very close.The material on the land is not for sale, in the case of sale, all of it will be removed.The address cannot be entered correctly in the list...It is possible to exchange with the car for an additional fee on your part...I am the owner...If you have any questions, call...Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18286517
Agricultural,"40,000 sq.m.",Ararat › Vedi,"15,000,000 ֏",AMD,"Տարածքը գտնվում է Խոսրովի արգելանոցին հարակից Ազիզքյանդ կոչվող հատվածում: Տարածքը գտնվում է Վեդի և Արմիկ գետերի մեջտեղում: Առկա է խմելու և ոռոգման ջուր: Հարմար է հանգստի գոտու, ձկնաբուծության, անասնապահության, այգեգործության համար: Տարածքը սեփականություն է, հնարավոր փոխանակում. Կլսեմ ձեր արաջարկները...",Nov-25-2022_00-58,,https://list.am/en/item/17848034
Agricultural,"10,000 sq.m.",Ararat › Ayntap,"$30,000",USD,Agricultural land on Nor-Kharberd-Aintap Kaltsevo is urgently for sale. It is line 2 and is located in a busy area. Suitable for various activities. Communications are close. For more information call: NarineCode 3278Translated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/18346487
For Residential Development,880 sq.m.,Ararat › Hayanist,"$15,000",USD,"A plot of land near the house in Hayanist village is for sale. It is located 5-6 km from Argavand. There is a route nearby, close to school and kindergarten. All communications are nearby: Gas, electricity, water. It is partially fenced. For more information call: NarineCode 3277Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18346471
For Residential Development,400 sq.m.,Ararat › Masis,"$20,000",USD,Տնամերձ հողատարածք Մասիս քաղաքի նորակառույց թաղամասում։Հյուսի-հարավ մայրուղու հարևանությամբ։фундамент цоколь արված է։հոսանքով ապահովված։ԳԻՆԸ ՎԵՐՋՆԱԿԱՆ:Մանրամասների համար զանգահարեք կամ գրեք։mail viber WhatsApp,Nov-25-2022_00-58,,https://list.am/en/item/16266441
For General Purpose,3000 sq.m.,Ararat › Hayanist,"$30,000",USD,"Հայանիստում ջրանցքի ափին, վաճառք կամ վճարովի օգտագործում",Nov-25-2022_00-58,,https://list.am/en/item/15932088
For Residential Development,"40,000 sq.m.","Yerevan-Meghri highway, Ararat Province","$30,000",USD,"VERY URGENTLY: Ararat region, village A land near the house is for sale in Nshavan, the total area is 4000 square meters. M, not partially sold with documents չունի no problem, the place is very convenient to start various interesting initiatives, write only those who are really interested. Let me mention that I am the owner (I am not a broker) He exchanges with an apartment.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17481472
For General Purpose,"10,000 sq.m.",Ararat › Artashat,"$250,000",USD,"Land of 10,000 sq. M. Is for sale. In Mrgavan, there is artesianism with construction permits for construction and other buildings near the house, there is also three-phase electricity, it is also negotiable for real buyersTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/16005483
For General Purpose,500 sq.m.,Ararat › Nor Kyurin,"$7,000",USD,"Land for sale in Nor Kyurin, 500 sq. M. M: There is a half-built house of 57 square meters in the area. M, fruit trees. Not privatized.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18267478
For Residential Development,435 sq.m.,Ararat › Artashat,"$9,000",USD,Land near the house for sale in Artashatr 14.50 lenk 30 lengthsTranslated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/16372989
Agricultural,"10,000 sq.m.",Ararat › Mrgavet,"$25,000",USD,"An apricot orchard is for sale in Mrgavet village, which is 20 minutes away from Yerevan. The garden has 80 apricot trees, 80 apricots 1 t ․ seedlings, permanent irrigation water.It is an operating business, has a stable annual income.You can call the mentioned phone numbers for details.Code H-452Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/16596815
For General Purpose,"10,000 sq.m.","Արտաշատի խճուղի 10, Երևան","$32,000",USD,Վաճառվում է մեկ հեկտար տարածք հողակտոր հարմարե ռեստորան հյուրանոցային համալիր ջերմոցային տնտեսություն անասնագոմ կառուցելու համար և այլ գործառույթներ իրականացնելու համար տարածքում կա բերքատու ծառեր ծիրանի և այլն ունի մշտական ոռոքման խմելու ջուր տարացքե գտնվում է պատմական Դվինում Երևանից 28կմ դեպի Արտաշատ տանող ճանապարհի եզրին տեսարան դեպի մասիս սար հարցերի դեպքում գրեք կա՛մ զանգեք կլսենք փոխանակման տարբերակներ,Nov-25-2022_00-58,,https://list.am/en/item/15829268
For Residential Development,600 sq.m.,Ararat › Ayntap,"$20,000",USD,"Land plot 13p17 alley, all communications are close, electricity, water, gas, there are many new houses under construction in Yerevan, only 10-15 minutes drive from YerevanTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/16303375
Agricultural,500 sq.m.,"10-րդ փողոց 10, Գեղանիստ","$15,000",USD,"There are 30 streets at the end of Geghanist, not close to home but possible to build close to homeTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/16563840
For Residential Development,2400 sq.m.,"3-րդ փողոց 1, Արբաթ","$15,000",USD,"In the village of Arbat, Masisi district, near the school, a plot of land of 2400 square meters (3 houses) is for sale, provided with water (irrigation water), e. Power: Gas is nearby.The price is $45,000It is possible to sell separately.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18304060
Agricultural,2100 sq.m.,Ararat › Masis,"$9,000",USD,The area is located in the front part of the North-South highway.Translated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/17703247
Agricultural,"20,000 sq.m.",Ararat › Hovtashat,"13,000,000 ֏",AMD,"Land in the valley, details by callingTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18194754
For Residential Development,1300 sq.m.,Ararat › Hayanist,"$35,000",USD,"Land near the house for saleArarat, Hayanist• 1300 square meters_• 1st lineCode BB960Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17646170
For Residential Development,300 sq.m.,Ararat › Argavand,"$32,000",USD,"Land for saleArarat region, Argavand• Area of 300 square meters• Near the house_• Communications are available• Houses nearbyCode BB723Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/16947983
Agricultural,"120,000 sq.m.",Ararat › Surenavan,"$40,000",USD,"CODE— BB800:Land for saleArarat, Surenavan• 12 HA (120,000 square meters) area_• Cultivated land• own water lineTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17089350
For General Purpose,1100 sq.m.,Ararat › Artashat,"$5,000",USD,"A plot of land near the house of 1100 square meters is urgently for sale. It is a residential district. There is drinking and irrigation water, gas pipe and electricity near the land.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18234262
Agricultural,3200 sq.m.,"17-րդ փողոց 13, Արբաթ","$10,000",USD,"The land has a flat surface, about 150 m from the stream, no water supplyTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17767033
For Residential Development,500 sq.m.,Ararat › Ararat,"12,000,000 ֏",AMD,"Located at the back of the building at 6 Aghbyur Serob Street, 150 square meters of land, about 350 square meters, together with 500 square metersTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17610622
Agricultural,"10,000 sq.m.",Ararat › Goravan,"$10,000",USD,"VERY URGENT 10,000 square meter (1HA) agricultural land for sale in Vedi, Goravan, in the neighborhood of Jrambar, there are 2 approved plans: Field house and farm, gas and electricity in the village are almost attached.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18237100
For Residential Development,700 sq.m.,Ararat › Nor Kharberd,"6,200,000 ֏",AMD,"Newly built neighborhood near home, 17 street 28Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/16333579
Agricultural,1700 sq.m.,Ararat › Nor Kharberd,"4,500,000 ֏",AMD,"Newly planted apricot seedlings in the vineyard, 140 two-year-old trees with a very beautiful view of Mount AraratExchangeTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17331503
For Residential Development,2000 sq.m.,Ararat › Bardzrashen,"$12,000",USD,"Land for sale in Bardzrashen 2000 sq / m (1000m2 + 1000m2), about 15 km away from Erebuni.It is possible to sell in parts. The land is located at the beginning of the village, 1st street. The main road is asphalted. There is drinking water and sewerage. Adjacent lands are inhabited. It has a view of Mount Ararat. It is very close to Erebuni, near Nubarashen (Sovetashen) For details, call the mentioned phone number.Ararat, village BardzrashenTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/11965984
Agricultural,8500 sq.m.,Ararat › Nor Ughi,"$15,000",USD,"8500 sq. M. Apricot orchard in the community of Nor Kyank village, Ararat region, near the train line, 40 km from Yerevan. 63 meters of 450 16-year-old apricot trees in two rows, 450 m long. The land is being irrigated. The area will be enough to plant 45 apricot trees.The area is highlighted in yellow on the map.Certificate of ownership is available.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/16725202
For Residential Development,600 sq.m.,Ararat › Ayntap,"$30,000",USD,"VD155Land for saleArarat, Aintap• 600 square meters area_• close to home• fencedTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18135915
For Residential Development,300 sq.m.,Ararat › Ayntap,"$15,000",USD,"VD154Land for saleArarat, Aintap• 300 square meters_• close to home• fencedTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18135914
Agricultural,"12,000 sq.m.",Ararat › Vedi,"30,000 ֏",AMD,"I am selling an arboretum with different types of trees, the entire area of 1.2 ha is fenced... I can also close it with a smart version.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/14787975
For Residential Development,600 sq.m.,Ararat › Masis,"$20,000",USD,"Վաճառվում է 600 քմ մակերեսով տնամերձ հողատարածքԱրարատ, Մասիս️գազի, ջրի, հոսանքի հնարավորությունԿոդ BB300",Nov-25-2022_00-58,,https://list.am/en/item/15877527
Agricultural,5000 sq.m.,Ararat › Goravan,"$7,500",USD,"A plot of land near the Chiman of Gorovank, call for detailsTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18270972
For Residential Development,1000 sq.m.,Ararat › Goravan,"$4,000",USD,"The land is located near the house of Goravan, it has irrigation water, call for detailsTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18270954
For Residential Development,850 sq.m.,Ararat › Urtsadzor,"3,500,000 ֏",AMD,"Summer house land for sale in Khosrov forest, it is located in front of Urtsadzor Wild Nature and Cultural Values Conservation Center. Nearby is Tapi fortress, Gevorg Marzpetunu fortress.The land is located near the river Vedi, there is no problem of irrigation water, there is drinking water and electricity in the area, there is an opportunity to build a house.There are thyme and hawthorn in the area.A very good place for adventure tourism.Or exchange for a car of a suitable priceSummer housedachaAdventure tourismTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18065295
For Residential Development,400 sq.m.,"11-րդ փողոց 7, Այնթապ","$40,000",USD,"The area has electricity, gas, water, sewerage. Very urgent 10 ×40. Exchange with the car $7000 033 66.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17713583
For Public Buildings,6200 sq.m.,Ararat › Argavand,$180,USD,"A plot of land important for public development is for sale. The land is suitable for any type of activity, the cost of 1 square meter is AMD 180.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17978072
Agricultural,1800 sq.m.,"Vedi street, Yerevan","$6,000",USD,Land with fruit treesThe park is located in Ararat regionԳ. BelfryCall 10: 00-18: 00Translated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/17688151
Agricultural,2950 sq.m.,"15-րդ փողոց 10, Ղուկասավան","$15,000",USD,Village of Menghutyan land area 2800 m2 2-way road has advantages related to gas electricity suitable for greenhouse farming 300 meters from the main road on Heravorutyan for details call very urgentlyTranslated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/18002380
For Residential Development,1000 sq.m.,Ararat › Artashat,"2,300,000 ֏",AMD,"Land near the house for sale in Shahumyan village, Ararat region, suitable for building a greenhouse or an apartment. With an area of 1000 square meters.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/16725554
Agricultural,4500 sq.m.,Ararat › Masis,"16,000,000 ֏",AMD,"4500 square meters of land for sale in Masis. The land is completely fenced. There are 130 2-year-old trees in the plot, which are watered entirely by the drip system. There is a 600 square meter greenhouse on the plot. The greenhouse has 3 ventilators, 6 mattresses, drip system, 7000 rose bushes. The land has permanent water and electricity. The land is completely privatized.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18342828
Agricultural,8000 sq.m.,Ararat › Nor Kyurin,"$15,000",USD,8 thousand with a documentadditional 1 hectareYou have sown alfalfa fields for yearscall for other questions.Negotiable.Translated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/18221342
For Residential Development,2000 sq.m.,Ararat › Nor Kyurin,"$20,000",USD,It has a circuitGas water supplyresourcefulTranslated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/17956453
For Residential Development,400 sq.m.,Ararat › Masis,"4,000,000 ֏",AMD,"The land is located in c. Masis, 4th district, 3rd street, has all utilities, land frontage 17.25, price is negotiable. It is possible to exchange for a car, as well as pay in installmentsTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/16447627
Agricultural,"20,000 sq.m.",Ararat › Arevshat,"80,000,000 ֏",AMD,"2 hectares (20,000 square meters) of land for sale in Getazat village, Ararat region. The land is located along the Free River. Is available,2200 sq m village - industrial land, 100 sq m building built on it, with internal renovation, adjacent swimming pool.17,800 square meters of village-use.3000 square meters of 20-year-old apricot trees3000 square meters of 4-year-old peach trees2500 square meters of grapes, standing, red and honey-scentedThe whole area is well-kept, fenced with barbed wireThere are 2 more buildings:— 50 square meter two-story residential house— 30 sqm for wine production, includes winemaking equipment from grape processing to bottling, solar water heater, and another large swimming pool adjacent to the buildings. There are favorable conditions for organizing tourism and recreation. It is possible to exchange with real estate/properties in Yerevan, equivalent or with an additional fee from you. Own house, flat/s etc. Call for offers and details.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17808138
For Residential Development,800 sq.m.,Ararat › Nor Kharberd,"$11,000",USD,A plot of land for residential construction in Kharberd is for sale. It is possible to exchange the car for an additional fee.Commission - 2%Code 1201Translated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/18137448
For Residential Development,1030 sq.m.,Ararat › Hovtashat,"$9,500",USD,"Gas, electricity, water possibility.Code H0009Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17428125
For Residential Development,1000 sq.m.,Ararat › Mkhchyan,"$17,000",USD,"You can easily use electricity, drinking and irrigation water.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18344090
For Residential Development,430 sq.m.,Ararat › Artashat,"$10,000",USD,"The land is located approximately 50m from the Ararat-Artashat highway, in front of the Ararat restaurant. It has an artesian well.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18344063
Agricultural,"18,000 sq.m.",Ararat › Narek,"$20,000",USD,"Different types of fruit trees, well-cultivated, not old, they have been bearing fruit for three years, mainly apricot, Shalakh type, peach, plumTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18059518
For Residential Development,800 sq.m.,Ararat › Masis,"$25,000",USD,"The foundation of the house is a hole in the circle, and the wall with its armature is 10 11. There is a domik in the hole and the stone is empty, three zil and one zil of sand.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18085628
For Residential Development,1636 sq.m.,Ararat › Baghramyan,"$6,500",USD,"A plot of land near the house is for sale in Baghramyan village of Artashati. 1636 square meters, price: 6500.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17284401
For Residential Development,2000 sq.m.,Ararat › Geghanist,"570,000 ₽",RUB,"Վաճառվում է տնամերձ հողատարածք Արևաշատում, բացի մոտակայքում եղած կոմունալ հարմարություններից առկա է նաև ոռոգման ջուր։Շատ հարմար է սեփական տուն կառուցելու և մեծ հողամաս ունենալու համար։",Nov-25-2022_00-58,,https://list.am/en/item/14237187
Agricultural,5000 sq.m.,Ararat › Verin Artashat,"4,000,000 ֏",AMD,"A vineyard for sale in the village of Verin Artashat. Impeccably maintained garden with table varieties, mostly Shahumian. The annual harvest is about 10-12 tons. It is located near the road on the first line, there is no water problem.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18035192
Agricultural,6800 sq.m.,Ararat › Masis,"$14,000",USD,"The plot of land is located in Masis city in the new highway, line 3, right next to the irrigation water line.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18243228
Agricultural,4200 sq.m.,Ararat › Masis,"5,500,000 ֏",AMD,Newly opened on Masis RoadGarden for sale urgentlyThere is in the garden* Black plum trees*Water well*Drip irrigation systems*Water tank five tons*Close to the road*PrivatizedFor more information callTranslated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/18273729
For Residential Development,1450 sq.m.,Ararat › Darbnik,"8,000,000 ֏",AMD,The land has electricity and water. Artesian water and gas are attached.Price is negotiable.Translated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/17884810
For Residential Development,700 sq.m.,"4-րդ փողոց 25, Արբաթ",$100,USD,"! The price is negotiable, I can also offer other payment options! A plot of land (near the house) is for sale in the village of Arbat, on the central street, 700 square meters. It is suitable to be used for any purpose. Call for more information. Price is negotiable.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17419520
For Residential Development,600 sq.m.,Ararat › Vedi,"11,000,000 ֏",AMD,"A half-built apartment is for sale in the back of 1 school. The price is negotiable. For detailed information, call:+ sam, devil, shests, drunk, drunk, nol, nol, dva, tri, nol, nol, - Viber WhatsApp.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18009764
