Type,Construction Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Address,Price,Currency,Description,Datetime,Parking,Links
Industrial and Manufacturing,Monolith,1500 sq.m.,,,,,"3rd lane 3rd street, Darpas","$40,000",USD,"Արտադրության տարածքում կան երեք արտադրամասեր։ (Բլոկների։ Մայթերի սալիկների եվ օժանդակ արտադրամաս որտեղ աճեցվել է սունկ) յուրաքանչյուրը 100 քառ. Մ ավելի։ Արտադրությունը ապահովված է էլեկտրոէներգիայով /սեփական բարձրավոլտ տրանսֆորմատորով/ եվ սեփականաշնորհված արտեզյան ջրով։ Շատ հարմար է նաեւ թռչյուններ եւ այլ կենդանիներ պահելու համար! Տարածքը ամբողջությամբ պարսպապատված է եվ ունի ընդլայնվելու մեծ հնարավորություն։ Այլ մանրամասների համար զանգահարել ։В територии производство имеется три цеха где производилис перегародчные блоки, брусчатки а еще шир потреб! В територии имеется постоянная родниковая вода, трансформатор на 100квт! Для организации работ может принимается новые предложение! Об остальных вопросов звонить по российскому номеру на Вацап или Вайбер!",Nov-24-2022_22-01,,https://list.am/en/item/17245573
Retail Space,Stone,250 sq.m.,,,,,"Vardanants Street, Vanadzor","$250,000",USD,"In the center of the city, in front of an ideal store, a large sunny business area with all utilities, former newlywed building, negotiable, sale possible in two parts.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/17431461
Industrial and Manufacturing,Panels,2150 sq.m.,,,,,"Vardanants Street, Vanadzor","$370,000",USD,"1.Может использоваться в производственных и складских целях.2. Также есть отремонтированные офисные помещения.3. На участке есть газ, вода, трехфазное электричество и все остальные удобства.4. Высота зданий более 4-х метров, что позволяет въезд большегрузных автомобилей, а также свободную работу погрузчиков внутри.5. Размер площади также позволяет свободно передвигаться по станции и на месте большегрузным автомобилям (фурам)6. Он расположен по дороге к Химическому заводу, в 1,3 кмот центральной площади Ванадзора.7. Общая площадь составляет 2150 квадратных метров, а площадь складских и офисных помещений – 900 квадратных метров.8. Имеет выход прямо на главную улицу",Nov-24-2022_22-01,,https://list.am/en/item/14781862
Restaurant,Stone,190 sq.m.,,,,,Lorri › Stepanavan,"24,000,000 ֏",AMD,"A restaurant is for sale in Stepanavan, with attached buildings, utilities with all facilities, natural gas, three-phase electricity, constant water, Armenia on the Vrastam highway, 2140 square meters of land + 700 square meters, negotiable.For more information callStepanavanin StepanavanStepanavan:StepanavaneRestaurant:I am sellingI am selling territorylandplot of landarboretumPine treeLoriTranslated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/17832301
Everything Else,Cassette,40 sq.m.,,,,,"Narekaci street 6, Vanadzor","$3,300",USD,"2 dormitories connected to each other with 3 rooms, call for detailed information in case of moving the dormitories, the price is not finalTranslated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/17983304
Retail Space,Stone,50 sq.m.,Not available,Not available,First Line,Common from the Street,"ՔՇՀ-3 10, Վանաձոր","$28,000",USD,Commercial area. Newly built stone building. 2 floors and basement. Suitable for a hairdressing salon or office shop. Business area. Each floor is 50 sq. M. It is a very convenient area. I will exchange it with a jsb tractTranslated from Armenian,Nov-24-2022_22-01,,https://list.am/en/item/16895301
Retail Space,Stone,,,,,,"Baghramyan St, Stepanavan","$15,000",USD,"Շինություն Ստեփանավանում, առաջ աշխատել է որպես սրճարան",Nov-24-2022_22-01,,https://list.am/en/item/15595580
Industrial and Manufacturing,Stone,,Available,Available,Other,Common from the Street,Lorri › Alaverdi,"1,000 ֏",AMD,Վաճառվում է 1 հեկտար բազալտի մեծ պաշարներով հողամաս;Հողամասը գտնվում է Լոռու մարզ գյուղ Ճոճկանում; Բուռավոյով ծակել են ստուգել ըստ աշխատողների քարի որակն շատ լավն է; կան օրինակներ հանած քարից: Շատ շտապ է գինն կպայմանավորվենք: Սեփականատեր եմ,Nov-24-2022_22-01,,https://list.am/en/item/13139364
Retail Space,Stone,1000 sq.m.,,,,,"Vardanants Street, Vanadzor","145,000,000 ֏",AMD,"1000մ2 3 հարկանի, հետևի մասում բակում կա ավտոսերվիս, շինության ամեն հարկի մակերեսը 460 մ2 է, հարմար է հյուրանոցի, ռեստորանի, խանութի և այլ տիպի գործունեության համար։ Շտապ, սակարկելի",Nov-24-2022_22-01,,https://list.am/en/item/14512343
Functioning Business,Stone,67 sq.m.,Available,Not available,Other,Separate from the Courtyard,Lorri › Vanadzor,"$40,000",USD,67 sq/m business space for sale. Area of activity 50.5 sq/m.Address: Saint-Petersburg 5/1.1.For rent.Translated from Armenian,Nov-24-2022_22-01,,https://list.am/en/item/10405698
Everything Else,Cassette,866 sq.m.,,,,,Lorri › Spitak,"$180,000",USD,"A cattle barn with an area of 866 square meters and 14600 square meters of land is for sale in Geghasar community of Spitak region of Lori region.31 dairy cows, 6 heifers, 25 calves and 1 bull are for sale together.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/17174351
Functioning Business,Stone,50 sq.m.,Available,Not available,First Line,Separate from the Street,"Vardanants Street, Vanadzor","$74,000",USD,"Տրվում է վարձով, կամ վաճառվում է (գույքով) ։Առկա է անվտանգության և տեսանկարահանման համակարգ։Կապիտալ վերանորոգած։Կենտրոնական Գրադարանի հարևանությամբ։",Nov-24-2022_22-01,,https://list.am/en/item/12268124
Multifunctional Space,Panels,80 sq.m.,,,,,"Vardanants Street 82, Vanadzor","$57,000",USD,Центр города возле нормед,Nov-24-2022_22-01,,https://list.am/en/item/18245353
Restaurant,Stone,600 sq.m.,,,,,Lorri › Vanadzor,"$150,000",USD,Details by phoneTranslated from Armenian,Nov-24-2022_22-01,,https://list.am/en/item/15960165
Hotel,Panels,410 sq.m.,Available,Available,First Line,Common from the Street,"Սանահին Սարահարթ թաղամաս 2/32, Ալավերդի","$50,000",USD,"The 5th floor of the hotel complex in Sanahin / Sarahart district of Alaverdi city, Debed. The area is 410 square meters and is in state condition. The area can be used both as hotel rooms and as industrial or commercial areas.For more information, call the numbers listed.Hotel hotel Alaverdi alaverdi hjuranoc alaverdi lori lori marz hotel in lori debed hotel debed debet hjuranoc debet sanahin / plateauTranslated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/16684215
,,,,,,,"Baghramyan avenue, Vanadzor","$130,000",USD,"Երկհարկանի շինություն, յուրաքանչյուր հարկի մակերեսը 150մ2,երկու հարկում էլ կա սանուզել, կոնդիցիոներներ, ամբողջությամբ վերանորոգված է, էլեկտրոեներգիա եռաֆազ, այժմ առաջի հարկը տրված է վարձով և օգտագործվում է որպես հացաբուլկեղենի արտադրամաս, ցանկության դեպքում այն կարող է շարունակել իր գործունեությունը, հետևի մասից ունի ևս մուտք, հարմար է խանութի, արտադրության, գրասենյակային և սպասարկման ոլորտի այլ գործունեության համար, շինությունը գտնվում է Վանաձոր քաղաքում Երևան-Թբիլիսի մայրուղու վրա, վաճառվում էլ Շտապ սակարկելի:",Nov-24-2022_22-01,,https://list.am/en/item/16057186
Multifunctional Space,Stone,1000 sq.m.,,,,,"Վարդանանց փողոց 10, Վանաձոր","145,000,000 ֏",AMD,"The total area is 1000 m2, the building is 3-storey, the area of each floor is 460 m2, the yard is fenced in the back, there are 9 garages in the yard which are suitable for car service, as well as can be reserved for any other type of activity. The building is located 1 km from the city center, in front of the newly built Charles Aznavour Park, it is very convenient for a hotel, restaurant, supermarket or any other type of activity. Communications (gas, electricity, three-phase, water, sewerage) are all available, for sale Urgently negotiable.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/16056901
Restaurant,Stone,1000 sq.m.,,,,,Lorri › Tashir,"$10,000",USD,"For sale restaurant complex in Tashir, renovated, price is negotiable. For more information call the number listed.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/17340243
Everything Else,Cassette,40 sq.m.,Not available,Not available,Other,Separate from the Street,Lorri › Vanadzor,"1,000,000 ֏",AMD,Iron cabin 4x6 meters. Thickness 4mm +. Can also be converted into a garage.Translated from Armenian,Nov-24-2022_22-01,,https://list.am/en/item/8598029
Everything Else,Wooden,18 sq.m.,Not available,Not available,Other,Separate from the Street,Lorri › Bazum,"300,000 ֏",AMD,"It is in normal condition: 3 m-6 m, iron bar on the window. Carcass iron. Address Lori region village Bazum. Price is negotiableTranslated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/14357732
Functioning Business,Stone,"10,000 sq.m.",,,,,Lorri › Spitak,"$700,000",USD,"Տարածքը գտնվում է Սպիտակում Նալբանդ գյուղումԸնդհանուր մակերեսը 10,000քմԳտնվում է միջպետական ճանապարհի վրա ՝ Վանաձոր-Գյումրի- ԹուրքիաՆերսում կա սրճարանի տարածք, գազալցակայան նախատեսված մեթան և պրոպան գազի համար իր ողջ տեխնիկայով, բենզալցակայան,Ունի բոլոր թույտվություններըՏեղադրված է Վիսոկի (նախատեսված է գազի բարձր ճնշում ապահովելու համար.Կոդ Y-01",Nov-24-2022_22-01,,https://list.am/en/item/16467609
Office Space,Stone,96 sq.m.,Not available,Not available,Other,Separate from the Street,"Myasnikyan street 3, Vanadzor","$50,000",USD,"Area for sale in the center of Vanadzor, at 3 Myasnikyan Street. The inside area of the building is 53 square meters, the outside area is 43 square meters. The basement is also privatized.There is a general area project and construction permit. It is also possible that the basement semi-basement structure, which joins the basement of the main area, will double the total area.Call those who really want to.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/11541815
Everything Else,Wooden,45 sq.m.,,,,,Lorri › Vanadzor,"750,000 ֏",AMD,"A self-made wooden cabin is for sale, which is suitable only for building materials, not for living! The price is negotiable, call for questions.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/18096402
Functioning Business,Stone,1000 sq.m.,Not available,Not available,First Line,Separate from the Street,Lorri › Stepanavan,"$215,000",USD,"An operating basalt mine is for sale, it is also suitable for starting the production of shibin. It is located 5 km from Stepanavan, near Urasar village. It has all necessary long-term licenses. Call for details.#stone quarry, #basalt quarry, #stone mine, #basalt mine, #mining industryQari hanq, qar, basaltTranslated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/18079990
Hotel,Stone,1400 sq.m.,,,,,"Desini street, Stepanavan","$850,000",USD,"Code T204:Hotel complex for sale on Desin street. It occupies an area of 1400 square meters. ‼ The area is capitally renovated. Եվ Euro windows are installed, the floor is covered with tiles.Code T-204Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/13082037
Functioning Business,Stone,107 sq.m.,Available,Not available,First Line,Common from the Street,"Nersisyan district 11, Vanadzor","$63,000",USD,Existing car wash for sale with all the equipment and equipment.Translated from Armenian,Nov-24-2022_22-01,,https://list.am/en/item/16440205
Retail Space,Stone,36 sq.m.,Not available,Not available,First Line,Common from the Street,"Garegin Nzhdeh street, Stepanavan","12,000,000 ֏",AMD,"It has the same size plot of land in the rear, the possibility of a 2nd floor, it also has three-phase electricity.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/18364644
Retail Space,Stone,90 sq.m.,Available,Not available,First Line,Common from the Street,"Վերածննդի փողոց 8, Վանաձոր","$35,000",USD,"Newly built two-storey business area is for sale. There is a fireplace, tonir, three-phase electricity, water, two bathrooms, euro windows with bars. There is a showcase refrigerator, a coffee grinder and two gas stoves. It has a dry basement.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/17117552
Everything Else,Panels,300 sq.m.,,,,,"Պռոշյան փողոց 18, Ստեփանավան","11,900,000 ֏",AMD,Livestock for sale. Newly built. There are all utilities. It can also be used for other purposesCall for details. Also exchange with residential house.Translated from Armenian,Nov-24-2022_22-01,,https://list.am/en/item/17096050
Agricultural Space,Stone,50 sq.m.,,,,,Lorri › Shahumyan,"$5,000",USD,"Cattle farm (50 sq. M) with plot (2000 sq. M) for sale urgently. The building is made of stone, the roof is metal.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/18067559
Retail Space,Stone,78 sq.m.,,,,,"Աբովյան փողոց 1, Վանաձոր","$18,800",USD,"Աբովյան փողոցում, պոչտայի հարևանությամբ վաճառվում է սեփական խանութ: Խանութում առկա է նաև եռաֆազ էլեկտրականություն: Զանգահարեն ռեալ գնորդները",Nov-24-2022_22-01,,https://list.am/en/item/13490296
Retail Space,Stone,58 sq.m.,,,,,"Tigran Mets Avenue 10, Vanadzor","$100,000",USD,"Առեվտրային տարացք, 58ք. Մ. (1-ին հարկ 34, կիսանկուղային հարկ 24 ք. Մ.) Տիգրան-Մեծ շենք 10, տար 41, 1-ին գիծ, մուտքը փողոցից (Բարձորակ վերանորոգում) : Վերանորոգված, անվտանգության համակարգ, ջեռուցվող հատակներ, սանհանգույց:Commercial property, 58 sq. M. (1st floor 34, semi-basement floor 24 square meters) Tigran-Mets building 10, year 41, 1st line, entrance from the street (High-quality renovation) Renovated, security system, heated floors, bathroom.Магазин первая линия Тигран-Мец 10/41 полностью отремонтирован - теплый пол, котел Ferroli, пол пресгранит, евроокна и дверь, дверь в подъезд метал. , сигнализация, бак воды, туалет с мойкой, общая площадь 58 м. Ка. (первый этаж 34, подвальный этаж 24)",Nov-24-2022_22-01,,https://list.am/en/item/18069931
Retail Space,Stone,140 sq.m.,,,,,"Tigran Mets Avenue 69, Vanadzor","$150,000",USD,"Առեվտրային տարացք, 140 ք. Մ. (1-ին հարկ 72, կիսանկուղային հարկ 68 ք. Մ.) Տիգրան-Մեծ շենք 67, տար. 20, 2-րդ գիծ, Տաշիր պիցայի ետևը (Բարձորակ վերանորոգում) :Коммерческая площадь Тигран Мец 67/20 - 140 м. Кв. (первый этаж 72 м. Кв. И подвальный этаж 68 м. Кв.) - качественный ремонт (удобно под клинику, офис, салон красоты итд), хороший ремонт (пресгранит, батареи, теплый пол, котел Baxi, сигнализация, двери МММ, дверь в подъезд метал, металлогалогенные лампочки, вентиляционные трубы по всей площади, баки воды 2 шт. По 500л.)Commercial area Tigran Mets 67/20 - 140 sq. M. (first floor 72 sq. M. And basement floor 68 sq. M.) - high-quality repair (convenient for a clinic, office, beauty salon, etc.), good repair (presgranit, batteries, underfloor heating, Baxi boiler, alarm, MMM doors, the door to the entrance was metal, metal halide bulbs, ventilation pipes throughout the area, water tanks 2 pcs. , 500 liters each)",Nov-24-2022_22-01,,https://list.am/en/item/18066568
Automotive Service,Stone,50 sq.m.,,,,,"Narekaci street, Vanadzor","$25,000",USD,"Ավտոլվացման կետը գտնվում է հին եկեղեցու ետնաբակում, երրորդ մասի ճանապարհին։",Nov-24-2022_22-01,,https://list.am/en/item/12792165
Retail Space,Stone,32 sq.m.,,,,,"Narekaci street, Vanadzor","$23,000",USD,"There was a grocery store. It is suitable for any kind of operation of a shop or trade, it has a bathroom, permanent water.It is located in the 3rd part, in the beginning. 32 sq. M. It is for rent. Exchange with a house (in the central part of the city) is possible.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/14462231
Multifunctional Space,Stone,3500 sq.m.,,,,,Lorri › Gyulagarak,"$80,000",USD,"Former bread production area is for sale. It is located in Gyulagarag village, it is 3500 square meters. It is very convenient for starting a hotel business. It will be excellent for creating a recreation area.The area is very close to the beautiful forests, as it is close to the famous Dendropark.All the utilities are available.The price is negotiable.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/16846197
Building,Stone,204 sq.m.,Not available,Not available,First Line,Separate from the Street,Lorri › Gyulagarak,"$8,998",USD,"A residential plot of land with its building is for sale at No. 20, 2nd Street, Amrakit Village, Gyulagarak Community, Lori Marz, RA.The area of the land is 566 square meters.The area of the building is 204.5 square meters.The walls of the building are raw stone.Base: Concrete, stone.The roof, windows and floor are missing.Also exchange by Us or You for an additional fee.In case of exchange, the price is AMD 4,800,000Write, we will answer quickly+ + + See all our announcements + + +Translated from Armenian",Nov-24-2022_22-01,OUtdoor parking,https://list.am/en/item/17762957
Retail Space,Stone,14 sq.m.,Not available,Not available,First Line,Separate from the Street,Lorri › Alaverdi,"4,000,000 ֏",AMD,"Commercial space for sale or rent in the central part of Alaverdi city, in Evoyan 22\2 (next to Haypech iron bridge) district. The area is suitable for any activity. There are utilities in the area (with legal documents) : Water, electricity. It has a certificate of ownership, it is tiled.The area is 11 square meters (Total 14 square meters)Exchange with a car with automatic transmission.Translated from Armenian",Nov-24-2022_22-01,OUtdoor parking,https://list.am/en/item/17761421
