Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Parking,Amenities,Appliances,Window Views,The House Has,Links
Panels,No,Not available,5,60 sq.m.,2,1,from 2.75 m,4,Open balcony,Available,Major Renovation,3,No,No,Included,1 month,Ararat › Artashat,"150,000 ֏ monthly",AMD,"Right in the center of ArtashatNewly renovated unoccupiedCall for all other questionsFor normal people, the price is not finalTranslated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/18364346
Stone,No,Not available,5,41 sq.m.,2,1,from 2.7 m,5,Open balcony,,Major Renovation,8+,Yes,Yes,Not included,1 month,Ararat › Artashat,"20,000 ֏ daily",AMD,Call the indicated numbers for details.700USD per monthTranslated from Armenian,Nov-24-2022_17-52,,,,,,https://list.am/en/item/13282916
Stone,No,Not available,5,82 sq.m.,3,1,from 2.8 m,5,Open balcony,,Old Renovation,,,,,,Ararat › Artashat,"90,000 ֏ monthly",AMD,The house has utilities: Hot and cold water is gasified.Translated from Armenian,Nov-24-2022_17-52,,,,,,https://list.am/en/item/18232803
Stone,No,Not available,5,86 sq.m.,3,2,from 3 m,1,Not available,Available,Euro Renovation,6,Yes,Yes,Not included,By Agreement,"August 23 street 23, Artaxata (Artashat)","$1,000 monthly",USD,"Сдается 3-комнатная квартира с евро ремонтом в Арташате. Есть все коммуникации, Мебель, бытовая техника, Baxi, Кондиционер3-room Euro-renovated apartment is for rent in Artashat. Has all the utilities, Furniture, appliances, Baxi, Air conditionerԿոդ N111",Nov-24-2022_17-52,"OUtdoor parking, garage","TElevision, air conditioner, internet, parking space","FRidge, stove, washing machine, water heater","YArd view, street view, city view, view of ararat",PLayground,https://list.am/en/item/17459378
Stone,No,Not available,5,44 sq.m.,2,1,from 3 m,5,Open balcony,Available,Euro Renovation,4,Yes,Yes,Not included,By Agreement,"Շահումյանի փողոց 14, Արտաշատ","220,000 ֏ monthly",AMD,"Ежемесячная плата, ежедневная плата,2-комнатная квартира с евро ремонтом в Арташате. Все коммуникации в наличии, мебель, техника, посуда, постель, кондиционер, есть открытый балкон, рассчитан на 4 человека.Օրավարձով և ամսավճարով է տրվում 2 սենյականոց եվրովերանորոգված բնակարան Արտաշատ քաղաքում։ Առկա է կոմունալ բոլոր հարմարությունները, կահույք, տեխնիկա, սպասք, անկողին, օդորակիչ, ունի բաց պատշգամբ, նախատեսված է 4 հոգու համարԿոդ Nkg83",Nov-24-2022_17-52,,"TElevision, air conditioner, internet, parking space","FRidge, stove, washing machine, water heater, iron","STreet view, view of ararat",,https://list.am/en/item/17494634
Stone,No,Not available,2,55 sq.m.,2,1,from 2.8 m,1,Closed balcony,Available,Euro Renovation,4,No,No,Not included,2 weeks,Ararat › Artashat,"100,000 ֏ monthly",AMD,"3 2-room apartments are for rent, fully furnished with all communal facilities. He is also on a daily rent of 9000 AMDTranslated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/16746210
Stone,Yes,Not available,4,64 sq.m.,3,1,from 3 m,2,Not available,Available,Major Renovation,2,Yes,No,Not included,By Agreement,Ararat › Masis,"350,000 ֏ monthly",AMD,"A 3-room apartment is for rent in the city of Masis on the 2nd floor of a 4-story building (residential ground floor)The apartment is lined with two floors of stone, due to which it is warm in winter and cool in summer.Has all utilitiesThe pipes and wiring have been replaced, the floor has been completely replaced, the apartment is sunny and bright.The windows are of European production, the heating system is fondital, the bedroom and kitchen furniture are new. Used since August 2020.There are many shops nearby.A school, a bus stop and a kindergarten, as well as a newly reopened development center for children, a beauty salon and an entertainment center on the first floor of the building.Translated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/18229351
Panels,No,Not available,5,62 sq.m.,2,1,from 2.8 m,5,Closed balcony,Available,Old Renovation,4,Yes,No,Not included,1 month,"Ծովակալ Իսակովի փողոց 83, Արտաշատ","100,000 ֏ monthly",AMD,"2-room apartment for rent, old renovation, partial property. Call for more information. The apartment will be available on December 1.Translated from Armenian",Nov-24-2022_17-52,,,,,,https://list.am/en/item/18338062
Stone,Yes,Not available,2,54 sq.m.,2,1,from 2.75 m,2,Open balcony,Available,Major Renovation,1,Yes,Yes,Included,Without prepayment,Ararat › Geghanist,"8,000 ֏ daily",AMD,Newly renovated new furniture on the second floor of the house with different entrancesTranslated from Armenian,Nov-24-2022_17-52,,,,,,https://list.am/en/item/17892910
Stone,No,Not available,5,69 sq.m.,2,1,from 2.7 m,4,Open balcony,Available,Partial Renovation,6,Yes,Yes,By Agreement,By Agreement,Ararat › Masis,"160,000 ֏ monthly",AMD,"2սենյականոց բնակարան գույքի հետ միասին։Քաղաքի հենց կենտրենում։Կանգառին մոտ։Մոտակայքում կան բոլոր անհրաժեշտ խանութները։Եվրոպատուհաններ, ունի բացօդյա բալկոն, որտեղից այգու և եկեղեցու հաճելի տեսարան է բացվում։Նոր վերանորոգված։Տրվում է կահույքով և տեխնիկայով։Առկա է Wi Fi, տանից երևում է հիանալի Մասիս սարի տեսարան։",Dec-15-2022_21-10,,,,,,https://list.am/en/item/18364030
Panels,No,Not available,5,72 sq.m.,3,1,from 2.75 m,2,Open balcony,Available,Major Renovation,8+,Yes,No,Included,2 months,"Իսակովի Փողոց, Արտաշատ","170,000 ֏ monthly",AMD,"3-room apartment for rent, Artashati Isakov, 13th floor, 2nd floor, 13th building. The apartment has constant hot and cold water; water yard; cab heating system; It has a balcony. The price is 170 thousand drams...Translated from Armenian",Dec-15-2022_21-10,,Television,"Washing machine, water Heater",Street view,,https://list.am/en/item/18676652
Stone,No,Not available,5,65 sq.m.,2,2,from 2.8 m,3,Open balcony,Available,Euro Renovation,2,Negotiable,No,Not included,1 month,Ararat › Masis,"200,000 ֏ monthly",AMD,Сдается в аренду квартираВ квартире есть все коммунальные услугиудобства:* Система отопления* Газовая плита* Телевизор* Холодильник* Автоматическая стиральная машина* Долгосрочная арендадепозит за 1 месяцЗвоните для более подробной информации:Apartment for rentThe apartment has all utilities amenities:* Heating system* Gas stove* TV* Refrigerator* Automatic washing machine* Long-term rentaldeposit for 1 monthCall for more information:Տրվում է վարձով բնակարանԲնակարանում առկա են կոմունալ բոլոր հարմարությունները`• Ջեռուցման համակարգ• Գազօջախ• Հեռուստացույց• Սառնարան• Ավտոմատ լվացքի մեքենա• Երկարաժամկետ վարձակալության դեպքում 1 ամսվա դեպոզիտՄանրամասների համար զանգահարել`:,Dec-15-2022_21-10,Outdoor parking,"Television, air conditioner, internet, parking space","Fridge, stove, coffee maker, washing machine, water Heater, iron","Yard view, street view, park view, view of Ararat",Playground,https://list.am/en/item/18722734
Stone,No,Not available,5,65 sq.m.,3,2,from 2.7 m,5,Open balcony,Available,Old Renovation,4,Yes,Negotiable,Not included,2 months,"Մխիթար Հերացու 6-րդ նրբանցք, Մասիս","150,000 ֏ monthly",AMD,"Provided with gas, electricity and waterThe house has a sofa, a table, a chair, a tie, a sewing machine, hot and cold water, a refrigerator...Call for detailsTranslated from Armenian",Dec-15-2022_21-10,,,,,,https://list.am/en/item/18364785
Stone,Yes,Not available,5,65 sq.m.,3,1,from 2.8 m,2,Open balcony,Available,Euro Renovation,2,Negotiable,No,Not included,2 months,Ararat › Masis,"250,000 ֏ monthly",AMD,Сдается в аренду квартираВ квартире есть все коммунальные услугиудобства:* Система отопления* Газовая плита* Телевизор* Холодильник* Автоматическая стиральная машина* Долгосрочная арендадепозит за 1 месяцЗвоните для более подробной информации:Apartment for rentThe apartment has all utilities amenities:* Heating system* Gas stove* TV* Refrigerator* Automatic washing machine* Long-term rentaldeposit for 1 monthCall for more information:Տրվում է վարձով բնակարանԲնակարանում առկա են կոմունալ բոլոր հարմարությունները`• Ջեռուցման համակարգ• Գազօջախ• Հեռուստացույց• Սառնարան• Ավտոմատ լվացքի մեքենա• Երկարաժամկետ վարձակալության դեպքում 1 ամսվա դեպոզիտՄանրամասների համար զանգահարել`:,Dec-15-2022_21-10,Outdoor parking,"Television, air conditioner, internet, parking space","Fridge, stove, washing machine, water Heater","Yard view, street view",,https://list.am/en/item/18687551
Stone,Yes,Not available,5,80 sq.m.,3,1,from 2.8 m,3,Open balcony,Available,Euro Renovation,2,Negotiable,No,Not included,2 months,Ararat › Masis,"250,000 ֏ monthly",AMD,Сдается в аренду квартираВ квартире есть все коммунальные услугиудобства:* Система отопления* Газовая плита* Телевизор* Холодильник* Автоматическая стиральная машина* Долгосрочная арендадепозит за 1 месяцЗвоните для более подробной информации:Apartment for rentThe apartment has all utilities amenities:* Heating system* Gas stove* TV* Refrigerator* Automatic washing machine* Long-term rentaldeposit for 1 monthCall for more information:Տրվում է վարձով բնակարանԲնակարանում առկա են կոմունալ բոլոր հարմարությունները`• Ջեռուցման համակարգ• Գազօջախ• Հեռուստացույց• Սառնարան• Ավտոմատ լվացքի մեքենա• Երկարաժամկետ վարձակալության դեպքում 1 ամսվա դեպոզիտՄանրամասների համար զանգահարել`:,Dec-15-2022_21-10,Outdoor parking,"Television, air conditioner, internet, parking space","Fridge, stove, washing machine, water Heater",,,https://list.am/en/item/18687567
Stone,Yes,Not available,2,42 sq.m.,2,1,from 2.7 m,1,Open balcony,Available,Major Renovation,3,No,Yes,By Agreement,By Agreement,Ararat › Geghanist,"130,000 ֏ monthly",AMD,"Private house zero kanna, sunny side; warm and clean house, new house, new kitchen and bedroom furniture. Heating with baxi system, very warm houseTranslated from Armenian",Dec-15-2022_21-10,Outdoor parking,Internet,"Fridge, washing machine","Yard view, view of Ararat",Playground,https://list.am/en/item/18701543
Panels,No,Not available,5,43 sq.m.,1,1,from 3 m,3,Closed balcony,Available,Old Renovation,6,Yes,Negotiable,Not included,By Agreement,Ararat › Masis,"80,000 ֏ monthly",AMD,One bedroom apartment with niche in MasisTranslated from Armenian,Dec-15-2022_21-10,Outdoor parking,,,"Yard view, street view",Playground,https://list.am/en/item/18669568
Stone,No,Not available,5,75 sq.m.,3,1,from 2.8 m,4,Open balcony,Available,Major Renovation,4,Yes,No,Not included,By Agreement,"Երևանյան փողոց 1, Արտաշատ","180,000 ֏ monthly",AMD,Apartment for rent in Artashat. The apartment is provided with all utilities. For more information callTranslated from Armenian,Dec-15-2022_21-10,,,,,,https://list.am/en/item/18699757
Stone,No,Not available,5,72 sq.m.,2,1,from 2.8 m,4,Open balcony,Available,Cosmetic Renovation,6,Yes,Yes,By Agreement,By Agreement,Ararat › Masis,"160,000 ֏ monthly",AMD,"URGENT 2-room apartment with property. In the very center of the city. Near the station. There are all the necessary shops nearby. European windows, has an open-air balcony with a pleasant view of the garden and the church. Newly renovated. Furnished with furniture and appliances. Wi-Fi is available from the house. There is a wonderful view of Mount Masis.Translated from Armenian",Dec-15-2022_21-10,,,,,,https://list.am/en/item/18205439
Stone,Yes,Not available,5,65 sq.m.,3,1,from 2.8 m,1,Not available,Available,Euro Renovation,6,Yes,No,Not included,By Agreement,"3-րդ թաղամաս 20, Մասիս","150,000 ֏ monthly",AMD,"The apartment is completely new, it is in perfect condition, it has not been inhabited.Internet connection is also available.Translated from Armenian",Dec-15-2022_21-10,,,,,,https://list.am/en/item/18382736
Stone,Yes,Not available,2,50 sq.m.,2,1,from 2.8 m,2,Closed balcony,Available,Designer Renovation,3,Yes,Yes,Not included,1 month,"Dprocakanner street, Masis","120,000 ֏ monthly",AMD,Званить по случи вапросов по указенному номеру,Dec-15-2022_21-10,Outdoor parking,"Television, air conditioner, internet, parking space","Fridge, stove, washing machine",Street view,,https://list.am/en/item/18695263
Stone,No,Not available,3,41 sq.m.,1,1,from 2.75 m,3,Open balcony,Not available,Partial Renovation,2,Yes,No,By Agreement,By Agreement,"Улица Араратян 36, Веди","60,000 ֏ monthly",AMD,"Վարձով է տրվում բնակարան Վեդի քաղաքում /Արարատի մարզ/. Բնակարանը գտնվում է եռահարկ քարե շենքի երրորդ հարկում, ունի ընդարձակ բաց պատշգամբ՝ արևկող, ունի ներքին մասնակի հարդարում, սանհանգույց, ջուր, հոսանք։ Վարձով է տրվում առանց կահույքի։Сдается в аренду квартира в городе Веди /АР, Араратская область/. Квартира расположена на третьем этаже трехэтажного каменного дома, имеет открытый просторный балкон: Солнечная, имеется внутренняя частичняя отделка, санузел, вода, электричество. Сдается без мебели.",Dec-15-2022_21-10,,,,,,https://list.am/en/item/18575614
Panels,No,Not available,5,80 sq.m.,2,1,from 2.8 m,1,Closed balcony,By agreement,Euro Renovation,8+,Yes,No,Not included,By Agreement,"Isakov street, Artaxata (Artashat)","250,000 ֏ monthly",AMD,"A 2-room, bright, sunny apartment is for rent in Artashat city, on Isakov street, newly renovated, provided with natural gas, hot and cold spring water, and light.Translated from Armenian",Dec-15-2022_21-10,,,,,,https://list.am/en/item/18428581
Stone,No,Available,4,47 sq.m.,2,1,from 2.7 m,1,Closed balcony,Available,Major Renovation,4,Yes,No,Included,By Agreement,Ararat › Artashat,"15,000 ֏ daily",AMD,"Մարրքսի 7 հասցեում վարձով է տրվում 2 սենկանոց բնակարան, կոմունալ բոլոր հարմարություններով տրամադրվումե լոգասենյակի պարագաներ ե սպիտակեղեն, գույքի, սպասքի, տեխնիկայի հետ միասին, ջեռուցման համակարգ, ամբողջ հատակը տաքացվող մեծ սանհանգույց, Լվացքի մեքենա, smart հեռուստացույց, օթօրակիչ, միկռո ալիքային վառարան, սառնարան, կաթսա, տաք սառը ջուր, բաք տրվում է 5 օր եվ ավելի ժամկետով 1 օրվա համար չզանգել the address marrks 7, a one-bedroom apartment with all communal amenities is for rent, along with real estate, dishes, appliances, heating system, a large bathroom with underfloor heating, washing machine, smart TV, house, microwave oven, refrigerator, stove, hot cold water, По адресу марркс 7 сдается в аренду двухкомнатная квартира со всеми коммунальными удобствами, вместе с недвижимостью, посудой, техникой, системой отопления, большой санузел с подогревом всего пола, стиральная машина, smart TV, домик, микроволновая печь, холодильник, плита, горячая холодная вода, бакTranslated from Armenian",Dec-15-2022_21-10,,,"Fridge, stove, microwave, coffee maker, washing machine, water Heater, iron, hair dryer",,,https://list.am/en/item/18408785
Stone,No,Not available,3,40 sq.m.,2,1,from 2.7 m,2,Open balcony,Available,Major Renovation,4,Yes,No,Not included,2 months,"Օգոստոսի, Արտաշատ","180,000 ֏ monthly",AMD,"A fully renovated 2-room apartment is for rent in the center of Artashat city. The apartment is rented with furniture and appliances. The apartment also has an air conditioner. Those who want real estate should call. The apartment is currently occupied, it will be available from January 24.Translated from Armenian",Dec-15-2022_21-10,,,,,,https://list.am/en/item/18455244
Stone,No,Not available,5,82 sq.m.,3,2,from 2.75 m,1,Closed balcony,Partial Furniture,Old Renovation,6,Yes,Yes,Not included,By Agreement,Ararat › Ararat,"40,000 ֏ monthly",AMD,"The apartment is located in Zod, Ararat, near the military unit.Translated from Armenian",Dec-15-2022_21-10,Covered parking,Parking space,,"Yard view, street view",Playground,https://list.am/en/item/18693006
Monolith,Yes,Not available,5,80 sq.m.,3,1,from 3.2 m,4,Not available,Available,Major Renovation,5,Yes,No,Not included,1 month,"Մխիթար Հերացու փողոց 9/12, Մասիս","250,000 ֏ monthly",AMD,"The house is located in a newly built building, in the central part of Masis, close to the kindergarten, schools. There are shops nearby, there are all the necessary conditions for living. The house will be available in the last days of December.Translated from Armenian",Dec-15-2022_21-10,Covered parking,"Television, internet, parking space","Fridge, stove, washing machine, water Heater","Yard view, street view, city view, view of Ararat",,https://list.am/en/item/18697926
Stone,No,Not available,5,65 sq.m.,2,1,from 2.8 m,5,Closed balcony,Available,Partial Renovation,3,Yes,Yes,Not included,1 month,"Գործարանային փողոց 43, Մասիս","130,000 ֏ monthly",AMD,"An apartment in the city of Masis is for rent, furnished with all utilities, negotiableTranslated from Armenian",Dec-15-2022_21-10,,Television,"Stove, washing machine",Yard view,,https://list.am/en/item/18436118
Panels,No,Not available,5,60 sq.m.,3,1,from 3 m,1,Not available,Available,Major Renovation,4,Negotiable,No,Not included,3 months,"Admiral Isakov Street, Artashat","250,000 ֏ monthly",AMD,"Newly renovated, for rent with property and long termTranslated from Armenian",Dec-15-2022_21-10,,,,,,https://list.am/en/item/18714383
Stone,Yes,Not available,1,49 sq.m.,1,1,from 2.5 m,1,Closed balcony,Available,Euro Renovation,2,Yes,No,Included,By Agreement,Ararat › Artashat,"80,000 ֏ monthly",AMD,Newly renovatedTranslated from Armenian,Dec-15-2022_21-10,,,,,,https://list.am/en/item/17971609
Panels,No,Not available,5,54 sq.m.,3,1,from 2.7 m,5,Closed balcony,Not available,Partial Renovation,4,Negotiable,No,Included,1 month,"Նոր թաղամաս 27, Մասիս","90,000 ֏ monthly",AMD,"Տրվում է 2֊3 դարձրաց բնակարան 5րդ հարկում Մասիս քաղաքում։Բնակարանը գտնվում է լավ վիճակում առկա է ջուր և լույս (գազ և ապրանք չկա) ։2-3 переустроенная квартира на 5 этаже в городе Масис. Квартира в хорошем состоянии, есть вода и электричество (газ и товары нету)",Dec-15-2022_21-10,Outdoor parking,Parking space,,Yard view,,https://list.am/en/item/18674921
Stone,No,Not available,5,76 sq.m.,3,1,from 2.8 m,4,Open balcony,Partial Furniture,Old Renovation,6,Yes,No,Not included,3 months,"Улица Грачья Товмасяна, Арташат","100,000 ֏ monthly",AMD,A 3-room apartment in the center with its own garage is for sale.Please call after 18:00.Translated from Armenian,Dec-15-2022_21-10,Garage,"Internet, parking space",,Yard view,Playground,https://list.am/en/item/18712056
Stone,Yes,Not available,3,570 sq.m.,8+,3+,from 3 m,3,Open balcony,Available,Designer Renovation,8+,Yes,Yes,Not included,1 month,"Kentronakan 4th Street, Argavand","$3,500 monthly",USD,"Внимание:! Красивый частный дом в Аргаванде сдается на длительный срок с 14 ноября. В особняке все сделано со вкусом, главное с любовью, хорошая аура, главное хозяева замечательные люди, которые всегда придут на помощь в любом вопросе.В доме могут жить даже две семьи. Домашние животные разрешены только (маленькие собаки) Небольшой сад с бассейном, где расположены красивые искусственные (пальмы) деревья, Двор имеет 40 квадратных метров (бисетка), 100 квадратных метров парковочного места, 20 квадратных метров (catelni), барбекю.В квартире на 1 этаже 1 гостиная, кухня, 1 комната, 1 санузел, отдельное подсобное помещение, холл, большой балкон. Квартира полностью отремонтирована, отапливается системой отопления (Католов) зимой, теплым паркетом и летом (калонка) В доме есть кондиционер, посудомойка, микроволновая печь. Вся кухонная утварь (посуда и белье) останется. Предоставляется для использования. Есть пылесос, сушилка и гладильная доска. В доме очень жарко, стены толстые. 2-й этаж особняка состоит из 5 комнат, отдельной (джакузи) игровой комнаты, ванной комнаты, интернета и кабельного телевидения. Дом расположен недалеко от автобусной остановки, до центра можно добраться за 20 минут на машине. Красивый зеленый сад, поверьте, гораздо лучше, чем на фото. Спальни видны на видео: Сдается 3-х этажный частный дом в Аргаванде посуточно (только двор)Бассейн (с фильтром)Буфет на 30-35 человекГриль, тостер. Комната 1 настольный теннис-WI-FI. 9:00-23:00Я могу отправить видео о доме и саду реальным клиентам. Свяжитесь со мной для получения подробной информации по указанным контактам: Мы с удовольствием ответим On Time Realty-Real Estate Agency։",Dec-15-2022_21-10,,,,,,https://list.am/en/item/18498481
Panels,No,Not available,5,75 sq.m.,3,1,from 2.8 m,5,Open balcony,Not available,Partial Renovation,1,Yes,No,Not included,2 months,"Araz street 9, Artaxata (Artashat)","90,000 ֏ monthly",AMD,"It has all utilities, it is for long-term rent, without property and equipment, it is close to the market, Armenian church, school and kindergarten.Price: NON-NEGOTIABLETranslated from Armenian",Dec-15-2022_21-10,Outdoor parking,Parking space,,Yard view,Playground,https://list.am/en/item/18665340
