Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Facilities,Service Lines,Appliances,Links
House,Stone,650 sq.m.,2,4,1,Available,1 spot,Cosmetic Renovation,530 sq.m.,Armavir › Ptghunk,"$80,000",USD,"A 4-room two-story private house is for sale in the village of Ptghunk, Armavir region (7 km from Yerevan, 6 km from Etchmiatsin) The total area is 650 square meters, of which 120 square meters are residential/both floors together. The front door of the house is iron, it has water, electricity, gas is near the house, electric wires and water pipes have been changed, the floor is laminate, the windows and interior doors are of European manufacture, the house is built with two-layer stone. It has a garden with fruit trees. The house is fully renovated except for the 2nd floor, fenced. The price is negotiable, exchange is possible.For details, call the indicated numbers.Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/18097621
Country House,Stone,3000 sq.m.,1,5,2,,,Major Renovation,3000 sq.m.,Armavir › Aygek,"$120,000",USD,"Summer house for sale in Aygek village, Armavir marz.The house is completely renovated, with a land area of 3000 square meters.130 square meter residential building, also has a 100 square meter basement.Gas/light/water, individual heating system BAXI.The house has an open terrace, an orchard and beautiful nature.Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/18132748
House,Stone,200 sq.m.,1,6,1,Not available,3 or more spots,Partial Renovation,1000 sq.m.,Armavir › Haykavan,"$30,000",USD,"The house is one story, but the foundation is designed for 2 stories, there are cherry fruit trees on the plot/ the whole land/, the building is built with red cut stone.Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/18172302
House,Stone,363 sq.m.,2,7,1,Available,1 spot,Partial Renovation,,Armavir › Echmiadzin,"22,000,000 ֏",AMD,"Или на Рубли - 3000000 (руб.)ЦЕНА ПО ДОГОВОРЁННОСТИ МОЖНО ОБСУДИТЬ НА МЕСТЕ ОСМОТРА ДОМА.Էջմիածնի խորոնք (լենուղի) գյուղում.Продаётся дом 363кв. Метров. 17 соток на территория дома, на втором этаже 5 комнат, на первом этаже 2 комнаты.Все необходимые удобства есть. Дом находится Эчмиадзинский район Село (ЛЕНУГИ) Хоронк, улица Терян 4.В доме проведена питьевая вода артезианская.Можете писать вк https:///ruben04телеграмм отвечу в любое время. https://t.me/RubFyx88Звоните на Viber.WhatsAppМожете сюда тоже писать: Instagram https://www./r.u.b.e.n.1.8Почта: rgjks88@gmail.com",Nov-24-2022_23-36,,,,https://list.am/en/item/15803707
House,Stone,154 sq.m.,1,4,1,Not available,Not available,No Renovation,600 sq.m.,Armavir › Armavir,"$8,500",USD,"A half-built apartment is for sale in the 109 district of Armavir city. The building is 154 square meters, the total area is 600 square meters, it also has drinking water.Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/11553456
Country House,Stone,166 sq.m.,2,5,2,Available,1 spot,Old Renovation,2200 sq.m.,Armavir › Yeghegnut,"$75,000",USD,"Summer house in Yeghegnut village of Armavir marz is urgently for sale.37 km from Yerevan, 4 km from Margara highway.Has all utilities, own water, gas, internet, wine cellar, vineyard and fruit trees.Suitable for setting up your own small farm and winery.Price is negotiableTranslated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/17913303
House,Stone,120 sq.m.,1,2,1,Available,Not available,No Renovation,,"Komitas street 17, Parakar","$40,000",USD,"The house is provided with three-phase electricity, water, fruit trees of apricot, peach, cherry, popok and dambul are planted in the space from the floor, the area is currently used as a furniture factory, there are animal and bird nests in the house, for questions, call a little negotiable, very urgent.Slightly negotiableTranslated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/17236779
Country House,Stone,50 sq.m.,1,2,1,Not available,Not available,Partial Renovation,500 sq.m.,Armavir › Metsamor,"$16,000",USD,"Summer house for sale, 500 square meters, plot next to the house, 51 square meters, building, no bathroom, full of fruit trees. No problem with the paperwork, owner. Will trade for car at extra charge from youTranslated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/16425899
House,Stone,100 sq.m.,1,4,1,Available,Not available,Partial Renovation,2700 sq.m.,Armavir › Armavir,"$45,000",USD,"The house is located in the village of Vardanashen, Armavir region, 35 km from Yerevan. The total land is 2700 meters, the greenhouse is 500 meters. There are fruit trees. Exchange in Yerevan or nearby area. Partial payment is possible.Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/11628986
House,Stone,290 sq.m.,2,5,2,By agreement,1 spot,No Renovation,600 sq.m.,"Հովհաննես Թումանյանի փողոց, Փարաքար","$152,000",USD,"In Armavir region, in one of the quietest parts of Parakar, a newly built beautiful private house is for sale.• The house consists of 2 floors.On the first floor there is a living room, 1 bedroom, kitchen, bathroom.On the 2nd floor: 3 bedrooms, laundry room and bathroom.• The interior walls of the mansion are plastered, the floors are leveled.• Installation of power lines and pipes is done.• European windows are installed, there is a stained-glass window in the living room, from which a view of the yard and the pool opens.• All communications are available: Gas, water, electricity.• The house is completely fenced, has a garage for 2 cars.• It will have a beautiful green yard with a swimming pool and a chat room.For other details, write or call the indicated numbers.The home is shown with a real estate showing contract.Service commission: 2% of the sale price.Code N001Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/18278394
House,Stone,106 sq.m.,1,4,1,Not available,3 or more spots,Partial Renovation,320 sq.m.,Armavir › Parakar,"$75,000",USD,"2 (separate) 1-storey detached houses for sale in Parakar, on Narekatsu Street, next to the road. The apartments do not have a common wall.The area of one private house is 106 square meters, the land area is 320 square meters.The house consists of 4 rooms, it is in zero condition. There is an iron entrance door, stained glass windows. The divisions of the rooms, assembly works have been completed. The ceiling height is 3.30 meters, there is a possibility to add 3 more floors.In case of questions related to the mansion, or to get acquainted with other properties, please call the indicated phone number.Code 8015Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/18202479
House,Stone,400 sq.m.,2,8+,1,Not available,1 spot,Partial Renovation,1500 sq.m.,Armavir › Echmiadzin,"$65,000",USD,"Վաճառվում է կամ տրվում է վարձովՏունը գտնվում է Էջմիածնի Շահումյան գյուղում, օդանավակայանից՝15 կմ և Երևանից՝20 կմ հեռավորության վրա: Ունի մշտական ջուր, գազ և կոմունալ բոլոր հարմարությունները:",Nov-24-2022_23-36,GAzebo,"ELectricity, water supply, natural gas, sewerage",,https://list.am/en/item/18223898
House,Stone,179 sq.m.,1,4,1,,,No Renovation,1000 sq.m.,"Հաղթանակի փողոց 24, Ամբերդ","$32,000",USD,Urgent sale of a private house with a large plot in Amberd village. There is a new greenhouse of 300 square meters in front of the house. The bakery has a large basement and two separate large buildings. There is gas for drinking and irrigation water and energy. Is at a distanceTranslated from Armenian,Nov-24-2022_23-36,,,,https://list.am/en/item/18356472
House,Monolith,100 sq.m.,1,4,1,,,Partial Renovation,350 sq.m.,Armavir › Parakar,"$70,000",USD,Продается собственный дом в Паракаре на улице Григор Лусаворич 52Дом будет достроен в ноябре 2022 годаДля подробной информации звоните по указанному номеру,Nov-24-2022_23-36,,,,https://list.am/en/item/18339950
House,Stone,160 sq.m.,1,4,2,Available,3 or more spots,Old Renovation,1300 sq.m.,"Mesrop Mashtots street, Vagharshapat","$21,000",USD,"Own house for sale VERY URGENTLY with its entire property in a village in Geghakert, Samaghar, M. The total area in MASHTOTS street is 1300 square meters, the living space is 160 square meters, it has fruitful trees, a vineyard, a large basement, a large balcony, a garage, a large shed, a bakery, a barn, a vegetable store, a storage well, drinking water, light, gas, it passes through the door. With surchargeTranslated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/17357477
House,Stone,230 sq.m.,2,6,3+,Not available,2 spots,No Renovation,,"Բարեկամության փողոց 22, Ոսկեհատ","20,000,000 ֏",AMD,"The house is located in the Voskehat district of Etchmiadzin.It has an orchard of about 1000 square metersThree-phase electricityArtesian water, drinking spring waterIt has a basementHas a stableTranslated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/18173927
House,Stone,130 sq.m.,1,4,2,Available,3 or more spots,Major Renovation,970 sq.m.,"Avetik Isahakyan Street 40, Ptghunk village","$130,000",USD,"One-storey house for sale in Ptghunk, Armavir region,20 meters away from the highway, the house was built in 2020, is provided with all the communal facilities (light, water, gas, baxi), individual sewerage, land area 970 square meters, house area 130 square meters. 3 bedrooms, 1 living room, a large bathroom, a kitchen, there is a 24 sq. M. Storage room and a bathroom outside, the house is for sale together with property and equipment, there is a security system, the area is fenced, there are fruit trees in the yard.Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/16413609
House,Stone,3000 sq.m.,2,8+,3+,,,Designer Renovation,500 sq.m.,Armavir › Echmiadzin,"$280,000",USD,"FOR SALE2-storey private house:3000/500 square metersAshtarak, Aygeshat village11 km away from the interstate road leading to Yerevan-Ashtarak is this mansion with this special charm, which consists of interconnected private houses, one of which is newly built. The house is for sale: It is for rent. The total area of the residential building is 500 square meters, each section is 250 square meters, and the area of the adjacent land is 3000 square meters. The 1st private house is newly built, consists of a spacious, beautifully lit living room, 2 bedrooms with 2 bathrooms, a kitchen with a spacious terrace of 150 square meters. It has a spacious parking lot for 15 cars. The 2nd private house has 2 floors, on the 1st floor there is a pub, a kitchen, 2 closets, 2 bathrooms, a parking lot for 2 cars, on the 2nd floor - a living room with 2 balconies, one facing the street, the other - yard, 3 bedrooms, kitchen and 2 bathrooms. It is heated with gas boiler, the floor of the 1st private house is heated. Air conditioners are installed. There is a terrace of 80 square meters with a barbecue grill and a relaxing environment. Each house has its own entrance. The yard is well-kept, has a green area, lawn, summer chat room, barbecue grill. There is an interesting light in the yard. All the rooms: Kitchens are nicely furnished with high quality and expensive furniture, equipped with the necessary appliances. There are wooden decors. The area is completely fenced. Here are all the conditions for organizing beautiful and unique celebrations. The house creates a wonderful atmosphere for special occasions, can accommodate up to 250 people.Price: 280,000Code ELIT543Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/16733863
House,Stone,400 sq.m.,1,4,1,Not available,Not available,Old Renovation,300 sq.m.,"Կոմիտասի փողոց 15Ա, Վաղարշապատ","$40,000",USD,Stone house for sale urgentlyOld repair400 square meters in total110 square meter houseIt has a basementKomitas 17AThe house is in the backCall for other questionsTranslated from Armenian,Nov-24-2022_23-36,,,,https://list.am/en/item/18048639
House,Stone,220 sq.m.,2,4,2,Available,2 spots,Partial Renovation,,Armavir › Armavir,"$90,000",USD,A two-story private house is for sale or rent in the city of Armavir. Call for details.Translated from Armenian,Nov-24-2022_23-36,,,,https://list.am/en/item/18074561
House,Stone,140 sq.m.,1,5,1,,,No Renovation,,Armavir › Tsiatsan,"$22,000",USD,Տունը ունի կոմունալ բոլոր հարմարությունները։ Ունի նկուղ և հողամաս։ Տունը գտնվում է նոռմալ վիճակում ։,Nov-24-2022_23-36,,,,https://list.am/en/item/16000946
House,Stone,85 sq.m.,1,4,1,By agreement,Not available,Partial Renovation,,"Մովսես Խորենացի փողոց 101, Վաղարշապատ","20,000,000 ֏",AMD,"I offer an apartment in Etchmiadzin 85 sq. M. Light water. Gas supply, Partially renovated, on the 1st floor of a 4-storey building, entrance from behind. Has a yard of 60 sq. M. Basement. 3 bedrooms. 1 living room. Kitchen. BathroomTranslated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/13993494
House,Stone,174 sq.m.,1,3,1,Not available,Not available,Partial Renovation,2460 sq.m.,Armavir › Merdzavan,"$46,000",USD,"The house is in a normal condition. It has a hall, a living room, 3 bedrooms. There is an incomplete basement under the house, there is a half-built building next to the house, it is very convenient for business. The house is provided with hot and cold water. It is gasified.Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/17245582
House,Stone,120 sq.m.,1,5,1,,,Cosmetic Renovation,600 sq.m.,"Улица Максима Горького 34, Армавир","$55,000",USD,"Продам просторный дом на центральной улице.Дом каменный с участком 6 соток, к дому пристроен гараж на две машины, над гаражем помещение свободного назначения (использовался как мебельный цех)Проведён газ, отопление от котла.Большое подвальное помещение, летняя веранда.В доме сделан косметический ремонт.Документы готовы для продажи, по всем вопросам пишите на WhatsApp или звоните.Для просмотра звоните заранее.",Nov-24-2022_23-36,,,,https://list.am/en/item/18278186
House,Stone,130 sq.m.,1,4,1,,,Old Renovation,500 sq.m.,Armavir › Dalarik,"$16,000",USD,"Urgent sale of a private house in the village of Dalarik, with all its amenities, the house is habitable, there are fruit trees, a large stone garage, a summer kitchen, a barn, a barn on the plot. (there is also a partially closed version)Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/17509299
House,Stone,125 sq.m.,1,5,2,Available,2 spots,Euro Renovation,700 sq.m.,Armavir › Echmiadzin,"$112,000",USD,"Продается дом в городе Эчмиадзин! Просторный, уютный, мебелированный. Развитая инфраструктура. Рядом церковь.Звоните по вотсапу, или пишите сообщение на московский номер.",Nov-24-2022_23-36,,,,https://list.am/en/item/17233193
House,Stone,90 sq.m.,1,4,1,,,Major Renovation,620 sq.m.,"Մուրացանի փողոց 20, Մուսալեռ","$79,000",USD,"Private house with its land, fruit trees for sale. It is close to the main street. There is a minibus. The area of the house is 90 square meters, living room, kitchen, bathroom and 3 bedrooms. The house is capitally renovated. The heating system is installed, there are communal facilities. Solar water heater. For details, please call real buyers.Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/16869778
House,Stone,1000 sq.m.,2,8+,3+,Not available,3 or more spots,No Renovation,,Armavir › Echmiadzin,"$24,500",USD,"In Aygeshat village, 25 km from Yerevan, on the central street. It has a three-phase well. 2 floors 1100 plots 220 main building. 95 house old building of 1800s. And 150 cellars. Exchange.Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/14433059
House,Stone,188 sq.m.,1,6,2,Not available,Not available,Partial Renovation,1000 sq.m.,Armavir › Merdzavan,"$138,000",USD,"European hotelsHeated floor (keramagranite)Suspended ceilingsThe bathroom is tiledFencedGas, electricity, waterExchange also with 3-4 room apartmentCode A531Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/18093378
House,Stone,150 sq.m.,1,4,2,Not available,1 spot,Major Renovation,750 sq.m.,"Կենտրոնական փողոց 24, Գեղանիստ","$165,000",USD,"Thoroughly reconstructed:Heating system, euro windows, metal doorKitchen furnitureMassage floorFruit treesFront line, two-way roadFence:It is also possible to build a house with your own design.Code A509Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/17376459
House,Stone,230 sq.m.,1,5,1,Not available,Not available,No Renovation,1000 sq.m.,Armavir › Echmiadzin,"$18,000",USD,It is located in Aygeshat village of EtchmiadzinSemi-detached buildingCode A528Translated from Armenian,Nov-24-2022_23-36,,,,https://list.am/en/item/18021647
House,Stone,192 sq.m.,1,4,1,,,No Renovation,1000 sq.m.,Armavir › Echmiadzin,"15,000,000 ֏",AMD,House for saleAddress K. In the village near EtchmiadzinResidential 192 sq. M. Land 1000 sq. M.Number of rooms 5 Has a garage Roof tinFire:Call for detailsCode H109Translated from Armenian,Nov-24-2022_23-36,,,,https://list.am/en/item/17893092
House,Stone,500 sq.m.,2,8+,1,,,No Renovation,,Armavir › Echmiadzin,"$65,000",USD,Կոդ T89Վաճառվում է երկու հարկանի առանձնատուն Էջմիածնի երրորդ մաս կոչվող թաղամասում։Տունն ունի 8սենյակ։Մեծ ավտոտնակ:Հողամասը ՝600քմ ։Բնակելի ՝560քմ։,Nov-24-2022_23-36,,,,https://list.am/en/item/14205423
House,Stone,170 sq.m.,1,3,1,,,Euro Renovation,,Armavir › Echmiadzin,"$55,000",USD,"3-room, 2-storey private house is for sale on Echmiadzin V, Sargsyan (October) street.The living area is 166 square meters.The area of the land is 170 square meters.Utilities are available.The water is constant.There is a heating system.There is a large and closed garage.The roof is made of concrete and the roof is made of tin.The house is fully renovated.The location of the house is ideal for commercial purposes.Code A025Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/15499858
House,Stone,125 sq.m.,1,4,1,,,Old Renovation,2110 sq.m.,Armavir › Echmiadzin,"$51,000",USD,House for saleAddress K. In the village near EtchmiadzinArea 125 square metersLand 2110 square metersThe number of rooms is 5. It has a cattle farm. Greenhouse 1200 square metersHro:Call for detailsCode H034Translated from Armenian,Nov-24-2022_23-36,,,,https://list.am/en/item/13885529
House,Stone,60 sq.m.,1,3,1,,,Cosmetic Renovation,300 sq.m.,Armavir › Echmiadzin,"$47,000",USD,"Code A0983-room house for saleNear Etchmiadzin-Yerevan highwayFloor 1_1The area is 60 square meters, 300 residential plotsAshotFor more information callCode H119Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/14430609
House,Stone,300 sq.m.,2,5,2,,,Major Renovation,600 sq.m.,Armavir › Echmiadzin,"$135,000",USD,8 ROOMS FOR SALETWO HOUSE MansionIn the center of Etchmiadzin cityRENOVATEDArea 600Residential 300 square metersCANCER:Yard:Gas:WaterAshotCall for detailsCode E757Translated from Armenian,Nov-24-2022_23-36,,,,https://list.am/en/item/17060165
House,Stone,158 sq.m.,1,5,1,,,Euro Renovation,420 sq.m.,Armavir › Echmiadzin,"$75,000",USD,"Կոդ A0213ՎԱՃԱՌՎՈՒՄ Է 5 ՍԵՆՅԱԿԱՆՈՑ ՏՈՒՆԷջմիածին Քաղաքի կենտրոնումՀարկ 1_1Մակերեսը 158քմ բնակելի, 438քմ հողԱշոտՏունը ունի մշտական ջուր լույս, գազ ։Տունը վերանորոգվաց է ջրագից, կանալիզացա, փոխված, 15 մետր ճակատ, ավտոտնակ (դալան), ջրհոր, ծածքն բետոն ։Մանրամասների համար զանգահարել:",Nov-24-2022_23-36,,,,https://list.am/en/item/15073531
House,Stone,103 sq.m.,1,3,1,,,Partial Renovation,327 sq.m.,Armavir › Echmiadzin,"$60,000",USD,"4-ROOM HOUSE FOR SALEIn the center of EtchmiadzinFloor 1_1Area 102.8 residential, 327 square meters of landAshotHas a basementDalanFor more information call:Code A0451Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/16958860
House,Stone,96 sq.m.,1,4,1,,,Partial Renovation,390 sq.m.,Armavir › Echmiadzin,"$50,000",USD,House for sale in the city of EtchmiadzinThe area is 976 square meters of 396 residential landsFloor 1_1Number of rooms 4:AshotFor more information callCode A0412Translated from Armenian,Nov-24-2022_23-36,,,,https://list.am/en/item/14312988
House,Stone,142 sq.m.,1,3,1,Not available,3 or more spots,Partial Renovation,1000 sq.m.,Armavir › Echmiadzin,"$45,000",USD,"House for saleAddress K. In the village adjacent to EtchmiadzinArea 142 square metersLand 1000 square metersThe number of rooms is 4. Constant water, electricity, gas, also a deep well. It has a toaster. There is a garage.Call for details#Echmiadzin#land:#Vagharshapat#Real_Property:#House_for_saleCode H098Translated from Armenian",Nov-24-2022_23-36,,"ELectricity, natural gas, sewerage",,https://list.am/en/item/14396321
House,Stone,85 sq.m.,1,3,1,,,Euro Renovation,313 sq.m.,Armavir › Echmiadzin,"$45,500",USD,Code T467A 4-room house for sale near the Charents district of Echmiadzin.UtilitiesDalanBalconySummer kitchenThree-phase currentWater wellA gardenRailingsThe surfacePlot of land: 313Residential: 85 square metersCall TigranCode A034Translated from Armenian,Nov-24-2022_23-36,,,,https://list.am/en/item/14996222
House,Stone,156 sq.m.,1,4,1,,,Partial Renovation,1300 sq.m.,Armavir › Echmiadzin,"$120,000",USD,"Newly built house for saleAddress K. In the village near EtchmiadzinArea 155.3 square metersLand 1372 square metersNumber of rooms 4 Shop 33 square meters Greenhouse 900 square meters drip system Frontage 28.5 meters covered Garage 52.6 square meters The roof is tin, there is light. Water: Gas. Provided with utilitiesHro:Call for details#Echmiadzin#land:#greenhouse#Vagharshapat#Real_Property:#House_for_saleCode H137Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/17793246
House,Stone,200 sq.m.,1,5,1,Available,1 spot,Euro Renovation,1000 sq.m.,"Echmiatsin Highway, Khoronk","$45,000",USD,"For sale: Own house, Gas, Light, water, land, well, hot and cold water, on the road, you can install various things, exchange with the apartment. For other questions, you can callTranslated from Armenian",Nov-24-2022_23-36,,"ELectricity, water supply, natural gas, sewerage","FRidge, stove, washing machine",https://list.am/en/item/18224365
House,Stone,220 sq.m.,2,8+,1,Available,Not available,Partial Renovation,500 sq.m.,"Erevanyan street 4, Jrarat","$25,000",USD,"Urgent sale of a private house, Hrazdan village, Jrarat village, Maloshni village, the house has cold and hot drinking water, irrigation water and gas, sewerage, the entire two-story house has a basement. There are 2 additional buildings attached to the house, there is a school in the village about 2 minutes away from the house, there is a shop near the house, it is located in a very convenient location, very urgentTranslated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/18263806
House,Stone,70 sq.m.,1,3,1,Not available,Not available,Old Renovation,"10,000 sq.m.",Armavir › Aragats,"8,500,000 ֏",AMD,"Own house for sale, in Aragats village, Etchmiadzin region. It has 1000 square meters. M plot. Has gas, electricity.Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/18359677
House,Stone,208 sq.m.,1,5,1,Available,2 spots,Euro Renovation,450 sq.m.,"4th Street, Alaverdyan","$135,000",USD,"In the center of Etchmiadzin, on Alaverdyan Street, a private house with an 18-meter frontage is for sale. It is a very solid building, the roof is monolithic, the facade is made of tuff, the house has 2 garages, a spacious basement, a large balcony, a heating system, air conditioning, a well. The house is fenced with a stone fence.Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/17652756
House,Stone,154 sq.m.,2,4,2,,,No Renovation,680 sq.m.,Armavir › Parakar,"$85,000",USD,"Agency commission 2%Newly built two-story stone detached house for sale in Parakar. With a fenced 680 square meter plot of land, on which there is a newly built two-story detached house, the first floor is 154 square meters, and the second floor is approximately 80 square meters. The power line is brought, the water line is available and the gas line is attached. The windows are installed. Are euro. The roof is iron. 100 meters from the main highway. It has a 7.5 by 5.5 garage with a basement under its entire area.Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/18189636
House,Stone,180 sq.m.,2,6,2,,,Major Renovation,720 sq.m.,Armavir › Echmiadzin,"$135,000",USD,"Private house for sale, c. In the center of Etchmiadzin, near Gayane Church. It has 4 bedrooms, a living room, 2 kitchens, a bathroom, the front part of the house is 20 m. , the area is 720 square meters. , the area of the house is 180 square meters. The house is 2-storey, has all the communal facilities. Gas, hot and cold water, baxi and wood boiler. The whole house is covered with French stretch ceilings. Call for detailsTranslated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/17392219
House,Stone,330 sq.m.,2,5,3+,By agreement,3 or more spots,Major Renovation,610 sq.m.,"Մերձավանի խճուղի 1, Փարաքար","$180,000",USD,"A 330 square meter newly built two-storey detached house is for sale in Tairov, in the newly built Narekatsu district, the detached house is completely renovated, has a heating system, a large open and closed balcony, a basement under the whole house, a 60 square meter garage, a 250 square meter greenhouse with all its accessories is available on the land. The house is sold with all the property and equipment.Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/18323932
House,Stone,90 sq.m.,1,4,1,Available,1 spot,Euro Renovation,300 sq.m.,"Հովհաննես Թումանյանի փողոց 3/1, Փարաքար","$115,000",USD,"A newly built capital house with an area of 90 square meters is for sale in Parakar, very close to the main road, a newly built neighborhood, the house is completely renovated and uninhabited, an electric heating system is installed, it is sold with completely new (unused) main furniture and appliances. The house is completely fenced.Translated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/18323858
House,Stone,420 sq.m.,2,8+,2,,,Partial Renovation,2500 sq.m.,Armavir › Mrgashat,"$80,000",USD,"Private house for sale in 2-storey Hoktemberyan, permanent gas, irrigation water, hot-cold water, three-phase electricity, 25t refrigerator, 6000 sq. M. Privatization, 700 sq. M. Orchard, 400 sq. M., greenhouse, garage, call the number in detailTranslated from Armenian",Nov-24-2022_23-36,,,,https://list.am/en/item/16875662
