Type,Floor Area,Address,Price,Currency,Description,Datetime,Utilities,Amenities,Links
Garage,24 sq.m.,"Quchak block, Yerevan","$6,290",USD,"Located in Kuchak district of Avan, it is a very solid stone garagethe roof has just been repairedAvan garageGarage:Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/18280389
Garage,20 sq.m.,"Tbilisian Highway lane, Yerevan","$5,000",USD,"An iron garage with its own territory is for sale, in the yard of the 16th building of Champagne in Kanaker. It is in good condition, you can call for details.Call Viberin or WhatsAppin.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/17847338
Garage,44 sq.m.,"Zoravar Andranik street, Yerevan","$22,000",USD,Very suitable for storage or outdoor use. 6.20m × 7.20mTranslated from Armenian,Nov-24-2022_16-32,,,https://list.am/en/item/17491970
Garage,42 sq.m.,"Lvovyan street 29, Yerevan","$14,500",USD,"It has an address, the building is its own, it can park 2 big cars, it is located in the area next to the building of 1z of new nork, Lvivyan 29.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/18123972
Garage,20 sq.m.,Yerevan › Malatia-Sebastia,"$5,000",USD,"B2 district, in the backyard of the Armenian Post, behind the Flash gas stationStone garage 20 sq. M.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/17108136
Garage,24 sq.m.,"Vardanants Street 28, Yerevan","6,000,000 ֏",AMD,Ավտոտնակ Վարդանանց 28 շենքի բակում առանց միջնորդիԱվտոտնակը նաև տրվում է վարձով,Nov-24-2022_16-32,,,https://list.am/en/item/15073642
Garage,17 sq.m.,"16th block, Yerevan","$7,000",USD,"The stone garage is located in the courtyard of the high-rise buildings of the 16th district. The length is 6 meters, the width is 2.8 meters. I am the owner. The land is owned by the right of lease. Price is negotiableTranslated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/18038262
Garage,24 sq.m.,"Sharuri street 2a, Yerevan","$5,000",USD,A stone garage with a basement of 24 square meters is for sale in the neighborhood of Charbakh Park.The garage also has a document Price NegotiableTranslated from Armenian,Nov-24-2022_16-32,,,https://list.am/en/item/17918196
Garage,21 sq.m.,"Avan-Arinj 1st micro 1/4, Yerevan","$10,300",USD,"Վաճառվում է ավտոտնակ 21քմ տարածքով, ունի 18 քառակուսի նկուղային տարածք",Nov-24-2022_16-32,,,https://list.am/en/item/12621044
Garage,30 sq.m.,"Raynis street 1, Yerevan","10,000 ֏",AMD,A garage in Zeytun is for sale or rent very urgently.Translated from Armenian,Nov-24-2022_16-32,,,https://list.am/en/item/16629041
Parking Space,24 sq.m.,"Paronyan street 42, Yerevan","$35,000",USD,Parking in a newly built building on Paronyan street. 24.6 sqm.•••Կայանատեղի Պարոնյան փողոցի նորակառույց շենքում։ 24.6 քմ. Վաճառվում է.,Nov-24-2022_16-32,,,https://list.am/en/item/18147969
Garage,18 sq.m.,"Grigor Artsrunu street, Yerevan","4,000,000 ֏",AMD,An underground garage of 18 sq. M. Is for sale. Մ. Surface of Komitas forest sounds with the cafe behind the building (18b Grigor Artsruni)Entrance from Vagharshyan and Papazyan streets.Translated from Armenian,Nov-24-2022_16-32,,,https://list.am/en/item/17450775
Garage,30 sq.m.,"Վրացական փողոցի 4-րդ նրբանցք 7/4, Երևան","$15,000",USD,"For sale, non-privatized / with monthly land rent / large stone garage / 30 sq. M. / in Arabkir / Georgian 4 lane, at the back of Genatsvale and Ecosens / in a convenient location. The price is negotiable.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/18031530
Garage,30 sq.m.,Yerevan › Shengavit,"$4,100",USD,"A garage is for rent at 52/2 Arshakunya, in front of Grant Sport, two 5 meters wide, 6 meters wide, made of strong iron, the pole is made of styashka, it has electricity and water, it also has a large fireplace inside, and a door at the back, it is not pointless to call, by ringing the bellTranslated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/15711652
Garage,20 sq.m.,"Ղազար Փարպեցու փողոց 10, Երևան","$25,000",USD,"Отдельный гараж, каменный. Есть вотсаб вайбер",Nov-24-2022_16-32,,,https://list.am/en/item/17351222
Garage,50 sq.m.,"Khorenatsi street 2, Yerevan","$24,000",USD,Վաճառվում ստորգետնյա ավտոտնակ Խորենացի փողոցում Պետական Եկամուտների Կոմիտեի հարևանությամբ. Ընդհանուր մակերեսը 50 ք. Մ.Տեղավորվում է 4 մեքենա.Կարող է օգտագործվել որպես պահեստ.Продается подземный гараж на ул. Хоренаци рядом с Комитетом госдоходов.Площадь 50 м. Кв. (5м Х 10м)Можно использовать как склад.,Nov-24-2022_16-32,,,https://list.am/en/item/17704122
Garage,22 sq.m.,"Sundukyan Street, Yerevan","$12,500",USD,Call for details. The price is negotiable.Translated from Armenian,Nov-24-2022_16-32,,,https://list.am/en/item/18375038
Garage,22 sq.m.,"Sundukyan Street, Yerevan","$12,500",USD,Call for detailed information.Translated from Armenian,Nov-24-2022_16-32,,,https://list.am/en/item/18375027
Garage,60 sq.m.,"Aeracia street, Yerevan","13,000,000 ֏",AMD,"# Urgent# Privatized garage, size 14/5. It is an iron garage, it can be turned into a house, a commercial area. The adjacent structures give their walls.The land is privatized and is considered close to home.#household# privatized# plot# Garage# For rent#Sale# Commercial area#Garage# For rent#house# apartmentTranslated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/15224108
Parking Space,20 sq.m.,"Amiryan Street 20, Yerevan","$8,000",USD,Urgent emergency vehicle for sale or rent in TVV Garage garage in good condition Also available for rent Suitable for storageTranslated from Armenian,Nov-24-2022_16-32,,,https://list.am/en/item/17463891
Garage,18 sq.m.,"Դավթաշեն 2-րդ թաղամաս 33, Երևան","$6,000",USD,"A stone garage for sale, 18 square meters renovated, with the possibility of lightDavidashen 2nd district in yard 33Exchange for a carprice is final, non-negotiableTranslated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/18324618
Garage,40 sq.m.,"Gusan Sheram Street 11, Yerevan","$12,500",USD,"A garage with an area of 40 sq. M. (7 m x 5.8 m) is for sale near Gusan Sheram 11 building in A2 district. There is water and sewerage in the garage. It has a safe roof. The inner area is divided into rooms by a wall, in case of removal of which 2 cars can be accommodated freely. The garage is densely surrounded by buildings. It is an ideal option to serve the area as a shop, beauty salon or any other service area. The garage is legally registered in the condominium քային in the community executive committee (not privatized) For details, call the mentioned phone number or write a personal letter. Exchange with a car is possible.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/17051342
Garage,,Yerevan › Davitashen,"$9,500",USD,Քարե ավտոտնակ 23ք. Մ,Nov-24-2022_16-32,,,https://list.am/en/item/14155036
Garage,36 sq.m.,Yerevan › Nor Nork,"$10,500",USD,Кажди етаж 18 кв. Ест свет. Криш ацинковка. Молдовакан 48.,Nov-24-2022_16-32,,,https://list.am/en/item/18070641
Garage,19 sq.m.,"Parpetsi Street, Yerevan","$26,000",USD,"An underground garage for sale in a small center in the Saryan-Tumanyan-Parpetsi-Pushkin section,Ս ․ Near the mighty church.There is a privatization certificate. There is a need for partial repair of the gate and the roof, I will reduce the price by $ 1000.Please call only real buyersTranslated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/16793177
Garage,12 sq.m.,"Agatangeghos Street, Yerevan","$10,000",USD,Underground garage in front of Khorenatsi street gold market in the yard of Agatangeso 252 building. The garage is waterproof. PrivatizedTranslated from Armenian,Nov-24-2022_16-32,,,https://list.am/en/item/17352944
Garage,50 sq.m.,"Սվաճյան փողոց 40/3, Երևան","$40,000",USD,Building / car repair point / to carry out different types of activities. It is also possible to rentTranslated from Armenian,Nov-24-2022_16-32,,,https://list.am/en/item/15849483
Garage,24 sq.m.,"Vardanants Street 28, Yerevan","$15,000",USD,"Metal garage for sale, 24 square meters. M. , privatized (documents available), price 13,000 USD.It is also rented for AMD 50,000 per monthTranslated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/14587417
Garage,18 sq.m.,"Avan-Arinj 1st micro, Yerevan","$8,500",USD,"Dry stone garage for sale in Avan ArinjThe garage is located in Avan Arinj 1 microdistrict, near buildings 1/7, 1/8.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/18143306
Garage,22 sq.m.,"Gyulikekhvyan Lane 2, Yerevan","$9,500",USD,"Срочно! Продам гараж в 4 массиве 1 квартал, по адресу гюликехвян пер. 4, напротив школы N150 (нижний ряд)Вмещаются две машины, длина 8 м, ширина 3.2, есть яма.По всем вопросам просьба писать или звонить на вайбер",Nov-24-2022_16-32,,,https://list.am/en/item/15756135
Garage,18 sq.m.,"Sayat Nova avenue, Yerevan","$16,000",USD,"Privatized (land with construction right) large dry stone garage for sale near the intersection of Sayat-Nova-Charents streets, next to a high-rise new building in Ucom, 18 square meters. $ 17,000. Price is negotiable.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/14113602
Garage,22 sq.m.,"Միքայելյան փողոց 132, Երևան","$8,500",USD,"Garage made of stone, 22 square meters, is in very good condition.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/17959254
Garage,27 sq.m.,"Beknazaryan street 44, Yerevan","$12,950",USD,"Garage for sale or rent, located in front of Gazprom Armenia near Malayan Eye Hospital, on the sloping front of the intersection, suitable for use as a box or other service point, in front has a large area for parking cars to the sidewalk, if desired It will be rented, it is made of stone and is 3 meters wide and 9 meters long.If you have any questions, call the second numberTranslated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/16984509
Garage,20 sq.m.,Yerevan › Avan,"$5,000",USD,"Продается гараж в райное Исаакян, рядом с магазином Наирии.",Nov-24-2022_16-32,,,https://list.am/en/item/18328903
Garage,43 sq.m.,"Sisvan street 35, Yerevan","$36,000",USD,The garage is located in Kilikia district. The total area is 43 square meters.Translated from Armenian,Nov-24-2022_16-32,,,https://list.am/en/item/17410772
Garage,24 sq.m.,"Toumanyan block 10, Yerevan","$8,000",USD,"Garage, Tumanyan district Newly renovated from IronStyazka paint current polka dots zamok freshly collected.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/17656190
Garage,20 sq.m.,"Rubinyants St, Yerevan","$5,000",USD,In the yard of Rubinyants 19/1 building. The land is leased indefinitely. Is not privatizedTranslated from Armenian,Nov-24-2022_16-32,,,https://list.am/en/item/16128381
Garage,29 sq.m.,Yerevan › Davitashen,"$20,000",USD,"Stone garage for sale, Area: 0.003076 ha (29 sq. M.), privatized. Address: Davtashen, 3rd district, 7 building, 17 garage. Price: $20,000.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/17388376
Garage,20 sq.m.,"Проспект Арцаха 14А, Ереван","$5,000",USD,Продается каменный гараж на проспекте Арцаха 14А,Nov-24-2022_16-32,,,https://list.am/en/item/17145537
Garage,25 sq.m.,"Arshakuniats Avenue 54/2, Yerevan","$15,000",USD,"A stone garage with a privatized land is for sale, with a residential permit. The garage is located next to Arshakunyats Avenue, Zovk supermarket, school # 65.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/16683066
Garage,26 sq.m.,"Mayak block, Yerevan","2,950,000 ֏",AMD,"Tufa walls on both sides, paneled roof. The location is very convenient, parking is very easy.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/18190820
Garage,19 sq.m.,"Pushkin Street 58, Yerevan","$22,000",USD,"Stone garage 19 m2 for sale in the city center, at 58 Pushkin Street, clean, thoroughly renovatedTranslated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/15356968
Garage,236 sq.m.,"Աշտարակի խճուղի 61/6, Երևան","$82,000",USD,"Boxer land for auto repair, 236 m2. K. The building is 140m.There are 5 tons in the building. Dangrat, yama, three-phase current, water, bathroom. It is located 80 meters down Ashtarak highway, towards ASA and Ot Martina factories. The price is $65,000Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/18155028
Garage,35 sq.m.,"Minas Avetisyan 2nd street 11, Yerevan","$12,000",USD,"Garage for sale, 35.2 square meters. The roof has been repaired, it does not leak water, there is slate from the roof. The area around the roof is fenced. It has the possibility of water inside. 2 cars fit comfortably. For more information call.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/18374186
Garage,30 sq.m.,"Komitas Avenue, Yerevan","$30,000",USD,"URGENT Garage for sale in the yard of Komitas 36 building (first line) Garage and Land Have a PROPERTY CERTIFICATE. The garage is made of stone, galvanized sheet, with a solid roof. The garage has a separate water supply with its own meter, separate drainage, electricity with its own meter. The garage doors are heat-insulated (with galvanized two-layer sheet)As the land is private and Certificate is indicated - Purpose: Residential and Operational Significance: Residential Development, with the permission, it is possible to add and one floor and to use as office space.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/15858290
Garage,20 sq.m.,"Azatutyan Avenue lane, Yerevan","$5,000",USD,"A garage of 20 square meters is for sale urgently. Iron, with electricity. Price $ 6500 or exchange with a carTranslated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/16801437
Garage,23 sq.m.,"Zakian street 8, Yerevan","$15,000",USD,"The garage is in very good condition. Has remote automatic opening doors and concrete roof. The floor of the garage is covered with ceramic tiles, and the ceiling and walls are modernly decorated. It is privatized.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/16360640
Garage,30 sq.m.,"Luxemburg street, Yerevan","$22,000",USD,"VERY VERY HURRY!There is a certificate of privatization of the garage.Designed for 2 cars.At the rear of the garage there is an orchard of more than 200 square meters, as well as a very nice recreation area with all facilities.He has the opportunity to build his own house.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/17301336
Garage,12 sq.m.,"Davidashen 4-th block, Yerevan",$500,USD,Ավտոտնակ նորմալ վիճակում. Erkarucyun@ 5 Laynq@ 3 Bardr. 2.10,Nov-24-2022_16-32,,,https://list.am/en/item/16738077
Garage,52 sq.m.,"Arno Babajanian street, Yerevan","$14,000",USD,"Garage for sale, 52 square meters, length 13 meters, height 3 meters. With own certificate.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/18009977
Garage,30 sq.m.,"Shinararneri street 22, Yerevan","$5,000",USD,"Garage at 20 Shinararner StreetVery good condition, located in front of VTB Bank.Builders parking garageTranslated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/16953459
Garage,25 sq.m.,"Տիգրան Պետրոսյան փողոց 30/30, Երևան","$15,000",USD,"Garage for sale, 25 square meters, under the roof, carved, plastered, plastered, legal garage, apply to the end of the garage, asphalted, bright and dry garage, trade in equivalent to the car or with an additional fee from you.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/18034183
Garage,60 sq.m.,"Կուրղինյան փողոցի նրբանցք 2, Երևան","$18,000",USD,"Very solid iron-concrete garage of 51 square meters and another 9 square meters with a fence at the back (the building is owned, with a cadastre certificate, and the land is for rent, a contract has been signed with the district administration) Property tax and land lease fee until January 1, 2022 is zero: In the garage there is a concrete wall (a large one)Wire shelves on the right wall.There is about 100 square meters of paved area in front.There is a large two-story house built directly over the garage.I am the sole and exclusive owner.NEGOTIABLE.Call Martin.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/18050381
Garage,,Yerevan › Avan,"$15,000",USD,Վաճառվում է քարե ավտոտնակ նախատեսված 2- մեքենայի համար։ Սեփականաշնորհված է եւ հողը եւ շինությունը։ 5*6 վրա,Nov-24-2022_16-32,,,https://list.am/en/item/15666013
Garage,22 sq.m.,"Հրաչյա Աճառյանի փողոց 44, Երևան","$10,000",USD,"Private garage of 22 sq. M. Is for sale, partial payment is also possibleTranslated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/17816056
Garage,22 sq.m.,Yerevan › Arabkir,"$5,500",USD,"UrgentGarage privatized, land for rent. 22 sq. M. In front of Komitas 22 building. Near UrartuTranslated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/16273630
Garage,18 sq.m.,"Grigor Artsrunu street 10, Yerevan","$18,500",USD,The garage is privatized and registered as a residential building.He has the ownership certificate and all the documents related to the land.Translated from Armenian,Nov-24-2022_16-32,,,https://list.am/en/item/18136228
Parking Space,20 sq.m.,"Nairi Zaryan street 74b, Yerevan","$14,000",USD,"Parking is located at -2, with access from both buildings A and B directly off the streetthe parking lot is located near the elevators of building B.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/18165234
Garage,150 sq.m.,"Avan-Arinj 2nd micro, Yerevan","$55,000",USD,"Two-storey garage in Avan-Arinj.The address of the land is available.Together with privatized land.The meaning of a garage, but it is possible to renovate a 3rd floor house.Two garages together with its basement.The basement can serve as a storage.Three yips are standing at the same time.Pictures and booklets are available.150 sq. M. More than a square meter.Call for questionsUrgent and less negotiable.There is water, electricity.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/17862738
Garage,150 sq.m.,"Avan-Arinj 2nd micro, Yerevan","$55,000",USD,"Two-storey garage in Avan-Arinj.The address of the land is available.Together with privatized land.The meaning of the garage, but you can freeze the house.Two garages together with its basement.The basement can serve as a storage.Three yips are standing at the same time.Pictures and property books are available.150 sq. M. More than M.Urgent and less negotiable.There is water, electricity...Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/17862725
Garage,18 sq.m.,Yerevan › Nor Nork,"$7,000",USD,"Final price, call real buyersTranslated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/17465987
Garage,15 sq.m.,"Arabkir 25-th Street, Yerevan","5,000,000 ֏",AMD,"A stone garage for sale near Rio Mall. The area of the garage is 15 square meters. Height 2.5 meters. The garage is fully repaired, the roof is completely changed. Has light, electrically operated doors and basement.Not for rent.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/17910292
Garage,40 sq.m.,Yerevan › Davitashen,"$22,000",USD,"I am selling a stone garage in the 2nd district of Davtashen, behind the 7th building. The area is 40 square meters. The garage has a yama, a barbecue, designed for 2 cars. It is privatized.Garage, Garage, avtotnak:Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/15964223
Garage,17 sq.m.,"Արտաշիսյան փողոց 11, Երևան","$5,700",USD,I am selling a metal garage. The annual maintenance is done. The construction is owned by the owner. The land is leased. The final price is 5500 dollars. Don't be fooled.Translated from Armenian,Nov-24-2022_16-32,,,https://list.am/en/item/18122906
Garage,25 sq.m.,"Եղիշե Չարենց փողոցի 2-րդ նրբանցք 32/1, Երևան","$12,000",USD,"Շատ շտապ վաճառվում է քարե ավտոտնակ Չարենց 2-րդ փակուղի 32 տան դիմաց։Մակերեսը 25 քմ սեփական ավտոտնակ, գտնվում է 127 քմ վարձակալական հողատարածքի վրա։Մանրամասների համար՝ զանգահարել",Nov-24-2022_16-32,,,https://list.am/en/item/12267403
Parking Space,18 sq.m.,"Nikogajos Tigranyan backstreet, Yerevan","$12,800",USD,In the residential area of AniUnderground parkingTranslated from Armenian,Nov-24-2022_16-32,,,https://list.am/en/item/18335917
Garage,28 sq.m.,"Աշոտ Հովհաննիսյանի փողոց 6/1, Երևան","3,500,000 ֏",AMD,Stone garage for 2 cars.For more information call:Translated from Armenian,Nov-24-2022_16-32,,,https://list.am/en/item/18129203
Garage,41 sq.m.,"Աշոտ Հովհաննիսյանի փողոց 20, Երևան","$11,500",USD,"Privatized, with certificate. Price in AMD 4,500,000. The roof is newly repaired, no water drips. Long stone garage for 3 cars. Not for rent. Cash sale only. It is located on the 4th massif in the 4th massif of Nor Nork. On the way to the waterfall. It is very suitable for use for various purposes due to its location. It can be a garage, it can be used as a warehouse. It can be used for different purposes. You can write or call for other details.GarageStorage spaceGarage in the 2nd part of the 4th lot.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/18063436
Garage,110 sq.m.,"Vilnyus street 4, Yerevan","12,000,000 ֏",AMD,"Freehold, electrified, water, sewage, stone building, solid foundation, iron gate 5mTranslated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/18050011
Garage,36 sq.m.,"Nikol Duman Street 1, Yerevan","$21,000",USD,"An underground stone garage for sale in Kiyan 11-13 buildings, in the yard adjacent to NJ Duman 1 building, for parking 2 cars with an area of 36 square meters. The garage is also suitable for storage. It is capitally renovated.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/17513152
Garage,43 sq.m.,"Leningradyan street 50, Yerevan","$18,000",USD,The garage has 2 seatsIt is privatizedTranslated from Armenian,Nov-24-2022_16-32,,,https://list.am/en/item/8210700
Garage,20 sq.m.,"Pushkin Street 58, Yerevan","$19,800",USD,"A garage of 19.5 square meters is for sale in the center, next to Pushkini 58 building. Stone with two entrancesTranslated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/18339100
Garage,30 sq.m.,"Davidashen 1-st block, Yerevan","$13,000",USD,"A stone garage with the possibility of parking 2 cars for sale, 30 sq. M. M (10 × 3) 1st district, next to 39 buildings.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/17294400
Garage,21 sq.m.,"Nor Aresh 15th street, Yerevan","$9,000",USD,"It has a property certificate, water, electricity, stone, it also has a yama.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/18168476
Garage,33 sq.m.,Yerevan › Kentron,"2,400,000 ֏",AMD,"Վաճառվում է ավտոտնակ թիթեղյա, հաստությունը 2.5մմ, չափսերը 8,10 x 4,10 մետր, կլսեմ փոխանակման առաջարկներ.",Nov-24-2022_16-32,,,https://list.am/en/item/18111316
Garage,18 sq.m.,"Ավան-Առինջի 1-ին միկրոշրջան 2/13, Երևան","$4,800",USD,"Urgent / For sale cheaper than the market, newly renovated, clean, dry, 2 side-by-side garages in Avan Arinj district, near buildings 4/2, 2/12, 2/13, 3/11. The price is for 1 garage.The price is final.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/16119830
Garage,20 sq.m.,"Azatutyan Avenue lane, Yerevan","$4,500",USD,"VERYUrgently for sale a garage of 22 square meters. Iron, concrete wall. Price is negotiable sale or exchange with a car.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/16899330
Garage,18 sq.m.,Yerevan › Malatia-Sebastia,"$6,500",USD,"Каменный сухой гараж, гараж находится на против 14 этажного здания находится на улице Андраника 58 пишите и звоните на ватсапп",Nov-24-2022_16-32,,,https://list.am/en/item/17813029
Garage,19 sq.m.,Yerevan › Kentron,"$30,000",USD,"Underground garage for sale, entrance from Sayat Nova street.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/17915315
Garage,35 sq.m.,"Narekatsi block 42, Yerevan","$10,000",USD,It is located in Narekatsi districtTranslated from Armenian,Nov-24-2022_16-32,,,https://list.am/en/item/17529543
Garage,18 sq.m.,"Svachyan street 26, Yerevan","$14,000",USD,"Продам гараж помещения 18 кв м подходит для любых офисных услуг удобная с. Расчетом на постройку 2 жтажей Находится напротив дома в гараже есть свет вода душ, туалет подключен к общей канализации есть хол и гор вода со всеми удобствами сдается в аренду",Nov-24-2022_16-32,,,https://list.am/en/item/18167322
Garage,27 sq.m.,"Նորաշեն թաղամաս 17, Երևան","$6,000",USD,The garage is located in the yard of the building.Translated from Armenian,Nov-24-2022_16-32,,,https://list.am/en/item/18113328
Garage,36 sq.m.,"Bashinjaghyan street 176, Yerevan","$12,000",USD,"The garage is renovated, has a concrete roof. The front of the garage is paved.Translated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/18110378
Garage,43 sq.m.,"Քեռու փողոց 99, Երևան","$36,000",USD,Call for questions. Garage with plot. Residential development... Total about 80 square meters. M. 35 sq. M garage. About 45 sq. M half-built. It is possible to exchange with an apartment with my additional fee.Translated from Armenian,Nov-24-2022_16-32,,,https://list.am/en/item/18246637
Garage,,Yerevan › Kentron,"$45,000",USD,Ավտոտնակ 2 մեքենայի համար 35 m2,Nov-24-2022_16-32,,,https://list.am/en/item/11731494
Parking Space,20 sq.m.,"Լվովյան փողոց 10, Երևան","$8,000",USD,20 square metersTranslated from Armenian,Nov-24-2022_16-32,,,https://list.am/en/item/13880459
Garage,17 sq.m.,"Tpagrichner Street, Yerevan","$10,000",USD,Iron garage for sale in 17 sq. M. Kentron communityTranslated from Armenian,Nov-24-2022_16-32,,,https://list.am/en/item/16503624
Garage,18 sq.m.,"Avan-Arinj 1st micro, Yerevan","$8,500",USD,"Stone garage for sale. Good condition, dry and cleanTranslated from Armenian",Nov-24-2022_16-32,,,https://list.am/en/item/18166962
Garage,40 sq.m.,"Ծովակալ Իսակովի պողոտա 42/1, Երևան","$10,000",USD,The garage is located at the back of 42/1 building.He has a ownership certificate.Translated from Armenian,Nov-24-2022_16-32,,,https://list.am/en/item/16883804
Garage,32 sq.m.,"Ծովակալ Իսակովի պողոտա 42/1, Երևան","$8,000",USD,The garage is located at the back of Isakov 42/1 buildingHas a certificate of ownershipThere is yama.Translated from Armenian,Nov-24-2022_16-32,,,https://list.am/en/item/16883851
