Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Appliances,Service Lines,Links,Facilities,Condition
House,Stone,610 sq.m.,2,8+,2,Available,2 spots,Designer Renovation,500 sq.m.,Vayots Dzor › Yeghegnadzor,"$40,000",USD,"A fenced two-story detached house is for sale in Yeghegnadzor City. The total area is 610 square meters, it has constant drinking and irrigation water, gas, heating system, but not working, basement, plot of land, fruit trees, garage and a beautiful and spacious tiled yard... There is also a large balcony on the 2nd floor, for sale along with furniture, the 2nd floor is completely renovated, the first floor is cosmetically renovated and with Euro windows, it is a sunny and kind house. The first floor can be rented and has a separate entrance. Some of the pictures are posted. The house is located on Av. At 24 Isahakyan street, next to the Stadium Shops;#House, #mansion, #dacha, #summer house, #guest house, #hyuratun, #dacha, #amaranoc. #yeghegnadzor #YeghegnadzorTranslated from Armenian",Nov-24-2022_23-35,"FRidge, washing machine","ELectricity, water supply, natural gas, sewerage",https://list.am/en/item/16245826,,
House,Stone,120 sq.m.,1,4,1,Available,1 spot,Partial Renovation,1200 sq.m.,"Erevanyan street, Yeghegnadzor","$30,000",USD,"17 km from the city of Yeghegnadzor, Getap - Shatin (Artabyunk) - Alayaz (Yeghegis), the paradise village of Yeghegis, a private house for sale with attached fruit trees and a carefully cultivated fertile garden. In the garden there are walnuts, apples, mulberries, cherries, raspberries, blackberries, roses, beehives and more. The house has a solar water heater, which saves about 75-80% of electricity. Energy consumption, hot and cold water around the clock. The house is partially renovated with the eyes, thoughts, design of an artist and pianist...There is a tank in the garden with an individual 24-hour water line, 24-hour electricity. The house has a spacious yard, an open balcony, a garage, a cellar (refrigerator), a warehouse where you can store fruits for 12 months without damage.There are beautiful sights in the village, Zorats Church, Smbataberd and many other ancient sites. The village is also rich in its herbs...The location of the house is very suitable for a guest house, and for building a small restaurant or tea house in the yard...The road leading to the village is ideally paved, starting from the highway leading to Yeghegnadzor. Starting from Getap village...Many guest houses have been built in the village in recent yearsExchange is possible.For more information call.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/16337915,,
Country House,Stone,80 sq.m.,1,2,1,Not available,Not available,No Renovation,1000 sq.m.,Vayots Dzor › Goghtanik,"$15,000",USD,"Own house for sale in Goghtanik village, Vayots Dzor marz, 30 km from Yeghegnadzor city. It has permanent drinking and irrigation water, electricity, livestock. Real buyers will call.Also exchange for equivalent car.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/16746695,,
Country House,Stone,160 sq.m.,2,6,2,,,Designer Renovation,600 sq.m.,"Շահումյան փողոց 32/3, Ջերմուկ","$140,000",USD,"The newly built private house is located on the right bank of Jermuk city. It has constant hot and cold water, individual heating systems are installed, there is gas and internet. The floors of the mansion have separate entrances, the entrance doors are iron. Currently working as a guest house. There is also a sauna. Sold with property and appliances. There is a camera in the yard. To see a more detailed description of the mansion, you can view our Facebook page - AAA Jermuk rest houseTranslated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/16571899,,
House,Stone,250 sq.m.,2,8+,2,,,No Renovation,15 sq.m.,Vayots Dzor › Gladzor,"$37,000",USD,"Проодам частный дом. Два этажа, нужно делать ремонт. Есть гараж и надворные постройки. Газ не подклюен, проходит по участку. Два сада с плодовыми деревьями. Дом на две улицы. Возможен обмен на квартиру. Связь через viber или WhatsApp",Nov-24-2022_23-35,,,https://list.am/en/item/18134187,,
House,Monolith,185 sq.m.,2,3,1,,,Cosmetic Renovation,4200 sq.m.,Vayots Dzor › Gladzor,"$33,000",USD,"The house has a garage, a basement, a cellar, a chicken coop, a swimming pool, ancillary buildings, hot and cold water, gas, water tank, gravity, irrigation water.There are many fruit trees in the garden - nuts, hazelnuts, apples, pears, plums.It is on the side, a beautiful view opens from the window.The real buyer will get arable lands as a gift.Price is negotiable.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/17218275,,
House,Stone,240 sq.m.,2,5,2,,,Old Renovation,800 sq.m.,"Ստեփան Շահումյանի փողոց 12, Եղեգնաձոր","$42,000",USD,The house is located near the tank hill.Call for detailsTranslated from Armenian,Nov-24-2022_23-35,,,https://list.am/en/item/18252365,,
House,Stone,87 sq.m.,1,4,1,Available,1 spot,Old Renovation,1500 sq.m.,Vayots Dzor › Hermon,"$25,000",USD,"There is a cattle barn of 97 square meters, a garage of 30 square meters and another building of 20 square meters with the building. Various fruit trees, 20 of which are walnuts.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/16917834,,
House,Stone,144 sq.m.,4+,8+,3+,,,No Renovation,,Vayots Dzor › Yeghegnadzor,"$29,000",USD,"Վաճառվում է ամառանոց Վայոց ձորի մարզ գյուղ Ելփինում, ունի 1600/m2 բերքատու ծառերով հողատարածք.",Nov-24-2022_23-35,,,https://list.am/en/item/12189004,,
House,Stone,140 sq.m.,3,4,2,,,Old Renovation,3000 sq.m.,Vayots Dzor › Sers,"$10,500",USD,"The building is two-storey, with a basement. The house was built, it was overhauled in 1999, it was used for several years, it was locked. There are 2 cattle barns in the area (one 22 sq / m, the other 9 sq / m) There is 1300 sq / m land near the house.The house is fully furnished (cabinets, beds, tables and chairs), there are dishes;There is electricity and water. Gas through a cylinder.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/16620063,,
House,Stone,215 sq.m.,2,4,1,Not available,1 spot,No Renovation,,Vayots Dzor › Vayk,"$35,000",USD,"Address: Alaverdyan str. Home at 11:00A private house is for sale in the city of Vaik. There is a garage (28 m2) with gas, on the 2nd floor there are 4 rooms, a large hall, a corridor, a kitchen, a bathroom, a bathroom. On the 1st floor there is a large hall, 1 room, cellars, cellar, heating room. Fruit garden (0.0843 ha) The living space is 215.20 square meters. The school and the kindergarten are located very close.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/8401938,,
House,Stone,80 sq.m.,2,5,1,,Not available,Old Renovation,4800 sq.m.,Vayots Dzor › Gndevaz,"9,000,000 ֏",AMD,"4800քմ հողակտորի վրա է կառուցված տունը Վայոց ձորի Գնդեվազ համայնքում։ Կապիտալ տուն է, նկուղով, մանսարդով։ Զուգարան/բաղնիքը ներսում։ Տնկված է 70ծառ պտղատու, 20նոր տնկիներ է ցանել;",Nov-24-2022_23-35,,,https://list.am/en/item/16589314,,
House,Stone,41 sq.m.,1,3,1,Not available,Not available,Old Renovation,500 sq.m.,Vayots Dzor › Yeghegnadzor,"$18,000",USD,Հնարավոր է նաև փոխանակում։Առկա է բոլոր կոմունալ հարմարությունները։ Տունը գտնվում է նոր Ավան թաղամասում։ продается частный 3 комнатный дом с 500 м/# землой в областе Вайоц дзор город Ехегнадзор. Находится 110 км от города Ереван. Есть все коммунальные услугиTranslated from Armenian,Nov-24-2022_23-35,,,https://list.am/en/item/16667002,,
Country House,Stone,82 sq.m.,1,6,2,Not available,Not available,Old Renovation,1000 sq.m.,Vayots Dzor › Yeghegnadzor,"$40,000",USD,Սեփական տուն ք. Եղեգնաձորում։ Հնարավոր է նաև փոխանակում։ Տունը ապահովված է լույսով գազով ջուրով. Продается продажа 6 комнатный частный дом с 1000м/# землой. 110 км от города Еревана. Есть все коммунальные услугиTranslated from Armenian,Nov-24-2022_23-35,,"ELectricity, water supply, natural gas, sewerage",https://list.am/en/item/18288815,,
Country House,Stone,107 sq.m.,2,3,1,,,Partial Renovation,2140 sq.m.,Vayots Dzor › Goghtanik,"$12,000",USD,"2-storey summer house (107 sq. M.) in Goghtanik village, Vayots Dzor region, 4 st. 12 houses. Has a garage, basement, barn, bakery, orchard with walnuts and apple trees (0.214 ha) Very suitable for BEEKEEPING. Electricity, drinking and irrigation water. It also has a privatized separate grassland (1,265 hectares) Exchange is possible.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/8904828,,
House,Stone,"10,000 sq.m.",1,3,1,Not available,Not available,Old Renovation,"10,000 sq.m.",Vayots Dzor › Bardzruni,"$3,000",USD,"The house is located in the village of Bazhruni, Vayots Dzor Marz, RA.The house has a cattle barn, a bakery and a total area of 10,000 square meters of land.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/16293318,,
Country House,Stone,10 sq.m.,1,3,1,Not available,Not available,Old Renovation,10 sq.m.,Vayots Dzor › Yeghegis,"$9,500",USD,"It has Drinking water, Irrigation water, Light,For more information call…Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/18245164,,
House,Stone,2800 sq.m.,2,4,1,,,Old Renovation,,Vayots Dzor › Chiva,"$26,000",USD,"4-room two-storey house (first floor basement) is for sale in Chiva village, Vayots Dzor region. The house is located in the beginning of the village, near the road. Suitable for working as a guest house. The house has 3 bedrooms, one hotel, a bathroom and a kitchen. There is a plot of land near the house with fruit trees. There is a barn next to the house. For other questions, call the indicated phone number. Price is negotiable.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/17604610,,
House,Stone,244 sq.m.,2,5,1,Available,1 spot,Major Renovation,,"Spandaryan Street, Yeghegnadzor","$70,000",USD,"For sale or exchange (extra charge) with a 3-room apartment in Yeghegnadzor. The house has all utilities, 2 gardens with fruit trees.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/18343757,,
House,Stone,517 sq.m.,2,8+,1,By agreement,1 spot,Cosmetic Renovation,1020 sq.m.,"Spandaryan Street, Yeghegnadzor","20,000,000 ֏",AMD,Land plot 1020 sq/mFirst floor of the house - 254.7 sq/mSecond floor - 261.8 sq/mGarage-26.6 sq/mTonratun-10.5 sq/mFruit trees.Translated from Armenian,Nov-24-2022_23-35,,,https://list.am/en/item/18012359,,
Country House,Stone,1400 sq.m.,1,3,1,Not available,Not available,No Renovation,,Vayots Dzor › Hermon,"$16,000",USD,"1-storey private house with its land (1400 sq. M.) in Hermon village, Vayots Dzor region, for sale or exchanged for a car.The house has 3 large rooms and is located in the center of the village.There are fruit trees in the plot (6 pear, apple, walnut trees)Has natural permanent drinking water, permanent irrigation water.Suitable for business use (eg hotel, holiday home, etc.)3 lawn areas are for sale with the house, each 1400 sq. M., 2700 sq. M., 3400 sq. M.;He is exchanged for a car.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/12123074,,
House,Stone,250 sq.m.,2,5,1,,,No Renovation,1560 sq.m.,"Gosh 1st deadlock, Yerevan","$21,500",USD,"In a picturesque place, 4-room house, the plot is flat, a river passes by the side, the attic floor can be used as a workshop, water, gas, electricity, after renovation, it can be used as a guest house, for pictures, write via ViberTranslated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/18302858,,
House,Stone,132 sq.m.,1,3,1,Not available,3 or more spots,Partial Renovation,960 sq.m.,Vayots Dzor › Yeghegnadzor,"$13,200",USD,"In Nor Avan district. 960 sq. Near the house. 12x11 semi-built house. It has water, electricity, gas, irrigation water, cellar, fruit trees (pear, popok) Very urgent.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/16226832,,
House,Monolith,200 sq.m.,1,4,1,,Not available,No Renovation,2400 sq.m.,Vayots Dzor › Gladzor,"5,000,000 ֏",AMD,There are more than 100 fruit trees. Vineyard. The rest by callingTranslated from Armenian,Nov-24-2022_23-35,,,https://list.am/en/item/17778737,,
House,Stone,259 sq.m.,2,3,2,Available,1 spot,Cosmetic Renovation,700 sq.m.,"Shahumyan street 69, Vayk","$42,000",USD,"Տունը գտնվում է Վայք քաղաքի կենտրոնական փողոցի վրա, մոտակայքում են գտնվում դպրոցը, մանկապարտեզը և հիվանդանոցը, այն հին կառուց է, շատ չոր է, պահպանված է շատ խնամքով, ունի պտղատու ծառեր, ավտոտնակ, խորդանոց, բարեկարգված բակ։ Առկա է գազ, մշտական խմելու ջուր, ոռոգման ջուր։",Nov-24-2022_23-35,,,https://list.am/en/item/18174938,,
House,Stone,400 sq.m.,2,5,2,Available,1 spot,Major Renovation,,"Alaverdyan Street, Vayk","$60,000",USD,"Երկու հարկանի քարե տուն Ալավերդյան փողոցում Վայքում, 400 ք. Մ. , 2 սանհանգույց, կապիտալ վերանորոգված",Nov-24-2022_23-35,,,https://list.am/en/item/17541899,,
House,Stone,70 sq.m.,1,3,1,,1 spot,Old Renovation,1600 sq.m.,Vayots Dzor › Yeghegnadzor,"$15,000",USD,"A house is for sale in Hors village, Yeghegnadzor, with large plots of land, 3 plots of land in front of the house, with lots of walnuts. It has grass floors, an uncultivated vineyard.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/17732915,,
House,Stone,180 sq.m.,2,4,1,,,Old Renovation,1200 sq.m.,"Jermuk Highway, Vayk","$30,000",USD,"Sewerage is available, it is provided with permanent water, natural gas, round-the-clock water supply, internet, telephone, a large orchard. The price is negotiable.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/18044803,,
House,Stone,325 sq.m.,3,6,2,,,Old Renovation,2500 sq.m.,Vayots Dzor › Aghavnadzor,"$25,000",USD,Residential house private house with a total area of 2500 sq. M. The private house is for sale with all the property There are fruit trees FOR DETAILS CALL FOR DETAILSTranslated from Armenian,Nov-24-2022_23-35,,,https://list.am/en/item/16879753,,
House,Stone,200 sq.m.,1,4,1,,,Euro Renovation,1600 sq.m.,Vayots Dzor › Yeghegnadzor,"$30,000",USD,"I am selling a ready-made guest house in Vardahovit village, it is provided with all the communal facilities, full rest, exchange is possible, I have more than one hectare of land to establish a garden. Vardahovit, Vardahovit:Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/17485441,,
House,Stone,800 sq.m.,3,8+,3+,Not available,2 spots,No Renovation,,Vayots Dzor › Jermuk,"$200,000",USD,"A 3-storey detached house for sale in a beautiful location in Jermuk, 1st floor 168 sq. M., 2nd floor 180 sq. M., 3rd floor 180 sq. M., semi-basement floor 80 sq. M., Shahumyan 34, which can also be used as a guest house, has all the facilities, a swimming pool, a wine house.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/18279740,,
House,Stone,1200 sq.m.,2,4,1,,,Partial Renovation,1200 sq.m.,Vayots Dzor › Vernashen,"$25,000",USD,"A two-storey private house is for sale in Vayots Dzor region, v. In Vernashen. The house is located at the beginning of the village, 30 meters from the main road. The second floor has 4 rooms. It is gasified, has hot and cold water, a basement and a barn. Near the house, 1200 square meters, there are many fruit trees.Price is negotiableTranslated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/17575516,,
House,Stone,300 sq.m.,3,7,2,,,Cosmetic Renovation,1000 sq.m.,Vayots Dzor › Yeghegnadzor,"$55,000",USD,"A private house is for sale.Or it is exchanged with a 3-room apartment or a private house in Yerevan and adjacent areas.It is located in a quiet, wooded district of Yeghegnadzor.It is provided with all the communal facilities. It has a garage, a beautiful yard with flowers, a small swimming pool, adjacent buildings, a plot of land with fruit trees.It is also suitable for use as a guest house.Price is negotiable.Eghegnadzor, Eghegnadzor, Exegnadzor, Eghegnadzor:House, private house, guest house, own, exchangeTranslated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/17362429,,
House,Stone,158 sq.m.,1,5,1,Not available,Not available,No Renovation,2100 sq.m.,Vayots Dzor › Areni,"$39,000",USD,"A private house with a plot of land next to the house is for sale in the village of Areni, Vayots Dzor marz. The house is in need of repair, it is provided with electricity and drinking water. There are 40 3- and 4-year-old peach trees, apricot, walnut, dambol, cherry, almond, apple trees in the garden. The place is very convenient. For developing a guest house or other business.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/16564146,,
House,Stone,930 sq.m.,2,5,1,,,Partial Renovation,700 sq.m.,"Myasnikyan street, Vayk","$65,000",USD,"Two-story house with all its amenities, spacious yard, garden, garage, basement, there is also a separate building.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/18222285,,
House,Stone,155 sq.m.,2,5,1,Available,Not available,Partial Renovation,1200 sq.m.,"Ջերմուկի խճուղի, Vayk","$25,000",USD,Private house in Vayk near the military unitTranslated from Armenian,Nov-24-2022_23-35,,,https://list.am/en/item/17376420,,
House,Stone,250 sq.m.,2,6,1,,Not available,Old Renovation,4500 sq.m.,Vayots Dzor › Goghtanik,"6,000,000 ֏",AMD,"A private house is for sale in the village of Goghtanik, there is also a cattle farm, 4400 square meters with orchards. Negotiable. There is an exchange with a car.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/17839282,,
House,Stone,135 sq.m.,1,4,1,,,No Renovation,800 sq.m.,"Spandaryan Street, Yeghegnadzor","$15,000",USD,"The land is located in the sector of private houses in Yeghegnadzor.Unfinished building with all utilities.Immediately adjacent to the land, water, gas, electricity.Incompletely populated by neighborhood.Call the listed phone numbers for details.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/17821592,,
House,Stone,2000 sq.m.,2,5,1,,,No Renovation,1500 sq.m.,"Levonyan street, Yeghegnadzor","$25,000",USD,"Вачарвум э 2 аркани каре тун. Газафикацвац, мштакан хмелу ев ворогман джур. Беркату айги.",Nov-24-2022_23-35,,,https://list.am/en/item/18225280,,
