Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Address,Price,Currency,Description,Datetime,Parking,Appliances,Window Views,The House Has,Links
Stone,Yes,Not available,1,130 sq.m.,4,2,from 2.8 m,1,Closed balcony,,Euro Renovation,Armavir › Myasnikyan,"$30,000",USD,For urgent sale. It has a cattle barn and 2000 meters of land. I am returning all the goodsTranslated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/17937393
Stone,No,Not available,3,42 sq.m.,2,1,from 2.75 m,2,Closed balcony,,Major Renovation,Armavir › Parakar,"$42,000",USD,"Apartment for saleParakar, Tairov• 42 square meters area• 1-2 rooms• 3 / 2nd floor / stone /_•thoroughly reconstructed• Euro windows• Laminate flooring• heating• The bathroom is tiledCode BB870Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17318144
Stone,No,Not available,5,48 sq.m.,2,1,from 2.7 m,1,Not available,By agreement,Old Renovation,"Մարշալ Բաղրամյան փողոց 15, Արմավիր","$27,000",USD,A 1-room apartment (with niche) is for sale on Baghramyan street in Armavir city. Old repair. For sale with certain properties.Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/18163349
Stone,No,Not available,2,500 sq.m.,4,1,from 2.7 m,1,Not available,,No Renovation,Armavir › Armavir,"$40,000",USD,The price of the old house of Didek paintings is finalTranslated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/17528754
Panels,No,Not available,5,67 sq.m.,2,1,from 2.8 m,5,Closed balcony,Not available,Euro Renovation,Armavir › Metsamor,"$30,000",USD,"2-room apartment 67/2 sq. M., 5/5 floor, south side, euro-renovated, euro windows and doors, hot and cold water, gas-fired, two air conditioners, price: $30,000, call if interested:A garage for sale.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18374738
Stone,No,Not available,5,41 sq.m.,1,1,from 2.8 m,4,Closed balcony,,Old Renovation,Armavir › Echmiadzin,"$31,000",USD,"A 1-room apartment is for sale on the 4th floor of a 4-story stone building on Baghramyan Street in Etchmiadzin. At the moment, it serves as 2 rooms, although there is a closet instead of a wall. It has a large hallway, a huge living room, a huge kitchen and a chula.Code 18162Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/12893591
Stone,No,Not available,2,46 sq.m.,3,1,from 2.75 m,2,Closed balcony,By agreement,Major Renovation,Armavir › Baghramyan,"$30,000",USD,"In Baghramyan village, located between Etchmiadzin and Yerevan, a 3-generation apartment converted into 2 is for sale on the 2nd floor of a stone building. There is a euro window, calonca, constant hot/cold water, laminate floor + 90 square meters of land and a very large front yard.Code 17566Translated from Armenian",Nov-25-2022_14-04,OUtdoor parking,STove,YArd view,,https://list.am/en/item/17219608
Panels,No,Not available,5,82 sq.m.,3,1,from 2.75 m,3,Multiple balconies,Not available,Old Renovation,"Aragatsi street, Vagharshapat","$43,000",USD,"A 3-room apartment is for sale in the 14th building (3rd floor) of Aragats massif in Etchmiadzin. All utilities are available (gas, electricity, water)Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18374327
Panels,No,Not available,5,64 sq.m.,2,1,from 2.8 m,5,Multiple balconies,,Partial Renovation,"Gortsaranain street, Armavir","$25,000",USD,"A two-room apartment is for sale in the city of Armavir. The apartment is located on the fifth floor, has two balconies, one open and one closed. It is partially renovated.The price of the apartment is negotiable. You can call to get acquainted with the details.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18374087
Stone,No,Not available,5,61 sq.m.,3,1,from 2.8 m,1,Closed balcony,,Euro Renovation,Armavir › Echmiadzin,"$65,000",USD,"3-room house for saleOn Mashtots Street in EtchmiadzinFloor 1_1The area is 61 square meters, 35 residential plots, 15 square meters commercialAshotBarber shopHeating systemLogin changedFor more information callCode A071Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/14053477
Stone,No,Not available,5,36 sq.m.,1,1,from 2.7 m,4,Closed balcony,,No Renovation,Armavir › Echmiadzin,"15,700,000 ֏",AMD,"1-room apartment for saleEtchmiadzin city, on Mashtots streetThe area is 36 square metersFloor 4AshotFor more information callCode A079Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18280273
Stone,No,Not available,5,71 sq.m.,3,2,from 2.75 m,2,Not available,,Cosmetic Renovation,Armavir › Echmiadzin,"$68,000",USD,"️Address to Etchmiadzin, by car️Area 71, sq. M.️ Floor 5/2ԱցուցիչAdditional Information:3-room apartment for sale in Echmiadzin, has all the communal facilities, baxi systemFor more information callCode R0111Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17415300
Stone,No,Not available,5,67 sq.m.,3,1,from 2.75 m,5,Open balcony,Not available,Partial Renovation,Armavir › Echmiadzin,"$45,000",USD,"Apartment for saleAddress K. In the center of EtchmiadzinArea 67 square metersFloor 5:Number of rooms 3:With communal convenience Has land, storageCode H021Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/14526642
Stone,No,Not available,5,74 sq.m.,3,1,from 2.6 m,1,Open balcony,,No Renovation,Armavir › Echmiadzin,"$48,000",USD,Apartment for saleAddress K. Echmiadzin Mashtots streetArea 74 square metersNumber of rooms 3 Floor 1 Has land in front of 40 square meters The windows have been changedCode H063Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/14630474
Stone,No,Not available,5,61 sq.m.,3,1,from 3 m,4,Open balcony,,Designer Renovation,Armavir › Echmiadzin,"$50,000",USD,Apartment for saleAddress K. Etchmiadzin Mashtots Floor 4 Room 2 converted into 3 Residential 60 sq. M. Separate storage inside. It has all the utilitiesCall for detailsCode H087Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/15848566
Stone,No,Not available,5,37 sq.m.,2,1,from 2.75 m,5,Not available,,Major Renovation,Armavir › Echmiadzin,"$38,000",USD,"Apartment for saleAddress K. Echmiadzin Mashtots streetArea 37 sq. M. Sale with kitchen, bedroom, lobby furnitureThe roof is repairedNumber of rooms 2 Floor 5 Has all the utilitiesCode H028Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/16967520
Stone,No,Not available,5,52 sq.m.,3,1,from 2.75 m,3,Open balcony,,Partial Renovation,Armavir › Echmiadzin,"$32,000",USD,"Address: Echmiadzin️Surface 50 square meters,Floor 3/3️Additional DataAn apartment for sale in the village near Etchmiadzin, 2 rooms, 3 rooms, renovated, the roof has been changed with all the property.For more information callCode R149Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/13127178
Panels,No,Not available,5,84 sq.m.,5,1,from 2.7 m,4,Open balcony,Not available,Partial Renovation,Armavir › Echmiadzin,"$110,000",USD,Կոդ E007Էջմիածնի սրտում (հրապարակում)Ավտոտնակ (օրինական)5 սենյականոց բնակարանՄակերես 103 քմՀարկ 4Կոմունալ հարմարությունՄանրամասների համար զանգահարել:,Nov-25-2022_14-04,,,CIty view,,https://list.am/en/item/15073522
Stone,No,Not available,5,59 sq.m.,3,1,from 2.7 m,4,Open balcony,Not available,Partial Renovation,Armavir › Echmiadzin,"$55,000",USD,"Code A0993-room apartment for saleIn the center of Etchmiadzin cityFloor 4The area is 59 square meters,AshotFor more information callTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18208106
Stone,No,Not available,5,65 sq.m.,2,1,from 2.75 m,5,Open balcony,,Partial Renovation,Armavir › Echmiadzin,"$45,000",USD,"Code A0103‼ 2-ROOM APARTMENT FOR SALE+ SIGNIn Etchmiadzin City, on Vazgen A StreetFloor 5The area is 65 square metersAlong with the propertyAshotCode H116Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/15132323
Stone,No,Not available,5,69 sq.m.,3,1,from 2.7 m,3,Not available,,Partial Renovation,Armavir › Echmiadzin,"12,700,000 ֏",AMD,"The price is 12,700,000 dramsApartment for saleAddress K. Floor 3/2 in the village near EtchmiadzinArea 79 square metersNumber of rooms 3 + sign Open balcony Heating system (BAXI) Has a garage There is light. Water. Gas, has all the utilitiesFire:Call for detailsCode H107Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/14760453
Panels,No,Not available,5,80 sq.m.,3,2,from 2.75 m,5,Open balcony,,Cosmetic Renovation,Armavir › Echmiadzin,"$52,000",USD,Կոդ A0271ՎԱՃԱՌՎՈՒՄ Է 3 ՍԵՆՅԱԿԱՆԻ ԲՆԱԿԱՐԱՆԷջմիածին Քաղաքի Վ. Կոստանյան փողոցումՀարկ 5Մակերեսը 80 քմԱշոտԲնակարան ունի կոմունալ բոլոր հարմարությություններ:Ջեռուցման համակարգօդորակիչ2 բաց պատշկամբտանիքն վերանորոգվացպանուհանը այլումինից նոր փոխվածդուռն նոր երկաթյաՄանրամասների համար զանգահարել...,Nov-25-2022_14-04,,,,,https://list.am/en/item/15266615
Stone,No,Not available,5,62 sq.m.,2,1,from 2.75 m,5,Not available,,Euro Renovation,Armavir › Echmiadzin,"$37,500",USD,2-room + niche apartment is for sale in Aragats massif of Etchmiadzin.5th floorRoof changedStorage on the roofLarge storage room at the entranceUtilities:Water tankWater pump 2 pcsWindows changedWooden parquetThe bathroom is renovatedNormally renovatedThe area is 61.3 square metersCode T318Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/17556088
Stone,No,Not available,5,80 sq.m.,3,1,from 2.7 m,1,Not available,,Cosmetic Renovation,Armavir › Echmiadzin,"21,500,000 ֏",AMD,Universal real estate for sale on Baghramyan Street in Etchmiadzin.1st floorUtilitiesThe door is ironEuropean hotelsSuitable for commercial purposes and residentialArea: 79.1 square metersCall TigranCode T429Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/13969201
Stone,No,Not available,5,76 sq.m.,3,1,from 2.7 m,1,Closed balcony,Not available,No Renovation,Armavir › Echmiadzin,"$44,000",USD,3-room apartment for saleCharents district near the park in Etchmiadzin cityFloor 1Area 76AshotFor more information callCode A080Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/17350772
Stone,No,Not available,5,71 sq.m.,3,1,from 2.7 m,2,Open balcony,,Partial Renovation,Armavir › Echmiadzin,"$68,000",USD,"Address: Echmiadzin, Kirov️Area 71, square meters,Floor 5/2️Additional DataA 3-room apartment is for sale in Etchmiadzin, it has all utilities and a bac systemFor more information callPhone numberCode R111Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/14609923
Stone,No,Not available,5,60 sq.m.,3,1,from 2.75 m,1,Open balcony,,Cosmetic Renovation,Armavir › Echmiadzin,"$45,000",USD,A 3-room apartment converted into 2 is for sale in the Aragats area of Etchmiadzin.1st floorIn normal conditionThe windows are replaced with barsSome of the doors have been replacedLarge and high basement with 2 entrancesAt the warehouse entranceUtilitiesHeating SystemLines of communication changedThe floor is laminate and parquetLand-parkArea: 59.5 square metersCall TigranCode T240Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/14007587
Stone,No,Not available,5,143 sq.m.,4,1,from 2.75 m,5,Multiple balconies,,Partial Renovation,Armavir › Echmiadzin,"$56,000",USD,"4-room apartment for saleIn the heart of MashtotsFloor 5_5The area is 143 square metersAshotTo receive additional information, call...For more information call...Code E0513Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/15408830
Stone,No,Not available,5,75 sq.m.,3,1,from 3 m,4,Open balcony,,Euro Renovation,Armavir › Echmiadzin,"$43,000",USD,"3-room apartment for saleEtchmiadzin city, Charents districtFloor 4The area is 76 square metersAshotHas 2 large shoesentrance to the warehouseFor more information callCode A074Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/14544474
Stone,No,Not available,5,70 sq.m.,3,2,from 2.8 m,4,Closed balcony,,Partial Renovation,Armavir › Armavir,"$29,000",USD,В городе армавир. Срочно торго,Nov-25-2022_14-04,,,,,https://list.am/en/item/18332582
Panels,No,Not available,5,72 sq.m.,3,1,from 2.8 m,5,Closed balcony,,Old Renovation,"1-st District, Metsamor","$30,000",USD,Можете звонить на указанный номер для информации.,Nov-25-2022_14-04,,,,,https://list.am/en/item/18373868
Stone,Yes,Not available,5,78 sq.m.,3,1,from 3 m,4,Closed balcony,,Cosmetic Renovation,"Charents street, Armavir","$46,000",USD,It is gasified and is in good conditionCode 0068Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/18372950
Stone,No,Not available,1,1730 sq.m.,3,1,from 2.7 m,1,Not available,,Old Renovation,"1-ին փողոց 3, Ոսկեհատ","$23,000",USD,Собственный дом в Эчмиадзине дом 130м земля 1600м,Nov-25-2022_14-04,,,,,https://list.am/en/item/18135298
Stone,Yes,Not available,5,69 sq.m.,3,2,from 3 m,2,Open balcony,Available,Designer Renovation,Armavir › Echmiadzin,"$67,000",USD,"3-room apartment for urgent saleLocated in Etchmiadzin cityLine 1 at the central starting point of Zvartnots tgmThe apartment is fully renovated, the bathroom is tiled with all utilities, it has a garage in the hallway with 2 storage units.The apartment is sold with the entire property and garageURGENT price negotiableTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18372473
Stone,Yes,Not available,3,87 sq.m.,3,2,from 2.8 m,2,Multiple balconies,,Old Renovation,"Baghramyan street, Armavir","$44,000",USD,K. Armavir. Baghramyan St. 8. Yerord. School. And. Sotsapi. Neighboring apt. Sun. Side. Has. Always Water: Light: Gas. The windows. They have changed. Euro. Has. Also. Basement:Code 1977Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/18219797
Stone,No,Not available,5,94 sq.m.,4,1,from 3.2 m,2,Multiple balconies,,Cosmetic Renovation,Armavir › Armavir,"$65,000",USD,"4 rooms for sale. Apartment 94m2 in Armavir city. The apartment is located near Baghramyan Street, on the 2nd floor of a stone building. It also has a basement, a garage and a plot of land. URGENT negotiableTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18175256
Stone,No,Not available,5,94 sq.m.,4,2,from 3 m,2,Multiple balconies,,Major Renovation,Armavir › Armavir,"$58,000",USD,"4 rooms for sale. Apartment 94m2 in Armavir city. The apartment is located near Baghramyan Street, on the 2nd floor of a stone building. It also has a basement, a garage and a plot of land.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18290275
Stone,Yes,Not available,3,90 sq.m.,4,2,from 2.8 m,3,Closed balcony,,Euro Renovation,Armavir › Armavir,"$63,500",USD,"4-room apartment in Armavir, Baghramyan 18, 90.7 square meters. M. , 3/3 floor - The apartment is European renovated, sunny side, has all facilitiesPermanent hot and cold water, The apartment also has two basements and one large, high garage. The apartment is sold with furniture and appliances. It is not for rent.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18094152
Stone,No,Not available,2,74 sq.m.,3,1,from 2.75 m,2,Not available,,Major Renovation,"Mesrop Mashtots street, Vagharshapat","$63,000",USD,"3-room apartment is for sale urgently on Mesrop Mashtots street, on the 2nd floor of a 2-storey building, capitally renovated, for sale together with the kitchen property.Code AY016Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17837733
Panels,Yes,Not available,4,70 sq.m.,2,1,from 3 m,1,Not available,,Major Renovation,"Baghramyan street, Vagharshapat","$78,000",USD,"Baghramyan street 20A building, 1st floor, the windows face Baghramyan street. Two-room fully renovated property with all appliances. Baxi heating constant hot and cold water. Price negotiable.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/16843228
Stone,Yes,Available,5,100 sq.m.,3,1,from 3 m,1,Not available,,Major Renovation,"Baghramyan street, Vagharshapat","10,000 ֏",AMD,"10000 AMD per dayThe apartment is designed for 3-4 people.Very beautiful, bright and comfortable apartment in the center of Etchmiadzin. The apartment is newly renovated, uninhabited.Fully renovated with all utilities and appliancesConstant hot and cold water,Baxi heatingRefrigeratorWashing machineTablewareLinenHouse TV ալի Wifi:For more information call:Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/15805205
Stone,No,Not available,5,92 sq.m.,4,1,from 2.7 m,1,Open balcony,Not available,Major Renovation,Armavir › Echmiadzin,"$62,000",USD,"AS053:K. A 4-room apartment on the 5/1st floor is for sale on Patkanyan Street in Etchmiadzin. The apartment is completely renovated, the entrance is separate, the sewer is separate, it has 2 basements and a heating system in the basement. The windows have been changed, and the bathroom has been renovated. The total area is 91.2 square meters. The cost is $62,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18372232
Stone,Yes,Not available,2,116 sq.m.,4,1,from 2.7 m,1,Open balcony,Available,Major Renovation,Armavir › Echmiadzin,"$73,000",USD,"AS066:K. A 4-room apartment on the 2nd/1st floor is for sale on Spandaryan Street in Etchmiadzin. It has been completely renovated, the general floor is tiled, and the bedrooms have laminate. The front part of the apartment is covered with marble (ablitsovka), it has a very nice garden with its own fireplace and storage. A heating system has been installed, the doors and windows have been changed, and it is being sold with all the property and appliances. (Each technique in the pictures is included in the price) The total area is 116 square meters. Of which 85.8 are residential. The cost is $73,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18372076
Stone,No,Not available,5,80 sq.m.,3,2,from 2.8 m,5,Multiple balconies,By agreement,Designer Renovation,Armavir › Echmiadzin,"$95,000",USD,The apartment is completely renovated with expensive materials. It is sold together with kitchen furniture.Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/16393121
Stone,No,Not available,5,80 sq.m.,3,1,from 3 m,4,Multiple balconies,,Cosmetic Renovation,Armavir › Echmiadzin,"$42,000",USD,"3-room apartment is for sale in the first building of Zvartnots. The apartment is gasified, has permanent water. Call WhatsApp for detailsTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17670110
Stone,No,Not available,4,68 sq.m.,3,1,from 2.8 m,1,Open balcony,Available,Euro Renovation,Armavir › Echmiadzin,"$57,000",USD,"AS035:K. A 3-room apartment on the 4th/1st floor is for sale in the central part of Etchmiadzin. The apartment is sold with all the property, appliances, and has all utilities (sewer has been changed) The total area is 68 square meters. The cost is $60,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/14301627
Panels,No,Not available,5,72 sq.m.,3,1,from 2.5 m,3,Not available,,Cosmetic Renovation,Armavir › Echmiadzin,"$65,000",USD,"A 3-room apartment is for sale in the city of Etchmiadzin, the apartment needs cosmetic renovation, and hot and cold water, gas, electricity.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18069940
Stone,No,Not available,5,65 sq.m.,2,1,from 2.7 m,2,Open balcony,Not available,Old Renovation,Armavir › Echmiadzin,"$50,000",USD,"AS052:K. A 2-room apartment on the 2nd floor is for sale on Vram Kostanyan Street in Etchmiadzin. The total area is 64.5 square meters. The cost is $50,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18371469
Stone,No,Not available,5,69 sq.m.,3,1,from 2.7 m,4,Open balcony,,Cosmetic Renovation,Armavir › Armavir,"$52,000",USD,"3-room apartment for sale in Armavir, Armavir region, (CLOTHES WORLD BUILDING)The apartment is renovated, there is a heating system, a heated floor.For sale with partial ownership.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18339051
Stone,No,Not available,5,103 sq.m.,3,1,from 2.7 m,1,Closed balcony,,Major Renovation,"Vazgen Arajin street, Vagharshapat","$98,000",USD,"Fully renovated apartment, uninhabited, suitable for commercial area. OwnerTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17239949
Stone,No,Not available,1,651 sq.m.,3,1,from 3 m,1,Open balcony,Not available,Cosmetic Renovation,"Նավասարդյան փողոց 8, Վաղարշապատ","$70,000",USD,"Private house for sale urgentlyCity Etchmiadzin, on Navasardyan Street, NEAR ALINA SUPERMARKET. The total area of the house is 651 square meters, the living area is 151 square meters.The house is provided with Belor communal pipes, permanent water.The sewer lines and water lines of the house have been completely changed. It has a well for irrigation. It has a large basement.For details, call the indicated phone number.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18089585
Stone,No,Not available,5,120 sq.m.,4,2,from 3 m,2,Open balcony,Not available,Cosmetic Renovation,"Aragatsi street, Vagharshapat","$53,000",USD,"A bright apartment is for sale in Zvartnots, in Aragats district. The apartment is old renovated, is in clean condition. It is provided with all utilities. Individual heating system is installed. It has an open balcony. For more information call: HaykCode 7720Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17069826
Stone,No,Not available,5,47 sq.m.,1,1,from 2.7 m,2,Closed balcony,Available,Cosmetic Renovation,Armavir › Echmiadzin,"$40,500",USD,"A 1-room apartment (with niche) is for sale in the Charents district of Etchmiadzin, on the 2nd floor of a 5-story building, the apartment is on the sunny side, it is a stone building.Call for detailsHas constant water, electricity, gas.The price is final: $40,500Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/15173011
Panels,No,Not available,5,79 sq.m.,3,1,from 2.8 m,5,Open balcony,,Cosmetic Renovation,Armavir › Metsamor,"$30,000",USD,"An apartment is for sale in the city of Metsamor in building 17 with a separate porch on the 5th floor of a 5-story building. All utilities are available, it is gas-fired, the windows are euro. The entrance door is new. Call for details.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18140658
Stone,No,Not available,5,78 sq.m.,3,1,from 2.6 m,5,Open balcony,,Euro Renovation,"Զվարթնոց թաղամաս 8, Վաղարշապատ","$70,000",USD,"The apartment is located at the beginning of Zvartnots district, close to the highway. The power cord has been completely changed. There is a separate water tap with constant hot and cold water, a boiler system. There is no problem with the roof. Wi-fi is disabled.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/16648680
Stone,No,Not available,5,78 sq.m.,3,1,from 2.75 m,5,Closed balcony,Not available,Old Renovation,Armavir › Merdzavan,"$40,000",USD,"The apartment is located in the central part of Merdzavan, gas, light, water, front lineTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/14466827
Stone,No,Not available,2,101 sq.m.,4,1,from 2.75 m,2,Closed balcony,,Partial Renovation,Armavir › Merdzavan,"$65,000",USD,"A 5-room apartment of 101 square meters is for sale in the center of Merdzavan on the 2nd floor of a two-story buildingThe ceiling is 2.75European windows, iron doorAvailable in the areaSupermarket 20mSchool 200mKindergarten 150mPharmacy 20metcTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/16711177
Stone,No,Not available,5,78 sq.m.,3,1,from 2.8 m,5,Open balcony,Not available,Euro Renovation,"Սայաթ-Նովա փողոց 3Ա, Արմավիր","$40,000",USD,The apartment is renovated in EuroTranslated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/18180366
Stone,No,Not available,5,68 sq.m.,2,1,from 2.8 m,3,Closed balcony,Not available,Cosmetic Renovation,Armavir › Echmiadzin,"$49,000",USD,"A large 2-room apartment is for sale on the 3rd floor of a 5-storey stone building not far from Etchmiadzin market. There is gas, permanent water supply, the living room has been enlarged at the expense of a closed balcony.Code 14622Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/16263809
