Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Address,Price,Currency,Description,Datetime,Land Area,Appliances,Service Lines,Facilities,Links
House,Bricks,90 sq.m.,1,4,2,,,Partial Renovation,Lorri › Vanadzor,"$15,500",USD,"A detached house is for sale in the village of Pushkino, the condition is residential, it has a garden with fruit trees, as well as shared land, 1000m of arable land and a grass area of 1500m, there is water and electricity, gas is attached to the house, the basement is separate from the house, there is a barn for 2 cattle, there is also a room for small cattle attached to the barn. 4 rooms, call for details.Translated from Armenian",Nov-25-2022_00-21,1000 sq.m.,,,,https://list.am/en/item/17428305
House,Stone,220 sq.m.,2,5,2,,,Euro Renovation,Lorri › Stepanavan,"$59,000",USD,Продаётся двухэтажный собственный дом в районе Лори город Степанаван с участком 450 кв. М. Цена договорная.,Nov-25-2022_00-21,450 sq.m.,,,,https://list.am/en/item/17566208
House,Stone,130 sq.m.,2,4,2,,,Old Renovation,Lorri › Vanadzor,"$23,000",USD,"A 2-storey private house is for sale in Vanadzor. The living area is 130 square meters.It has an orchard.Livestock farm.It has constant water supplyGas, light.The price is not final.It needs cosmetic repairs.NegotiableCode 202209Translated from Armenian",Nov-25-2022_00-21,1000 sq.m.,,,,https://list.am/en/item/18280522
House,Monolith,259 sq.m.,2,7,1,,,Major Renovation,Lorri › Vanadzor,"$77,000",USD,"Продается 2-х этажный дом с участком 2000кв. Вблизь города Ванадзор, село Гугарк.В доме сделан современный дизайнерский ремонт. Имеется постоянная вода. Участок озеленен, имеются фруктовые деревья (яблони, груши, сливы нескольких видов, грецкий орех, фундук, вишня, черешня, абрикосы, виноград и т. Д.) Цена договорная. Пишите смс",Nov-25-2022_00-21,2000 sq.m.,,,,https://list.am/en/item/18145897
House,Stone,1250 sq.m.,2,6,1,,,Partial Renovation,Lorri › Vahagnadzor,"$70,000",USD,"Շտապ վաճառք!Տունը քարե է, երկրորդ հարկում կա 5 ննջասենյակ, 1 հյուրասենյակ։ Կա այգի։ Փամբակ գետը տան մոտ. Տեսարանները շատ գեղեցիկ են։ Հարցերի դեպքում զանգահարեք կամ whatsappСрочно продается!Дом каменный, на втором этаже 5 спальней, 1 гостинная. Есть огород. Рядом с домом река Памбак. Виды очень красивые. По всем вопросам звонить по телефону, либо можно написать в ватсапе",Nov-25-2022_00-21,,,,,https://list.am/en/item/18180561
House,Stone,95 sq.m.,1,4,1,,,Old Renovation,"Տավրոսի 18-րդ փողոց 2, Վանաձոր","4,000,000 ֏",AMD,"The residential house is partially renovated, with all utilities.Translated from Armenian",Nov-25-2022_00-21,853 sq.m.,,,,https://list.am/en/item/18137839
House,Stone,111 sq.m.,2,4,2,,,Partial Renovation,Lorri › Stepanavan,"$30,000",USD,"A two-storey house with an area of 111 square meters is for sale in the village of Amrakits, 1 km away from Stepanavan, which was thoroughly built after the earthquake on a solid foundation. It has 1370 square meters of land near the house with fruit trees. There is a barn, a bakery, a half-built barn-bathroom near the house. There is a father under the house from the outside.Inside the house, a brick stove is built into the wall, it has constant water and electricity. It is convenient to use for agricultural purposes (agriculture, cattle breeding), as it can be turned into a guest house.Nearby Russian church of historical significance, Lori berd (Lori berd), Dendropark (Dendropark) 1,306 ha and 0.453 ha of arable land is for sale next to it. Included in the price.Translated from Armenian",Nov-25-2022_00-21,1370 sq.m.,,,,https://list.am/en/item/17402024
House,Stone,111 sq.m.,2,4,2,,,Partial Renovation,Lorri › Amrakits,"$30,000",USD,"A two-storey house with an area of 111 square meters is for sale in the village of Amrakits, 1 km away from Stepanavan, which was thoroughly built after the earthquake on a solid foundation. It has 1370 square meters of land near the house with fruit trees. There is a barn, a bakery, a half-built barn-bathroom near the house. There is a father under the house from the outside.Inside the house, a brick stove is built into the wall, it has constant water and electricity. It is convenient to use for agricultural purposes (agriculture, cattle breeding), as it can be turned into a guest house.Nearby, a Russian church of historical significance, Lori berd, Lend berd, Dendropark. 1,306 ha and 0.453 ha of arable land is for sale next to it. Included in the price.Translated from Armenian",Nov-25-2022_00-21,1370 sq.m.,,,,https://list.am/en/item/17513732
House,Stone,400 sq.m.,3,7,2,Available,Not available,No Renovation,Lorri › Vanadzor,"$40,000",USD,"АДРЕС УЛИЦА ГРИГОРА НАРЕКАЦИ ДОМ 11 В ШАГОВОЙ ДОСТУПНОСТИ НЕДАВНО ПОСТРОЕННЫЙ ОТ ШКОЛЫ АКСЕЛА БАКУНЦА 7 Продается каменный дом, трехэтажный построен после землетрясения ЦЕНА ЗА ДОМ 40 000$ Площадь дома 400м2 имеется железобетонный монолитный подвальный этаж площадь его равна 80м2 + маран 10м2,высота потолков 3 метра на всех этажах и в подвале. Все потолки монолитные. Рядом с домом есть школа имени Аксела Бакунца 7, недавно построена в шаговой доступности. В доме имеются с фасадной стороны две железные ворота один маленький для легковых машин, вторые большие заезд под дом для грузового транспорта, площадь которого 70м2,ширина и высота 4 метра длинна 18 метров. На первом этаже сан узел и отдельный туалет кухня одна комната и большой гараж на две машины в котором есть смотровая яма. На втором этаже 5 комнат гостинная и сан узел, имеется недостроенный мансардный этаж площадь которого 90м2 высота потолков 2,5 м. В доме есть канализационный септик. Рядом с домом проходит новая водопроводная магистраль котораяподведена к дому. Есть электричество вода и газ. Удобен для постоянного проживания и также для бизнеса. С документами все в порядке. ЦЕНА ДОГОВОРНАЯ. СОБСТВЕННИК, ЗВОНИТЕ КАЖДЫЙ ДЕНЬ С 9 ДО 23 8-968-633-51-51",Nov-25-2022_00-21,,,,,https://list.am/en/item/17615139
House,Stone,200 sq.m.,2,7,1,Not available,Not available,Old Renovation,Lorri › Vanadzor,"$59,000",USD,"ПРОДАЮТСЯ ДВА КАМЕННЫХ ДОМА ПО АДРЕСУ УЛИЦА НАРЕКАЦИ ДОМ 11 В ШАГОВОЙ ДОСТУПНОСТИ ОТ ШКОЛЫ НЕДАВНОЙ ПОСТРОЕННОЙ АКСЕЛА БАКУНЦА 7 В одном участке площадь участка равна 600 м2, цена за два дома 59 000$ Если имеется нехватка денежных средств то частью суммы можно расплатиться (обмен) машиной (2010-2015 год выпуска) и квартирой в городе. Второй дом отдельно не продается, только вместе с первым. Первый дом продается отдельно, построен после землетрясения. Цена за первый дом 39000$ который находится вдоль улицы. Торг уместен только для тех кто купит два дома без обмена, можно договориться об отсрочке если нет возможности оплатить сразу за второй дом. Первый дом трехэтажный который с фасадной стороны имеет арочные окна и две металлические ворота один большой для грузовых машин второй маленький для легкового транспорта два машинных места, а также есть железобетонный монолитный подвальный этаж площадь которого 80 м2 и маран с площадью 10 м2 для хранения овощей фруктов и домашних консервов. Все перекрытия этажей железобетонные монолитные. На первом этаже одна спальная комната, кухня, совместный санузел и отдельный туалет, гараж, в гараже имеется смотровая яма. Высота потолков на втором этаже три метра, 4 спальни, гостевая комната, балкон по всей ширине дома и недостроенный совместный санузел, мансардный этаж не построен площадь 90 м2.В доме есть электричество газ и вода, все этажи полностью оштукатурены, есть канализационный септик. Рядом с домом проходит новая водопроводная магистраль котораяподведена к дому. Документация в порядке. СОБСТВЕННИК. ЦЕНА ДОГОВОРНАЯ. Очень удобное расположение для бизнеса а также для постоянного проживания. Звоните в любой день с 9 до 23. 8-968-633-51-51 Миша",Nov-25-2022_00-21,,,,,https://list.am/en/item/16419647
House,Stone,1000 sq.m.,1,4,1,Not available,Not available,Old Renovation,Lorri › Dsegh,"$29,000",USD,Call for detailsTranslated from Armenian,Nov-25-2022_00-21,800 sq.m.,,,,https://list.am/en/item/17831552
House,Stone,202 sq.m.,1,6,1,,,Partial Renovation,"Երիտասարդական փողոց 42, Ստեփանավան","$80,000",USD,"The house is made of stone, it is located near the forest, there are fruit trees in the yard. The house is convenient to use as a guest house.He has a mansard. It has a basement նախատեսված a garage for 2 cars.Translated from Armenian",Nov-25-2022_00-21,600 sq.m.,,,,https://list.am/en/item/17695717
House,Stone,300 sq.m.,2,7,1,Not available,1 spot,Partial Renovation,"Մատրոսովի փողոց 44, Ստեփանավան","$38,500",USD,"The house was built in 1991. With quality building materials, on the first floor there is a living room, bedroom, dining room and kitchen with its attic, on the 2nd floor there are 4 separate bedrooms that need renovation, on both floors there are spacious balconies, all utilities are available, in the yard there is a two-story structure, on the 1st floor a garage and workshop on the 2nd summer house, fruit trees, grapes in the gardenTranslated from Armenian",Nov-25-2022_00-21,676 sq.m.,,,,https://list.am/en/item/17919723
House,Stone,65 sq.m.,1,2,1,,,Partial Renovation,"Բաղրամյան փողոց 130, Ստեփանավան","$26,000",USD,"One-storey private house with all communal facilities is for sale on the central street. Has one room, one living room, renovated kitchen, bathroom, heating system (Baxi) Euro windows are installed. There is a basement along the house. In the front there is a garden with fruit trees. The front is suitable for creating a business space. There is also an old house in the yard.Translated from Armenian",Nov-25-2022_00-21,370 sq.m.,,,,https://list.am/en/item/17234183
House,Stone,100 sq.m.,2,3,1,,,Old Renovation,Lorri › Gyulagarak,"$40,000",USD,"A two-storey private house is for sale near the village of Gyulagarak, Lori region. For details, call.Translated from Armenian",Nov-25-2022_00-21,,,,,https://list.am/en/item/17800725
House,Stone,267 sq.m.,3,8+,2,,,No Renovation,"Լոռու խճուղի, Վանաձոր","$20,000",USD,"The apartment is located in Gugark (Meghrut) community, 2nd apartment on 12th street, on 3rd street, has all the communal facilities, big garage (boxing), price is negotiableTranslated from Armenian",Nov-25-2022_00-21,95 sq.m.,,,,https://list.am/en/item/17492671
House,Monolith,335 sq.m.,3,7,2,,,No Renovation,"Zoravar Andranik street 15, Vanadzor","2,800,000 ₽",RUB,"Ք. ՎանաձորԶ. Անդրանիկի փողոց/ հասցեում վաճառվում է բնակելի տուն (կարող է ծառայել նաև որպես հյուրատուն)* 7սենյակ* 1031քմ/ 335քմ տուն* 2հարկ/ 3հարկի նախագիծ40°48'01.3""N 44°30'07.0""E40.800357, 44.501937Продается дом. В доме вся черновая работа выполнена.Остается включить свою фантазию вложить деньги и сделать домом своей мечты.",Nov-25-2022_00-21,,,,,https://list.am/en/item/14924800
House,Stone,92 sq.m.,2,6,1,,,Old Renovation,"Սուրեն Ավետիսյան փողոց 17, Սպիտակ","$45,000",USD,Own house for sale in Spitak city. It has constant gas and water. There is a large cattle barn on the plot next to the house. There are fruit trees and a swimming pool in the garden. It also has a large balcony.Translated from Armenian,Nov-25-2022_00-21,3910 sq.m.,,,,https://list.am/en/item/18105678
House,Stone,260 sq.m.,2,7,3+,Available,2 spots,Old Renovation,"Թամանցիների փողոց 12, Վանաձոր","$28,000",USD,"Продаётся 2 этажный дом в городе Ваназор. Дом расположен в районе завода слепых. Лагер.Дом 260 квмГаражы 2 87квмТуалет на улице 3квмПодвал 8квмЗабор 3.3 mДом 2 этажный с подвалом, со старым ремонтом.На втором этаже 2 большие спальни, большой зал, кухня, туалет и ванная комната отдельно.Покрытие крыши дома шифер,Установлено на крыше дома цистерна 1000 литров длч питьевой воды.На 2 этаже сделан паркет.На первом этаже 2 спальни, зал, кухня, туалет и ванная комната.На гаражах есть 2 комнатная летняя веранда.Дом продаётся с мебелью цена 28 тисячь, без мебели 26.Мебель очень хорошая.Для связи звоните нам на русский номер вацапа или вайбер.",Nov-25-2022_00-21,500 sq.m.,FRidge,,,https://list.am/en/item/18186361
House,Stone,191 sq.m.,3,6,3+,By agreement,2 spots,Partial Renovation,"Ֆիդայիների փողոց 2, Վանաձոր","18,000,000 ֏",AMD,"THE PRICE IS MUCH LOWER THAN THE MARKET.VERY URGENTLY. ORIENTATE TO CALL NEWUrgent 3-storey private house with all utilities for sale.Large and comfortable house, spacious rooms that can be multiplied by sharing.The building area is 191 square meters.700 square meters of land with many kinds of fruit trees, plants and flowers.The house is pasture. Clean air, quiet district.Strong house. The thickness of the walls of the house is 60 cm. Two-layer tuff stone.The house is in good condition. The house is heated with a gas boiler. The house is provided (round the clock) with constant hot and cold water, gas, electricity, telephone, internet.Large stone garage on the first floor of the house, 4 large basements. There is a bathroom on all 3 floors. Entrance to the house from the second floor. Water pipes are new. New wiring.Second and third floors are residential, ground floor is garage ուղ basements. The second and third floors are connected by stairs inside the house.The house has a barn with a sewer. The house has an attic (attic)Due to the large garden, the area near the house, it is possible to build other buildings.2 open balconies, one of the balconies overlooks the beautiful garden next door, the other balcony offers a beautiful view of the city of Vanadzor.There is a minibus bus stop in front of the house.The house and the area around the house are not completely visible in the pictures.FOR MORE DETAILED QUESTIONS PLEASE CALL.DO NOT MAKE SENSELESSI REPEAT NOT TO CALL MEANINGLESS AGAINTranslated from Armenian",Nov-25-2022_00-21,700 sq.m.,,,,https://list.am/en/item/15928700
Country House,Stone,3150 sq.m.,2,4,1,Not available,Not available,No Renovation,"1-ին փողոց 20, Արջուտ","$20,000",USD,Half-built two-story house for sale c. There are more than 60 fruit trees in Arjut. Please call if you have any questionsTranslated from Armenian,Nov-25-2022_00-21,3150 sq.m.,,,,https://list.am/en/item/18062616
Country House,Wooden,18 sq.m.,1,1,1,,,No Renovation,"Tavros 4-th street 1st lane, Vanadzor","$1,000",USD,Cottages for saleTranslated from Armenian,Nov-25-2022_00-21,50 sq.m.,,,,https://list.am/en/item/17764801
Country House,Stone,65 sq.m.,2,3,1,,,Cosmetic Renovation,"2-й переулок 1-й улицы Хндзорут 19, Ванадзор","$9,000",USD,Call for detailsTranslated from Armenian,Nov-25-2022_00-21,700 sq.m.,,,,https://list.am/en/item/17951637
House,Stone,100 sq.m.,1,3,1,Available,2 spots,Old Renovation,"Երիտասարդական փողոց 26, Ստեփանավան","$18,500",USD,"Գտնվում է բնության գեղատեսիլ անկյունում՝ Ստեփանավան քաղաքում։Կենտրոնական փողոցին կից։Ունի կապիտալ վերանորոգման կարիք։Վաճառքը հնարավոր է մասնակի՝ առանձին մուտքի հնարավորությամբ։Ունի քարե ավտոտնակ 35ք/մ։Գինը սակարկելի։Расположен в красивом уголке природы, в городе Степанаван.Рядом с Центральной улицей.Требуется капитальный ремонт.Возможна продажа частично с возможностью отдельного входа.Каменный гараж 35 кв. М.Торг уместен.",Nov-25-2022_00-21,1000 sq.m.,,,,https://list.am/en/item/17870051
House,Stone,120 sq.m.,2,5,2,,,Euro Renovation,Lorri › Vanadzor,"$39,000",USD,"The house was built after the earthquake, it has a heating system, no roof, no water supply drainage problems, it is ready to live immediately, it can be exchanged with another apartment in Vanadzor town or Arjut village, please do not offer dilapidated houses.Negotiable:Address: 1/8 Mashtots Ave.Translated from Armenian",Nov-25-2022_00-21,,,,,https://list.am/en/item/14665161
House,Stone,140 sq.m.,1,6,2,,,Old Renovation,"1-й переулок улици Мясникяна 17, Ванадзор","$60,000",USD,2 stone house poles made of woodWill also be sold separatelyTranslated from Armenian,Nov-25-2022_00-21,810 sq.m.,,,,https://list.am/en/item/16636532
House,Stone,140 sq.m.,2,5,1,Not available,Not available,No Renovation,Lorri › Metsavan,"$5,500",USD,"Зангел вотсапис. Лорва марз, Ташири тарацашрджан, гюх Мецаван",Nov-25-2022_00-21,1500 sq.m.,,,,https://list.am/en/item/18327737
House,Stone,1220 sq.m.,2,7,3+,,,Designer Renovation,"Աբեղյան փողոց 23, Վանաձոր","40,000,000 ֏",AMD,"Stone, two-storey private house with 3 open balconies, 2 cellars, indoor swimming pool, garage, land near the house with orchard.Translated from Armenian",Nov-25-2022_00-21,566 sq.m.,,,,https://list.am/en/item/17648649
House,Stone,90 sq.m.,1,3,1,,,No Renovation,Lorri › Dsegh,"$4,000",USD,"Վաճառվում է հին քարե տուն Դսեղ գյուղում, Թումանյանի տուն թանգարանի մոտ։ Ունի վերանորոգման կարիք, տանիքը պետք է սարքվի։ Կա նաև հողակտոր։",Nov-25-2022_00-21,110 sq.m.,,,,https://list.am/en/item/17966788
House,Stone,100 sq.m.,2,5,2,By agreement,1 spot,Cosmetic Renovation,"Րաֆֆու փողոց 39, Վանաձոր","13,000,000 ֏",AMD,"A two-storey private house is for sale, cosmetically renovated, has a parking lot and a small garden. On the first floor there are 1 living-basement rooms, a bathroom, on the second floor there is a living room, 3 bedrooms, a kitchen, a bathroom. There is a small building (barn) in the park. The house is located near the center, has 2 entrances (Opposite and Bangladesh districts), nearby there are schools, kindergartens, Haypost office. For sale very urgently.Translated from Armenian",Nov-25-2022_00-21,100 sq.m.,,,,https://list.am/en/item/17563681
House,Stone,180 sq.m.,2,5,1,,,Partial Renovation,"Եղիշե Չարենցի փողոց 1, Վանաձոր","$22,000",USD,A two-storey private house is for sale in Vanadzor's Third Part district. All the utilities are available.Translated from Armenian,Nov-25-2022_00-21,130 sq.m.,,,,https://list.am/en/item/17170557
House,Stone,100 sq.m.,1,3,1,,,No Renovation,Lorri › Dsegh,"2,000,000 ֏",AMD,"Վաճառվում է երեք սենյականոց քարե տուն Դսեղ գյուղի գյուղամեջում։ Ունի վերանորոգման կարիք, ունի հողակտոր։",Nov-25-2022_00-21,,,,,https://list.am/en/item/17966626
House,Stone,245 sq.m.,2,6,2,,,Cosmetic Renovation,"Dprotsi street, Vanadzor","$47,000",USD,"There are 2 houses in one yard. Sold together for only $47,000. Live in one, rent the other. It is in the neighborhood of Vanadzor city park, swimming pool, 2nd school, lakes, sanatorium, Zakaryan Street, in short, it is a nice and comfortable location. Total 245 sq. M, 2 bathrooms: Euro-renovated, 6 rooms, closed area for workshop, parking for 2 cars, basement, cellar, possibility to add rooms. The price is negotiable.Translated from Armenian",Nov-25-2022_00-21,,,,,https://list.am/en/item/18148006
Country House,Stone,120 sq.m.,2,5,1,Not available,2 spots,Partial Renovation,"Avetisyan Square 7, Spitak","10,000,000 ֏",AMD,"It is residential. It has the necessary conditions. Land in Mshakov, basement floor, with a garage. Call for details.Translated from Armenian",Nov-25-2022_00-21,1800 sq.m.,,,,https://list.am/en/item/18172149
House,Stone,150 sq.m.,2,8+,2,Not available,3 or more spots,Major Renovation,"Ереванское шоссе 176, Ванадзор","$27,000",USD,"Дом находится в богатой природной местности. Если на земле есть рай, то это именно здесь. Дом построен капитально, крепко, со совестью, горячая и холодная вода, система отопления. Удобен для гостиничного бизнеса, вазможен торг, только после осмотра. Адрес Шаумян 4 улица 2переулок дом1. Милости просим!",Nov-25-2022_00-21,450 sq.m.,,"ELectricity, water supply, natural gas, sewerage",,https://list.am/en/item/18110643
House,Stone,70 sq.m.,1,2,1,,2 spots,No Renovation,"Mashtots Street 51, Vanadzor","8,800,000 ֏",AMD,The building was prepared after the earthquake. Sunny. L:Translated from Armenian,Nov-25-2022_00-21,560 sq.m.,,,,https://list.am/en/item/18087674
House,Stone,"12,345 sq.m.",2,7,2,,,Old Renovation,"Քիմիագործների 1-ին փողոց 12-1, Վանաձոր","$30,000",USD,Address 1/3 of the chemistsTranslated from Armenian,Nov-25-2022_00-21,"12,345 sq.m.",,,,https://list.am/en/item/17481594
House,Wooden,10 sq.m.,1,2,1,,,No Renovation,Lorri › Tashir,"$5,000",USD,Last price is not negotiableTranslated from Armenian,Nov-25-2022_00-21,27 sq.m.,,,,https://list.am/en/item/18172300
House,Stone,555 sq.m.,2,4,2,,1 spot,Old Renovation,"Egishe Charents street, Stepanavan","$35,000",USD,"A two-story stone house, there are all communications, there are fruit and decorative trees in the garden. There is a garage.Translated from Armenian",Nov-25-2022_00-21,400 sq.m.,,,,https://list.am/en/item/18050161
House,Stone,180 sq.m.,2,6,1,,,Cosmetic Renovation,Lorri › Stepanavan,"$45,000",USD,Продаётся дом в городе Степанаване ##продпжа## ##дом##,Nov-25-2022_00-21,600 sq.m.,,,,https://list.am/en/item/18159113
House,Stone,70 sq.m.,1,3,1,,,Major Renovation,"11-րդ փողոց 18, Արջուտ","$50,000",USD,"The house has a large attached garage, permanent water, electricity, separate sewer, 1000 square meter greenhouse, with drip irrigation, call for detailsTranslated from Armenian",Nov-25-2022_00-21,2800 sq.m.,,,,https://list.am/en/item/18294789
House,Stone,74 sq.m.,1,3,1,,,Euro Renovation,Lorri › Stepanavan,"$55,000",USD,"A guest house is for sale in Stepanavan, Lori region, on Antarain street, near Aleya Park, right at the entrance of the forest. The size of the land is 340 square meters. Մ.The guest house is 74 square meters. Մ. It has two entrances, a swimming pool, 60 sq. M. Մ. The basis of a separate cottage. The purpose of the land is public. Public ownership certificate. The price includes all the accessories of the guest house.Translated from Armenian",Nov-25-2022_00-21,340 sq.m.,,,,https://list.am/en/item/17542571
House,Stone,430 sq.m.,2,5,2,,,Old Renovation,"Mashtots Street, Vanadzor","$27,000",USD,"Plot, garageAddress: 78 Mashtots StExchange is also possibleTranslated from Armenian",Nov-25-2022_00-21,250 sq.m.,,,,https://list.am/en/item/17426682
House,Stone,213 sq.m.,2,5,1,Available,Not available,Cosmetic Renovation,"Նանսենի փողոց 1, Ստեփանավան","17,000,000 ֏",AMD,"A two-story stone house is for sale in the city of Stepanavan.The residential house is 187.12 square metersLivestock building 20.96 square metersEconomy room 4.86 square metersEnclosure 2.7 sq m and 1.4 sq mThe house is located next to Alea, from where there is a beautiful view of the pine forest. The house is very sunny and bright. It is sold with kitchen furniture.The price of the house: 17,000,000 AMD.Translated from Armenian",Nov-25-2022_00-21,180 sq.m.,,,,https://list.am/en/item/18143426
House,Stone,113 sq.m.,2,3,1,,,Old Renovation,"Սանահին Սարահարթ թաղամաս 2/10Ա, Ալավերդի","5,350,000 ֏",AMD,"Urgent sale of a private house in the city of Alaverdi in the yard of Sanahin Sarahart 21 building (Chopani building) The house is gasified, it has not been inhabited for a long time, it needs repairs. It has an attached plot of land with a garage and a storage room.The total area is 113 square metersPrice: 5,350,000 AMDTranslated from Armenian",Nov-25-2022_00-21,58 sq.m.,,,,https://list.am/en/item/18371340
House,Stone,237 sq.m.,2,4,2,Not available,1 spot,No Renovation,Lorri › Stepanavan,"10,000,000 ֏",AMD,"A two-story half-built private house is for sale in the city of Stepanavan, in the left bank.For more information call:Translated from Armenian",Nov-25-2022_00-21,1000 sq.m.,,,,https://list.am/en/item/18230700
